,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,traceability_code,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,ingredients_origins,packaging,allergens,nova_score,manufacturing,generic_name,additives,brand_owner,link
62,Comté Aop,0262248023948,,['France'],[],[],?,431,1803 kj(431 kcal),35,24,2,"0,5",27,"0,9","0,36",,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,,+3%,+3%,+1%,+6%,+333%,+87%,+0%,+7%,+7%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
63,Jambon,0211371034963,,['France'],[],[],?,137,573 kj(137 kcal),"6,2","2,8","0,7","0,7","19,8","1,91","0,764",,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Waffelnüsse,4056489157359,,['France'],[],[],?,537,2247 kj(537 kcal),"31,9","18,8","55,6","36,2","4,8","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Galette,0257057039037,,['France'],[],[],?,480,2008 kj(480 kcal),34,18,36,"9,4","7,7","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Preparation bio miel polen et propolis,3540860049193,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Préparations à base de miel']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
67,La Vie En Herbes Allaitement Bio - Pochette Vrac 45 g - Bio,3374010120179,,['France'],[],[],?,?,,?,,?,,?,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Mes infusions - Bonne Maman,3608580020493,['Bonne Maman'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Tomme de brebis corse,0247076038777,,['France'],[],[],?,405,1695 kj(405 kcal),34,24,"1,5","0,5",24,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Galette des rois,2648838055762,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,
71,Chèvre,2246068017125,,['France'],[],[],?,268,1121 kj(268 kcal),20,13,"3,6","0,5",18,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Grattons,2424910012669,,['France'],[],[],?,?,,?,,?,,?,0,0,,"['FR 71.306.003 CE', 'Montceau-les-Mines (Saône-et-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
