,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,packaging,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,generic_name,quantity,ingredients_origins,manufacturing,traceability_code,link,markets,allergens,nutriment_energy_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,palm_ingredients
36,Box d’hiver 9 pieces,3760253240192,['France'],[],[],?,183,766 kj(183 kcal),"6,3","1,7",25,"5,4","6,2",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Cerise bio denoyautees,4044019751832,['France'],[],[],?,64,268 kj(64 kcal),"0,5","0,1",13,9,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Tarama au corail oursin,3392070250087,['France'],[],[],?,579,2423 kj(579 kcal),61,"7,4","2,6","0,5","5,8","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Sucre,8850256100410,['France'],[],[],?,400,1674 kj(400 kcal),0,0,"99,9","99,9",0,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Terrine vigneronne,3280950007190,['France'],[],[],?,249,1042 kj(249 kcal),20,"7,8","2,6","0,7",14,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Saucisson sec L'extra -,2688492037919,['France'],[],[],?,353,1477 kj(353 kcal),25,10,"1,6",0,29,"6,2","2,48",,,"['Viande Française', 'Viande Porcine Française']",,['Saucisson sec extra'],,,,,,,,,,,,,,,,,25 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,6.2 g,en quantité élevée,23,E,,,,,,,,,,,,,,
42,Soupe La Montagnarde,3277510007509,['France'],[],[],?,48,201 kj(48 kcal),"1,8","0,8","5,2","0,3","2,3","0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Hamburge di scottona,8029251004850,['France'],[],[],?,198,828 kj(198 kcal),14,"6,2","1,3",0,17,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Creme basalmique,8033378349329,['France'],[],[],?,210,879 kj(210 kcal),0,0,50,50,"0,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Doli bouillon legume épicé,6044000016658,['France'],[],[],?,161,674 kj(161 kcal),7,1,18,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Pommes séchées,3100000000013,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Veggie acérola 1000,3510130121386,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,arachides au wasabi,3595194042006,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Épices pour Aubergines Fondantes au Lait de Coco,3760282150028,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Pain au chocolat auchan,3495563200559,['France'],[],[],?,209,874 kj(209 kcal),22,14,"48,3",11,"8,4","0,99","0,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Hot Dog Frenchy - Madrange - 165g,3180940088997,['France'],"['Pain hot dog 39,4% ', 'farine de BLÉ', 'eau', 'sucre', 'huile de colza', 'levure', 'sel', 'gluten de BLÉ', 'malt de BLÉ', 'antioxydant : acide ascorbique', 'dorure : OEUF', 'knack 29% ', 'viande de porc 21%', 'eau', 'gras de porc', 'plasma de porc', 'sel', 'sucre de canne', 'arômes naturels', 'ferments', 'béchamel à la MOUTARDE 24,3% [LAIT demi-écrémé', 'farine de BLÉ', 'beurre doux à 82% de matière grasse ', 'beurre pasteurisé ', 'LAIT', 'sel', 'eau', 'graines de MOUTARDE', ""vinaigre d'alcool"", 'muscade', 'poivre]', 'Emmental râpé 7,3% [Emmental 7,1% ', 'LAIT de vache pasteurisé', 'sel', 'ferments lactiques', 'coagulant microbien', 'chlorure de calcium', 'fécule de pomme de terre]', '\rPain hot dog', 'béchamel à la moutarde origine UE et non-UE', '\rPorc', 'Emmental origine France']","['Non végétalien', 'Non végétarien']",1127,269,1127 kj(269 kcal),12,"4,9",29,"4,1",10,"1,7","0,68",['Madrange'],"['Barquette', 'Carton', 'film plastique', 'Frais', 'sous atmosphère protectrise']","['Viande Française', 'Viande Porcine Française', 'Nutriscore', 'Nutriscore D', ""Saveurs de l'Année"", ""Saveurs de l'Année 2021""]",C,"['Snacks', 'Snacks salés', 'Sandwichs', 'Hot-dogs']",-1%,-2%,-12%,+2%,+14%,-9%,-9%,80.8%,9.4%,2.9%,1.9%,1.1%,4.0%,36,['E300 - Acide ascorbique'],4,12 g,en quantité modérée,4.9 g,en quantité modérée,4.1 g,en faible quantité,1.7 g,en quantité élevée,12,D,"PAIN HOT DOG GARNI D'UNE KNACK, DE BECHAMEL A LA MOUTARDE ET D'EMMENTAL",165 g,"['France', 'Union européenne', 'Non Union Européenne']",['France'],"['FR 87.085.003 CE', 'Limoges (Haute-Vienne, France)', 'EMB 87085B', 'Limoges (Haute-Vienne, France)']",https://www.madrange.fr/nos-produits/mon-hot-dog-frenchy/,['Franprix'],"['Œufs', 'Gluten', 'Lait', 'Moutarde']",-3%,+1%,+1%,-14%,-14%,
52,Crottes de mouflon,3663350081463,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Céréales chocolat et fraise NAT -,2600402011819,['France'],[],[],?,423,1770 kj(423 kcal),12,3,65,16,"9,5","0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Olives farcies poivron,0208286018379,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Haribo Ositos De Oro 40GR,8426617009526,['France'],[],[],?,?,,?,,?,,?,,,['Haribo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Valiano,8007674005272,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Coleslaw,0206693015745,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Dâu Phông Xôp,8935005391308,['France'],[],[],?,499,2088 kj(499 kcal),"25,7","2,7","54,7","48,2","12,1","0,35","0,14",,['Sachet en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Brie d'isigny - Coopérative Isigny Sainte-Mère - 575g,3254550035945,['France'],"['fromage à pâte molle au lait de vache pasteurisé', ' origine France ']",[],?,359,1502 kj(359 kcal),32,24,"0,5","0,5",17,"1,7","0,68","['Coopérative Isigny Sainte-Mère', 'Isigny Sainte-Mère']",,"['Fabriqué en France', 'Lait de normandie']",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",,+15%,+24%,+32%,-28%,+32%,-10%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,32 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,16,D,,575 g,,['France'],"['FR 14.342.001 CE', 'Isigny-sur-Mer (Calvados, France)']",,,,+16%,+7%,+7%,+7%,+7%,
60,Velouté aux 6 legumes frais,3760271200529,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,30 œufs frais,8437000839880,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Tuscanini,0710069301009,['France'],[],[],?,218,912 kj(218 kcal),"6,2","2,9",31,"1,9","8,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,TarallIGPugliesi al sesamo,8033100804140,['France'],[],[],?,493,2063 kj(493 kcal),22,"3,5",64,"1,1","9,1","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Equinox Carbonades Flam,5411896111414,['France'],[],[],?,96,402 kj(96 kcal),"2,8","1,1","3,5","0,5",14,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Farina dIGPiselli bio,8009355001894,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
