,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,labels,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,saturated_acids_quantity,saturated_acids_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,palm_ingredients,link
1711,Poulet aux queues d'écrevisses,3598962010863,['France'],[],[],?,139,"7,7","2,3","14,9",1,"0,4",582 kj(139 kcal),"3,5","1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,Fleur de Sel de Guerande,3760019771502,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel', 'Sels de Guérande', 'Fleurs de sel de Guérande']",,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,
1713,Tarte noix pécan,0889854092511,['France'],[],[],?,484,35,32,8,"0,43","0,172",2025 kj(484 kcal),11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,"Œuf poché, salade de lentilles, noisettes et chèvre - Seazon",3701456313627,['France'],[],[],?,131,9,4,6,1,"0,4",548 kj(131 kcal),2,1,,,['Seazon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,i-grec,3770005734336,['France'],[],[],?,99,"2,5",14,"5,3","0,17","0,068",414 kj(99 kcal),"1,6",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,Soupe de poisdon,3288370004713,['France'],[],[],?,65,"2,76","2,35","7,09","0,8","0,32",272 kj(65 kcal),"0,46","0,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,Paprika doux fumé,3683080367361,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,Salade italienne,2426118033859,['France'],[],[],?,278,"24,8","1,56","11,9","1,95","0,78",1163 kj(278 kcal),"9,37","0,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,Distribution ab fute fouet,2249971021586,['France'],[],[],?,382,30,"1,7",27,"4,2","1,68",1598 kj(382 kcal),12,"1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,Pikanten,4026527000015,['France'],[],[],?,430,34,10,30,"3,8","1,52",1799 kj(430 kcal),16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
