,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,labels,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,saturated_acids_quantity,saturated_acids_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,palm_ingredients,link
973,Épiceries,2609713023610,['France'],[],[],?,4.04,"10,6","73,7","3,6",,,17 kj(4 kcal),"6,5","56,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Sweet’n’salty popcorn bar,5051882268885,['France'],[],[],?,322,"6,9","49,6","22,1",0,0,1347 kj(322 kcal),2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Ortolana,3760253401463,['France'],[],[],?,105,9,"4,1","1,1","1,4","0,56",439 kj(105 kcal),"1,3","3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,8410843128656,8410843128656,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Ferrero biscuit,8000500314647,['France'],[],[],?,0,"24,5","63,3","8,4","0,529","0,212",0 kj(0 kcal),"11,8","34,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Bolognese vegan,3760253401333,['France'],[],[],?,61,3,"2,8","4,3","1,4","0,56",255 kj(61 kcal),"0,5","2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Punitions,3661455102892,['France'],[],[],?,427,20,"54,3","6,6",,,1787 kj(427 kcal),"12,8","23,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Natura chiama olio extra vergine di oliva italiano biologico - Selex,8003100904119,['France'],[],[],?,824,"91,6",0,0,0,0,3448 kj(824 kcal),14,0,,,['Selex'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,91.6 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,,,,-100%,-100%,"['Bio', 'Bio européen', 'IT-BIO-006']",,6,-2%,C,-2%,C,14 g,en quantité élevée,-4%,0%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,
981,Plenny shake,8720165350049,['France'],[],[],?,427,17,38,28,"0,31","0,124",1787 kj(427 kcal),"5,4","3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Osso-buco de veau,2424271052021,['France'],[],[],?,127,"2,8",9,16,"1,1","0,44",531 kj(127 kcal),"0,9","3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,"Upländer Bauernhandkäse, Mit Kümmel",4026367003108,['France'],[],[],?,119,"0,3",0,29,"3,8","1,52",498 kj(119 kcal),"0,2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Yaourt biologique nature,3540500000218,['France'],[],[],?,92,"3,3","11,4","4,4","0,3","0,12",385 kj(92 kcal),"1,7","10,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,Tropical chili sauce,8710605030334,['France'],[],[],?,10,"0,1","42,11",10,"0,425","0,17",42 kj(10 kcal),"0,02","1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,Chardonnay sans alcool,87730166,['France'],[],[],?,18,0,"4,5",0,0,0,75 kj(18 kcal),0,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Poitrine fumée au bois de hêtre - Jean Rozé,0290081026505,['France'],[],[],?,297,"25,6",1,"15,7","1,97","0,788",1243 kj(297 kcal),"10,3","0,5",,,['Jean Rozé'],"['Viandes', 'Porc', 'Poitrine de porc', 'Poitrine de porc fumée']",,,,,,,25.6 g,en quantité élevée,0.5 g,en faible quantité,1.97 g,en quantité élevée,,+4%,+3%,+33%,+6%,-1%,-6%,-6%,"['Viande Française', 'Viande Porcine Française', 'Nutriscore', 'Nutriscore E']",,21,+4%,E,+4%,D,10.3 g,en quantité élevée,+4%,+8%,85.4%,9.1%,2.4%,1.8%,1.0%,0.3%,36,,,
988,Entrecote boeuf charolaise,2203856030445,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Jambon sec frotté au sel -,2452153083702,['France'],[],[],?,248,24,"0,3",26,"4,7","1,88",1038 kj(248 kcal),6,"0,3",,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",,,,,,,24 g,en quantité élevée,0.3 g,en faible quantité,4.7 g,en quantité élevée,,+6%,+88%,-49%,-20%,-10%,-6%,-6%,,,18,+8%,D,+8%,E,6 g,en quantité élevée,+6%,+23%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,1/4 jambon sec tradition forezienne,,https://www.lebatistou.fr/
990,Paris Ginger Beer Bio,3770013801501,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Petites Rousquilles fondantes,3274645310023,['France'],[],[],?,347,11,56,"5,2","0,15","0,06",1452 kj(347 kcal),"7,2",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Infusions  Paris by night,3398984212135,['France'],[],[],?,1,0,"0,2","0,1",0,0,4 kj(1 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,Choux fleur,2868051013978,['France'],[],[],?,28,"0,5","3,7","2,4",,,117 kj(28 kcal),"0,01","2,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,Pain epautre,0208230013122,['France'],[],[],?,258,"7,4",52,"8,4","1,6","0,64",1079 kj(258 kcal),"0,4","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,Caramel beurre salé cafe,0209824045925,['France'],[],[],?,487.8,27,56,"6,2","0,69","0,276",2041 kj(487 kcal),16,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,Sucre de canne - Destination,3700110049339,['France'],[],[],?,?,?,?,?,,,,0,0,,,['Destination'],"['Édulcorants', 'Sucres', 'Sucres de canne']",,,,,,,,,0 g,en faible quantité,,,,,,,-100%,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'BE-BIO-02']",,,,,,B,0 g,en faible quantité,,,87.6%,0.0%,7.4%,3.3%,1.8%,0.0%,81,,,
997,Olives noires,3760137110191,['France'],[],[],?,346,"35,2","1,1","1,9","5,95","2,38",1448 kj(346 kcal),"3,73","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Croc' Matin - Lait -,2006050006663,['France'],[],[],?,461,18,65,7,"0,63","0,252",1929 kj(461 kcal),"8,5",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Pasta biologica di fave etrusche,8059519050169,['France'],[],[],?,353,3,63,23,,,1477 kj(353 kcal),"0,5","4,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Pescarmara,80148166,['France'],[],[],?,38,0,"9,3",9,,,159 kj(38 kcal),0,"9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Liseron d’eau confit,3379140170117,['France'],[],[],?,359,"0,1","89,6","0,1",,,1502 kj(359 kcal),"0,03","36,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Houmous lentilles corail - Le Comptoir de Mathilde,3700961310282,['France'],[],[],1047,250,21,11,"4,3","1,5","0,6",1047 kj(250 kcal),"8,6",2,,,['Le Comptoir de Mathilde'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,,,,,,21 g,en quantité élevée,2 g,en faible quantité,1.5 g,en quantité modérée,-5%,-5%,+4%,+4%,+49%,-34%,+44%,+44%,,,17,+241%,D,+241%,B,8.6 g,en quantité élevée,-5%,+250%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,
1003,Coeurs de filets de cabillaud de l’Atlantique - Marès - 360g,3760282770462,['France'],"[""Cabillaud de l'Atlantique "", 'Gadus morhua']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",318,75,"0,3",0,"18,1","0,08","0,032",318 kj(75 kcal),0,0,360 g,"['Surgelé', 'Etui en carton', 'Film en plastique']",['Marès'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Morues', 'Filets de cabillaud']","['Océan Atlantique', 'Mer de Barents', 'Océan Atlantique Nord-Est', 'Mer de Norvège', 'Spitzberg et ile aux Ours']",,,,['Poisson'],1,0.3 g,en faible quantité,0 g,en faible quantité,0.08 g,en faible quantité,-14%,-36%,-90%,-100%,-100%,+16%,-83%,-83%,"['Nutriscore', 'Nutriscore A', 'Pêche durable', 'Pêche durable MSC']",['MSC-C-57866'],-5,,A,,E,0 g,en faible quantité,-33%,-100%,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,Coeurs de filets de cabillaud de l'Atlantique,,https://mares.global/produits/cabillaud-de-latlantique/
1004,ABC des filles,9782012455221,['France'],[],[],?,0,0,0,0,0,0,0 kj(0 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Farine de blé complète,3760274070907,['France'],[],[],?,347,0,"67,2","11,7","1,7","0,68",1452 kj(347 kcal),0,"1,89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Pâtés impériaux - Hoa Nam - 640g,3474930306872,['France'],[],[],?,477,"20,7","61,1","11,4","0,9","0,36",1996 kj(477 kcal),"3,4","24,2",640g,['Sachet sous vide'],['Hoa Nam'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Nems', 'Nems au porc']",,['France'],['Leclerc'],,,,20.7 g,en quantité élevée,24.2 g,en quantité élevée,0.9 g,en quantité modérée,,+116%,+82%,+182%,+656%,+61%,-35%,-35%,,,16,+123%,D,+123%,C,3.4 g,en quantité modérée,+115%,+27%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,Nem,,
1007,Sale Marino Iodate,8001300440123,['France'],[],[],?,0,?,?,?,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,05783746,05783746,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Epis 250 grs,0201108005779,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Kürbiskerne,4008088444705,['France'],[],[],?,570,44,"4,7",35,0,0,2385 kj(570 kcal),8,"2,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Diots de Savoie fumes,2868301045001,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 74.007.002 CE', 'Amancy (Haute-Savoie, France)']",,,,,,,,,,,,,,,,,,,
1012,Sauce huitre,3356441280059,['France'],[],[],?,70,0,15,2,"7,7","3,08",293 kj(70 kcal),0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Tuna fillets,5600961110036,['France'],[],[],?,105,"0,5",0,25,"0,5","0,2",439 kj(105 kcal),"0,2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Ballottine de volaille,2471213023489,['France'],[],[],?,197,"13,5","3,1","15,8","1,7","0,68",824 kj(197 kcal),"4,8","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Sauce de soja supérieure,8859585800268,['France'],[],[],?,47,"0,5","4,4","6,7",20,8,197 kj(47 kcal),0,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Arachides au sésame,2600747018245,['France'],[],[],?,457,19,56,12,"0,26","0,104",1912 kj(457 kcal),3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,GELENEKSEL VISNE,8697530993043,['France'],[],[],?,300,0,75,0,0,0,1255 kj(300 kcal),0,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,Grissini Il Fornaio,8032568205070,['France'],[],[],?,415,"8,6","71,2","11,2","1,85","0,74",1736 kj(415 kcal),"2,6","10,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Fenchel tee - Hipp,4062300277632,['France'],[],[],?,1.16,1,14,10,"1,5","0,6",5 kj(1 kcal),1,14,,,['Hipp'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Crevette cuite refrigeree - Auchan,3760082438555,['France'],[],[],?,95,"0,5","0,5",22,"2,1","0,84",397 kj(95 kcal),"0,5",0,,,['Auchan'],,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Saumon fume bio,2469435079834,['France'],[],[],?,169,"9,11",0,"21,8","3,24","1,296",707 kj(169 kcal),"2,33",0,,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,,9.11 g,en quantité modérée,0 g,en faible quantité,3.24 g,en quantité élevée,,-9%,-13%,-100%,-100%,-1%,+15%,+15%,,"['EMB 73179', 'Motte-Servolex (Savoie, France)', 'FR 73.179.008 CE', 'Motte-Servolex (Savoie, France)']",14,+7%,D,+7%,E,2.33 g,en quantité modérée,-9%,+13%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,
1022,Ail frais en crème,3363293537132,['France'],[],[],?,285,"20,4","23,4","4,5","2,7","1,08",1192 kj(285 kcal),"2,5","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,12 Nems Crevettes 75g,3386030003332,['France'],[],[],?,215,"9,4",24,"8,1","1,1","0,44",900 kj(215 kcal),"1,7","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Strozzapreti,8017070102291,['France'],[],[],?,363,"1,3",71,13,,,1519 kj(363 kcal),"0,3","1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Love affair - Mymuesli,4251680804570,['France'],[],[],?,400,"10,2","62,4","10,6",,,1674 kj(400 kcal),"2,6","9,7",,,['Mymuesli'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,Petits nimois,3770011560004,['France'],[],[],?,400,"27,3","27,8","10,7",0,0,1674 kj(400 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Gouda cumin,0210861026570,['France'],[],[],?,386,32,"0,4",24,"1,5","0,6",1615 kj(386 kcal),21,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)']",,,,,,,,,,,,,,,,,,,
1028,Croûtons à l’ail,3296941230010,['France'],[],[],?,549,30,45,"8,4","1,9","0,76",2297 kj(549 kcal),"2,8","2,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Express Frites,4056489181576,['France'],[],[],?,248,"7,5",40,3,"0,4","0,16",1038 kj(248 kcal),"0,8","1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,Basquaise au piment d'espelette,3431590014981,['France'],[],[],?,56,"2,6","6,1","1,1","0,7","0,28",234 kj(56 kcal),"0,3","5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Crackers herbs and sea salt,7071848100620,['France'],[],[],?,488,"26,6","37,1","18,2",7,"2,8",2042 kj(488 kcal),"3,4","1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Bûche des Neiges,0200700012864,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Reblochon,0206948046906,['France'],[],[],?,299,25,"0,4",18,"1,4","0,56",1251 kj(299 kcal),20,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,La milanaise,0247534034709,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Fritons de porc,3760038631009,['France'],[],[],?,215,17,"0,6",15,"1,5","0,6",900 kj(215 kcal),"6,9","0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,saucisse de morteau - igp jean louis amiottz - 1,0203000024209,['France'],"['viande de porc', 'sel', 'poivre', 'saccharose', 'dextrose', 'conservateur : nitrite de sodium', 'ferments']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,?,?,?,,,,,,1,['plastique sous vide'],['igp jean louis amiottz'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Charcuteries cuites', 'Saucisses de Morteau', 'Saucisse de Morteau bouillie']",['France'],,['Monoprix'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,4,,,,,,,,,,,,,,,['Indication géographique protégée de la République populaire de Chine'],,,,,,D,,,,,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,,,
1037,Fromage brenis,8015260005872,['France'],[],[],?,293,"25,8","0,8","14,6","2,65","1,06",1226 kj(293 kcal),"18,3","0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Riz rouge,4791098000039,['France'],[],[],?,1479,"2,8",74,"6,9",0,0,6188 kj(1479 kcal),"0,7","1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Aker beltz,3760058332016,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Egrene de boeuf,5901885541884,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Fromage,0200033027290,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Infusion digestion Bio,3615370002171,['France'],[],[],?,1,0,"0,2","0,1",0,0,4 kj(1 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Gut Bio Streichzarte Leberwurst,29012565,['France'],[],[],?,837,93,0,0,0,0,3502 kj(837 kcal),8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Pate au foie gras d oie,3470120007000,['France'],[],[],?,510,"52,6","0,8","7,8","1,1","0,44",2134 kj(510 kcal),"19,9","0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,oriental chicken snacks - orien bites - 960grammes,8887290051323,['France'],[],[],?,?,?,?,?,,,,,,960 grammes,['boite en carton'],['orien bites'],['Met asiatique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Croquettes u,3256228421531,['France'],[],[],?,?,?,?,?,,,,,,,['Sachet en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,Poisson fumé,3760210521210,['France'],[],[],?,200,13,"0,5",21,"3,2","1,28",837 kj(200 kcal),2,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,"Lait noix de pécan, sel & cookie",5400219527223,['France'],[],[],?,541,"33,9","48,6","8,7","0,5","0,2",2264 kj(541 kcal),"18,7","44,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,Boules miel bio,3572420001068,['France'],[],[],?,388,"2,7",84,"5,8","0,28","0,112",1623 kj(388 kcal),"1,4",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,Escalope de dinde nourrie aux graines de lin,0215092010954,['France'],[],[],?,112,"1,8",0,24,"0,11","0,044",469 kj(112 kcal),"0,5",0,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,1.8 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-7%,+36%,-100%,-100%,+5%,-80%,-80%,"['Nutriscore', 'Nutriscore A']",,-4,,A,,D,0.5 g,en faible quantité,-7%,+24%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,
1051,Gouda Holland au cumin IGP,2488622021784,['France'],[],[],?,376,"30,8",0,"23,8","1,7","0,68",1573 kj(376 kcal),"21,4",0,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas au cumin']",,,,,,,30.8 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,+1%,0%,-100%,-100%,+0%,-7%,-7%,,,16,-3%,D,-3%,D,21.4 g,en quantité élevée,+1%,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,
1052,Sakura Bio,3760272240029,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,Fromage Frais en Faisselle,14176777,['France'],[],[],?,89,"4,5","5,9","4,3","0,2","0,08",372 kj(89 kcal),"3,3","4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,Lambertz Aachener Mandel-honig-saftprinten 100G,4006894139303,['France'],[],[],?,443,"19,2","56,4","8,7","0,62","0,248",1854 kj(443 kcal),"8,1",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Gyoza sauce,0087703181977,['France'],[],[],?,0,0,1,0,"0,9","0,36",0 kj(0 kcal),0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Filet de lieu et potimarron à la crème d'Isigny AOP,3760023264137,['France'],[],[],?,78,5,"3,2","4,6","0,82","0,328",326 kj(78 kcal),3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Bretzel,3298760074523,['France'],[],[],?,351,20,35,"6,7","0,67","0,268",1469 kj(351 kcal),14,"6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Thé noir Bio Pomme Cannelle Cacao,3052351445174,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,PomodorIGPelati dIGPuglia,8033837720010,['France'],[],[],?,26,"0,3","4,5","1,2","0,11","0,044",109 kj(26 kcal),"0,1","3,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Saucisse de toulouse aux lentilles vertes,3760065602942,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Paella,3256228438355,['France'],[],[],?,121,"3,6",13,"8,9","0,81","0,324",506 kj(121 kcal),1,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Legend of Dracula,5949080000232,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Le petit orbequois,3760308620016,['France'],[],[],?,277,"21,9",0,20,"1,4","0,56",1159 kj(277 kcal),"15,5",0,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 14.064.001 CE', ""Bernières-d'Ailly (Calvados, France)""]",,,,,,,,,,,,,,,,,,,
1064,Tarte citron meringuée,2020000930198,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Bras de venus,2030505000296,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Creme à bruler,3372900901433,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Thym,3183811059249,['France'],[],[],?,0,0,0,0,0,0,0 kj(0 kcal),0,0,,"['Bocal en verre', 'Couvercle en métal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,Truffes fantaisie aux éclats de cacahuètes,3472710052933,['France'],[],[],?,586,44,34,10,"0,31","0,124",2452 kj(586 kcal),28,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Comte,0200273033587,['France'],[],[],?,428,35,"1,2",27,"0,81","0,324",1791 kj(428 kcal),23,0,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,35 g,en quantité élevée,0 g,en faible quantité,0.81 g,en quantité modérée,,+2%,+1%,+160%,-100%,+0%,-3%,-3%,,,13,0%,D,0%,D,23 g,en quantité élevée,+2%,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,
1070,Movies pop,90010083585606,['France'],[],[],?,403,"4,4",88,3,"0,1","0,04",1686 kj(403 kcal),"0,4",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Les bûchettes - Saint Louis,1220234241195,['France'],[],[],?,?,?,?,?,,,,,,,,['Saint Louis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
