,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,allergens,nova_score,generic_name,quantity,packaging,manufacturing,traceability_code,markets,ingredients_origins,link,origin_detail,producer_info,palm_ingredients
30,Terrine Figatellu,3329370004072,['France'],[],[],?,371,1552 kj(371 kcal),34,12,"1,6","0,5",16,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Coquille Saint-Jacques - Promarée Surgel - 120g,3329400002634,['France'],"['Noix de St Jacques 40% ', 'Chlamys opercularis', 'pêchées en Atlantique Nord-Est', 'zone FAO 27', 'origine Ecosse/Irlande', 'ou Argopecten purpuratus', 'élevées au Pérou', 'zone FAO 87', 'ou Zygochlamys patagonica', 'pêchées en Atlantique Sud-ouest', 'zone FAO 41', 'origine Argentine/USA', ' ', 'mollusque', 'lait entier UHT ', 'lait', 'pain de mie ', 'farine T65 ', 'farine de blé ', 'gluten', 'gluten de blé ', 'gluten', 'farine de blé malté ', 'gluten', 'sel', 'eau', 'beurre doux ', 'lait', 'oeufs ', 'oeufs', 'poudre de lait entier ', 'lait', 'levure boulangère', 'sucre', 'sel', 'eau', 'champignons', 'beurre doux ', 'lait', 'vin blanc ', 'sulfites', 'oignon', 'ail', 'sel', 'persil', 'poivre', 'chapelure ', 'farine de blé ', 'gluten', 'huile de colza', 'eau', 'sucre', 'levure et levain', 'sel', 'gluten de blé ', 'gluten', 'céréales moulues ', 'seigle ', 'gluten', 'avoine ', 'gluten', 'blé ', 'gluten', 'épeautre ', 'gluten', 'orge ', 'gluten', 'riz', 'sarrasin', 'farine de fève', 'vinaigre', 'dextrose de blé', 'graines moulues ', 'tournesol', 'lin', 'millet', 'pavot', 'amarante', 'quinoa', 'beurre ', 'lait']","['Non végétalien', 'Non végétarien']",471,?,471 kj(113 kcal),"5,8","3,6","7,4","0,8","7,6","1,1","0,44",,"['Produits de la mer', 'Plats préparés', 'Mollusques', 'Noix de Saint-Jacques']",,5.8 g,en quantité modérée,3.6 g,en quantité modérée,0.8 g,en faible quantité,1.1 g,en quantité modérée,+28%,,+24%,+241%,+375%,+159%,+27%,-52%,+100%,+100%,4,,C,,,,,,,,,['Promarée Surgel'],,"['Œufs', 'Gluten', 'Lait', 'Mollusques', 'Avoine', 'Anhydride sulfureux et sulfites']",4,,120 g,"['Barquette', 'Plastique', 'Sous atmosphère protectrice']",['France'],"['FR 85.280.001 CE', 'Sallertaine (Vendée, France)', 'EMB 85280', 'Sallertaine (Vendée, France)']",['Carrefour'],"['États-Unis', 'Argentine', 'Irlande', 'Pérou', 'Atlantique Nord-Est', 'Atlantique Sud-Ouest', 'Ecosse', 'FAO 27', 'FAO 41', 'FAO 87']",,,,
32,Coquille Saint-Jacques - Promaree,3329400002641,['France'],[],[],?,118,494 kj(118 kcal),7,"4,4","5,5","0,9","8,2","0,8","0,32",,"['Plats préparés', 'Entrées', 'Coquilles Saint-Jacques']",,7 g,en quantité modérée,4.4 g,en quantité modérée,0.9 g,en faible quantité,0.8 g,en quantité modérée,,-2%,-4%,+8%,+5%,-22%,-41%,+14%,-2%,-2%,3,-39%,C,-39%,,,,,,,,['Promaree'],,,,,,,,,,,,,,
33,8 mini St Jacques farcies - Sans marque - 120g,3329400005345,['France'],"['St Jacques 65% ', 'Zygochlamys patagonica', 'pêchées en Atlantique Sud—Ouest', 'zone FAO 41', 'origine Argentine/USA', 'ou Argopecten purpuratus', 'élevées au Pérou', 'zone FAO 87', ' ', 'MOLLUSQUE', 'farce : beurre doux ', 'LAIT', ' persil', 'ail', 'chapelure ', 'farine de blé ', 'GLUTEN', 'huile de colza', 'eau', 'sucre', 'levure et levain', 'sel', 'gluten de blé ', 'GLUTEN', 'céréales remoulues ', 'seigle ', 'GLUTEN', 'avoine ', 'GLUTEN', 'blé ', 'GLUTEN', 'épeautre ', 'GLUTEN', 'orge ', 'GLUTEN', 'riz', 'sarrasin', 'farine de fève', 'vinaigre', 'dextrose de blé', 'graines moulues ', 'tournesol', 'lin', 'millet', 'pavot', 'amarante', 'quinoa', 'beurre ', 'LAIT', 'sel', 'poivre']","['Non végétalien', 'Non végétarien']",1764,?,1764 kj(422 kcal),"42,5","28,2","4,1",1,"7,2","1,4","0,56",,"['Produits de la mer', 'Plats préparés', 'Mollusques', 'Entrées', 'Coquilles Saint-Jacques']",['Fabriqué en France'],42.5 g,en quantité élevée,28.2 g,en quantité élevée,1 g,en faible quantité,1.4 g,en quantité modérée,+266%,,+245%,+555%,+571%,-42%,-35%,+0%,+71%,+71%,21,+327%,E,+327%,,,,,,,,"['Sans marque', 'Promarée Surgel']",,"['Gluten', 'Lait', 'Mollusques', 'Avoine']",4,,120 g,"['Barquette', 'Plastique', 'Sous atmosphère protectrice']",,"['FR 85.280.001 CE', 'Sallertaine (Vendée, France)', 'EMB 85280', 'Sallertaine (Vendée, France)']",['Carrefour market'],,,,,
34,Blé mondé precuit - Ofal,3329480012073,['France'],[],[],?,349,1460 kj(349 kcal),"1,8","0,26",65,"2,4","11,9","0,022","0,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ofal'],,,,,,,,,,,,,,
35,Orge perlee - Ofal,3329480012424,['France'],[],[],?,334,1397 kj(334 kcal),"1,8","0,25","63,6","2,1","10,3",0,0,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ofal'],,,,,,,,,,,,,,
36,Sarrasin Décortiqué - Markal,3329480012516,['France'],"[""aces possibles d'amandes"", 'gluten', ""noisettes noix de A conserver dans un endroit frais scrut à l'abri de ta lumière""]",[],?,359,1502 kj(359 kcal),"2,6","0,6","69,9",3,"10,3",0,0,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Markal'],,['Gluten'],4,,,,,,,,,,,
37,Pois chiches - Ofal Bio - 500g,3329480014312,['France'],['Pois chiches biologiques'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1412,?,1412 kj(337 kcal),"5,9","0,8","44,3","2,4","18,6","0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",5.9 g,en quantité modérée,0.8 g,en faible quantité,2.4 g,en faible quantité,0.01 g,en faible quantité,+100%,,+80%,+95%,+105%,+88%,+46%,+82%,-98%,-98%,-6,,A,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,['Ofal Bio'],,,1,,500 g,"['Sachet', 'Plastique']",,,,,,,,
38,Farine de maïs,3329480016224,['France'],[],[],?,356,1490 kj(356 kcal),"1,3","0,3","75,4","0,8",6,"0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de maïs']",,1.3 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en faible quantité,0.01 g,en faible quantité,,+1%,+1%,-24%,+12%,-1%,+6%,-1%,-87%,-87%,1,+22%,B,+22%,70.6%,1.8%,11.3%,11.7%,4.5%,0.0%,93,,,,,,,,,,,,,,,
39,Graines de pavot - Ofal Bio - 250g,3329480018167,['France'],['Graines de pavot biologiques'],"['Sans huile de palme', 'Végétalien', 'Végétarien']","2147,4",?,"2147,4 kj(513 kcal)","41,6","4,5","8,6","1,8",18,"0,08","0,032",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de pavot']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",41.6 g,en quantité élevée,4.5 g,en quantité modérée,1.8 g,en faible quantité,0.08 g,en faible quantité,,,+33%,+21%,+25%,+8%,+1%,+35%,+90%,+90%,0,-100%,B,-100%,82.2%,0.0%,11.1%,3.0%,3.7%,0.0%,57,['Ofal Bio'],,,1,,250 g,"['Sachet', 'Plastique']",,,,,,,,
