,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,additives,nova_score,link,markets,allergens,generic_name,brand_owner,producer_info,palm_ingredients
869,Cornes beef -,3662444003060,,"['Viandes', 'Bœuf']",['France'],"['viande de boeuf 89,8%', 'eau proteine de soja', 'sel nitrite', 'sel', 'sucre poivre gingembre']","['Non végétalien', 'Non végétarien']",15 g,en quantité modérée,6 g,en quantité élevée,0 g,en faible quantité,0.7 g,en quantité modérée,?,,221,+23%,925 kj(221 kcal),+23%,15,+54%,6,+51%,"0,5",-53%,0,-100%,21,+4%,"0,7",-37%,"0,28",-37%,5,-5%,C,-5%,,,,,,,,,,['Canned'],,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",3,,,,,,,
870,Confiture de rose - 450g,4850089000486,,,['France'],[],[],,,,,,,,,?,,248,,1038 kj(248 kcal),,0,,0,,62,,62,,0,,"1,25",,"0,5",,,,,,,,,,,,,,450 g,,,,,,,,,,,,,,
871,Délice provençal,3760177700857,,,['France'],[],[],,,,,,,,,?,,156,,653 kj(156 kcal),,"11,6",,"1,4",,"8,4",,"1,9",,"6,4",,"0,523",,"0,209",,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Miel de Bourdaine - Miellerie de Fouesnant - 500g,3572250013484,A,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de bourdaine']",['France'],['100% Miel de Bourdaine'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,500 g,['Verre'],['Miellerie de Fouesnant'],"['France', 'Bretagne']",['Fouesnant (Finistère )'],,,2,,['Mielerie de Fouesnant'],,,,,
873,Passata di Pomodora - cucina antica - 690g,8002960240283,,,['France'],"['tomates', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,37,,155 kj(37 kcal),,"0,15",,0,,"5,4",,"4,75",,"2,32",,"0,53",,"0,212",,,,,,,,,,,,,,690g,['bouteille en verre'],['cucina antica'],,,,,,,['la marnière'],,,,,
874,Moonlight,3760256811092,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Terrine Gourmande aux épices de noël - Fleurons de Lomagne - 180g,3700428453026,,,['France'],[],[],,,,,,,,,?,,445,,1862 kj(445 kcal),,44,,18,,"1,5",,"0,4",,11,,"1,7",,"0,68",,,,,,,,,,,,,['Fabriqué en France'],180 g,,['Fleurons de Lomagne'],,,,,,,,,,,,
876,Salsichas,5602348068367,,,['France'],[],[],,,,,,,,,?,,167,,699 kj(167 kcal),,"11,8",,"4,2",,"2,7",,"0,5",,"12,6",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Chocolat noir coulis yuzu - Maison Guinguet - 100g,3760052696930,,"['Snacks', 'Snacks sucrés', 'Confiseries']",['France'],"['sucre', 'masse de cacao', 'beurre de cacao', 'yuzu 5,8%', 'pomme', 'sirop de glucose', 'eau', 'arôme naturel de vanille', 'gélifiant ', 'pectine', 'émulsifiant ', 'lécithine de SOJA', 'acidifiant ', 'acide citrique', ' Laboratoire utilisant des fruits à coques', 'arachide', 'sésame', 'soja et produits laitiers']",[],30.7 g,en quantité élevée,18.4 g,en quantité élevée,20.5 g,en quantité élevée,0.018 g,en faible quantité,?,,474,+13%,1983 kj(474 kcal),+13%,"30,7",+109%,"18,4",+185%,"39,8",-40%,"20,5",-59%,"5,31",+26%,"0,018",-88%,"0,007",-88%,19,+4%,E,+4%,,,,,,,,,100g,['Pochette'],['Maison Guinguet'],,['Les Cavales 47120 Duras'],,"['E440 - Pectines', 'E322i - Lécithine', 'E330 - Acide citrique']",4,http://www.maisonguinguet.com,,['Soja'],,,,
878,Pâte à l'ail et au gingembre,8908000836228,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
