,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,additives,nova_score,link,markets,allergens,generic_name,brand_owner,producer_info,palm_ingredients
1724,Redoro collection olive,8001302003937,,,['France'],[],[],,,,,,,,,?,,135,,565 kj(135 kcal),,14,,1,,"1,2",,0,,1,,"2,25",,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,Dragibus rouge 2kg - Haribo,3103220039724,,,['France'],[],[],,,,,,,,,?,,375,,1569 kj(375 kcal),,"0,5",,"0,1",,93,,59,,"0,5",,"0,05",,"0,02",,,,,,,,,,,,,,,,['Haribo'],,,,,,,,,,,,
1726,Mélange de légumes - Avril,3435649852784,,,['France'],[],[],,,,,,,,,?,,66,,276 kj(66 kcal),,1,,"0,1",,"8,2",,"1,5",,"4,2",,"0,46",,"0,184",,,,,,,,,,,,,,,,['Avril'],,,,,,,,,,,,
1727,batard mais et graines de tournesol,0207984014430,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",['France'],[],[],3.1 g,en quantité modérée,1.1 g,en faible quantité,3.4 g,en faible quantité,1.3 g,en quantité modérée,?,,286,-50%,1197 kj(286 kcal),-50%,"3,1",-93%,"1,1",-78%,53,+298%,"3,4",+41%,"9,8",-55%,"1,3",-28%,"0,52",-28%,4,-70%,C,-70%,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,,,,,,,,,,,
1728,Voelkel orange carotte,4015533018091,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,0,,0,,11,,"10,8",,0,,0,,0,,,,,,,,,,,,,"['Bio', 'Bio-dynamie', 'Demeter']",,,['Voelkel'],,,,,,,,,,,,
1729,TAPENADE AUX OLIVES NOIRE,3175690014808,C,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",['France'],[],[],28 g,en quantité élevée,3.5 g,en quantité modérée,0 g,en faible quantité,4.4 g,en quantité élevée,?,,286,+4%,1197 kj(286 kcal),+4%,28,+4%,"3,5",-0%,"9,6",+207%,0,-100%,"1,3",-26%,"4,4",+41%,"1,76",+41%,16,+8%,D,+8%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,,,,,,,
1730,Gouda demi-vieux,0278540020271,,,['France'],[],[],,,,,,,,,?,,424,,1774 kj(424 kcal),,35,,24,,0,,0,,27,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,Pilchard,5110817000232,,,['France'],[],[],,,,,,,,,?,,196,,820 kj(196 kcal),,"11,5",,"1,5",,0,,0,,23,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,8414048014165,8414048014165,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,2411123142054,2411123142054,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,Sausisse couteau persillée,2282669046188,,,['France'],[],[],,,,,,,,,?,,161,,674 kj(161 kcal),,"9,3",,"3,5",,"0,5",,"0,5",,19,,"1,8",,"0,72",,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,,,,
1735,Revuelto de setas - Benimar,8436008202436,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons en conserve', 'Mélanges de champignons en conserve']","['France', 'Espagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,0.55 g,en quantité modérée,?,,35,+84%,146 kj(35 kcal),+82%,0,-100%,0,-100%,"2,3",+59%,1,+78%,"1,9",+28%,"0,55",-29%,"0,22",-29%,-4,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,['Benimar'],,,,,,,,,,,,
1736,Céréales et légumes secs,3250791459946,,,['France'],[],[],,,,,,,,,?,,361,,1510 kj(361 kcal),,"10,2",,"2,1",,"33,4",,"3,6",,"21,2",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,Nocciolata,05659753,D,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",['France'],[],['Sans huile de palme'],30 g,en quantité élevée,6 g,en quantité élevée,51 g,en quantité élevée,0.13 g,en faible quantité,?,,530,-3%,2218 kj(530 kcal),-4%,30,-12%,6,-22%,53,+3%,51,+7%,7,+2%,"0,13",+26%,"0,052",+26%,21,+1%,E,+1%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,['en:palm-oil-free'],,,,,,,,,,,,,,,
1738,Banane BIO+EQUITABLE,0219616009387,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,"['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01', 'Max Havelaar', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,
1739,Comté au lait cru,35464693,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,410,+3%,1715 kj(410 kcal),+4%,34,+4%,22,+1%,"0,5",+8%,"0,5",+80%,26,+3%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,
1740,Continente,5601312072225,,,"['France', 'Portugal']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Continente'],,,,,,,['Continente'],,,,,
1741,Jambon à l ancienne,2264752038577,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",['France'],[],[],7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,161,+6%,674 kj(161 kcal),+6%,"7,9",+28%,"2,9",+20%,"0,5",+1%,"0,5",+3%,22,-1%,"1,9",-3%,"0,76",-3%,12,+23%,D,+23%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,,,,
1742,Whey Protein Coconut - Women's Best,9010128001422,,,['France'],[],[],,,,,,,,,?,,375,,1569 kj(375 kcal),,"4,9",,"2,9",,"6,1",,"4,9",,75,,"0,85",,"0,34",,,,,,,,,,,,,,,,"[""Women's Best""]",,,,,,,,,,,,
1743,Rillettes pur canard,2100332999992,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",['France'],[],[],32.3 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,1.71 g,en quantité élevée,?,,380,-5%,1590 kj(380 kcal),-5%,"32,3",-12%,10,-20%,0,-100%,0,-100%,"22,3",+38%,"1,71",+25%,"0,684",+25%,20,+4%,E,+4%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,,
1744,Tranches de Filet de canard,2447073032343,D,"['Viandes', 'Volailles', 'Canards', 'Filets de canard']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,,,,,
1745,Ivoria Ball. pap. kdo+rub.,3250391895502,,,['France'],[],[],,,,,,,,,?,,545,,2280 kj(545 kcal),,"30,7",,"17,1",,59,,"44,8",,"6,6",,"0,13",,"0,052",,,,,,,,,,,,,,,,['Ivoria'],,,,,,,,,,,,
1746,Confiture de mûres épépinés - Mon terroir - 240g,3760192730938,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de mûres']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,0.012 g,en faible quantité,?,,234,+1%,979 kj(234 kcal),+1%,0,-100%,0,-100%,56,+1%,55,+4%,"0,6",+1%,"0,012",-65%,"0,005",-65%,11,+11%,D,+11%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,240g,,['Mon terroir'],,,,,,,,,,,,
1747,Rillettes aux deux saumons,3193840025603,E,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de saumon']",['France'],[],[],18 g,en quantité modérée,9.5 g,en quantité élevée,1.1 g,en faible quantité,1.8 g,en quantité élevée,?,,226,+3%,946 kj(226 kcal),+3%,18,+5%,"9,5",+96%,"1,2",-46%,"1,1",+21%,14,+4%,"1,8",+58%,"0,72",+58%,18,+105%,D,+105%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,,,,,,,,,,,,,
1748,Energy sport cake,3760103005674,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,Pure honey,20924768,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],[],[],0.5 g,en faible quantité,0.2 g,en faible quantité,81 g,en quantité élevée,0.03 g,en faible quantité,?,,336,+16%,1406 kj(336 kcal),+15%,"0,5",+359%,"0,2",+441%,82,+7%,81,+17%,"0,5",+53%,"0,03",+85%,"0,012",+85%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,
1750,English Breakfast - Twinings,0070177050610,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Twinings'],,,,,,,,,,,,
1751,Galettes pommes 6 parts,0203537025915,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],[],13 g,en quantité modérée,9.1 g,en quantité élevée,8.2 g,en quantité modérée,0.5 g,en quantité modérée,?,,258,-39%,1079 kj(258 kcal),-39%,13,-51%,"9,1",-39%,31,-20%,"8,2",-36%,"2,8",-56%,"0,5",-28%,"0,2",-28%,15,-22%,D,-22%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,,,
1752,Herbamare,50453665,,,['France'],[],[],,,,,,,,,?,,307,,1284 kj(307 kcal),,22,,"10,9",,"25,2",,"12,6",,"1,7",,48,,"19,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,Tahin - Burami,4260157576742,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits à tartiner', 'Céréales et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Purées de céréales', 'Purées de sésame']",['France'],[],[],58 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0.4 g,en quantité modérée,?,,664,+4%,2778 kj(664 kcal),+4%,58,+4%,10,+21%,"12,5",+96%,0,-100%,23,+3%,"0,4",+233%,"0,16",+233%,18,+35%,D,+35%,84.4%,6.1%,3.7%,4.2%,1.7%,0.0%,47,,,,['Burami'],,,,,,,,,,,,
1754,Caramandes,3760226610069,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,Albaran 2016 - Moulin de Gassac - 75cl,3257698304102,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', ""Pays d'Hérault""]",['France'],"['Vin rouge Cabernet-Sauvignon - Syrah', ""IGP Pays d'Hérault"", ' Contient des sulfites']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Déconseillé aux femmes enceintes'],75 cl,"['Bouteille', 'Verre']",['Moulin de Gassac'],['France'],"['Hérault', 'France']",,,,,,['Anhydride sulfureux et sulfites'],,,,
1756,Datte Medjoub,2609923037391,,,['France'],[],[],,,,,,,,,?,,322,,1347 kj(322 kcal),,"0,2",,0,,75,,"66,5",,"1,8",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,Comté,3123930617463,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,410,+3%,1715 kj(410 kcal),+4%,34,+4%,22,+1%,"0,5",+8%,"0,5",+80%,26,+3%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,"['FR 39.558.001 CE', 'Vevy (Jura, France)']",,,,,,,,,
1758,Kitkat fraise - Nestlé,4902201172905,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,
1759,Grandi tondi,0206243009811,,,['France'],[],[],,,,,,,,,?,,266,,1113 kj(266 kcal),,"12,6",,"3,4",,"28,1",,"6,6",,"8,4",,"1,48",,"0,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,chocolat blanc saveur framboise - La Plantation Victoria - 80g,15019653,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",['France'],"['CHOCOLAT BLANC AUX ÉCLATS SAVEUR FRAMBOISE Ingrédients chocolat blanc ', 'sucre', 'beurre de cacao', 'poudre de LAIT entier', 'extrait de vanille', 'sucre', 'sirop de glucose', 'acidifiant acide citrique', 'arôme naturel', 'colorant carmins', ' Peut contenir des traces de fruits à coque et de soja']","['Non végétalien', 'Non végétarien']",36 g,en quantité élevée,22 g,en quantité élevée,53 g,en quantité élevée,0.21 g,en faible quantité,?,,565,0%,2364 kj(565 kcal),+0%,36,-0%,22,+2%,56,+5%,53,+5%,"5,6",-16%,"0,21",-18%,"0,084",-18%,27,+1%,E,+1%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,80 g,['Tablette'],['La Plantation Victoria'],,,,"['E330 - Acide citrique', 'E120 - Acide carminique']",4,,,['Lait'],,,,
1761,Smooth peanut butter,9417627340265,,,['France'],[],[],,,,,,,,,?,,382,,1598 kj(382 kcal),,8,,"1,5",,"3,5",,"1,5",,4,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,Jibal yugurt à boire,6111246953181,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,VandenBulcke,5411333995225,,,['France'],[],[],,,,,,,,,?,,562,,2351 kj(562 kcal),,36,,20,,54,,52,,5,,1,,"0,4",,,,,,,,,,,,,['Fabriqué en Belgique'],,,,,,,,,,,,,,,
1764,Truffes Fantaisie sel de guerande - Chocolat Mathez - 100g,3481290040575,,,['France'],"['Graisses végétales ', 'coprah', 'palmiste', 'sucre', 'cacao maigre en poudre', 'lactosérum en poudre', 'cacao en poudre', 'sel de Guérande 0,5%', 'émulsifiant : lécithines de soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,597,,2498 kj(597 kcal),,45,,39,,41,,39,,4,,"0,59",,"0,236",,,,,,,,,,,,,,100 g,['Boîte carton'],['Chocolat Mathez'],,['France'],,['E322i - Lécithine'],4,,,,,,,['Huile de palme']
1765,Double Strength Whole Lemon Squash No Added Sugar - Tesco,5051622748059,,,['France'],"['Water', 'comminuted lemon from concentrate ', '26%', 'citric acid', 'acidity regulator ', 'sodium citrate', 'sweeteners ', 'sucralose', 'acesulfame K', 'preservatives ', 'potassium sorbate', 'sodium metabisulphite', 'stabiliser ', 'carboxymethylcellulose', 'flavouring', 'malic acid']",[],,,,,,,,,?,,2,,8 kj(2 kcal),,"0,1",,"0,1",,"0,1",,"0,1",,"0,1",,"0,1",,"0,04",,,,,,,,,,,,,['Sans sucre ajouté'],,,['Tesco'],,,,"['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E955 - Sucralose', 'E950 - Acésulfame K', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E466 - Carboxyméthylcellulose', 'E296 - Acide malique']",4,,,"['Anhydride sulfureux et sulfites', 'en:metabisulphite']",Concentrated no added sugar whole lemon juice drink with sweeteners,,,
1766,Chongga jajangmyeon,8801024951444,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,141,,590 kj(141 kcal),,"2,8",,"0,6",,"26,3",,"2,2",,"3,7",,"6,636",,"2,654",,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,
1767,Bunte linsen,9002859100710,,,['France'],[],[],,,,,,,,,?,,471,,1971 kj(471 kcal),,16,,10,,78,,77,,"3,1",,"0,1",,"0,04",,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,,
1768,Confiture Mûre - Mamie Douceur,45025655,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de mûres']",['France'],[],[],0.5 g,en faible quantité,0.2 g,en faible quantité,56 g,en quantité élevée,0.01 g,en faible quantité,?,,247,+6%,1033 kj(247 kcal),+7%,"0,5",+77%,"0,2",+220%,60,+8%,56,+6%,"0,6",+1%,"0,01",-71%,"0,004",-71%,12,+21%,D,+21%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,['Mamie Douceur'],,,,,,,,,,,,
1769,Petits piments épicés,9002859046100,,,['France'],[],[],,,,,,,,,?,,10,,42 kj(10 kcal),,0,,0,,"0,7",,0,,"1,9",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,Farine de sarrasin - La Ferme de Bord,3052351340141,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de sarrasin']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,,,,['La Ferme de Bord'],,,,,,,,,,,,
1771,"Mammoth Mass, Chocolate",0625486101005,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,Pâté de viande,3348709969097,,,['France'],[],[],,,,,,,,,?,,335,,1402 kj(335 kcal),,"19,9",,"10,8",,"26,3",,"0,9",,"11,4",,"1,31",,"0,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,Mini beignets chocolat-noisette,0201954022968,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['France'],[],[],24 g,en quantité élevée,8.5 g,en quantité élevée,19 g,en quantité élevée,0.72 g,en quantité modérée,?,,428,+21%,1791 kj(428 kcal),+20%,24,+52%,"8,5",+145%,45,-0%,19,+17%,"6,8",+7%,"0,72",-2%,"0,288",-2%,20,+67%,E,+67%,,,,,,,,,,,,,,,,,,,,,,,
1774,Salade de surimi - Delhaize,5400119512695,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,['Delhaize'],,,,,
1775,"Wintertraum Vanille Kipferl 200g, Wintertraum Va...",22119360,,,['France'],[],[],,,,,,,,,?,,157,,657 kj(157 kcal),,"8,5",,"5,6",,"17,9",,"6,6",,2,,"0,03",,"0,012",,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,,
1776,Lyoner,737486611630753,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Barquette'],,,,,,,,,,,,,
1777,Barbe a papa,6111250820011,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Barbes à papa']",['France'],[],[],0.3 g,en faible quantité,0.3 g,en faible quantité,98 g,en quantité élevée,0.1 g,en faible quantité,?,,391,+6%,1636 kj(391 kcal),+4%,"0,3",+186%,"0,3",+191%,98,+4%,98,+4%,"0,2",+107%,"0,1",+545%,"0,04",+545%,14,0%,D,0%,,,,,,,,,,,,,,,,,,,,,,,
1778,Les sablés nappés chocolat au lait - Carrefour,9238013154255,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Sablés nappés de chocolat', 'Biscuits au chocolat au lait']",['France'],"['Farine de blé 39%', 'chocolat au lait 29% [sucre', 'poudre de lait entier', 'beurre de cacao', 'pâte de cacao', 'lactosérum en poudre', 'matière grasse de lait anhydre', 'émulsifiant : lécithines ', 'soja', 'arôme naturel de vanille]', 'graisse de palme 14,4%', 'farine complète de blé 10,5%', 'sucre', 'sirop de sucre inverti', ""poudre à lever : carbonates de sodium et carbonates d'ammonium"", 'son de blé 0,5%', 'sel', "" Peut contenir des traces d'eufs et de fruits à coque""]","['Huile de palme', 'Non végétalien']",24 g,en quantité élevée,13 g,en quantité élevée,28 g,en quantité élevée,1.3 g,en quantité modérée,?,,502,+1%,2100 kj(502 kcal),+0%,24,+1%,13,+8%,63,+0%,28,+3%,"7,5",+8%,"1,3",+72%,"0,52",+72%,27,+26%,E,+26%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['Fabriqué en France'],,,['Carrefour'],,,,"['E322i - Lécithine', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",4,,['Carrefour'],"['Gluten', 'Soja']",,,,['Huile de palme']
1779,Sauce huitre végétarienne,0078895100846,,"['Epicerie', 'Sauces', ""Sauces à l'huitre""]","['France', 'États-Unis']","['Water', 'sugar', 'soy sauce ', 'water', 'salt', 'soybeans', 'wheat flour', 'salt', 'modified corn starch', 'yeast extract', 'caramel color', 'natural and artificial mushroom flavor ', 'natural flavoring', 'artificial flavoring', 'salt', ""disodium 5'-inosinate and disodium 5'-guanylate""]",[],0 g,en faible quantité,0 g,en faible quantité,26.3 g,en quantité élevée,11.3 g,en quantité élevée,?,,132,+39%,552 kj(132 kcal),+38%,0,-100%,0,-100%,"31,58",+54%,"26,32",+73%,0,-100%,"11,315",+27%,"4,526",+27%,16,+21%,D,+21%,,,,,,,,,,,,,,,"['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",4,,,"['Gluten', 'Soja']",,Lee Kum Kee Co. Ltd.,,
1780,Salade Tahitienne,3760258520022,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,Celebon Pomegranate Mask - 23g,8809267016241,,,"['France', 'Singapour']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,23 g,,,,,,,,,,,,,,
1782,Tablette chocolat blanc,5412860003988,,,['France'],[],[],,,,,,,,,?,,557,,2330 kj(557 kcal),,34,,20,,57,,56,,"6,36",,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,Oettinger Weizen Und Grapefruit,4014086010644,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,Local legends biltong,9312564607566,,,['France'],[],[],,,,,,,,,?,,268,,1121 kj(268 kcal),,"7,8",,"3,7",,"5,6",,"5,6",,"42,9",,"2,29",,"0,916",,,,,,,,,,,,,['Fabriqué en Australie'],,,,,,,,,,,,,,,
1785,Pates de dattes,5420038405236,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Fruits', 'Pâtes de fruits', 'Dattes', 'Pâtes de dattes']",['France'],[],[],0.2 g,en faible quantité,0.1 g,en faible quantité,60 g,en quantité élevée,0.1 g,en faible quantité,?,,279,-1%,1167 kj(279 kcal),-2%,"0,2",-56%,"0,1",+27%,73,+11%,60,+41%,"2,2",-4%,"0,1",+580%,"0,04",+580%,7,+94%,C,+94%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,,,,,,,,
1786,Marrons au rhum,3760008043863,,,['France'],[],[],,,,,,,,,?,,318,,1331 kj(318 kcal),,"0,9",,"0,2",,72,,46,,"0,9",,"0,04",,"0,016",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,
1787,Genuine Greek yogurt,5359902004544,,,['France'],[],[],,,,,,,,,?,,134,,561 kj(134 kcal),,10,,"6,5",,"3,8",,"3,8",,"6,5",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,Baie de goji - Daco Bello,59564584,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Baies de goji séchées']",['France'],[],[],3.5 g,en quantité modérée,0.6 g,en faible quantité,48 g,en quantité élevée,1.1 g,en quantité modérée,?,,359,+9%,1502 kj(359 kcal),+8%,"3,5",+19%,"0,6",+35%,61,+3%,48,+7%,13,+4%,"1,1",+76%,"0,44",+76%,8,+172%,C,+172%,,,,,,,,,,,['Daco Bello'],,,,,,,,,,,,
