,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,generic_name,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,nova_score,quantity,packaging,manufacturing,palm_ingredients,markets,traceability_code,ingredients_origins,link,brand_owner
1685,8 nigiris et assaisonnement - Mymaki,3760190932136,['France'],[],[],?,154,644 kj(154 kcal),?,"0,3",?,"2,4",4,"1,3","0,52",['Mymaki'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,Printemps et assaisonnement - Mymaki,3760190932273,['France'],[],[],?,161,674 kj(161 kcal),?,"0,2",?,"5,3","3,7","1,2","0,48",['Mymaki'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,Fresh legumes et assaisonnement - Mymaki - 210g,3760190932310,['France'],"['Sushis : riz cuit et assaisonné ', 'eau', 'riz', 'vinaigre ', 'eau', 'alcool', 'riz', 'extrait de saké', 'sel', 'sucre', 'tréhalose*', 'légumes 20% ', 'avocat', 'concombre', 'salade', 'menthe', 'carotte', 'coriandre', 'galette de riz ', 'riz 55%', 'tapioca', 'eau', 'sel', ' \r*le tréhalose est source de glucose', ' \r Sauce Soja : eau', 'graines de soja', 'blé', 'sel', ' Sauce Wasabi : poudre de raifort', 'sorbitol ', 'E420', 'eau', 'huile végétale', 'sel', 'wasabi', 'moutarde', 'acide citrique ', 'E330', 'extrait de moutarde', 'curcuma', 'colorant E133']","[""Pourrait contenir de l'huile de palme"", 'Végétarien']",?,157,657 kj(157 kcal),3,"0,4",29,"2,5","2,3","1,2","0,48",['Mymaki'],['Végétarien'],,,"['Plats préparés', 'Sushis et makis', 'Sushis']",3 g,en quantité modérée,0.4 g,en faible quantité,2.5 g,en faible quantité,1.2 g,en quantité modérée,,0%,+2%,-29%,-58%,+21%,-43%,-59%,-22%,-22%,4,-37%,C,-37%,,,,,,,,"['E420 - Sorbitol', 'E330 - Acide citrique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']","['Gluten', 'Moutarde', 'Soja']",4,210 g,,,,,,,,
1688,Soja saumon cheese - Mymaki,3760190932426,['France'],[],[],?,168,703 kj(168 kcal),"4,6","1,1","24,2","2,2","5,4","1,3","0,52",['Mymaki'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,Chirachi saumon - Mymaki - 250g,3760190932488,['France'],"['Riz CIIi', ' et ', 'eau', 'riz', 'vinaigre ', 'eau', 'alcool', 'riz', ' extrait de sake', 'sucre', 'sel', 'tréhalose:$ cre atlantique deccnoe}é avocat', 'graines de sésame', ' le tréhalose est source de glucose', "" !ing€'-inbee ìiiàfine : eau"", 'Sel', 'vinaigre de riz', 'colorant naturel lithocylane acidifiants : E330', 'F-260', ""régulateur d'acidité : E296 "", ' exhausteur de goût E621 sucres ', "" E951* conservateur : F950 E'954"", 'E9S9', ' de la phénylalanine', ' aszce Scia : eau', 'graines de soie', 'lé', 'se}', ' \rSauce Wasabi ', ' poudre de raifofl', ""sorbitol 'L420"", 'eau', 'huile végétale', 'sel', 'wusati', 'moutarde', 'acide citrique ', 'E330', 'extrait de moutarde', 'curcuma', 'colorant E 133', ' \rFabriqué dans un atelier qui utilise également gluten', 'crustacés', 'œuf', 'lait', 'moutarde', 'poisson', 'arachides', 'soja', 'sésame', 'sulfites']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,163,682 kj(163 kcal),"6,3",1,"19,5","1,8","5,9","1,1","0,44",['Mymaki'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E296 - Acide malique', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E951 - Aspartame', 'E420 - Sorbitol', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']","['Moutarde', 'Graines de sésame']",4,250 g,,,,,,,,
1690,Salade de calamars - Mymaki,3760190932563,['France'],[],[],?,86,360 kj(86 kcal),?,0,?,16,13,"2,8","1,12",['Mymaki'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,Brochette Poulet Et Riz - Sky Kitchens,3760190932617,['France'],[],[],?,154,644 kj(154 kcal),?,"0,6",?,"4,5","8,2","0,4","0,16",['Sky Kitchens'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,Salade bobun aux crevettes - Mymaki,3760190932723,['France'],"['Salade', 'vermicelle de riz ', 'farine de iz', 'sel', 'eau', 'carotte', 'menthe', 'oncombre', 'cacahouète', 'crevette uite 15%', 'crevette ', 'penaeus onodon litotenaeus vannamei', 'sel', ""orrecteur d'acidité : E260"", 'E270', ' auce nem : noc nam', ""extrait 'anchois 77%"", 'sel 20%', 'sucre 3%', 'ucre', 'vinaigre', 'piment frais', 'eau', 'Cide E260', 'gent conservateur E211', ' auce So?a 30 : eau', 'sauce soja eau', 'graines de soja', 'sel', 'farine de lé', 'sucre', ""vinaigre d'alcool"", 'onservateur E202']","['Non végétalien', 'Non végétarien']",?,123,515 kj(123 kcal),"2,5","0,4","18,4","4,2","5,7",2,"0,8",['Mymaki'],,,,"['Plats préparés', 'Salades', 'Salades composées', 'Salades de légumes']",2.5 g,en faible quantité,0.4 g,en faible quantité,4.2 g,en faible quantité,2 g,en quantité élevée,,-8%,-6%,-62%,-60%,+101%,+87%,-21%,+153%,+153%,5,,C,,,,,,,,,"['E260 - Acide acétique', 'E270 - Acide lactique']","['Crustacés', 'Poisson', 'Arachides', 'Soja']",3,,,,,,,,,
1693,Makis -,3760190932846,['France'],[],[],?,159,665 kj(159 kcal),"3,9","0,7","25,9","2,2","4,2","5,7","2,28",,,,,"['Plats préparés', 'Sushis et makis', 'Sushis']",3.9 g,en quantité modérée,0.7 g,en faible quantité,2.2 g,en faible quantité,5.7 g,en quantité élevée,,+1%,+3%,-8%,-26%,+8%,-50%,-26%,+273%,+273%,11,+72%,D,+72%,,,,,,,,,,,,,,,,,,,
1694,Mochi Tricolor -,3760190932990,['France'],"['Pâte ', 'eau', 'farine de riz gluant ', '21 %', 'sel', 'amidon modifié', 'CRÈME', 'LAIT', 'sucre', 'FROMAGE à la CRÈME ', 'LAIT', 'CRÈME', 'sel', 'épaississant: E410', 'tréhalose ', 'est une source de glucose', 'poudre de cacao', 'poudre de café', 'RHUM', 'arôme', 'émulsifiants : E433', 'E435', 'E471', 'E473', 'E491', 'humectant: E420', 'épaississant : E407', 'E412', 'E416']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,290,1213 kj(290 kcal),6,"0,1",56,28,"2,2","0,4","0,16",,,,Mochis au tiramisu - Mochi Tiramisu,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Mochi']",6 g,en quantité modérée,0.1 g,en faible quantité,28 g,en quantité élevée,0.4 g,en quantité modérée,,-4%,-6%,+49%,-93%,-15%,-6%,-13%,+122%,+122%,9,-12%,C,-12%,,,,,,,,"['E14XX - Amidons modifiés', 'E410 - Gomme de caroube', 'E433 - Monooléate de polyoxyéthylène de sorbitane', '', 'Risque modéré de sur-exposition', 'E435 - Monostéarate de polyoxyéthylène sorbitane', '', 'Risque modéré de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E491 - Monostéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E416 - Gomme karaya']",['Lait'],4,,['Plastique'],,,,,,,
1695,Instant miso soup tofu - Miyasaka-jozo,3760190933294,['France'],[],[],?,117,490 kj(117 kcal),?,0,?,"11,7","9,4","9,4","3,76",['Miyasaka-jozo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,Brochette Tsukune - U,3760190934031,['France'],"['•o\'""toe', 'Brochettes Tsukune déoongolé08 : poulet 66%', 'gnuoa ', 'sauce SOJA ', 'gralnos do SOJA', 'eau', 'farina', 'gel', 'Mlrln ', 'rlz', 'lavure do riz', 'suoro', 'ALCOOL', 'épa188188ant : El 422', 'ALCOOL', 'exhausteurs do g00t : E621', 'E627', 'E631', 'colorant : E150 ', 'a', 'eau', 'olgnong', 'OEUFS', 'amidon da pommes de terre', 'mlettes do pain ', 'farlno da BLE', 'eau', 'shortanlng', 'dextrose', 'lavure', 'sel', 'sauoa SOJA ', 'gralnag de SOJA', 'eau', 'farine', 'gel', 'protélnas de SOJA', 'sucra', 'exhausteur do goût : E621', 'glngombro', '801', 'polyra blanc', 'sauce mélangée ', 'gauoa SOJA ', 'gralnas da SOJA', 'eau', 'farine', '801', 'vin', 'amidon de mars', 'ALCOOL', 'axhaustaur de goût : E621', 'vlnalgre de rlz', 'oolorant : EIEO ', 'a', 'épalsslsgant E41b', 'eau', ' Brochettes Yakitori déoongalées ', 'poulot ', 'sauoa SOJA ', 'graines de SOJA', 'BLE', 'sel', 'eau', 'sucra', 'eau slrop da fructose', ' amidon de tapiooa modlfji : E1442', 'E1420', 'aloool de riz doux', ' pète de gingembre', 'sol', 'oolorant : ElbOd', 'El 600', "" régulateur d'aoldlti : E4b1i"", 'polvr• d•']","['Non végétalien', 'Non végétarien']",?,176,736 kj(176 kcal),"6,3","1,4","14,8","8,1","14,9","1,7","0,68",['U'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E150 - Caramel', 'E1442 - Phosphate de diamidon hydroxypropyle', 'E1420 - Amidon acétylé']","['Œufs', 'Gluten', 'Soja']",4,,,,,,,,,
1697,Bento printemps - Mymaki,3760190934284,['France'],"['Sushis : riz cuit et assaisonné ', 'eau', 'riz', 'inaigre ', 'eau', 'alcool', 'riz', 'extrait de saké', 'sel', 'ucre', 'tréhalose* ', 'avocat', 'saumon atlantique ru décongelé', 'crevette penaeus vannamei uite décongelé', 'crevette décongelée ', 'penaeus onodon litotenaeus vannamei ', 'sel', 'sulfites', ""otrecteur d'acidité : E260"", 'E270', ' salade', 'nenthe', 'concombre', 'galette de riz ', 'riz 50/qtapioca', 'eau sel', 'coriandre', 'graines cis ésame', ' le b-ehahose est source de glucose', ' ingembre mariné : gingembre', 'eau', 'sel', 'inaige de riz', 'colorant naturel anthocylane cidifiants : E330', 'E260', ""régulateur de l'acidité "", ' 296', 'eûausteur de goût E621', 'conservatuers : 202', 'sucres : E951*', 'E950', 'E954', 'E959', ' contient de la phenylalaine', ' auce Soja : eau', 'graines de soja', 'blé', 'sel', ' Sauc asabi : poudre de raifort', 'sorbitol ', 'E420', 'eau', 'uile végétale', 'sel', 'wasabi', 'moutarde', 'acide itrique ', 'E330', 'extrait de moutarde', 'urcuma,colorant El 33', ' AUCE AIGRE DOUCE 30 ', ' eau', 'sucre', 'irop de glucose', ""vinaige d'alcool "", 'contient des ulfites', 'amidon modifié', 'concentré de tomates', 'el', 'arômes', 'conservateur E202', ' Igues ', 'wakame', ' décongelées 80 96 hampignons', 'épaississant ', 'agar-agar', 'vinaige', ""'dulcomnt "", 'E420', 'gaines de sésame', 'sirop de lucose-fructose', 'huile de sésame', 'sucre', 'sel', 'Igue en poudre', 'piment', 'exhausteur de goût 621', 'E631', 'E628', 'conservateur ', 'E202', ""orrecteur d'acidite "", 'E296', 'colorant ', 'El 33', '100', ' ochi coco : riz glutineux ', '27%', 'sucre', 'eau', 'ocons de noix de coco ', '7%', 'sirop de glucose- ructose', 'huile de palme', 'sel', 'arômes ulsifiants : E471', 'FA91', 'épaississants : E401', '15', 'F""', 'humectant : E340', ' abriqué dans un atelier qui utilise également uten', 'crustacés', 'oeuf', 'lait', ' poisson', 'rachides', 'soja', 'moutarde', 'sésame', 'ulfites']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,149,623 kj(149 kcal),"2,7","0,3","26,1","2,2","4,1","2,7","1,08",['Mymaki'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E260 - Acide acétique', 'E270 - Acide lactique', 'E330 - Acide citrique', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E954 - Saccharine et ses sels', 'E959 - Néohespéridine dihydrochalcone', 'E420 - Sorbitol', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E406 - Agar-agar', 'E631 - Inosinate disodique', 'E628 - Guanylate dipotassique', 'E296 - Acide malique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E401 - Alginate de sodium', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Moutarde', 'Soja', 'Anhydride sulfureux et sulfites']",4,,,,['Huile de palme'],,,,,
1698,Fleur d'hibicus bio,3760190990105,['France'],[],[],?,?,,?,,?,,?,,,,"['Bio', 'Bio européen', 'en:AD-BIO-154']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,"Beurre De Baratte Doux, Sucré, à La Vanille De Madagascar - Bordier",3760191050167,['France'],"['beurre doux ', '96', '5%', 'cassonade ', '2%', 'vanille de Madagascar ', '1,5%']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,730,3054 kj(730 kcal),79,53,4,4,"0,7","0,04","0,016",['Bordier'],,,,['Matières grasses'],79 g,en quantité élevée,53 g,en quantité élevée,4 g,en faible quantité,0.04 g,en faible quantité,,-9%,-9%,-11%,+132%,+1686%,+2369%,+295%,-79%,-79%,19,+68%,E,+68%,,,,,,,,,,2,,,,,,,,,
1700,Yaourt ananas orange - Bordier,3760191050242,['France'],[],[],?,111,464 kj(111 kcal),"2,8","1,9","17,5",16,4,"0,1","0,04",['Bordier'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,Le beurre  bordier,3760191050402,['France'],[],[],?,732,3063 kj(732 kcal),78,49,"5,3","4,6","2,1","1,75","0,7",['Bordier'],,E,,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres']",78 g,en quantité élevée,49 g,en quantité élevée,4.6 g,en faible quantité,1.75 g,en quantité élevée,,+2%,+2%,-2%,-8%,+621%,+646%,+210%,+84%,+84%,26,+19%,E,+19%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,,,,,
1702,Beurre De Baratte à L'ail Et Fines Herbes Et Poivre De Sichuan - Bordier,3760191051997,['France'],[],[],?,780,3264 kj(780 kcal),78,52,"0,7","0,7","0,8","0,3","0,12",['Bordier'],,E,,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de baratte']",78 g,en quantité élevée,52 g,en quantité élevée,0.7 g,en faible quantité,0.3 g,en quantité modérée,,+6%,+7%,-4%,-4%,+1%,+25%,+13%,-75%,-75%,20,-13%,E,-13%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,,,,,
1703,Bière blonde - Jacquie & Michel - 33cl,3760191090149,['France'],"['Eau', ""malt d'-orge_"", 'houblon']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Jacquie & Michel'],"['Déconseillé à certaines catégories de personnes', 'Décret sur la pureté de la bière', 'Déconseillé aux femmes enceintes']",C,Bière blonde allemande,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières allemandes', 'Bières blondes']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,['Gluten'],3,33 cl,"['Bouteille', 'Verre']",,,['U Express'],,,,
1704,Ultra-D3,3760191461505,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,Pâte à tartiner bio - Tour d'argent,3760191542273,['France'],[],[],?,561,2347 kj(561 kcal),36,5,50,47,9,"0,1","0,04","[""Tour d'argent""]","['Bio', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,Figues violettes - Tour d'Argent - 220g,3760191545298,['France'],[],[],?,?,,?,,?,,?,,,"[""Tour d'Argent""]",,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",,,,,,,,,,,,,,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,220 g,,,,,,,,
1707,3760191710092,3760191710092,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Farine de châtaigne 500g,3760191841086,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,Farine de riz 500g,3760191841130,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,Préparation pour pâte à crêpes  800g - 800g,3760191841147,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 g,,,,,,,,
1711,Farine de petit épeautre  T110 2kg,3760191845329,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,Graines de sésame,3760191845718,['France'],[],[],?,?,,?,,?,,?,,,,,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Sésame']",,,,,,,,,,,,,,,,,,,,,,,87.1%,0.0%,3.8%,5.0%,2.6%,1.6%,30,,,,,,,,,,,,
1713,Graines de tournesol,3760191845749,['France'],[],[],?,?,,?,,?,,?,,,,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",,,,,,,,,,,,,,,,,,,,,,,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,,,,,,,
1714,Farine de kamut 1kg - 1kg,3760191845855,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,
1715,Levain de seigle,3760191845893,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,Caramel a tartiner,3760192120036,['France'],[],[],?,376,1573 kj(376 kcal),12,"8,8",65,64,"0,67","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,Caramel à Tartiner,3760192120050,['France'],[],[],?,386,1615 kj(386 kcal),13,"8,5",66,62,"1,1","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,Caramel a tartiner au beurre sale et fleur de sel - Soleil de France - 220g,3760192120067,['France'],"['Sucre', 'sirop de glucose', 'beurre salé 4,5 %', 'crème macarons 4 %', ""poudre d'amande"", 'jus de citron', 'fleur de sel 0,1 %']",['Non végétalien'],?,382,1598 kj(382 kcal),13,"8,5",63,62,"1,4","0,27","0,108","['Soleil de France', 'Crystal Gourmet']","['Point Vert', 'Fabriqué en France', 'Fabrication artisanale']",,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel']",13 g,en quantité modérée,8.5 g,en quantité élevée,62 g,en quantité élevée,0.27 g,en faible quantité,,-9%,-9%,-33%,-29%,+7%,+31%,-23%,-56%,-56%,23,-7%,E,-7%,,,,,,,,,"['Lait', 'Fruits à coque']",4,220 g,"['Bocal', 'Verre', 'métal']",['France'],,,,,,
1719,Confi'the,3760192120111,['France'],[],[],?,153,640 kj(153 kcal),"0,11","0,02","36,9","36,7","0,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,Confi'thé Framboises thé Violette - Soleil de France - 1,3760192120197,['France'],[],[],?,172,720 kj(172 kcal),"0,15","0,01",39,"38,8","0,7","0,01","0,004",['Soleil de France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1721,Carameloos de noël - Crystal Gourmet,3760192121231,['France'],"['sucre', 'sirop de glucose', 'crème beurre demi-sel 5,5% Bigarreau', 'Arôme cerise', 'Arôme Amande', 'Fleur de Sel de Guérande 0,1%']",[],?,398,1665 kj(398 kcal),17,12,60,60,"0,67","0,39","0,156",['Crystal Gourmet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
1722,Caramel à tartiner au beurre salé et citron,3760192122153,['France'],[],[],?,1,4 kj(1 kcal),33,"0,1",1,"0,5",0,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,Asticots de couleur,3760192290210,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,3760192430067,3760192430067,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,Thé Rooibos Pour Toi Et Moi Bio Ab,3760192464185,['France'],[],[],?,4,17 kj(4 kcal),0,0,0,0,0,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,Fèves de cacao,3760192464918,['France'],[],[],?,228,954 kj(228 kcal),14,8,58,"1,8",20,"0,021","0,008",,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,Fèves de cacao,3760192465212,['France'],[],[],?,?,,?,,?,,?,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,Magnesium marin,3760192465328,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,Baies de Goji,3760192465465,['France'],[],[],?,344,1439 kj(344 kcal),"1,21","0,44","57,82","43,82","11,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,Organic Bloom pur jus grenade bio,3760192490023,['France'],[],[],?,79,331 kj(79 kcal),"0,3",0,"17,2","17,2",1,0,0,['Organic Bloom'],"['Bio', 'Sans additifs', 'Sans conservateurs']",,,['Boissons'],0.3 g,en faible quantité,0 g,en faible quantité,17.2 g,en quantité élevée,0 g,en faible quantité,,+41%,+37%,-14%,-100%,+52%,+82%,+102%,-100%,-100%,19,+148%,E,+148%,,,,,,,,,,,,,,,,,,,
1731,Organic turmeric juice - Karma,3760192490542,"['France', 'Espagne']",[],[],?,11,46 kj(11 kcal),"0,1","0,1","2,5","2,4","0,1","0,1","0,04",['Karma'],,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",0.1 g,en faible quantité,0.1 g,en faible quantité,2.4 g,en faible quantité,0.1 g,en faible quantité,,-76%,-76%,-41%,+256%,-76%,-75%,-74%,+911%,+911%,-6,-258%,B,-258%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
1732,Kombucha Pomegranate (12) - Karma,3760192490627,['France'],"['97,5% Karma Kombucha ', ""thé vert* Chun Mee de la région d'Hubei"", 'sucre de canne Blond du Brésil ', 'transformé durant la fermentation', 'culture de kombucha ', 'bactéries et levures', '2,5% ', 'jus de grenade frais*', 'jus de gingembre frais*', 'infusion d’hibiscus*']",[],?,10,42 kj(10 kcal),0,0,"2,5","2,5",0,0,0,['Karma'],['Bio'],C,,"['Boissons', 'Boissons au thé', 'Kombuchas']",0 g,en faible quantité,0 g,en faible quantité,2.5 g,en quantité modérée,0 g,en faible quantité,,-44%,-44%,-100%,-100%,-35%,-27%,-100%,-100%,-100%,4,-30%,C,-30%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,,,,,,,,,,,
1733,Kombucha - GreenAge,3760192490917,['France'],['100% kombucha'],['Sans huile de palme'],?,10,42 kj(10 kcal),"0,1","0,1",2,2,"0,1","0,1","0,04",['GreenAge'],,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Boissons au thé', 'Kombuchas']",,,,,,,,,,-44%,-44%,+108%,+258%,-48%,-42%,+37%,+400%,+400%,4,-30%,C,-30%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,1,,,,,,,,,
1734,Ya Chia,3760192491617,['France'],[],[],?,94,393 kj(94 kcal),"5,6","0,6",6,"5,6","2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735,YA AVOINE - Bio Groupe,3760192497145,['France'],"[""Jus d'avoine 97%* "", 'eau', 'avoine complète 14%*', 'amidon de manioc*', 'ferments sélectionnés', 'gélifiant: agar agar*', "" *100% des ingrédients d'origine agricole sont biologiques""]",[],?,56,234 kj(56 kcal),"0,7","0,2",12,"7,7","1,4","0,03","0,012",['Bio Groupe'],['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E406 - Agar-agar'],,4,,,,,,,,,
1736,Ya avoine myrtille,3760192497176,['France'],"[""Jus d'avoine 83% "", 'eau', 'avoine complète 14%', 'myrtille 7%*', 'sucre de canne blond* du Brésil', 'amidon de manioc*', 'ferments sélectionnés', 'gélifiant: agar agar*']",['Sans huile de palme'],?,78,326 kj(78 kcal),"0,7","0,2",17,13,"1,5","0,03","0,012",['Ya'],['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E406 - Agar-agar'],,4,,,,,,,,,
