,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,palm_ingredients,traceability_code,allergens,producer_info,link,brand_owner
1502,Mango lemonade,0036192122251,,,,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']","['Bio', 'en:USDA Organic']",,,,"['France', 'États-Unis']","['filtered water', 'organic sugar', 'organic lemon juice concentrate', 'organic mango puree', 'organic natural flavors', 'beta carotene ', 'pro vitamin a', ',']",[],4,?,,38,+23%,0,-100%,"9,17",+23%,0,-100%,,,,,,,,159 kj(38 kcal),0,"8,75","0,01","0,004",,0 g,en faible quantité,0 g,en faible quantité,8.75 g,en quantité élevée,0.01 g,en faible quantité,+26%,-100%,+20%,-25%,-25%,12,+18%,E,+18%,['E160ai - Bêta-carotène'],,,,,,Santa Cruz Natural
1503,3558380005841,3558380005841,,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Tropic,3352271010040,,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Jus de noni,3700919700509,,,,,,['Sans sucre ajouté'],,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Willd Blueberry,0084380955242,,,,,,,,,,['France'],[],[],,?,,60,,1,,12,,0,,,,,,,,,251 kj(60 kcal),1,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1507,Gegrillte Paprika,9002859039386,,,,,,,,,,"['France', 'Kazakhstan']",[],[],,?,,35,,0,,"7,5",,"0,6",,,,,,,,,146 kj(35 kcal),0,3,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
1508,"Crispy marshmallow squares bars, original - Kellogg's",0038000350559,,,,"[""Kellogg's""]","['Biscuits et gâteaux', 'Gâteaux']",,,,,"['France', 'États-Unis']","['Toasted rice cereal ', 'rice', 'sugar', 'salt', 'malt flavor', 'niacinamide', 'reduced iron', 'vitamin b2 [riboflavin]', 'folic acid', 'corn syrup', 'fructose', 'vegetable oil ', 'soybean and palm oil with tbhq for freshness', 'sugar', 'corn syrup solids', ' contains 2% or less of vegetable glycerin', 'dextrose', 'gelatin', 'natural and artificial flavors ', 'contains milk', 'salt', 'datem', 'acetylated monoglycerides', 'soy lecithin', 'bht for freshness']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,,409,+1%,"9,09",-53%,"77,27",+55%,"4,55",-16%,,,,,,,,1711 kj(409 kcal),"2,27","36,36","1,192","0,477",,9.09 g,en quantité modérée,2.27 g,en quantité modérée,36.4 g,en quantité élevée,1.19 g,en quantité modérée,+2%,-70%,+30%,+96%,+96%,20,+12%,E,+12%,"['E422 - Glycérol', 'E428 - Gélatine', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E322i - Lécithine']",,,"['Lait', 'Soja']",,,The Kellogg Company
1509,Pain mi-figue mi-raisin,3760042681304,,,,,,"['Bio', 'en:palm-oil-free']",,,,['France'],[],['Sans huile de palme'],,?,,10,,4,,0,,0,,,,,,,,,42 kj(10 kcal),0,0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
1510,Bande flan,0205120022967,,,,,,,,,,['France'],[],[],,?,,199,,"8,2",,28,,"3,6",,,,,,,,,833 kj(199 kcal),"5,3",16,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,
1511,Brioche Nanterre - Carrefour Contact - 400g,0202132024279,,400g,,['Carrefour Contact'],,,,,['Carrefour'],['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,Escalope de dinde,0289054019484,D,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,['France'],[],[],,?,,?,,?,,?,,?,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Muffins nature fourrés choco,0219208018049,,,,,,,,,,['France'],[],[],,?,,461,,25,,63,,"5,7",,,,,,,,,1929 kj(461 kcal),"3,3",36,"0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,
1514,Muesli croustillant chocolat,3423377501685,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",,,,['France'],[],[],,?,,420,,14,,61,,"9,2",,,,,,,,,1757 kj(420 kcal),"5,3",21,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,
