,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,markets,traceability_code,additives,nova_score,ingredients_origins,generic_name,allergens,brand_owner,palm_ingredients,link,manufacturing
1727,PEZ star wars -,0073621001220,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,Truffé nour - Côte d'Or,7622300062521,['France'],[],[],?,585,"40,5","46,5","4,8",2448 kj(585 kcal),23,44,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Côte d'Or""]",,,,,,,,,,,,
1729,For you,2031223299993,['France'],[],[],?,443,"16,8","60,3","8,9",1854 kj(443 kcal),"3,6","17,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,Bière La tourmente au genepi,3760068410025,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,Pâte à Sucre Funcakes Bleu Bébé,8718531931398,['France'],[],[],?,403,"6,7","85,2",0,1686 kj(403 kcal),"4,6","82,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,
1732,Kompot wisniowy,5902009000379,['France'],[],[],?,86,0,21,0,360 kj(86 kcal),0,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,Nach alter art,3077314990768,['France'],[],[],?,163,"11,7","4,2","7,6",682 kj(163 kcal),"0,9","2,8","5,2","2,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,Terrine de porc à la provençale,2357706639514,['France'],[],[],?,393,38,"1,4","9,6",1644 kj(393 kcal),12,"0,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735,3598200859575,3598200859575,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,Compote Fruits Rouges Et Yaourt - Kruidvat,8717333865580,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kruidvat'],['en:gluten-free'],,,,,,,,,,,
