,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,brand,markets,additives,allergens,nova_score,labels,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,palm_ingredients,packaging,generic_name,ingredients_origins,manufacturing,link
1863,Coeur fondant  - Leader price  - 180gr,2147826858397,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Leader price'],['Leader Price'],,,,,,,,,,,,,,180gr,,,,,,
1864,Poitrine fumée 6 tranches,2148361001385,,['France'],[],[],,,,,,,,,?,,337,,1410 kj(337 kcal),,29,,11,,"0,5",,"0,5",,18,,"1,2",,"0,48",,,,,,,,,,,['Bio'],"['FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)']",,,,,,,,,,,,,,,
1865,Jambon bio,2148556005020,,['France'],[],[],,,,,,,,,?,,106,,444 kj(106 kcal),,"2,7",,1,,"0,6",,"0,6",,20,,"2,2",,"0,88",,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France']",,,,,,,,,,,,,,,,
1866,"Le Prestige fumé  - DelMaitre  - 0,152kg",2148670006002,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['DelMaitre'],,,,,['Fabriqué en Suisse'],,,,,,,,,,"0,152 kg",,,,,,
1867,Decoupe de lapin - Pur Régal,2148813007347,"['Viandes', 'Viande de lapin']",['France'],[],[],1.23 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,?,,274,+78%,1146 kj(274 kcal),+73%,"1,226",-84%,1,-58%,1,+43%,1,+137%,1,-95%,1,+99%,"0,4",+99%,6,+884%,C,+884%,['Pur Régal'],,,,,['Ne pas recongeler'],,D,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,
1868,Decoupe de lapin,2148817006773,"['Viandes', 'Viande de lapin']",['France'],[],[],5.7 g,en quantité modérée,2 g,en quantité modérée,0.2 g,en faible quantité,0.13 g,en faible quantité,?,,137,-11%,573 kj(137 kcal),-14%,"5,7",-28%,2,-16%,"0,4",-43%,"0,2",-53%,21,+7%,"0,13",-74%,"0,052",-74%,-3,-592%,A,-592%,,,,,,,,D,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,
1869,Roti de porc cuit aux herbes,2148989016273,"['Viandes', 'Porc', 'Rôtis de porc']",['France'],[],[],3.2 g,en quantité modérée,3.2 g,en quantité modérée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,170,+18%,711 kj(170 kcal),+19%,"3,2",-36%,"3,2",+53%,"1,4",+71%,0,-100%,22,-2%,"1,6",-7%,"0,64",-7%,12,+68%,D,+68%,,,,,,,,E,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,
1870,Jambon xuit sup AC fumé x4 - N/A,2148990018891,,['France'],[],[],,,,,,,,,?,,126,,527 kj(126 kcal),,"4,4",,"1,6",,"0,5",,0,,21,,"1,5",,"0,6",,,,,,['N/A'],,,,,,,,,,,,,,,,,,,,,
1871,Jambon cuit supérieur fumé - Janssen,2148990020993,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],"['Cuisse de porc entière ', 'France', 'sel', 'dextrose', 'arômes naturels', ' Traces possibles de nitrites', ' Conditionnement sous atmophère protectrice', ' Porcs élevés à la graine de lin']","['Non végétalien', 'Non végétarien']",4.41 g,en quantité modérée,1.6 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,?,,126,-5%,527 kj(126 kcal),-4%,"4,41",-8%,"1,6",-13%,"0,5",-25%,0,-100%,0,-100%,0,-100%,0,-100%,2,-72%,B,-72%,['Janssen'],,,,4,"['Qualité supérieure', 'Jambons blancs']",,D,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,
1872,Jambon cuit sup AC fumé - Saladauson du terroir,2148990023550,,['France'],"['Cuisse de porc entière ', 'France', 'sel', 'dextrose', 'arômes naturels', ' Antioxydant: Ascorbate de sodium,traces possibles de nitrites', ' Conditionnement sous atmophère protectrice', ' Porcs élevés à la graine de lin']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,126,,527 kj(126 kcal),,"4,4",,"1,6",,"0,4",,0,,94,,0,,0,,,,,,['Saladauson du terroir'],,['E301 - Ascorbate de sodium'],,4,,,,,,,,,,,,,,,,,
1873,Entrecôte vom Jungbullen,2149033005465,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,Budabester Salat,21412424,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,21417187,21417187,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,21418188,21418188,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,Favorina,21448367,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Favorina'],,,,,,,,,,,,,,,,,,,,,
1878,fusilli Gigantti - italiamo - 500g,21490010,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Italiamo'],['Lidl'],,,,,,C,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,500g,,,,,,
1879,Baba au rhum - Milsa - 280g,21498697,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Babas au rhum']",['France'],[],[],3.5 g,en quantité modérée,2.4 g,en quantité modérée,25.8 g,en quantité élevée,0.16 g,en faible quantité,789,-13%,?,,789 kj(189 kcal),-13%,"3,5",-13%,"2,4",+11%,"31,9",-16%,"25,8",-9%,"1,6",-21%,"0,16",-27%,"0,064",-27%,9,-9%,C,-9%,['Milsa'],,,,,,,A,32.1%,36.9%,15.2%,7.8%,8.1%,0.0%,96,280 g,,['Carton'],,,,
1880,Jambon Serrano Espanol -,2150218007457,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,E,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,
1881,Jamon Serano Espanol,2150218007808,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",['France'],[],[],10 g,en quantité modérée,4 g,en quantité modérée,0.5 g,en faible quantité,5 g,en quantité élevée,?,,220,-8%,920 kj(220 kcal),-8%,10,-21%,4,-14%,"0,5",-30%,"0,5",+12%,32,+5%,5,+7%,2,+7%,15,-9%,D,-9%,,,,,,,,E,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,
1882,Jambon cru forêt noir fumé,2150225006702,,['France'],[],[],,,,,,,,,?,,283,,1184 kj(283 kcal),,19,,8,,1,,"0,1",,27,,"4,8",,"1,92",,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,
1883,Bio viande des grisons - Migros Bio,2150234008452,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande des grisons']",['France'],[],[],3 g,en quantité modérée,1 g,en faible quantité,1 g,en faible quantité,4.5 g,en quantité élevée,?,,187,-5%,782 kj(187 kcal),-5%,3,-22%,1,-35%,1,+21%,1,+66%,39,-1%,"4,5",-5%,"1,8",-5%,12,-6%,D,-6%,['Migros Bio'],,,,,"['Bio', 'Bio européen', 'CH-BIO-006', 'Fabriqué en Suisse']",,,,,,,,,,,,,,,,
1884,BIO viande des grisons - Migros Bio,2150234009954,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande des grisons']",['France'],[],[],3 g,en quantité modérée,1 g,en faible quantité,0.9 g,en faible quantité,4.5 g,en quantité élevée,?,,187,-5%,782 kj(187 kcal),-5%,3,-22%,1,-35%,1,+21%,"0,9",+49%,39,-1%,"4,5",-5%,"1,8",-5%,12,-6%,D,-6%,['Migros Bio'],,,,,['Bio'],,,,,,,,,,,,,,,,
1885,Pomme framboise 100% fruits - La Passion Du Verger,2150546075456,['Boissons'],['France'],"[""Jus de pomme' "", '60%', ' jus de raisin', 'purée de framboise ', '6%', ' purée de poire', ' jus de cassis', ""Ingrédient issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,11.6 g,en quantité élevée,0 g,en faible quantité,?,,51,-9%,213 kj(51 kcal),-12%,0,-100%,0,-100%,"12,6",+12%,"11,6",+23%,"0,1",-80%,0,-100%,0,-100%,12,+57%,E,+57%,['La Passion Du Verger'],,,,1,"['Bio', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,
1886,Farce à tomate sous vide - Farces,2151007004909,,['France'],[],[],,,,,,,,,?,,131,,548 kj(131 kcal),,"6,2",,2,,"0,1",,"0,1",,"18,9",,"0,48",,"0,192",,,,,,['Farces'],,,,,,"['FR 64.108.001 CE', 'Bellocq (Pyrénées-Atlantiques, France)']",,,,,,,,,,,,,,,
1887,Pain cereales,2151429001593,,['France'],[],[],,,,,,,,,?,,260,,1088 kj(260 kcal),,"4,3",,"0,6",,44,,"1,4",,9,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,Mini andouillette aperitif,2151561001444,,['France'],[],[],,,,,,,,,?,,279,,1167 kj(279 kcal),,22,,11,,"0,5",,"0,5",,19,,2,,"0,8",,,,,,,,,,,,"['FR 56.012.001 CE', 'Beignon (Morbihan, France)']",,,,,,,,,,,,,,,
1889,Mini andouille apéritif,2151694001847,,['France'],[],[],,,,,,,,,?,,274,,1146 kj(274 kcal),,23,,10,,1,,1,,17,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,Davoser Bündnerfleisch,2151820014208,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,Confit de canard,2151924019741,,['France'],[],[],,,,,,,,,?,,278,,1163 kj(278 kcal),,20,,0,,"6,7",,0,,25,,"1,2",,"0,48",,,,,,,,,,,,"['FR 56.166.006 CE', 'Plouay (Morbihan, France)']",,,,,,,,,,,,,,,
1892,NATURAL BEEF AMINO,2152351251278,,['France'],[],[],,,,,,,,,?,,410,,1715 kj(410 kcal),,"4,8",,"3,2",,"2,4",,"2,2",,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,1/4 jambon sec desosee,2152375010806,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",['France'],[],[],6 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,5.7 g,en quantité élevée,?,,159,-32%,665 kj(159 kcal),-32%,6,-53%,"2,2",-55%,"0,5",-15%,"0,5",+33%,26,-10%,"5,7",+14%,"2,28",+14%,13,-22%,D,-22%,,,,,,,"['FR 81.004.148 CE', 'Albi (Tarn, France)']",E,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,
1894,Hohlengold cave d'or,2153317006307,,['France'],[],[],,,,,,,,,?,,407,,1703 kj(407 kcal),,33,,21,,"0,5",,"0,1",,27,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,Saussices de volailles recette paysanne,2153339011235,,['France'],[],[],,,,,,,,,?,,220,,920 kj(220 kcal),,18,,"5,4",,"0,5",,"0,5",,14,,"1,59",,"0,636",,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,Poulet congelé,2153430003597,,['France'],[],[],,,,,,,,,?,,142,,594 kj(142 kcal),,"6,9",,"1,9",,"0,5",,"0,5",,20,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,Poulet origine france,2153430003955,,['France'],[],[],,,,,,,,,?,,142,,594 kj(142 kcal),,"6,9",,"1,9",,"0,5",,"0,5",,20,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,Vacherin Fribourgeois,2153781005554,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte pressée non cuite', 'Fromages de Suisse', 'Vacherin fribourgeois']",['France'],[],[],30 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,366,-9%,1531 kj(366 kcal),-9%,30,-9%,19,-2%,0,-100%,0,-100%,24,-9%,"1,5",-6%,"0,6",-6%,15,-3%,D,-3%,,,,,,,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
1899,Rondin pur brebis,2154286008743,,['France'],[],[],,,,,,,,,?,,422,,1766 kj(422 kcal),,36,,"25,5",,"1,6",,0,,23,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,Rondin pur brebis,2154286008743,,['France'],[],[],,,,,,,,,?,,422,,1766 kj(422 kcal),,36,,"25,5",,"1,6",,0,,23,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,Rondin,2154286009030,,['France'],[],[],,,,,,,,,?,,422,,1766 kj(422 kcal),,36,,"25,5",,"1,6",,0,,23,,"1,4",,"0,56",,,,,,,,,,,,"['FR 12.299.020 CE', 'Villefranche-de-Panat (Aveyron, France)']",,,,,,,,,,,,,,,
1902,Rondin,2154286009290,,['France'],[],[],,,,,,,,,?,,422,,1766 kj(422 kcal),,36,,"25,5",,16,,0,,23,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,Viande séchée - Migros Selection,2155011009202,"['Viandes', 'Viandes séchées']","['France', 'Suisse']",[],[],3.5 g,en quantité modérée,1.5 g,en quantité modérée,1 g,en faible quantité,4.8 g,en quantité élevée,?,,188,-12%,787 kj(188 kcal),-12%,"3,5",-11%,"1,5",-2%,1,-78%,1,-69%,38,+1%,"4,8",+15%,"1,92",+15%,13,-4%,D,-4%,['Migros Selection'],,,,,,,,,,,,,,,,,,,,,
1904,La motte,2155216621063,,['France'],[],[],,,,,,,,,?,,745,,3117 kj(745 kcal),,82,,57,,1,,1,,"0,7",,"0,03",,"0,012",,,,,,,,,,,,"['FR 50.256.001 CE', 'Isigny-le-Buat (Manche, France)']",,,,,,,,,,,,,,,
1905,Bio fromage italie roti - Migros Bio,2155634004608,,['France'],[],[],,,,,,,,,?,,261,,1092 kj(261 kcal),,23,,9,,"1,5",,1,,12,,2,,"0,8",,,,,,['Migros Bio'],,,,,['Bio'],,,,,,,,,,,,,,,,
1906,Trüffel Käse,2156415004800,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Raccard tradition,2156829009651,,['France'],[],[],,,,,,,,,?,,343,,1435 kj(343 kcal),,27,,16,,"0,1",,"0,1",,25,,"1,5",,"0,6",,,,,,,,,,,['Sans lactose'],,,,,,,,,,,,,,,,
1908,Crevettes cuites,2157162008608,"['Produits de la mer', 'Crustacés', 'Crevettes']",['France'],[],[],1 g,en faible quantité,0.9 g,en faible quantité,0.8 g,en faible quantité,0.6 g,en quantité modérée,?,,89,-16%,372 kj(89 kcal),-15%,1,-55%,"0,9",+96%,"0,9",-17%,"0,8",+129%,20,+10%,"0,6",-59%,"0,24",-59%,-2,-180%,A,-180%,,,,,,['Bio'],,D,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,,,,,
1909,Crevettes cuites,2157162011301,,['France'],[],[],,,,,,,,,?,,89,,372 kj(89 kcal),,1,,0,,1,,1,,20,,"0,6",,"0,24",,,,,,,,,,,"['Bio', 'Fabriqué en Suisse']",,,,,,,,,,,,,,,,
1910,2157291005059,2157291005059,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'CH-BIO-006']",['FSC-C112530'],,,,,,,,,,,,,,,
1911,Appenzeller Mostbröckli,2159007008200,,['France'],[],[],,,,,,,,,?,,154,,644 kj(154 kcal),,2,,1,,1,,1,,33,,"3,9",,"1,56",,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,
1912,Vacherin fribourgeois,2159026004856,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte pressée non cuite', 'Fromages de Suisse', 'Vacherin fribourgeois']",['France'],[],[],30 g,en quantité élevée,19 g,en quantité élevée,0.1 g,en faible quantité,1.5 g,en quantité modérée,?,,366,-9%,1531 kj(366 kcal),-9%,30,-9%,19,-2%,"0,1",-80%,"0,1",+50%,24,-9%,"1,5",-6%,"0,6",-6%,15,-3%,D,-3%,,,,,,,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
1913,Galabart basque,2159385003422,,['France'],[],[],,,,,,,,,?,,261,,1092 kj(261 kcal),,"21,6",,"11,5",,"1,8",,"1,3",,"14,8",,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,L affiné,2159780000002,,['France'],[],[],,,,,,,,,?,,401,,1678 kj(401 kcal),,33,,20,,20,,1,,26,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Rotkohl,21508578,,['France'],[],[],,,,,,,,,?,,66,,276 kj(66 kcal),,"0,2",,"0,1",,"13,3",,"12,9",,0,,"1,35",,"0,54",,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,Facacce di semola -,2160030001182,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0.9 g,en faible quantité,1 g,en quantité modérée,674,-50%,?,,674 kj(161 kcal),-51%,0,-100%,0,-100%,37,-32%,"0,9",-77%,5,-47%,1,-22%,"0,4",-22%,3,-41%,C,-41%,,,,,,,,,,,,,,,,,,,,,,
1917,Benjamin Gauda,2160120001481,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Poulet fermier de Vendée,2160770006911,,['France'],[],[],,,,,,,,,?,,161,,674 kj(161 kcal),,"8,5",,"2,7",,0,,0,,21,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,Poulet jaune de vendee,2160770006928,,['France'],[],[],,,,,,,,,?,,161,,674 kj(161 kcal),,"8,5",,"2,7",,0,,0,,21,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,"Poulet jaune fermier, label rouge",2160770007017,"['Viandes', 'Volailles', 'Poulets', 'Poulets fermiers', 'Poulets fermiers jaunes']",['France'],[],[],8.5 g,en quantité modérée,2.7 g,en quantité modérée,0 g,en faible quantité,0.1 g,en faible quantité,?,,161,+15%,674 kj(161 kcal),+15%,"8,5",+31%,"2,7",+66%,0,-100%,0,-100%,21,+4%,"0,1",-41%,"0,04",-41%,-1,,A,,,,,,,"['IGP', 'Label Rouge']",,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
1921,Salade de museau,2161135003606,['Salade de museau'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,"['FR 64.108.001 CE', 'Bellocq (Pyrénées-Atlantiques, France)']",,,,,,,,,,,,,,,
1922,Pouletbrust,2161223005109,,['France'],[],[],,,,,,,,,?,,91,,381 kj(91 kcal),,1,,"0,9",,"0,9",,"0,9",,20,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,Jambon ramoneur fumé - Migros Bio,2161674006205,,['France'],[],[],,,,,,,,,?,,237,,992 kj(237 kcal),,18,,7,,"0,5",,"0,5",,18,,"1,8",,"0,72",,,,,,['Migros Bio'],,,,,['Bio'],,,,,,,,,,,,,,,,
1924,Jambon Serrano,2161966012402,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",['France'],[],[],12 g,en quantité modérée,4.5 g,en quantité modérée,1 g,en faible quantité,5 g,en quantité élevée,?,,232,-3%,971 kj(232 kcal),-3%,12,-5%,"4,5",-4%,1,+39%,1,+124%,30,-1%,5,+7%,2,+7%,16,-2%,D,-2%,,,,,,,,E,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,
1925,Roquefort - La Pastourelle,2164270003425,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",['France'],['32g Matières grasses / Fat:'],"[""Pourrait contenir de l'huile de palme""]",32 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,3.2 g,en quantité élevée,?,,368,+0%,1540 kj(368 kcal),+1%,32,+0%,24,+8%,1,+53%,"0,5",+1297%,19,-2%,"3,2",-10%,"1,28",-10%,19,0%,E,0%,['La Pastourelle'],,,,3,,,D,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,,,,,
1926,Roquefort,2164270003548,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",['France'],[],[],32 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,3.2 g,en quantité élevée,?,,368,+0%,1540 kj(368 kcal),+1%,32,+0%,24,+8%,1,+53%,"0,5",+1297%,19,-2%,"3,2",-10%,"1,28",-10%,19,0%,E,0%,,,,,,,,D,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,,,,,
1927,Bleu de Chèvre,2164724003001,,['France'],[],[],,,,,,,,,?,,334,,1397 kj(334 kcal),,26,,18,,"1,3",,"0,1",,23,,"1,1",,"0,44",,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,
1928,Bleu de chèvre,2164724003148,,['France'],[],[],,,,,,,,,?,,334,,1397 kj(334 kcal),,26,,18,,"1,3",,0,,23,,"1,1",,"0,44",,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']","['FR 49.192.009 CE', 'Maulévrier (Maine-et-Loire, France)']",,,,,,,,,,,,,,,
1929,Bleu de chevre,2164724004220,,['France'],[],[],,,,,,,,,?,,334,,1397 kj(334 kcal),,26,,18,,"1,3",,0,,23,,"1,1",,"0,44",,,,,,,,,,,"['Bio', 'Bio européen']","['FR 49.192.009 CE', 'Maulévrier (Maine-et-Loire, France)']",,,,,,,,,,,,,,,
1930,"Mimolette (23,4% MG)  - Molenland - 506g (14à 16portions)",2165115002689,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Fromages pasteurisés', 'Fromages-du-nord-pas-de-calais']",['France'],"['Lait de vache pasteurisé', 'sel', 'ferments lactiques', 'coagulant', 'colorant : annatto ', 'E160b']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",23.4 g,en quantité élevée,15.9 g,en quantité élevée,0 g,en faible quantité,2.62 g,en quantité élevée,1303,-8%,?,,1303 kj(311 kcal),-10%,"23,4",-10%,"15,9",-11%,~ 0,-100%,~ 0,-100%,"25,7",-8%,"2,616",+3%,"1,046",+3%,18,-2%,D,-2%,['Molenland'],['Aldi'],['E160b - Rocou'],['Lait'],4,['Holland'],['NL Z 0356 EG'],D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,506 g (14 à 16 portions),,"['Plastique', 'Sous-vide', 'Frais']",,,"['Hollande', 'Pays-Bas']",
1931,Maasdam (27% MG) - 394 g - Molenland - 394g (11à 14portions),2165311002285,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages à pâte pressée non cuite', 'Fromages des Pays-Bas', 'Fromages pasteurisés', 'Maasdam']",['France'],"['Lait de vache pasteurisé', 'sel', 'ferments lactiques', 'coagulant', 'conservateur:nitrate de sodium ', 'E251']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",27 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,1468,+1%,?,,1468 kj(351 kcal),-0%,27,-2%,18,-4%,~ 0,-100%,~ 0,-100%,26,+2%,"1,295",-3%,"0,518",-3%,14,-3%,D,-3%,['Molenland'],['Aldi'],"['E251 - Nitrate de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],3,['Holland'],['NL Z 0356 EG'],C,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,394 g (11 à 14 portions),,"['Frais', 'Sachet plastique']","Fromage des Pays-Bas, à pâte pressée non cuite, au lait pasteurisé de vache",['Pays-Bas'],"['Hollande', 'Pays-Bas']",
1932,Maasdam - Le Cavalier,2165317002517,,['France'],[],[],,,,,,,,,?,,352,,1473 kj(352 kcal),,"27,3",,"18,6",,1,,1,,"26,6",,"1,2",,"0,48",,,,,,['Le Cavalier'],,,,,,,,,,,,,,,,,,,,,
1933,Maasdam - Cavaliers,2165317002616,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte pressée non cuite', 'Fromages des Pays-Bas', 'Maasdam']",['France'],"['lait pasteurisé de vache', 'sel', 'ferments lactiques', 'coagulant']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",27.3 g,en quantité élevée,18.6 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,?,,352,0%,1473 kj(352 kcal),+0%,"27,3",-1%,"18,6",-1%,0,-100%,0,-100%,"26,6",+4%,"1,2",-10%,"0,48",-10%,14,-3%,D,-3%,['Cavaliers'],,,['Lait'],3,,"['FR 13.105.001 CE', 'Sénas (Bouches-du-Rhône, France)']",D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
1934,Chorizo de León - Pajariel,2165438005800,,['France'],[],[],,,,,,,,,?,,435,,1820 kj(435 kcal),,"35,5",,13,,2,,2,,27,,"3,6",,"1,44",,,,,,['Pajariel'],,,,,,,,,,,,,,,,,,,,,
