,name,bar_code,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,packaging,manufacturing,markets,additives,palm_ingredients,allergens,nova_score,ingredients_origins,link,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,origin_detail,brand_owner
30,protech - 400ml,3462820200126,400 ml,['Protech'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Vaporisateur'],,,,,,,,,,,,,,,,,,,,
31,Carrefour,3560781130824,,['Carrefour'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,
32,Bout'citron,3464879991116,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,425,,1778 kj(425 kcal),,"16,7",,"1,52",,"62,1",,"27,2",,"13,6",,"0,27",,"0,108",,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,
33,Bonbons feuilletée praliné,3465170900197,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sublim Pêche fleur d'oranger - Favols - 210g,3469675822206,210 g,['Favols'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pêches']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,B,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,
35,Carrés de chocolat aux fèves de cacao - La Mère Poulard,3472860008774,,['La Mère Poulard'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,La Mère Poulard,3472860406174,,['La Mère Poulard'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Tapenade noire -  - 1kg,3473650100012,1 kg,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",['France'],[],[],28 g,en quantité élevée,3.5 g,en quantité modérée,0.5 g,en faible quantité,3.5 g,en quantité élevée,?,,279,+1%,1167 kj(279 kcal),+1%,28,+4%,"3,5",-0%,"9,5",+204%,"0,5",+7%,"2,3",+31%,"3,5",+12%,"1,4",+12%,16,+8%,D,+8%,,,,,,,,,,,,C,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,
38,filet de poulet - le gaulois - 310g,2487390030905,310g,['le gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,
39,Milkshake frappé saveur fraise - Monbana,3474340019102,,['Monbana'],,['France'],[],[],,,,,,,,,?,,387,,1619 kj(387 kcal),,"0,9",,"0,7",,92,,80,,2,,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3475571001454,3475571001454,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,vin bourgogne aligote - labouré roi - 75cl,3477600300019,75 cl,['labouré roi'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Bouteille'],,,,,,,,,,D,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,
42,3480122264615,3480122264615,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3480520304067,3480520304067,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Cannelle baton - Les Vergers d'Escoute,3481010000803,,"[""Les Vergers d'Escoute""]",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PONT AVEN Le véritable palet,3483830703001,,,,['France'],[],[],,,,,,,,,?,,524,,2192 kj(524 kcal),,29,,18,,59,,22,,"5,9",,"0,74",,"0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Confiture Goyave - Fairtrade/ Max Havelaar - 325g,3483981500115,325 g,['Fairtrade/ Max Havelaar'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"['Bio', 'Commerce équitable', 'Max Havelaar']",,,,,,,,,,,,,,,,,,,,,
