,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,manufacturing,allergens,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,traceability_code,generic_name,link,palm_ingredients,brand_owner,producer_info
47,Tablette chocolat 0% sucre - Torras,8410342005731,,['France'],[],[],?,469,32,58,5,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats édulcorés', 'Chocolats blancs', 'Chocolats blancs édulcorés']",['Avec édulcorants'],,-7%,-16%,+43%,-31%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,['Torras'],,,,1962 kj(469 kcal),19,8,"0,2","0,08",,,32 g,en quantité élevée,19 g,en quantité élevée,8 g,en quantité modérée,0.2 g,en faible quantité,-7%,-14%,+86%,+101%,+101%,16,+10%,D,+10%,,,,,,,
48,Pain pave au seigle - Super U,,,['France'],[],[],?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",,,,,,,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,['Super U'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Assortiment de guimauves au chicolat,2609713029193,,['France'],[],[],?,404,"10,6","73,7","3,6",,,,,,,,,,,,,,,,,,,,,1690 kj(404 kcal),"6,5","56,7","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,
50,BLEDINA COUPELLES FRUITS Pommes Poires Vanille 12x100g Dès 6 Mois - 1200g,3041091401281,,['France'],"['Purée de pommes 59,9 % - Purée de poires 40,0 % - Arôme naturel de vanille - Jus de citron concentré* - Vitamine C', "" *présence en fonction de l'acidité des fruits""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",207,49,"0,2","10,3","0,3",,,,,,,,,,,,,,,,1200 g,"['Blédina', 'Coupelles fruits']",,,4,207 kj(49 kcal),"0,04","8,7","0,007","0,003",,,,,,,,,,,,,,,,,,,,,,Purée de fruits à la vanille adaptée à bébé.,,,,
51,Noix de coco,0291439016537,,['France'],[],[],?,365,"33,5","7,15","3,6",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Noix de coco']",,,-28%,-30%,-23%,-31%,70.3%,0.0%,8.0%,9.7%,8.6%,3.4%,54,,,,,,1527 kj(365 kcal),"29,7","6,23","0,05","0,02",,,33.5 g,en quantité élevée,29.7 g,en quantité élevée,6.23 g,en quantité modérée,0.05 g,en faible quantité,-28%,-26%,+18%,-44%,-44%,8,+23%,C,+23%,,,,,,,
52,Miellerie des Alpilles,54277441,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,8 pancakes,3337040002969,,['France'],[],[],?,306,11,45,"0,3",,,,,,,,,,,,,,,,,,,,,1280 kj(306 kcal),"1,9",20,"0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,
54,Vanille extrait avec grains,3760177747906,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 37156D', 'Montlouis-sur-Loire (Indre-et-Loire, France)']",,,,,
55,T-Plus masala,6291103750358,,['France'],[],[],?,378,"11,6",0,12,,,,,,,,,,,,,,,,,,,,,1582 kj(378 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Pates algues spiruline,3565490001724,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Pois chiche Origine France charentes,3524220000024,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
