,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,allergens,nova_score,additives,origin_detail,generic_name
30,Crunchy roasted cashew butter - Bulk Powders,5055950613621,['France'],[],[],?,553,2314 kj(553 kcal),44,"7,8",30,"5,9",18,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bulk Powders', 'Bulkpowders']",,,,,,,,,,
31,Gingembre confit,2600121022042,['France'],[],[],?,374,1565 kj(374 kcal),0,0,93,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Rôti saumure fumé,2245025046703,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Preparado para cocinar bizcocho de chocolate,8425190183500,['France'],[],[],?,0,0 kj(0 kcal),"10,4","4,6","74,1","39,3","4,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Kiraz sapli,8690719109082,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Thé noir aux fruits rouges - Pure Leaf,8714100383988,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,,,,-89%,-89%,-100%,-100%,-89%,-100%,-41%,-100%,-100%,1,-75%,B,-75%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,['Pure Leaf'],,,,,,,,,,
36,Chocolate negro - Blanxart,8436006830662,"['France', 'Espagne']",[],[],?,581,2431 kj(581 kcal),"50,2","50,2","31,5","9,5","12,2",,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['Bio'],50.2 g,en quantité élevée,50.2 g,en quantité élevée,9.5 g,en quantité modérée,,,,+4%,+5%,+27%,+117%,-18%,-70%,+59%,,,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,['Blanxart'],,,,,,,,,,
37,Collagène Marin Poudre - 150 G - Vecteur Santé,3165830014782,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Wagyu Burgers -  - 2x 170g,4099200411187,"['France', 'Suisse']",[],[],?,277,1159 kj(277 kcal),22,"8,3","3,7","3,2",16,"0,71","0,284",,"['Viandes', 'Viandes fraîches', 'Steaks hachés frais']",,22 g,en quantité élevée,8.3 g,en quantité élevée,3.2 g,en faible quantité,0.71 g,en quantité modérée,,+67%,+66%,+114%,+94%,+1637%,+2154%,-17%,+229%,+229%,14,+907%,D,+907%,,,,,,,,2 x 170 g,['Barquette Plastique'],,,,,,,,,,,
39,Olives fourrées avec poivrons - BiOrganica nuova,8029689002688,['France'],[],[],?,216,904 kj(216 kcal),1,"0,5","2,7",0,"0,9","7,1","2,84",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives fourrées']",,1 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,7.1 g,en quantité élevée,,+12%,+14%,-95%,-82%,+41%,-100%,-32%,+102%,+102%,12,-2%,D,-2%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,['BiOrganica nuova'],,,,,,,,,,
