,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,traceability_code,link,palm_ingredients,manufacturing,brand_owner,origin_detail,producer_info
1597,Caramel fleur de sel au chocolat au lait - Chocolats saveurs et nature - 225g,3760077180322,,225g,['Pot'],['Chocolats saveurs et nature'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],"['sucre de canne*,crème de lait', 'sirop de ble beurre de cacao""', 'poudre de lait', 'pâte de cacao', 'fleur de sel Guerande: 0', '5%', ""Peut contenir des traces d'arachides"", 'de fruisa coque et de sésame', "" Ingrédients issus de l'agriculture bilogoe""]",,['Lait'],['Non végétalien'],,,,,,,,,,?,,347,,1452 kj(347 kcal),,"15,4",,"9,7",,"55,3",,"55,2",,"1,6",,"0,71",,"0,284",,,,,,,,,,,,,,,,,,['France'],,,
1598,Jambon affiné - Rovagnati,8007141501740,,,,['Rovagnati'],,['en:gluten-free'],,['France'],[],,,[],,,,,,,,,,?,,330,,1381 kj(330 kcal),,22,,"7,7",,0,,0,,33,,"3,5",,"1,4",,,,,,,,,,,,,,,,,,,,,
1599,Humberger,27012338,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,147,,615 kj(147 kcal),,7,,"3,5",,"0,7",,"0,5",,19,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,
1600,Casareccia Rustichella d abruzzo [pâtes Haute Qualité] [S. ..,8009452227128,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,352,,1473 kj(352 kcal),,"1,5",,"0,3",,71,,4,,"13,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
1601,Deli Sun Delicious Easy & Fun Corn Wrap -,8437011503084,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,315,,1318 kj(315 kcal),,"7,5",,"3,7",,54,,"2,7",,"6,4",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,
1602,Mayom sucré - 185g,3379140603370,,185 g,,,,,,['France'],[],,,[],,,,,,,,,,?,,59,,247 kj(59 kcal),,0,,0,,82,,70,,0,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,
1603,Sauce bifana portugaise,5608771012045,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,22,,92 kj(22 kcal),,1,,"0,1",,5,,"0,8",,"0,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,
1604,Tri-Balte triple bière de Lozère - les brasseurs de la jonte - 75cl,3770004761111,C,75 cl,"['Bouteille', 'Verre']",['les brasseurs de la jonte'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",,,['France'],"['omposition: eau', 'malts ', 'orge', 'ble et seigle', 'sucre', 'houblon', 'le lere sur lie non filtrée refermentee en bouteille', ' onserver verticalement et servir delicatement']",,['Gluten'],[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,
1605,Thé vert saveur grenade,3760186971101,,,,,"['Boissons', 'Thés glacés']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,6.3 g,en quantité élevée,0.03 g,en faible quantité,?,,26,+18%,109 kj(26 kcal),+18%,0,-100%,0,-100%,"6,4",+21%,"6,3",+25%,0,-100%,"0,03",+7%,"0,012",+7%,9,+23%,D,+23%,,,,,,,,,,,,,,,,
1606,Mortadella Bologna IGP,8003868900132,,,,,"['Produits à la viande', 'Produits carnés italiens', 'Mortadelle de Bologne']",,,['France'],[],,,[],,24 g,en quantité élevée,8 g,en quantité élevée,1.5 g,en faible quantité,2.3 g,en quantité élevée,?,,282,+10%,1180 kj(282 kcal),+10%,24,+48%,8,+42%,"1,5",+352%,"1,5",+1140%,15,-45%,"2,3",-52%,"0,92",-52%,20,+11%,E,+11%,,,,,,,,,,,,,,,,
1607,Caramelos de café sin azúcares - Dolis,3215690801913,,,,['Dolis'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels']",['en:gluten-free'],,"['France', 'Espagne']",[],,,[],,4 g,en quantité modérée,2.7 g,en quantité modérée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,247,-35%,1033 kj(247 kcal),-35%,4,-59%,"2,7",-56%,88,+21%,"0,5",-99%,"0,2",-89%,"0,8",+23%,"0,32",+23%,8,-62%,C,-62%,,,,,,,,,,,,,,,,
1608,Panettone Biologico,8002540062021,C,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']","['Bio', 'Bio européen']",,['France'],[],,,[],,17 g,en quantité modérée,9 g,en quantité élevée,26 g,en quantité élevée,0.58 g,en quantité modérée,?,,376,+1%,1573 kj(376 kcal),+1%,17,+13%,9,+0%,49,-5%,26,+0%,"6,1",-11%,"0,58",+32%,"0,232",+32%,19,+2%,E,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,
1609,Saucisses aux Lentilles - Stéphan - 420g,3261830407309,B,420 g,['boite de conserves'],['Stéphan'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de lentilles', 'Saucisses aux lentilles']","['Viande Française', 'Viande Porcine Française']",,['France'],"['Sauce cuisinée : eau', 'saindoux', 'concentré de tomate', 'amidon transformé de pomme de terre', 'sel arôme et arôme de fumée', 'exhausteur de goût E261', 'aromates', 'arôme naturel', 'extrait de paprika', ' Légumes à la mise en ceuvre 35,5%: lentilles trempées 29%', 'carottes', 'oignons', ' Garniture à la mise en œuvre : 2 saucisses pur porc fumées : viande de porc', 'maigre de tête de porc', 'eau', 'gras de porc', 'Couenne de porc', 'farine de blé', 'sel', 'fibre de ble', 'plasma de porc', 'épices', 'stabilisants : E450 et E451', 'épaississant : E407', 'lactose', 'arôme de fumée', 'exhausteur de goût : E621', 'extrait naturel de paprika', 'conservateur : E250']","['E14XX - Amidons modifiés', 'E261 - Acétates de potassium', 'E160c - Extrait de paprika', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,5.6 g,en quantité modérée,2.2 g,en quantité modérée,1.2 g,en faible quantité,1 g,en quantité modérée,475,-8%,114,-17%,475 kj(114 kcal),-17%,"5,6",-15%,"2,2",-11%,"7,8",-3%,"1,2",+48%,"6,7",-17%,1,+6%,"0,4",+6%,3,+69%,C,+69%,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,['France'],,"['FR 22.225.001 CE', ""Ploumagoar (Côtes-d'Armor, France)""]",,,"['Bretagne', 'France', 'Guingamp']",,,
1610,Chocolat pur cacao 100% - Atienza,8436575401461,E,,,['Atienza'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,"['France', 'Espagne']",['Pâte de cacao'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,54 g,en quantité élevée,34.6 g,en quantité élevée,0.3 g,en faible quantité,3.2 g,en quantité élevée,2155,-5%,515,-7%,2155 kj(515 kcal),-7%,54,+37%,"34,6",+50%,"6,6",-83%,"0,3",-99%,"12,3",+61%,"3,2",+6752%,"1,28",+6752%,21,-1%,E,-1%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,
1611,Aubergines à la provençale - Parole Gourmande,3574314350276,,,,['Parole Gourmande'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Aubergines', 'Légumes préparés', 'Aubergines préparées', ""Ristes d'aubergines"", 'Aubergines à la provençale']",,,['France'],[],,,[],,4.5 g,en quantité modérée,0.6 g,en faible quantité,3.9 g,en faible quantité,0.9 g,en quantité modérée,?,,307,+213%,1284 kj(307 kcal),+215%,"4,5",-27%,"0,6",-19%,"6,3",-6%,"3,9",-16%,"1,1",-7%,"0,9",+15%,"0,36",+15%,6,+74%,C,+74%,,,,,,,,,,,,,,,,
1612,Delinut Lait - Shneider's,0838948010573,,,,"[""Shneider's""]",,,,['France'],[],,,[],,,,,,,,,,?,,589,,2464 kj(589 kcal),,"41,5",,"2,2",,46,,17,,"4,4",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,
1613,Riste d'Aubergine à la provençale - Franprix,3263851444714,,,,['Franprix'],"[""Ristes d'aubergines à la provencale""]",,['Franprix'],['France'],"['Aubergines 33%-pulpe et purée de tomates 29,9%-aubergines préfrites 24% ', 'aubergines - huile de tournesol', ""- oignons 7,5% - poivrons rouges 4%-huile d'olive vierge extra "", 'origine Espagne', '- sel - épices et plantes aromatiques ', 'ail - paprika - poivre - thym', ' Traces de blé', 'lait', 'céleri et moutarde']",,,[],3,4.7 g,en quantité modérée,0.5 g,en faible quantité,3.2 g,en faible quantité,0.54 g,en quantité modérée,?,,68,,285 kj(68 kcal),,"4,7",,"0,5",,"3,6",,"3,2",,"1,3",,"0,54",,"0,216",,2,,B,,,,,,,,,,,,,,,,,
1614,"Steaks hachés Bio, 15% matières grasses - Monoprix",3350030209933,E,,,['Monoprix'],"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",['Bio'],['Monoprix'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,
1615,Patate briochée,3573400005410,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,203,,849 kj(203 kcal),,12,,"6,5",,16,,"1,7",,"7,2",,"0,8",,"0,32",,,,,,,,,,,,,,,"['FR 59.034.001 CE', 'Avelin (Nord, France)']",,,,,,
1616,Mélange Superfruit - 50g,3700146206126,,50 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits déshydratés', 'Aliments à base de plantes séchées']","['Bio', 'Bio européen', 'FR-BIO-01']",,['France'],[],,,[],,15 g,en quantité modérée,1 g,en faible quantité,38 g,en quantité élevée,0.06 g,en faible quantité,?,,4.1999998092651,-99%,18 kj(4 kcal),-99%,15,+123%,1,-50%,38,-28%,38,+1%,13,+191%,"0,06",-77%,"0,024",-77%,3,-34%,C,-34%,,,,,,,,,,,,,,,,
1617,Délice de saumon à l'estragon - Conserverie Courtin - 730g,3268260000773,,730 g,,['Conserverie Courtin'],,,,['France'],[],,,[],,,,,,,,,,?,,216,,904 kj(216 kcal),,"18,9",,"6,4",,"0,4",,"0,4",,"10,6",,"0,84",,"0,336",,,,,,,,,,,,,,,,,,,,,
1618,Mix kernels,5281026003700,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,604,,2527 kj(604 kcal),,"47,2",,"6,3",,"21,1",,"21,1",,21,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,
1619,Crunchy caramel,5900951274190,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,484,,2025 kj(484 kcal),,19,,12,,73,,66,,"3,9",,"0,29",,"0,116",,,,,,,,,,,,,,,,,,,,,
1620,Yoso vanille/vanilla,0834914002542,,,,,,['en:gluten-free'],,['France'],[],,,[],,,,,,,,,,?,,113.6,,475 kj(113 kcal),,"5,6",,"4,8",,"20,8",,"10,4",,"0,8",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,
1621,Fromage cottage - Suntat,4040328065660,D,,,['Suntat'],"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",,,['France'],[],,,[],,13.5 g,en quantité modérée,8.5 g,en quantité élevée,21 g,en quantité élevée,1.8 g,en quantité élevée,?,,195.5,-16%,818 kj(195 kcal),-17%,"13,5",-35%,"8,5",-40%,21,+523%,21,+609%,"4,74",-43%,"1,8",+54%,"0,72",+54%,19,+58%,E,+58%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
1622,Corn Flakes - Gourmet - 500g,8413080002963,C,500 g,,['Gourmet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Corn-flakes']",,,['France'],"['Maïs ', '99%', 'sucre', ""extrait de malt d'orge"", 'sel', ""émulsifiant : mono - et diglycérides d'acides gras"", 'vitamines : niacine ', 'B3', 'acide pantothénique ', 'B5', 'B6', 'riboflavine ', 'B2', 'thiamine ', 'B1', 'acide folique ', 'B9', 'biotine ', 'B8', 'B12 et fer']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Gluten'],"[""Pourrait contenir de l'huile de palme""]",4,0.8 g,en faible quantité,0.2 g,en faible quantité,7 g,en quantité modérée,1.6 g,en quantité élevée,?,,373,-1%,1561 kj(373 kcal),-1%,"0,8",-27%,"0,2",-30%,82,-1%,7,-35%,8,+11%,"1,6",+32%,"0,64",+32%,9,+20%,C,+20%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,
1623,Abricots sechés - Arev,3700066102485,,,,['Arev'],,,,['France'],[],,,[],,,,,,,,,,?,,277,,1159 kj(277 kcal),,"0,12",,"0,05",,"66,77",,"40,5",,"2,25",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,
1624,calnort,8412164000765,,,['8x10 g'],['Calnort'],['en:Epicerie  Produits déshydratés  Bouillons  Produits lyophilisés à reconstituer  Bouillons de mouton'],['Halal'],,['France'],[],,,[],,5.6 g,en quantité modérée,3.2 g,en quantité modérée,12 g,en quantité modérée,11 g,en quantité élevée,?,,192,,803 kj(192 kcal),,"5,6",,"3,2",,29,,12,,"6,4",,11,,"4,4",,17,,D,,,,,,,,,,,,,,,,,
1625,Fèves,0079763110158,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,463,,1937 kj(463 kcal),,23,,10,,43,,0,,20,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,
1626,Chocolat - Voisin,3327370300934,E,,,['Voisin'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,['France'],[],,,[],,42.9 g,en quantité élevée,26.9 g,en quantité élevée,26.9 g,en quantité élevée,0.16 g,en faible quantité,?,,546,-2%,2284 kj(546 kcal),-2%,"42,9",+9%,"26,9",+16%,"31,7",-18%,"26,9",-15%,"7,5",-2%,"0,16",+243%,"0,064",+243%,21,-1%,E,-1%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,
1627,Freeway limonade,4056484330917,,,['Bouteille en plastique'],,,,,['France'],[],,,[],,,,,,,,,,?,,30,,126 kj(30 kcal),,0,,0,,"7,4",,"7,4",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
1628,Paleo crunch protein bar - 48g,7350070070209,,48 g,,,,"['Végétarien', 'Végétalien']",,"['France', 'Suisse']",[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,1814,,438,,1814 kj(438 kcal),,24,,5,,32,,27,,22,,"0,52",,"0,208",,,,,,,,,,,,,,,,,,,,,
1629,Stimorol Fresh Spear Mintl,7622210243782,,,,['Stimorol'],,,['Delhaize'],"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,35,,146 kj(35 kcal),,"0,5",,"0,3",,63,,"0,1",,"0,4",,0,,0,,,,,,,,,,,,,,,,,,,,,
1630,Véritable andouille de Guémené - triskel - 100g (10tranches de 10g),3114680043442,E,100 g (10 tranches de 10g),['barquette et film plastiques jetables'],"['Triskel', 'salaisons celtiques']","['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']","['Viande Française', 'Viande Porcine Française', 'Sans colorants']",,['France'],"['Chaudins de porc', 'sel', 'poivre', 'conservateur: nitrite de sodium', ' arômes naturels', 'Enveloppe : baudruche de bœuf']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,[],4,21 g,en quantité élevée,9.9 g,en quantité élevée,0.5 g,en faible quantité,2.33 g,en quantité élevée,?,,253,+1%,1059 kj(253 kcal),+2%,21,+4%,"9,9",-2%,"< 0,5",+33%,"< 0,5",+78%,"15,5",-5%,"2,33",-3%,"0,932",-3%,22,+2%,E,+2%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,"['FR 56.010.004 CE', 'Baud (Morbihan, France)']",,,['salaisons celtiques - 56150 Baud - france'],,,
1631,Lindor - Lindt,8003340094458,,,,['Lindt'],,['Fabriqué en Italie'],,"['France', 'Allemagne']","['Edelbitter-Schokolade mit zartschmelzender Füllung ', '50%', ' Zutaten: Kakaomasse', 'Zucker', 'pflanzliches Fett ', 'Kokosnuss', 'Palmkern', 'Kakaobutter', 'fettarmes Kakaopulver', 'Butterreinfett', 'Vollmilchpulver', 'Emulgator ', 'Sojalecithin', 'Magermilchpulver', 'Milchzucker', 'Vanille', 'Aromen', 'Gerstenmalzextrakt', 'Kann Haselnüsse und andere Schalenfrüchte enthalten', 'Kakao: 70% mindestens in der Edelbitter-Schokolade,']",,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,639,,2674 kj(639 kcal),,54,,41,,28,,25,,"6,3",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,
1632,Golden Buttercake - White Wings - 340g,9310047208545,,340 g,"['Carton', 'Plastique']",['White Wings'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Aides culinaires', 'Gâteaux', 'Préparations pour desserts', 'Aides à la pâtisserie', 'Préparations pour gâteaux']",,,['France'],"['Farine de blé {vitamines ', 'thiamine', 'folate', '}', 'sucre', 'émulsifiants à base d’huile végétale ', 'E471', 'E477', 'lécithine de soja', 'antioxydant ', 'E320', ']', 'agents levants ', 'E450', 'E341', 'E500', 'sel', 'arôme naturel ', 'lait', 'colorant naturel ', 'E160a']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E477 - Esters du propylène-glycol d'acide gras"", 'E322i - Lécithine', 'E320 - Butylhydroxyanisol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E160a - Carotènes mélangés']","['Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,,,,,,,,,?,,292,-22%,1222 kj(292 kcal),-21%,"11,5",+12%,"5,1",+18%,"40,6",-31%,"23,6",-22%,"5,3",-12%,"0,52",-16%,"0,208",-16%,,,,,,,,,,,,,Préparation pour Golden Buttercake,,,,,,,
1633,Jus de Pommes - François Séhédic - 75cl,3760010805183,C,75 cl,,['François Séhédic'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']","['Bio', 'Sans colorants', 'Sans conservateurs']",,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,?,,50,+9%,209 kj(50 kcal),+9%,0,-100%,0,-100%,13,+18%,11,+6%,0,-100%,0,-100%,0,-100%,5,+20%,C,+20%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,
1634,Tortillons,3418011282723,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,561,,2347 kj(561 kcal),,32,,15,,60,,20,,"4,8",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,
1635,Foie Gras de Canard Entier des Landes - Panache des Landes - 180g,3356650001018,B,180 g,,['Panache des Landes'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",['Sans nitrite de sodium'],,['France'],"['Foie gras de canard origine: France', 'sel', 'poivre']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,50.1 g,en quantité élevée,22.9 g,en quantité élevée,0 g,en faible quantité,1.02 g,en quantité modérée,?,,485,-8%,2029 kj(485 kcal),-8%,"50,1",-8%,"22,9",-1%,"1,6",-33%,0,-100%,"6,9",-8%,"1,02",-15%,"0,408",-15%,20,-4%,E,-4%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['France'],,,,,,,,
1636,Sardinas escabeche - Cuca,8410698074986,D,,,['Cuca'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', 'Sardines à l’escabèche']",,,['France'],[],,,[],,12 g,en quantité modérée,2.5 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,?,,200,-13%,837 kj(200 kcal),-13%,12,-25%,"2,5",-31%,0,-100%,0,-100%,23,+12%,1,+8%,"0,4",+8%,3,-42%,C,-42%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,,,
1637,Graines de Tournesol Grillées,8692888616378,C,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",,,['France'],[],,,[],,50 g,en quantité élevée,3 g,en quantité modérée,1 g,en faible quantité,1 g,en quantité modérée,?,,640,+12%,2678 kj(640 kcal),+12%,50,+9%,3,-39%,24,+80%,1,-59%,19,-14%,1,-45%,"0,4",-45%,13,-2%,D,-2%,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,,,,
1638,Beba ha - Nestlé,7613036148610,,,,['Nestlé'],,,,['France'],[],,,[],,,,,,,,,,?,,67,,280 kj(67 kcal),,"3,4",,1,,"7,8",,"6,8",,"1,3",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,
1639,Meule de savoie -,2730345009984,D,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France']",,,['France'],[],,,[],,33.5 g,en quantité élevée,20.5 g,en quantité élevée,0.2 g,en faible quantité,0.68 g,en quantité modérée,?,,411,+2%,1720 kj(411 kcal),+2%,"33,5",+2%,"20,51",-5%,"1,34",+141%,"0,2",-34%,"26,11",-4%,"0,68",-16%,"0,272",-16%,13,+3%,D,+3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['FR 73.330.001 CE', 'Yenne (Savoie, France)']",,,,,,
1640,Fitness P?atki z Pe?nego Ziarna Pszenicy - Nestlé - 425g,5900020020895,C,425 g,,"['Nestlé', 'Fitness']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,"['France', 'Espagne']","['pełne ziarna zbóż ', '58%', ' [pszenica ', '50,9%', 'owies ', '7,1%', ']', 'ryż ', '37,4%', 'cukier', 'syrop cukrowy ', 'syrop cukru inwertowanego', 'melasa cukru trzcinowego', 'ekstrakt słodowy jęczmienny', 'substancje wzbogacające [składniki mineralne: wapń', 'żelazo', ' witaminy: niacyna ', 'B3', 'kwas pantotenowy ', 'B5', 'ryboflawina ', 'B2', 'witamina B6', 'kwas foliowy ', 'B9', 'sól', 'syrop glukozowy', 'przeciwutleniacz ', 'mieszanina tokoferoli', ' Może zawierać mleko', 'orzeszki ziemne i orzechy', ' produkcie']",['E306 - Extrait riche en tocophérols'],['Gluten'],[],4,1.7 g,en faible quantité,0.5 g,en faible quantité,10.8 g,en quantité modérée,0.95 g,en quantité modérée,?,,367,-8%,1536 kj(367 kcal),-8%,"1,7",-80%,"0,5",-77%,"74,8",+12%,"10,8",-35%,"9,4",+1%,"0,95",+166%,"0,38",+166%,5,-7%,C,-7%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,
1641,Croûtons Nature sans Gluten,3700442602578,D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']","['en:gluten-free', 'Sans conservateurs']",,['France'],[],,,[],,3.5 g,en quantité modérée,0.6 g,en faible quantité,2.5 g,en faible quantité,1.25 g,en quantité modérée,?,,293,-38%,1226 kj(293 kcal),-38%,"3,5",-83%,"0,6",-80%,"62,2",+6%,"2,5",-32%,"2,2",-77%,"1,25",-36%,"0,5",-36%,7,-52%,C,-52%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,,,,,,
1642,Tapenade -,3424090601102,C,,,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",,,['France'],[],,,[],,22.8 g,en quantité élevée,3 g,en quantité modérée,0.1 g,en faible quantité,2.22 g,en quantité élevée,?,,230,-16%,962 kj(230 kcal),-16%,"22,8",-15%,3,-15%,"0,1",-97%,"0,1",-79%,"1,7",-3%,"2,22",-29%,"0,888",-29%,13,-12%,D,-12%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,
1643,Yaourt a la grecque - Yoplait,3348261204827,C,,,['Yoplait'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la grecque']",,,['France'],[],,,[],,8.1 g,en quantité modérée,5.1 g,en quantité élevée,12.5 g,en quantité modérée,0.14 g,en faible quantité,?,,138,+18%,577 kj(138 kcal),+18%,"8,1",+18%,"5,1",+15%,"12,9",+47%,"12,5",+56%,"3,5",-21%,"0,14",+21%,"0,056",+21%,6,+47%,C,+47%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,,
1644,Patatas fritas sin sal añadida - bonÀrea,8413585026235,B,,,['bonÀrea'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile d'olive""]",,,"['France', 'Espagne']",[],,,[],,38 g,en quantité élevée,5.7 g,en quantité élevée,0.5 g,en faible quantité,0.18 g,en faible quantité,?,,570,+10%,2385 kj(570 kcal),+10%,38,+18%,"5,7",+21%,"50,1",+3%,"0,5",-11%,"5,1",-15%,"0,18",-85%,"0,072",-85%,12,-2%,D,-2%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,
