,name,bar_code,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,salt_quantity,salt_comment,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,traceability_code,markets,manufacturing,allergens,nova_score,additives,generic_name,link,brand_owner,origin_detail,producer_info,palm_ingredients
260,2 terrines de campagne + 1 terrine de canard - Hénaff - 540g (3x180g),3537580707632,540g (3x180g),['Hénaff'],,['France'],[],[],1308,316,28,3,13,,"['Sans colorants', 'Sans conservateurs', 'Sans colorants ou conservateurs']",,,,,,,,,1308 kj(316 kcal),,,11,,,"1,5",,,,,,,,,,,,"1,4",,"0,56",,,,,,['Bocaux'],,,,"['Bretagne', 'Finistère', 'Pouldreuzic']",,,,,,,,,
261,Bagels classic -  - 340g 2x2Stück,4044808580025,340g 2x2 Stück,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains Bagel']","['France', 'Allemagne']","['Mehl ', ""Weizen-'"", 'Weizen - malz-', 'Gerstenmalz-', 'Soja-', 'Wasser', 'Rapsöl', 'Zucker', 'Hefe', 'Gluten ', 'Weizen', 'Speisesalz', 'Emulgatoren ', 'Mono - und Digylceride von Speisefettsäuren', 'Lecithine ', 'Soja', 'Mehlbehandlungs - mittel Ascorbinsäure', 'Aroma ', 'enthält Alkohol', 'Konservierungsstoff Sorbin - säure', "" 'aus der EU"", ' Kann Spuren von Eiern', 'Milch', 'Lupinen', 'Senf', 'Sesam', 'Erdnüssen und Schalenfrüchten enthalten']",[],?,?,?,?,?,B,,,,,,,,,,,,,,,,,,,54.4%,24.1%,13.6%,6.9%,1.0%,0.0%,94,,,,,,,,,,,['Kunststoff'],,,,,"['Gluten', 'Soja']",4,['E322 - Lécithines'],,,,,,
262,Kirsche - 1l,4001716084724,1 l,,,"['France', 'Allemagne']",[],[],?,55,"0,1","12,9","0,1",,,,,,,,,,,230 kj(55 kcal),,,"0,1",,,"12,2",,,,,,,,,,,,,,,,,,,,['Flasche'],,,,,,,,,,,,,
263,Japan Sushi Vinegar -  - 150ml,4969673007913,150 ml,,"['Vinaigres', 'Vinaigres de riz', 'Vinaigres de riz japonais']","['France', 'Allemagne']",[],[],?,211,"0,5",53,"0,5",B,,0.5 g,en faible quantité,0.1 g,en faible quantité,53 g,en quantité élevée,,+628%,883 kj(211 kcal),+642%,+831%,"0,1",+983%,+923%,53,+3055%,+41%,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,9.5 g,en quantité élevée,"9,5",+1774%,"3,8",+1774%,,,,,"['Botella', 'Flasche']",,,,,,,,,,,,,
264,Volvic Limotion - 0.9l,3057640540813,0.9l,['Volvic'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",['France'],"['Natürliches Mineralwasser Volvic ', '87,8 %', '5,6 % Zitronensaft aus Zitronensaftkonzentrat', 'Zucker', '2,1 % Limettensaft aus Limettensaftkonzentrat', 'Kohlensäure', 'natürliches Litronen-Limetten-Aroma', 'natürliche Aromen']",[],?,18,0,4,0,,,0 g,en faible quantité,0 g,en faible quantité,4 g,en quantité modérée,,-42%,75 kj(18 kcal),-40%,-100%,0,-100%,-47%,4,-45%,-100%,,,,,,,,,,,,,,,,,,['Plastikflasche'],,,,,,4,['E290 - Dioxyde de carbone'],,,,,,
265,Apfelkompott - Odenwald - 360g,4008122260025,360 g,['Odenwald'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']","['France', 'Allemagne']","['Äpfel', 'Zucker', 'Glukose-Fruktose-Sirup', 'Säuerungsmittel: Citronensäure', 'Antioxidationsmittel: Ascorbinsäure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",346,82,"0,5",18,"0,5",A,['Sans conservateurs'],0.5 g,en faible quantité,0.1 g,en faible quantité,17 g,en quantité élevée,+29%,+26%,346 kj(82 kcal),+27%,+52%,"0,1",+15%,+26%,17,+31%,+33%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,0.01 g,en faible quantité,"0,01",+18%,"0,004",+18%,-1,,A,,['Glas'],,,,,,4,"['E330 - Acide citrique', 'E300 - Acide ascorbique']","Apfelkompott mit Stücken, gezuckert",,,,,
266,Cornichons sans sel au vinaigre,3701037404041,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons au vinaigre']",['France'],[],[],?,15,"0,4","0,6","1,2",,,0.4 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,,-25%,63 kj(15 kcal),-20%,+36%,"0,1",+78%,-69%,"0,5",-59%,+10%,,,,,,,,0 g,en faible quantité,0,-100%,0,-100%,-5,-345%,A,-345%,['Boîte en métal'],,,,,,,,,,,,,
267,Kartoffel Creme-Dip - 250g,4004820800464,250 g,,,"['France', 'Allemagne']",[],[],?,378,"37,4",5,"5,4",,,,,,,,,,,1582 kj(378 kcal),,,"2,6",,,"4,9",,,,,,,,,,,,"0,8",,"0,32",,,,,,['Becher'],,['DE NW-502 EG'],,,,,,,,,,,
268,Terra creta traditional natives olivenöl extra - 5000ml,5200101805640,5000 ml,['Terra Creta'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de Grèce"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]","['France', 'Allemagne']",['Natives Olivenöl Extra'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3404,828,92,0,0,C,['en:PDO Kolymvari'],92 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,+4%,-1%,3404 kj(828 kcal),-2%,-2%,13,-3%,-100%,0,-100%,-100%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,0 g,en faible quantité,0,,0,,6,+1%,C,+1%,['Flasche'],['Grèce'],['EL-40-027'],['Amazon'],"['Greece', 'Kolymvari']",['Aucun'],2,,Extra Virgin Olive Oil,http://www.terracreta.gr,,,,
269,Thunfisch-filets - Thon en boite - K-Classic,4337185689925,,['K-Classic'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Filets de poissons', 'Filets de thon']","['France', 'Allemagne']",['thon'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",443,105,"0,9",0,24,D,,0.9 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,-47%,-55%,443 kj(105 kcal),-53%,-93%,"0,7",-67%,-100%,0,-100%,-2%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,0.9 g,en quantité modérée,"0,9",-9%,"0,36",-9%,-1,-123%,A,-123%,['Dose'],,,,,['Poisson'],1,,,,,,,
