,name,bar_code,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,salt_quantity,salt_comment,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,traceability_code,markets,manufacturing,allergens,nova_score,additives,generic_name,link,brand_owner,origin_detail,producer_info,palm_ingredients
1378,Ketxup Bask,3352920380005,,,,['France'],[],[],?,111,"0,1",25,1,,,,,,,,,,,464 kj(111 kcal),,,0,,,24,,,,,,,,,,,,2,,"0,8",,,,,,,,,,,,,,,,,,,
1379,Dessert sauce - Bounty - 300g,5060122039697,300 g,['Bounty'],['de:sauce schokolade'],['France'],[],[],?,302,"5,5",60,"2,7",,,5.5 g,en quantité modérée,3.4 g,en quantité modérée,58 g,en quantité élevée,,,1264 kj(302 kcal),,,"3,4",,,58,,,,,,,,,,0.1 g,en faible quantité,"0,1",,"0,04",,16,,D,,,,,,,,,,,,,,,
1380,Pistaches décortiquées et grillées - Lidl,4056489316015,,['Lidl'],,['France'],[],[],?,626,52,11,24,,,,,,,,,,,2619 kj(626 kcal),,,"6,7",,,"9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381,l Oréal Paris Elseve Full Resist - shampoing l Oréal - 250ml,3600523882120,250ml,['shampoing l Oréal'],['Shampooing'],['France'],"['AQUA / WATER • SODIUM LAURETH SULFATE DIMETHICONE• COCO-BETAINE SODIUM CHLORIDE GLYCOL DISTEARATE GLYCERIN GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE COCAMIDE MIPA • SODIUM BENZOATE• SODIUM HYDROXIDE • ARGININE • SALICYLIC ACID • FUMARIC ACID PANTHENOL• 2-OLEAMIDO-1,3-OCTADECANEDIOL• BIOTIN CARBOMER CITRIC ACID• HEXYLENE GLYCOL • PARFUM/FRAGRANCE ', 'F', 'I', 'LC245050/1', "" 250 mlEC e 12 M L'ORÉAL PARIS 14"", 'rue Royale-75008 Paris FRANCE ISÁ 75000 93584 ST OUEN CEDEX FR www', 'lorealparis', 'fr 3600523 I 882120']",[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Plastique'],,,,,,,"['E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E297 - Acide fumarique']",,,,,,
1382,Palet breton,3760235641900,,,,['France'],[],[],?,555,43,34,8,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,2322 kj(555 kcal),,,28,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1383,Saumon fumé sauvage - Labeyrie - 300g,3033610079279,300 g,['Labeyrie'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons sauvages', 'Saumons fumés sauvages']",['France'],[],[],?,123,"2,6","0,8","2,9",E,,2.6 g,en faible quantité,0.6 g,en faible quantité,0.8 g,en faible quantité,,-8%,515 kj(123 kcal),-7%,-30%,"0,6",-25%,+62%,"0,8",+120%,-88%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,2.9 g,en quantité élevée,"2,9",-2%,"1,16",-2%,11,-1%,D,-1%,,,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,,,,,,,,
1384,Maxi galette,3413910093708,,,,['France'],[],[],?,493,"70,1","19,7","6,3",,,,,,,,,,,2063 kj(493 kcal),,,"27,3",,,13,,,,,,,,,,,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,
1385,Blinis - Carrefour Bio,3560071270490,,['Carrefour Bio'],,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,
1386,Foie gras de canard - 120g,4056489278436,120 g,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1387,Chayma bonbon,3700952001861,,,,['France'],[],[],?,370.05,0,"88,01","3,57",,,,,,,,,,,1548 kj(370 kcal),,,0,,,"52,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388,Le caviar des pyrénées - Pêcheries Basques - 30g,3456700083862,30 g,['Pêcheries Basques'],"['Œufs de poisson', 'Caviars']",['France'],"[""Œufs d'esturgeons"", 'sel', 'conservateur ', 'E285']",[],"1088,76",260.47,15,"1,44","28,06",,,15 g,en quantité modérée,3.03 g,en quantité modérée,0.5 g,en faible quantité,-1%,+1%,"1088,76 kj(260 kcal)",+1%,-7%,"3,03",-20%,-39%,"< 0,5",-5%,+11%,,,,,,,,3.1 g,en quantité élevée,"3,1",-5%,"1,24",-5%,15,-7%,D,-7%,"['Carton', 'Plastique']",,['ES 12.020471/NA CE'],['Intermarché'],['Espagne'],,3,['E285 - Tétraborate de sodium'],,,,,,
1389,5029354000271,5029354000271,,,,['France'],"['Aloe Barbadensis ', 'Aloe Vera', ' Leaf Juice ', 'Organic', 'Acrylates/C10-30 Alkyl Acrylate Crosspolymer', 'Panthenol ', 'Pro-Vitamin B5', 'Sodium phytate', 'Phenoxyetharol Potassium Sorbate', 'Benzoic Acid', ' Sodium Hydroxide,']",[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E210 - Acide benzoïque', '', 'Risque élevé de sur-exposition']",,,,,,
1390,Tablette Chocolat au lait édulcoré aux noisettes - Les chocolats de Solène - 115G,10510766,115 G,['Les chocolats de Solène'],['Tablette de Chocolat'],['France'],"['Chocolat de couverture avec édulcorant ', 'Cacao 3,9%', ' édulcorant: maltitol', 'beurre de cacao', 'poudre de Lait entier ,pâte de cacao', 'émulsifiant : lécithine de SOJA ,arôme de vanille', 'NOISETTES']",['Non végétalien'],?,?,?,?,?,,['Chocolats des Antilles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Papier cartonné'],['Fève de cacao  et lait importé'],['97170'],['Carrefour Destrelland'],['Vernou- Petit Bourg'],"['Fruits à coque', 'Soja']",4,"['E965 - Maltitol', 'E322i - Lécithine']",,https://annesolene.fr/fr/,,,,
1391,Ail granulé déshydraté,4007747271195,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392,Lait de foin,3760205420016,,,,['France'],[],[],?,45,"1,5","4,8","3,2",,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,188 kj(45 kcal),,,1,,,"4,8",,,,,,,,,,,,0,,0,,,,,,,,"['FR 85.302.001 CE', 'Verrie (Vendée, France)']",,,,,,,,,,,
1393,8004690611906,8004690611906,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394,Cailler femina,7613039542118,,,,['France'],[],[],?,569,"37,1",49,"7,8",,,,,,,,,,,2381 kj(569 kcal),,,13,,,46,,,,,,,,,,,,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,
1395,Demi-jambonneau,3483190091565,,,,['France'],[],[],?,151,"6,2","0,5","23,7",,"['Bio', 'Bio européen']",,,,,,,,,632 kj(151 kcal),,,2,,,"0,5",,,,,,,,,,,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,
1396,Plateau assortiment de fromages au lait cru - Reflets de France,3245414468702,,['Reflets de France'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397,Galette moelleuse chocolat au lait - St Michel,3178530421132,,['St Michel'],"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",['France'],"['OEufs de poules élevées en plein air 21%', 'huile de colza', 'sucre', 'farine de blé 16%', 'chocolat au lait 12% ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pate de cacao', 'émulsifiant: lécithines de tournesol', 'arôme naturel de vanille', 'stabilisant: glycérol', 'lait écrémé en poudre', 'fécule', 'poudres à lever: carbonates et citrates de sodium ', 'blé', 'sel', 'arôme', ' Traces éventuelles de soja et de fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,453,26,51,7,D,['Sans huile de palme'],26 g,en quantité élevée,4.6 g,en quantité modérée,26 g,en quantité élevée,,+4%,1895 kj(453 kcal),+4%,+10%,"4,6",-42%,+4%,26,-16%,+21%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,0.8 g,en quantité modérée,"0,8",+54%,"0,32",+54%,17,-8%,D,-8%,,,,,,['Gluten'],4,"['E322i - Lécithine', 'E422 - Glycérol', 'E500 - Carbonates de sodium', 'E331 - Citrates de sodium']",,,,,,
1398,Bratengewürz,8017596051318,,,,['France'],[],[],?,119,"1,7",23,"2,8",,,,,,,,,,,498 kj(119 kcal),,,"0,9",,,0,,,,,,,,,,,,25,,10,,,,,,,,,,,,,,,,,,,
1399,Fruchtgummi SCHUHE - Red Band - 200g,8713800119934,200g,['Red Band'],,['France'],"['DSchuhe Nährwertangabe / Voedingswaarde 1 Nutrition information Energie I energy Fett / vetten /fat pro 100 E 1438 kj / 341 keal 0', '2 davon gesättigte Fettsäuren / waarvan verzadigde vetzuren / 0', '2g of which saturates Kohlentydrate / koolhydraten / carbohydrate 82 g davon Zucker / waarvan suikers / of which sugars Eiweiß / eiwitten / protein Salz / zout / salt 56g 5', '02 0', '02 g Weingummis mit Fruchtgeschmack', ': Glukose - sirup', 'Zucker', 'Stärke', 'Gelatine', 'Sauerungsmittel ', 'Milchsäure', 'pflanzliche ole ', 'Kokos', 'Raps', ' Aromen', ' Konzentrat von ', 'schwarze Karotte', ' Spirulina', 'Saflor', ' sehwarze Johannisbeere', ' Karotte', 'Uberzugsmittel ', 'Bienenwachs', ' Farbstoffe ', 'Paprikaextrakt', 'Kurkumin', ' Winegums met fruitsmaak', 'ingrediênten: glucosestroop', ' suiker', 'zetmeel', 'gelatine', 'voedingszuur ', 'melkzuur', ' plantaardige oliën ', 'kokos', 'koolzaad', ' aror concentraat van ', 'zwarte wortel', 'spirulina saffloen stof Zwarte bes', 'wortel', 'glansmiddel ', 'bijenuas fen ', 'paprika extract', 'curcumine', ' kleu Wine gums with fruit flavour', 'gredients: glucose syu sugar', 'starch', 'gelatine', 'acid ', 'lactie ognt ract', ' ', 'coconut', 'rapeseed', 'flavourin rika ', 'black carrot', 'spirulina', 'flower glazing agent ', 'beeswax', ' ntrate exta curcumin', ' Cloetta Hollana e Postbus 0oster NL Red Bandi 900 AB Oosterhou']","['Non végétalien', 'Non végétarien']",?,108,"0,2",82,5,,,,,,,,,,,452 kj(108 kcal),,,"0,2",,,56,,,,,,,,,,,,,,,,,,,,,,,,,,4,"['E428 - Gélatine', 'E270 - Acide lactique', ""E901 - Cire d'abeille"", 'E100 - Curcumine', 'E160c - Extrait de paprika']",,,,,,
1400,Fanta Zero Lemon,5000112620191,,,,['France'],[],[],?,0,0,0,0,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1401,Natura golosa confettura extra lamponi,8001395000073,,,,['France'],[],[],?,188,"0,3",43,0,,,,,,,,,,,787 kj(188 kcal),,,0,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,Nachos dip - Clarkys,42255949,,['Clarkys'],,['France'],[],[],?,53,"0,1",10,"1,5",,,,,,,,,,,222 kj(53 kcal),,,"0,1",,,"7,7",,,,,,,,,,,,2,,"0,8",,,,,,,,,,,,,,,,,,,
1403,Walker shortbread fingers - walkers - 125,03900116,125,['Walkers'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Shortbread']",['France'],"['Farine de blé ', 'farine de blé', 'carbonate de calcium', 'fer', 'niacine', 'thiamine', 'beurre ', 'lait', ' ', '32%', 'sucre', 'sel', ' Les allergènes sont indiqués en gras', ' Présence éventuelle de fruits à coque']",['Non végétalien'],2226,533,"30,3","58,4","5,6",C,,30.3 g,en quantité élevée,18.9 g,en quantité élevée,16.2 g,en quantité élevée,+2%,+3%,2226 kj(533 kcal),+3%,+8%,"18,9",+13%,-3%,"16,2",-15%,+1%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,0.7 g,en quantité modérée,"0,7",+6%,"0,28",+6%,20,-6%,E,-6%,"['Plastique', 'Carton']",,,,['Scotland'],"['Gluten', 'Lait']",3,,,,,,,
1404,Pamplemous,29061365,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,Huile d’olive vierge extra fruitée - Carrefour Bio,3560071262020,,"['Carrefour Bio', 'Carrefour']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],?,819,91,0,0,B,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore C', 'AB Agriculture Biologique']",91 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,,-5%,3427 kj(819 kcal),-4%,-5%,15,+7%,,0,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,0 g,en faible quantité,0,-100%,0,-100%,7,+14%,C,+14%,,['Espagne'],,['Carrefour'],,,,,,,,,,
1406,8436097094172,8436097094172,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407,Confiture 4 fruits rouges - Natur'Pom - 220,3591596311078,220,"[""Natur'Pom""]","['Produits à tartiner', 'Condiments à tartiner']",['France'],"['Prepare avec 50g de fruits rouges ', 'cassis', 'groseilles', 'mures', 'framboises', ' pour 100g', ' teneur en sucre: 60g pour 100g de confiture', ' Sans colorant ni Conservateur']",[],?,?,?,?,?,,['Fabrication artisanale'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Verre'],,,,['Nortkerque'],,1,,,http://naturpom.com,,,,
1408,Fromage fermier Fleurs - Le Champ sur Barse,3760017591676,,['Le Champ sur Barse'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['France'],[],[],?,?,?,?,?,D,"['Fermier', 'Fromage fermier']",,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,"['Frais', 'Sous atmosphère protectrice']",,"['FR 10.078.001 CE', 'Champ-sur-Barse (Aube, France)']",,,,,,,,,,,
1409,Gusto lime & mint pet,8014396003509,,,,['France'],[],[],?,38,0,"9,3",0,,,,,,,,,,,159 kj(38 kcal),,,0,,,"9,3",,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1410,Doppio concentrato dIGPomodoro,8008825001501,,,,['France'],[],[],?,115,"0,6",21,"4,6",,,,,,,,,,,481 kj(115 kcal),,,"0,2",,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1411,Eafit care complexe articulation,3518681010357,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1412,Ketchips,8008714001827,,,,['France'],[],[],?,546,33,54,"6,5",,,,,,,,,,,2284 kj(546 kcal),,,"3,8",,,"0,4",,,,,,,,,,,,1,,"0,4",,,,,,,,,,,,,,,,,,,
1413,mini flocons d'épeautre - Alnatura,4104420222953,,['Alnatura'],,['France'],[],[],?,378,"2,1",72,13,,,,,,,,,,,1582 kj(378 kcal),,,"0,3",,,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,Riz au lait vanille - Sans marque - 1kg,3424140000152,1 kg,['Sans marque'],"['Desserts', 'Puddings', 'Riz au lait', 'Riz au lait saveur vanille']",['France'],"['Lait', 'riz', 'sucre', 'vanille Bourbon']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",558,146,"3,7","22,6","3,4",B,,3.7 g,en quantité modérée,2.3 g,en quantité modérée,13.4 g,en quantité élevée,+5%,+11%,558 kj(146 kcal),+1%,+1%,"2,3",-0%,+9%,"13,4",+7%,+4%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,0.13 g,en faible quantité,"0,13",+1%,"0,052",+1%,3,-17%,C,-17%,['Frais'],,"['FR 50.363.002 CE', 'Moyon (Manche, France)']",,,['Lait'],3,,,,,,,
1415,Prosciutto Cotto,80404231,,,,['France'],[],[],?,157,9,1,18,,,,,,,,,,,657 kj(157 kcal),,,9,,,1,,,,,,,,,,,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,
1416,3355312146432,3355312146432,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,cafe soluble lyophilisé - de luxe - 200g,9050482028154,200 g,['de luxe'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles', 'Pur arabica']",['France'],['cafe arabica soluble lidl'],[],?,?,?,?,?,D,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,,,,,,,,,,,['pot verre'],,,,,,,,,,,,,
1418,Comté,3520112002404,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],[],[],?,418,35,0,27,D,,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,,-0%,1749 kj(418 kcal),-0%,+1%,23,+1%,-100%,0,-100%,+0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,0.82 g,en quantité modérée,"0,82",-2%,"0,328",-2%,13,0%,D,0%,,,,,,,,,,,,,,
1419,Gruner preffee - Milbona - 150g,4056489089926,150g,['Milbona'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à la crème']","['France', 'Allemagne']",[],[],?,254,24,"3,5",6,B,,24 g,en quantité élevée,15.9 g,en quantité élevée,3.1 g,en faible quantité,,+72%,1063 kj(254 kcal),+69%,+126%,"15,9",+129%,-35%,"3,1",-35%,-11%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,1.2 g,en quantité modérée,"1,2",+259%,"0,48",+259%,15,+266%,D,+266%,"['Kunststoff', 'Pappe']",['France'],"['FR 55.154.001 CE', 'Dieue-sur-Meuse (Meuse, France)']",['Lidl'],,,,,,,,,,
1420,Drops de Chocolat,26027937,,,,['France'],[],[],?,508,29,51,6,,,,,,,,,,,2125 kj(508 kcal),,,17,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,11111276,11111276,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422,Vin,3260980032195,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,Comte aop rapé,3060921505548,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],[],[],?,429,35,"1,5",27,C,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",35 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,,+2%,1795 kj(429 kcal),+3%,+1%,22,-3%,+225%,"0,5",+87%,+0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,1 g,en quantité modérée,1,+19%,"0,4",+19%,14,+8%,D,+8%,['Sachet en plastique'],,"['FR 25.427.001 CE', 'Noironte (Doubs, France)']",,,,,,,,,,,
1424,3596490000066,3596490000066,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,Purée sésame tahin - Happy Bio - 250g,3273120030982,250 g,['Happy Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits à tartiner', 'Céréales et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Purées de céréales', 'Purées de sésame']",['France'],"['Purée de sésame Ingrédients : 100% graines de SESAME non pelées et grillées""', ' "" Produit issu de l\'agriculture biologique', "" Peut contenir des traces d'arachides et de noix""]",[],?,641,"58,4","1,3","21,2",D,"['Nutriscore', 'Nutriscore C']",58.4 g,en quantité élevée,7.9 g,en quantité élevée,0.7 g,en faible quantité,,+1%,2682 kj(641 kcal),+1%,+5%,"7,9",-5%,-80%,"0,7",+11%,-5%,84.4%,6.1%,3.7%,4.2%,1.7%,0.0%,47,0.06 g,en faible quantité,"0,06",-50%,"0,024",-50%,10,-25%,C,-25%,"['Verre', 'métal', 'Bocal en verre', 'Capsule en métal']",,,,,['Graines de sésame'],,,,,,,,
1426,Emmental coeur de meule - 1,2950310046400,1,,,['France'],[],[],?,364,28,0,28,,,,,,,,,,,1523 kj(364 kcal),,,20,,,0,,,,,,,,,,,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,
1427,Sugo all'Arrabiatta,8008343299688,,,"['Epicerie', 'Sauces', 'Sauces pour pâtes', 'Sauces tomate', 'Sauces Arrabiata']",['France'],[],[],?,56,"3,5","4,5","1,1",B,,3.5 g,en quantité modérée,0.4 g,en faible quantité,4 g,en faible quantité,,-48%,234 kj(56 kcal),-45%,-46%,"0,4",-51%,-30%,4,-25%,-31%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,1 g,en quantité modérée,1,-8%,"0,4",-8%,4,+2%,C,+2%,,,,,,,,,,,,,,
1428,BUITONI FRAICH'UP SO TASTY pizza surgelée Meat Addicts - 550g,7613038919829,550 g,"['Buitoni', ""Fraich'up""]",,['France'],"['Farine de BLE 33,5%', 'eau', 'sauce barbecue 12,2% ', 'purée de tomates', 'eau', 'sucre', 'épices et plantes aromatiques', ""vinaigre d'alcool"", 'huile de tournesol', 'amidon modifié de pomme de terre', 'colorant : caramel ordinaire ', ' sel', ""pulpe d'ail"", 'poulet cuit ', 'non-UE', ' 5,3% ', 'viande de poulet', 'sel', 'MOZZARELLA ', 'LAIT', 'EDAM ', 'LAIT', 'viande de bœuf cuite ', 'UE', ' 3,4%', 'CREME ', 'LAIT', 'huile de tournesol', 'oignons rissolés 1,7% ', 'oignons', 'huile de tournesol', 'poivrons verts 1,4%', 'poivrons jaunes 1,4%', 'GLUTEN de BLE', 'levure', 'poudres à lever : tartrate de potassium', 'carbonates de sodium ', ' levain déshydraté ', 'BLE', 'oignons', 'sel', 'sucre', 'farine de BLE dur', 'semoule de BLE', 'amidon modifié de pomme de terre', 'épices et plantes aromatiques', 'poudre de tomates', ""pulpe d'ail"", 'agents de traitement de la farine : alpha-amylase', 'xylanase ', ' colorant : caramel ordinaire']","['Non végétalien', 'Non végétarien']",893,212,6,29,"9,6",,"['Point Vert', 'Nutriscore', 'Nutriscore B', 'Triman']",,,,,,,,,893 kj(212 kcal),,,2,,,"2,6",,,,,,,,,,,,"0,75",,"0,3",,,,,,"['Boite', 'Film en plastique']",,,,,"['Gluten', 'Lait', 'Soja']",4,"['E14XX - Amidons modifiés', 'E150a - Caramel E150a', 'E336 - Tartrates de potassium', 'E500 - Carbonates de sodium', 'E1100 - Amylases']",Pizza surgelée,,,,,
1429,"Les galettes d’Annette, bio pur beurre -",3472860406853,,,,['France'],[],[],?,519,"26,1","64,7","5,7",,['Bio'],,,,,,,,,2171 kj(519 kcal),,,"18,5",,,"28,8",,,,,,,,,,,,"0,58",,"0,232",,,,,,,,,,,,,,,,,,,
1430,Soja cuisine fluide,3400933234072,,,,['France'],[],[],?,167,16,"2,4","2,7",,,,,,,,,,,699 kj(167 kcal),,,"1,1",,,2,,,,,,,,,,,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,
1431,Jambon cuit à l’ancienne,0253028031888,,,,['France'],[],[],?,198,12,"0,6",21,,,,,,,,,,,828 kj(198 kcal),,,"2,3",,,"0,6",,,,,,,,,,,,2,,"0,8",,,,,,,,,,,,,,,,,,,
1432,Fruchtriegel Appel- Aroniabeere,4058172425516,,,,['France'],[],[],?,374,"7,8",72,"3,1",,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,1565 kj(374 kcal),,,"3,5",,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,Tartine campagne,8794049791006,,,,['France'],[],[],?,272,"6,9","37,5","8,9",,,,,,,,,,,1138 kj(272 kcal),,,"0,7",,,23,,,,,,,,,,,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,
1434,3471780017538,3471780017538,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,Financiers bio - Le Manoir des Abeilles,3335440252007,,['Le Manoir des Abeilles'],"['Biscuits et gâteaux', 'Gâteaux', 'Financiers']",['France'],[],[],?,487,28,49,"9,1",D,['Bio'],28 g,en quantité élevée,13 g,en quantité élevée,35 g,en quantité élevée,,+8%,2038 kj(487 kcal),+8%,+4%,13,+2%,+14%,35,+8%,+11%,88.7%,6.4%,2.2%,1.6%,1.1%,0.0%,35,0.11 g,en faible quantité,"0,11",-67%,"0,044",-67%,23,+6%,E,+6%,,,,,,,,,,,,,,
1436,6 Uova Fresche Grandi Da Allevamento a Terra - Conad,8003170026520,,['Conad'],"[""Produits d'élevages"", 'Œufs', 'Œufs frais']",['France'],[],[],?,128,"8,7",0,12,D,,8.7 g,en quantité modérée,3.2 g,en quantité modérée,0 g,en faible quantité,,-8%,536 kj(128 kcal),-8%,-4%,"3,2",+49%,-100%,0,-100%,-2%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,0.34 g,en quantité modérée,"0,34",+50%,"0,136",+50%,0,,B,,,,,,,,,,,,,,,
1437,Farro penne rigate - Alce nero,8009004120112,,['Alce nero'],,['France'],[],[],?,344,"1,8","2,2",12,,,,,,,,,,,1439 kj(344 kcal),,,"1,8",,,"2,2",,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
1438,CrazyTiger Tropical Urban,3760205599118,,,,['France'],[],[],?,21,0,"4,4","0,5",,,,,,,,,,,88 kj(21 kcal),,,0,,,"4,4",,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
