,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,link,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,traceability_code,generic_name,ingredients_origins,manufacturing,markets,palm_ingredients,brand_owner
1741,Edora - Nasi-Goreng -  - 40g,4007354603167,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,40 g,,,['Plats préparés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,Pfeffer schwarz gemahlen - 40g,4007354609701,,['France'],[],[],?,?,,?,,?,,?,,,40 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,Rosmarin geschnitten - 20g,4007354611209,,['France'],[],[],?,?,,?,,?,,?,,,20 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,Asperge - Mikado,4007415000980,,['France'],[],[],?,46,192 kj(46 kcal),"0,2","0,1",1,"0,6","0,7","0,91","0,364",,,['Mikado'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",,,,0.2 g,en faible quantité,0.1 g,en faible quantité,0.6 g,en faible quantité,0.91 g,en quantité modérée,,+142%,+149%,-20%,+199%,-49%,-49%,-52%,+15%,+15%,-1,,A,,C,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,,
1745,"Spargelköpfe, Weiss, Geschält - Mikado",4007415004391,,['France'],"['ASPERGES BLANCHES PELÉES ', ' Asperges', 'eau', 'sel', 'acidifiant : acide citrique,t']",[],?,18,75 kj(18 kcal),"0,3","0,09","1,3","0,09","1,9","0,9","0,36",,,['Mikado'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,,,,,,
1746,Biere,4007430141910,,['France'],[],[],?,32,134 kj(32 kcal),"0,6","0,01","7,7","6,6","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,Jus de grenade - Persigran,4007452213527,"['Bio', 'Sans arômes artificiels', 'Sans sucre ajouté', 'Sans conservateurs']",['France'],"['100%BIO pur jus de grenade', ' Sans sucre ajouté', 'sans arôme artificiel', 'sans conservateur']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,68,285 kj(68 kcal),0,0,"17,1",14,0,"0,01","0,004",,,['Persigran'],['Boissons'],,,1,0 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0.01 g,en faible quantité,,+21%,+18%,-100%,-100%,+51%,+48%,-100%,-76%,-76%,10,+31%,E,+31%,,,,,,,,,,,,,,,,
1748,Carres de fruits,4007482207039,,['France'],[],[],?,389,1628 kj(389 kcal),2,"0,1","96,1","59,5","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,Zugbandbeutel - Anti Geruch,4007519085104,['Fabriqué en Allemagne'],['France'],[],[],?,?,,?,,?,,?,,,,['Rollen'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Zugbandbeutel - extra stark,4007519085326,['Fabriqué en Allemagne'],['France'],[],[],?,?,,?,,?,,?,,,,['Rollen'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,Sour cream & onion dip - Fuego,4007552305146,,['France'],[],[],?,258,1079 kj(258 kcal),23,"2,9",10,"7,7",0,"1,2","0,48",,,['Fuego'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,Chili ketchup Fuego - 290ml,4007552309786,,['France'],[],[],?,156,653 kj(156 kcal),"0,3","0,1","35,7","32,5","1,2","2,5",1,290 ml,,['Fuego'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,Johannes beeren -,4007601169347,,"['France', 'Allemagne']",['Johannisbeeren'],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Groseilles']",,,,,,,,,,,,,,,,,,,,,,,,,,B,88.8%,0.0%,0.0%,4.9%,4.8%,1.6%,81,,,,,,,,
1754,Limette et ingwer,4007656029108,,['France'],[],[],?,45,188 kj(45 kcal),0,0,11,11,0,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,Zitronenlimonade - Schwarzwald Sprudel,4007656031002,,['France'],"['Eau minérale ', 'sucre', 'acide carbonique', 'acide citrique', 'arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,29,121 kj(29 kcal),0,0,"7,3","7,3",0,"0,02","0,008",,,['Schwarzwald Sprudel'],"['Boissons', 'Boissons avec sucre ajouté']",,,4,0 g,en faible quantité,0 g,en faible quantité,7.3 g,en quantité élevée,0.02 g,en faible quantité,,-66%,-67%,-100%,-100%,-63%,-60%,-100%,-47%,-47%,10,-16%,E,-16%,,,,,,,,,"['E290 - Dioxyde de carbone', 'E330 - Acide citrique']",,,,,,,
1756,Geflügelfond - Jürgen Langbein - 200.0ml,4007680105205,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,200.0 ml,"['Glas', 'Glas/Gläser', 'Glas/Gläser']",['Jürgen Langbein'],"['Epicerie', 'Bouillons']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,Wurst Bambinis,4007683071118,,['France'],[],[],?,231,967 kj(231 kcal),20,8,"0,7","0,7",12,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,Wilhelm Brandenburg Schinkenfleischwurst -  - 125g,4007695028117,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,125 g,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de porc', 'Saucisses de jambon pur porc']",,,,,,,,,,,,,,,,,,,,,,,,,,E,84.3%,9.6%,1.8%,1.2%,0.7%,2.5%,23,,,Schinkenwurst,,,,,
1759,Oignons frits - Goutina,4007747001822,,['France'],"['oignons 34% ', 'équivalence oignon frais 75%', 'huile de palme', 'farine de blé', 'sel', ' traces éventuelles de céleri', 'lait', 'mouia euf', 'sésame', 'soja']",['Huile de palme'],?,478,2000 kj(478 kcal),31,"16,5",40,15,"7,5",1,"0,4",,,['Goutina'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons frits']",,['Gluten'],3,31 g,en quantité élevée,16.5 g,en quantité élevée,15 g,en quantité élevée,1 g,en quantité modérée,,-16%,-16%,-27%,-9%,-0%,+42%,+28%,-9%,-9%,13,-4%,D,-4%,E,35.2%,59.0%,2.2%,1.7%,1.6%,0.3%,26,,,,,,,['Huile de palme'],
1760,Mélange épices curry gold moulu - Columbia - 500g,4007747271157,,['France'],"['Curcuma', 'cumin', 'coriandre', 'ail', 'fenouil', 'persil', 'origan', 'piment fort', 'fenugrec', 'épices']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,500 g,['Plastique'],['Columbia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curry']",,,1,,,,,,,,,,,,,,,,,,,,,,,B,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,,,,,,,,
1761,4007751055842,4007751055842,['Fabriqué en Allemagne'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,Spargelschinken,4007791842365,,['France'],[],[],?,152,636 kj(152 kcal),9,3,1,"0,5",17,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,Surtido de galletas - azuba,4007802549900,,"['France', 'Espagne']","['harina de trigo ', 'gluten', 'azúcar', 'grasas vegetales ', 'palma', 'coco', 'masa de cacao', 'manteca de cacao', 'azúcar mascabado', 'grasa butírica ', 'derivado lácteo', 'almidón de trigo ', 'gluten', 'suero de leche dulce en polvo', 'leche en polvo', 'leche desnatada en polvo', 'cacao desgrasado en polvo', 'clara de huevo líquido', 'jarabe de azúcar invertído', 'coco rallado', 'dextrose', 'almendras ', 'frutos de cáscara', 'emulgentes: lecitina ', 'soja', 'mono y digliceridos de los acidos grasos', 'lecitina ', 'colza', ' gasificantes: carbonato ácido de sodio', 'difosfato disódico', 'carbonato ácido de amonio', ' sal', 'aroma natural', 'jarabe de glucosa', 'huevo entero en polvo', 'lactosa', 'aceites de colza', 'clara de huevo en polvo', 'jarabe de caramelo', 'especias', 'extracto de malta de cebada ', 'gluten', 'extracto de vainilla', 'colorante: beta-caroteno']","['Huile de palme', 'Non végétalien']",?,515,2155 kj(515 kcal),27,16,59,35,"5,9","0,42","0,168",,,['Azuba'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,27 g,en quantité élevée,16 g,en quantité élevée,35 g,en quantité élevée,0.42 g,en quantité modérée,,+9%,+8%,+30%,+58%,-8%,+19%,-9%,-29%,-29%,24,+21%,E,+21%,D,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', ""E503ii - Carbonate acide d'ammonium"", 'E160ai - Bêta-carotène']",,,,,,,
1764,Mars plastic - Staedtler,4007817527276,,['France'],[],[],?,30,126 kj(30 kcal),0,0,0,0,0,5,2,,,['Staedtler'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,4007817802328,4007817802328,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,4007843522504,4007843522504,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,Victor Spargelspitzen - 180g,4007844013704,,['France'],[],[],?,?,,?,,?,,?,,,180 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,Schlemmerland Rahmgeschnetzeltes vom Schwein mit K... - Dietz,4007887097235,['Contient du lait'],['France'],"['Rahmsauce 45%: Trinkwasser', 'Zwiebeln 13%', 'Sahne 13%', 'Champignons 2%', 'Weizenmehl', 'Tomatenmark', 'Schweineschmalz', 'Butter', 'Speisesalz', 'Zucker', 'Gewürze', 'Würze', 'Dextrose', 'Karamellpulver ', 'färbend', 'Verdickungsmittel: Xanthan', ' Gewürzextrakte', ' Kartoffelpüree 40%: Kartoffeln 56%', 'Trinkwasser', 'Milch', 'Sahne', 'Butter', 'Speisesalz', 'Emulgator: Mono - und Diglyceride von Speisefettsäuren', ' natürliches Aroma', 'Gewürze', 'Gewürzextrakte', 'Kurkuma', ' Geschneüeltes', 'gebraten 15%: Schweinefleisch', 'Speisesalz', 'Rapsöl', 'Zucker', 'Gewürze', 'Glukosesirup', 'Würze', 'Gewürzextrakte', ' Kann Spuren von Sellerie enthalten']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,107,448 kj(107 kcal),"5,7","3,2",8,"1,1","5,9","1,46","0,584",,,['Dietz'],,,"['Céleri', 'Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E415 - Gomme xanthane', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,,,,
1769,Oldenburger Milk Powder - 900g,4007929529168,,['France'],"['milk', 'emulsifier soy lecithin', 'vitamins A + D3']",[],?,?,,?,,?,,?,,,900g,['Boite-aluminium'],['Oldenburger'],,,['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,American vollkorn sandwich,4007931446644,,['France'],[],[],?,246,1029 kj(246 kcal),"3,5","1,2",42,2,"8,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,Delba Spelt Rye Crispbread,4007933222574,"['Bio', 'Bio européen', 'DE-ÖKO-001', 'en:EG-Öko-Verordnung', 'Agriculture UE/Non UE']",['France'],[],[],?,387,1619 kj(387 kcal),"7,4","2,3","60,1","3,3","13,7","4,8","1,92",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,7.4 g,en quantité modérée,2.3 g,en quantité modérée,3.3 g,en faible quantité,4.8 g,en quantité élevée,,+18%,+17%,+21%,+97%,+10%,-16%,+44%,+275%,+275%,16,+214%,D,+214%,,,,,,,,,,,,,,,,
1772,Rye Bread With Sunflower Seeds,4007933459024,"['Agriculture UE/Non UE', 'Sans conservateurs']",['France'],[],[],?,218,912 kj(218 kcal),"4,1","0,7","34,8","3,7","5,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,Mixed cereals bread,4007947009062,"['Bio', 'Bio européen', 'DE-ÖKO-001']",['France'],[],[],?,199,833 kj(199 kcal),"2,3","0,3","34,5","2,5","5,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,Eiscreme - Landliebe,4007993017141,,['France'],[],[],?,214,895 kj(214 kcal),11,"7,7","26,1","23,4","2,5","0,1","0,04",,,['Landliebe'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,Milka Waffelhörnchen,4007993020479,,['France'],[],[],?,342,1431 kj(342 kcal),"20,2","15,4","35,4","27,9",4,"0,18","0,072",,,['Milka'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,Cones - Milka,4007993020486,,['France'],[],[],?,342,1431 kj(342 kcal),"20,2","15,4","35,4","27,9",4,"0,18","0,072",,,['Milka'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,Oreo Popcorn,4007993025245,,['France'],[],[],?,353,1477 kj(353 kcal),21,14,38,29,"2,7","0,33","0,132",,,['Oreo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,Chocolate & vanilla,4007997018885,,['France'],[],[],?,352,1473 kj(352 kcal),"23,2","16,9","32,5","30,8","2,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,Bihunsuppe - 1000g,4008002006149,,['France'],[],[],?,?,,?,,?,,?,,,1000 g,['Dose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,Lentil soup,4008002444644,,['France'],[],[],?,52,218 kj(52 kcal),"1,6","0,7","5,2","1,2",1,"0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,Kessel chips,4008007041756,,['France'],[],[],?,501,2096 kj(501 kcal),27,"2,5",55,4,6,"1,33","0,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,Knack fumée,4008013076247,,['France'],[],[],?,213,891 kj(213 kcal),"17,1","6,9","0,9","0,8","2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,Super Mix - Sans marque - 300g e,4008021652631,"['Point Vert', 'Tidy man', 'Triman']",['France'],"['Farine de blé', 'huile de colza', 'se sucre', ""extrait de malt d'orge"", 'sel de mer', ""correcteur d'acidité"", ' hydroxyde de sodium', "" poudres à lever:carbonates d'ammonium"", 'carbonates de sodium', 'graines de sésame ', '0,5 %', 'levure', 'lait entier en poudre', 'graines de pavot ', '0,09 %', 'émulsifiant: lécithines']",['Non végétalien'],?,422,1766 kj(422 kcal),11,"0,7",68,"4,2",11,"3,1","1,24",300 g e,"['Barquette', 'Plastique', '07']","['Sans marque', 'Snäcky Knabbergebäck']","['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,"['Gluten', 'Lait', 'Graines de sésame']",4,11 g,en quantité modérée,0.7 g,en faible quantité,4.2 g,en faible quantité,3.1 g,en quantité élevée,,-9%,-10%,-45%,-87%,+14%,+7%,+11%,+55%,+55%,12,-22%,D,-22%,B,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,"['E524 - Hydroxyde de sodium', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E322 - Lécithines']",,Assortiment de biscuits salés,,,['Auchan'],,
1784,Fun les chips,4008021716456,,['France'],[],[],?,531,2222 kj(531 kcal),32,"0,6",56,"0,6","3,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785,Bio Rhabarber,4008074101797,['Bio'],['France'],[],[],?,47,197 kj(47 kcal),"0,1","0,02","10,3","10,3","0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,Sirop de Monin Kiwi,4008077741044,,['France'],[],[],?,340,1423 kj(340 kcal),0,0,"83,7","82,7",0,"0,03","0,012",,,['Monin'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de kiwi']",,,,,,,,,,,,,+18%,+19%,-100%,-100%,+10%,+14%,-100%,+131%,+131%,,,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,
1787,Sirop de framboises - Monin - 700ml,4008077741136,,"['France', 'Allemagne']",[],[],?,346,1448 kj(346 kcal),0,0,85,84,0,0,0,700ml,,['Monin'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de framboise']",,,,,,,,,,,,,+25%,+23%,-100%,-100%,+18%,+19%,-100%,-100%,-100%,,,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,
1788,Lychee-sirup Monin,4008077741471,,['France'],"['Aktuelle Rezepte und Infos: www', 'monin•sirup', 'de Zutaten: Zucker', 'Wasser', 'Aroma', 'konzentricfler Zitronensaft', 'Farbstoff: Anthocyane', ' Fruchtsaftgehalt: minde 24%', 'davon I SBG Litschisaft']",[],?,341,1427 kj(341 kcal),0,0,84,"82,4",0,0,0,,,['Monin'],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E163 - Anthocyanes'],,,,,,,
1789,Monin Schokolade - 700ml,4008077741525,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,700 ml,['Flasche'],['Monin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,Monin Amaretto - 700g,4008077741532,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,700 g,['Flasche'],['Monin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,Sirop de mirabelle - Monin,4008077741747,,['France'],[],[],?,310,1297 kj(310 kcal),0,0,77,"76,9",0,"0,01","0,004",,,['Monin'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops à la mirabelle']",,,,,,,,,,,,,,+20%,-100%,,+7%,+9%,-100%,+350%,+350%,,,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,
1792,Sirop de monin mandarine,4008077742461,,['France'],[],[],?,305,1276 kj(305 kcal),0,0,"74,4","74,4",0,0,0,,,['Monin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,Monin Sirup - Pina Colada,4008077744724,,['France'],[],[],?,329,1377 kj(329 kcal),0,0,"80,4","80,3",0,"0,01","0,004",,,['Monin'],['Boissons'],,,,0 g,en faible quantité,0 g,en faible quantité,80.3 g,en quantité élevée,0.01 g,en faible quantité,,+488%,+471%,-100%,-100%,+612%,+751%,-100%,-76%,-76%,20,+161%,E,+161%,,,,,,,,,,,,,,,,
1794,Nuss Nougat Creme,4008081210604,,['France'],[],[],?,570,2385 kj(570 kcal),37,"8,6",52,50,5,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,Leinensaat - Kluth - 500g,4008088020701,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,500g,,['Kluth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,Bananen Chips,4008088035019,"['Bio', 'Bio européen', 'DE-ÖKO-006']",['France'],[],[],?,514,2151 kj(514 kcal),"29,6","26,6","57,1","18,7","2,3","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Nusskernmischung,4008088170499,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,Kluth Nusskernmischung - 500g,4008088170734,,['France'],[],[],?,?,,?,,?,,?,,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Gebrannte Erdnüsse,4008088874281,,['France'],[],[],?,545,2280 kj(545 kcal),34,"4,7",41,34,16,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,Cranberries - Kluth,4008088908139,,['France'],[],[],?,326,1364 kj(326 kcal),1,"0,3",76,69,0,"0,05","0,02",,,['Kluth'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",,,,1 g,en faible quantité,0.3 g,en faible quantité,69 g,en quantité élevée,0.05 g,en faible quantité,,-3%,-3%,+42%,+21%,-5%,+5%,-100%,+118%,+118%,9,+25%,C,+25%,,,,,,,,,,,,,,,,
1801,Kluth Rauch Mandeln Premium Qualität,4008088922791,['Entrepreneurs + Engagés'],['France'],"['96 % Mandeln ', 'geröstet', 'Rapsöl', 'Salz', 'Raucharoma', 'Hefeextrakt']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,605,2531 kj(605 kcal),"49,6","3,7","9,3","3,9","24,5","0,975","0,39",,,['KLUTH'],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,Pudding à la vanille avec framboise - Travellunch - 100g,4008097501901,,['France'],"['lait entier en poudre', 'sucre', 'amidon modifié de pommes de terre', 'poudre de crème', 'sirop de glucose', 'maltodextrine', 'graisse de palme hydrogenée', 'framboises 2 %', 'émulsifiant: acide lactique', 'protéine de lait', 'épaississant carraghénane', 'colorant naturelle ', 'curcuma', 'extrait de paprika', 'carotène', 'sel', 'arôme']","['Huile de palme', 'Non végétalien']",?,475,1987 kj(475 kcal),20,13,63,42,"9,4","0,59","0,236",100 g,"['Sachet', 'Plastique', 'Individuel']",['Travellunch'],"['Desserts', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Puddings', 'Aliments lyophilisées']",,['Lait'],4,,,,,,,,,,+51%,+49%,+112%,+431%,+40%,+166%,-17%,-51%,-51%,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E160a - Carotènes mélangés']",,,,,,['Huile de palme'],
1803,Hollunderblütenessig Hengstenberg - 500ml,4008100120198,,['France'],[],[],?,?,,?,,?,,?,,,500 ml,,['Hengstenberg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,Edulcorant Cyclamate Saccharine 300 Comprimés- ?,4008102001440,['Fabriqué en Allemagne'],['France'],[],[],?,20,84 kj(20 kcal),0,0,"0,2","0,2",0,"34,15","13,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,Lust auf Grape - Hoepfner,4008109432308,,['France'],[],[],?,?,,?,,?,,?,,,,"['Bouteille', 'Verre', 'Capsule', 'Métal']",['Hoepfner'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières allemandes', 'Bieres aromatisées aux fruits']",http://www.hoepfner.de/bierspezialitaeten/sorten/grape.html,,,,,,,,,,,,,,,,,,,,,,,,,C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,
1806,"Adler Filigrano Speck (2,24 Eur / 100 G)",4008128078839,"['en:gluten-free', 'Sans lactose']",['France'],[],[],?,1350,5648 kj(1350 kcal),30,11,1,"0,5","19,2",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,"Matetee Figurfit, Kräuter - Bad Heilbrunner",4008137004560,['en:gluten-free'],['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,1","0,1",0,0,0,,,['Bad Heilbrunner'],['Boissons'],,,,0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,,-98%,-98%,-100%,-100%,-99%,-99%,-100%,-100%,-100%,2,-74%,C,-74%,,,,,,,,,,,,,,,,
1808,Emince Saucisse Gruninger Viande fromage pour salade,4008150228127,,['France'],[],[],?,325,1360 kj(325 kcal),29,11,1,"0,9",15,2,"0,8",,,['Gruninger'],['Viandes'],,,,29 g,en quantité élevée,11 g,en quantité élevée,0.9 g,en faible quantité,2 g,en quantité élevée,,+44%,+46%,+99%,+106%,-39%,+28%,-21%,+10%,+10%,22,+93%,E,+93%,,,,,,,,,,['DE BW-05555 EG'],,,,,,
1809,"Vegetarische Schnitzel Emmentaler, Emmentaler - Valfleuri",4008150740421,,['France'],"['semoule de blé dur de qualité supérieure', '23% de légumes déshydratés ', 'carottes', 'haricots verts', 'oignons', 'tomates', 'poivrons rouges', 'petits pois', 'betterave', ""blanc d'oeuf déshydraté"", 'paprika']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,334,1397 kj(334 kcal),"1,6","0,4",61,9,"15,5","0,3","0,12",,,['Valfleuri'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,,1,1.6 g,en faible quantité,0.4 g,en faible quantité,9 g,en quantité modérée,0.3 g,en quantité modérée,,+1%,+1%,-38%,-43%,-1%,+225%,+34%,+42%,+42%,-4,,A,,,,,,,,,,,,,,,,,
