,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,quantity,labels,traceability_code,markets,nova_score,manufacturing,additives,generic_name,ingredients_origins,link,brand_owner,allergens
46,4 tapas de la mer - Odyssee - 210g,3250392077792,['Odyssee'],['France'],[],[],?,184,770 kj(184 kcal),16,"2,4","0,5","0,5","9,5","3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210 g,,,,,,,,,,,
47,Cacao en poudre,3173286425120,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,8 pains au chocolat pur beurre,3284930004018,,['France'],[],[],?,424,1774 kj(424 kcal),23,15,46,14,"6,9","0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Galettes bretonnes nature - 150g,2220010082669,,['France'],[],[],?,578,2418 kj(578 kcal),34,21,61,28,"6,1","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,,,,,,,,
50,Brie,0206308012008,,['France'],[],[],?,314,1314 kj(314 kcal),26,18,2,2,18,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Label Rouge'],,,,,,,,,,
51,Thé des Alizés - Palais des Thés,2700862001082,['Palais des Thés'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Roti de porc cuit superieur,2471248022969,,['France'],[],[],?,139,582 kj(139 kcal),"5,2","2,1","0,9","0,8","22,2","1,98","0,792",E,"['Viandes', 'Porc', 'Rôtis de porc']",5.2 g,en quantité modérée,2.1 g,en quantité modérée,0.8 g,en faible quantité,1.98 g,en quantité élevée,,-3%,-2%,+3%,+0%,+10%,+28%,-1%,+15%,+15%,11,+54%,D,+54%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,
53,1/4 jambon désossé reconstitué,0264579053267,,['France'],[],[],?,226,946 kj(226 kcal),"11,8","4,2","0,2",0,"29,5",6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0260629025581,0260629025581,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Épinards a la crème épices en portions,28500896,,['France'],[],[],?,57,238 kj(57 kcal),"3,5","0,7",3,1,"2,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Kouign Amann,3700754781145,,['France'],[],[],?,449,1879 kj(449 kcal),32,20,55,28,"3,8","0,9","0,36",B,"['Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",32 g,en quantité élevée,20 g,en quantité élevée,28 g,en quantité élevée,0.9 g,en quantité modérée,,0%,-0%,+26%,+21%,+5%,+4%,-4%,+12%,+12%,24,+4%,E,+4%,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,,,,,,,,,,,,,
57,Valdespino Sec XER.1L,8410792002007,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
