,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,brand,categories,labels,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,traceability_code,markets,ingredients_origins,generic_name,manufacturing,link,additives,palm_ingredients,brand_owner
1678,Reese’s Puffs - General mills,0016000275072,['France'],[],[],?,360,1506 kj(360 kcal),5,3,7,2,6,,['General mills'],,,,,,,,,,,,,,,,,,,,,7,,"2,8",,,,,,,,,,,,,,,,,,,,,,,
1679,Lucky charms frosted toasted oat cereal with - Liebig - 453g,0016000275690,['France'],"['Whole Grain Oats', 'Marshmallows ', 'Sugar', 'Modified Corn Starch', 'Corn Strop', 'Dextrose', 'Gelatin', 'Calcium Carronade', 'Yellows 5', 'and', '6', 'Blue 1', 'Red 40', 'Artificial Flavor', 'Sugar', 'Oat Flour', 'Corn Syrup', 'Corn Starch', 'Salt Calcium Carbonate', 'Trisodium Phosphate', 'Color Added', 'Zinc and Iron ', 'Mineral Nutrients', 'Vitamin C ', 'Sodium Ascorbate', 'A B Vitamin ', 'Niacinamide', 'Artificial Flavor', 'Vitamin B6', 'Pyridoxine Hydrochloride', ' Vitamin B2', 'Riboflavin', 'Vitamin B1', 'Thiamin Mononitrate', ' Vitamin A ', 'Palmitate', 'A B Vitamin ', 'Folic Acid', 'Vitamin B12', 'Vitamin D', ' Vitamin E ', 'Mixed Tocopherols', 'Added to Preserve Freshness']","['Non végétalien', 'Non végétarien']",?,407.41,1705 kj(407 kcal),"3,7",0,"81,48","37,04","7,41",,"['Liebig', 'General Mills']","['Snacks', 'Snacks sucrés']",,,4,3.7 g,en quantité modérée,0 g,en faible quantité,37 g,en quantité élevée,1.6 g,en quantité élevée,,-9%,-9%,-82%,-100%,+42%,+4%,+24%,"1,599",+320%,"0,64",+320%,15,-21%,D,-21%,,,,,,,,453 g,,,,,,,,"['E428 - Gélatine', 'E102 - Tartrazine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E129 - Rouge allura AC', 'E339iii - Phosphate trisodique', 'E306 - Extrait riche en tocophérols']",,
1680,Céréales Lucky Charms Au Chocolat - General mills - 340g,0016000275799,['France'],[],[],?,393,1644 kj(393 kcal),26,"5,4","35,7","35,7","3,6",,['General mills'],,['Contient des OGMs'],,,,,,,,,,,,,,,,,,,"1,4",,"0,56",,,,,,,,,,,,,340g,,,,,,,,,,
1681,Nature Valley 100% Natural Pecan Crunch Crunchy Granola Bars,0016000284159,['France'],[],[],?,452,1891 kj(452 kcal),19,"2,38","66,64","26,18","7,14",,['Nature Valley'],,,,,,,,,,,,,,,,,,,,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,
1682,Nature Valley Crunchy Apple Crisp Granola Bars - 6 CT,0016000295704,['France'],[],[],?,500,2092 kj(500 kcal),20,0,70,25,10,,,,,,,,,,,,,,,,,,,,,,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,
1683,"Nature Valley Granola Bars Crunchy, - 42g",0016000295797,"['France', 'Nouvelle-Calédonie', 'États-Unis']","['Whole grain oats', 'sugar', 'canola oil', 'rice flour', 'dried apples', 'brown sugar syrup', 'salt', 'baking soda', 'soy lecithin', 'cinnamon', 'natural flavor']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,452,1891 kj(452 kcal),"19,05","2,38","69,05","23,81","7,14",,['Nature valley'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",,['Soja'],4,19.1 g,en quantité modérée,2.38 g,en quantité modérée,23.8 g,en quantité élevée,0.892 g,en quantité modérée,,+30%,+30%,+234%,+51%,+17%,+318%,-24%,"0,892",+197%,"0,357",+197%,10,+513%,C,+513%,,,,,,,,42g,,,,,,,,"['E500ii - Carbonate acide de sodium', 'E322i - Lécithine']",,GENERAL MILLS SALES INC.
1684,Nature Valley Crunchy Granola Bars Variety Pack - 6 CT - 253g,0016000411265,"['France', 'Thaïlande']","['Avoine à grains entiers', 'sucre', 'huile de canola', 'farine de riz', 'miel', 'sel', 'sirop de sucre brun', 'bicarbonate de soude', 'lécithine de soja', 'arôme naturel,']",['Non végétalien'],?,400,1674 kj(400 kcal),20,4,70,30,8,,['Nature Valley'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",,['Soja'],4,20 g,en quantité modérée,4 g,en quantité modérée,30 g,en quantité élevée,0 g,en faible quantité,,-5%,-6%,+27%,-33%,+16%,+10%,+7%,0,-100%,0,-100%,13,-2%,D,-2%,,,,,,,,253 g,['Box'],,,,,,,"['E500ii - Carbonate acide de sodium', 'E322i - Lécithine']",,
1685,Oats 'n Honey - Nature Valley - 24bars,0016000431010,"['Canada', 'France']",[],[],?,452,1891 kj(452 kcal),"16,7","2,38",69,"26,2","7,14",,['Nature Valley'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",,,,16.7 g,en quantité modérée,2.38 g,en quantité modérée,26.2 g,en quantité élevée,0.457 g,en quantité modérée,,+7%,+6%,+6%,-60%,+15%,-4%,-5%,"0,457",+17%,"0,183",+17%,12,-9%,D,-9%,,,,,,,,24 bars,,,,,,,,,,
1686,Cinnamon Toast Crunch - General mills - 345g,0016000434721,"['France', 'États-Unis']","['Blé complet', 'sucre', 'farine de riz', 'huile de canola', 'fructose', 'maltodextrine', 'dextrose', 'sel', 'cannelle', 'phosphate trisodique', 'lécithine de soja', 'colorant caramel', ' BHT ajouté pour préserver la fraîcheur', '\r Vitamines et minéraux: Carbonate de calcium', 'Fer et zinc ', 'minéraux nutritifs', 'Vitamine C ', 'ascorbate de sodium', 'Vitamine AB ', 'niacinamide', 'Vitamine B6 ', 'chlorhydrate de pyridoxine', 'Vitamine B2 ', 'riboflavine', 'Vitamine B1 ', 'mononitrate de thiamine', 'Vitamine A ', 'palmitate', 'AB Vitamine ', 'acide folique', 'Vitamine B12', 'Vitamine D3']",[],?,419,1753 kj(419 kcal),"9,68","1,61","80,65","29,03","3,23",C,['General mills'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']","['Kascher', 'Sans arômes artificiels', 'Sans colorants artificiels', 'en:Orthodox Union Kosher']",['Soja'],4,9.68 g,en quantité modérée,1.61 g,en quantité modérée,29 g,en quantité élevée,1.45 g,en quantité modérée,,+5%,+5%,+11%,-27%,+21%,+74%,-65%,"1,452",+307%,"0,581",+307%,13,+141%,D,+141%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,345 g,"['Carton', 'boîte', 'Plastique', 'Sachet']",,,,,,https://www.generalmillscf.com/products/category/cereal/box-cereal/cinnamon-toast-crunch,"['E339iii - Phosphate trisodique', 'E322i - Lécithine', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E321 - Butylhydroxytoluène']",,GENERAL MILLS SALES INC.
1687,Granola protein oats'n honey - Nature Valley,0016000441699,"['France', 'États-Unis']","['Whole grain oats', 'sugar', 'soy protein isolate', 'canola oil', 'honey', 'molasses', 'rice starch', 'soy lecithin', 'baking soda', 'salt', 'natural flavor', ' vitamin e ', 'mixed tocopherols', ' added to preserve freshness']",['Non végétalien'],?,420,1757 kj(420 kcal),12,1,62,24,20,,['Nature Valley'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",,['Soja'],4,12 g,en quantité modérée,1 g,en faible quantité,24 g,en quantité élevée,0.7 g,en quantité modérée,,+21%,+20%,+110%,-37%,+5%,+322%,+112%,"0,7",+133%,"0,28",+133%,8,+391%,C,+391%,,,,,,,,,,,,,,,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium']",,GENERAL MILLS SALES INC.
1688,Nature Valley Roasted Nut Crunch Bats Almond Crunch - 6 CT,0016000444867,['France'],"['lngredients: roasted almonds', 'roasled peanuts', 'sugar', 'sunflower seeds', 'corn symp', 'yellow corn flour', 'salt', 'corn oil', 'calcium carbonate', 'vitamin e ', 'mixed loc0pherols', ' added lo retain freshness', ' contains almond', 'peanut and sunflower', 'may contain soy ingredients', ' nhœœsmk…,mnswousà gluten free']",[],?,542,2268 kj(542 kcal),37,4,40,23,17,,,,['en:gluten-free'],"['Fruits à coque', 'Arachides']",,,,,,,,,,,,,,,,,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,
1689,Cheerios Protein Oats and Honey Cereal - General Mills - 399g,0016000451377,"['France', 'Panama', 'États-Unis']","['Whole grain oats', 'cluster ', 'whole grain oats', 'soy protein', 'brown sugar', 'lentils', 'sugar', 'corn syrup', 'rice starch', 'honey', 'caramel ', 'sugar', 'caramelized sugar syrup', 'salt', 'molasses', 'natural flavor', 'caramel color', 'baking soda', ' vitamin e ', 'mixed tocopherols', ' added to preserve freshness', 'sugar', 'corn starch', 'honey', 'salt', ""refiner's syrup"", 'maltodextrin', 'tripotassium phosphate', 'canola oil', 'natural flavor', 'modified corn starch', 'corn syrup solids', 'brown sugar', 'caramel color', ' vitamin e ', 'mixed tocopherols', ' added to preserve freshness', 'vitamins and minerals: calcium carbonate', 'zinc and iron ', 'mineral nutrients', 'vitamin c ', 'sodium ascorbate', 'a b vitamin ', 'niacinamide', 'vitamin b6 ', 'pyridoxine hydrochloride', 'vitamin b2 ', 'riboflavin', 'vitamin b1 ', 'thiamin mononitrate', 'vitamin a ', 'palmitate', 'a b vitamin ', 'folic acid', 'vitamin b12', 'vitamin d3']",['Non végétalien'],?,382,1598 kj(382 kcal),"4,55","0,91","74,55","30,91","12,73",,['General Mills'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",['Sans arômes artificiels'],['Gluten'],4,4.55 g,en quantité modérée,0.91 g,en faible quantité,30.9 g,en quantité élevée,1.27 g,en quantité modérée,,+10%,+9%,-20%,-42%,+27%,+443%,+35%,"1,272",+323%,"0,509",+323%,10,+513%,C,+513%,,,,,,,,399g,,,,,,,,"['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E500ii - Carbonate acide de sodium', 'E340iii - Phosphate tripotassique']",,GENERAL MILLS SALES INC.
1690,Pancake Mix,0016000455108,"['France', 'États-Unis']","['Enriched Flour Bleached ', 'wheat flour', 'niacin', 'iron', 'thiamin mononitrate', 'riboflavin', 'folic acid', 'Sugar', 'Degermed Yellow Corn Meal', 'Defatted Soy Flour', 'Palm Oil', 'Leavening ', 'baking soda', 'sodium aluminum phosphate', 'monocalcium phosphate', 'Dextrose', 'Buttermilk', 'Salt', 'DATEM', 'Calcium Carbonate']","['Huile de palme', 'Non végétalien']",?,364,1523 kj(364 kcal),"4,55","1,82","70,91","14,55","9,09",,,"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour crêpes']",,['Gluten'],4,,,,,,,,,,+16%,+17%,+24%,+70%,+44%,+103%,-35%,"2,228",+78%,"0,891",+78%,,,,,,,,,,,,,,,,,,,,"['E500ii - Carbonate acide de sodium', ""E541 - Phosphate d'aluminium et de sodium"", 'E341i - Phosphate monocalcique', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]",,GENERAL MILLS SALES INC.
1691,"Complete pancake mix original - Betty Crocker - 1,04kg",0016000455306,"['France', 'États-Unis']","['Sucre', 'farine enrichie', 'sucre', 'farine de riz', 'farine de soja dégraissé', 'huile de soja et/ou de coton partiellement hydrogénée', 'levain', 'dextrose', 'sel', 'petit lait', 'carbonate de calcium', 'amidon de maïs']",['Huile de palme'],?,364,1523 kj(364 kcal),"4,55","1,82","70,91","12,73","9,09",,['Betty Crocker'],"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour crêpes', 'Pancakes', 'en:Préparation']",,['Gluten'],4,,,,,,,,,,+16%,+17%,+24%,+70%,+44%,+78%,-35%,"2,182",+75%,"0,873",+75%,,,,,,,,,,,,"1,04 kg",['Carton'],,,,,,,"['E500ii - Carbonate acide de sodium', ""E541 - Phosphate d'aluminium et de sodium"", 'E341i - Phosphate monocalcique', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]",,GENERAL MILLS SALES INC.
1692,Lucky charms - general mills - 1,0016000483637,"['France', 'États-Unis']",[],[],?,407,1703 kj(407 kcal),4,0,81,37,7,,['general mills'],,,,,,,,,,,,,,,,,,,,,1,,"0,4",,,,,,,,,,,,,1,,,,,,,,,,
1693,Cinnamon Chex - General Mills - 28g,0016000487895,"['France', 'États-Unis']","['Whole grain rice', 'rice', 'sugar', 'canola oil', 'salt', 'rice fiber', 'cinnamon', 'molasses', 'natural flavor', ' vitamin e ', 'mixed tocopherols', ' added to preserve freshness', 'vitamins and minerals: calcium carbonate', 'iron and zinc ', 'mineral nutrients', 'vitamin c ', 'sodium ascorbate', 'a b vitamin ', 'niacinamide', 'vitamin b6 ', 'pyridoxine hydrochloride', 'vitamin b1 ', 'thiamin mononitrate', 'vitamin a ', 'palmitate', 'vitamin b2 ', 'riboflavin', 'a b vitamin ', 'folic acid', 'vitamin b12', 'vitamin d3']",[],?,400,1674 kj(400 kcal),"8,33",0,80,20,"3,33",,['General Mills'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'en:Rice Cereal']","['en:gluten-free', 'Sans arômes artificiels', 'Sans colorants artificiels', 'en:Partially produced with Genetic Engineering']",,4,8.33 g,en quantité modérée,0 g,en faible quantité,20 g,en quantité élevée,1.5 g,en quantité modérée,,+15%,+15%,+46%,-100%,+36%,+251%,-65%,"1,5",+398%,"0,6",+398%,11,+575%,D,+575%,,,,,,,,28 g,['Plastic Container'],,,,,,,,,GENERAL MILLS SALES INC.
1694,Nature Valley Muesli Bars Oats N Honey Twin Pack,0016000504721,['France'],"[""pro _ PTY 4 ROAD' Mr BUILDING C"", 'MILLENNIUM CENTRE', ' 600 GREAT SOUTH ROAD', 'ELLERSLIE', '1051', ' INGREDlENTS:WhoIe grain rolled oats ', '59%', 'sugar', 'sunflower oil', 'honey ', '2%', 'salt', 'molasses', 'emulsifier ', 'sunflowe', 'raising agent ', 'sodium bicarbonate', ' Contains oat ', 'gluten', ' Mav contain Deanut', 'tree nuts and sov inaredients']",['Non végétalien'],?,459,1920 kj(459 kcal),"17,2","2,4","64,5","28,3","8,1",,['Nature Valley'],,"[""À l'huile de tournesol""]","['Gluten', 'Fruits à coque', 'Avoine']",4,,,,,,,,,,,,,,,,,"0,328",,"0,131",,,,,,,,,,,,,,,,,,,,,['E500ii - Carbonate acide de sodium'],,
1695,Almond Butter - Nature Valley,0016000515819,"['France', 'États-Unis']","['Almonds', 'sugar', 'corn syrup', 'whole grain oats', 'palm and palm kernel oil', 'rice starch', 'almond butter ', 'almonds', 'rice flour', 'nonfat dry milk', 'vegetable glycerin', 'cocoa', 'fructose', 'salt', 'canola oil', 'soy lecithin', 'corn starch', 'honey roasted almond butter ', 'almonds', 'honey', 'maltodextrin', 'palm oil', 'mixed tocopherols', 'barley malt extract', 'sunflower lecithin', 'baking soda', 'natural flavor']","['Huile de palme', 'Non végétalien']",?,487,2038 kj(487 kcal),"25,64","8,97","53,85","20,51","10,26",,['Nature Valley'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",,"['Fruits à coque', 'Soja']",4,25.6 g,en quantité élevée,8.97 g,en quantité élevée,20.5 g,en quantité élevée,1.02 g,en quantité modérée,,+40%,+40%,+349%,+468%,-8%,+260%,+9%,"1,025",+241%,"0,41",+241%,17,+943%,D,+943%,,,,,,,,,,,,,,,,"['E422 - Glycérol', 'E322i - Lécithine', 'E306 - Extrait riche en tocophérols', 'E500ii - Carbonate acide de sodium']",,GENERAL MILLS SALES INC.
1696,Jackfruit in syrup - Aroy-D - 565g,0016229001940,"['Australie', 'France', 'États-Unis']","['Water', 'jackfruit ', '40', '7%', 'sugar', 'citric acid ', 'E330', ' as acidity regulators']",[],?,93,389 kj(93 kcal),0,0,"22,14","17,86","0,71",,"['Aroy-D', 'Thai Agri Foods Public Company Limited']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop']",,,3,0 g,en faible quantité,0 g,en faible quantité,17.9 g,en quantité élevée,0.25 g,en faible quantité,,+27%,+31%,-100%,-100%,+44%,+28%,+83%,"0,25",+1289%,"0,1",+1289%,0,,B,,,,,,,,,565 g,"['Conserve', 'Boite', 'métal', 'Canned']",,"['Supermarché Asie', 'Tang Frères', 'Costco']",,Fruit Jacquier au sirop,"['Thaïlande', 'Thailand']",,['E330 - Acide citrique'],,"Thai Agri Foods Co., Ltd."
1697,Foco basil seed drink - 330ml,0016229004507,"['France', 'États-Unis']","['Eau', 'graines de basilic', 'sucre ', '10%', 'arôme artificiel de soda à la crème', ""régulateur d'acidité : acide citrique "", 'E330']",[],?,60,251 kj(60 kcal),0,0,"14,86","12,57",0,,['Foco'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'en:Basil seeds drinks', 'Boissons avec sucre ajouté']",,,3,0 g,en faible quantité,0 g,en faible quantité,12.6 g,en quantité élevée,0.0225 g,en faible quantité,,-6%,-6%,-100%,,-7%,-16%,-100%,"0,022",-86%,"0,009",-86%,18,+181%,E,+181%,,,,,,,,330 ml,['Canette'],,,,Boisson aux graines de basilic,,,['E330 - Acide citrique'],,"Thai Agri Foods Co., Ltd."
1698,Lait de coco - Aroy d - 560ml,0016229005320,['France'],"['extrait de noix de coco 70%', 'eau', 'émulsifiant ', 'E435']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,215,900 kj(215 kcal),21,19,5,2,2,B,"['Aroy d', 'Aroy-D']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']",,,4,21 g,en quantité élevée,19 g,en quantité élevée,2 g,en faible quantité,0 g,en faible quantité,,+36%,+37%,+35%,+40%,+81%,+19%,+57%,0,-100%,0,-100%,10,+5%,C,+5%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,560 ml,"['Conserve', 'Canned']",,,,Lait de coco,['Thailande'],,"['E435 - Monostéarate de polyoxyéthylène sorbitane', '', 'Risque modéré de sur-exposition']",,
1699,Goyave au Sirop - Thai Agri Foods Public Company Limited - 280g,0016229005436,"['France', 'États-Unis']","['Guava ', '49', '5%', 'water', 'sugar', 'citric acid ', 'e330', ' as acidity regulators']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,71,297 kj(71 kcal),0,0,"18,57","15,71","0,71",,['Thai Agri Foods Public Company Limited'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Goyave au sirop']",,,3,0 g,en faible quantité,0 g,en faible quantité,15.7 g,en quantité élevée,0.16 g,en faible quantité,,-3%,+0%,-100%,-100%,+21%,+12%,+83%,"0,16",+789%,"0,064",+789%,-3,,A,,,,,,,,,280 g,,,,,,,,['E330 - Acide citrique'],,"Thai Agri Foods Co., Ltd."
1700,Frozen Spring Roll Pastry - Little Chef - 280g,0016229008369,['France'],"['Eau', 'farine de blé tendre 47 %', 'huile de son de riz', 'sel', 'émulsifiant ', 'lécithine de soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,303,1268 kj(303 kcal),"2,8","0,7",58,"2,6",10,,['Little Chef'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']","['Végétarien', 'en:Green Dot India', 'Nouvelle recette', 'Triman']","['Gluten', 'Soja']",4,2.8 g,en faible quantité,0.7 g,en faible quantité,2.6 g,en faible quantité,1.6 g,en quantité élevée,,-9%,-9%,+8%,+0%,-6%,-6%,-14%,"1,6",+655%,"0,64",+655%,5,,C,,,,,,,,,280 g,"['Sachet', 'Plastique', 'surgelé']",,['Tang Frères'],,Feuilles de Froment Congelées pour Rouleaux de Printemps - Frozen Spring Roll Pastry,,,['E322i - Lécithine'],,
1701,"Tom Yum Soup, Ready-To-Eat - Aroy d",0016229008598,"['France', 'États-Unis']","['Water', 'indian oyster mushroom', 'tom yum curry paste', 'lemon grass', 'soybean oil', 'sugar', 'shallot', 'galangal', 'dried pied chili', 'garlic', 'kaffir lime peel', ' 5%', 'lemon grass', 'galangal', 'salt', 'red chili ', 'coriander', 'kaffir lime leaves', 'sugar', 'citric acid ', 'e330', ' as acidity regulator', 'lime flavor']",[],?,19,79 kj(19 kcal),"0,6",0,"2,5","1,2","0,8",,"['Aroy d', 'Aroy-D']",,,,4,,,,,,,,,,,,,,,,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,
1702,Jus De Litchi Panchy 250ML 0,0016229009021,['France'],"['eau', 'jus de litchi ', '25%', 'sucre', ""correcteur d'acidité: E330""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,44,184 kj(44 kcal),0,0,11,10,0,,['Panchy'],"['Boissons', 'Boissons avec sucre ajouté']",,,3,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0.03 g,en faible quantité,,-48%,-50%,-100%,-100%,-44%,-45%,-100%,"0,03",-20%,"0,012",-20%,14,+18%,E,+18%,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,
1703,Jus De Goyave - Panchy - 25cl,0016229009519,['France'],"['eau', 'purée de goyave 25%', 'sucre', ""correcteur d'acidité E330""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,44,184 kj(44 kcal),0,0,11,11,0,C,['Panchy'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons sans alcool']",,,3,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,,,,+16%,+10%,-100%,-100%,+27%,+50%,-100%,,,,,,,,,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,25 cl,"['Canette', 'Métal']",,,,,,,['E330 - Acide citrique'],,
1704,Dessert Aloe Vera Muscat 280G - Panchy,0016229010423,['France'],"['VERA SAVEUn MUSCAT FLAVOUH 144006 AIOE VERA 45%', 'EAU', 'SUCRE', ""CORRECTEUR D'ACIDITE"", 'E330', 'AROME RAISIN 0,03%', 'AFFERMISSANT ', 'E327']",[],?,60,251 kj(60 kcal),0,0,15,15,0,,['Panchy'],"['Boissons', 'Boissons avec sucre ajouté']",,,4,0 g,en faible quantité,0 g,en faible quantité,15 g,en quantité élevée,0.1 g,en faible quantité,,-29%,-32%,-100%,-100%,-24%,-18%,-100%,"0,1",+167%,"0,04",+167%,19,+60%,E,+60%,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E327 - Lactate de calcium']",,
1705,Foco Juice Drink Guava,0016229901165,['France'],"['EAU', 'PUREE DE GOYAVE SUCRE', 'CORRECTEUR ', '330']",[],?,44,184 kj(44 kcal),0,0,11,11,0,,['Foco'],['Boissons'],,,1,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.02 g,en faible quantité,,-21%,-24%,-100%,-100%,-3%,+17%,-100%,"0,02",-52%,"0,008",-52%,15,+96%,E,+96%,,,,,,,,,,,,,,,,,,
1706,Jus De Coco Grillee - Foco - 520ml,0016229902933,"['France', 'États-Unis']","['Jus de jeune noix de coco ', '80%', 'eau', 'pulpe de noix de coco', 'sucre', 'acide citrique ', 'E330']",[],?,42,176 kj(42 kcal),"0,42",0,"9,58","8,75","0,42",,"['Foco', 'Thai Agri Foods Co.  Ltd.']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons avec sucre ajouté', 'en:Jus de noix de coco']",,,,0.42 g,en faible quantité,0 g,en faible quantité,8.75 g,en quantité élevée,0.115 g,en faible quantité,,-51%,-52%,+12%,-100%,-52%,-52%,-22%,"0,115",+207%,"0,046",+207%,12,+1%,E,+1%,,,,,,,,520 ml,['Canette'],,,,,,,"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",,FOCO
1707,Aroy-d Sweet Chili Sauce For Chicken 32 Oz,0016229904968,['France'],"['SUCRE 40%', 'EAU', 'PIMENT 22%', 'SEL', 'AMIDON MODIFIE DE MAIS', ""CORRECTEUR D'ACIDITÉ "", '260', 'EPAISSISSANT ', 'E415']",[],?,275,1151 kj(275 kcal),0,0,68,59,"0,8",,['Aroy d'],"['Epicerie', 'Sauces']",,,4,0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,4.67 g,en quantité élevée,,+16%,+17%,-100%,-100%,+586%,+813%,-70%,"4,67",+93%,"1,868",+93%,23,+98%,E,+98%,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",,
1708,"Aroy-D, Coconut Cream - Thai Agri Foods Public Company Limited",0016229906221,"['France', 'États-Unis']","['Coconut extract 70%', 'water']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,211,883 kj(211 kcal),"21,11",20,"4,44","2,22","1,11",,['Thai Agri Foods Public Company Limited'],['Aides culinaires'],,,1,21.1 g,en quantité élevée,20 g,en quantité élevée,2.22 g,en faible quantité,0.0275 g,en faible quantité,,-36%,-36%,+181%,+592%,-92%,-93%,-75%,"0,028",-95%,"0,011",-95%,10,-19%,C,-19%,,,,,,,,,['tin can'],,,,,,,,,"Thai Agri Foods Co., Ltd."
1709,Mango and passion fruit juice drink - Foco,0016229909055,"['France', 'Espagne', 'États-Unis']","['Water', 'mango and passion fruit juice ', '30%', 'sugar', 'citric acid ', 'e330', ' as acidity regulatiors']",[],?,46,192 kj(46 kcal),0,0,"11,43","11,43",0,D,['Foco'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars multifruits']",,,3,0 g,en faible quantité,0 g,en faible quantité,11.4 g,en quantité élevée,0.1 g,en faible quantité,,+10%,+9%,-100%,-100%,+14%,+20%,-100%,"0,1",+936%,"0,04",+936%,13,+21%,E,+21%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,['E330 - Acide citrique'],,"Thai Agri Foods Co., Ltd."
