,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,brand,categories,labels,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,traceability_code,markets,ingredients_origins,generic_name,manufacturing,link,additives,palm_ingredients,brand_owner
186,Jolicœur blanche - 33cL,0602561061799,['France'],"['eau', ""malt d'orge et de blé"", 'houblons', 'sucre de canne', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,C,['Jolicœur'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières artisanales', 'Bières blanches']",,['Gluten'],3,,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cL,['bouteille verre'],,['Intermarché'],,,['Laegné-en-Belin'],,,,
187,Le Marvillois - Saucisson court fumé,2402207034372,['France'],[],[],?,320,1339 kj(320 kcal),"22,9","9,43","3,7","1,4","24,9",,,,,,,,,,,,,,,,,,,,,,,"4,62",,"1,848",,,,,,,,,,,,,,,,,,,,,,,
188,Farine Pivetti type 00,8033020445454,['France'],[],[],?,344,1439 kj(344 kcal),1,"0,1",73,"1,4","9,5",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,,,1 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en faible quantité,0 g,en faible quantité,,0%,-0%,-25%,-57%,+5%,-8%,-13%,0,-100%,0,-100%,-1,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,,,,
189,Farine Toastée,3476880500652,['France'],[],[],?,150,628 kj(150 kcal),1,0,75,0,9,,,,['Bio'],,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
190,Sauce barbecue,4820015948663,['France'],[],[],?,?,,?,,?,,?,B,,"['Epicerie', 'Sauces', 'Sauces barbecue']",,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,,,,,
191,Perlé Velours caramel,3700467202401,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Knacks FE,2422875028732,['France'],[],[],?,1193,4992 kj(1193 kcal),28,"9,7","0,6","0,6",13,,,,,,,,,,,,,,,,,,,,,,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,
193,L'APERO - 100g,3760194202365,['France'],[],[],?,101,423 kj(101 kcal),"5,1","2,5",11,"2,1","3,7",,,,,,,,,,,,,,,,,,,,,,,"6,36",,"2,544",,,,,,,,,,,,,100 g,,,,,,,,,,
194,High protein bar,0658010119269,['France'],[],[],?,200,837 kj(200 kcal),7,"0,5",25,1,15,,,,,,,,,,,,,,,,,,,,,,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,
195,Cervelas vinaigrette,3760054099043,['France'],[],[],?,281,1176 kj(281 kcal),"27,3","6,5","1,5","1,2","6,8",,,,,,,,,,,,,,,,,,,,,,,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,
