,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,brand,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,eco_score,categories,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,generic_name,link,brand_owner,palm_ingredients
43,Miel de Provence (apier d'Ampus),3281170065038,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Mermelada De Grosellas Eco,5410986032349,['France'],[],[],?,266,0,66,"0,4",,1113 kj(266 kcal),0,60,0,0,"['Bio', 'Bio européen', 'BE-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Mini pannettone coeur creme Limoncello - 100g,8003781374492,['France'],[],[],?,363,14,51,"7,8",,1519 kj(363 kcal),"8,3",26,"0,52","0,208",,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Miel,3572250011190,['France'],[],[],?,?,?,?,?,,,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Briochettes petites chocolat,2030503753866,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Porridge To go - Quaker,5000108763451,['France'],['LE GRAIN 0/T5 FIBRE QUAKER CALCIUM PORRIDGE TO GO 55g CAS06'],[],?,390,"6,6",74,"3,2",['Quaker'],1632 kj(390 kcal),"0,8",20,"0,4","0,16",,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,-2%,-24%,+11%,-66%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,6.6 g,en quantité modérée,0.8 g,en faible quantité,20 g,en quantité élevée,0.4 g,en quantité modérée,-2%,-64%,+20%,+12%,+12%,8,+48%,C,+48%,,,,,
49,Betteraves rouges entieres,3250392703240,['France'],[],[],?,181,"0,5","8,1","1,5",,757 kj(181 kcal),"0,1","6,8","0,19","0,076",['Bio'],,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Betteraves', 'Betterave rouge']",,,,+165%,+2%,-7%,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,,,,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,6.8 g,en quantité modérée,0.19 g,en faible quantité,+301%,+652%,-5%,+101%,+101%,-2,,A,,,,,,
50,Tarte pommes compote - 420g,,['France'],[],[],?,?,?,?,?,,,,,,,,420 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Épaulée et Quinoa - Dr KARG’s - 110g,4033634071012,['France'],[],[],?,?,?,?,?,['Dr KARG’s'],,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-006', 'Agriculture UE/Non UE', 'Sans additifs']",110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Sirop De Noisette - Monin,3052910047887,['France'],[],[],?,?,?,?,?,['Monin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
