,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,brand,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,eco_score,categories,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,generic_name,link,brand_owner,palm_ingredients
1726,Cream filled,5060309490105,['France'],[],[],?,491,36,52,"4,9",,2054 kj(491 kcal),21,"5,4","0,21","0,084",['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,Soupe fraiche,3700758501343,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,Cotes de Luberon,3222471539576,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,Torsades Bio 3 minutes,3065620014926,['France'],[],[],?,359,3,70,13,,1502 kj(359 kcal),1,3,"0,1","0,04",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,Oeufs aux eclats,3421371522323,['France'],[],[],?,569,39,45,"6,8",,2381 kj(569 kcal),23,44,"0,14","0,056",['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,Macarons Désiré Pistache,3770010965046,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,,,,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,Benediktiner,4052197001281,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,2008 Gentil -,3185130741362,['France'],[],[],?,?,?,?,?,,,,,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,
1734,TOP CHOCO - Leader Price - 138g,3263851536716,['France'],[],[],?,427,"12,8","70,3","6,7",['Leader Price'],1787 kj(427 kcal),"6,2","32,9","0,3","0,12",,138g,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",['Leader Price'],,+1%,-19%,+17%,-10%,,,,,,,,,,,,,,12.8 g,en quantité modérée,6.2 g,en quantité élevée,32.9 g,en quantité élevée,0.3 g,en quantité modérée,+0%,+4%,+21%,-23%,-23%,19,+44%,E,+44%,,,,,
1735,Champagne,3292059904027,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Champagnes']",,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,Compote de pomme allégée en sucre - Freshona - 720g,17771382,['France'],[],[],?,68,"0,3",15,"0,5",['Freshona'],285 kj(68 kcal),"0,1",14,"0,1","0,04",,720 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,Miel d'acacia - Baramel,3594480005138,['France'],[],[],?,?,?,?,?,['Baramel'],,,,,,['Bio'],,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,Crepe salee jambon torchon,0206289013056,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,Maggi - 19l,7613035625877,"['France', 'Allemagne']",[],[],?,11,"0,1","0,2","0,2",['Maggi'],46 kj(11 kcal),"0,1","0,1","0,85","0,34",,19l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,Whey - Canneberge crème,3662072019822,['France'],[],[],?,382,"2,1","7,7","82,8",,1598 kj(382 kcal),"0,4","5,1","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,moops chocolat - Grillon d'or - 300g,11710264,['France'],"['mais,sucre de canne', 'poudre de cacao ']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,"[""Grillon d'or""]",,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",300 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",,,,,,,,,,,,,,['Ab'],,,,,3,,,,,,,,,,,,,,,,,,,,,,
1742,Miel et fraise bio - Famille Mary,3760115098091,['France'],[],[],?,?,?,?,?,['Famille Mary'],,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,Lait demi-écrémé,8718265743595,['France'],[],[],?,46,"1,5",5,"3,5",,192 kj(46 kcal),1,5,"0,1","0,04",,,D,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",,,-2%,-4%,+4%,+8%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,1.5 g,en faible quantité,1 g,en faible quantité,5 g,en quantité modérée,0.1 g,en faible quantité,-2%,-1%,+4%,-9%,-9%,-1,,A,,,,,,
1744,Pâte à tartiner - Continente - 750g,5601312072966,"['France', 'Portugal']",[],[],?,564,35,59,"2,2",['Continente'],2360 kj(564 kcal),"8,1",59,"0,22","0,088",,750 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,Dosette contretype Dolce Gusto café expresso (16 capsules) - 104g,3222477186958,['France'],['100% café pur arabica'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,,,104 g,,['Dosettes Dolce Gusto'],,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Café moulu pur arabica en capsules,,,
1746,Roulade nature - Auchan - 200g,3596710471683,['France'],"['Viande de porc 76%', 'eau', 'gras de porc', 'sel', 'épices', ""extraits d'épices"", 'stabilisant: diphosphates', ' antioxydant: acide ascorbique', ' conservateur: nitrite de sodium', ' Elaboré à partir de porc origine UE', ' Traces éventuelles de gluten', 'oeuf', 'soja', 'lait', 'fruits à coques', 'céleri', 'moutarde', 'sésame']",[],1138,?,25,"0,5",12,['Auchan'],1138 kj(272 kcal),11,"0,5","1,9","0,76","['Fabriqué en Allemagne', 'Nutriscore', 'Nutriscore E']",200 g,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc']",['Auchan'],+52%,,+176%,-97%,+44%,,,,,,,,,,,,,,25 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,+49%,+268%,-73%,+64%,+64%,21,+255%,E,+255%,,,,,
1747,Bourrache,3770010399049,['France'],[],[],?,0,0,0,0,,0 kj(0 kcal),0,0,0,0,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,Fromage blanc campagne,3382325840002,['France'],[],[],?,116,"7,7","5,3","6,2",,485 kj(116 kcal),5,"3,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,Risotto verde au parmesan - Par Ici Cuisine - 300g,3701138135691,['France'],"['Bouillon de légumes ', 'eau', 'oignon', 'poireau', 'céleri', 'carotte', 'sel', 'eau', 'riz 15%', 'féve de soja 10% ', 'fève de soja', 'sel', 'petit pois 10% ', 'petits pois', 'sel', 'parmesan 5,4% [lait', 'sel', 'présure', 'conservateur : lyzosyme ', 'œuf', ']', 'vin blanc', 'tomate semi-déshydratée', 'crème fraîche', ""huile d'olive vierge extra"", 'échalote', 'beurre', 'poivre noir', ' Traces éventuelles de gluten', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']","['Non végétalien', 'Végétarien']",?,129,"4,6",16,"4,7","['Par Ici Cuisine', ""L'Esprit Frais""]",540 kj(129 kcal),"2,2","1,8","0,17","0,068",['Végétarien'],300 g,,"['Plats préparés', 'Plats à base de riz', 'Risottos']",,,-43%,+14%,-56%,-22%,,,,,,,,,,"['FR 59.597.001 CE', 'Tilloy-lez-Cambrai (Nord, France)']",,"['Céleri', 'Œufs', 'Lait']",3,4.6 g,en quantité modérée,2.2 g,en quantité modérée,1.8 g,en faible quantité,0.17 g,en faible quantité,-41%,+24%,+18%,-82%,-82%,1,-78%,B,-78%,,,,,
1750,Salade Poulet Rôti -  - 320g,3700009269770,['France'],"['Salade composée 82', '8% : Pâtes alimentaires mini conchiglie cuites aromatisées au curcuma 20,1% ', 'eau', 'semoule de blé dur', 'oeufs', 'curcuma', ' ceufs durs 14%', ' salades mélangées 14% ', 'laitue et chicorée', 'émincés de filet de poulet traité en salaison cuit', 'rôti 12,5% ', 'filet de poulet 12,2% ', 'origine UE et hors UE', 'sel', 'amidon de tanioca dextrose', 'carottes 9,3%', 'tomates cerise 7,8%', 'Parmigiano Reggiano AOP 3,1%', ""huile d'olive vierge extra"", 'huile de colza', 'persil', 'sel', 'Gâteau avec 9,6% de chocolat noir 7,8% : Sucre', 'ceufs de poules élevées en plein air', 'farine de blé', 'beurre pâtissier', 'huile de colza', 'sirop de glucose - fructose', 'stabilisants :sorbitols - glycérol', 'pâte de cacao', 'cacao en poudre', 'cacao maigre en poudre', 'sel', 'émulsifiant: lécithines ', 'contient soja', ' Traces éventuelles de fruits à coque', 'Sauce au vinaigre balsamique 6,3%: Huile de colza', 'vinaigre balsamique 1,5% ', 'vinaigre de vin', 'moüt de raisin cuit', 'colorant: E150d', ""huile d'olive vie Sachet de biscuits feuilletés salés 3,1%: Farine de blé"", 'beurre', 'levure', 'sel 0,07%', 'lait écrémé en poudre', ""extrait de malt d'orge"", ""poudre d'acérola""]","['Non végétalien', 'Non végétarien']",242,172,"10,9","13,1","7,81",,242 kj(172 kcal),"2,53","4,38",0,0,,320 g,,,,,,,,,,,,,,,,,,,"['E420 - Sorbitol', 'E422 - Glycérol', 'E322 - Lécithines', ""E150d - Caramel au sulfite d'ammonium""]","['Œufs', 'Gluten', 'Lait', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,
1751,Datte medjoul,2609923038572,['France'],[],[],?,322,"0,2",75,"1,8",,1347 kj(322 kcal),0,"66,5","0,01","0,004",,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes', 'Dattes medjoul']",,,+1%,+2%,+0%,0%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,0.2 g,en faible quantité,0 g,en faible quantité,66.5 g,en quantité élevée,0.01 g,en faible quantité,+1%,,+0%,+32%,+32%,8,+8%,C,+8%,,,,,
1752,Rosé,3250391492855,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,Prunandises au chocolat noir,3328400023014,['France'],[],[],?,330,"12,4","45,9","4,1",,1381 kj(330 kcal),"7,2",35,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,LLemon Citron Bonbons,5400265025551,['France'],[],[],?,394,0,97,0,,1648 kj(394 kcal),0,70,0,0,['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,Whey protéine bio,3701182300380,['France'],[],[],?,364,"5,6",5,72,,1523 kj(364 kcal),"3,7","3,2","0,47","0,188","['Bio', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,Moutarde fine aux noix,3770010618058,['France'],[],[],?,216,16,9,"8,5",,904 kj(216 kcal),"1,3","2,4","4,7","1,88",,,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes au noix']",,,-8%,+1%,+30%,+22%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,16 g,en quantité modérée,1.3 g,en faible quantité,2.4 g,en faible quantité,4.7 g,en quantité élevée,-7%,-2%,-21%,+1%,+1%,13,+2%,D,+2%,,,,,
1757,Compotes pommette bio,3250392743284,['France'],[],[],?,309,"0,5","17,4","0,5",['Pommette'],1293 kj(309 kcal),"0,1","14,3","0,01","0,004","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'en:gluten-free', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,Petits pois extra fins à l'étuvée. - Netto - 200g,3250391340231,['France'],"['Petits pois', 'eau', 'sucre', 'sel', 'arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",381,?,"1,3","11,8","5,3",['Netto'],381 kj(91 kcal),"0,4","33,5","0,52","0,208",,200 g,,,['Netto'],,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
1759,Bisque de homard,3770001652269,['France'],[],[],?,53,"2,3","2,2","5,9",,222 kj(53 kcal),"1,2","0,8","0,72","0,288","['Sans colorants', 'Sans conservateurs']",,,"['Produits de la mer', 'Bisques de homard']",,,-4%,-13%,-39%,+92%,,,,,,,,,,,,,,2.3 g,en faible quantité,1.2 g,en faible quantité,0.8 g,en faible quantité,0.72 g,en quantité modérée,-5%,+41%,-21%,-36%,-36%,1,-71%,B,-71%,,,,,
1760,Intestin paresseux,3700876600485,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,ST Estephe RG Baron Grave,3250391495658,['France'],[],[],?,68,0,"0,2","0,1",,285 kj(68 kcal),0,"0,05",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,Vin rouge,3760086881913,['France'],[],[],?,?,?,?,?,,,,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,junior super tuna - Argeta - 95g,3838471019057,"['France', 'Allemagne']",[],[],?,314,28,"2,6",13,['Argeta'],1314 kj(314 kcal),"3,2","1,2","1,3","0,52",,95g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,3760069251863,3760069251863,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,Huile d'olive vierge extra à la spiruline - Spiruline des oliviers - 25cl,3770012133023,['France'],"[""Huile d'Olive Vierge Extra "", '98%', ' Spiruline en paillettes ', '2%']",[],?,889.76,"98,15","0,41","1,15",['Spiruline des oliviers'],3723 kj(889 kcal),"11,72","0,06","0,06","0,024",,25 cl,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", 'Compléments alimentaires', ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,+206%,+1460%,-98%,-97%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Bidon'],['Provence France'],,,,2,98.2 g,en quantité élevée,11.7 g,en quantité élevée,0.06 g,en faible quantité,0.06 g,en faible quantité,+208%,+371%,-99%,-89%,-89%,6,-9%,C,-9%,['Provence France'],Huile d’olive à la spiruline,,,
1766,Patates - Bonpreu,8422410825622,['France'],[],[],?,37,"0,5","8,1","0,7",['Bonpreu'],155 kj(37 kcal),"0,5","0,5","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,Infusion Détox Bio - Herbesan,3428883660505,['France'],[],[],?,1,"0,8",1,"0,5",['Herbesan'],4 kj(1 kcal),"0,5",1,"0,01","0,004","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,Framboises - Fruits Rouges & Co,3385630018784,['France'],[],[],?,?,?,?,?,['Fruits Rouges & Co'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,3770012133016,3770012133016,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,Maïs grillé salé - 200g,3143110080481,['France'],[],[],?,444,11,77,"7,4",,1858 kj(444 kcal),5,0,"2,25","0,9",,200 g,,"['en:roasted corn kernels', 'Maïs grillé et salé']",,,-0%,-11%,+15%,+10%,,,,,,,,,,,,,,11 g,en quantité modérée,5 g,en quantité modérée,0 g,en faible quantité,2.25 g,en quantité élevée,-0%,+13%,-100%,+10%,+10%,18,+10%,D,+10%,,,,,
1771,Oeufs lait choco au sucre pétillant - Vendôme - 200g,3596710457625,['France'],[],[],?,538,33,52,"7,9",['Vendôme'],2251 kj(538 kcal),20,51,"0,24","0,096",,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,le caramel lutti - 1kg,3116740033912,['France'],[],[],?,415,"10,7",78,2,['Lutti'],1736 kj(415 kcal),"6,3",46,41,"16,4",['en:gluten-free'],1kg,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,+17%,+475%,-6%,-6%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Sachet'],,,,,,10.7 g,en quantité modérée,6.3 g,en quantité élevée,46 g,en quantité élevée,41 g,en quantité élevée,+16%,+494%,-21%,+33784%,+33784%,31,+115%,E,+115%,,,,,
1773,Banana Pecan Crunch,7640463960003,['France'],[],[],?,571,"44,9","35,3","10,5",,2389 kj(571 kcal),"12,2","25,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,Lait cru fermier,3292630000032,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,Gallette chocola - Coral,8410712000816,['France'],[],[],?,501,"23,99","61,49","6,15",['Coral'],2096 kj(501 kcal),"0,63","35,79","0,27","0,108",,,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées au chocolat']",,,-3%,-13%,+3%,+1%,82.4%,11.3%,2.3%,2.5%,1.4%,0.0%,41,,,,,,,24 g,en quantité élevée,0.63 g,en faible quantité,35.8 g,en quantité élevée,0.27 g,en faible quantité,-3%,-96%,+1%,+2%,+2%,14,-38%,D,-38%,,,,,
1776,Fruit Spread Zero - PROZIS - 180g,5600499501238,"['France', 'Portugal']","['Água', 'Maçã Liofilizada ', '4%', 'Aroma', 'Espessantes ', 'Farinha de sementes de alfarroba', 'Goma Xantana', 'Edulcorantes ', 'Xilitol', 'Sucralose', 'Regulador de Acidez ', 'Ácido cítrico', 'Corante ', 'Caramelo de Amónia']",[],?,24,0,6,0,['PROZIS'],100 kj(24 kcal),0,3,"0,1","0,04","['Sans sucre ajouté', 'Sans aspartame', 'Sans conservateurs']",180g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés']",['PROZIS.com'],,-88%,-100%,-86%,-100%,,,,,,,,['Vidro'],['União Europeia'],,"['E415 - Gomme xanthane', 'E955 - Sucralose']",,4,0 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,0.1 g,en faible quantité,-88%,-100%,-92%,+172%,+172%,-5,-222%,A,-222%,['União Europeia'],,https://www.prozis.com/pt/pt/prozis/zero-fruit-spread-180-g,,
1777,Flageolets cuisinés - Franprix,3263850594618,['France'],[],[],?,64,"0,7","8,4","3,6",['Franprix'],268 kj(64 kcal),"0,1","0,6","0,66","0,264",,,,,['Franprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,Clipper Organique Vera Aloe Green Tea Bag 20,5021991999161,['France'],[],[],?,?,?,?,?,['Clipper'],,,,,,"['Bio', 'Bio européen', 'GB-ORG-05']",,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,Assortiments mini nems congelés,3663219006033,['France'],[],[],?,223,"10,5","26,3",5,,933 kj(223 kcal),"2,8","2,2","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,ONLY Chocolat père-noel,9002859050367,['France'],[],[],?,540,30,62,6,,2259 kj(540 kcal),18,61,"0,19","0,076",['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,Champignons grillés - 170g,5413740118815,['France'],[],[],?,264,"5,3","0,5","2,6",,1105 kj(264 kcal),"2,7","0,5","0,92","0,368",,170 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,Salade mesclun,5400112362839,['France'],[],[],?,19,"0,5","1,3","0,7",,79 kj(19 kcal),"0,1","1,2","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,Vita maté,3770001358277,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,Caramel mou vanille - 2kg,5410448233017,['France'],[],[],?,438,13,78,"1,6",,1833 kj(438 kcal),11,69,"0,6","0,24",,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785,Fleischkäse - 175g,7610029158762,"['France', 'Suisse']",[],[],?,?,?,?,?,,,,,,,,175 g,,,,,,,,,,,,,,,,['Sacchettino'],,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,3780204203953,3780204203953,['France'],[],[],?,1,1,1,1,,4 kj(1 kcal),1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,"Cidre fruits des bois 0,0% - Stassen",5411718155008,['France'],[],[],?,?,?,?,?,['Stassen'],,,,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres aromatisés']",,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,Feuille de chêne rouge - Notre Jardin - 125g,3564706537378,['France'],['Feuille de chêne rouge [Facultatif]'],[],53,?,"0,5","1,4","1,3","['Notre Jardin', 'Marque Repère']",53 kj(13 kcal),"0,1","0,5",0,0,"['Nutriscore', 'Nutriscore A']",125 g,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Salades', 'Légumes-feuilles', 'Salades vertes']",['Leclerc'],-76%,,-81%,-60%,-42%,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,['Plastique'],,,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,-76%,-76%,-58%,-100%,-100%,-5,,A,,,,,,
1789,Noix de Saint-Jacques avec corail - Thiriet - 300g,3292590845179,['France'],[],[],?,77,"1,2","2,1",14,['Thiriet'],322 kj(77 kcal),"0,3","0,9","0,34","0,136",,300 g,,,['Thiriet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,1000033507704,1000033507704,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,Lait maternel - Picot,3551101545350,['France'],[],['Sans huile de palme'],?,?,?,?,?,"['Picot', 'Laboratoires Picot']",,,,,,['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,"Moulin de la grange, Pineau des Charentes tres vieux blanc",3304117564231,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,VIN,20254292,['France'],[],[],?,?,?,?,?,,,,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,Cheetos,8410199015983,"['France', 'Espagne']",[],[],?,484,"24,3","59,4","5,6",['Cheetos'],2025 kj(484 kcal),"3,3","49,9","2,1","0,84",,,,"['Snacks', 'Snacks salés']",,,+5%,+0%,+25%,-34%,,,,,,,,,,,,,,24.3 g,en quantité élevée,3.3 g,en quantité modérée,49.9 g,en quantité élevée,2.1 g,en quantité élevée,+5%,-22%,+1426%,+36%,+36%,28,+130%,E,+130%,,,,,
1795,Saucisson sec a l'ancienne - bridé à la main,3770002165577,['France'],[],[],?,336,24,"0,7",30,,1406 kj(336 kcal),"8,5","0,7",5,2,,,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,-17%,-24%,-69%,+9%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,24 g,en quantité élevée,8.5 g,en quantité élevée,0.7 g,en faible quantité,5 g,en quantité élevée,-17%,-31%,-49%,+7%,+7%,22,-8%,E,-8%,,,,,
1796,2 pavés de thon germon,3760134373001,['France'],[],[],?,108,"0,5","0,5",25,,452 kj(108 kcal),"0,5","0,5","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Maglie di napoli rigate N.41 - Primelucci - 1000g,8003477100411,['France'],"['semoule de blé dur', 'eau', ' Contient du gluten', ' D Nudeln aus Hartweizengrieß Zutaten: Hartweizengrieb Wasser', ' Enthält Gluten', ' ES Pasta de sémola de trine d Iaradintee']",[],?,?,?,?,?,['Primelucci'],,,,,,,1000 g,,,,,,,,,,,,,,,,['Sachet'],,,,['Gluten'],,,,,,,,,,,,,,,,,,,,,,,
