,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,manufacturing,link,additives,nova_score,generic_name,markets,allergens,traceability_code,ingredients_origins,brand_owner,palm_ingredients
35,"Zhigulevskoe Baril - Жигулевское - 0,5L",4607056583158,"['France', 'Russie']","['Eau', ""malt d'orge"", 'houblon']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes', 'Bières russes']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"0,5 L","['Bouteille', 'Verre']",['Жигулевское'],"['EAC', 'Sans conservateurs']",,,,3,ПИВО ЖИГУЛЕВСКОЕ БОЧКОВОЕ,['Fabrika'],['Gluten'],,,,
36,Традициональный итальянский соус - Dolmio,4607065378349,['France'],"['Eau', 'concentré de tomate', 'tomates', 'sucre', 'oignon', 'amidon de maïs', 'sel', 'Basilique', 'carotte', 'jus de citron concentré', 'ail', 'origan', 'poivre noir moulu', 'extrait de basilique']",[],?,45,188 kj(45 kcal),8,6,"0,5","0,1","1,2","0,279","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dolmio'],,,,,,,,,,,,
37,Riz soufflé -  - 65г,4607068495357,"['France', 'Russie']",[],[],?,387,1619 kj(387 kcal),"0,7","0,2",88,"0,6","6,7","0,01","0,004",,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels', 'ru:Карамель леденцовая (монпансье)']",0.7 g,en faible quantité,0.2 g,en faible quantité,0.6 g,en faible quantité,0.01 g,en faible quantité,,+1%,+1%,-93%,-97%,+21%,-99%,+264%,-98%,-98%,0,-100%,B,-100%,,,,,,,,65 г,,,['Bio'],,,,,Карамель леденцовая (монпансье),,,,,,
38,Biscuit Choco Boy Orion 45G Corée - 45g,4607084351323,"['France', 'Russie']",[],[],?,499,2088 kj(499 kcal),27,17,56,36,8,"0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 g,,['Orion'],,,,,,,,,,,,
39,Purée de groseilles rouges,4607092153988,['France'],[],[],?,180,753 kj(180 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Confiture,4607092153995,['France'],[],[],?,180,753 kj(180 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Mélange de céréales,4607097077999,['France'],[],[],?,350,1464 kj(350 kcal),3,0,66,"5,5","11,5","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Cereales russe - Poca,4607097078279,['France'],"['Flocons de sarrasin ', '25%', ' riz ', '25%', ' et maïs ', '25%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,352,1473 kj(352 kcal),2,0,7,"5,5",10,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Poca'],,,,,,,,,,,,
43,panach fruit - Bijou,4607098155153,['France'],"['Farine de blé', 'fourrage fruits 20%', 'huile de colza', 'œufs frais sucre', 'sinp de glucose-fructose', 'stabilisant : glycérol', ""poudres à lever : carbonates d'ammonium carbonates de sodium diphosphates "", 'blé', 'sel', 'ialt écrémé en poudre', ""émulsifiants : mono et diglycérides d'acides gras"", 'arôme', ' sirop de glucose-fructose', 'purée de pêche sucres gélifiant pectines', ""correcteurs d'acidité acide citrique - citrates de sodium"", 'arômes', 'conservateur : sorbate de potassium', ""*% exprimé sur le fourrage équivalent à 10% sur l'ensemble du produit sirop de glucose-fructose"", 'purée diabricot 50%*i sucre', 'gélifiant: pectines', ""correcteurs d'acidité : acide citrique citrates de sodium"", 'arômes', 'conservateur : sorbate de potassium', ""exprimé surle fourrage équivalent à sur l'ensemble du produit Sirop de glucose-fructose"", 'purée de fraise sucre', 'purée de framboise concentrée 5%* ', 'équivalent à 212%* de purée de framboise', 'purée de cerise concentrée 3%* ', 'équivalent à li %* de purée decerise', '$ gélifiant : pecünes', ""correcteurs d'acidité : acide citrique citrates de sodium"", 'arôme', 'conservateur sorbate de potassiumi *soit un équivalent de 50% de purée de fruits sur le fourrage équivalent à 10% survensemble du produit Peutcontenirdestracesdesojaetdefruitsàcoqua']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,412,1724 kj(412 kcal),18,2,57,31,5,"0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bijou'],,,,"['E422 - Glycérol', ""E503 - Carbonates d'ammonium"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E440 - Pectines', 'E330 - Acide citrique']",4,,,['Gluten'],,,,
44,thé noir,4607099090224,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
