,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,manufacturing,link,additives,nova_score,generic_name,markets,allergens,traceability_code,ingredients_origins,brand_owner,palm_ingredients
1388,Penguin - McVitie's,5000168187303,['France'],[],[],?,520,2176 kj(520 kcal),"27,1","15,4","62,5",40,"5,3","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""McVitie's"", 'McVities']",,,,,,,,,,,,
1389,Mcvitie's Dark Chocolate Digestives,5000168188089,['France'],[],[],?,495,2071 kj(495 kcal),"24,2","12,8","60,8","27,6",6,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""McVitie's"", 'McVities']",,,,,,,,,,,,
1390,Mcvitie's Milk Chocolate Digestive,5000168188102,['France'],"['Flour ', '39%', ' ', 'Wheat Flou', 'Calcium', 'Iron', 'Niacin', 'Thiamin', 'Milk Chocolate ', '30%', ' [Sugar', 'Cocoa Butter', 'Cocoa Mass', 'Dried Skimmed Milk', 'Dried Whe ', 'Mille', 'Butter Oil ', 'IVIiIk', 'Vegetabie Fats ', 'Saland/or Shea', 'Palm', 'Emulsifiers ', 'Soya Lecithin', 'E476', 'Natural Flavouringl', 'Vegetable Oil ', 'Palm', 'Wholemeal Wheat Flour ', '9%', 'Sugar', 'Glucose-Fructose Syrup', 'Raising Agents ', 'Sodium Bicarbonate', 'Malic Acidi Ammonium Bicarbonate', 'Salt']","['Huile de palme', 'Non végétalien']",?,495,2071 kj(495 kcal),"23,6","12,4","62,2","29,5","6,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Mcvitie's""]",,,,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]",4,,,['Soja'],,,,
1391,Digestives dark chocolate - McVitie's - 400g,5000168188195,"['France', 'Irlande']","['Flour ', '39%', ' ', 'Wheat Flour', 'Calcium', 'Iron', 'Niacin', 'Thiamin', 'Plain Chocolate ', '30%', '[Sugar', 'Cocoa Mass Vegetable Fats ', 'Palm', 'Sal and/or Shea', 'Butter Oil ', 'Milk', 'Cocoa Butter', 'Emulsifiers ', 'Soya Lecithin', 'E476', 'Natural Flavouring', 'Vegetable Oil ', 'Palm', 'Wholemeal Wheat Flour ', '9%', 'Sugar', 'Glucose-Fructose Syrup', 'Raising Agents ', 'Sodium Bicarbonate', 'Malic Acid', 'Ammonium Bicarbonate', ' Salt', ' alr containing gluten', 'see']",[],2071,495,2071 kj(495 kcal),"24,2","12,8","60,8","27,6",6,"0,88","0,352",D,"['Biscuits et gâteaux', 'Biscuits nappés au chocolat']",24.2 g,en quantité élevée,12.8 g,en quantité élevée,27.6 g,en quantité élevée,0.88 g,en quantité modérée,+11%,+15%,+15%,+27%,+50%,+6%,-5%,+1%,+56%,+56%,21,+14%,E,+14%,82.4%,11.3%,2.3%,2.5%,1.4%,0.0%,41,400g,,"[""McVitie's""]",['Pur beurre de cacao'],,,"['E175 - Or', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500ii - Carbonate acide de sodium', 'E296 - Acide malique', ""E503ii - Carbonate acide d'ammonium""]",4,,,"['Gluten', 'Lait', 'Soja']",,,,
1392,Chocolat au Lait,5000168188218,['France'],[],[],?,490,2050 kj(490 kcal),22,12,65,30,7,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393,Tasties coconut rings,5000168188539,['France'],[],[],?,489,2046 kj(489 kcal),"21,5","11,1","66,6","26,4","5,9","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394,Cracker,5000168191324,['France'],[],[],?,465,1946 kj(465 kcal),20,5,66,7,6,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1395,Mcvitie's Digestives Dark Chocolate Nibbles,5000168191584,['France'],[],[],?,502,2100 kj(502 kcal),"25,3","13,9","60,1","35,8","5,7","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1396,HOBNOBS - McVitie's,5000168193175,['France'],[],[],?,491,2054 kj(491 kcal),23,"11,5","60,8",33,"7,1","0,74","0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""McVitie's""]",,,,,,,,,,,,
1397,Tasties,5000168193212,['France'],[],[],?,489,2046 kj(489 kcal),"21,5","11,1","66,4","26,3","5,9","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1398,Biscuits - McVitie's,5000168193236,['France'],[],[],?,488,2042 kj(488 kcal),"21,6","13,1","66,1","30,3","5,4","0,24","0,096",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",21.6 g,en quantité élevée,13.1 g,en quantité élevée,30.3 g,en quantité élevée,0.24 g,en faible quantité,,+3%,+3%,+4%,+30%,+3%,+3%,-17%,-59%,-59%,23,+16%,E,+16%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,"[""McVitie's""]",,,,,,,,,,,,
1399,Biscuits Hobnobs Milk Chocolate - McVitie's,5000168193793,['France'],"['Chocolate Cocoa Mass', 'Whey ', 'Milk', 'Butt Fats ', 'Sal and/or ', 'Soya Lecithin', 'E4 Wholemeal Whea Vegetable Oil ', 'Pali} Syrup', 'Raising Age Ammonium Bicarbc For allergens', 'inclu lutenr see ingredi']",[],?,491,2054 kj(491 kcal),"23,3","11,5","60,8",33,"7,1","0,74","0,296",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits au chocolat au lait']",23.3 g,en quantité élevée,11.5 g,en quantité élevée,33 g,en quantité élevée,0.74 g,en quantité modérée,,-2%,-2%,-4%,-15%,-3%,-6%,+5%,+32%,+32%,21,-11%,E,-11%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,"[""McVitie's""]",,,,['E175 - Or'],4,,,"['Lait', 'Soja']",,,,
1400,Pocket Chocolat au Lait - McVitie's - 200g,5000168193878,['France'],"['farine de blé ', '39%', ' - chocolat au lait ', '30%', ' ', 'sucre ? beurre de cacao ? masse de cacao ? lait écrémé en poudre ? lactosérum en poudre ? beurre pâtissier ? graisses végétales ', 'palme', 'sal', 'karité', ' ? émulsifiants : lécithine de soja', 'E476 ? arôme naturel', ' ? huile de palme ? farine complète de blé ', '9%', "" ? sucre ? sirop de glucose-fructose - poudres à lever : carbonates de sodium et d'ammonium"", 'acide']",['Non végétalien'],?,495,2071 kj(495 kcal),"23,6","12,4","62,2","29,5","6,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,"[""McVitie's""]",,,,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",4,,,"['Gluten', 'Soja']",,,,
1401,Jacobs Bakers Choice Cream Crackers,5000168195094,['France'],[],[],?,442,1849 kj(442 kcal),"13,6","6,2",68,"1,4",10,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,Go Ahead! Golden Syrup Oaty Breaks X6,5000168196275,['France'],[],[],?,452,1891 kj(452 kcal),"16,5","6,8","65,9","19,5","7,8","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,Tasties Fraise - McVitie's,5000168196701,['France'],"['Farine de blé', 'garniture saveur fraise ', '34%', ' [Sirop de glucose-fructose', 'jus de fraise à base de concentré', 'purée de fraises', 'sucre', 'flocons de pommes déshydratés', 'arômes', 'gélifiant ', 'pectine', ' correcteur d’acidité ', 'acide citrique', 'jus concentré de fleur de sureau', 'colorant ', 'anthocyanines', 'graisse végétale ', 'palme', ']', 'sucre', 'sirop de glucose', 'noix de coco râpée desséchée', 'œuf entier en poudre', 'sel', 'agents levants ', 'bicarbonate de sodium', ""bicarbonate d'ammonium"", 'phosphate de calcium', 'arômes']","['Huile de palme', 'Non végétalien']",?,441,1845 kj(441 kcal),15,8,71,36,"4,6","0,47","0,188",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Tartes', 'Biscuits', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la fraise']",15 g,en quantité modérée,8 g,en quantité élevée,36 g,en quantité élevée,0.47 g,en quantité modérée,,+33%,+28%,+34%,+28%,+25%,+34%,+19%,+39%,+39%,20,+30%,E,+30%,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,['Plastique'],"[""McVitie's""]",,,,"['E440 - Pectines', 'E330 - Acide citrique', 'E163 - Anthocyanes', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition']",4,Fruity tarts strawberry,,"['Œufs', 'Gluten']",,,,['Huile de palme']
1404,Sablés Anglais Mcvitie's,5000168197166,['France'],"['farine de froment ', '29%', ' - sucre - graisse végétale ', 'palme', ' - farine complète de froment ', '15%', "" - lactose ? flocons d'avoine ? dextrose - lait écrémé en poudre - lactosérum en poudre - poudres à lever : carbonates de sodium et d'ammonium - sel - amidon de blé ? arôme naturel de vanille"", ' Peuhcontenir des traces de soja', "" kconSpmmer de préférence avant le : voir sur le côté de étuil A conserver de préférence dans un endroit frai' et sec""]","['Huile de palme', 'Non végétalien']",?,508,2125 kj(508 kcal),"25,4","15,2","63,1","33,2","5,3","0,82","0,328",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",25.4 g,en quantité élevée,15.2 g,en quantité élevée,33.2 g,en quantité élevée,0.82 g,en quantité modérée,,+4%,+3%,+9%,+9%,+0%,+31%,-15%,+20%,+20%,26,+19%,E,+19%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,"[""McVitie's""]",,,,"['E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",4,,,['Gluten'],,,,['Huile de palme']
1405,Mcvitie's Cappuccino Digestive Thins,5000168198378,['France'],[],[],?,508,2125 kj(508 kcal),"24,2","13,5",64,"30,3","6,9","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""McVitie's""]",,,,,,,,,,,,
1406,"Mcvitie's Digestive Biscuits, Coffee Caramel",5000168198842,['France'],[],[],?,479,2004 kj(479 kcal),"21,7","11,5","65,2","31,9","5,6","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""McVitie's""]",,,,,,,,,,,,
1407,Digestives Banoffee Caramel,5000168198866,['France'],[],[],?,479,2004 kj(479 kcal),"21,7","11,5","65,2","31,9","5,6","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,"Godiva Pure Belgian Milk Chocolate Bar,Hazelnut 90G",5000168199160,['France'],[],[],?,557,2330 kj(557 kcal),37,18,47,46,"9,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Godiva'],,,,,,,,,,,,
1409,Crispy Slices forest fruit,5000168200286,['France'],[],[],?,379,1586 kj(379 kcal),7,"0,7","74,8","31,5","5,2","0,59","0,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,Digestive - McVitie's,5000168200675,['France'],[],[],?,481,2013 kj(481 kcal),"21,3","10,1","62,9","16,6","7,2","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""McVitie's"", 'McVities']",,,,,,,,,,,,
1411,Mcvities Digestive Caramel Slice 5 Pack 124.4G,5000168200989,['France'],[],[],?,484,2025 kj(484 kcal),"25,3","12,6","58,9","38,8","4,3","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1412,Godness bar cocoa & hazelnut,5000168202167,['France'],[],[],?,369,1544 kj(369 kcal),"13,4","1,7",56,"38,3","7,4","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
1413,Goodness bar,5000168202181,['France'],[],[],?,367,1536 kj(367 kcal),"13,2","1,5","56,4","37,2","7,1","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,,,,
1414,Gateaux apéritif,5000168203713,['France'],[],[],?,485,2029 kj(485 kcal),23,2,59,"5,6","9,2","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415,Tuc Sweet chili flavour,5000168203775,['France'],[],[],?,472,1975 kj(472 kcal),21,"1,9",60,"7,4","9,3","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,Nibbles milk chocolate,5000168204994,['France'],[],[],?,517,2163 kj(517 kcal),"28,6","14,9","60,2","37,8",7,"0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,Goodness bar,5000168205328,['France'],[],[],?,369,1544 kj(369 kcal),"13,4","1,7",56,"38,3","7,4","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
1418,Mayonnaise,5000168444291,['France'],[],[],?,658,2753 kj(658 kcal),71,"5,4","2,8","2,1",1,"1,3","0,52",D,"['Epicerie', 'Sauces', 'Mayonnaises']",71 g,en quantité élevée,5.4 g,en quantité élevée,2.1 g,en faible quantité,1.3 g,en quantité modérée,,+7%,+8%,+7%,-13%,+4%,+44%,-19%,-2%,-2%,18,+1%,D,+1%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,,,
1419,p'tit déj chocolat - United Biscuits,5000168497488,['France'],"['Farine de froment ', '39%', ' - chocolat au lait ', '29%', ' [sucre - beurre de cacao - masse de cacao - lait écrémé en poudre - lactosérum en poudre - beurre pâtissier - graisses végétales ', 'sel', 'karité', 'palme', ' – émulsifiants : lécithine de soja', 'E476 – arôme naturel]- huile de palme - farine complète de blé ', '9%', "" – sucre - sirop de glucose-fructose - poudres à lever : carbonates de sodium et d'ammonium"", 'acide malique - sel']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,495,2071 kj(495 kcal),"23,5","12,3","62,2",29,"6,7","0,99","0,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['United Biscuits'],,,,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E296 - Acide malique']",4,,,"['Gluten', 'Lait', 'Soja']",,,,['Huile de palme']
1420,Gâteaux,5000168828305,['France'],[],[],?,495,2071 kj(495 kcal),"23,6","12,4","62,2","29,5","6,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,Waitrose Fresh Pasta Cannelloni Spinach & Ricotta,5000169010198,"['France', 'Royaume-Uni']",[],[],?,171,715 kj(171 kcal),"5,8","3,7","19,7","2,1","8,7","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1422,Plain White Flour - Waitrose,5000169011546,"['France', 'Royaume-Uni']",[],[],?,363,1519 kj(363 kcal),"1,9","0,4","73,5","1,9","11,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1423,Fusilli - Waitrose,5000169014301,"['France', 'Royaume-Uni']",[],[],?,160,669 kj(160 kcal),"0,7","0,1","32,8","0,7",5,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Torsades']",0.7 g,en faible quantité,0.1 g,en faible quantité,0.7 g,en faible quantité,,,,-55%,-55%,-64%,-76%,-52%,-75%,-59%,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1424,still limonade - Waitrose,5000169017388,"['France', 'Royaume-Uni']",[],[],?,84,351 kj(84 kcal),"0,3","0,1",20,"19,5",0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1425,Waitrose Duchy Organic Almonds,5000169026724,"['France', 'Royaume-Uni']",[],[],?,592,2477 kj(592 kcal),"49,4","3,7","9,5","3,9","21,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Waitrose', 'Duchy Organic']",,,,,,,['Waitrose'],,,,,
1426,New York cheesecake - Waitrose,5000169027028,"['France', 'Royaume-Uni']",[],[],?,380,1590 kj(380 kcal),"27,1","15,8","28,3","19,3","5,1","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1427,Large peanuts - Waitrose,5000169030165,"['France', 'Royaume-Uni']",[],[],?,631,2640 kj(631 kcal),"54,6",8,"4,6",3,"26,2","0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1428,Waitrose Chocolate Chip & Orange Cookies,5000169036969,"['France', 'Royaume-Uni']",[],[],?,524,2192 kj(524 kcal),"28,9","13,3",59,"38,3","5,9","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1429,Ginger beer - Waitrose,5000169037140,"['France', 'Royaume-Uni']",[],[],?,52,218 kj(52 kcal),0,0,"12,8","12,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],['Sans sucre ajouté'],,,,,,['Waitrose'],,,,,
1430,French dressing - essential waitrose - 250ml,5000169042755,"['France', 'Royaume-Uni']",[],[],?,322,1347 kj(322 kcal),"31,3","2,2","9,6","3,2","0,2","1,55","0,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 ml,,['essential waitrose'],,,,,,,,,,,,
1431,Essential Waitrose Amori,5000169047774,"['France', 'Royaume-Uni']",[],[],?,160,669 kj(160 kcal),"0,7","0,1","32,8","0,7",5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1432,Waitrose Italian Arborio Risotto Rice - Waitrose497,5000169056332,['France'],[],[],?,497,2079 kj(497 kcal),"0,3","0,1",0,0,"2,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose497'],,,,,,,['Waitrose'],,,,,
1433,Sparkling lemonade - Waitrose,5000169062883,"['France', 'Royaume-Uni']",[],[],?,5,21 kj(5 kcal),0,0,0,0,0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1434,Waitrose Walnut Oil,5000169073179,"['France', 'Royaume-Uni']",[],[],?,832,3481 kj(832 kcal),92,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1435,brown basmati rice - Waitrose,5000169076873,"['France', 'Royaume-Uni']",[],[],?,122,510 kj(122 kcal),"1,3","0,3","22,8","0,3","3,6",,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz complet', 'Riz Basmati', 'Riz Basmati bruns']",1.3 g,en faible quantité,0.3 g,en faible quantité,0.3 g,en faible quantité,,,,-58%,-58%,-40%,-34%,-62%,-46%,-47%,,,,,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1436,Lentils - Waitrose,5000169087930,"['France', 'Royaume-Uni']",[],[],?,98,410 kj(98 kcal),"0,8","0,1","3,7","0,2","9,5","0,03","0,012",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles']",0.8 g,en faible quantité,0.1 g,en faible quantité,0.2 g,en faible quantité,0.03 g,en faible quantité,,-60%,-60%,-46%,-62%,-89%,-84%,-47%,-90%,-90%,-4,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1437,Cous cous - Waitrose,5000169088142,"['France', 'Royaume-Uni']",[],[],?,157,657 kj(157 kcal),"0,8","0,2","31,4","0,6","5,1","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1438,Dried apricots - Waitrose,5000169088845,"['France', 'Royaume-Uni']",[],[],?,254,1063 kj(254 kcal),"0,5","0,1","55,3","53,4","3,4","0,03","0,012",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",0.5 g,en faible quantité,0.1 g,en faible quantité,53.4 g,en quantité élevée,0.03 g,en faible quantité,,-3%,-3%,+3%,+65%,-5%,+18%,+10%,-15%,-15%,6,+73%,C,+73%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1439,Essential waitrose,5000169089491,"['France', 'Royaume-Uni']",[],[],?,191,799 kj(191 kcal),"0,5","0,2","45,3","41,7","0,6","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1440,Waitrose Coconut Chunks - 90g,5000169094259,"['France', 'Royaume-Uni']",['Coconut'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,394,1648 kj(394 kcal),"33,5","29,7","15,2","6,2","3,3","0,05","0,02",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Noix de coco']",33.5 g,en quantité élevée,29.7 g,en quantité élevée,6.2 g,en quantité modérée,0.05 g,en faible quantité,,-22%,-23%,-30%,-26%,+64%,+17%,-37%,-44%,-44%,3,-54%,C,-54%,70.3%,0.0%,8.0%,9.7%,8.6%,3.4%,54,90 g,,['Waitrose'],,,,,1,,['Waitrose'],,,,,
1441,Dried mango - Waitrose,5000169100929,"['France', 'Royaume-Uni']",[],[],?,306,1280 kj(306 kcal),"0,8",0,"67,7","63,7","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1442,Waitrose Cornflake Cluster Bites,5000169112656,"['France', 'Royaume-Uni']",[],[],?,481,2013 kj(481 kcal),"19,4","11,8","68,9","42,1","6,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1443,Crunchy & tempting mini caramel crispy bites - Waitrose,5000169112854,"['France', 'Royaume-Uni']",[],[],?,435,1820 kj(435 kcal),13,"7,9","75,3","43,2",4,"0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1444,Anchovy Fillets - Waitrose,5000169114957,"['France', 'Royaume-Uni']",[],[],?,185,774 kj(185 kcal),10,"2,1",0,0,"23,7",15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],"['Pêche durable', 'Pêche durable MSC']",,,,,,['Waitrose'],,,,,
1445,waitrose cooks',5000169120156,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['250ml'],"[""waitrose cooks'""]",,,,,,,,,,,,
1446,Baking powder for fluffy muffins - Waitrose,5000169120668,"['France', 'Royaume-Uni']",[],[],?,194,812 kj(194 kcal),"0,7","0,2","44,2","0,1","2,4","44,92","17,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['pp-tube'],['Waitrose'],,,,,,,['Waitrose'],,,,,
1447,Waitrose,5000169123300,"['France', 'Royaume-Uni']",[],[],?,386,1615 kj(386 kcal),"0,2","0,1","91,2","91,2","4,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1448,Black Bean Sauce - Waitrose,5000169124772,"['France', 'Royaume-Uni']",[],[],?,69,289 kj(69 kcal),0,0,"14,9","10,5","1,8","4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1449,Chocolate brownie pudding - Waitrose,5000169135389,"['France', 'Royaume-Uni']",[],[],?,399,1669 kj(399 kcal),"25,3","12,1","37,7","27,3","4,5","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
1450,Waitrose Seriously Nutty Maple & Mixed Nut Crisp,5000169135440,"['France', 'Royaume-Uni']","['Oat flakes ', '39%', 'MIXED NUTS ', '14%', ' ', 'almonds', 'pecan nuts', 'brazil nuts', 'hazelnuts', 'wheat flakes ', '9%', 'RICE CRISPS ', '9%', ' ', 'rice flour', 'wheat flour', 'sugar', 'barley malt extract powder', 'caramel syrup', 'salt', 'palm oil', 'sugar', 'oligofructose syrup', 'wheat flour', 'maple syrup ', '2%', 'wheat glucose syrup', 'honey', 'caramel syrup', 'flavouring']","['Huile de palme', 'Non végétalien']",?,471,1971 kj(471 kcal),"20,4","5,5","60,1","13,2","8,8","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['card-carton', 'hdpe film-packet']",['Waitrose'],,,,,4,,['Waitrose'],"['Gluten', 'Fruits à coque']",,,,
1451,Egg mayo salad - Waitrose,5000169142394,"['France', 'Royaume-Uni']",[],[],?,160,669 kj(160 kcal),"5,2","1,2","18,5","1,3","8,8","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,,,['Waitrose'],,,,,
