,name,bar_code,eco_score,quantity,brand,categories,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,manufacturing,labels,allergens,generic_name,link,palm_ingredients,origin_detail,brand_owner,producer_info
26,Viande de bœuf séchée - Mmm! - 70g,3596710424368,,70 g,"['Mmm!', 'Auchan', 'Charcupac']","['Viandes', 'Charcuteries', 'Viandes séchées']",,['Auchan'],['France'],"['Viande de bœuf', 'sel', 'dextrose', 'arômes', 'conservateurs : nitrite de sodium', 'nitrate de potassium']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,3.9 g,en quantité modérée,1.6 g,en quantité modérée,0.9 g,en faible quantité,4 g,en quantité élevée,?,,188,-12%,787 kj(188 kcal),-12%,"3,9",-1%,"1,6",+5%,"0,9",-80%,"0,9",-72%,37,-2%,4,-4%,"1,6",-4%,13,-4%,D,-4%,,,,,,,,"['Frais', 'Plastique']",['Union européenne'],['Italie'],"['Point Vert', 'Fabriqué en Italie']",,,,,,,
27,Chips Allégées en Petit Sachet - Auchan,3596710429172,B,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,['Auchan'],['France'],"['Pommes de terre ', 'origine France', 'huile tournesol 24%', 'sel']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,24 g,en quantité élevée,2 g,en quantité modérée,0.7 g,en faible quantité,1 g,en quantité modérée,?,,472,-11%,1975 kj(472 kcal),-11%,24,-26%,2,-35%,"54,4",+6%,"0,7",-50%,"6,9",+16%,1,-23%,"0,4",-23%,6,-47%,C,-47%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,,
28,Tarte épinards chèvre à la crème fraîche - Auchan - 350g,3596710450091,,350 g,['Auchan'],"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Réfrigérés', 'Plats préparés réfrigérés']","['FR 01.451.003 CE', 'Viriat (Ain, France)', 'EMB 01451A', 'Viriat (Ain, France)']",['Auchan'],['France'],"['Garniture 61,3% : eau', 'épinards 13,5%', 'fromage de chèvre 7,5% ', 'contient lait', 'crème fraîche 7,2% ', 'contient lait', 'fromage frais 7% ', 'contient lait', 'œufs 5%', 'lait écrémé en poudre', 'amidon transformé de maïs', 'ail', 'sel', 'huile de colza', 'arôme naturel ', 'contient lait', '\rPâte feuilletée 38,7% : farine de blé ', 'contient gluten', 'eau', 'margarine végétale ', 'huile de palme et de colza', 'eau', 'sel', ""émulsifiant : mono - et diglycérides d'acides gras"", ""correcteur d'acidité : acide citrique"", 'sel', 'agent de traitement de la farine : L cystéine']","['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E920 - L-Cystéine et ses chlorhydrates']","['Huile de palme', 'Non végétalien']",4,13 g,en quantité modérée,7.2 g,en quantité élevée,3.1 g,en faible quantité,0.84 g,en quantité modérée,1003,-1%,240,-3%,1003 kj(240 kcal),-3%,13,-4%,"7,2",+13%,22,+0%,"3,1",+9%,"7,4",-2%,"0,84",-24%,"0,336",-24%,12,+4%,D,+4%,,,,,,,,"['Carton', 'Plastique', 'Frais']","['Union européenne', 'Suisse']",['France'],"['Point Vert', 'Sans lactose', 'Triman']","['Œufs', 'Gluten', 'Lait']",,,['Huile de palme'],,,
29,Les natures - Courge butternut en morceaux - Auchan - 450g,3596710451623,A,450 g,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Produits de la plante de courge', 'Légumes surgelés', 'Courges et dérivés', 'Courges', 'Courges Butternut']",,['Auchan'],['France'],['Courges butternut en morceaux'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,108,,26,-46%,108 kj(26 kcal),-46%,"0,5",-38%,"0,1",-59%,"4,9",-37%,"0,5",-79%,"0,7",-47%,"0,01",-97%,"0,004",-97%,-6,,A,,65.4%,0.0%,0.0%,15.1%,15.4%,4.1%,97,"['Carton', 'Surgelé']",,,,,,,,,,
30,Mozzarella Di Buffala Campana AOP - Auchan - 125g,3596710452101,C,125 g,['Auchan'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",,['Auchan'],['France'],[],,[],,25 g,en quantité élevée,16 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,285,+6%,1192 kj(285 kcal),+6%,25,+8%,16,+1%,1,+34%,1,+63%,14,-3%,"0,8",+31%,"0,32",+31%,11,+8%,D,+8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,"['Bio', 'Bio européen', 'AOP', 'AB Agriculture Biologique']",,,,,,,
31,Les terrines de saumon - Auchan - 120g (2x60g),3596710453191,,120 g (2x60g),['Auchan'],"['Terrines', 'Terrines de poisson', 'Terrines de saumon']","['FR 62.894.102 CE', 'Wimille (Pas-de-Calais, France)', 'EMB 62894', 'Wimille (Pas-de-Calais, France)']",['Auchan'],['France'],"['ter ine de saumon ingrédients Saumon Atlantique 52% ', 'poisson', 'eau', 'saumon Atlantique fumé 11 ', '1 % ', 'poisson', 'huile de colza', 'fromage blanc ', 'contient lait origine France', 'épinards', 'poireaux', ""poudre de blanc d'œuf"", 'farine de blé ', 'contient gluten', 'protéines de lait', 'sel', 'concentré de tomate', 'aneth', ' Traces éventuelles de crustacés', 'mollusques', 'fruits à coque', 'soja', 'sulfites', 'céleri', 'graines de sésame et moutarde']",,"['Non végétalien', 'Non végétarien']",4,23 g,en quantité élevée,3 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en quantité modérée,?,,258,+26%,1079 kj(258 kcal),+26%,23,+49%,3,-14%,"1,8",-57%,"0,5",-64%,11,-1%,"1,2",+6%,"0,48",+6%,5,-18%,C,-18%,,,,,,,,,,,['Fabriqué en France'],"['Poisson', 'Gluten', 'Lait']",,,,,,
32,Sirop d'Orange - Auchan,3596710454396,B,,['Auchan'],"['Boissons', 'Sirops', 'Sirops aromatisés', ""Sirops d'orange""]",,['Auchan'],['France'],"['/ ingredien jus de fruits à base de concentrés 38% ', 'orange 23%', ' eau', 'acidifiant : acide citrique', 'arômes naturels li', ""' naturels"", 'colorant : lutéine ', 'extrait de tagète', 'conservateur stabilisant : ester glycérique de résine de bois', 'extrait de sumo de frutos obtido a partir de um produto concentrai', '15%', 'xarope de glicose-frutose', 'âgua', 'acidificante: âcid0', ' laranja com outros aromas naturais', 'corante: luteina', 'estabilizador: ésteres de glicerol de colofônia', 'extrato de']","['E330 - Acide citrique', 'E161b - Lutéine', 'E445 - Esters glycériques de résine de bois']",[],4,,,,,,,,,?,,281,+23%,1176 kj(281 kcal),+18%,"0,5",+288%,"0,1",+289%,68,+16%,64,+12%,"0,5",+252%,"0,01",-67%,"0,004",-67%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,"['Nutriscore', 'Nutriscore E']",,,,,,,
33,Sirop fruit de la passion - Auchan,3596710454419,,,['Auchan'],['Boissons'],,['Auchan'],['France'],"[""pop de fruitc ingrédients / ingredientes PS'JCre"", 'sirop de glucose-fructose', 'jus de fruits à base de citron 10%', 'eau', 'colorants : lutéine ', 'extrait de tagète', ': acide citrique', 'arôme', 'conservateur : sorbate de pctz::- de résine de bois', ' ?hçucar', 'xarope de glicose-frutose', 'sumo de frutos obtido a 30% ', 'maracujâ 20%', 'limâo 10%', 'âgua', 'corantes: acidificante: âcido citrico', 'aroma', 'conservante: ésteres de glicerol de colofénia']","['E161b - Lutéine', 'E330 - Acide citrique']",[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,71 g,en quantité élevée,0.01 g,en faible quantité,?,,311,+455%,1301 kj(311 kcal),+440%,"0,5",+44%,"0,1",-15%,76,+573%,71,+652%,"0,5",+1%,"0,01",-76%,"0,004",-76%,20,+161%,E,+161%,,,,,,,,,,,"['Nutriscore', 'Nutriscore E']",,,,,,,
34,Tartinade de tomates - Auchan,3596710459698,,,['Auchan'],,,['Auchan'],['France'],[],,[],,,,,,,,,,?,,212,,887 kj(212 kcal),,19,,"2,2",,"6,3",,"6,1",,"2,1",,"1,6",,"0,64",,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,,
35,Beurre de baratte - Mmm ! - 250g,3596710464333,D,250 g,"['Mmm !', 'Auchan']","['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres pasteurisés', 'Beurres de crème douce', 'Beurres de baratte']",,['Auchan'],['France'],"['Crème pasteurisée ', 'lait origine France', 'ferments lactiques']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,82 g,en quantité élevée,52 g,en quantité élevée,0.5 g,en faible quantité,0 g,en faible quantité,?,,743,+1%,3109 kj(743 kcal),+2%,82,+1%,52,-4%,"0,5",-28%,"0,5",-11%,"0,7",-1%,0,-100%,0,-100%,18,-22%,D,-22%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,"['Frais', 'Plastique']",['France'],['France'],"['Nutriscore', 'Nutriscore D', 'en:lait-francais-french-milk']",['Lait'],,,,,,
36,Tarte flambée alsacienne - MMM! - 350g,3596710741014,C,350 g,"['MMM!', 'AUCHAN']","['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches', 'Réfrigérés', 'Plats préparés réfrigérés']",,['Auchan'],"['Afghanistan', 'France']","['Garniture 55,8 % : fromage blanc 23,4 % ', 'contient lait', 'lardons fumés 13 % ', 'poitrine de porc', 'eau', 'sel', 'dextrose', 'arômes naturels ', ' antioxydants : ascorbate de sodium', 'extrait de romarin ', ' conservateur : nitrite de sodium', 'crème fraîche 10 % ', 'contient lait', 'oignons 7,8 %', 'huile de colza', 'sel', 'amidon modifié de maïs', ' épaississants : gomme guar', 'gomme xanthane ', ' épices', ' Pâte 44,2 % : farine de blé ', 'contient gluten', 'eau', 'huile de tournesol', 'sel']","['E301 - Ascorbate de sodium', 'E392 - Extrait de romarin', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,12.1 g,en quantité modérée,5 g,en quantité modérée,3.4 g,en faible quantité,1.32 g,en quantité modérée,?,,247,+6%,1033 kj(247 kcal),+6%,"12,1",+3%,5,-6%,"26,5",+10%,"3,4",+2%,"7,4",+7%,"1,32",+6%,"0,528",+6%,12,+5%,D,+5%,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,"['Frais', 'Plastique']",['Union européenne'],"['Alsace', 'France']","['Point Vert', 'Nutriscore', 'Nutriscore D']","['Gluten', 'Lait']","Tarte flambée au fromage blanc, aux lardons fumés, à la crème fraiche et aux oignons. Tarte Flambée Alsacienne",,,,,
37,Marmelade Citrons - Bonne Maman - 370g,3608580000471,,370 g,['Bonne Maman'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Marmelades', 'Marmelades de citrons', 'Pâtés végétaux']",,['Carrefour'],"['France', 'Suisse']","['Sucre', 'citrons', 'sucre roux de canne', 'et', 'éventuellement', 'gélifiant : pectine de fruits', ' Les écorces sont coupées en lamelles']",['E440 - Pectines'],[],4,0.1 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,?,,239,+4%,1000 kj(239 kcal),-1%,"0,1",-38%,0,-100%,59,-3%,59,-0%,"0,2",-25%,0,-100%,0,-100%,12,-2%,D,-2%,,,,,,,,"['Bocal', 'Verre', 'Couvercle', 'Métal', 'Bocal']",,['France'],,,Marmelade Citrons,,,,,
38,DESSERT FRUITIER* Pomme Poire - Andros - 4x100g,3608580905363,B,4x100g,['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes poires', 'Compotes de poire']",,['Super U'],['France'],"['pommes 62,3%', 'poires 30,8%', 'sucre', 'antioxydant: acide ascorbique']",['E300 - Acide ascorbique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.2 g,en faible quantité,0 g,en faible quantité,16 g,en quantité élevée,0 g,en faible quantité,?,,70,+9%,293 kj(70 kcal),+10%,"0,2",-16%,0,-100%,16,+10%,16,+24%,"0,3",-28%,0,-100%,0,-100%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,['FRANCE'],"['Sans colorants', 'Sans conservateurs']",,,,,,,
39,Pizza de manosque royale 400g - La pizza de manosque - 400g,3660140002813,C,400 g,['La pizza de manosque'],"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas et tartes surgelées', 'Pizzas surgelées', 'Pizzas royales']","['FR 04.112.005 CE', 'Manosque (Alpes-de-Haute-Provence, France)']",['Magasins U'],['France'],"['Garniture ', '53%', ': Emmental ', '25,3%*', 'purée de tomate de provence', 'Jambon cuit ', '20,9%*', ' ', 'Jambon de Porc origine France ', '71%', 'eau', 'dextrose', 'sel', 'arômes naturels', 'champignons frais ', '17,1%*', 'eau', 'olives noires ', 'olives', 'sel', 'oignons', ""huile d'olives vierge extra"", 'sel', ""mélange d'herbes de Provence et persil"", 'ail', 'sucre', '\rPâte ', '47%', ' : farine de blé', 'eau', 'huile de tournesol', 'levure', 'sel', ' pourcentage exprimé sur la garniture']",,"['Non végétalien', 'Non végétarien']",3,7 g,en quantité modérée,3.3 g,en quantité modérée,1.4 g,en faible quantité,1.02 g,en quantité modérée,?,,196,-5%,820 kj(196 kcal),-5%,7,+3%,"3,3",+9%,"22,4",-12%,"1,4",-54%,"9,8",+3%,"1,025",-16%,"0,41",-16%,2,-55%,B,-55%,60.0%,15.9%,6.3%,5.5%,2.6%,9.8%,70,,,,,"['Gluten', 'Lait']","Pizza Royale (emmental, jambon, Champignons frais) cuite au feu de bois surgelée",,,,,
40,Jus d'orange à Base de Concentré - 123 fruits - 20cl,3660668002043,D,20 cl,['123 fruits'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]",,['Carrefour'],['France'],"[""Jus d'orange å base de concentré""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.5 g,en faible quantité,0.1 g,en faible quantité,8.2 g,en quantité élevée,0.01 g,en faible quantité,?,,41,-5%,172 kj(41 kcal),-5%,"0,5",+163%,"0,1",+203%,"8,8",-9%,"8,2",-10%,"0,7",+12%,"0,01",+21%,"0,004",+21%,2,-33%,C,-33%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Briquette'],,,,,,,,,,
41,Jambon de Paris découenné dégraissé 6 tranches - Tradilège - 270g,3661112054267,C,270 g,"['Tradilège', 'Marque Repère']","['Viandes', 'Charcuteries', 'Frais', 'Jambons', 'Porc', 'Jambons blancs', 'Charcuteries cuites']","['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)"", 'FR 22.045.001 CE', ""Cohiniac (Côtes-d'Armor, France)""]",['Leclerc'],['France'],"['Jambon cuit de paris superieur decouenne degraisse jambon de porc', 'bouillon ', 'eau', 'os et viande de porc', 'sel', 'aromes', 'dextrose', 'antioxydant : e316', 'conservateur : e250']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",[],4,3.9 g,en quantité modérée,1.3 g,en faible quantité,0.6 g,en faible quantité,1.9 g,en quantité élevée,493,-20%,?,,493 kj(118 kcal),-27%,"3,9",-54%,"1,3",-60%,"0,6",-57%,"0,6",-17%,21,+12%,"1,9",0%,"0,76",0%,5,-48%,C,-48%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['Frais', 'Barquette et opercule à jeter', 'Sous atmosphère protectrice', 'Barquette', 'Frais']","['France', 'Porc']","['Kermené (Filiale E.Leclerc) - Le Perey - 22330 Saint-Jacut-du-Mené', ""Côtes-d'Armor"", 'Bretagne', 'France']","['Viande-francaise', 'Qualité supérieure', 'Viande-porcine-francaise', ""Cuit à l'étouffée"", 'Découenné Dégraissé', 'Info-Tri Point Vert']",,Jambon cuit de Paris supérieur découenné dégraissé,"http://www.e-leclerc.com/catalogue/marques-distributeurs/marque-repere/alimentaire/frais/charcuterie-LS/jambon-de-paris-decouenne-degraisse-6-tranches---270-g,4058",,,,
42,Jambon supérieur découenné dégraissé 4 fines tranches - Tradilège - 120g,3661112054366,C,120 g,"['Tradilège', 'Marque Repère']","['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",['Leclerc'],"['France', 'en:en']","[""Jambon de porc issu d'animaux nourris sans ogm"", ' <0', '9%', 'sel', 'dextrose', 'arome,antioxydant:e316', 'conservateur: e250']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,4 g,en quantité modérée,1.6 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,514,+2%,?,,514 kj(123 kcal),-6%,4,-17%,"1,6",-13%,"0,5",-25%,"0,5",-16%,21,-0%,"1,9",+2%,"0,76",+2%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['Barquette', 'Film', 'Plastique', 'Sous atmosphère protectrice', 'tranche']",['France'],,"['Viande-francaise', 'Viande-porcine-francaise']",,Jambon cuit de qualité supérieure découenné dégraissé,,,,,
43,Lardons de volaille fumés - Tradilège - 2x 75g,3661112069919,C,2 x 75 g,"['Tradilège', 'Marque Repère']","['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Volailles', 'Dindes', 'Allumettes de volaille', 'Allumettes de dinde', 'Lardons de dinde']","['FR 22.388.001 CE', ""Vildé-Guingalan (Côtes-d'Armor, France)""]",['Leclerc'],['France'],"['Viande de dinde 88%', 'eau', 'sel', 'dextrose', 'arome naturel', 'arome de fumee', 'antioxydant : e316', 'conservateur : e250']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,12.5 g,en quantité modérée,3.4 g,en quantité modérée,1 g,en faible quantité,2.5 g,en quantité élevée,803,,?,,803 kj(192 kcal),+37%,"12,5",+85%,"3,4",+57%,1,-30%,1,+71%,19,+7%,"2,5",-7%,1,-7%,15,+16%,D,+16%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['Barquette', 'Plastique', 'Frais']",['France'],['France'],"['Viande Française', 'Nutriscore', 'Nutriscore D', 'Volaille-francaise']",,,,,,,
44,Steak haché de boeuf - Bio village - 2x 100g,3661112090685,D,2 x 100 g,['Bio village'],"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes fraîches', 'Steaks hachés', 'Steaks de bœuf hachés', 'Steaks hachés frais', 'Steaks hachés de bœuf frais']","['FR.56', '.56.225.001']",['Leclerc'],['France'],"['100', '% pure viande bovine']",,[],,12 g,en quantité modérée,6 g,en quantité élevée,0.5 g,en faible quantité,0 g,en faible quantité,?,,190,+15%,795 kj(190 kcal),+14%,12,+18%,6,+42%,1,+459%,"0,5",+279%,20,+3%,0,-100%,0,-100%,2,+61%,B,+61%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,['Sachet'],['France'],['France'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France']",,,http://0800.169.657,,,,
45,Pavé de seigle aux raisins - Poilane - 600g,3661455100102,B,600 g,['Poilane'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",,,['France'],"[""farine d' seigle 26 % "", 'gluten', 'levain 25 % ', 'farine de blé ', 'gluten', 'eau', 'sel de mer', 'eau', 'raisins de Corinthe 23 % ', 'dont huile de tournesol', 'sel de mer', ' Traces éventuelles : noix', ' A conserver', 'à température ambiante', 'éloig', ""i'é des sources de chaleur et""]",,[],4,1 g,en faible quantité,0.2 g,en faible quantité,18 g,en quantité élevée,1.01 g,en quantité modérée,?,,257,+11%,1075 kj(257 kcal),+12%,1,-49%,"0,2",-41%,"52,3",+25%,18,+514%,"6,7",-3%,"1,01",-11%,"0,404",-11%,1,-9%,B,-9%,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,,,,['Gluten'],,,,,,
46,Sauce de soja - Hanabi,3662676000110,,,"['Hanabi', 'Andros']","['Boissons', 'Boissons avec sucre ajouté']",,,['France'],"['eau', 'jus de fraises 12,6% jus de framboises 12 6%', 'sucre', 'jus de citrons jaunes antioxydant : acide ascorbique']",,[],,0 g,en faible quantité,0 g,en faible quantité,2.8 g,en quantité modérée,13.8 g,en quantité élevée,?,,75,-12%,314 kj(75 kcal),-15%,0,-100%,0,-100%,10,-49%,"2,8",-85%,"8,1",+1403%,"13,8",+36798%,"5,52",+36798%,21,+76%,E,+76%,,,,,,,,,,,,,,,,,,
47,Saumon fumé à la ficelle - L'origine Du Gout,3664335001728,E,,"[""L'origine Du Gout""]","['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",,,['France'],"['Saumon atlantique ', 'Salmo salar', ' 96%', 'sel de Guérande 3%', 'sucre']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,13 g,en quantité modérée,2.5 g,en quantité modérée,0.5 g,en faible quantité,2.95 g,en quantité élevée,855,+9%,205,+7%,855 kj(205 kcal),+8%,13,+17%,"2,5",+16%,"0,5",+1%,"0,5",+40%,22,-0%,"2,95",+2%,"1,18",+2%,14,+4%,D,+4%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,['Ecosse'],,,['Saumon atlantique'],,,,,,
48,Confiture Extra De Framboise - Maison Jougla - 370g,3665000370149,C,370 g,['Maison Jougla'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,,['France'],"['Framboises', 'sucre', 'pectine de fruits']",['E440 - Pectines'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.2 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,0 g,en faible quantité,?,,254,+13%,1063 kj(254 kcal),+13%,"0,2",-26%,0,-100%,57,+7%,55,+7%,"0,8",+19%,0,-100%,0,-100%,7,-21%,C,-21%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,"['Bocal', 'Verre']",,['France'],,,,,,,,
