,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,manufacturing,traceability_code,additives,nova_score,allergens,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
1873,Tartinade - Cocolia - 215g,3506070056581,['Cocolia'],"['Bio', 'Sans colorants']",['France'],"['sirop d’agave*', 'noisettes 18%*', 'noix de coco ', 'cacao dégraissé 11%*', 'huile de tournesol*', 'beurre de cacao*', 'extrait de vanille*']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,472,"30,41","40,19","8,23",,215 g,,,,,,,,,,,,,1975 kj(472 kcal),,,"5,7",,,"28,09",,,"0,1",,"0,04",,,,,,,,,,,,,"['Bocal en verre', 'Couvercle métallique']",,,,,,['Fruits à coque'],"Pâte à tartiner Bio (Noix de coco, Cacao, Noisettes)",,,,,
1874,Saucisson pur porc bio - Rostain,3507170901320,['Rostain'],,['France'],[],[],?,382,30,1,28,,,,,,,,,,,,,,,1598 kj(382 kcal),,,12,,,"0,5",,,"5,3",,"2,12",,,,,,,,,,,,,,,,,,,,,,,,,
1875,Martine lambert glace,3510160000019,['Martine Lambert'],,['France'],[],[],?,190,"8,57","22,7","5,8",,,,,,,,,,,,,,,795 kj(190 kcal),,,"4,47",,,"22,7",,,"0,2",,"0,08",,,,,,,,,,,,,,,,"['FR 14.220.004 CE', 'Deauville (Calvados, France)']",,,,,,,,,
1876,Macaroni raclet' - Isla Délice - 300g,3512690004406,['Isla Délice'],"['Halal', 'Association Rituelle de la Grande Mosquée de Lyon']",['France'],"['Macaroni cuisiné ', '66,7%', ' : pates ', 'semoule de blé dur ', 'CONTIENT GLUTEN', 'eau', 'huile de tournesol', ' Sauce ', '28%', ' : sauce à la raclette 16,2% ', 'eau', 'raclette ', '4,9 %', 'fromages', 'beurre', 'protéine de LAIT', 'amidon modifié', 'LAIT écrémé en poudre', 'sels de fonte ', 'E339', 'E341', 'E450', 'E452', ""correcteur d'acidité "", 'E331', 'conservateur ', 'E202', 'gélifiant ', 'E415', 'lardons de poulet étuvé arome fumé 7,4 %', 'Cuisse de poulet* HALAL 2,5%', 'viande de dinde* HALAL 2,3%', 'peau de dinde* HALAL', 'eau', 'sel', 'acidifiants ', 'E325', 'E262', 'E270', 'E334', 'E260', 'E330', 'protéines de LAIT', 'dextrose', 'arome et arome de fumée', 'antioxydant ', 'E301', 'ferments', 'conservateur ', 'E250', 'oignons 4%', 'conservateurs : E326 et E261', 'poivre', ' MOZZARELLA fondue râpée ', '5,3%', ': MOZZARELLA 4%', 'eau', 'protéines de LAIT * origine UE', ' Elaboré dans un atelier utilisant : gluten', 'lait', 'moutarde', 'céleri', 'sulfites', 'œufs', 'fruits à coque', 'soja']","['Non végétalien', 'Non végétarien']",?,423,13,57,20,,300 g,,['Magasins U'],,,,,,,,,,,1770 kj(423 kcal),,,"7,5",,,"0,9",,,2,,"0,8",,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E325 - Lactate de sodium', 'E262 - Acétates de sodium', 'E270 - Acide lactique', 'E334 - Acide L-tartrique', 'E260 - Acide acétique', 'E330 - Acide citrique', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E326 - Lactate de potassium', 'E261 - Acétates de potassium']",4,"['Gluten', 'Lait']","Pâtes sauce à la raclette, aux lardons de poulet étuvés arôme fumé et mozzarella fondue",,,,,
1877,"Nutrisante Infusion Bio Détente - 32,2g",3515451060949,['Nutrisante'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",['France'],"['Verveine ', 'Lippia citriodora', ' ', '52 0%', 'marjolaine ', 'Origanum majorana', ' ', '26 0%', 'anis vert ', 'Pimpine//a anisum', ' ', '22 0%', "" 100 % des ingrédients sont issus de l'Agriculture Biologique"", ' 20 sachets-filtres de 1,61 g Poids net: 32,2 g À conserver dans un endroit sec et frais', ' NO lot - À consommer de préférence avant fin : voir cÈdessous', ' PRODUIT EN IRB Laboratoires Nutrisanté FRANCE 85 612 Montaigu FRANCE Made in France']",[],?,0,0,0,0,,"32,2 g",['Boissons'],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,0 kj(0 kcal),-100%,-100%,0,-100%,-100%,0,-100%,-100%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,['Aucun'],,,,,,
1878,Far aux Pruneaux - Yann de Bretagne,3516890002422,['Yann de Bretagne'],['Sans conservateurs'],['France'],"['LAIT frais entier', 'farine de froment ', 'BLÉ', 'sucre', 'pruneaux dénoyautés 8 %', 'beurre ', 'LAIT ', 'ŒUFS frais', 'crème fraîche ', 'LAIT ', 'sirop de glucose', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,194,"5,1",32,5,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux bretons', 'Fars']",,5.1 g,en quantité modérée,1.1 g,en faible quantité,19.2 g,en quantité élevée,0.4 g,en quantité modérée,,-6%,812 kj(194 kcal),-7%,-11%,"1,1",-56%,-4%,"19,2",-4%,-4%,"0,4",+32%,"0,16",+32%,5,-21%,C,-21%,70.7%,20.7%,4.2%,2.1%,2.2%,0.0%,58,['Plastique'],,,,,4,"['Œufs', 'Gluten', 'Lait']",Far aux Pruneaux,,,,,
1879,Miel de fleur - Les Apiculteurs Associes,3520059916567,['Les Apiculteurs Associes'],,['France'],['Mélange de miels'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,1000,"0,2",100,0,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,0.2 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,0 g,en faible quantité,,+237%,4184 kj(1000 kcal),+235%,+82%,0,-100%,+29%,20,-71%,-100%,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,2,,,,,,,
1880,Sel fin rose de l'Himalaya,3520831330826,,['Sans additifs'],['France'],[],[],?,0,0,0,0,,,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,"4,5",,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,
1881,Grand Fermage beurre demi sel moule du pays,3523230002998,['Grand fermage'],,['France'],"[""crème pasteurisée'"", ' sel ', '3% maximum', ""ferments 'Origine : France""]",['Non végétalien'],?,726,80,"0,9","0,7",E,,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",['Magasins U'],80 g,en quantité élevée,56 g,en quantité élevée,0.9 g,en faible quantité,1.88 g,en quantité élevée,,+1%,3038 kj(726 kcal),+1%,+1%,56,+4%,+21%,"0,9",+46%,+3%,"1,875",-9%,"0,75",-9%,27,+2%,E,+2%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,2,,,,,,,
1882,A Bicyclette,3523230047098,['A Bicyclette'],['Sans conservateurs'],['France'],[],[],?,87,"1,2",17,"1,3",,,['Boissons'],,1.2 g,en faible quantité,0.2 g,en faible quantité,10 g,en quantité élevée,0.1 g,en faible quantité,,+55%,364 kj(87 kcal),+51%,+246%,"0,2",+69%,+50%,10,+6%,+162%,"0,1",+141%,"0,04",+141%,17,+122%,E,+122%,,,,,,,,,,,,,,,,,,,,
1883,PURE 100 % isolate whey - Eric Favre,3525722019378,['Eric Favre'],,['France'],"['Isolat de protéines de lactosérum ', 'lait', ' ', '89', '5%', 'émulsifiant lécithine de soja ', ' poudre de cacao ', '7,00%', ' ', ' aFômes ', ' inuline ', '0', '95%', 'épaississants : gomme de guar', 'gomme de xanthane ', ' dextrose fructose ', ' antiagglomérant : silice [nano] ', ' édulcorants : sucralose acésulfame K ', "" régulateur d'acidité : mono-potassium phosphate extrait d'alfalfa "", ' extrait de ginseng ', ' poudre de gelée royale ', ' oxyde zinc', ' Peut contenir des traces de gluten', ""d'oeuf"", ""d'arachide et différent'} types de noix et graines"", ' Préparation pour en-cas hyperprotéinée à faible teneur en matières grasses et en sucres dont la']",['Non végétalien'],?,365,"1,77",6,"84,68",,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding']",,1.77 g,en faible quantité,1.11 g,en faible quantité,2.86 g,en faible quantité,0.47 g,en quantité modérée,,+1%,1527 kj(365 kcal),+2%,-81%,"1,11",-71%,-76%,"2,86",-74%,+126%,"0,47",-11%,"0,188",-11%,-1,-112%,A,-112%,,,,,,,,,,,,"['E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E551 - Dioxyde de silicium', 'E955 - Sucralose', 'E340i - Phosphate monopotassique']",4,['Lait'],,,,,,
1884,Carrot cake Lili's cakes - 85g,3526650012448,"[""Lili's Cakes""]",,['France'],"['Sucre', 'Farine de BLÉ', 'Carotte ', '18 %', 'ŒUFS', 'Matières grasses végétales ', 'huile de tournesol et/ou colza', 'CRÈME liquide', 'Poudre à lever ', 'pyrophosphate de soude E450i - Bicarbonate de soude E500ii', 'amidon de FROMENT', 'farine de BLÉ', ' sel', 'Cannelle']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,356,"17,2","44,9","4,7",,85 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Carrot cakes']","[""Lili's Brownies""]",17.2 g,en quantité modérée,3.4 g,en quantité modérée,30.8 g,en quantité élevée,0.375 g,en quantité modérée,,-4%,1490 kj(356 kcal),-4%,-1%,"3,4",-8%,-5%,"30,8",-1%,+5%,"0,375",-13%,"0,15",-13%,14,-1%,D,-1%,,,,,,,,"['Sachet', 'Plastique', 'décongelé', 'Frais']",,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium']",4,"['Œufs', 'Gluten']",Gâteau à la carotte,,,,,
1885,Candy'Up Lait + Jus de framboise - Candia - 20cl x 4,3533630096107,['Candia'],"['Sans arômes artificiels', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs', 'Lait collecté et transformé en France']",['France'],"['Lait demi-écremé 78% jus de fruits concentré 10% ', 'jus de framboise 5%', 'jus de pomme 5%', 'sucre,ferments lactiques ', 'Lait', 'stabilisant : pectine', 'arôme naturel,vitamine D']",['Non végétalien'],283,67,"1,3",11,"2,7",,20 cl x 4,"['Boissons', 'Produits laitiers', 'Boissons lactées']","['Centre E. Leclerc', 'Casino']",1.3 g,en faible quantité,0.8 g,en quantité modérée,10.7 g,en quantité élevée,0.1 g,en faible quantité,-6%,-3%,283 kj(67 kcal),-3%,-19%,"0,8",-19%,+6%,"10,7",+10%,-7%,"0,1",-10%,"0,04",-10%,18,+23%,E,+23%,,,,,,,,['Brick'],,,"['FR 64.348.100 CE', 'Lons (Pyrénées-Atlantiques, France)']",['E440 - Pectines'],4,['Lait'],Boisson lactée à base de lait demi-écrémé arôme naturem & enrichie en vitamine D,,,,,
1886,Eau de source - Saint Lambert - 50cl,3534294006976,['Saint Lambert'],,['France'],['Eau de source'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0,0,0,,50 cl,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.019 g,en faible quantité,,,0 kj(0 kcal),,,0,,-100%,0,-100%,-100%,"0,019",-61%,"0,008",-61%,0,-100%,A,-100%,,,,,,,,,,,,,1,,,,,,,
1887,La mousse de canard qualité supérieure - Hénaff - 115g,3537580700886,['Hénaff'],"['Viande-francaise', 'Canard Français', 'Point Vert', 'en:produced-in-bretagne', 'Eco-Emballages']",['France'],"['Gras de porc', 'lait', 'foie maigre de canard ', '20 %', 'graisse de canard ', '13 %', 'foie de poulet', 'sel', 'Porto', 'sucre', 'épices', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,388,38,"2,4","9,1",D,115 g,"['Conserves', 'Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Volailles', 'Canards', 'Mousses salées', 'Mousses de canard', 'Mousses']",,38 g,en quantité élevée,14 g,en quantité élevée,2 g,en faible quantité,1.4 g,en quantité modérée,,,1623 kj(388 kcal),+5%,+7%,14,+5%,-15%,2,+44%,-8%,"1,4",-6%,"0,56",-6%,20,+2%,E,+2%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,"['Boite', 'Conserve', 'Aluminium', 'Couvercle ouverture facile']",,"['Jean Hénaff Production - Lieu dit Ker Hastell - 29710 Pouldreuzic', 'Finistère', 'Bretagne', 'France']","['FR 29.225.001 CE', 'Pouldreuzic (Finistère, France)']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",3,['Lait'],Mousse de canard,,http://www.henaff.com/fr/produits-et-recettes/les-produits/pates-en-boites/17-la-mousse-de-canard?,,,
1888,Sel Marin de l’Île de Noirmoutier aux herbes & légumes bio - Nature & Progrès - 100g,3544760001565,['Nature & Progrès'],"['Bio', 'Bio européen', 'Certifié par Certipaq', 'Agriculture UE/Non UE', 'FR-BIO-09']",['France'],"['SEL MARIN GRIS DE CUISINE : 95% OIGNON*', 'AIL', 'PERSIL*', ""CURRY'"", ""CIBOULETTE' : 'PRODUITS Issus DE L'AGRICULTURE BIOLOGIQUE CERTIFIÉ PAR CERTIPAQ BIO""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0,0,0,,100 g,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,"98,425",,"39,37",,,,,,,,,,,,,,,,,,,,,,,,,
1889,Minuty Côtes de Provence - M - 750ml,3547102222000,['M'],,"['France', 'Suisse']",[],[],?,?,?,?,?,C,750 ml,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes de Provence']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,['France'],,,,,,,,,,,
1890,Curcuma moulu - Epicéa - 70g,3547400001338,"['Epicéa', 'Les Continents des Saveurs']",,['France'],['Curcuma moulu'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,1,1,1,1,B,70 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curcuma', 'Curcuma en poudre']",,1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-98%,4 kj(1 kcal),-99%,-56%,1,+115%,-90%,1,+55%,-73%,1,+590%,"0,4",+590%,,,,,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,"['Pot', 'Plastique']",,,,,1,,,,,,,
1891,AR anti-régurgitations 1 - Picot - 900gr,3551100824524,['Picot'],,['France'],[],[],?,69,"3,6","7,5","1,6",B,900gr,"['Aliments pour bébé', 'Laits pour bébé', 'Laits 1er âge']",,,,,,,,,,,-69%,289 kj(69 kcal),-72%,-67%,"1,6",-58%,-73%,"6,1",-70%,-67%,"0,05",-75%,"0,02",-75%,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,,,,,,,,,,,,,
1892,Cabillaud Filets Pane - L assiette bleue - 200g,3551610007455,['L assiette bleue'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Pêche durable', 'Pêche durable MSC']",['France'],[],[],?,225,"11,5","17,2","12,6",,200g,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Morues', 'Filets de cabillaud']",,11.5 g,en quantité modérée,1.5 g,en quantité modérée,1.6 g,en faible quantité,0.6 g,en quantité modérée,,+92%,941 kj(225 kcal),+99%,+280%,"1,5",+269%,+216%,"1,6",+221%,-19%,"0,6",+27%,"0,24",+27%,0,,B,,,,,,,,,,,,"['FR 85.182.007 CE', 'Pouzauges (Vendée, France)', 'MSC-C-50643']",,,,,,,,,
1893,Gambas Nature Décortiqués Cuites - L'assiette Bleue,3551610008018,"[""L'assiette Bleue""]",['Sans conservateurs'],['France'],[],[],?,87,"0,9","2,2","17,4",,,,['Magasins U'],,,,,,,,,,,364 kj(87 kcal),,,"0,4",,,2,,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,
1894,Lasagnes de saumon Bio - L'assiette Bleue,3551610008544,"[""L'assiette Bleue""]","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],"['saumoff 28%', 'tomate* ', 'coulis*', 'concentré*', 'eau', 'emmental*', 'pâte à lasagne 9', '7% ', 'semoule de blé dur* œuf* eau', 'oignon*', 'beurre * ', 'fumet de poisson* ', ""maltodextrine de ma'is*"", 'sel', 'amidon de maïs*', 'extrait de levure*', 'poudre de poisson', 'sucre*', 'oignon*', 'poivre*', 'ail* huile de tournesol* sucre*', 'sel', 'poivre*']","['Non végétalien', 'Non végétarien']",?,189,"11,3",11,"10,8",C,,"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Lasagnes préparées', 'Lasagnes au poisson', 'Plats au saumon', 'Lasagnes au saumon']",,11.3 g,en quantité modérée,6.6 g,en quantité élevée,2 g,en faible quantité,0.83 g,en quantité modérée,,+33%,791 kj(189 kcal),+37%,+75%,"6,6",+137%,-8%,2,-6%,+60%,"0,83",+13%,"0,332",+13%,11,+338%,D,+338%,79.3%,12.2%,2.8%,3.0%,1.6%,1.1%,48,,,,,,3,['Lait'],,,,,,
1895,Blle 42CL Pet Limonade Artisanale Lorina - 42cl,3551720026841,['Lorina'],,['France'],[],[],?,36,0,9,0,,42 cl,['Boissons'],['Magasins U'],0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,,-36%,151 kj(36 kcal),-37%,-100%,0,-100%,-20%,9,-5%,-100%,0,-100%,0,-100%,12,+57%,E,+57%,,,,,,,,,,,,,,,,,,,,
1896,Titus Sardines Tomates 1 / 4 3X125G - 3x 125g,3553460000327,['Titus'],,['France'],"['SARDINES ', 'SARDINES - SARDINAS PILCHARDUS""', 'SEL', ' 66%', 'SAUCE TOMATE ', 'EAU', 'CONCENTRÉ DE TOMME', 'HUILE TOURNESOL', 'sel', ' 34%']","['Non végétalien', 'Non végétarien']",?,125,"6,1",0,17,D,3 x 125 g,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', 'Sardines à la tomate']",,6.1 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,0.66 g,en quantité modérée,,-32%,523 kj(125 kcal),-32%,-49%,"1,4",-54%,-100%,0,-100%,-2%,"0,66",-30%,"0,264",-30%,-1,-129%,A,-129%,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,,,,,,3,['Poisson'],,,,,,
1897,Crazy Mojito - Romon Nature,3554740100478,['Romon Nature'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-020-CV', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Produits faisant référence au Mojito']",['France'],"['Pomme acide bio', 'Hibiscus bio', 'Menthe poivrée bio 11%', 'Mûre bio', 'Cynorrhodon bio', 'Pomme bio', 'Arôme naturel Mojito 4%', 'Chicorée grillée bio', ""Ecorce d'Orange bio"", 'Arôme naturel de Citron vert 2%', 'Ecorce de Citron bio 1%']",[],?,0,0,0,0,,,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,4,,,,,,,
1898,thé vert bio - le matinal - plant'asia - 36g,3554749699263,"[""plant'asia""]","['Bio', 'Bio européen', 'Commerce équitable', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'Fairtrade International', 'FR-BIO-01', 'Max Havelaar']",['France'],"['Thé vert Bio Inde 60%', 'Gingembre bio 25%', 'Extrait de Citron bio 8%', 'Ecorce de Citron bio 6%', 'Ecorce de Citron Vert bio 1%', ' Ingrédients conformes aux standards du commerce équitable Fairtrade /Max Havelaar : Thé vert Bio', 'Gingembre Bio ', '85% du poids total']",[],?,?,?,?,?,B,36 g,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions', 'Boissons sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,1,,,,,,,
1899,Nectar D'abricot - Alain milliat - 330ml,3556000330038,['Alain milliat'],,['France'],"['eau', ""pulpe d'abricot 46%"", 'sucre', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,58,"0,1","12,9","0,4",D,330 ml,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'abricot""]",,0.1 g,en faible quantité,0 g,en faible quantité,12.9 g,en quantité élevée,0.012 g,en faible quantité,,+9%,243 kj(58 kcal),+9%,-48%,0,-100%,+4%,"12,9",+9%,+7%,"0,012",+13%,"0,005",+13%,16,+5%,E,+5%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",3,,,,,,,
1900,Jus d'ananas - Alain Milliat - 330ml,3556000330113,['Alain Milliat'],,['France'],"[""jus d'ananas 100 %""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",206,206,"0,1","11,6","0,3",C,330 ml,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas""]",['Hostellerie du Vieux Pérouges'],0.1 g,en faible quantité,0 g,en faible quantité,11.6 g,en quantité élevée,0 g,en faible quantité,0%,+320%,206 kj(206 kcal),0%,-45%,0,-100%,-1%,"11,6",+4%,-15%,0,-100%,0,-100%,5,-3%,C,-3%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Verre'],,,,,1,,Jus d'ananas,,,,,
1901,Farine De Ble Tendre Type 80 (bise) - Biocer,3558630110806,['Biocer'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,350,"1,9",71,10,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de froment', 'Farines de blé type T80']",,1.9 g,en faible quantité,0 g,en faible quantité,2.2 g,en faible quantité,0 g,en faible quantité,,+8%,1464 kj(350 kcal),+8%,+54%,0,-100%,+5%,"2,2",+41%,-3%,0,-100%,0,-100%,-5,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,,,,,,
1902,Nectar Passion Pêche - Ceres,3559509110026,['Ceres'],,"['France', 'La Réunion']",[],[],?,53,0,13,0,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars multifruits']",,0 g,en faible quantité,0 g,en faible quantité,13 g,en quantité élevée,0 g,en faible quantité,,+26%,222 kj(53 kcal),+26%,-100%,0,-100%,+30%,13,+37%,-100%,0,-100%,0,-100%,17,+59%,E,+59%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
1903,Crème liquide 5% - Carrefour  - 200ml,3560070166541,['Carrefour'],,['France'],[],[],?,?,?,?,?,,200 ml,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,Double Concentré de tomates (28%) l'Intense - Carrefour - 150g,3560070280612,['Carrefour'],"['Labels de distributeurs', 'Point Vert', 'Fabriqué en Italie', 'Testé par le panel test Carrefour', 'Eco-Emballages']",['France'],"['Tomates 99%', 'sel', 'acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",370,?,"0,1","13,5","4,4",A,150 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Concentrés de tomates']","['Carrefour Market', 'Carrefour']",0.1 g,en faible quantité,0 g,en faible quantité,13.5 g,en quantité élevée,1.78 g,en quantité élevée,-5%,,370 kj(88 kcal),-5%,-84%,~ 0,-100%,-12%,"13,5",-3%,-2%,"1,778",+119%,"0,711",+119%,-2,,A,,23.6%,38.4%,18.3%,11.0%,8.7%,0.0%,96,"['Tube', 'Métal', 'Bouchon', 'Plastique', 'Tube']",,"['SpA - Via Ingnego SNC', '84087 Sarno', '(SA : Salerne)', 'Campanie', 'Italie']",,['E330 - Acide citrique'],3,,Concentré de tomates,,http://www.giaguarospa.com/,,,
1905,Limonade Carrefour Discount - 2L,3560070345632,['Carrefour'],,['France'],"['Eau gazéifiée', 'acidifiants : ', 'acide citrique', 'citrate de sodium', 'arôme naturel de citron/citron vert', 'arôme naturel', 'édulcorants : acésulfame K', 'sucralose']",['Sans huile de palme'],2,?,0,"0,1",0,,2 L,"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Limonades', 'Boissons avec sucre ajouté', 'Limonades édulcorées']",['Carrefour'],0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,-98%,,2 kj(0 kcal),-98%,-100%,0,-100%,-99%,"0,1",-99%,-100%,0,-100%,0,-100%,2,-80%,C,-80%,,,,,,,,"['bouteille plastique', 'bouchon plastique']",,,"['EMB 61165', 'Ferrière-Bochard (Orne, France)', 'EMB 69278', 'Genay (Rhône, France)']","['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E950 - Acésulfame K', 'E955 - Sucralose']",4,,Limonade,,,,,
