,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,labels,traceability_code,additives,allergens,nova_score,quantity,packaging,palm_ingredients,generic_name,manufacturing,ingredients_origins,link
33,40929558,40929558,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Fabriqué en France'],"['FR 13.005.028 CE', 'Aubagne (Bouches-du-Rhône, France)']",,,,,,,,,,
34,Gressins au sésame,40990071,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",['France'],[],[],12 g,en quantité modérée,1.2 g,en faible quantité,2.2 g,en faible quantité,0.76 g,en quantité modérée,?,,430,+2%,1799 kj(430 kcal),+2%,12,+11%,"1,2",-47%,"74,4",+12%,"2,2",-12%,12,+5%,"0,76",-60%,"0,304",-60%,4,-69%,C,-69%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,['Fabriqué en Italie'],,,,,,,,,,,
35,Multivitamin,4100060001668,,,,['France'],[],[],,,,,,,,,?,,23,,96 kj(23 kcal),,0,,0,,5,,"4,9",,0,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
36,Karottensaft Mit Banane,4100060002696,,,,['France'],[],[],,,,,,,,,?,,39,,163 kj(39 kcal),,"0,1",,"0,1",,9,,"8,1",,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Ace Drink - Wesergold,4100060013760,,['Wesergold'],['Boissons'],['France'],"['Wasser', 'Zucker', 'Orangensaftkonzentrat ', '1 9%', 'Glukose-Fruktose-Sirup', 'karottensaftkonzentrat ', '7%', 'Zitronensaftkonzentrat ', '5%', 'Acerolasaftkonzentrat ', '1%', 'Aroma', 'Stabilisator: Pektin', 'Vitamin E natürlichen Ursprungs', 'Sonnenblumenòl']",[],0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,?,,48,-14%,201 kj(48 kcal),-17%,0,-100%,0,-100%,11,-3%,11,+17%,0,-100%,0,-100%,0,-100%,15,+96%,E,+96%,,,,,,,,,,,['E440 - Pectines'],,4,,,,,,,
38,Jus de fruit Tropical concentré - Juice Tree - 33cl,4100060015870,C,['Juice Tree'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté']",['France'],"['eau,40% jus et purées de fruits à base de concentrés ', 'pomme,orange,fruit de la passion,ananas', 'raisin', ' poire', 'nectarine,banane,mangue,goyave,papaye', ',sucre,\rarôme,acidifiant :acide citrique,antioxydant:acide ascorbique']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,215,-52%,?,,215 kj(51 kcal),-42%,0,-100%,0,-100%,12,-39%,12,-34%,0,-100%,0,-100%,0,-100%,16,+34%,E,+34%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,['Lidll'],,['AN 29609'],"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,4,33 cl,['Bouteille plastique'],,Boisson tropicale à base de concentrés et de purées de fruits,['Riha WeserGild-31735 Rinteln Allemagne'],,
39,Wesergold - Riha,4100060018628,,['Riha'],"['Boissons', 'Boissons édulcorées']",['France'],"[""jus d'orange à base de concentré"", 'eau', ""édulcorants E952 et E954 Agiter avant d'ouvrir"", ' Après ouverture à conserver au frais et à consommer dans les 3 jours']",[],0 g,en faible quantité,0 g,en faible quantité,4.7 g,en quantité modérée,0 g,en faible quantité,?,,23,+53%,96 kj(23 kcal),+63%,0,-100%,0,-100%,"4,7",+75%,"4,7",+101%,0,-100%,0,-100%,0,-100%,8,+86%,D,+86%,,,,,,,,,,,"['E952 - Acide cyclamique et ses sels', 'E954 - Saccharine et ses sels']",,4,,,,,,,
40,Riha - Wesergold Cranberry,4100060018642,,['Wesergold Cranberry'],"['Boissons', 'Boissons avec sucre ajouté']",['France'],"['eau', 'sucre', 'sirop de glucose-fructose', 'jus de canneberge à base de concentré', 'acidifiant : acide citrique', 'E163', 'arôme', "" Agiter avant d'ouvrir"", ' Après ouverture à conserver au frais et consommer dans les 3 jours']",[],0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,?,,52,-39%,218 kj(52 kcal),-41%,0,-100%,0,-100%,13,-34%,12,-34%,0,-100%,0,-100%,0,-100%,16,+34%,E,+34%,,,,,,,,,,,"['E330 - Acide citrique', 'E163 - Anthocyanes']",,4,,,,,,,
41,Orange juice drink - Juice Tree,4100060020782,,['Juice Tree'],['Boissons'],['France'],"['Eau', 'citron', 'mandarine', 'orange', 'acerola']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,?,,42,-25%,176 kj(42 kcal),-27%,0,-100%,0,-100%,10,-12%,10,+6%,0,-100%,0,-100%,0,-100%,13,+70%,E,+70%,,,,,,,,,,,,,1,,,,,,,
42,Juice drink,4100060020799,,,,['France'],[],[],,,,,,,,,?,,42,,176 kj(42 kcal),,0,,0,,10,,10,,0,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,
43,Multifruit Juice Drink - Juice Tree,4100060020843,C,['Juice Tree'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,9.2 g,en quantité élevée,0 g,en faible quantité,?,,39,-13%,163 kj(39 kcal),-13%,0,-100%,0,-100%,"9,4",-10%,"9,2",-4%,0,-100%,0,-100%,0,-100%,13,+93%,E,+93%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,
44,Multifruit - Juice Tree,4100060020850,C,['Juice Tree'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté']",['France'],"['water', 'Sugar', 'glffcose-fructose syrup', 'orange juice and applejuice from concentrate', 'concentrated fruit juices ', 'lemon', 'pineapple', 'passion fruit', 'grapefruit', 'lime and banana', 'antioxidant ascorbicacid', 'flavouring', 'vitamin C', 'niacin', 'vitamin E', 'pantothenic acid', 'vitamin B6', 'vitamin BI ', 'thiamin', 'folic acid', 'biotin', 'vitamin BII Free from preservatives', ' No artificial colours', ' Nutrition information per 100 ml: Energy']",[],0 g,en faible quantité,0 g,en faible quantité,9.2 g,en quantité élevée,0 g,en faible quantité,?,,39,-54%,163 kj(39 kcal),-56%,0,-100%,0,-100%,"9,4",-53%,"9,2",-50%,0,-100%,0,-100%,0,-100%,13,+9%,E,+9%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,['Sans colorants artificiels'],,,,4,,,,,,,
45,Apfel-Kirschsaft - naturella - 1l,4100060022571,C,['Naturella'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']","['France', 'Allemagne']","['Apfelsaft ', '80%', 'Kirschsaft ', '20%', 'Antioxidationsmittel: Ascorbinsäure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,9.8 g,en quantité élevée,0 g,en faible quantité,?,,45,-2%,188 kj(45 kcal),-2%,0,-100%,0,-100%,11,+4%,"9,8",+1%,0,-100%,0,-100%,0,-100%,4,+5%,C,+5%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['en:FSC', 'Sans sucre ajouté']",['FSC-C020428'],['E300 - Acide ascorbique'],,1,1 l,"['SIG', 'Combidome']",,Apfel-Kirschsaft,['Deutschland'],['Allemagne'],
46,Smoothie en brique,4100060024988,,,,['France'],[],[],,,,,,,,,?,,46,,192 kj(46 kcal),,0,,0,,11,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Smoothie - Juice Tree,4100060027330,,['Juice Tree'],['Boissons'],['France'],"['jus de pomme', 'purée de banane', 'jus diorange', 'purée de mangue', 'purée de pomme', 'purée de courge ', '5%', 'jus de citron', ""antioxydant' acide ascorbique Pìsteurisé""]",[],0 g,en faible quantité,0 g,en faible quantité,9.6 g,en quantité élevée,0 g,en faible quantité,?,,46,-18%,192 kj(46 kcal),-20%,0,-100%,0,-100%,10,-12%,"9,6",+2%,0,-100%,0,-100%,0,-100%,14,+83%,E,+83%,,,,,,,,,,,,,1,,,,,,,
