,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,brand,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,markets,additives,nova_score,allergens,generic_name,ingredients_origins,brand_owner,manufacturing,link
45,Cramaillote,22900020000000,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Boule de fromage,5941850871097,"['Chine', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Abricots,0205236006431,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Beurre,9421904113008,"['Chine', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Fêta chèvre,5949065004613,"['Chine', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Barquette'],,,,,,,,,
50,Confiture fraise coing - 360g,3760204570613,['France'],[],[],?,?,,?,,?,,?,,,360 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Pain chocolat pur beurre,0203106025919,['France'],[],[],?,522,2184 kj(522 kcal),30,20,54,16,"9,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Caviar d'Aquitaine - Auchan - 100g,3254560344266,['France'],[],[],?,256,1071 kj(256 kcal),16,"3,7","1,5","0,7",26,"3,3","1,32",100 g,,,,,,,,['Auchan'],,,,,,,,,,"['FR 17.331.003 CE', 'Saint-Genis-de-Saintonge (Charente-Maritime, France)']",,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,
53,Ferrero Raffaello - 30g,8000500314876,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,30 g,,,,,,,,['Ferrero'],,,,,,,,,,,,,,,,,,,,,,,,,,,['Carton'],,,,,,,,,
54,Deli'Crunch,3770008206564,['France'],[],['Sans huile de palme'],?,417,1745 kj(417 kcal),"18,7","2,4","48,9","11,6","9,8","0,7","0,28",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Sans conservateurs', 'en:palm-oil-free', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,
