,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,packaging,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,ingredients_origins,traceability_code,nova_score,markets,additives,allergens,generic_name,brand_owner,palm_ingredients
341,Couscous,6194002210308,,['France'],[],[],?,348,"1,5",70,13,,,,,,,,,,,,,,,1456 kj(348 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
342,Bombones De Chocolate - Nestlé,7613031474950,,['France'],[],[],?,548,"34,5",52,"7,1",,,['Nestlé'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",34.5 g,en quantité élevée,17 g,en quantité élevée,48.8 g,en quantité élevée,0.2 g,en faible quantité,,+4%,2293 kj(548 kcal),+4%,+8%,17,-2%,-1%,"48,8",+3%,+21%,"0,2",+31%,"0,08",+31%,26,+7%,E,+7%,,,,,,,,,,,,,,,,,,,
343,Maggi,16499157,,['France'],[],[],?,?,?,?,?,,,['Maggi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Tarte Fine aux pommes,0202933039038,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Moutarde à l'ancienne,3275550005547,,['France'],[],[],?,152,"11,7","4,2","7,6",,,,,,,,,,,,,,,636 kj(152 kcal),,,"0,9",,,"2,8",,,"5,1",,"2,04",,,,,,,,,,,,,,,,,,,,,,,,
346,Milk Chocolate with salty hazelnut crunch - Munz,7613900080954,,['France'],[],[],?,537,32,54,8,,,['Munz'],,,,,,,,,,,,2247 kj(537 kcal),,,18,,,52,,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,
347,Eclairs chocolat noisette,26026787,"['Agriculture durable', 'en:UTZ Certified']",['France'],[],[],?,256,14,27,5,,,,,,,,,,,,,,,1071 kj(256 kcal),,,7,,,18,,,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,,
348,Manolya dilim salami,4260193511349,['Halal'],['France'],[],[],?,342,30,1,17,,,,,,,,,,,,,,,1431 kj(342 kcal),,,15,,,1,,,"3,8",,"1,52",,,,,,,,,,,,,,,,,,,,,,,,
349,Epices Cajun,4021269100450,['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Pretzels,0043427182034,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Poires bio,26061016,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Le Gruyère,2112647006807,,['France'],[],[],?,400,32,"0,1",27,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Fromages de Suisse', 'Gruyères suisses']",32 g,en quantité élevée,19 g,en quantité élevée,0.1 g,en faible quantité,1.5 g,en quantité modérée,,0%,1674 kj(400 kcal),+0%,-2%,19,+5%,-77%,"0,1",+0%,+0%,"1,5",+3%,"0,6",+3%,15,+5%,D,+5%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
353,Sauce échalote ciboulette - Soliva,3337730909493,['Bio'],['France'],"['huile de tournesol*', 'lait*', 'échalote* 9,8%', 'vinaigre de cidre*', 'sucre*', 'ciboulette* 2,5%', ""jaune d'œuf*"", 'sel de mer non raffiné', 'épaississant : gomme de guar*', 'jus concentré de citron“', 'traces de sulfites', "" *Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,462,"48,5","4,5","1,4",,,['Soliva'],,,,,,,,,,,,1933 kj(462 kcal),,,"11,9",,,"4,1",,,1,,"0,4",,,,,,,,,,,,,,,,,,4,,['E412 - Gomme de guar'],"['Œufs', 'Lait']",,,
354,Petit camembert au four - 4x 120g,3252950006923,,['France'],[],[],?,291,23,1,21,4 x 120 g,,,,,,,,,,,,,,1218 kj(291 kcal),,,15,,,1,,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,
355,Vegetal lait de coco banane vanille - Charles & Alice,3297760093855,,['France'],[],[],?,99,"5,1",12,"0,7",,,['Charles & Alice'],,,,,,,,,,,,414 kj(99 kcal),,,"4,5",,,"8,2",,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,
356,La ROUGET Biere ambree 6°,3573470002029,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Baguettes viennoises,3463049790818,,['France'],[],[],?,336,9,53,"9,5",,,,,,,,,,,,,,,1406 kj(336 kcal),,,"1,7",,,"8,1",,,"0,87",,"0,348",,,,,,,,,,,,,,,,,,,,,,,,
358,Tomate pelado calidad extra - El Corte Inglés,8433329016148,,['France'],[],[],?,?,?,?,?,,,['El Corte Inglés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Drogheria Alimentari Roze Himalaya Zout Met Molen,8000505002433,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Stollen-konfekt,20215545,['Fabriqué en Allemagne'],['France'],[],[],?,401,17,57,"3,7",,,,,,,,,,,,,,,1678 kj(401 kcal),,,"8,8",,,31,,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,
