,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,eco_score,labels,traceability_code,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_salt_tr,nutriment_sodium_tr,quantity,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,manufacturing,link,allergens,nova_score,markets,generic_name,packaging,additives,brand_owner,palm_ingredients
47,Thé noir cardamome du Laos,3413880015151,,['France'],[],[],,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
48,Épices massalé,3760197980482,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Poisson,0203757023814,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0241394013515,0241394013515,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Emmental Vert Bosquet,0262107023294,,['France'],[],[],,,,,,,?,,380,,1590 kj(380 kcal),,30,,21,,"0,5",,"0,5",,27,,,,,,,,,,,,,"0,65","0,26",,,,,,,,,,,,,,,,,,,,
52,Sauté de porc,4056489193586,"['Viandes', 'Porc']",['France'],[],[],5.7 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,?,,142,-26%,594 kj(142 kcal),-25%,"5,7",-49%,"2,2",-49%,"0,5",-44%,"0,5",-19%,22,+11%,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,"0,1","0,04",,0.1 g,en faible quantité,-95%,-95%,-2,-118%,A,-118%,,,,,,,,,,,
53,Vache qui rit - Fromageries Bel,3073781098280,,['France'],[],[],,,,,,,?,,239,,1000 kj(239 kcal),,"18,5",,"12,5",,"6,5",,"6,5",,"11,5",,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,['Fromageries Bel'],"1,8","0,72",,,,,,,,,,,,,,,,,,,,
54,Choux rouge,0207675013780,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Lichfields Chocolate Brownie: Box Of 18 x 65G Bars,5020379049559,,['France'],[],[],,,,,,,?,,447,,1870 kj(447 kcal),,19,,13,,60,,46,,"5,8",,,,,,,,,,,,,"0,25","0,1",,,,,,,,,,,,,,,,,,,,
56,Bcaa,5391534950264,,['France'],[],[],,,,,,,?,,9,,38 kj(9 kcal),,0,,0,,"2,2",,"0,1",,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
57,Pain complet 0 %,0201026009514,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,La Milanese halal,2839126011991,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Les p’tits Marinés à la provençale,3333168000061,,['France'],[],[],,,,,,,?,,305,,1276 kj(305 kcal),,"32,3",,8,,1,,0,,"1,9",,,,,,,,,,,,,"1,05","0,42",,,,,,,,,,,,,,,,,,,,
60,Cacahuète jumbo naturelle,3760048335355,,['France'],[],[],,,,,,,?,,567,,2372 kj(567 kcal),,47,,"6,9",,"7,9",,4,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Sesame caramel bar,8719324585033,,['France'],[],[],,,,,,,?,,565.7,,2367 kj(565 kcal),,"33,71",,"5,87",,"46,83",,"26,49",,"16,22",,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
62,Badoit zest,990530101001602183,,['France'],[],[],,,,,,,?,,2,,8 kj(2 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Heart chiple,4903013030025,,['France'],[],[],,,,,,,?,,84,,351 kj(84 kcal),,"8,4",,"5,1",,1,,"0,8",,"0,2",,,,,,,,,,,,,"5,1","2,04",,,,,,,,,,,,,,,,,,,,
64,Beignets parfum choco noisette,2892206029521,,['France'],[],[],,,,,,,?,,404,,1690 kj(404 kcal),,20,,"2,4",,50,,20,,"5,2",,,,,,,,,,,,,"0,9","0,36",,,,,,,,,,,,,,,,,,,,
65,Plateau gril,4056489276401,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
