,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,packaging,ingredients_origins,generic_name,allergens,additives,nova_score,palm_ingredients,manufacturing,link,markets,producer_info
1602,Vanille passion - Carte D'or - 495g,8711327487338,['France'],"['LAIT écrémé réhydraté1 ', '49%', 'CRÈME fraîche1 ', '15%', 'purée de fruit de la passion ', '10%', 'sucre', 'sirop de glucose', 'fructose', 'LACTOSE et protéines de LAIT', 'LAIT écrémé concentré1 ', '1%', 'émulsifiants ', ""mono - et diglycérides d'acides gras"", 'stabilisants ', 'gomme guar', 'farine de graines de caroube', 'colorants ', 'extrait de paprika', 'curcumine', 'arôme naturel de vanille', 'arôme naturel de fruit de la passion', ' Peut contenir : pistache', 'amande', 'œuf', ' 1de nos régions françaises']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",725,96,725 kj(96 kcal),"3,6","2,4",14,11,"1,5","0,08","0,032",B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,3.6 g,en quantité modérée,2.4 g,en quantité modérée,11 g,en quantité modérée,0.08 g,en faible quantité,-26%,-59%,-25%,-69%,-68%,-50%,-53%,-53%,-47%,-47%,6,-55%,C,-55%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,"[""Carte D'or""]",495 g,['Film'],,Crème glacée vanille fruit de la passion.,['Lait'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E160c - Extrait de paprika', 'E100 - Curcumine']",4,,,,,
1603,Double chocolate hazelnut - Magnum - 292g,8711327477179,['France'],"['LAIT écrémé réhydraté', 'sucre', 'huile de coco', 'eau', 'pâte de cacao¹', 'LACTOSE et protéines de LAIT', 'beurre de cacao¹', 'cacao maigre en poudre¹', 'LAIT en poudre entier', 'BEURRE concentré', 'sirop de glucose', 'pâte de NOISETTE ', '1%', 'sirop de glucose-fructose', 'LAIT écrémé en poudre ou concentré', 'émulsifiants ', 'E471', 'E476', 'E442', 'lécithines de SOJA', 'stabilisants ', 'E410', 'E412', 'E407', 'LAIT en poudre écrémé', 'amidon modifié', 'arômes', ' Peut contenir : autres fruits à coque', ' Sans gluten', ' ¹Vérifié Rainforest Alliance']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1166,336,1166 kj(336 kcal),21,15,30,28,4,"0,11","0,044",A,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés']","['Sans gluten', 'Rainforest Alliance']",21 g,en quantité élevée,15 g,en quantité élevée,28 g,en quantité élevée,0.11 g,en faible quantité,-1%,+21%,-0%,+29%,+35%,+3%,+9%,+37%,-21%,-21%,19,+16%,E,+16%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,['Magnum'],292 g,['Film'],,"Glace chocolat noisette aromatisée (dont 3% de chocolat), enrobage au cacao maigre (9%), sauce au chocolat aromatisée noisette (16%) et second enrobage de chocolat au lait (25%).","['Lait', 'Fruits à coque', 'Soja']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", ""E442 - Phosphatides d'ammonium"", 'E322i - Lécithine', 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']",4,,,,,
1604,Dough-ble chocolate - Ben & Jerry's - 402g,8711327479883,['France'],"['CRÈME ', '26%', 'eau', 'sucre', 'LAIT concentré écrémé', 'huile de soja', 'cacao en poudre ', '1,8%', 'cacao maigre en poudre ', '1,8%', 'huile de coco', 'farine de BLÉ', 'BEURRE', ""jaune d'ŒUF¹"", 'pâte de cacao', 'émulsifiant ', 'lécithine de SOJA', 'ŒUF¹', 'stabilisants ', 'gomme guar', 'carraghénanes', 'beurre de cacao', 'sel', 'arôme naturel de vanille', 'matière grasse du LAIT', 'arôme naturel', ' ¹œufs de poules élevées en plein air', ' > Sucre', 'cacao', 'vanille : issus du commerce équitable Fairtrade dans le respect du bilan de masse ', '25% du poids total', 'F']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1205,287,1205 kj(287 kcal),18,10,27,25,"3,8","0,19","0,076",,"['Desserts', 'Surgelés', 'Desserts glacés']",,18 g,en quantité modérée,10 g,en quantité élevée,25 g,en quantité élevée,0.19 g,en faible quantité,+35%,+42%,+42%,+112%,+82%,-4%,+6%,+56%,+58%,+58%,17,+50%,D,+50%,,,,,,,,,"[""Ben & Jerry's""]",402 g,['Film'],,Crème glacée au chocolat autour d'un cœur en tourbillon de pâte de cookie au cacao maigre avec des pépites de chocolat (13%) et des inclusions cacaotées (6%).,"['Œufs', 'Gluten', 'Lait', 'Soja']","['E322i - Lécithine', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,,,,,
1605,Magnum - 292g,8711327487086,['France'],"['LAIT écrémé réhydraté', 'sucre', 'sirop de glucose', 'beurre de cacao¹', 'pâte de cacao¹', 'CRÈME ', '4,5%', 'huiles végétales ', 'coco', 'tournesol', 'fructose', 'LAIT en poudre entier', 'LACTOSE et protéines de LAIT', 'BEURRE concentré', 'cacao maigre en poudre¹', 'farine de tapioca', 'farine de riz', 'sirop de glucose-fructose', 'LAIT en poudre écrémé ou concentré', 'émulsifiants ', 'E471', 'lécithine de SOJA', 'E476', 'stabilisants ', 'E410', 'E412', 'E407', 'sel', 'arômes', ' Peut contenir : amandes', 'blé', 'orge', 'avoine', ' ¹Vérifié Rainforest Alliance', ' ra', 'org']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1306,312,1306 kj(312 kcal),18,12,32,25,"3,5","0,15","0,06",A,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés']",['Rainforest Alliance'],18 g,en quantité modérée,12 g,en quantité élevée,25 g,en quantité élevée,0.15 g,en faible quantité,+11%,+13%,+12%,+10%,+8%,+10%,-3%,+20%,+8%,+8%,18,+10%,D,+10%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,['Magnum'],292 g,['Film'],,"Glace avec une sauce cacao parfum cookie (6,5%), enrobée de chocolat au lait (27%) aux éclats de cookies (4,5%).","['Lait', 'Soja']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,,,,,
1606,Pain complet,0206030009123,['France'],[],[],?,241,1008 kj(241 kcal),1,"0,25","46,5","2,5","11,5","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,Pain d'épices au Miel Chocolat,3380250625039,['France'],[],[],?,336,1406 kj(336 kcal),"0,7","0,3",70,52,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,Tate Lyle Granulated Sugar,5010115926404,['France'],[],[],?,400,1674 kj(400 kcal),0,0,"99,95","99,95",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,Spécialité de coco cubes,2600254012002,['France'],[],[],?,450,1883 kj(450 kcal),"18,8","17,3","63,6","39,8","3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,Ashwagandha,3760269951051,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,Viande de bœuf fumée traditionnelle,3486790000067,['France'],[],[],?,161,674 kj(161 kcal),"3,1","1,6","0,9","0,9",32,"6,1","2,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
