,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,quantity,packaging,manufacturing,nova_score,palm_ingredients,allergens,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,traceability_code,markets,link,ingredients_origins
37,La crème des fromages - Sans marque - 200g,3373831215491,"['Sans marque', 'Fromagerie Mauron']","['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",,['France'],[],[],13 g,en quantité modérée,3.4 g,en quantité modérée,18 g,en quantité élevée,0.9 g,en quantité modérée,?,,160,-31%,669 kj(160 kcal),-32%,13,-38%,"3,4",-76%,19,+464%,18,+508%,17,+103%,"0,9",-23%,"0,36",-23%,5,-58%,C,-58%,,200 g,['Plastique'],['France'],,,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"['FR 70.280.001 CE', 'Gray-la-Ville (Haute-Saône, France)']",,,
38,Crème de munster,3373831215675,,,,['France'],[],[],,,,,,,,,?,,295,,1234 kj(295 kcal),,14,,1,,1,,1,,13,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,
39,Queen crispy chips,3373851559834,,,,['France'],[],[],,,,,,,,,?,,490,,2050 kj(490 kcal),,24,,"2,6",,60,,"0,5",,"7,1",,"0,67",,"0,268",,,,,,,,,,,,,,,,,,,,,,,,,
40,Faisselle 7%MG - Le Ventoux - 4x 125g,3373960000050,['Le Ventoux'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Faisselles']",,['France'],[],[],6.5 g,en quantité modérée,4.7 g,en quantité modérée,2 g,en faible quantité,0.07 g,en faible quantité,?,,100,+16%,418 kj(100 kcal),+16%,"6,5",+22%,"4,7",+40%,"5,2",+18%,2,-42%,"5,1",+15%,"0,07",-37%,"0,028",-37%,2,+36%,B,+36%,,4 x 125g,,,,,,D,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,,,,
41,Fromage au lait de vache et aromates - Fromagerie Le Ventoux,3373960000258,['Fromagerie Le Ventoux'],,,['France'],"['INGRÉDIENÎS : entier pasteurisé 94% ', 'Origine France', ' CREME fraîche pasteurisée 4%', 'ciboulette', 'poivre', 'sarriette', 'baies roses', 'sel', 'ferments lactiques ', 'LAIT', 'présure']",['Non végétalien'],,,,,,,,,?,,219,,916 kj(219 kcal),,18,,14,,"1,3",,"1,1",,13,,"0,65",,"0,26",,,,,,,,,,,,['Lait'],,,,,,,,,,"['FR 84.141.002 CE', 'Vedène (Vaucluse, France)']",,,
42,"Sinner Not A Saint, The Complete King & Dra Recordings 1959-1961 - La Pitchoune",3373960000302,['La Pitchoune'],,,['France'],"['BROYSSÉV -f DESV,ACE€,•']",[],,,,,,,,,?,,183,,766 kj(183 kcal),,14,,"9,8",,"4,3",,"2,2",,10,,"0,84",,"0,336",,,,,,,,,,,,,,,,,,,,,,,,,
43,Brousse fraiche au lait de chevre,3373960000340,,,,['France'],[],[],,,,,,,,,?,,203,,849 kj(203 kcal),,15,,11,,4,,"1,4",,13,,"0,84",,"0,336",,,,,,,,,,,,,,,,,,,,,,,,,
44,Fromage de chèvre au poivre,3373960001002,,,,['France'],[],[],,,,,,,,,?,,274,,1146 kj(274 kcal),,20,,16,,"4,4",,"2,7",,19,,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,,,,,
45,Ventoux plateau de fromage de chevre - Fromagerie LE VENTOUX,3373960001088,['Fromagerie LE VENTOUX'],,,['France'],"['Lait de chèvre pasteurisé 98%', 'lactosérum ', 'LAIT', 'ciboulette', 'poivre', 'sarriette', 'baies rosés', 'sel', 'ferments lactiques', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,274,,1146 kj(274 kcal),,20,,16,,"4,4",,"2,7",,19,,"0,65",,"0,26",,,,,,,,,,4,,['Lait'],,,,,,,,,,,,,
46,Fromage de chèvre Le Ventoux,3373960009107,['Le Ventoux'],,,['France'],"['LAIT de chèvre pasteurisé 98%', 'lactosérum ', 'LAIT', ' ferments lactiques ', 'LAIT', ' présure,']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,274,,1146 kj(274 kcal),,20,,16,,"4,4",,"2,7",,19,,"0,65",,"0,26",,,,,,,,,,4,,['Lait'],,,,,,,,,,,,,
