,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,link,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,markets,palm_ingredients,ingredients_origins,traceability_code,producer_info,origin_detail,brand_owner
1791,Calin - yoplait,3291330005453,,,,,['Yoplait'],,['Sans conservateurs'],,['France'],"['Fromage Maigre SANS CONSERVAI EUR 3 291330 005453 Fromage Blanc Maigre *1 ,3% de mat', ' gr', ' sur poids total']",,[],,?,,0,,"1,3",,"4,1",,"8,2",,,,,,,,,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1792,Petit fromage blanc sucré à la pulpe de fruits - Yoplait,3291330007273,C,,,,['Yoplait'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Quark', 'Fromages blancs', 'Fromages à la crème']",,,['France'],[],,[],,?,,121,+16%,"3,1",-2%,16,+40%,7,+8%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,506 kj(121 kcal),"2,1",15,"0,2","0,08",3.1 g,en quantité modérée,2.1 g,en quantité modérée,15 g,en quantité élevée,0.2 g,en faible quantité,+17%,+7%,+44%,+72%,+72%,2,+85%,B,+85%,,,,,,,,
1793,Glace Gingembre - Paradis Glaces,3291330009642,,,,,['Paradis Glaces'],,,,['France'],[],,[],,?,,175,,"5,6",,27,,"3,2",,,,,,,,,,732 kj(175 kcal),"4,2",27,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,
1794,Feuilletés aux Escargots de Bourgogne - Thiriet - 300g,3292590819453,C,,300 g,,['Thiriet'],"['Viandes', 'Escargots', 'Escargots de Bourgogne']",,,['France'],"['FEUILLETÉE 53,3% : farine de blé', 'beurre ', 'dont colorant : béta-carotène', 'eau', 'protéineS de blé', 'enzymes : protéase', 'sel', 'œuf', ' GARNITURE 46,7% escargot* de Bourgogne préparé décoquillé 30% ', 'escargot', ' thym', 'laurier', 'piment', 'sel', 'crème fraîche 26,7%', 'poireau 16%', 'eau', ' liant ', 'amidon transformé', 'farine de blé ,huile de palme fractionnée', 'lactosérum', 'protéines de lait', 'oignons', 'Cognac fine Champagne 2,1%', 'beurre arôme naturel', 'persil 0,5%', 'sel', 'purée d’ail 0,4% *Helix pomatia Linné']","['E160ai - Bêta-carotène', 'E1101 - Protéases', 'E14XX - Amidons modifiés']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,,269,+6%,17,-16%,21,+801%,"6,8",-39%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,"['Œufs', 'Gluten', 'Lait', 'Mollusques']",1125 kj(269 kcal),11,"1,2","0,975","0,39",17 g,en quantité modérée,11 g,en quantité élevée,1.2 g,en faible quantité,0.975 g,en quantité modérée,+6%,-19%,+74%,-18%,-18%,16,+32%,D,+32%,,['Thiriet'],['Huile de palme'],,,,,
1795,Panier Poulet Champignon - Thiriet - 640g e,3292590819705,E,,640 g e,"['Carton', 'boîte', 'Plastique', 'surgelé']",['Thiriet'],"['Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Feuilleté salé', 'Plats préparés surgelés', 'Plats au poulet']",['Point Vert'],"https://www.thiriet.com/produits/entrees_snacking_-_tartes/feuilletes_et_tartes/feuilletes_et_paniers/_8_paniers_pouletchampignons,163,1139.html?&args=Y29tcF9pZD0xNTUmYWN0aW9uPWZpY2hlJmlkPSZ8&vars=ZmFtaWxsZV9pZD1TRkFNMS0wMy0wOCZwcm9kdWl0X2lkPTgxOTcwJmZhbWlsbGVfaWRfbml2ZWF1X3VuPUZBTTEtMDMmZmlsdHJlX2ZhbWlsbGVfaWRfMj1TRkFNMS0wMy0wOCZmaWx0cmVfcHJvZHVpdHM9YSUzQTAlM0ElN0IlN0Q%3D",['France'],"['Pâte feuilletée 50 % : farine de blé', 'margarine végétale ', 'huiles et graisses de palme et de colza', 'eau', 'sel', ""émulsifiants : mono - et diglycérides d'acides gras"", ""correcteur d'acidité : acide citrique"", 'eau', 'beurre', 'protéines de blé', 'enzymes : protéase', 'sel', 'œuf', '\r Garniture 50 % : cubes de filet de poulet traité en salaison cuit 30 % ', 'filet de poulet ', 'origine UE', 'sel', 'amidon', 'champignon de Paris 21%', 'crème fraîche 15,8 %', 'eau', 'oignon', 'liant ', 'amidon transformé', 'farine de blé', 'huile de palme', 'lactosérum', 'protéines de lait', 'Porto', 'beurre', 'poudre de lait entier', 'arômes naturels', 'sel', 'épaississant : méthylcellulose', ""émulsifiants : mono - et diglycérides d'acides gras""]","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E1101 - Protéases', 'E14XX - Amidons modifiés', 'E461 - Méthylcellulose']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,264,-9%,15,-15%,22,-9%,"8,9",+12%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,"['Œufs', 'Gluten', 'Lait']",1105 kj(264 kcal),"8,8",2,1,"0,4",15 g,en quantité modérée,8.8 g,en quantité élevée,2 g,en faible quantité,1 g,en quantité modérée,-9%,-15%,-15%,-11%,-11%,15,-6%,D,-6%,,['Thiriet'],['Huile de palme'],['Union européenne'],,,,
1796,4 tourtes alsaciennes au Riesling - Thiriet - 520g,3292590820114,,,520g,['film plastique et boite carton'],['Thiriet'],['Surgelés'],,,['France'],"['PÂTE 50% : farine de blé matière grasse végétale huile de colza et matières grasses de palme', 'eau', ""emulsifiants : mono et diglycérides d'acides gras"", 'acidifiant acide citrique', 'colorant: caroténoides', 'eau', 'lait entier en poudre', 'sel', 'sucre', 'poudre à lever ', 'agents levants : diphosphate disodique-bicarbonate de sodium', 'dextrose', ' GARNITURE 49% : viande de porc 52%', 'eau', 'oeuf', 'Riesling AOC"" 5', '296', 'champignons 3%', 'oignons 2,6%', 'lait en poudre', 'fécule', 'sel', 'arômes naturels', 'persil 0,4%', 'plante aromatique', 'conservateur: nitrite de sodium', 'acidifiant: acide citrique', 'antioxydant:acide ascorbique', ' ', 'Pourcentages exprimés sur la garniture', ""DORURE 1%: jaune d'oeuf"", 'eau', 'sucre Présence éventuelle de moutarde et fruits à coque', "" Appellation d'Origine Contrôlée""]","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160 - Caroténoïdes', 'E450i - Pyrophosphate de sodium acide', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,,255,+48%,13,+74%,24,+24%,10,+100%,,,,,,,,"['Œufs', 'Fruits à coque']",1067 kj(255 kcal),"6,1","2,4","1,5","0,6",13 g,en quantité modérée,6.1 g,en quantité élevée,2.4 g,en faible quantité,1.5 g,en quantité modérée,+47%,+68%,-77%,+270%,+270%,14,+143%,D,+143%,,['Thiriet'],,,"['EMB 67348', 'Obernai (Bas-Rhin, France)']",,,
1797,Purée de patate douce cuisinée - Thiriet - 450g e,3292590832254,,Purée de patate douce cuisinée,450 g e,"['surgelé', 'Sachet', 'Plastique']",['Thiriet'],"['Surgelés', 'Plats préparés', 'Légumes préparés', 'Purées', 'Purées de légumes', 'Purées de patates douces']",['Point Vert'],,['France'],"['patates douces 84%', 'eau', 'crème fraîche 5%', 'beurre 0,9%', 'sel', 'poivre']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,334,,80,,2,+43%,"12,1",-5%,"1,1",-18%,,,,,,,,['Lait'],334 kj(80 kcal),"1,4","7,5","0,56","0,224",2 g,en faible quantité,1.4 g,en faible quantité,7.5 g,en quantité modérée,0.56 g,en quantité modérée,+5%,+89%,+48%,+62%,+62%,0,,B,,,['Thiriet'],,,"['EMB 56066C', 'Gourin (Morbihan, France)']",,,
1798,Végétal Nuggets de Blé et Pois - Thiriet - 200g,3292590837310,,,200 g,,['Thiriet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Nuggets végétaux']",,,['France'],"['eau', 'chapelure 19% ', 'farine de blé', 'levure', 'sel', 'protéines de blé texturées déshydratées 11 % ', 'protéines de blé', 'farine de blé', 'huiles végétales ', 'tournesol', 'colza', 'protéines de pois déshydratées 6%', 'farine de blé', 'oignons préfrits 3% ', 'oignons', 'huile de tournesol', 'fibres de blé ', 'fibres de blé', 'psyllium', 'arôme naturel ', 'dont gluten de blé', 'céleri', 'épaississant : méthylcellulose', 'sel']",['E461 - Méthylcellulose'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,,266,+8%,12,+4%,22,+17%,15,+8%,,,,,,,,"['Céleri', 'Gluten']",1113 kj(266 kcal),"1,4","1,3","0,875","0,35",12 g,en quantité modérée,1.4 g,en faible quantité,1.3 g,en faible quantité,0.875 g,en quantité modérée,+9%,+13%,-25%,-32%,-32%,-2,-178%,A,-178%,,['Thiriet'],,,"['FR 56.094.004 CE', 'Kervignac (Morbihan, France)']",,,
1799,Galettes poireaux pommes de terre - Thiriet - 300g,3292590838300,,,300g,,['Thiriet'],,"['Bio', 'Bio européen', 'FR-BIO-01']",,['France'],"['poireaux 45% pommes de terre* 40%', 'huile de tournesol', 'oeufs entiers', ""chapelure' "", 'farines de blë et de riz', 'sel', ""levure - amidon'"", "" sel de guérande * ingrédients issus de l'agriculture biologique"", ' Présence éventuelle de lait', 'céleri et sulfites']",,['Non végétalien'],,?,,122,,"6,9",,11,,"2,8",,,,,,,,,"['Céleri', 'Gluten', 'Anhydride sulfureux et sulfites']",510 kj(122 kcal),"0,9","2,3","0,83","0,332",,,,,,,,,,,,,,,,,,,['Thiriet'],,,,,,
1800,Gratin Dauphinois - Thiriet - 450g,3292590839086,B,,450 g,,['Thiriet'],"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Gratins dauphinois']",,,['France'],"['pommes de terre précuites 47%', 'eau', 'crème fraîche liquide 13,6%', 'emmental 7%', 'lait entier en poudre', 'amidon', 'beurre doux', 'sel', 'arôme naturel ', 'dont lait', 'ail', 'extrait de légumes', 'épaississants: gomme xanthane gomme guar', 'muscade', ' Présence éventuelle de gluten', 'crustacés', 'oeuf', 'poissons', 'soja', 'fruits à coque', 'céleri', 'moutarde et graines de sésame']",['E415 - Gomme xanthane'],"['Non végétalien', 'Non végétarien']",4,?,,132,+11%,"7,9",+37%,"9,6",-14%,"4,8",+41%,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,"['Céleri', 'Crustacés', 'Œufs', 'Poisson', 'Lait', 'Moutarde', 'Fruits à coque', 'Graines de sésame', 'Soja']",552 kj(132 kcal),"5,5","1,4","0,64","0,256",7.9 g,en quantité modérée,5.5 g,en quantité élevée,1.4 g,en faible quantité,0.64 g,en quantité modérée,+12%,+53%,-13%,-9%,-9%,6,+28%,C,+28%,,['Thiriet'],,,,,,
1801,Pavés de saumon Atlantique avec peau - Thiriet - 4x 100g,3292590842451,E,,4 x 100 g,['sachet en plastique'],['Thiriet'],"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",,,['France'],['PAVES DE SAUMON ATLANTIQUE'],,[],,?,,212,+12%,"15,6",+32%,0,-100%,19,-6%,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,887 kj(212 kcal),3,0,"0,1","0,04",15.6 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,0.1 g,en faible quantité,+12%,+48%,-100%,-72%,-72%,-1,,A,,,['Thiriet'],,,"['FR 62.753.100 CE', 'Saint-Laurent-Blangy (Pas-de-Calais, France)', 'EMB 62753', 'Saint-Laurent-Blangy (Pas-de-Calais, France)', 'ASC-C-01067']",,,
1802,Chicken Wings - Thiriet,3292590852443,D,,,,['Thiriet'],"['Viandes', 'Volailles', 'Poulets', 'Ailes de poulet']",,,['France'],"['manchons et ailerons de poulet 80% ', 'volaille française', 'sirop de glucose', 'Protéines de soja', 'sel', 'arôme', 'amidon transformé ', "" Présence éventuelle d'oeuf"", 'lait', 'céleri', 'gluten et moutarde,']",['E14XX - Amidons modifiés'],['Non végétalien'],4,?,,215,+9%,14,+17%,"1,8",-31%,21,+11%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Céleri', 'Gluten', 'Lait', 'Moutarde']",900 kj(215 kcal),"3,6","1,8","1,375","0,55",14 g,en quantité modérée,3.6 g,en quantité modérée,1.8 g,en faible quantité,1.38 g,en quantité modérée,+10%,+9%,+110%,+3%,+3%,11,+53%,D,+53%,,['Thiriet'],,,,,,
1803,Rougail Saucisse et Riz Basmati - Thiriet - 350g,3292590874261,,,350 g,,['Thiriet'],,,,['France'],"['riz basmati cuit 41% ', 'eau', 'riz basmati', 'sel', 'saucisse fumée précuite 20% ', 'viande de porc origine France', 'gras de porc origine France', 'sel', 'lactose', 'épices', 'antioxydant : extraits de romarin', 'conservateur : nitrite de sodium', 'tomate pelée concassée 14% ', 'tomate', 'jus de tomates', 'acidifiant : acide citrique', 'eau', 'purée de tomate 6% ', 'tomate', 'acidifiant : acide citrique', 'oignon 3,8%', 'huile de tournesol', 'double concentré de tomate 1%', 'amidon transformé', 'chapelure ', 'farine de blé', 'levure', 'sel', 'ail', 'coriandre 0,4%', 'ciboulette', 'sel', 'gingembre 0,3%', 'jus concentré de légumes ', 'carotte', 'oignon', 'poireau', 'piment rouge 0,09%', 'curcuma', 'paprika', 'gingembre moulu', 'thym', 'extrait de poivre']","['E392 - Extrait de romarin', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés']","['Non végétalien', 'Non végétarien']",4,?,,142,,"6,9",,14,,"5,6",,,,,,,,,"['Gluten', 'Lait']",594 kj(142 kcal),"2,3","1,3","0,775","0,31",,,,,,,,,,,,,,,,,,,['Thiriet'],,,,,,
1804,Nems au porc - Thiriet - 280g,3292590874308,C,,280 g,,['Thiriet'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Nems', 'Nems au porc']",,,['France'],"['NEMS ', '4 x 60 g', ' : galette de riz 40% ', 'eau', 'farine de riz', 'huile de tournesol', 'sel', 'viande de porc 18% ', 'origine France', 'oignon 10,2%', 'vermicelle de pois réhydraté 10,1%', 'carotte 7,5%', 'protéine de soja', 'ciboule 3,6%', 'gras de porc 3%', 'champignon noir réhydraté 2,4%', 'arôme naturel ', 'gluten', 'sel', 'poivre', ' SAUCE NUOC MÂM ', '2 x 20 g', ' : eau', 'sucre', 'nuoc mâm 14% ', 'poisson', 'sel', 'eau', ""vinaigre d'alcool"", 'sel']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,,258,+17%,16,+40%,18,-17%,8,+13%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,"['Poisson', 'Gluten']",1079 kj(258 kcal),"3,9","1,7","1,475","0,59",16 g,en quantité modérée,3.9 g,en quantité modérée,1.7 g,en faible quantité,1.48 g,en quantité modérée,+16%,+46%,-47%,+7%,+7%,10,+40%,C,+40%,,['Thiriet'],,,,,,
1805,Lasagnes à la bolognaise - Thiriet - 450g,3292590882471,D,"Lasagnes à la sauce bolognaise (61,6%), sauce blanche (22,2%), parsemé d'emmental",450g,"['Barquette carton plastifié', 'Film plastique', 'Boite carton', 'Surgelé']",['Thiriet'],"['Surgelés', 'Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Plats préparés surgelés', 'Lasagnes à la bolognaise']","['Viande Française', 'Viande Bovine Française']",,['France'],"['Eau', 'viande bovine française 25%', 'pâtes 14% ', 'semoule de blé dur de qualité supérieure ', 'gluten', 'eau', 'œuf de poules élevées en plein air en poudre ', 'œufs', 'sel', 'concassé de tomates 9,9% ', 'tomate', 'jus de tomate', 'concentré de tomate', 'céleri ', 'céleri', 'emmental ', 'lait', ' 2,2%', 'amidon transformé', 'carotte cuite', 'lait entier en poudre ', 'lait', 'farine de blé ', 'gluten', 'oignon en poudre', 'sel', 'basilic', 'épices et plantes aromatiques']",['E14XX - Amidons modifiés'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,468,-12%,139,+4%,"5,9",-3%,"12,7",+2%,8,+26%,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,"['Céleri', 'Œufs', 'Gluten', 'Lait']",468 kj(139 kcal),"2,6","2,7","0,8","0,32",5.9 g,en quantité modérée,2.6 g,en quantité modérée,2.7 g,en faible quantité,0.8 g,en quantité modérée,-16%,+3%,-1%,+2%,+2%,1,-57%,B,-57%,,['Thiriet'],,['Viande France'],"['FR 22.182.001 CE', ""Plélo (Côtes-d'Armor, France)""]",,,
1806,Baguette aux 7 céréales - Thiriet,3292590894153,B,,,,['Thiriet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",,,['France'],"['Céréales 54,3% ', 'farine de blé', 'farine de seigle', ""gruau d'avoine"", ""farine d'orge malté toasté"", ""farine d'épeautre"", 'farine de maïs', 'farine de blé malté toasté', 'germes de blé', 'farine de blé malté', 'eau', 'graines 7,1% ', 'lin jaune', 'lin brun', 'tournesol', 'millet', 'pavot', 'sésame', 'gluten de blé', 'levain de seigle', 'levure de boulangerie', 'sel', 'levure désactivée', ' ']",,[],4,?,,257,-0%,"3,4",+45%,48,-2%,"9,4",+14%,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,"['Gluten', 'Graines de sésame']",1075 kj(257 kcal),"0,3","1,3","1,3","0,52",3.4 g,en quantité modérée,0.3 g,en faible quantité,1.3 g,en faible quantité,1.3 g,en quantité modérée,-0%,-33%,-42%,+7%,+7%,-1,-133%,A,-133%,,['Thiriet'],,,,,,
1807,Le yaourt fermier coco - La Ferme de la Vieille Abbaye - 500g (4x125g),3293630000251,C,,500 g (4x125g),,['La Ferme de la Vieille Abbaye'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la noix de coco']",,,['France'],"['Yaourt brassě 90%: Lait entier frais', 'poudre de lait', 'ferments lactiques', ' Noix de coco préparée 10%: ', 'lait de coco', 'noix de coco râpée', 'sucre', 'pectine']",['E440 - Pectines'],['Non végétalien'],4,?,,96,-18%,4,-34%,"12,6",+2%,"4,5",+36%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Lait'],402 kj(96 kcal),"2,7","11,6","0,12","0,048",4 g,en quantité modérée,2.7 g,en quantité modérée,11.6 g,en quantité modérée,0.12 g,en faible quantité,-20%,-35%,+1%,+5%,+5%,3,-41%,C,-41%,,['Magasins U'],,,,,,
1808,Eminces de volaille Kebab,3295080651939,,,,,,,,,['France'],[],,[],,?,,144,,"6,7",,"2,7",,"18,3",,,,,,,,,,602 kj(144 kcal),"1,9","0,9","1,12","0,448",,,,,,,,,,,,,,,,,,,,,,,,,
1809,Filets d'anchois à l'huile de tournesol - Raynal et roquelaure - 350g,3296942222182,B,,350 g,,['Raynal et roquelaure'],"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",['Fabriqué en France'],,['France'],"[""filets d'anchois "", 'anchois', 'sel', ' 70%', 'huile de tournesol', "" Mode d'emploi : prêts à déguster""]",,"['Non végétalien', 'Non végétarien']",3,?,,141,-31%,"5,4",-57%,0,-100%,23,+11%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,['Poisson'],590 kj(141 kcal),1,0,"15,3","6,12",5.4 g,en quantité modérée,1 g,en faible quantité,0 g,en faible quantité,15.3 g,en quantité élevée,-32%,-59%,-100%,+125%,+125%,11,-12%,D,-12%,,,,,"['FR 66.053.021 CE', 'Collioure (Pyrénées-Orientales, France)']",,,
1810,Yaourt Nature Sucré - Piton des Neiges,3297560122045,,,,,['Piton des Neiges'],,,,['France'],[],,[],,?,,83,,"1,4",,"12,5",,4,,,,,,,,,,347 kj(83 kcal),"0,9","12,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,
1811,Réa,3297560882284,,,,,,,,,['France'],[],,[],,?,,46,,0,,11,,0,,,,,,,,,,192 kj(46 kcal),0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1812,Gelee extra framboises - Beyer - 370g,3299341260014,D,,370 g,,['Beyer'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de framboises']",,,['France'],[],,[],,?,,242,-2%,"0,5",+93%,60,+1%,"0,5",+8%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,1013 kj(242 kcal),0,60,0,0,0.5 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,0 g,en faible quantité,-2%,-100%,+4%,-100%,-100%,12,+3%,D,+3%,,,,,,,,
1813,Confiture Goyave - Saveurs Attitudes - 220g e,3299430034311,C,,220 g e,"['Verre', 'Bocal', 'Pot', 'métal', 'Capsule en métal', 'Bocal en verre']",['Saveurs Attitudes'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux', 'Confitures de goyaves']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique']",,['France'],[],,[],,?,,213,-5%,"0,2",-33%,"52,1",-4%,"0,3",-17%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,891 kj(213 kcal),"0,1","51,7",10,4,0.2 g,en faible quantité,0.1 g,en faible quantité,51.7 g,en quantité élevée,10 g,en quantité élevée,-5%,+146%,-1%,+14715%,+14715%,18,+83%,D,+83%,,,,,,,,
1814,Pain Grillé - Saveurs Attitudes,3299430060396,,,,,['Saveurs Attitudes'],,"['Bio', 'Sans sucre ajouté', 'en:palm-oil-free']",,['France'],"[""farine d'épeautre intégrale* "", '70%', ' ', 'gluten', 'raisins secs* ', '18%', 'levure*', 'sel', 'eau', "" *Produits issus de l'Agriculture Biologique"", ' Peut contenir des traces de soja et sésame']",,['Sans huile de palme'],4,?,,368,,"2,56",,"71,9",,"14,3",,,,,,,,,['Gluten'],1540 kj(368 kcal),"0,55",17,"1,275","0,51",,,,,,,,,,,,,,,,,,,,,,,,,
1815,PREPARATION 100% FRUITS MANGUE - Saveurs Attituddes,3299430066572,D,,,,['Saveurs Attituddes'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux']",['Bio'],,['France'],[],,[],,665,-22%,157,-31%,"0,3",-6%,"37,7",-30%,"0,3",-45%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,665 kj(157 kcal),0,"36,7","0,7","0,28",0.3 g,en faible quantité,0 g,en faible quantité,36.7 g,en quantité élevée,0.7 g,en quantité modérée,-30%,-100%,-29%,+1607%,+1607%,6,-38%,C,-38%,,,,,,,,
1816,Jus de pomme coing - Côteaux Nantais - 75cl,3301591000712,C,,75 cl,,['Côteaux Nantais'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],"['Pommes 73 %', 'coings 27 %']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,43,-7%,0,-100%,"10,6",-1%,0,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,180 kj(43 kcal),0,"10,2",0,0,0 g,en faible quantité,0 g,en faible quantité,10.2 g,en quantité élevée,0 g,en faible quantité,-7%,-100%,+2%,-100%,-100%,3,-24%,C,-24%,,,,,,,,
1817,Purée Pommes Rhubarbe - Coteaux Nantais - 630g,3301597002734,A,,630 g,"['Verre', 'métal']",['Coteaux Nantais'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes rhubarbe']","['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter', 'Sans sucre ajouté', 'AB Agriculture Biologique']",,['France'],"['pommes*', 'demeter**', ' ', '75%', 'rhubarbe *', 'demeter**', ' ', '25%', "" * Ingrédient issu de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,51,-26%,0,-100%,"11,9",-18%,"0,7",+50%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,213 kj(51 kcal),0,"10,3",0,0,0 g,en faible quantité,0 g,en faible quantité,10.3 g,en quantité modérée,0 g,en faible quantité,-25%,-100%,-25%,-100%,-100%,-5,,A,,,,,,,,,
1818,Lentilles au canard - Le Revelois,3302180014004,,,,,['Le Revelois'],,,,['France'],"['lentilles vertes du Lauragais', ' morceaux de cuisses de canard maigres confit dans la graisse de canard ', '20% à la mise oeuvre', 'saucisses de Toulouse ', 'épaules de porc', 'gras de bardière', 'boyau naturel de porc', ' sel', 'poivre', ' 16% à la mise en oeuvre', 'sauce cuisinée', 'eau', 'os de porc arome naturel', 'concentré de tomate', 'oignons', 'carottes', 'poireaux', 'couennes do porc', 'carottes', 'oignons', 'graisse de canard', 'ail', 'sel', 'poivre', 'Peut présenter des traces de Gluten', "" *toutes nos viandes sont issues d'animaux d'origine Française""]",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",,?,,172,,11,,"8,1",,"10,1",,,,,,,,,,720 kj(172 kcal),"4,45","0,73","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,
