,name,bar_code,eco_score,brand,categories,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,traceability_code,additives,allergens,labels,manufacturing,ingredients_origins,generic_name,origin_detail,producer_info,palm_ingredients,link
1785,Melange Canada SCH 200 GR - Sans,3580281232293,,['Sans'],,,['France'],[],[],,,,,,,,,,?,,502,,2100 kj(502 kcal),,33,,"2,7",,37,,36,,11,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1786,Poudre de noisettes -,3580281235454,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes', 'Noisettes en poudre']",,['France'],[],[],,60.7 g,en quantité élevée,4.5 g,en quantité modérée,4.3 g,en faible quantité,,,?,,692,+4%,2895 kj(692 kcal),+4%,"60,7",-0%,"4,5",-5%,"16,7",+70%,"4,3",-10%,"14,9",-7%,,,,,,,,,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,,,,,,,,,,,,,
1787,Cerneaux de noix de pecan - Agidra,3580281238127,,['Agidra'],['Cerneaux de noix de pécan'],,['France'],"['Noix de PéŒn cerreux Ingrédient : noix de Pécan', "" Traces possibles d'arachides"", 'de sésam et de sulfites', ' Origine :Amérique du nord']",[],,72 g,en quantité élevée,6.2 g,en quantité élevée,4 g,en faible quantité,0 g,en faible quantité,?,,760,,3180 kj(760 kcal),,72,,"6,2",,"13,9",,4,,"9,2",,0,,0,,14,,D,,,,,,,,,,,,,,,,,,,,,
1788,Noix Cerneaux Extra Blancs B &S Sachet,3580281238622,,['B&S'],,,['France'],[],[],,,,,,,,,,?,,688,,2879 kj(688 kcal),,"63,8",,"5,7",,"10,8",,3,,"14,7",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1789,Cerneaux de noix - Bedros,3580281238721,D,['Bedros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,['France'],[],[],,63.8 g,en quantité élevée,5.7 g,en quantité élevée,3 g,en faible quantité,0.01 g,en faible quantité,?,,688,+0%,2879 kj(688 kcal),+0%,"63,8",-0%,"5,7",-3%,"10,8",+11%,3,-6%,"14,7",-2%,"0,01",-37%,"0,004",-37%,3,+16%,C,+16%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,,,,,,
1790,Noix Cerneaux Invalides France Sachet - Reflets de France,3580281238738,D,['Reflets de France'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,['France'],[],[],,63 g,en quantité élevée,6 g,en quantité élevée,3 g,en faible quantité,0 g,en faible quantité,?,,688,+0%,2879 kj(688 kcal),+0%,63,-2%,6,+2%,11,+13%,3,-6%,15,0%,0,-100%,0,-100%,3,+16%,C,+16%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,,,,,,
1791,Pruneaux - La Compagnie Des Pruneaux,3580281265505,,['La Compagnie Des Pruneaux'],,,['France'],"['avec noyau rédients : Pruneaux', 'ea nsawateur Calibre : voir marquage', ' Humidité maximum : 35 6', ""À couver à l'abri de a/ha!eur"", 'd', "" lumière et de l'humidité"", ' Après ouverture', 'il est con :onserver votre sachet ad réfrgé cur et mer ra Dicl€lt', 'enti']",[],,,,,,,,,,?,,241,,1008 kj(241 kcal),,"0,3",,"0,1",,54,,35,,2,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1792,Pruneaux avec noyau,3580281265673,,,,,['France'],[],[],,,,,,,,,,?,,241,,1008 kj(241 kcal),,"0,3",,"0,1",,54,,35,,2,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1793,Raisin Blond Jumbo Chili PQT - Golden Jumbo,3580281270004,,['Golden Jumbo'],,,['France'],"['lajsin sec Golden jumbo ngrédients ', ' raisin', 'huile de tournesol', 'onservateur : anhydride sulfureux', "" races possibles d'arachidesde fruits à coque de sésame"", ' ', 'rigine : Chili']",[],,,,,,,,,,?,,344,,1439 kj(344 kcal),,"0,5",,"0,1",,"79,5",,"59,2",,"3,4",,"0,03",,"0,012",,,,,,,,,,,,,,,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,,,,
1794,Raisin secs - Bedros Et Savino,3580281270141,,['Bedros Et Savino'],,,['France'],[],[],,,,,,,,,,?,,327,,1368 kj(327 kcal),,"0,6",,"0,2",,78,,78,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1795,Raisin sec golden - Provenc'halles,3580281270424,D,"[""Provenc'halles""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs']",,['France'],"['Raisin secs', 'huile de tournesol', 'conservateur : anhydride sulfureux']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.2 g,en faible quantité,59.2 g,en quantité élevée,0.03 g,en faible quantité,?,,344,+9%,1439 kj(344 kcal),+9%,"0,5",-14%,"0,2",+43%,"79,5",+10%,"59,2",-5%,"3,4",+20%,"0,03",-45%,"0,012",-45%,7,+24%,C,+24%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,,,,
1796,Raisin Golden Import PQT - Importaco s a,3580281270479,,['Importaco s a'],,,['France'],"['raisins secs', 'huile de tournesol', 'conservateur : anhydride sulfureux', "" Traces possibles d'arachides"", 'de fruits à coque et de sésame']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,344,,1439 kj(344 kcal),,"0,5",,"0,2",,"79,5",,"59,2",,"3,4",,0,,0,,,,,,,,,,,,,,,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,,,,
1797,Raisin Corinthe B &S Sachet - Bedros et Savino,3580281280881,,['Bedros et Savino'],,,['France'],"['raisin de Corinthe', 'huile de tournesol', "" Traces possibles d'arachides"", 'de fruits à coque', 'de sésame et de sulfites', ' A rv?menmmor de oréféren']",[],,,,,,,,,,?,,327,,1368 kj(327 kcal),,"0,5",,"0,5",,75,,68,,"2,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1798,Feves Entieres - Grain de frais,3580281315156,,['Grain de frais'],,,['France'],"['Ingrédient : fève', "" Traces possibles d'arachide"", 'de fruits à coque', 'de gluten', 'de sésame et de sulfites', ' Origine : import']",[],,,,,,,,,,?,,102,,427 kj(102 kcal),,"0,4",,"0,1",,"14,2",,"1,8",,"7,6",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,
1799,Flageolets Verts - Grain de frais,3580281325353,B,"['Grain de frais', 'Agidra']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Flageolets verts secs', 'Flageolets']",,['France'],[],[],,0.8 g,en faible quantité,0.1 g,en faible quantité,0.7 g,en faible quantité,0.88 g,en quantité modérée,?,,85,,356 kj(85 kcal),-53%,"0,8",-16%,"0,1",-32%,"11,7",-50%,"0,7",-35%,4,-63%,"0,88",,"0,352",,2,,B,,65.6%,0.0%,15.2%,7.8%,4.2%,7.1%,99,,,,,,,,,,,,,
1800,Lentilles corail,3580281336564,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles décortiquées', 'Lentilles rouges', 'Lentilles corail']",,['France'],[],[],,2.2 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,?,,334,-0%,1397 kj(334 kcal),-1%,"2,2",+36%,"0,4",+63%,48,-1%,0,-100%,25,+0%,"0,02",-30%,"0,008",-30%,-1,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,,,,,,,
1801,Mais pop corn,3580281340028,,,['Maïs pour pop corn'],,['France'],[],[],,1.3 g,en faible quantité,0.3 g,en faible quantité,6.3 g,en quantité modérée,0.04 g,en faible quantité,?,,104,-68%,435 kj(104 kcal),-68%,"1,3",-61%,"0,3",-37%,"18,7",-69%,"6,3",+370%,"3,3",-69%,"0,04",-31%,"0,016",-31%,0,,B,,,,,,,,,,,,,,,,,,,,,
1802,maïs pop corn - Grain de frais,3580281340042,,['Grain de frais'],['Maïs pour pop corn'],,['France'],[],[],,4.6 g,en quantité modérée,0.6 g,en faible quantité,1.2 g,en faible quantité,0.02 g,en faible quantité,?,,363,+10%,1519 kj(363 kcal),+10%,"4,6",+37%,"0,6",+26%,62,+4%,"1,2",-10%,"12,9",+21%,"0,02",-66%,"0,008",-66%,-1,,A,,,,,,,,,,,,,,,,,,,,,
1803,Velouté de pois cassés,3580281350744,,,,,['France'],[],[],,,,,,,,,,?,,375,,1569 kj(375 kcal),,"2,5",,"0,5",,"57,6",,"2,5",,"21,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1804,Pois chiches - Provenc'halles - 450g.,3580281355145,B,"[""Provenc'halles""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Céréales et pommes de terre', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']","[""Provenc'halles""]",['France'],['Pois chiche'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,6 g,en quantité modérée,0.6 g,en faible quantité,10.7 g,en quantité modérée,0.06 g,en faible quantité,1426,+102%,?,,1426 kj(341 kcal),+81%,6,+98%,"0,6",+53%,"43,2",+83%,"10,7",+552%,"19,3",+89%,"0,06",-87%,"0,024",-87%,1,,B,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,450 g.,['Sachet plastique'],,,,,,['Import'],,,,,
1805,Les melanges cereales et lentilles - Grain De Frais,3580281410028,,['Grain De Frais'],,,['France'],"['blé dur précuit 0%', 'épeautre précuit 20%', 'riz rouge précuit 10%', 'lentille corail 10%', ' Contient du gluten', ' Conditionné en Italie']",[],,,,,,,,,,?,,352,,1473 kj(352 kcal),,"2,1",,"0,4",,65,,"0,8",,14,,"0,01",,"0,004",,,,,,,,,,,,,,,,,['Gluten'],,,,,,,,
1806,Riz,3580281471050,,,,,['France'],[],[],,,,,,,,,,?,,354,,1481 kj(354 kcal),,"0,5",,"0,1",,80,,0,,"6,7",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1807,Cacahuètes brunes grillées salées,3580281520475,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Snacks', 'Légumineuses', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Fruits à coque salés', 'Cacahuètes grillées', 'Cacahuètes salées']",,['France'],[],[],,52.5 g,en quantité élevée,8.7 g,en quantité élevée,4.2 g,en faible quantité,1 g,en quantité modérée,?,,665,+10%,2782 kj(665 kcal),+10%,"52,5",+8%,"8,7",+21%,"15,3",+23%,"4,2",-20%,28,+10%,1,-15%,"0,4",-15%,10,+66%,C,+66%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,,,,,,,,,,,
1808,Cacahuètes aromatisées grillées salées - Bedros Et Savino,3580281520710,D,['Bedros Et Savino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Snacks', 'Légumineuses', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Fruits à coque salés', 'Cacahuètes grillées', 'Cacahuètes salées']",,['France'],"['arachides', 'arôme naturel', 'sel', 'épaississant : gomme arabique', 'paprika', 'ail', 'colorant : extrait de paprika', ' Traces possibles de fruits à coque', 'de sésame et de sulfites']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,47 g,en quantité élevée,12 g,en quantité élevée,6.5 g,en quantité modérée,1.1 g,en quantité modérée,?,,593,-2%,2481 kj(593 kcal),-2%,47,-3%,12,+67%,10,-19%,"6,5",+23%,27,+6%,"1,1",-6%,"0,44",-6%,7,+16%,C,+16%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,,"[""E414 - Gomme d'acacia"", 'E160c - Extrait de paprika']",['Arachides'],,,,,,,,
1809,Graines de courge grillées salées - Agidra,3580281530092,,['Agidra'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Produits de la plante de courge', 'Graines de courge et dérivés', 'Graines de courge']",,['France'],"['graines de courge', 'sel', 'tarir do riz', "" Traces possibles d'arachides"", 'de fruits coque', 'de sésame et de sulfites', "" Graines d'importation"", 'grillées en Espagne']",[],3,49 g,en quantité élevée,8.5 g,en quantité élevée,1.3 g,en faible quantité,4 g,en quantité élevée,?,,632,+11%,2644 kj(632 kcal),+12%,49,+11%,"8,5",+12%,"14,7",+81%,"1,3",+11%,"29,8",-1%,4,+652%,"1,6",+652%,25,+136%,E,+136%,,,,,,,,,,,,,,,,,,,,
1810,Maïs grillés salés,3580281550175,,,"['en:roasted corn kernels', 'Maïs grillé et salé']",,['France'],[],[],,11.4 g,en quantité modérée,5 g,en quantité modérée,0 g,en faible quantité,2.3 g,en quantité élevée,?,,444,-0%,1858 kj(444 kcal),-0%,"11,4",-8%,5,+13%,"77,3",+15%,0,-100%,"7,4",+10%,"2,3",+13%,"0,92",+13%,19,+16%,E,+16%,,,,,,,,,,,,,,,,,,,,
1811,L aperitif - Bedros Et Savino,3580281570074,,['Bedros Et Savino'],,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,Melange fruit secs,3580281570104,,,,,['France'],[],[],,,,,,,,,,?,,636,,2661 kj(636 kcal),,54,,"8,8",,"8,4",,"5,9",,"24,2",,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,,,,,
1813,Noix de cajou,3580281570111,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,['France'],[],[],,47.8 g,en quantité élevée,8.5 g,en quantité élevée,5 g,en quantité modérée,1 g,en quantité modérée,?,,625,+4%,2615 kj(625 kcal),+5%,"47,8",+4%,"8,5",0%,"30,2",+18%,5,-23%,"16,8",-10%,1,+59%,"0,4",+59%,10,+32%,C,+32%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,
1814,noix de cajou aromatisee au curry,3580281571019,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,['France'],[],[],,44 g,en quantité élevée,8.6 g,en quantité élevée,8.6 g,en quantité modérée,1.96 g,en quantité élevée,?,,580,-3%,2427 kj(580 kcal),-3%,44,-5%,"8,6",+1%,26,+2%,"8,6",+33%,18,-4%,"1,96",+213%,"0,784",+213%,14,+85%,D,+85%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,
1815,Pistaches,3580281580080,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Pistaches grillées']",,['France'],[],[],,44.8 g,en quantité élevée,5.5 g,en quantité élevée,7.7 g,en quantité modérée,1.5 g,en quantité modérée,?,,621,+2%,2598 kj(621 kcal),+2%,"44,8",-9%,"5,5",-14%,"28,7",+91%,"7,7",+13%,"20,9",-7%,"1,5",+24%,"0,6",+24%,9,+43%,C,+43%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,,,,,,,,,,,,,
1816,Pistaches grillées salées - Bedros et Savino - 200g,3580281580110,D,['Bedros et Savino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Pistaches grillées', 'Fruits à coque salés', 'Pistaches salées']",['Grand frais'],['France'],"['Pistaches', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,44.8 g,en quantité élevée,5.5 g,en quantité élevée,7.7 g,en quantité modérée,1.5 g,en quantité modérée,2580,+2%,?,,2580 kj(617 kcal),+2%,"44,8",-10%,"5,5",-21%,"28,7",+108%,"7,7",+13%,"20,9",-8%,"1,5",+13%,"0,6",+13%,9,+48%,C,+48%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,200 g,['Barquette plastique'],,,['Fruits à coque'],,['France'],,Pistaches,,,,
1817,Pistaches grillées salées - Agidra,3580281580257,,['Agidra'],,,['France'],[],[],,,,,,,,,,?,,621,,2598 kj(621 kcal),,"44,8",,"5,5",,"28,7",,"7,7",,"20,9",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
1818,rice crackers biscuit goût chili -  - 250g,3580281590126,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']",,['France'],"['poudre de riz', 'huile de palme', 'sucre', 'sauce soja', 'algue', 'dextrine de malt', 'sel', 'piment', 'colorant E150c']",['Huile de palme'],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,250g,,,"['E1400 - Dextrines', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,,,,rice crackers biscuit goût chili,,,['Huile de palme'],
1819,Olives noires à la grecque - Agrida,3580281630204,,['Agrida'],,,['France'],[],[],,,,,,,,,,?,,328,,1372 kj(328 kcal),,34,,"3,6",,"4,6",,"0,6",,19,,"5,9",,"2,36",,,,,,,,,,,,,,,,,,,,,,,,,
1820,Olives sauce tunisienne,3580281645895,,,,,['France'],[],[],,,,,,,,,,?,,181,,757 kj(181 kcal),,"18,4",,"3,24",,"3,2",,"0,14",,"0,6",,"3,9",,"1,56",,,,,,,,,,,,,,,,,,,,,,,,,
1821,Olives noires à la grecque - Les Saveurs de Savino - 235g,3580281665206,A,['Les Saveurs de Savino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires']",['Carrefour'],['France'],"['Olives noires', 'sel', 'huile de colza', 'conservateur : sorbate de potassium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,35.2 g,en quantité élevée,3.7 g,en quantité modérée,0.6 g,en faible quantité,6 g,en quantité élevée,?,,346,+33%,1448 kj(346 kcal),+33%,"35,2",+38%,"3,7",+10%,"1,1",-65%,"0,6",+48%,"1,9",+31%,6,+44%,"2,4",+44%,17,+32%,D,+32%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,235 g,"['Pot', 'Verre']",,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,,
1822,Olives farcies - Savino,3580281665916,,['Savino'],,,['France'],[],[],,,,,,,,,,?,,123,,515 kj(123 kcal),,"11,4",,"1,8",,"4,7",,"0,1",,"0,3",,"4,5",,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,
1823,Variante de légumes pimentée,3580281750209,,,,,['France'],[],[],,,,,,,,,,?,,22,,92 kj(22 kcal),,"0,3",,0,,"4,1",,0,,"0,8",,"3,5",,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,
1824,Variante de legumes - Les Comptoirs De Carthage,3580281750230,,['Les Comptoirs De Carthage'],,,['France'],"['FR - VARIANTE DE LÉGUMES PIMENTÉE EN SAUMURE Irnrédtents : légumes 54% ', 'en proportions variables : choux', 'chou- fleur', 'cornichon', 'tomate', 'carotte', 'piment 8%', 'eau', 'ail', 'sel', ""d'acidité : E260•E330"", 'affermissant : E509', 'conservateur :E202• de préférence avant le / no de lot : voir sur le couver± tr-GIARDINIERA Dl VERDURE PICCANTI IN V verdure 54% ', 'in proporzioni variabili: cavoli', ""cavolf10fl' cetriolini"", 'pomodori', 'carote', 't peperoncino 8%', 'acqua agjio', 'sale I correttori di acidità: addensante: E509', '„ I consumarsi preferibilmente entro il / di cooerchio / ', ""mooftato da'"", ' URA i 53 - 69801 Saint Priest Cedex - Fabriqué # Poids net égoutté Peso netto sgocciolato: 450g']",[],4,,,,,,,,,?,,22,,92 kj(22 kcal),,"0,3",,0,,"4,1",,0,,"0,8",,"3,5",,"1,4",,,,,,,,,,,,,,,,"['E260 - Acide acétique', 'E330 - Acide citrique', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,,
1825,Sauce de piments forts sans pépin - Kermes - 350g,3580281750711,B,['Kermes'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Sauces', 'Piments', 'Piments rouges']",['Carrefour'],['France'],"['Piments forts', 'eau', 'sel', 'conservateur : sorbate de potassium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,0.0%,5.3%,5.5%,1.2%,70,350 g,"['Bocal', 'Verre']",,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,,
1826,Green pepper sauce - Louisiana Gold,3580281774014,,['Louisiana Gold'],,,['France'],"['piments Jalapeno 51 piments Tabasco 20%', 'vinaigre', 'sel', ' Contenance : 57 ml']",[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,13,,"5,2",,,,,,,,,,,,,,,,,,,,,,,,,
1827,Houmous - Les Saveurs de Savino - 180g,3580281780084,A,['Les Saveurs de Savino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['Carrefour'],['France'],"['Pois chiche 59 %', 'huile de colza', 'jus de citron', 'sel', 'crème de sésame 0,8 %', 'cumin', 'ail', 'acidifiant : acide lactique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,180 g,"['Pot', 'Verre']",,['E270 - Acide lactique'],['Graines de sésame'],['Fabriqué en France'],['France'],,Crème de pois chiches,,,,
1828,3580281782064,3580281782064,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Coriandre en graines - Bédros - 65g,3580281815038,A,['Bédros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Plantes en pot', 'Produits de coriandre', 'Plantes aromatiques en pot', 'Feuilles de coriandre', 'Coriandre en pot']",['Grand Frais'],['France'],['Coriandre'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,54.7%,0.0%,17.4%,16.5%,8.4%,3.0%,95,65 g,"['Verre', 'Pot', 'métal']",,,,['Point Vert'],,,,,,,
1830,Feuilles D'origan - Bedros,3580281845042,,['Bedros'],,,['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,Sésame doré - Bedros - 120g,3580281862339,,['Bedros'],,,['France'],['sésame doré'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,120 g,,,,['Graines de sésame'],,,,,,,,
1832,3580281870877,3580281870877,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,Mélange Tandoori - Bedros,3580281871034,,['Bedros'],,,['France'],"['coriandre', 'fenugrec', 'cannelle', 'cumin', 'poivre', 'oignon', 'gingembre', 'girofle', 'aili laurier', 'muscade', 'céleri', 'sel Tracespssibles darachides et de fruits à coque']",[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,"['Céleri', 'Fruits à coque']",,,,,,,,
1834,Pulpe de tomate en dés - Savino,3580282110453,A,['Savino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Pulpes de tomates']",,['France'],"['tomates ', 'origine France', ' pelées en cubes', 'jus de tomate', 'sel']",[],3,0.1 g,en faible quantité,0.01 g,en faible quantité,2.7 g,en faible quantité,0.5 g,en quantité modérée,84,-21%,20,-26%,84 kj(20 kcal),-24%,"0,1",-58%,"0,01",-76%,"2,7",-35%,"2,7",-24%,1,-16%,"0,5",+145%,"0,2",+145%,-3,,A,,22.3%,36.4%,17.3%,10.4%,8.3%,5.3%,94,,['Conserve métal'],,,,,['Cuisiné en Provence'],,Pulpe de tomate en dés,,,,
1835,Asperges blanches grosses - Gustadéa - 660g,3580282205128,C,['Gustadéa'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",,['France'],[],[],,0.5 g,en faible quantité,0.1 g,en faible quantité,1 g,en faible quantité,0.9 g,en quantité modérée,?,,23,+21%,96 kj(23 kcal),+25%,"0,5",+101%,"0,1",+199%,1,-49%,1,-15%,"3,4",+131%,"0,9",+14%,"0,36",+14%,-4,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,660 g,,,,,,,,,,,,
