,name,bar_code,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,brand,manufacturing,markets,allergens,nova_score,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,ingredients_origins,link,additives,traceability_code,palm_ingredients,brand_owner
1839,Rubbata alle olive,8032697230240,,,['France'],[],[],,,,,,,,,?,,432,,1807 kj(432 kcal),,"10,8",,"3,2",,"69,4",,"10,1",,"9,9",,"1,85",,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,Panettone Milano - Locanda La Posta,8032697295355,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,['France'],"['farine de blé raisin 14%', 'beurre ', 'sucre', ""écorce d'orange confie 10% "", ""écorce d'orange"", 'sirop de alucose/fructose', ' saccarose', ' _iaune dloeuf frais de catéaorie A', ' émulsifiants: mono et dvglicérids des acide gras', ' levure naturelle', 'écorce de cèdre de Diamante confie 1 ', 'cèdre ', 'Diamante', 'sirop de glucoseffructose', 'saccarose', 'jus de citron', 'sucre inverti,lait en poudre', 'sel', 'Vanille Bourbon en poudre', 'aromes naturelles', "" Peut contenir traces d'autre fruits secs"", 'amande', 'noisette']",['Non végétalien'],14 g,en quantité modérée,6.8 g,en quantité élevée,31 g,en quantité élevée,0.45 g,en quantité modérée,?,,386,+3%,1615 kj(386 kcal),+4%,14,-7%,"6,8",-24%,57,+11%,31,+20%,"7,1",+4%,"0,45",+2%,"0,18",+2%,17,-9%,D,-9%,,,['Locanda La Posta'],,,['Lait'],4,C,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,
1841,Amaretti siciliani morbidi - L'Arcolaio - 150g,8032697890222,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Bio', 'Bio européen', 'en:gluten-free', 'IT-BIO-006', 'it:Certificato ICEA biologico']",['France'],"['Sucre de canne du commerce équitable*', ""amandes d'Avola "", '36 %', '*', 'blanc d’œuf*', 'amandes amères ', '7 %', '*', 'miel*', ""agent levant : bicarbonate d'ammonium"", ""\r*d'agriculture biologique""]",[],28.7 g,en quantité élevée,,,,,,,?,,?,,,,"28,7",+38%,,,"52,4",-18%,,,"12,4",+91%,,,,,,,,,150 g,['Carton'],"[""L'Arcolaio"", 'Dolci evasioni']","['Siracusa', 'Italy']",,"['Œufs', 'it:œuf']",,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
1842,Mandorle Tostate Salate - Dolci Evasioni,8032697890338,,['Bio'],['France'],"['Conservare in luogo fresco ed asciutto', ' Da consumarsi preferibilmente entro fine: Z \'""co Cado società cooperativa sociale vialeTeracati 51/d 96100 Siracusa carcolaio@arcolaio', 'org www', 'arcolaio', 'org']",[],,,,,,,,,?,,610,,2552 kj(610 kcal),,"53,6",,"4,5",,"4,5",,"3,6",,"21,3",,3,,"1,2",,,,,,,,['Dolci Evasioni'],,,,,,,,,,,,,,,,,,,
1843,Crema Gianduja,8032700031000,,,['France'],[],[],,,,,,,,,?,,504,,2109 kj(504 kcal),,37,,"5,1",,48,,31,,11,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,Crema Gianduja - Maison Della Nocciola,8032700031017,,"['Fabriqué en Italie', 'Sans conservateurs']",['France'],"['Noisettes du PIEDMONT IGP ', '52%', 'sucre de canne', 'cacao', 'poudre de beurre de cacao', 'émulsifiant : lécithine de soja', 'vanille']",[],,,,,,,,,?,,504,,2109 kj(504 kcal),,"37,1",,"5,1",,"47,9",,"31,5",,"11,2",,"0,3",,"0,12",,,,,,,,['Maison Della Nocciola'],,,,4,,,,,,,,,,,,['E322i - Lécithine'],,,
1845,Fondente crema di nocciole e cacao,8032700031109,['it:Crema di nocciole'],,['France'],[],[],39 g,en quantité élevée,5.9 g,en quantité élevée,30 g,en quantité élevée,0 g,en faible quantité,?,,516,,2159 kj(516 kcal),,39,,"5,9",,46,,30,,11,,0,,0,,17,,D,,,,,,,,,,,,,,,,,,,,,,,
1846,Fondente - Maison Della Nocciola,8032700031116,,,['France'],"['NOISETTE du Piémont IGP ', '50%', 'sucre de canne', 'cacao maigre ', '1 6%', ""huile d'olive"", 'beurre de cacao', 'emulsifiant: lécithine de SOJA', 'vanille', ' Peut contenir des traces de IAT']",[],,,,,,,,,?,,516,,2159 kj(516 kcal),,39,,"5,9",,46,,30,,11,,"0,1",,"0,04",,,,,,,,['Maison Della Nocciola'],,,"['Fruits à coque', 'Soja']",4,,,,,,,,,,,,['E322i - Lécithine'],,,
1847,Crema di nocciole e cacao,8032700031123,['it:Crema di nocciole'],,['France'],[],[],39 g,en quantité élevée,5.9 g,en quantité élevée,30 g,en quantité élevée,,,?,,516,,2159 kj(516 kcal),,39,,"5,9",,46,,30,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,Baci di  Dama,8032700035046,,,['France'],[],[],,,,,,,,,?,,512,,2142 kj(512 kcal),,35,,13,,46,,17,,8,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,Lasagnette,8032706650045,,,['France'],[],[],,,,,,,,,?,,378,,1582 kj(378 kcal),,"3,7",,"2,5",,"70,5",,"2,2",,"14,1",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,Panetti ai grani antichi italiani - Novalis,8032706671156,,,['France'],"['grani antichi Gont[eF€gtuüne', ' frumentomiltata,']",[],,,,,,,,,?,,450,,1883 kj(450 kcal),,"14,3",,"2,3",,"65,5",,"1,7",,"12,3",,"2,4",,"0,96",,,,,,,,['Novalis'],,,,,,,,,,,,,,,,,,,
1851,Fusilli al pistacchio,8032706790215,,,['France'],[],[],,,,,,,,,?,,602,,2519 kj(602 kcal),,45,,"9,5",,37,,36,,10,,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,Vinaigrette balsamique de pommes,8032706970990,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,64 g,en quantité élevée,,,?,,266,-27%,1113 kj(266 kcal),-26%,0,-100%,0,-100%,64,+1247%,64,+1845%,"0,6",+2%,,,,,,,,,,,,,,,,D,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,
