,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,manufacturing,traceability_code,generic_name,ingredients_origins,link,markets,palm_ingredients,brand_owner
489,Wawel Plums In Chocolate - Sliwka W Czekoladzie (300g Box),5900102002214,,['Wawel'],,['France'],[],,,[],,,,,,,,,,?,,386,,1615 kj(386 kcal),,11,,"6,7",,68,,60,,"1,9",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,
490,5900102008452,5900102008452,,,,['France'],[],,,[],,,,,,,,,,?,,466,,1950 kj(466 kcal),,22,,13,,60,,57,,"3,2",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,
491,Wawel Tiki Taki 430G,5900102008476,,['Wawel'],,['France'],[],,,[],,,,,,,,,,?,,559,,2339 kj(559 kcal),,37,,23,,46,,44,,"7,9",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
492,90% cocoa dark chocolate - Wawel,5900102009008,E,['Wawel'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],[],,,[],,44 g,en quantité élevée,28 g,en quantité élevée,11 g,en quantité modérée,0.02 g,en faible quantité,?,,558,+0%,2335 kj(558 kcal),+1%,44,+12%,28,+21%,17,-56%,11,-65%,15,+96%,"0,02",-57%,"0,008",-57%,18,-15%,D,-15%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,
493,Qulinaria kakao,5900102016693,,,,['France'],[],,,[],,,,,,,,,,?,,304,,1272 kj(304 kcal),,10,,6,,14,,0,,23,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
494,Oraechowy peanut butter - Wawel - 44g,5900102019434,,['Wawel'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,44 g,,,,,,,,,
495,Chocolate drink,5900120040212,,,,['France'],[],,,[],,,,,,,,,,?,,198,,828 kj(198 kcal),,14,,"8,7",,13,,12,,"3,8",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,
496,Good Food Medium Choco Rice Cakes Milk 70g,5900125002482,B,['Good food'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']",['France'],[],,,[],,20 g,en quantité modérée,11 g,en quantité élevée,33 g,en quantité élevée,0.17 g,en faible quantité,?,,474,+10%,1983 kj(474 kcal),+10%,20,+69%,11,+72%,66,-7%,33,+160%,"6,4",-13%,"0,17",-7%,"0,068",-7%,19,+126%,E,+126%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,,,,,,,
497,Vitax Herbata Zielona Z Pigwä Liåciasta,5900175431591,,,,['France'],[],,,[],,,,,,,,,,?,,4,,17 kj(4 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
498,Liwka Na£êczowska 190G Solidarno¦æ - Solidarnosc - 190g,5900189002466,,['Solidarnosc'],,['France'],"['huesososuspartes', ' FR ENROBÉE DU CHOCOLAT ', '40%', ' Ingrédients prunes candies ', 'prunes', 'sucre', 'sirop de glucose-fructose', ""régulateur d'acidité acide citrique"", 'sucre', 'pâte de cacao', 'beurre de cacao', 'graisse végétale ', 'de palme', ' partiellement hydrogénée', 'cacao maigre en poudre ', '2%', 'lait écrémé en poudre', 'sirop de glucose', 'graisse de lait', 'émulsifiants ', 'lécithine de soja', 'polyricinoléate de polyglycérol', 'arômes Informations nutritionelles pour 100 g: Énergie 1821 kJ/ 434 kal Graisses 18 g', 'dont: acides gras saturés 11 g', ' Glucidis 62 sucres 60 g', ' Protéines 3,6 g', ' Sel 0,04 g', ' Malgré tous les efforts rié: au contrôle de la qualité', 'le produit peut contenir des graine']","['E330 - Acide citrique', 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E570 - Acide stéarique']",['Soja'],"['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,434,,1816 kj(434 kcal),,18,,11,,62,,60,,"3,6",,"0,04",,"0,016",,,,,,,,,,,,,,190 g,,,,,,,,,
499,Sliwka,5900189006402,,,,['France'],[],,,[],,,,,,,,,,?,,434,,1816 kj(434 kcal),,18,,11,,62,,60,,"3,6",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,
500,Sliwka,5900189006402,,,,['France'],[],,,[],,,,,,,,,,?,,434,,1816 kj(434 kcal),,18,,11,,62,,60,,"3,6",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,
501,Wyborowa Vodka - 500ml,5900191013917,C,['Wyborowa'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Vodkas', 'Vodkas polonaises']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,['Déconseillé aux femmes enceintes'],500 ml,"['Bouteille', 'Verre']",['Pologne'],,,,,,,
502,"Crispy Natural Getrocknete Karotten Mit Paprika, 12er Pack (12 x 15 G)",5900238963069,,['Crispy NATURAL'],,['France'],"['Carrot', 'dried tOmatO concentrate', 'dried onion', 'curry ', 'cumin', 'turmeric', 'coriander', 'fenugreek', 'chilli', 'ginger', 'garlic', 'black pepper', 'sea salt', 'paprika', 'turmeric', 'Cayenne pepper', 'nutmeg', 'dried garlic juice']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,347,,1452 kj(347 kcal),,"1,4",,"0,3",,"69,4",,"51,7",,"4,7",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,
503,Crispy Natural Chrupsy Apple With Strawberry Juice Dried Chips 18 G,5900238963960,,['Chrupsy'],,['France'],[],,,[],,,,,,,,,,?,,362,,1515 kj(362 kcal),,"0,6",,"0,2",,"81,2",,"72,9",,"1,9",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
504,Maxx Deep Ridge Salsa Flavoured,5900259070609,,,,['France'],[],,,[],,,,,,,,,,?,,514,,2151 kj(514 kcal),,30,,10,,52,,"2,5",,"6,2",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,
505,Lupienky Lay´s Solené 77G,5900259083203,,"[""Lay's""]",,['France'],[],,,[],,,,,,,,,,?,,526,,2201 kj(526 kcal),,52,,30,,"5,6",,"4,4",,1,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,
506,Cheetos pizza,5900259083579,,['Cheetos'],,['France'],[],,,[],,,,,,,,,,?,,508,,2125 kj(508 kcal),,27,,"3,8",,53,,"3,3",,11,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,
507,Galaletka,5900288750176,,,,['France'],[],,,[],,,,,,,,,,?,,50,,209 kj(50 kcal),,0,,0,,11,,11,,"1,7",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,
508,Bestf Ketchup Pik.250G - Tortex,5900300545650,,['Tortex'],,['France'],"['TORTEX KETCHUP PIKANTNY sktadniki: koncentrat pomidorowy ', '34%', 'woda cukier', 'ocet', 'skrobia modytlkowana', 'blonnik', 'séj regulator kwasowoSci ', 'kwas cytrynowy', 'substancja konserwujqca ', 'benzoesan sodu', 'pieprz czarny', 'kolendra', 'tymianek', 'oregano', 'czaber', 'szatwia', 'aromate odiywaa w 100 g: energia - 400 kJ /']",,,[],,,,,,,,,,?,,15,,63 kj(15 kcal),,3,,1,,5,,4,,60,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
