,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,manufacturing,traceability_code,generic_name,ingredients_origins,link,markets,palm_ingredients,brand_owner
1833,Tartelettes au Cacao - Alsace,6111242970953,D,['Alsace'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Tartes', 'Biscuits', 'Biscuits au chocolat', 'Tartelettes', 'Tartelette au chocolat']",['France'],"['Farine de blé', 'sucre', 'matières grasses végétales', 'sirop de glucose-fructose', 'poudre de cacao', 'lactosérum en poudre', 'sel', 'bicarbonate de sodium ', 'E50', ""bicarbonate d'ammonium "", 'E503', 'pyrophosphate acide de soude ', 'E450', 'lécithine de soja ', 'E322', 'arôme autorisé']","['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", ""E503 - Carbonates d'ammonium"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E322 - Lécithines']","['Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,19.8 g,en quantité modérée,13.5 g,en quantité élevée,37 g,en quantité élevée,0.15 g,en faible quantité,?,,481,-0%,2013 kj(481 kcal),-1%,"19,8",-23%,"13,5",-9%,"69,6",+25%,37,+23%,"6,3",+3%,"0,15",-63%,"0,06",-63%,24,+12%,E,+12%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,"['Sachet', 'Plastique']",,,,,,,,
1834,El Ouazzania,6111243080040,,['El Ouazzania'],,['France'],"['Olijfolie sal éte pers} Produit du ,Maroc Produit of Storocco l', 'an', 'l van herkomst Marokko']",,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,9,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,['Bio'],,,,,,,,,,
1835,filets de saumon - les Domaine,6111243384155,,['les Domaine'],,['France'],"['Le saumon esta Scié des plus fins gourmets', ' Sélectionné avec le plus grand soin et fumé aditionnelle', 'il apportera une touche de raffinement à vos plats', "" de manièr Le saumon Les 'naines a profité de toute rexpertise des spécialis e aino p•"", ""23%1i2018 'n Aghbal à Azrou"", 'pour vous offrir le meilleur', ' E:22%2/2018 NOLOT:SF050118 ôngJ', '4Jl Ci-a-', 'j ü-i-', 'àa-o og', 'o-Lu1Jl 0-51J-', 'îJ ! à-gl', 'ic-J 0 9-n', 'é ', 'é', 'èJJl ég5Jl 0-0 ! ', 'gJju JL', 'Œi â r ', 'JÂéjl 10512 ', 'Q', ""'"", 'J eà', 'iij I Eth', 'aJl lijjg dèlJ à', 'u', 'oJ Ô', 'LA', '&J I ô', ' Les Domaines']",,,[],,,,,,,,,,?,,196,,820 kj(196 kcal),,"11,3",,3,,"0,9",,"0,2",,"22,6",,3,,"1,2",,,,,,,,,,,,,['Entrepreneurs + Engagés'],,,,,,,,,,
1836,couscous calibre moyen,6111243620468,,,,['France'],[],,,[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,2,,0,,72,,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,Semoule  de blé dur fine,6111243620499,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales', 'Semoules de blé', 'Semoules de blé dur']",['France'],[],,,[],,2 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,,,?,,112,-68%,469 kj(112 kcal),-69%,2,+4%,0,-100%,72,+2%,1,-63%,12,-1%,,,,,,,,,69.1%,16.2%,7.3%,3.3%,4.1%,0.0%,80,,,,,,,,,,,
1838,Cheveux d'ange 500g,6111243620895,,,,['France'],[],,,[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,2,,0,,72,,0,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,Couscous complet - Dalia,6111243621137,,['Dalia'],,['France'],['CoUscUUs comp 20 en fibVés naturelles'],,,[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,2,,1,,72,,1,,12,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,
1840,Thé - Stéphanie Janah Freres,6111243640848,B,['Stéphanie Janah Freres'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions']",['France'],"[""Sre 'ANAH FRERES""]",,,[],,,,,,,,,,?,,20,+186%,84 kj(20 kcal),+250%,8,+18000%,6,+41567%,11,+1382%,5,+1016%,15,+8327%,8,+140745%,"3,2",+140745%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,
1841,Petits Maquereaux à l'huile de soja pimentee,6111243810173,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,ICE,6111243860956,,,,['France'],[],,,[],,,,,,,,,,?,,51,,213 kj(51 kcal),,0,,0,,"12,9",,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1843,Ice tonic -,6111243860994,,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Eau tonique', 'Boissons avec sucre ajouté']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,2.4 g,en quantité élevée,?,,39,+39%,163 kj(39 kcal),+41%,0,-100%,0,-100%,"9,7",+47%,0,-100%,0,-100%,"2,4",+26101%,"0,96",+26101%,16,+79%,E,+79%,,,,,,,,,,,,,,,,,,
1844,Filets de sardines sans arêtes,6111245501437,,,,['France'],[],,,[],,,,,,,,,,?,,349,,1460 kj(349 kcal),,"32,04",,6,,0,,0,,"17,28",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,
1845,Olives vertes pimentées - Cartier,6111245661858,,['Cartier'],,['France'],"['Olives vertes', 'eau', 'sel', 'piments', 'acidifiant : acide citrique ', ' -oner,']",['E330 - Acide citrique'],,[],,,,,,,,,,?,,165,,690 kj(165 kcal),,"16,2",,"2,5",,"5,4",,"5,4",,"0,6",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,
1846,Poudre pour boisson au cacao - 425g,6111246309469,D,['Cacao'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre']",['France'],"['Sucre', 'cacao en poudre', 'amidon de mais', 'lécithine et arômes']",['E322i - Lécithine'],,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,425 g,,,,,,,,,
1847,Luncheon,6111246420713,,,,['France'],[],,,[],,,,,,,,,,?,,133,,556 kj(133 kcal),,"7,76",,"7,76",,"9,9",,"9,9",,"7,36",,15,,6,,,,,,,,,,,,,['Halal'],,,,,,,,,,
1848,Farine de mais,6111246551530,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de maïs']",['France'],[],,,[],,1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,345,-2%,1443 kj(345 kcal),-2%,1,-41%,0,-100%,"76,5",+1%,0,-100%,"7,5",+24%,,,,,,,,,70.6%,1.8%,11.3%,11.7%,4.5%,0.0%,93,['en:gluten-free'],,,,,,,,,,
1849,Pain complet au son -,6111246580219,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,Safilait,6111246953495,,,,['France'],[],,,[],,,,,,,,,,?,,100,,418 kj(100 kcal),,3,,2,,"16,5",,"13,5",,3,,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,
1851,Croquants à l'ecorce d'orange,6111248160600,,,,['France'],[],,,[],,,,,,,,,,?,,460,,1925 kj(460 kcal),,18,,12,,68,,20,,6,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,
1852,Vita Choco - Vita Pop's - 1kg,6111248332342,C,"[""Vita Pop's"", 'Agro-Food Industrie']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au chocolat']",['France'],"['Farine de blé', 'maïs 68%', 'sucre', 'sirop de glucose-fructose', 'huile de colza', 'graisse de cacao en poudre réduite 2', '8%', 'sel', 'sucre caramélisé', 'émulsifiant ', 'lécithine de colza', 'arôme ', 'vanilline']",['E322i - Lécithine'],['Gluten'],[],4,2.9 g,en faible quantité,0.5 g,en faible quantité,23 g,en quantité élevée,0.63 g,en quantité modérée,?,,387,-8%,1619 kj(387 kcal),-8%,"2,9",-72%,"0,5",-84%,79,+12%,23,-8%,"9,2",+16%,"0,63",+24%,"0,252",+24%,8,-20%,C,-20%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,"['Halal', 'Fabriqué au Maroc']",1 kg,"['Sachet', 'Plastique']","['Marrakech', 'Maroc']",,Pétales de céréales au chocolat,,,,,
1853,6111248332649,6111248332649,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,Huile d'argan tradition Berbere - Dargan,6111248392025,,['Dargan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', ""Huiles d'argan""]",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,"Orange Marrakech, - Citruma",6111248920013,,['Citruma'],['Boissons'],['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0.1 g,en faible quantité,?,,50,-11%,209 kj(50 kcal),-13%,0,-100%,0,-100%,12,+6%,12,+27%,"0,7",+41%,"0,1",+141%,"0,04",+141%,14,+83%,E,+83%,,,,,,,,,,,,,,,,,,
1856,"Marakech, Jus D'orange 1L",6111248920020,,,,['France'],[],,,[],,,,,,,,,,?,,49,,205 kj(49 kcal),,0,,0,,12,,12,,"0,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
1857,Boisson Pêche - Marrakech - 1L,6111248920037,D,['Marrakech'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de pêche']",['France'],"['Eau', 'sucre', 'jus de pêche concentré', 'acidifiant E330', 'épaississants : ', 'E414', 'E415', 'arômes']","['E330 - Acide citrique', ""E414 - Gomme d'acacia"", 'E415 - Gomme xanthane']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,11.2 g,en quantité élevée,,,?,,50,-2%,209 kj(50 kcal),-3%,0,-100%,0,-100%,"11,2",-8%,"11,2",-2%,"0,2",-48%,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,1 L,"['Brique', 'Carton', 'Plastique']",,,Nectar de Pêche,,,,,
1858,"Marrakech Tropical Nectar - Pineapple, Mango And Orange Juice",6111248920051,D,['Marrakech'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits']",['France'],"['u AUX : : eau', 'à de : ', 'Œange', 'mangtE', ': ', 'E414,E415', ':']","[""E414 - Gomme d'acacia"", 'E415 - Gomme xanthane']",,[],4,0 g,en faible quantité,0 g,en faible quantité,11.5 g,en quantité élevée,0 g,en faible quantité,?,,50,+2%,209 kj(50 kcal),+3%,0,-100%,0,-100%,"11,5",+1%,"11,5",+7%,"0,2",-37%,0,-100%,0,-100%,15,+10%,E,+10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,
1859,Marrakech Pina Colada Drink,6111248920112,C,['Marrakech'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",['France'],"['eau', 'sucre', 'jus à base de concentrés: ', 'ananas', 'orange', 'citron', 'aloé vera', 'lait écrémé', 'huile végétale', 'stabilisants: ', 'E440', 'E410', 'acidifiant E270', 'arômes', 'colorant: E160a', ' Teneur minimum en jus: 20%']","['E440 - Pectines', 'E410 - Gomme de caroube', 'E270 - Acide lactique', 'E160a - Carotènes mélangés']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,0.2 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,?,,48,+7%,201 kj(48 kcal),+7%,"0,2",+27%,0,-100%,12,+15%,12,+25%,"0,1",-70%,0,-100%,0,-100%,15,+122%,E,+122%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,,,,,
1860,Citronnade - Marrakech,6111248920310,,['Marrakech'],"['Boissons', 'Citronnades']",['France'],"['Poids net / Net weight : IL / 33,8 fl', 'oz Importé et distribué par / Imported & Distributed by Fady Import Export - Canada S5141-996-1228 Product of Morocco / Produit du Maroc AG', 'S/ONSSA no BR', '60', '7', '13 Bien agiter avant de servir', ' Servir frais', ' A conserver dans un endroit frais et sec', ' Se conserve 5 jours au réfrigérateur après ouverture', ' Date de production ', ' ', 'P', 'à consemmer de préférence avant fin : ', 'DLUO', 'Lot • de remballage']",,,[],,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,?,,46,+44%,192 kj(46 kcal),+41%,0,-100%,0,-100%,12,+50%,11,+46%,"0,03",-77%,0,-100%,0,-100%,15,+49%,E,+49%,,,,,,,,,,,,,,,,,,
1861,Marrakech jus de clémentine premium,6111248920327,D,['Marrakech'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de clémentine', 'Boissons sans sucre ajouté']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,?,,50,+6%,209 kj(50 kcal),+6%,0,-100%,0,-100%,12,+12%,12,+17%,"0,7",+19%,0,-100%,0,-100%,4,-3%,C,-3%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,
1862,Jus de pomme - Marrakech,6111248920440,,['Marrakech'],['Boissons'],['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0.002 g,en faible quantité,?,,53,-5%,222 kj(53 kcal),-8%,0,-100%,0,-100%,12,+6%,12,+27%,"0,1",-80%,"0,002",-95%,"0,001",-95%,16,+109%,E,+109%,,,,,,,,,,,,,,,,,,
1863,Boisson orange - Marrakech,6111248920501,D,['Marrakech'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,?,,49,+14%,205 kj(49 kcal),+13%,0,-100%,0,-100%,12,+24%,11,+21%,"0,1",-84%,0,-100%,0,-100%,5,+67%,C,+67%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,
1864,Jus de mangue -,6111248920532,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mangue']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,14.5 g,en quantité élevée,2 g,en quantité élevée,?,,62,+19%,259 kj(62 kcal),+19%,0,-100%,0,-100%,"14,5",+17%,"14,5",+25%,"0,2",-26%,2,+19317%,"0,8",+19317%,27,+73%,E,+73%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,
1865,Sukari - 1kg,6111248930067,A,['Sukari'],"['Édulcorants', 'Sucres']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,0 g,en faible quantité,?,,387,-1%,1619 kj(387 kcal),-1%,0,-100%,0,-100%,100,+2%,100,+6%,0,-100%,0,-100%,0,-100%,14,-1%,D,-1%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,1kg,['Carton'],,,,,,,,
1866,Huile d'argan - Matero,6111249470562,,['Matero'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', ""Huiles d'argan""]",['France'],[],,,[],,100 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,,,?,,900,+11%,3766 kj(900 kcal),+9%,100,+9%,19,+10%,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,Olive verte,6111249602536,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes']",['France'],[],,,[],,16 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,3.9 g,en quantité élevée,?,,157,-4%,657 kj(157 kcal),-4%,16,-1%,"2,2",-16%,"2,1",+37%,"0,5",+133%,"0,5",-61%,"3,9",+14%,"1,56",+14%,13,+8%,D,+8%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,,
1868,Olives vertes cassées,6111249602574,,,,['France'],[],,,[],,,,,,,,,,?,,795,,3326 kj(795 kcal),,"19,2",,"2,7",,"3,4",,"0,4",,"0,9",,5,,2,,,,,,,,,,,,,,,,,,,,,,,
1869,Citron confit au vinaigre - BLED Conserves,6111249602673,,['BLED Conserves'],,['France'],"['Citron', 'eau', 'sel', 'vinaigre,E223', ' INGREDIENTENI Citroen', 'water,zout', 'azijn,E223']","['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']",,[],,,,,,,,,,?,,41,,172 kj(41 kcal),,0,,0,,"7,5",,"4,2",,"0,7",,"5,6",,"2,24",,,,,,,,,,,,,,,,,,,,,,,
1870,Citron en saumure,6111249602871,,,,['France'],[],,,[],,,,,,,,,,?,,33,,138 kj(33 kcal),,0,,0,,"7,5",,"0,5",,"0,7",,50,,20,,,,,,,,,,,,,,,,,,,,,,,
1871,Tapenades olives noires - Europolive,6111249604615,C,"['Europolive', 'Zitolive']","['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",['France'],[],,,[],,22.5 g,en quantité élevée,2.8 g,en quantité modérée,0.5 g,en faible quantité,4 g,en quantité élevée,?,,213,-23%,891 kj(213 kcal),-23%,"22,5",-16%,"2,8",-20%,15,+379%,"0,5",+7%,"1,2",-32%,4,+28%,"1,6",+28%,14,-5%,D,-5%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,['Maroc'],,,,,,,
1872,Sauce pour tajine,6111249760250,,,,['France'],[],,,[],,,,,,,,,,?,,87,,364 kj(87 kcal),,5,,"0,5",,17,,6,,3,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,
1873,6111250070010,6111250070010,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,Huile d'olive,6111250310017,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],,,[],,100 g,en quantité élevée,21.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,897,+5%,3753 kj(897 kcal),+5%,100,+5%,"21,8",+56%,0,,0,,0,,0,-100%,0,-100%,7,+14%,C,+14%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
1875,100% huile d'olive - vierge extra,6111250310819,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],,,[],,100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,,,?,,897,+5%,3753 kj(897 kcal),+5%,100,+5%,15,+7%,0,,0,,0,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
1876,Jucy,6111250470230,,,,['France'],[],,,[],,,,,,,,,,?,,52,,218 kj(52 kcal),,0,,0,,12,,12,,"0,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1877,Nouilles instantanees - Macarna,6111250472043,,['Macarna'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",['France'],"['ngédients : : Fer', 'e de blé terdre', 'e*lausteur de goût ', 'glutamate momsodque', 'sel', ',œw', 'd', 'es de potassium', 'eau', ' de goût ', 'glutamate pocdte poudre de poudre de poivre noir pwdre caramel', 'poudre bunc', ' pure de']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,[],4,,,,,,,,,?,,390,+30%,1632 kj(390 kcal),+30%,14,+21%,7,+33%,55,+36%,3,+24%,10,+57%,2,-23%,"0,8",-23%,,,,,,,,,,,,,,,,,,,,,,
1878,Le'cola,6111250472074,,,,['France'],[],,,[],,,,,,,,,,?,,43,,180 kj(43 kcal),,"0,5",,"0,1",,11,,"0,005",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,
1879,Mayonnaise,6111250472234,D,,"['Epicerie', 'Sauces', 'Mayonnaises']",['France'],[],,,[],,71.1 g,en quantité élevée,5.4 g,en quantité élevée,1.7 g,en faible quantité,1.2 g,en quantité modérée,?,,653,+7%,2732 kj(653 kcal),+7%,"71,1",+7%,"5,4",-13%,"1,8",-33%,"1,7",+16%,"1,1",-11%,"1,2",-10%,"0,48",-10%,18,+1%,D,+1%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,
1880,Kayna,6111251460230,,,,['France'],[],,,[],,,,,,,,,,?,,150,,628 kj(150 kcal),,0,,0,,72,,1,,12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1881,Nectar Grenade - Valencia,6111251750195,,['Valencia'],"['Boissons', 'Boissons avec sucre ajouté']",['France'],"['eau', 'jus de grenade ', '23%', 'jus à base de concentré de renade ', '12%', 'sucre', 'acide citrique ', 'E330', 'acide ascorbique ', 'E:300', ' e conserve à température ambiante']",['E330 - Acide citrique'],,[],3,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,?,,45,-47%,188 kj(45 kcal),-49%,0,-100%,0,-100%,12,-39%,12,-34%,"0,1",-81%,0,-100%,0,-100%,15,+26%,E,+26%,,,,,,,,,,,,,,,,,,
1882,Jus orange nectar mangue -,6111251750201,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,11.9 g,en quantité élevée,,,?,,45,-8%,188 kj(45 kcal),-7%,0,-100%,0,-100%,"13,1",+15%,"11,9",+11%,"0,1",-68%,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,
1883,Tonus citron gingembre - Valencia,6111251751291,,['Valencia'],"['Boissons', 'Boissons avec sucre ajouté']",['France'],"['Boisson Citron gingembre à base de concentré de jus FRA de fruits', 'teneur en fruits 1696 minimum', ' eau', 'sucre', 'jus de citron ', '8%', 'extrait de g', 'nqembre 596', 'concentré de gingembre ', '296', 'us Œoranqe 196', 'arôme naturel', 'pectine ', 'E466', ' EG 12', ' acide citrique ', 'E330', 'acide ascorbique ', 'EBOO Se conserve à température amb ante et aU réfrigérateur 3 jours']","['E440 - Pectines', 'E466 - Carboxyméthylcellulose', 'E330 - Acide citrique']",,[],4,0.01 g,en faible quantité,0.01 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,?,,45,-47%,188 kj(45 kcal),-49%,"0,01",-97%,"0,01",-94%,9,-55%,9,-51%,"0,03",-94%,0,-100%,0,-100%,13,+9%,E,+9%,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1884,Jus - Navel,6111251751413,,['Navel'],['Boissons'],['France'],[],,,[],,9 g,en quantité modérée,5.7 g,en quantité élevée,5 g,en quantité modérée,0.58 g,en quantité modérée,?,,24,-57%,100 kj(24 kcal),-59%,9,+2494%,"5,7",+4731%,"5,7",-50%,5,-47%,9,+1715%,"0,58",+1298%,"0,232",+1298%,10,+31%,E,+31%,,,,,,,,,,,,,,,,,,
1885,Spiruline Nutrimax 1 Boite,6111251850048,D,,"['Compléments alimentaires', 'Spiruline']",['France'],[],,,[],,3.3 g,en quantité modérée,1.98 g,en quantité modérée,0 g,en faible quantité,2.3 g,en quantité élevée,?,,330,+31%,1381 kj(330 kcal),+30%,"3,3",-10%,"1,98",+55%,"23,1",+124%,0,-100%,"42,9",-13%,"2,3",+100%,"0,92",+100%,15,+207%,D,+207%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,"['Bio', 'Bio européen', 'en:MA-BIO-154']",,,,,,,,,,
1886,Spiruline,6111251850079,D,,"['Compléments alimentaires', 'Spiruline']",['France'],[],,,[],,0.1 g,en faible quantité,0.06 g,en faible quantité,0 g,en faible quantité,0.07 g,en faible quantité,?,,10,-96%,42 kj(10 kcal),-96%,"0,1",-97%,"0,06",-95%,"0,7",-93%,0,-100%,"1,3",-97%,"0,07",-94%,"0,028",-94%,0,-100%,B,-100%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,"['Bio', 'Bio européen', 'en:MA-BIO-154']",,,,,,,,,,
1887,Saumon pavé surgelés,6111252330488,,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,1,,0,,0,,0,,3,,5,,2,,,,,,,,,,,,,,,,,,,,,,,
1888,Mirinda,6111252420455,,,,['France'],[],,,[],,,,,,,,,,?,,49,,205 kj(49 kcal),,0,,0,,13,,13,,0,,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,,
