,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,ingredients_origins,traceability_code,markets,link,producer_info,origin_detail
815,Mini batonnets saveur crabe - Cora,3257981416987,,,,,['Cora'],,,,['France'],[],,,[],,,,,,,,,,?,,196,,820 kj(196 kcal),,14,,"1,2",,11,,"3,5",,"6,6",,"1,8",,"0,72",,,,,,,,,,,,,,,,['Cora'],,,
816,Cônes Citron Framboise - Cora - 430g (720ml),3257981609242,B,"Sorbet framboise (36,8%) et glace citron (32,6%) dans un cornet biscuit (15,3%) avec chemisage au cacao maigre (8,3%) et un décor sauce framboise (7%)",430 g (720 ml),"['Carton', 'Papier', 'Surgelé']",['Cora'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Cônes glacés']",,['France'],['France'],"['Eau - sucre - sirop de glucose-fructose - purée de framboise 12,9% - farine de blé - jus de citron à base de concentré 5,7% - lait écrémé réhydraté - matières grasses de palmiste', 'palme et coprah - lactose et protéines de lait - crème fraîche - purée de framboise concentrée 1% - poudre de cacao maigre -émulsifiants: lécithines de soja', ""mono- et diglycérides d'acides gras - stabilisants: pectines"", 'gomme guar', 'farine de graines de caroube', ""carraghénanes - jus de citron concentré - arôme naturel de framboise - protéines de pois hydrolysées - colorant: anthocyanes - dextrose - sureau concentré - arôme naturel - correcteur d'acidité: citrates de sodium - arôme naturel d'orange""]","['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E440 - Pectines', 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E163 - Anthocyanes', 'E331 - Citrates de sodium']","['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,6.1 g,en quantité modérée,4 g,en quantité modérée,29.4 g,en quantité élevée,0.07 g,en faible quantité,948,-15%,?,,948 kj(227 kcal),-15%,"6,1",-48%,4,-55%,"39,8",+8%,"29,4",+11%,"2,1",-29%,"0,07",-54%,"0,028",-54%,10,-36%,C,-36%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,['Huile de palme'],,"['EMB 61006C', 'Argentan (Orne, France)']",['Cora'],,,
817,Sablés fourrés noisette - Cora - 125g,3257981663381,C,,125 g,"['Sachet', 'Plastique', 'Etui', 'Carton']",['Cora'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés', 'Biscuits sablés']",['Point Vert'],,['France'],"['Sucre', 'farine de blé', 'graisse et huiles végétales ', 'karité', 'colza', 'tournesol', 'pâte de noisette 4,8%', 'sirop de glucose', 'dextrine', 'beurre pâtissier', 'cacao maigre en poudre', 'œufs', 'lait écrémé en poudre', 'émulsifiants : lécithines', 'sel', ""poudre à lever : carbonates d'ammonium"", 'arômes']","['E1400 - Dextrines', 'E322 - Lécithines', ""E503 - Carbonates d'ammonium""]","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,26 g,en quantité élevée,7 g,en quantité élevée,35 g,en quantité élevée,0.25 g,en faible quantité,2134,+8%,?,,2134 kj(510 kcal),+8%,26,+35%,7,-18%,63,-6%,35,+6%,5,-14%,"0,25",-55%,"0,1",-55%,18,-9%,D,-9%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,['Cora'],,,
818,Craquants fromage & fraines - Cora - 65g,3257981663626,,,65g,,['Cora'],,,,['France'],[],,,[],,,,,,,,,,?,,522,,2184 kj(522 kcal),,"25,1",,10,,"53,6",,"3,8",,"17,2",,"1,5",,"0,6",,,,,,,,,,,,,,,,['Cora'],,,
819,Boulettes au Boeuf - Cora - 900g,3257981677371,,,900 g,"['Sachet', 'Plastique', 'Etui', 'Carton', 'Surgelé']",['Cora'],"['Viandes', 'Surgelés', 'Bœuf', 'Viandes surgelées', 'Préparations de viande', 'Préparations de viande bovine', 'Préparations de viande surgelées', 'Boulettes de viande', 'Boulettes au bœuf']","['Viande Française', 'Viande-bovine-francaise']",,['France'],"['Viande bovine 47,6% ', 'origine France', ' - protéines de soja réhydratées 24% - eau - gras de bovin 3,4% - chapelure ', 'farine de blé - au - levure', ""-sel - arômes-oignons frits à l'huile végétale de tournesol"", ' Traces éventuelles de lait']",,['Gluten'],"['Non végétalien', 'Non végétarien']",3,,,,,,,,,?,,293,,1226 kj(293 kcal),,18,,"9,2",,"4,7",,"0,8",,"18,8",,"2,03",,"0,812",,,,,,,,,,,,,,['France'],"['EMB 71157D', 'Cuiseaux (Saône-et-Loire, France)', 'FR 71.157.028 CE', 'Cuiseaux (Saône-et-Loire, France)']",['Cora'],,,
820,Olives vertes dénoyautées - Cora - 100g,3257981679832,B,,100 g,"['Poche', 'Plastique', 'Sous-vide']",['Cora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives dénoyautées', 'Olives vertes dénoyautées']",,,['France'],"['Olives 58,8%', 'eau', 'sel', 'acidifiant : acide citrique']",['E330 - Acide citrique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,13.9 g,en quantité modérée,2 g,en quantité modérée,0.5 g,en faible quantité,5 g,en quantité élevée,594,-10%,?,,594 kj(142 kcal),-11%,"13,9",-12%,2,-20%,"1,3",-6%,"< 0,5",+167%,1,-7%,5,+49%,2,+49%,7,-40%,C,-40%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,"['EMB 06033A', 'Carros (Alpes-Maritimes, France)']",['Cora'],,,
821,Rillettes de Saumon - Cora,3257981935297,E,,,,['Cora'],"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de saumon', 'en:preparations-made-from-fish-meat']","['Sans colorants', 'Sans conservateurs']",,['France'],[],,,[],,14.8 g,en quantité modérée,2 g,en quantité modérée,0.3 g,en faible quantité,0.94 g,en quantité modérée,?,,194,-12%,812 kj(194 kcal),-12%,"14,8",-14%,2,-59%,"0,3",-86%,"0,3",-67%,"13,3",-1%,"0,94",-18%,"0,376",-18%,2,-77%,B,-77%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,['Cora'],,,
822,Grana padano - Cora - 200g,3257981936966,D,,200 g,,['Cora'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Grana Padano']",['AOP'],,['France'],[],,,[],,29 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,398,+1%,1665 kj(398 kcal),+0%,29,+0%,18,0%,0,-100%,0,-100%,33,0%,"1,5",-1%,"0,6",-1%,15,-1%,D,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,['Cora'],,,
823,Poitrine nature prétranchée - Cora - 300g (3x100g),3257981937208,E,,300g (3x100g),"['Barquette', 'Film en plastique']",['Cora'],"['Viandes', 'Porc', 'Poitrine de porc']",['Fabriqué en France'],,['France'],['Poitrine de porc - sel - dextrose - antioxydant : ascorbate de sodium - conservateur : nitrite de sodium'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,23 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,?,,277,+0%,1159 kj(277 kcal),+2%,23,+3%,10,+18%,"0,5",-47%,"0,5",-24%,17,+3%,2,-15%,"0,8",-15%,20,+4%,E,+4%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,"['FR 56.010.001 CE', 'Baud (Morbihan, France)', 'EMB 56010B', 'Baud (Morbihan, France)']",['Cora'],,,
824,Petites Querelles De Volaille pour garniture - Cora - 400g,3257981939622,D,,400 g,['Bocal'],['Cora'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Quenelles', 'Quenelle de volaille', 'Quenelles de poulet']",,,['France'],[],,,[],,12 g,en quantité modérée,6.7 g,en quantité élevée,0.5 g,en faible quantité,0.54 g,en quantité modérée,?,,171,-8%,715 kj(171 kcal),-6%,12,+2%,"6,7",+17%,11,-7%,"0,5",-20%,"4,5",-28%,"0,54",-49%,"0,216",-49%,7,-28%,C,-28%,84.3%,9.6%,2.5%,2.3%,1.1%,0.3%,37,,,,['Cora'],,,
825,Sirop De Fraise Bio - Nature bio,3257981998049,B,,,,['Nature bio'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de fraise']","['Bio', 'Bio européen', 'FR-BIO-01']",,['France'],[],,,[],,,,,,,,,,?,,20,-93%,84 kj(20 kcal),-93%,"0,5",+401%,"0,1",+322%,"79,9",+14%,"79,9",+17%,"0,1",-1%,0,-100%,0,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,"['EMB 59253', 'Fresnes-sur-Escaut (Nord, France)']",,,,
826,Menthe glaciale - Cora - 70cl,3257982121408,B,,70 cl,,['Cora'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",['Point Vert'],,['France'],[],,,[],,,,,,,,,,?,,309,+29%,1293 kj(309 kcal),+26%,"0,5",+355%,"0,1",+237%,"76,5",+24%,"76,5",+29%,0,-100%,"0,02",-10%,"0,008",-10%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,['Cora'],,,
827,Ravioli Végétarien Au Tofu Et Au Basilic - Nature bio,3257982123518,,,,,['Nature bio'],['Raviolis végétariens'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,,[],,3.8 g,en quantité modérée,0.5 g,en faible quantité,4.2 g,en faible quantité,0.57 g,en quantité modérée,?,,98,,410 kj(98 kcal),,"3,8",,"0,5",,"11,8",,"4,2",,"2,8",,"0,57",,"0,228",,0,,B,,,,,,,,,,,,,,,
828,"Thé Fruits rouges - Cora - 42,5g",3257982160841,A,Thé noir aromatisé aux fruits rouges,"42,5 g","['Carton', 'Sachets']",['Cora'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés noirs', 'Thés aromatisés', 'Thés noirs aromatisés', 'Boissons sans sucre ajouté']",,,['France'],"['Thé noir 72% - arômes 23% - fruits 5% ', 'fraise', 'framboise', 'groseille', 'mûre', 'cerise']",,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,"['EMB 43089A', 'Espaly-Saint-Marcel (Haute-Loire, France)']",['Cora'],,,
829,Pur jus de pomme frais Bio - Nature bio,3257982267731,B,,,,['Nature bio'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,9.7 g,en quantité élevée,0 g,en faible quantité,?,,42,-9%,176 kj(42 kcal),-8%,"0,5",+178%,"0,1",+197%,"10,5",-5%,"9,7",-7%,"0,5",+128%,0,-100%,0,-100%,3,-28%,C,-28%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,
830,Demi-baguettes précuites de campagne - Nature Bio - 2x 125g,3257982267878,A,Demi-baguettes précuites de campagne issues de l'agriculture biologique,2 x 125 g,"['Sous-vide', 'Sachet']",['Nature Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes', 'Pains précuits']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01']",,['France'],"['Farine de blé** 52% - eau - levain issu de farines de seigle** et de blé malté** - farine de seigle** 4,5% - gluten de blé** - sel - levure - anioxydant : acide ascorbique', "" ** issus de l'Agriculture Biologique"", ' Traces éventuelles d’œufs', 'soja', 'lait', 'fruit à coque', 'moutarde et graines de sésame']",,['Gluten'],[],4,0.8 g,en faible quantité,0.2 g,en faible quantité,3 g,en faible quantité,1.29 g,en quantité modérée,1072,-1%,253,-0%,1072 kj(253 kcal),+0%,"0,8",-68%,"0,2",-64%,"51,4",+7%,3,0%,"8,3",+8%,"1,29",+4%,"0,516",+4%,0,-100%,B,-100%,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,"['EMB 76018', 'Val-de-Saâne (Seine-Maritime, France)']",,,,
831,100 % pur jus 4 agrumes - Cora - 1L,3257982269469,C,Jus de 4 agrumes,1 L,"['Brique', 'Carton']",['Cora'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', 'Jus de fruits pur jus', 'Jus multifruits pur jus']","['Point Vert', 'Pur jus', '100\xa0% Pur Fruit Pressé', 'Eco-Emballages']","['Fruité (Groupe Britvic) - 389 Rue Ingénieur Sansoube - ZI Les Afforêts - 74800 La Roche-sur-Foron', 'Haute-Savoie', 'Auvergne-Rhône-Alpes', 'France']",['France'],"[""Jus d'orange - jus de clémentine - jus de pamplemousse - jus de citron""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,10.8 g,en quantité élevée,0 g,en faible quantité,196,-2%,?,,196 kj(47 kcal),-2%,~ 0,-100%,~ 0,-100%,11,-1%,"10,8",+4%,"0,5",+16%,~ 0,-100%,0,-100%,5,+11%,C,+11%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,"['EMB 74224F', 'Roche-sur-Foron (Haute-Savoie, France)']",['Cora'],,,
832,Compote De Pomme - Cora - 400g (4 * 100g),3257983000023,B,,400 g (4 * 100 g),,['Cora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']",,,['France'],[],,,[],,0.5 g,en faible quantité,0.2 g,en faible quantité,14.9 g,en quantité élevée,0 g,en faible quantité,308,+15%,73,+12%,308 kj(73 kcal),+13%,"0,5",+52%,"0,2",+130%,16,+12%,"14,9",+15%,"0,5",+33%,0,-100%,0,-100%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,['Cora'],,,
833,Puree de pomme sans sucres ajoutes - Cora,3257983000092,,,,,['Cora'],,,,['France'],[],,,[],,,,,,,,,,?,,56,,234 kj(56 kcal),,"0,6",,"0,2",,"11,8",,"10,6",,"0,5",,0,,0,,,,,,,,,,,,,,,,['Cora'],,,
834,Viande égrénée De Boeuf - Cora,3257983003536,,,,,['Cora'],,['Fabriqué en France'],,['France'],"['VIANDE HACHÉE PUR BŒUF SURGELÉE - ingrédient : 100% viande bovine', ' origine : France', 'Pourcentage de matières grasses inférieur à sur protéines de viande inférieur à 15%', ' Elaboré en France']",,,"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,225,,941 kj(225 kcal),,15,,"5,3",,"0,5",,"0,5",,22,,"0,2",,"0,08",,,,,,,,,,,,,,,,['Cora'],,,
835,Dessert de pomme framboise sans sucres ajoutes - Cora,3257983030808,B,,,,['Cora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']",['Sans sucre ajouté'],,['France'],"['Purée de pommes 84,7% - purée de framboises - jus concentré de sureau - arôme naturel de frambois oxydant acide ascorbique']",,,[],1,0.5 g,en faible quantité,0.2 g,en faible quantité,9.5 g,en quantité modérée,0.01 g,en faible quantité,?,,52,-20%,218 kj(52 kcal),-20%,"0,5",+52%,"0,2",+130%,"10,5",-27%,"9,5",-27%,"0,5",+33%,"0,01",+18%,"0,004",+18%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,['Cora'],,,
836,Comté - Nature bio - 200g,3257983144420,D,,200 g,['Sachet en plastique'],['Nature bio'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['Bio'],,['France'],"['*Apport de référence pour un adulte-type ', '8 400 kJ -']",,,[],,34.6 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,0.8 g,en quantité modérée,?,,418,+5%,1749 kj(418 kcal),+6%,"34,6",+6%,"22,5",+4%,0,-100%,0,-100%,"26,7",+6%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['EMB 25155A', 'Cléron (Doubs, France)']",,,,
837,Filets de Cabillaud Panés sans arête - Cora - 220g,3257983346619,E,"Filets de cabillaud enrobés de chapelure, cuits à coeur",220 g,"['Sous atmosphère protectrice', 'Barquette', 'Plastique', 'Barquette en plastique', 'Film en plastique']","['Cora', 'Cora dégustation']","['Produits de la mer', 'Poissons', 'Plats préparés', 'Filets de poissons', 'Préparations de poisson', 'Produits panés', 'Morues', 'Poissons panés', 'Poissons panés de cabillaud', 'Filets de cabillaud']",,,['France'],"['Filets de cabillaud 65%', 'enrobage 35% : chapelure ', 'farine de blé', 'levure', 'sel', 'enrobant ', 'farine de blé', 'eau', 'gluten de blé', 'sel', 'huiles végétales ', 'tournesol', 'colza', ',']",,"['Poisson', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,9.6 g,en quantité modérée,0.98 g,en faible quantité,0.6 g,en faible quantité,0.15 g,en faible quantité,?,,216,+13%,904 kj(216 kcal),+15%,"9,6",+17%,"0,98",+17%,"18,6",+15%,"0,6",-49%,"13,2",+5%,"0,15",-77%,"0,06",-77%,-4,,A,,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,,,"['FR 56.094.004 CE', 'Kervignac (Morbihan, France)']",['Cora'],,,
838,Ourson chocolat au lait - Cora,3257983348484,,,,,['Cora'],,['Arômes naturels'],,['France'],"['GUIMAUVES OURSONS LAIT Guimauves fantaisies enrobées de chocolat au lait ', '25%', ' Inqrédients Sirop de glucose - chocolat au lalt 25% ', 'sucre - beurre de cacao poudre de ait entier - pâte de cacao - lactosérum émulsifiant : lécithine de soja - arôme naturel de /anille', ' - sucre - eau - dextrose - gélatine de porc - arôme vanille - protéines de lait', ' r races éventuelles de gluten', 'dlarachides et de fruits à coque', '/aleurs movennes pour 100q Energie 1502 kJ ']","['E322i - Lécithine', 'E428 - Gélatine']","['Lait', 'Fruits à coque']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,356,,1490 kj(356 kcal),,7,,5,,68,,63,,3,,1,,"0,4",,,,,,,,,,,,,,,"['EMB 59599C', 'Tourcoing (Nord, France)']",['Cora'],,,
839,Preparation d'abricots et d'amandes - Cora degustation,3257983357141,,,,,['Cora degustation'],,,,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,180,,753 kj(180 kcal),,"1,4",,"0,33",,"39,8",,"39,8",,1,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
840,Trio de fleurettes - Cora - 600.0g,3257983529302,,,600.0 g,['Sachet'],['Cora'],,,,['France'],[],,,[],,,,,,,,,,?,,30,,126 kj(30 kcal),,"0,6",,"0,1",,"2,5",,"1,4",,"2,4",,"0,05",,"0,02",,,,,,,,,,,,,,,,['Cora'],,,
841,Boudin noir aux Pommes - Cora - 250g (2x 125g),3257983581911,C,Boudin noir aux pommes,250 g (2 x 125 g),"['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique', 'Barquette sécable', 'Sous-vide', 'Etui', 'Carton']",['Cora'],"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Frais', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux pommes', 'Boudin noir sauté']","['Fabriqué en France', 'Recette traditionnelle']","['Société des Rillettes Bahier (SDRB) - Route de Paris - D 323 - 72160 Sceaux-sur-Huisne', 'Sarthe', 'Pays de la Loire', 'France']",['France'],"['Sang de porc', 'gras de porc', 'oignons', 'pommes poêlées caramélisées 12 % ', 'pommes 73 %', 'sucre', 'caramel ', 'sucre', 'eau', 'beurre', 'eau', 'couenne de porc', 'sucre', 'sel', 'épices', 'plantes aromatiques', ' Enveloppe : boyau naturel de porc']",,['Lait'],"['Non végétalien', 'Non végétarien']",3,20 g,en quantité modérée,8 g,en quantité élevée,6 g,en quantité modérée,1.3 g,en quantité modérée,1024,+7%,?,,1024 kj(245 kcal),+4%,20,+8%,8,+12%,6,+17%,6,+45%,10,-6%,"1,3",+10%,"0,52",+10%,13,-4%,D,-4%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,"['France', 'Porc']","['FR 72.331.001 CE', 'Sceaux-sur-Huisne (Sarthe, France)']",['Cora'],,,
842,Galette des rois à la frangipane - Cora - 400g,3257983656329,D,Pâte feuilletée au beurre au fourrage à la frangipane 34%,400g,['Carton'],['Cora'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,['France'],"['Farine de blé', 'beurre concentré 24%', 'sucre', 'eau', 'amandes en poudre 5%', 'oeufs frais pasteurisés', 'lactose et protéines de lait', 'sel', 'rhum', 'arômes', 'poudres à lever : diphosphates', 'carbonates de sodium', ' gluten de blé', 'lait écrémé en poudre', 'colorant : caroténoïdes', 'agent de traitement de la farine : L-cystéine']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E160 - Caroténoïdes', 'E920 - L-Cystéine et ses chlorhydrates']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,29 g,en quantité élevée,18 g,en quantité élevée,13 g,en quantité élevée,0.879 g,en quantité modérée,1912,+4%,?,,1912 kj(457 kcal),+9%,29,+10%,18,+22%,42,+9%,13,+1%,"6,2",-2%,"0,879",+26%,"0,352",+26%,18,-6%,D,-6%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,"['EMB 49058', 'Cerqueux (Maine-et-Loire, France)', 'EMB 80120A', 'Bouillancourt-en-Séry (Somme, France)']",['Cora'],,,
843,Pavé de saumon avec peau sans arête - Nature Bio - 250g,3257983720952,D,,250 g,"['Barquette', 'Plastique']",['Nature Bio'],"['Produits de la mer', 'Poissons', 'Frais', 'Saumons']","['Bio', 'Bio européen', 'FR-BIO-01', 'FR-BIO-10', 'AB Agriculture Biologique']",,['France'],"['Saumon Atlantique ', 'Salmo Salar']",,['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,['Irlande'],"['FR 62.160.729 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",['Cora'],,,
844,Ananas en tranches - Cora - 227g (136g égoutté),3257983721232,,,227 g (136 g égoutté),['Conserve'],['Cora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits en conserve au jus', 'Ananas en conserve', 'Ananas au jus']",,,['France'],"['Ananas', ""jus d'ananas"", ""correcteur d'acidité : acide citrique""]",['E330 - Acide citrique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.5 g,en faible quantité,0 g,en faible quantité,10 g,en quantité modérée,0.01 g,en faible quantité,226,-3%,?,,226 kj(54 kcal),-4%,"< 0,5",+201%,0,-100%,"12,2",-7%,10,-16%,"< 0,5",+27%,"< 0,01",-26%,"0,004",-26%,-4,,A,,,,,,,,,,,,['Cora'],,,
845,"Sauce à cuisiner pour Fajitas douce, 430g - Cora",3257983795271,,,,['pot verre'],['Cora'],,,,['France'],[],,,[],,,,,,,,,,?,,40,,167 kj(40 kcal),,"0,5",,"0,1",,"8,5",,"4,5",,1,,"2,5",,1,,,,,,,,,,,,,,,,['Cora'],,,
846,Eau aromatisée citron citron vert - Cora - 500ml,3257983875935,,,500 ml,,['Cora'],"['Boissons', 'Eaux', 'Eaux aromatisées']","['Peu ou pas de sucre', 'Sans conservateurs', 'Sans sucre']",,"['France', 'Suisse']",[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.03 g,en faible quantité,?,,1,-89%,4 kj(1 kcal),-89%,0,-100%,0,-100%,"0,5",-77%,0,-100%,0,-100%,"0,03",+133%,"0,012",+133%,1,-71%,B,-71%,,,,,,,,,,,['Cora'],,,
847,Chair de tomates au basilic - Cora - 400g,3257983891782,B,,400 g,"['Conserve', 'métal']",['Cora'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates au basilic']",,,['France'],"['Chair de tomates pelées 83 % - concentré de tomates 8 % - oignons 4 % - huile de tournesol - sel - amidon transformé de maïs - sucre - épices et plantes aromatiques ', 'dont feuilles de basilic déshydratées 0,16 %', ' - arôme naturel de basilic']",['E14XX - Amidons modifiés'],,[],4,1.6 g,en faible quantité,0.2 g,en faible quantité,4.2 g,en faible quantité,0.975 g,en quantité modérée,?,,47,-28%,197 kj(47 kcal),-26%,"1,6",-47%,"0,2",-54%,"5,5",-10%,"4,2",-15%,"1,3",-18%,"0,975",+14%,"0,39",+14%,-3,-1399%,A,-1399%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,['Cora'],,,
848,Yaourt Brassé nature - Cora,3257983938104,,,,,['Cora'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts brassés', 'Yaourts brassés nature']",,,['France'],"['Lait entier - origine : France', ' - protéines de lait - minéraux  du lait - ferments lactiques']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,3.5 g,en quantité modérée,2.3 g,en quantité modérée,3.6 g,en faible quantité,0.1 g,en faible quantité,252,-20%,?,,252 kj(60 kcal),-23%,"3,5",-25%,"2,3",-24%,"3,6",-24%,"3,6",-18%,"3,7",-8%,"0,1",-17%,"0,04",-17%,0,-100%,B,-100%,,,,,,,,,,,['Cora'],,,
