,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,brand,labels,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,traceability_code,brand_owner,additives,allergens,nova_score,packaging,generic_name,manufacturing,ingredients_origins,link,palm_ingredients
1773,Dîner riz curry,44527266,['France'],[],[],?,94,"1,7","10,4","8,6",,,393 kj(94 kcal),1,"1,1","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,Cognac VSOP,3257980633156,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,Oatmeal coconut and chia seeds - 60g,5708229112522,['France'],[],[],?,400,6,72,13,,,1674 kj(400 kcal),"1,1",21,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 g,,,,,,,,,,,,
1776,Bonpreu,8422410146314,['France'],[],[],?,?,?,?,?,['Bonpreu'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,Formule energie,3770011594801,['France'],[],[],?,382,"11,4",41,"20,08",,,1598 kj(382 kcal),"3,6","12,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,Chateau la Tour Carnet,3760117903744,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,Patatas Totas S / Jamon - 100g,8422114141967,['France'],[],[],?,546,34,"55,6","5,3",,['en:gluten-free'],2284 kj(546 kcal),"5,1","2,1","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,
1780,Macaron,0202632019027,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,,,,,,,,,,,,,,,,,,,,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,,
1781,Tiptree Post Box Trio,0043647593047,['France'],[],[],?,269,0,66,1,,,1125 kj(269 kcal),0,66,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,Chips de banane - 250g,3360563096337,['France'],[],[],?,502,27,66,"1,8",,,2100 kj(502 kcal),25,17,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,,
1783,Pate de campagne - 280g,3760028311744,['France'],[],[],?,244,19,"2,2",16,,,1021 kj(244 kcal),"6,9",1,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280 g,,,,,,,,,,,,
1784,Chipolatas au choux,0279392015484,['France'],[],[],?,165,"10,1","0,9","17,1",,,690 kj(165 kcal),4,"0,5","1,24","0,496",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",10.1 g,en quantité modérée,4 g,en quantité modérée,0.5 g,en faible quantité,1.24 g,en quantité modérée,,-31%,-31%,-47%,-45%,-23%,-21%,+11%,-31%,-31%,5,-70%,C,-70%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,
1785,8420474021011,8420474021011,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,Pinyo petit,8413428040121,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,Tetly Thé Vert - Tetley,5014328021680,['France'],[],[],?,0,0,0,0,['Tetley'],,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,Coop Naturaplan,2112497008808,['France'],[],[],?,?,?,?,?,['Coop Naturaplan'],"['Bio', 'Bio européen', 'IT-BIO-004', 'Fabriqué en Italie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Tunel De Mallorca Alcool,8414037233683,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,Jambon cru Salaison des vallons,3770001251066,['France'],[],[],?,195,"9,07","1,77","26,6",,,816 kj(195 kcal),"3,29","0,3","6,1","2,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 17396', ""Saint-Sauveur-d'Aunis (Charente-Maritime, France)"", 'FR 17.396.001 CE', ""Saint-Sauveur-d'Aunis (Charente-Maritime, France)""]",,,,,,,,,,
1791,Patlican salatasi,8680395187795,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,Pizza bio,3394927189243,['France'],[],[],?,178,"7,2",22,"6,3",,"['Bio', 'Bio européen', 'FR-BIO-16']",745 kj(178 kcal),"2,7","4,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 38.565.001 CE', 'Voreppe (Isère, France)']",,,,,,,,,,
1793,Panecillos - El Corte Ingles,8433329068789,['France'],[],[],?,258,"1,2",53,"7,8",['El Corte Ingles'],,1079 kj(258 kcal),"0,4","2,7","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,Miness,8904006291054,['France'],[],[],?,467,"15,4",76,"5,4",,,1954 kj(467 kcal),7,"36,4","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,75CL Vin De Pays D'oc Rouge Domaine Bastide 2010,3569401002015,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,
1796,Batonnets fourres,3250392063122,['France'],[],[],?,163,9,12,"6,9",,['Nutriscore'],682 kj(163 kcal),"2,3","2,7","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Gourmet croquetas de queso azul caseras - Croquetas Ricas,8437016736050,['France'],[],[],?,208,"9,8","23,3","6,7",['Croquetas Ricas'],,870 kj(208 kcal),"5,2","2,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,Rôti porc cuit,0281452023223,['France'],[],[],?,170,"3,2","1,4",22,,,711 kj(170 kcal),"3,2",0,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Viande bovine à griller - Charal,0292472032478,['France'],[],[],?,113,"2,3",0,23,['Charal'],"['Viande Française', 'Viande-bovine-francaise']",473 kj(113 kcal),"0,8",0,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,Cellier Des Princes Chateaunef Du Pape,3436965131133,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
