,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,allergens,nova_score,labels,markets,additives,ingredients_origins,manufacturing,traceability_code,generic_name,link,brand_owner,palm_ingredients,producer_info
1051,Fèves Tonka - fuchs - 10g,4068300560293,,['Fuchs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",['France'],['Fèves Tonka entières'],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,10g,,,,,,,,,,,,,,,,,,"['métal', 'Plastique']",,,,['Auchan'],,,,,fèves de tonka,http://www.epices-fuchs.fr,,,
1052,Maggi hôtel spicy,14198843,C,['Maggi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Piments', 'Piments rouges']",['France'],['eur énergétique 267 kJ/'],[],?,,?,,?,,?,,?,,87.9%,0.0%,0.0%,5.3%,5.5%,1.2%,70,,,,,,,,,,,,,,,,,,,,,,,,['Bouteille'],,,,,,,,,,,,,
1053,Haribo Berries - 200g,01126013,,['Haribo'],,['France'],"['sucre', 'sirop de glucose', 'eau', 'gélatine', 'gélifiant ', 'agar-agar', 'acidifiant ', 'acide citrique', 'colorant ', 'charbon végétal', 'extrait de baie de sureau', 'arôme', 'concentrés de fruits et de plantes ', 'cassis', 'baie de sureau', 'aronie', 'raisin', ""agent d'enrobage "", "" core d'abeille blanche et jaune"", 'cire de carnauba']","['Non végétalien', 'Non végétarien']",?,,350,,"0,5",,86,,"1,1",,,,,,,,,1464 kj(350 kcal),"0,1",70,"0,01","0,004",200g,,,,,,,,,,,,,,,,,,['Sachet'],,4,,,"['E428 - Gélatine', 'E406 - Agar-agar', 'E330 - Acide citrique', 'E153 - Charbon végétal médicinal', 'E903 - Cire de carnauba']",,,,,,,,
1054,Naturactive Circulation Stick Fluide - 15sticks,3700026997182,,['Circulation'],,['France'],[],[],?,,10,,10,,20,,20,,,,,,,,,42 kj(10 kcal),5,"0,5",0,0,15 sticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Boulettes de poulet - Père Dodu,3596690763501,,['Père Dodu'],,['France'],[],[],?,,163,,"7,8",,"4,5",,18,,,,,,,,,682 kj(163 kcal),2,"1,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Nutriscore', 'Nutriscore B', 'Volaille-francaise']",,,,,,,,,,
1056,Riz Spécial dessert - Vivien Paille - 500g,3039820120251,B,['Vivien Paille'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz à grain court']",['France'],[],[],?,,350,-0%,"0,6",-26%,78,+0%,"7,4",+6%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,1464 kj(350 kcal),"0,1",0,0,0,500 g,0.6 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-0%,-50%,-100%,-100%,-100%,0,,B,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],,,,,,,
1057,56246582,56246582,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Jambon de Reims,3760168111532,,,,['France'],[],[],?,,107,,5,,1,,14,,,,,,,,,448 kj(107 kcal),1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Vinaigre de vin,5601070000508,B,,"['Vinaigres', 'Vinaigres de vin']",['France'],[],[],?,,?,,?,,?,,?,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Huile d'amande,3155700000533,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', ""Huiles d'amande""]",['France'],[],[],?,,828,+13%,92,+12%,0,,0,,,,,,,,,3464 kj(828 kcal),"7,3",0,0,0,,92 g,en quantité élevée,7.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+12%,+3%,,,,10,+6%,C,+6%,,,,,,,,,,,,,,
1061,Raib - Chergui,6111126000424,,['Chergui'],,['France'],[],[],?,,76,,"1,6",,13,,"2,5",,,,,,,,,318 kj(76 kcal),0,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Hellmann's tatarska omáčka - 1,8712100406249,,['Hellmann’s'],,"['République tchèque', 'France']",[],[],?,,400,,41,,"8,2",,"0,8",,,,,,,,,1674 kj(400 kcal),"3,2","5,2","1,8","0,72",1,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
1063,Madeleinettes,3760050923427,,,,['France'],[],[],?,,445,,"21,8",,"55,4",,"6,3",,,,,,,,,1862 kj(445 kcal),"2,2","24,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Yaourts Caresse nature sucré - Yoplait - 12,3297560129808,,['Yoplait'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']","['France', 'La Réunion']",[],[],?,,96,+4%,"3,3",+1%,"11,9",+8%,"3,6",-5%,,,,,,,,402 kj(96 kcal),"2,2","11,9","0,14","0,056",12,3.3 g,en quantité modérée,2.2 g,en quantité modérée,11.9 g,en quantité modérée,0.14 g,en faible quantité,+5%,+7%,+18%,+22%,+22%,3,-2%,C,-2%,['pack de 12'],,,,,,['La Réunion'],['la reunion'],['61248430'],,,,,
1065,Le Pavé - thon tomates marinées salade - Monoprix,3350033582231,C,['Monoprix'],"['Sandwichs', 'Sandwichs au poisson', 'Sandwichs au thon', 'en:raw-vegetable-sandwiches']",['France'],[],[],?,,245,+10%,"8,7",+2%,31,+23%,"9,6",-1%,74.8%,8.9%,5.2%,8.3%,2.3%,0.6%,64,1025 kj(245 kcal),"0,7","2,6","0,99","0,396",,8.7 g,en quantité modérée,0.7 g,en faible quantité,2.6 g,en faible quantité,0.99 g,en quantité modérée,+10%,-32%,-6%,-8%,-8%,2,+148%,B,+148%,,,,,['Monoprix'],,,,,,,,,
1066,Jus d'orange - Fan - 1L,5290074003198,D,['Fan'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]","['France', 'Niger']","[""jus d'orange fabriqué à partir de jus d'orange concentré""]",[],?,,51,+19%,"0,5",+163%,"10,8",+12%,"0,5",-20%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,213 kj(51 kcal),0,"8,8",0,0,1 L,0.5 g,en faible quantité,0 g,en faible quantité,8.8 g,en quantité élevée,0 g,en faible quantité,+17%,-100%,-3%,-100%,-100%,4,+33%,C,+33%,['Brique plastique'],,,,,,,['Chypre'],,,,,,
1067,Gouda Jung -,4311501645116,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas jeunes']","['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,Basilic Thai - Ayam - 13g,9556041131490,,['Ayam'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']","['Belgique', 'France']",['BASILIC THAÏ'],"['Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,,,,,,,,,,,,,13 g,,,,,,,,,,,,,,,,,,"['Bocal', 'Verre']",,,"['Bio', 'Végétarien', 'Halal', 'Sans exhausteur de goût', 'Sans OGM', 'Végétalien', '100% naturel', '100% végétal', 'Sans glutamate', 'Sans conservateurs']",,,['Thaïlande'],['Thailande'],,Basilic Thai biologique,http://www.ayam.fr/fr/tous-autres/649-organic-thai-basil-13g.html,,,
1069,3700281702576,3700281702576,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,
1070,Tiffany Wafer Chocolate,6291003005602,,,,['France'],[],[],?,,488,,24,,60,,8,,,,,,,,,2042 kj(488 kcal),19,36,12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,L'escargot Noir Saveur Framboise - Lanvin,7613036482585,,['Lanvin'],,['France'],[],[],?,,569,,38,,48,,"6,9",,,,,,,,,2381 kj(569 kcal),13,45,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Demae Ramen - Nissin,5997523363154,,['Nissin'],,"['Belgique', 'France']",[],[],?,,84,,"3,5",,"10,5",,"2,1",,,,,,,,,351 kj(84 kcal),"1,9","0,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,
1073,Mmm ! Moutarde au curry - Auchan - 210g,3596710463220,B,['Auchan'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes au curry']",['France'],"['Eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sucre', 'sel', ""miel destiné à l'industrie"", 'curry 2', '4% ', 'curcuma', 'moutarde', 'coriandre', 'fenugrec', 'fenouil', 'oignon', 'gingembre', 'sel', 'cannelle', 'badiane', 'poivre', 'acidifiant: acide citrique', 'antioxydant: disulfite de potassium', 'épice', 'arôme naturel de gingembre', 'arôme naturel de clou de girofle', 'arôme naturel de cannelle', 'arôme naturelle de muscade']",[],?,,120,-32%,"4,9",-60%,11,+52%,"5,4",-27%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,502 kj(120 kcal),"0,3",11,"3,6","1,44",210g,4.9 g,en quantité modérée,0.3 g,en faible quantité,11 g,en quantité modérée,3.6 g,en quantité élevée,-32%,-67%,+183%,-27%,-27%,8,-34%,C,-34%,['bocal en verre'],"['Moutarde', 'Anhydride sulfureux et sulfites']",4,['Nutriscore'],['Auchan'],"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,
1074,Eminces de poulet provençale,3435660763533,,,,['France'],[],[],?,,113,,"3,1",,5,,19,,,,,,,,,473 kj(113 kcal),"0,6",1,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,chipolatas - u bio - 5,02232263,,['u bio'],"['Viandes', 'Porc']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,['Pack'],,,"['Bio', 'Bio européen', 'Viande Française', 'FR-BIO-01', 'Viande Porcine Française']","['Super U', 'Magasins U']",,,,,,,,,
1076,20111984,20111984,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Mmm ! Mayonnaise Thaï au piment et au gingembre - 125g,3596710463251,D,"['Mmm!', 'Auchan']","['Epicerie', 'Sauces', 'Mayonnaises']",['France'],"['Huile de tournesol', ""jaune d'oeuf"", 'piment rouge 4%', 'gingembre 3', '5%', 'moutarde de Dijon ', 'contient sulfites', ' ', 'graine de moutarde', ""vinaigre d'alcool"", 'eau', 'sel', 'vinaigre de cidre ', 'contient sufites', 'sel', 'eau', 'citronnelle', 'coriandre', 'persil', ""blanc d'oeuf"", 'extrait de romarin']",['Non végétalien'],?,,720,+17%,79,+19%,"1,1",-59%,"1,8",+46%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,3012 kj(720 kcal),"8,6","0,5","1,5","0,6",125g,79 g,en quantité élevée,8.6 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,+18%,+39%,-66%,+13%,+13%,22,+23%,E,+23%,,"['Œufs', 'Moutarde', 'Anhydride sulfureux et sulfites']",3,"['Nutriscore', 'Nutriscore E']",['Auchan'],['E392 - Extrait de romarin'],,,,mayonnaise au piment et au gingembre,,,,
1078,"Espresso origin brazil - Nespresso - 50capsules, 315g, 11.1once",7630039687540,,['Nespresso'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,"50 capsules, 315g, 11.1 once",,,,,,,,,,,,,,,,,,['Boite'],,,['Fabriqué en Suisse'],['Nestlé France'],,,,,,,,,
1079,Impact Whey Isolate - MyProtein,5055534341841,,['MyProtein'],,['France'],[],[],?,,372,,"0,3",,"5,9",,86,,,,,,,,,1556 kj(372 kcal),"0,2","5,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
1080,La Planete Des Epices curcuma - Spigol,3102870040289,,['Spigol'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,mixed garden - Jardinière - Fit food - 100g,5420005753032,,['Fit food'],,"['France', 'La Réunion']","['eau,huile de candla stabilisants ', 'caraghénane', 'gomme de xanthane,farine de graines de caroube', 'mélange légumes ', '49%', ' ', 'carottes', 'oignons"" poireaux', 'panais', 'al', 'persil', 'protéine de pois', 'épices', 'sel de mer', 'sucre', 'agent acidulant ', 'citrate de calcium', 'concentré de betterave rouge']","['Végétalien', 'Végétarien']",?,,184,,16,,"2,8",,"3,6",,,,,,,,,770 kj(184 kcal),"1,4","2,8","1,5","0,6",100g,,,,,,,,,,,,,,,,,,,,4,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'BE-BIO-01']",,"['E415 - Gomme xanthane', 'E410 - Gomme de caroube']",,,,TRANCHES VEGETALIENNES JARDINIERE,,,,
1082,Gazpacho - Netto - 1l,3250392610623,B,['Netto'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",['France'],[],[],?,,44,+7%,"2,6",+6%,4,+19%,"0,8",+2%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,184 kj(44 kcal),"0,4","3,4","0,7","0,28",1l,2.6 g,en faible quantité,0.4 g,en faible quantité,3.4 g,en faible quantité,0.7 g,en quantité modérée,+6%,+4%,+33%,+5%,+5%,3,+152%,C,+152%,,,,,['Netto'],,,,,,,,,
1083,"Frischäse Cremissee, Olive - Cremisée",20123543,,['Cremisée'],['Produits laitiers'],"['France', 'Allemagne']",[],[],?,,242,-2%,23,+28%,"2,5",-49%,6,-52%,,,,,,,,1013 kj(242 kcal),"16,1","2,5","1,5","0,6",,23 g,en quantité élevée,16.1 g,en quantité élevée,2.5 g,en faible quantité,1.5 g,en quantité modérée,+0%,+35%,-39%,+95%,+95%,19,+86%,E,+86%,['stück'],,,"['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2018 de la Société Allemande d'Agriculture"", 'Sans OGM', 'en:Ohne Gentechnik']",,,,,,,,,,
1084,Novo Sal,8470002427013,,,,['France'],[],[],?,,17,,0,,0,,0,,,,,,,,,71 kj(17 kcal),0,0,34,"13,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Ifri Premium Soda,6130093059884,,['Ifri'],,['France'],[],[],?,,51,,0,,"12,9",,0,,,,,,,,,213 kj(51 kcal),0,"12,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,Acide Alpha Lipoïque,3700195678240,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,The VERT DU JAPON SENCHA - Lima,5411788042741,,['Lima'],"['Boissons', 'Boissons sans sucre ajouté']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,,,,,,,,,
1088,Maxi flan,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Lait entier des campagnes Françaises - auchan - 1litre,3596710465224,,['Auchan'],,['France'],[],[],?,,64,,"3,6",,"4,8",,"3,2",,,,,,,,,268 kj(64 kcal),"2,2","4,8","0,11","0,044",1 litre,,,,,,,,,,,,,,,,,,['Bouteille'],,,,['Auchan'],,,,"['EMB 60157B', 'Clermont (Oise, France)', 'EMB 82121Y', 'Montauban (Tarn-et-Garonne, France)', 'EMB 59461', 'Petit-Fayt (Nord, France)']",,,,,
1090,Mélange De Superfruits Bio En Poudre - Biotona,5412360007523,,['Biotona'],,['France'],[],[],?,,334,,"6,8",,51,,"6,1",,,,,,,,,1397 kj(334 kcal),"1,1",31,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
1091,07707306,07707306,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,
1092,Café En Grains Trésor De Peuples - Cafés Chapuis,3487772020127,E,['Cafés Chapuis'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']",['France'],[],[],?,,?,,?,,?,,?,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Max Havelaar']",,,,,,,,,,
1093,Pain de Ménage,0260502009189,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Chips aux legumes -,20221638,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",['France'],[],"['Végétalien', 'Végétarien']",?,,512,-0%,37,+25%,32,-41%,5,-13%,,,,,,,,2142 kj(512 kcal),3,20,1,"0,4",,37 g,en quantité élevée,3 g,en quantité modérée,20 g,en quantité élevée,1 g,en quantité modérée,-0%,-3%,+751%,-25%,-25%,16,+37%,D,+37%,,,,"['Végétarien', 'Végétalien', 'Agriculture UE/Non UE']",,,,,,,,,,
1095,"Le Bonifieur, Dosettes souples, cafe decafeine, le sachet de 32 - café le Bonifieur - 224g 32dosettes",3429733222454,,['café le Bonifieur'],['Décaféiné'],['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,224g 32 dosettes,,,,,,,,,,,,,,,,,,,,,,['intermarché'],,,['40992'],,,,,,
1096,Milchschnitte Himbeere -  - 5x 28g,8000500211830,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",['France'],[],[],?,,388,+322%,"22,9",+600%,38,+245%,"6,5",+72%,,,,,,,,1623 kj(388 kcal),"13,9",32,"0,546","0,218",5 x 28 g,22.9 g,en quantité élevée,13.9 g,en quantité élevée,32 g,en quantité élevée,0.546 g,en quantité modérée,+323%,+578%,+217%,+375%,+375%,23,+652%,E,+652%,,,,,,,,,,,,,,
1097,Crème de marrons - Les Comtes de Provence - 480g,3324494200225,C,['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",['France'],"['marrons 55%', 'sucre de canne', 'extrait de vanille', 'vanille poudre']",[],1408,+34%,?,,"1,6",+113%,79,+31%,"1,8",+64%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,1408 kj(337 kcal),"0,3",61,"0,01","0,004",480 g,1.6 g,en faible quantité,0.3 g,en faible quantité,61 g,en quantité élevée,0.01 g,en faible quantité,+34%,+107%,+22%,-47%,-47%,13,+13%,D,+13%,"['Pot', 'Verre']",,3,['Agriculture UE'],,,,"['France', 'Peyruis', 'Provence']",,Crème de marrons,,,,
1098,Huile de Soja - Jadida - 1L,6194000802499,C,['Jadida'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de légumineuses', 'Huile de soja']",['France'],['Huile de soja enrichie en vitamine A'],[],?,,900,+3%,100,+3%,0,,0,,85.6%,3.7%,5.4%,2.6%,2.6%,0.0%,64,3766 kj(900 kcal),16,0,0,0,1 L,100 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+3%,-1%,,,,12,+1%,D,+1%,"['Bouteille', 'Plastique']",['Soja'],,,,,,,,Huile de soja enrichie en vitamine A - Huile de Soja,,,,
1099,Abricots au sirop BIO - Les Comtes de Provence - 380g,3324498001163,A,['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Abricots au sirop']",['France'],"['abricots 65%', 'sirop de sucre pure canne ', 'eau', 'sucre de canne', 'acidifiant: jus concentré de citron']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,46,-35%,0,-100%,11,-25%,"0,7",+54%,29.9%,36.7%,16.9%,8.5%,8.0%,0.0%,96,192 kj(46 kcal),0,11,0,0,380 g,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité modérée,0 g,en faible quantité,-35%,-100%,-20%,-100%,-100%,0,,B,,"['Pot', 'Verre']",,3,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,"['Peyruis', 'France', 'Provence']",,Abricot au sirop,,,,
1100,"Whey Gold Standard (2,2 KG) Optimum Nutrition P?",0748927028690,,['optimum nutrition'],['Compléments alimentaires'],"['France', 'Espagne']",[],[],?,,375,+29%,"2,9",-54%,"4,5",-76%,24,-30%,,,,,,,,1569 kj(375 kcal),"1,9","3,8","0,658","0,263",,2.9 g,en faible quantité,1.9 g,en quantité modérée,3.8 g,en faible quantité,0.658 g,en quantité modérée,+30%,-24%,-47%,+19%,+19%,2,-70%,B,-70%,,,,,,,,,,,,,,
1101,Confit Fig'olive - Les comtes de Provence - 210g,3324492501171,,['Les comtes de Provence'],"['Epicerie', 'Condiments']",['France'],"['Figues moelleuse 31', '6%', 'eau', 'olives noires 29', '5%', ""huile d'olive"", 'jus de citron', 'génépi']",[],"633,11",-15%,?,,"8,59",+45%,"17,38",+33%,"1,16",-73%,,,,,,,,"633,11 kj(151 kcal)","1,07","15,64","0,66","0,264",210 g,8.59 g,en quantité modérée,1.07 g,en faible quantité,15.6 g,en quantité élevée,0.66 g,en quantité modérée,+6%,+69%,+129%,-88%,-88%,5,-50%,C,-50%,"['Pot', 'Verre']",,3,,,,,"['Peyruis', 'France', 'Provence']",,Confit figues et olives,,,,
1102,Smoofizz fruits crazy sodas - Lutti - 420g,3116740035060,E,['Lutti'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],?,,407,+14%,"7,3",+292%,85,+2%,"0,3",-86%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,1703 kj(407 kcal),"4,2",58,"0,57","0,228",420g,7.3 g,en quantité modérée,4.2 g,en quantité modérée,58 g,en quantité élevée,0.57 g,en quantité modérée,+14%,+296%,0%,+371%,+371%,21,+46%,E,+46%,,,,['en:gluten-free'],,,,,,,,,,
1103,Chocolate con leche con galleta - El Corte Inglés,8433329088381,D,['El Corte Inglés'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits tablette de chocolat', 'Biscuits au chocolat au lait', 'Biscuits tablette de chocolat au lait']","['France', 'Espagne']",[],[],?,,492,-2%,23,-3%,62,-3%,"6,3",-7%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,2059 kj(492 kcal),15,34,"0,8","0,32",,23 g,en quantité élevée,15 g,en quantité élevée,34 g,en quantité élevée,0.8 g,en quantité modérée,-2%,+3%,-8%,+40%,+40%,26,+7%,E,+7%,,,,,,,,,,,,,,
1104,Naturela - Organic - 50g,3700110014443,,['Organic'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,50g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Blanc de poireaux,3559400006008,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,,,,,
1106,Beurre cru de baratte,3760091000033,E,,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de baratte']",['France'],[],[],?,,?,,?,,?,,?,,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 25.467.001 CE', 'Pouilley-les-Vignes (Doubs, France)']",,,,,
1107,100% whey prime vanilla - Prozis,5600380896139,,['Prozis'],"['Compléments alimentaires', 'es:proteinas']","['France', 'Espagne']",[],[],?,,100,-71%,"1,4",-60%,"1,2",-79%,42,-42%,,,,,,,,418 kj(100 kcal),"0,8","0,8","0,15","0,06",,1.4 g,en faible quantité,0.8 g,en faible quantité,0.8 g,en faible quantité,0.15 g,en faible quantité,-72%,-59%,-71%,-76%,-76%,-4,-199%,A,-199%,,,,,,,,,,,,,,
1108,Tonic barre pistaches et sel - Mel Tonic - 25grs,3760115097087,,['Mel Tonic'],,['France'],[],[],?,,305,,13,,"36,26",,"5,9",,,,,,,,,1276 kj(305 kcal),2,"24,2","1,9","0,76",25 grs,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
1109,Spicy'ween - Haribo,3103220043967,,['Haribo'],,['France'],[],[],?,,351,,"0,5",,80,,6,,,,,,,,,1469 kj(351 kcal),"0,1",51,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Huile d'olive saveur truffe,3760194206363,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive saveur truffe""]",['France'],[],[],?,,?,,?,,?,,?,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 83129', 'Six-Fours-les-Plages (Var, France)']",,,,,
