,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,markets,additives,allergens,nova_score,packaging,labels,manufacturing,generic_name,traceability_code,palm_ingredients,link,brand_owner,producer_info
1922,Infusion Articulation,3515450040140,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
1923,Œuf de cigogne,3760111202232,,,,['France'],[],[],,,,,,,,,?,,517,,2163 kj(517 kcal),,27,,14,,62,,60,,"5,1",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,Caramel au beurre salé - Carabreizh,3760029245772,,['Carabreizh'],,['France'],[],[],,,,,,,,,?,,409,,1711 kj(409 kcal),,11,,"7,1",,75,,54,,"3,2",,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,Carpaccio marinade basilic citron - Charal,3181238977177,,['Charal'],,['France'],[],[],,,,,,,,,?,,255,,1067 kj(255 kcal),,21,,"3,4",,"0,6",,0,,16,,"0,54",,"0,216",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1926,Huile olive - Terra Delyssa,6191509907953,D,['Terra Delyssa'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",['France'],[],[],91.2 g,en quantité élevée,19.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,821,-4%,3435 kj(821 kcal),-4%,"91,2",-4%,"19,3",+38%,0,,0,,0,,0,-100%,0,-100%,7,+14%,C,+14%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,
1927,Mon ptit gâteau abricot -,3517472466090,,,"['Biscuits et gâteaux', 'Gâteaux']",['France'],[],[],18 g,en quantité modérée,2.2 g,en quantité modérée,31 g,en quantité élevée,0.47 g,en quantité modérée,?,,381,-5%,1594 kj(381 kcal),-5%,18,-8%,"2,2",-71%,48,-3%,31,+11%,5,-8%,"0,47",-23%,"0,188",-23%,13,-27%,D,-27%,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore D']",,,,,,,
1928,Mentos Spearmint 3x14er Multipack,87108743,,['Mentos'],,['France'],[],[],,,,,,,,,?,,389,,1628 kj(389 kcal),,"1,9",,"1,8",,93,,69,,0,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,22182913,22182913,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-006']",,,,,,,
1930,Petites seiches grillées - 150g,3523680439658,,,,['France'],[],[],,,,,,,,,?,,247,,1033 kj(247 kcal),,22,,"2,5",,"0,5",,0,,11,,"0,98",,"0,392",,,,,,,,,,,,,150 g,,,,,,,,,,,,,,
1931,Early sprint - 290ml,8855044011992,,,,['France'],[],[],,,,,,,,,?,,110,,460 kj(110 kcal),,0,,0,,28,,10,,1,,0,,0,,,,,,,,,,,,,290 ml,,,,,,,,,,,,,,
1932,Melody pops,87345315,,,,['France'],[],[],,,,,,,,,?,,386,,1615 kj(386 kcal),,0,,0,,95,,87,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,Jus de citron a base de concentré - Victoria,8000483301580,D,['Victoria'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,2.4 g,en faible quantité,0.1 g,en faible quantité,?,,31,+15%,130 kj(31 kcal),+16%,"0,2",+41%,0,-100%,"6,9",+93%,"2,4",+45%,"0,4",+19%,"0,1",+1015%,"0,04",+1015%,-3,,B,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,
1934,L'OREILLETTE,3286631370003,,,,['France'],[],[],,,,,,,,,?,,546,,2284 kj(546 kcal),,35,,3,,51,,17,,5,,"0,44",,"0,176",,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,"['EMB 34259A', ""Saint-Georges-d'Orques (Hérault, France)""]",,,,
