,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,markets,additives,allergens,nova_score,packaging,labels,manufacturing,generic_name,traceability_code,palm_ingredients,link,brand_owner,producer_info
57,Yoghoustra banane poire - 1kg,3274360900011,C,['Yoghoustra'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits']",['France'],"['lait', 'sucre', 'fruits 8%', 'E202', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,1 kg,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],3,"['Frais', 'Bouteille']",,,,"['FR 67.520.003 CE', 'Wasselonne (Bas-Rhin, France)']",,,,
58,Barre tendre - Kirkland,0096619281954,,['Kirkland'],['en:Snacks  Snacks sucrés  Barres'],['France'],"['granola ', ""flocons d'avoine entière"", 'sucre', 'huile de canola', 'mélasse qualité fantaisie', 'bicarbonate de sodium', 'lécithine de soya', 'glucose', 'brisures de chocolat ', 'liqueur de chocolat', 'sucre', 'lécithine de soya', 'extrait de vanille', 'riz croustillant [farine de riz', 'sucre', ""extrait de malt d'orge "", 'solides de sirop de maïs', ""extrait de malt d'orge"", 'carbonate de calcium', 'sel]', 'sucre', 'fructose', 'huile de canola', 'glycérine', 'noix de coco séchée non sucrée', 'lécithine de soya', 'sel', 'flocons de blé', 'substances laitières modifiées', 'acide ascorbique', 'arôme naturel', "" contient : de l'avoine"", 'du soya', ""de l'orge"", 'du blé et du lait']",[],12 g,en quantité modérée,4 g,en quantité modérée,28 g,en quantité élevée,1 g,en quantité modérée,?,,400,,1674 kj(400 kcal),,12,,4,,72,,28,,4,,1,,"0,4",,17,,D,,,,,,,,,,,,['E422 - Glycérol'],,4,,['Sans colorants'],,,,,,,
59,Miel de fleurs - Apiculture Monnet et fils Chez - 1kg,3760258410095,B,['Apiculture Monnet et fils Chez'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels français']",['France'],['miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,1 kg,['Naturel'],['Intermarché'],,,2,['pot verre'],,['Queyras'],,,,,,
60,Miel d'avocatier d'Espagne -,3664335000363,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'avocatier""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,
61,Champignon émincé - Mes légumes fraîcheur - 250g,26062020,,['Mes légumes fraîcheur'],,['France'],[],[],,,,,,,,,?,,29,,121 kj(29 kcal),,"0,5",,"0,1",,"2,6",,"2,1",,"2,7",,"0,01",,"0,004",,,,,,,,,,,,,250 g,,,,,,['Barquette'],,,,,,,,
62,Curcuma bio,5400141427615,,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Colruyt'],,,,,['Bio'],,,,,,,
63,Creme aux pistaches,0832661005243,,,,['France'],[],[],,,,,,,,,?,,566.66666666667,,2371 kj(566 kcal),,"33,333",,"6,667",,"53,333",,"46,667",,"10,667",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Morilles déshydratées - Franprix,3263851862617,,['Franprix'],,['France'],[],[],,,,,,,,,?,,256,,1071 kj(256 kcal),,"3,8",,"0,4",,"21,3",,"3,5",,"29,5",,"0,15",,"0,06",,,,,,,,,,,,,,,['Franprix'],,,,,,,,,,,,
65,Theralica draineur,3760235010898,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,+bon Reduct. 0.50e Creme Vi Olette 15%V Heritier Guyot,3104760004128,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Aloe vera,8858947450615,,,,['France'],[],[],,,,,,,,,?,,23,,96 kj(23 kcal),,0,,0,,"5,6",,5,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Double concentre de tomates,5400141005950,,,['en:canned-double-concentrate-tomato-paste'],['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0.1 g,en faible quantité,?,,91,-1%,381 kj(91 kcal),-2%,"0,5",-19%,0,-100%,16,+6%,14,-1%,"4,5",-2%,"0,1",-85%,"0,04",-85%,2,,B,,,,,,,,,,,['Colruyt'],,,,,,,,,,,,
69,Steaks hachés 5% matiere grasse,20296438,E,,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",['France'],[],[],5 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,0.22 g,en faible quantité,?,,125,-33%,523 kj(125 kcal),-33%,5,-60%,"2,2",-58%,"0,5",+144%,0,-100%,20,+5%,"0,22",+0%,"0,088",+0%,-2,-173%,A,-173%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,,,,,
70,Sirop The Chai,3376370138009,,,,['France'],[],[],,,,,,,,,?,,292,,1222 kj(292 kcal),,0,,0,,73,,67,,0,,"0,88",,"0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Marshmallows,5010511476398,,,,['France'],[],[],,,,,,,,,?,,328,,1372 kj(328 kcal),,0,,0,,"78,5",,"62,3",,"3,4",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Huile de noix - Moulin Méjane - 75cl,3760048700412,D,['Moulin Méjane'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noix']",['France'],[],[],100 g,en quantité élevée,9.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+2%,3766 kj(900 kcal),+3%,100,+2%,"9,1",-3%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,5,-7%,C,-7%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,75 cl,,,,,,['Bouteille en verre'],"['Sans additifs', 'Sans conservateurs']",['Aveyron'],,,,,,
73,Guimauves artisanales,5413791000206,,,,['France'],[],[],,,,,,,,,?,,364,,1523 kj(364 kcal),,9,,"7,8",,"68,1",,"58,9",,"2,7",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Terrine d'oie aux châtaignes,3329260205190,,,,['France'],[],[],,,,,,,,,?,,286,,1197 kj(286 kcal),,"24,4",,"9,1",,"2,3",,"0,8",,"14,2",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,"['EMB 58199A', 'Onlay (Nièvre, France)']",,,,
75,Amandes décortiquées,2600112027094,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",['France'],[],[],49.9 g,en quantité élevée,3.8 g,en quantité modérée,4.2 g,en faible quantité,1 g,en quantité modérée,?,,645,+3%,2699 kj(645 kcal),+3%,"49,9",-3%,"3,8",-5%,"21,5",+64%,"4,2",+7%,"21,1",-6%,1,+4174%,"0,4",+4174%,5,,C,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,,,
76,Dots mi choc - E.LECLERC - 0.200kg,,B,['E.LECLERC'],"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],"['farine ', 'BLÉ', ' huiles et graisses végétales', 'palme', 'colza', ' eau', ' sucre', ' pâte de cacao', ' dextrose', ' beurre de cacao', ' levure', ' poudre de LAIT écrémé', ' matière grasse laitière anhydre ', 'LAIT', ' farine de SOJA', ' poudre de LAIT entier', ' sel', ' emulsifiant', 'E471', ' stéaryl de sodium lactylé', ' E472e', ' lécithines de SOJA', 'E476', ' poudre à lever', 'E450i', 'E500ii', ' ', ' lactosérum en poudre', 'LAIT', ' arômes']","['Huile de palme', 'Non végétalien']",27 g,en quantité élevée,13 g,en quantité élevée,14 g,en quantité élevée,10 g,en quantité élevée,?,,432,+6%,1807 kj(432 kcal),+6%,27,+18%,13,+23%,41,-8%,14,-17%,"6,8",+15%,10,+953%,4,+953%,28,+44%,E,+44%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,0.200 kg,,['e. leclerc'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']","['Gluten', 'Lait', 'Soja']",4,['Boite'],,['Belgique'],,,['Huile de palme'],,,
77,Ximi xurri chiliade douce aux herbes,3584384331143,,,,['France'],[],[],,,,,,,,,?,,458,,1916 kj(458 kcal),,48,,"6,6",,"3,7",,"1,1",,"1,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Confiture extra griottes - Collines en Limousin - 340g,3517830000065,D,['Collines en Limousin'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,52 g,en quantité élevée,0 g,en faible quantité,?,,223,+0%,933 kj(223 kcal),+0%,0,-100%,0,-100%,53,-2%,52,+1%,"0,9",+40%,0,-100%,0,-100%,11,+12%,D,+12%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,340 g,,,,,,,,,,,,,,
79,Champagne,20712907,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,BOLOGNESE - servivita,8413412209343,E,['Servivita'],"['Epicerie', 'Produits à la viande', 'Sauces', 'Sauces à la viande', 'Sauces pour pâtes', 'Sauce tomate à la viande', 'Sauces bolognaises']","['France', 'Espagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,2 g,en quantité élevée,?,,4,-95%,17 kj(4 kcal),-95%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,2,+82%,"0,8",+82%,8,+251%,C,+251%,91.7%,4.0%,1.7%,1.5%,0.7%,0.5%,24,,,,,,,,,,,,,,,
81,Farine épeautre ancien - Biocoop - 1kg,3558630110035,A,['Biocoop'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de froment', 'Farines de blé type T110', ""Farines d'épeautre"", ""Farines d'épeautre T110""]",['France'],"['Épeautre ', 'blé*', ' Contient du gluten']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.8 g,en faible quantité,0.2 g,en faible quantité,1.5 g,en faible quantité,0 g,en faible quantité,?,,345,-0%,1443 kj(345 kcal),-0%,"1,8",+20%,"0,2",-10%,68,-0%,"1,5",+2%,12,+4%,0,-100%,0,-100%,-6,,A,,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,1 kg,['France'],['Biocoop'],,['Gluten'],1,"['Sachet', 'Papier']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Point Vert', 'Triman']","['Marcilly La Campagne', 'Eure', 'France']",,,,,,
82,Farfalle - Granoro,8007290000170,,['Granoro'],,['France'],[],[],,,,,,,,,?,,352,,1473 kj(352 kcal),,"2,4",,"0,6",,67,,"3,4",,"11,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Loempia au poulet et légumes - Delhaize - 500g,5400111279671,B,['Delhaize'],"['Surgelés', 'Plats préparés', 'Rouleaux de printemps']","['Belgique', 'France']","['LOEMPIA: farine de blé', 'eau', 'filet de poitrine de poulet cuit 12% ', 'poulet', 'sel', 'germes de soja', 'poireau', 'oeuf', 'carotte', 'oignon', 'poivron', 'huile végétale ', ""navette d'hiver"", 'tournesol', 'petit pois', 'mélange herbes [sel amidon modifié de pomme de terre', 'stabilisant ', 'hydroxypropylméthylcellulose', 'lactose', 'extraits de levure', 'sirop de glucose', 'sucre', 'épices ', 'piments', 'oignon en poudre', 'curcuma', 'graines de céleri', 'clou de girofle', 'poivre', 'céleri', 'huile de navette', 'maltodextrine', 'arômes', 'herbe ', 'laurier', 'persil', 'acidifiant ', 'acide citrique', 'huile de tournesol', ""arôme naturel d'oignon]"", 'sucre', 'sel', 'émulsifiant [lécithine de navette ', 'blé', 'antioxydant ', 'acide ascorbique', '\rSAUCE: sucre', 'eau', 'vinaigre', 'paprika', 'ail', 'poivron rouge', 'amidon modifié', 'sel', 'oignon', 'amidon de riz', 'acidifiant ', 'acide citrique']","['Non végétalien', 'Non végétarien']",1.7 g,en faible quantité,0.2 g,en faible quantité,7.9 g,en quantité modérée,1.5 g,en quantité modérée,?,,137,-16%,573 kj(137 kcal),-15%,"1,7",-67%,"0,2",-77%,22,+3%,"7,9",+128%,"7,1",+49%,"1,5",+21%,"0,6",+21%,2,-50%,B,-50%,48.7%,15.5%,7.3%,11.0%,3.7%,13.8%,84,500 g,,['Delhaize'],"['E464 - Hydroxypropylméthylcellulose', 'E330 - Acide citrique', 'E322i - Lécithine', 'E300 - Acide ascorbique', 'E14XX - Amidons modifiés']","['Céleri', 'Œufs', 'Gluten', 'Lait']",4,['Carton'],,,Loempia précuit et surgelé aux légumes et au poulet,,,,,
84,Kaneel stokjes Boni - 15g,5400141098044,,['Boni'],,"['Belgique', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,15 g,,['Colruyt'],,,,,,,,,,,,
85,Sirop gourmand La Gosse Litchi,3585264000012,,,,['France'],[],[],,,,,,,,,?,,36,,151 kj(36 kcal),,0,,0,,9,,9,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Xdurance Blueberry, Pomegranate and Acai Can",5000382033677,,,,['France'],[],[],,,,,,,,,?,,21,,88 kj(21 kcal),,"0,5",,"0,1",,"5,3",,"4,7",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
87,P'tit miam - Maison Roucadil,3595120021525,,['Maison Roucadil'],,['France'],[],[],,,,,,,,,?,,274,,1146 kj(274 kcal),,"0,8",,"0,1",,53,,"40,5",,"3,2",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Cacau a la tassa - Bonpreu,8422410166657,,['Bonpreu'],,['France'],[],[],,,,,,,,,?,,379,,1586 kj(379 kcal),,3,,"1,5",,79,,58,,6,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Pavé céréales 3 meuniers,,,,,['France'],[],[],,,,,,,,,?,,280,,1172 kj(280 kcal),,4,,"0,9",,24,,"3,3",,"0,2",,"8,6",,"3,44",,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Piña en su zumo - Juver,8410707102990,,['Juver'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits en conserve au jus', 'Ananas au jus']","['France', 'Espagne']","['ananas', ""jus d'ananas et acidifiant "", 'acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.1 g,en faible quantité,0 g,en faible quantité,11.6 g,en quantité modérée,0 g,en faible quantité,?,,55,-2%,230 kj(55 kcal),-3%,"0,1",-40%,0,-100%,"13,2",+1%,"11,6",-3%,"0,4",+1%,0,-100%,0,-100%,-3,,A,,,,,,,,,,,,['E330 - Acide citrique'],,1,,,,,,,,,
91,Curix - Joris Sweets - 13g,5410404019280,E,['Joris Sweets'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']","['Belgique', 'France']","['LICORICE', 'REGLISSE', 'ZOETHOUT', 'LAKRITZ NETTOGEWICHT 13g NET WEIGHT-POIDS NET ', 'MENTHOL den', 'MMER AVANT LE/ TENMINSTE HOUDBAAR TOT/MINDESTENS HA Bevat']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,13 g,,,,,,"['Tin', 'Box']",['Fabriqué en Belgique'],"['Brussels', 'Belgium']",Curix,,,,,
92,Beefburger - COOP,7613356880962,,"['COOP', 'Naturaplan']",,['France'],[],[],,,,,,,,,?,,184,,770 kj(184 kcal),,12,,5,,0,,0,,19,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
93,Sandwich leader price jambon emmental,3036859494018,,['Leader Price'],,['France'],[],[],,,,,,,,,?,,242,,1013 kj(242 kcal),,11,,"4,5",,23,,"3,4",,11,,"1,7",,"0,68",,,,,,,,,,,,,,,['Leader Price'],,,,,,,,,,,,
94,Haribo Tangfastics 400G - 400g,5012035951153,,['Haribo'],,"['France', 'Royaume-Uni']","['Glucose syrup', ' sugar', ' gelatine', ' dextrose', ' acid: citric acid', 'malic acid', ' caramelised sugar syrup', ' fruit and plant concentrates: apple', 'aronia', 'blackcurrant', 'carrot', 'elderberry', 'grape', 'hibiscus', 'kiwi', 'lemon', 'mango', 'orange', 'passion fruit', 'safflower', 'spirulina', ' flavouring', ' elderberry extract']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,346,,1448 kj(346 kcal),,"0,5",,"0,1",,80,,50,,"6,6",,"0,03",,"0,012",,,,,,,,,,,,,400 g,,,"['E428 - Gélatine', 'E330 - Acide citrique', 'E296 - Acide malique']",,4,['pp-tub'],,,,,,,,
95,Bruschetta Artichauts biologique,3760014295034,,,,['France'],[],[],,,,,,,,,?,,326,,1364 kj(326 kcal),,34,,"3,8",,"1,9",,"1,7",,"1,7",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-006']",,,,,,,
96,Clous de girofle - La Vie Claire - 30g,3266191021447,B,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Clous de girofle']",['France'],"[""Clous de girofle Ingrédient agricole issu de l'Agriculture Biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,63.8%,0.0%,18.2%,12.0%,6.0%,0.0%,79,30 g,,,,,1,['Plastique'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
97,Nestar d'aloe vera gout framboise et thé noir - All Groo - 500mo,8805957018489,,['All Groo'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']","['France', 'Espagne']",[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,4.7 g,en quantité modérée,0.02 g,en faible quantité,?,,33,-18%,138 kj(33 kcal),-18%,"0,5",+68%,"0,1",+72%,"6,7",-20%,"4,7",-37%,"0,5",+30%,"0,02",-18%,"0,008",-18%,9,+52%,D,+52%,,,,,,,,500 mo,['Korea'],['Local'],,,,['Plastico'],['es:Aloe vera'],['Korea'],,,,https://aguadealoevera.com/bebida-con-aloe-vera-allgroo/,,
98,Croquants amandes et noisettes,3760203430239,,,,['France'],[],[],,,,,,,,,?,,448,,1874 kj(448 kcal),,11,,"4,3",,71,,51,,9,,"0,74",,"0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Krüger,4052700623702,,['Krüger'],,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,"0,2",,0,,"3,52",,"1,408",,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Papayes déshydratées lamelles,3700056701711,,,,['France'],[],[],,,,,,,,,?,,366,,1531 kj(366 kcal),,0,,0,,"93,6",,"83,2",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Coconut Clusters -,0677210090253,,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']","['France', 'Espagne']","['organic coconut', 'organic pumpkin seeds', 'organic sunflower seeds', 'organic cane sugar', 'organic brown rice syrup', 'sugar', 'organic chia seeds', 'sea salt,']","['Sans huile de palme', 'Végétalien', 'Végétarien']",43 g,en quantité élevée,26 g,en quantité élevée,23 g,en quantité élevée,2 g,en quantité élevée,?,,2230,+427%,9330 kj(2230 kcal),+424%,43,+172%,26,+336%,33,-45%,23,-15%,10,+34%,2,+412%,"0,8",+412%,33,+150%,E,+150%,,,,,,,,,,,,,3,,,,,,,,,
102,Cranberries & Myrtilles,3492390006033,,,,['France'],[],[],,,,,,,,,?,,215,,900 kj(215 kcal),,"0,8",,"0,01",,52,,"46,9",,"0,5",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,
103,Nougat frondi,3870450001196,,,,['France'],[],[],,,,,,,,,?,,558,,2335 kj(558 kcal),,33,,16,,62,,44,,"3,5",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Chocolat dessert au lait - Scholetta,26096537,,['Scholetta'],,['France'],[],[],,,,,,,,,?,,553,,2314 kj(553 kcal),,34,,21,,53,,51,,7,,"0,23",,"0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Compté - Reflets de France,0219747026703,D,['Reflets de France'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.7 g,en quantité modérée,?,,416,+5%,1741 kj(416 kcal),+6%,34,+4%,22,+1%,"0,5",+8%,"0,5",+80%,27,+7%,"0,7",-28%,"0,28",-28%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,"['FR 25.039.003 CE', 'Avoudrey (Doubs, France)', 'EMB 25039', 'Avoudrey (Doubs, France)', 'EMB 35068J', 'Châteaubourg (Ille-et-Vilaine, France)']",,,,
106,100% soja biologique déshuilé,3760286310121,,,,['France'],[],[],,,,,,,,,?,,347,,1452 kj(347 kcal),,"7,3",,"1,2",,"12,7",,"6,7",,"48,5",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,,,,,,
107,Yaourt brassé au lait de brebis bio sur lit de pomme caramel - Lait'Age d'Or,3760274151422,C,"[""Lait'Age d'Or""]","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts brassés', 'Yaourts à la pomme', 'Yaourts au lait de brebis', 'Yaourts sur lit de fruits']",['France'],[],[],4.7 g,en quantité modérée,3.2 g,en quantité modérée,8.1 g,en quantité modérée,0.1 g,en faible quantité,?,,101,+2%,423 kj(101 kcal),+2%,"4,7",+44%,"3,2",+52%,"9,3",-31%,"8,1",-34%,"4,2",+33%,"0,1",-10%,"0,04",-10%,3,-4%,C,-4%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,['Bio'],,,,,,,
108,Sirop 1883 Citron,3217690016410,,,,['France'],[],[],,,,,,,,,?,,62,,259 kj(62 kcal),,0,,0,,15,,15,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Quefir d'ovella amb nabius ecologic -,8422410344376,,,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Kéfir']","['France', 'Espagne']",[],[],5.5 g,en quantité modérée,3.4 g,en quantité élevée,6.7 g,en quantité élevée,0.28 g,en quantité modérée,?,,101,+84%,423 kj(101 kcal),+78%,"5,5",+141%,"3,4",+143%,"8,8",+71%,"6,7",+48%,"4,1",+28%,"0,28",+157%,"0,112",+157%,19,+67%,E,+67%,,,,,,,,,,,,,,,,,,,,,,
110,Veloute de carotte a la coriandre,3770000882117,,,,['France'],[],[],,,,,,,,,?,,22,,92 kj(22 kcal),,"0,03",,"0,03",,3,,0,,"0,06",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Caviar de tomates séchées - Monoprix Bio,3350033593893,E,['Monoprix Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée']",['France'],[],[],33 g,en quantité élevée,2.6 g,en quantité modérée,11 g,en quantité modérée,4.3 g,en quantité élevée,?,,363,+75%,1519 kj(363 kcal),+75%,33,+187%,"2,6",+84%,11,-29%,11,+1%,"3,3",-13%,"4,3",+43%,"1,72",+43%,11,+101%,D,+101%,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,,,,,,,,['Bio'],,,,,,,
112,Quiche chèvre saumon fumé - 400g,5425023960257,,,,['France'],[],[],,,,,,,,,?,,318,,1331 kj(318 kcal),,"23,2",,"13,6",,16,,"1,7",,"11,3",,"1,3",,"0,52",,,,,,,,,,,,,400 g,,,,,,,,,,,,,,
113,Capsules cappuccino - Casino,3222477186941,,['Casino'],,['France'],[],[],,,,,,,,,?,,270,,1130 kj(270 kcal),,"2,8",,0,,"7,1",,"7,1",,"2,7",,0,,0,,,,,,,,,,,,,,,['Casino'],,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,
