,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,markets,allergens,nova_score,brand_owner,additives,ingredients_origins,manufacturing,generic_name,link,palm_ingredients
59,Filet mignon fumé,2224507039235,,['France'],[],[],?,121,506 kj(121 kcal),"1,7","0,7","0,7",0,26,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sauce tomate aux légumes - Solleone,7640164487793,['Bio'],['France'],[],[],?,79,331 kj(79 kcal),"4,8","0,7","6,9","3,7","1,2","1,1","0,44",,,['Solleone'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Pesto au basilic vegan - Solleone,7640164487892,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'IT-BIO-008']",['France'],[],"['Végétalien', 'Végétarien']",?,397,1661 kj(397 kcal),39,"4,7","6,8","4,4","2,9","3,4","1,36",,C,['Solleone'],"['Epicerie', 'Sauces', 'Sauces Pesto']",39 g,en quantité élevée,4.7 g,en quantité modérée,4.4 g,en faible quantité,3.4 g,en quantité élevée,,-6%,-6%,-5%,-22%,+2%,+42%,-35%,+46%,+46%,18,-2%,D,-2%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,,,,
62,Halva handmade - 200g,5202451013218,,['France'],[],[],?,513,2146 kj(513 kcal),"33,2","6,8","41,3","31,8","12,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
63,Caramel & chocolate Shortbread,3355710815985,,['France'],[],[],?,506,2117 kj(506 kcal),28,18,60,41,"3,4","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Barre Énergie Fruitée,3700790000842,,['France'],[],[],?,344,1439 kj(344 kcal),"3,3","2,8","75,7","46,3","1,4","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Mini-pommes Rafraîchies Au Calvados - Le Bocal ?,3493372120068,,['France'],[],[],?,123,515 kj(123 kcal),"0,11","0,06","20,69","20,17","0,05","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Barre Douceur Salée,3700790020406,,['France'],[],[],?,420,1757 kj(420 kcal),"18,8","6,4","52,2","20,5","8,2","1,28","0,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Kataifi,5200135803025,,['France'],[],[],?,342,1431 kj(342 kcal),"5,2","2,1",60,32,"4,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Cabeza de lomo curada lonchas sin gluten - El Corte Inglés,8433329011150,,['France'],[],[],?,230,962 kj(230 kcal),10,"4,3",1,1,34,"3,3","1,32",,,['El Corte Inglés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Extreme Green Fruit Smoothie,0779172233102,,['France'],[],[],?,65,272 kj(65 kcal),0,0,14,9,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Cuisses de grenouilles - 500g,3438630929014,,['France'],[],[],?,71,297 kj(71 kcal),"0,5","0,1","0,7",0,16,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
71,Boquerones aliñados con ajo y perejil tarrina - El Corte Inglés,8433329080606,,['France'],[],[],?,159,665 kj(159 kcal),"8,5","1,7","0,8",0,20,"2,1","0,84",,,['El Corte Inglés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Masa brisa - El Corte Ingles,8433329071956,,['France'],[],[],?,415,1736 kj(415 kcal),23,11,41,"2,8","6,3","0,93","0,372",,,['El Corte Ingles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
