,name,bar_code,eco_score,brand,categories,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,traceability_code,packaging,ingredients_origins,additives,allergens,nova_score,generic_name,manufacturing,link,palm_ingredients
45,Paradoxe...,3760035390138,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Jus de pommes,3770015741003,,,,,['France'],[],[],,,,,,,,,?,,42,,176 kj(42 kcal),,"0,1",,0,,10,,10,,"0,1",,0,,0,,,,,,,,,,,,,,"['Bio', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,
47,Agriglace,3701354904491,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amica Chips Wonder Palline Cheese,8008714000400,,,,,['France'],[],[],,,,,,,,,?,,497,,2079 kj(497 kcal),,25,,"2,2",,60,,"4,5",,7,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,
49,Cassonade sucre roux de canne - Saint Louis,03895450,B,['Saint Louis'],"['Édulcorants', 'Sucres', 'Sucres roux']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,99 g,en quantité élevée,0 g,en faible quantité,?,,396,+1%,1657 kj(396 kcal),+1%,0,-100%,0,-100%,99,+1%,99,+2%,0,-100%,0,-100%,0,-100%,14,-1%,D,-1%,87.6%,0.0%,7.4%,3.3%,1.8%,0.0%,81,,,,,,,,,,,,
50,Croquants citron coco,3770013887031,,,,,['France'],[],[],,,,,,,,,?,,472,,1975 kj(472 kcal),,26,,19,,49,,12,,"7,1",,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,,,
51,Feinkost Aus Frankreich: Jakobsmuschel-rillettes - 100G - Comtesse du Barry,3660806506860,,['Comtesse du Barry'],,,['France'],[],[],,,,,,,,,?,,148,,619 kj(148 kcal),,"7,6",,"5,2",,"6,1",,"2,9",,"13,6",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,
52,Meli melo de lentilles - Sabarot,3111952016166,,['Sabarot'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
53,RED'NATH - SENYO - 50cl,3770005825225,,['SENYO'],['BOISSON ACIDULÉE SANS ALCOOL'],"[""L'EAU VIVE à\xa0 METZ ZAC D'AUGNY"", 'BIOCOOP 4 Rue Des Tarbes 54270 Essey Les Nancy']",['France'],"['Eau', ""Fleur d'hibiscus Sabdariffa Bio "", '25 %', 'Sucre de canne Bio', 'Curcuma Longa Bio ', '7%', 'Poivre noir Bio ', ""Vanille Bio et Arôme naturel d'ananas""]",[],0.8 g,en faible quantité,0 g,en faible quantité,8.6 g,en quantité modérée,0.00475 g,en faible quantité,155,,36,,155 kj(36 kcal),,"< 0,8",,0,,"8,6",,"8,6",,"< 0,5",,"0,005",,"0,002",,1,,B,,,,,,,,,50 cl,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Sans colorants', 'Sans conservateurs']",,['Bouteille'],['UE & NON UE'],,,3,"BOISSON BIO SANS ALCOOL A LA FLEUR D'HIBISCUS, CURCUMA, POIVRE NOIR, VANILLE ET ARÔME ANANAS",['France'],http://www.senyo.fr,
54,Tisana drenante,3525722018517,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Cranberries séchées en moitiés,2609931028800,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",,['France'],[],[],0.5 g,en faible quantité,0.5 g,en faible quantité,65 g,en quantité élevée,,,?,,355,+5%,1485 kj(355 kcal),+5%,"0,5",-29%,"0,5",+102%,"83,2",+5%,65,-2%,"0,1",-64%,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Chinchards a l huile d olive - 125g,5601268100928,,,,,['France'],[],[],,,,,,,,,?,,1370,,5732 kj(1370 kcal),,28,,"4,2",,1,,0,,"18,3",,1,,"0,4",,,,,,,,,,,,,125 g,,,,,,,,,,,
57,Pancake - Prozis,5600499523599,,['Prozis'],,,['France'],[],[],,,,,,,,,?,,370,,1548 kj(370 kcal),,"5,7",,"1,5",,46,,"0,7",,29,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,
58,Le Perfect déj - 250g,0645760323930,,,,,['France'],[],[],,,,,,,,,?,,348.6,,1459 kj(348 kcal),,"6,6",,"4,1",,48,,"39,9",,"15,2",,,,,,,,,,,,,,,,,250 g,['Bio'],,,,,,,,,,
59,Feed Light noix de coco-chocolat,3665069003026,,,,,['France'],[],[],,,,,,,,,?,,357,,1494 kj(357 kcal),,"9,6",,"4,5",,"33,5",,"1,5",,"24,1",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,
60,Confiserie,2600280017781,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Miel d'oranger d'Espagne,3445730208635,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Creme de marron d'Olargues,3312345604469,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Miel de romarin - Mellidor,3503740221300,,['Mellidor'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
64,Stong tamari,3760068470135,,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'NL-BIO-01']",,,,,,,,,,
65,Earl grey tea - Whittard - 125g,5022032067962,,['Whittard'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,125 g,,,,,,,,,,,
66,Karlsson biscuits en forme de sablés,4030957791252,,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,6,,0,,4,,4,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
67,MANUKA HONEY - 250g,9421903100115,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,
68,Emmental francais,2611787022178,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",,['France'],[],[],29 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.51 g,en quantité modérée,?,,369,-3%,1544 kj(369 kcal),-2%,29,-2%,20,+1%,"0,5",-18%,"0,5",+6%,27,-3%,"0,51",-13%,"0,204",-13%,11,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
69,Tarte aux fraises,0205305019614,,,,,['France'],[],[],,,,,,,,,?,,148,,619 kj(148 kcal),,"4,6",,"2,5",,23,,12,,"2,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
70,Roasted  kebab,5902082403555,,,,,['France'],[],[],,,,,,,,,?,,240,,1004 kj(240 kcal),,"14,8",,0,,"10,1",,0,,"14,9",,"2,1",,"0,84",,,,,,,,,,,,,,['Halal'],,,,,,,,,,
71,Choucroute garnie - Produits de la Cigogne,3527480000711,C,['Produits de la Cigogne'],"['Plats préparés', 'Choucroutes', 'Choucroutes garnies']",,['France'],[],[],8.3 g,en quantité modérée,3.4 g,en quantité modérée,2 g,en faible quantité,1.15 g,en quantité modérée,?,,111,-3%,464 kj(111 kcal),-1%,"8,3",-2%,"3,4",+6%,"2,8",+27%,2,+244%,"6,4",+17%,"1,15",-13%,"0,46",-13%,6,+6%,C,+6%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,,,,,,,,,,,
72,Les fraises gariguettes,3700007900293,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Cake au noix - Maayane - 300g,3700029206236,,['Maayane'],,,['France'],[],[],,,,,,,,,?,,459,,1920 kj(459 kcal),,"22,2",,"0,5",,"56,1",,"31,4",,"3,5",,"0,1",,"0,04",,,,,,,,,,,,,300 g,,,,,,,,,,,
74,saucisses fumées,2287417033137,,,,,['France'],[],[],,,,,,,,,?,,263,,1100 kj(263 kcal),,"20,6",,"6,8",,1,,"0,7",,"18,6",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,
75,Voglia di latte burrata,8033373201721,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Burrata']",,['France'],[],[],20.5 g,en quantité élevée,17.2 g,en quantité élevée,1.7 g,en faible quantité,,,?,,251,+2%,1050 kj(251 kcal),+2%,"20,5",-2%,"17,2",+28%,"2,2",+55%,"1,7",+35%,"14,4",+19%,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
