,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,markets,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,palm_ingredients,ingredients_origins,manufacturing,brand_owner,producer_info,origin_detail
1728,Sultan et sa bande - St Georges - 160g,3173990025357,,160 g,,['St Georges'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,['France'],"['Farine de blé', 'chocolat au lait 25% ', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'lactosérum en poudre', 'émulsifiant : lécithines', 'sucre graisse de palme', 'beurre concentré', 'oeufs entiers', 'Soudre de lait entier', 'sel', 'arôme', ""poudre à lever carbonates d'ammonium"", 'sirop de glucose déshydraté']","['Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,21.3 g,en quantité élevée,12.1 g,en quantité élevée,32.1 g,en quantité élevée,0.5 g,en quantité modérée,?,,489,+3%,2046 kj(489 kcal),+3%,"21,3",+2%,"12,1",+20%,"65,9",+3%,"32,1",+9%,"6,8",+5%,"0,5",-15%,"0,2",-15%,23,+16%,E,+16%,D,,"['E322 - Lécithines', ""E503 - Carbonates d'ammonium""]",80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
1729,Confiture de fraise - Val de Vézère - 370g e,3174069951003,,370 g e,"['Bocal', 'Verre', 'Bocal en verre', 'Capsule en métal']",['Val de Vézère'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,['France'],"['Sirop de glucose-fructose', 'fraises 45 % ', 'dont 28 % de purée à base de concentré', 'sucre', 'acidifiant : acide citrique', 'gélifiant : pectines']",,[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,44 g,en quantité élevée,0.1 g,en faible quantité,?,,245,+13%,1025 kj(245 kcal),+12%,"0,5",+107%,"0,1",+122%,60,+13%,44,-13%,"0,5",+13%,"0,1",+341%,"0,04",+341%,11,+26%,D,+26%,C,,"['E330 - Acide citrique', 'E440 - Pectines']",75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
1730,Salade à la Mexicaine - Céréal bio - 220g e,3175681161221,Salade de haricots azuki issue de l'agriculture biologique,220 g e,"['Sachet', 'Plastique', 'Doypack']",['Céréal bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', 'Salades', 'Salades composées', ""Plats préparés d'origine végétale"", 'Salades mexicaines']","['Bio', 'Bio européen', 'FR-BIO-10', 'Point Vert', 'Fabriqué en France', 'Sans colorants', 'AB Agriculture Biologique']",,['France'],"['Eau', 'haricots azuki 10%', 'maïs 9%', 'pois chiches 8,5%', 'oignons', 'carottes', 'poivrons rouges 7%', 'tofu 5% ', 'eau', 'soja', 'gélifiants : sulfate de calcium', 'nigari', 'poivrons verts 4,5%', ""huile d'olive"", 'jus de citron', 'vinaigre de cidre', 'sel de mer', 'coriandre', 'cumin', 'épaississant : gomme guar', 'poivre']",['Soja'],[],4,5.7 g,en quantité modérée,1 g,en faible quantité,2 g,en faible quantité,0.64 g,en quantité modérée,496,+4%,119,+3%,496 kj(119 kcal),+2%,"5,7",+43%,1,+121%,"7,4",-9%,2,-18%,"5,5",-40%,"0,64",-30%,"0,256",-30%,-5,,A,,,,['E412 - Gomme de guar'],,,,,,,,,,,['France'],,,
1731,Biscuit coco citron - Gerblé - 120g,3175681206571,,120 g,,['Gerblé'],,['en:gluten-free'],,['France'],"['Fécule de pomme de terre', 'farine de maïs 26%', 'sucre de canne roux', 'huile de tournesol oléique', 'noix de coco râpée 8,8%', 'amidon de maïs', 'émulsifiant : lécithines', 'citrons déshydratés 0,8%', 'arôme naturel', 'épaississant : gomme xanthane', 'fibres de bambou', 'arôme naturel de citron', 'poudres à lever ', 'diphosphates', 'carbonates de sodium', ""carbonates d'ammonium"", 'sel', 'sucre']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,475,,1987 kj(475 kcal),,20,,"6,7",,69,,18,,"2,7",,"0,575",,"0,23",,,,,,,['Magasins U'],"['E322 - Lécithines', 'E415 - Gomme xanthane', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",,,,,,,,,,,,,,
1732,"Galettes de légumineuses (pois cassés, ail, fines herbes) - Cereal bio",3175681216945,,,,['Cereal bio'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'en:palm-oil-free']",,['France'],[],,['Sans huile de palme'],,,,,,,,,,?,,185,,774 kj(185 kcal),,"6,1",,"0,7",,24,,"2,8",,"7,1",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,
1733,Gerblé & bio sans gluten - 300g,3175681226692,,300g,['boite carton'],['Gerble'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']","['Bio', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'IT-BIO-014']",,['France'],"['Riz*', 'son de mais*', 'sucre de canne*', 'farine de maïs*t sel de mer', ' Préparé avec 69 g de riz', '27,6 à de son de maïs et 4,1 g de farine de maïs ptur 100 g *Ingrédients issus de Itagriculture biologique']",,[],,1.6 g,en faible quantité,0.4 g,en faible quantité,10 g,en quantité modérée,0.52 g,en quantité modérée,?,,370,+6%,1548 kj(370 kcal),+6%,"1,6",-72%,"0,4",-75%,78,+33%,10,+76%,"6,1",-35%,"0,52",+73%,"0,208",+73%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,
1734,Grill vegetal nuggets soja et blé -,3175681236189,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Nuggets végétaux', 'Nuggets soja']","['Végétarien', 'Végétalien', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,['France'],[],,"['Végétalien', 'Végétarien']",,11 g,en quantité modérée,1.1 g,en faible quantité,1.7 g,en faible quantité,1.8 g,en quantité élevée,?,,242,-2%,1013 kj(242 kcal),-1%,11,-4%,"1,1",-11%,17,-10%,"1,7",-2%,16,+15%,"1,8",+41%,"0,72",+41%,11,+326%,D,+326%,,,,,,,,,,,,,,,,,
1735,Madeleines aux pepites de chocolat - St Michel - 880g,3178530410228,,880 g,"['Plastique', 'Sachet']",['St Michel'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']","['Plein air', 'Œufs de poules élevées en plein air', 'Point Vert', 'Fabriqué en France', 'en:palm-oil-free']",,['France'],[],,['Sans huile de palme'],,22 g,en quantité élevée,3.2 g,en quantité modérée,30 g,en quantité élevée,0.7 g,en quantité modérée,?,,452,+1%,1891 kj(452 kcal),+1%,22,-6%,"3,2",-52%,56,+7%,30,+6%,"5,5",-4%,"0,7",-8%,"0,28",-8%,17,-8%,D,-8%,D,,,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,,['France'],,,
1736,Sucre Doré - Vahiné - 82g e,3179142792641,Sucre coloré,82 g e,"['Flacon', 'Verre', 'Bouchon', 'Plastique']","['Vahiné', 'McCormick']","['Édulcorants', 'Décorations alimentaires', 'Sucres']","['Sans arômes artificiels', 'Point Vert']",,['France'],"['Sucre', 'colorants : E171', 'E172', ""agent d'enrobage : shellac"", 'matière grasse végétale']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,0.1 g,en faible quantité,0.1 g,en faible quantité,98.1 g,en quantité élevée,0 g,en faible quantité,?,,393,-5%,1644 kj(393 kcal),-3%,"0,1",-99%,"0,1",-98%,"98,1",+24%,"98,1",+41%,0,-100%,0,-100%,0,-100%,14,-22%,D,-22%,A,['Magasins U'],"['E171 - Oxyde de titane', 'E172 - Oxyde et hydroxyde de fer', 'E904 - Gomme-laque']",65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,,
1737,Perrier Verre Nature 75CL - 75cL,3179732348814,,75 cL,,['Perrier'],"['Boissons', 'Boissons sans alcool']",,,['France'],['Eau'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,
1738,Mousse de foie et sa pointe de crème - Madrange - 180g,3180940084319,Mousse de foie de qualité supérieure,180 g,"['Barquette', 'Opercule', 'opercule repositionnable', 'Film en plastique']",['Madrange'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Charcuteries cuites', 'Mousses salées', 'Mousses de foies', 'Mousses charcutières']",,https://www.madrange.fr/nos-produits/mousse-de-foie-pointe-de-creme/,['France'],"['Gras de porc', 'foie de porc 25%', 'eau', 'couenne de porc', 'lait demi-écrémé', 'g farine de blé', 'sel', 'gélatine de porc', 'crème ', 'lait', ' 0,8%', 'oignons', 'arômes naturels', 'sucre', 'kl amidon de mais', 'œufs', 'poivre', 'coriandre', 'ferments', 'thym', 'colorant : caramel ordinaire', ' Contient gluten', 'lait et dérivés', 'œufs', "" *L'action des ferments génère l'apparition de nitrites d'origine végétale pour préserver toutes les qualités du produit""]","['Œufs', 'Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,24 g,en quantité élevée,9 g,en quantité élevée,1.4 g,en faible quantité,1.7 g,en quantité élevée,1124,-12%,272,-18%,1124 kj(272 kcal),-19%,24,-22%,9,-21%,"2,9",+2%,"1,4",-11%,11,+6%,"1,7",+8%,"0,68",+8%,18,-7%,D,-7%,,,"['E428 - Gélatine', 'E150a - Caramel E150a']",,,,,,,,"['FR 87.085.003 CE', 'Limoges (Haute-Vienne, France)']",,,['France'],,,
1739,Oasis sirop Mangue Pomme - 75cl,3217690055624,,75 cl,,['Oasis'],['Sirop-mangue-pomme'],,,['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,77 g,en quantité élevée,0 g,en faible quantité,?,,319,,1335 kj(319 kcal),,"0,5",,"0,1",,"79,7",,77,,"0,5",,0,,0,,13,,D,,,,,,,,,,,,,,,,,,
1740,Stévia - Tutti Free - 400g,3220032574004,,400 g,['Pack'],['Tutti Free'],,,,['France'],"['un emballage rigide pour plus de précision A CONSOWAER DE PRÉFÉPEAŒ AVANT LE : WR LA FACE ARRIÈRE ÉDULCORANT DE TABLE À BASE DE SUCRE ROUX DE CANNE ET DE GLYCOSIDES DE ', 'EXTRAITS DE LA PLANTE DE RÉBAIJDIANA', ' INGRÉDIEMS : SUCRE ROUX DE CANNE OULCORANT : GLYCOSIDES DE STÉwL ', 'EXTRATS DE LA DE RÉBAUDIANA', ' ARÔMES']",,[],4,,,,,,,,,?,,392,,1640 kj(392 kcal),,0,,0,,98,,98,,0,,0,,0,,,,,,,['Magasins U'],,,,,,,,,,,,,,,
1741,Etorki - offre €CO (33 % MG) - 180g,3222110024968,,180 g,"['Barquette', 'Plastique', 'Frais', 'Sous atmosphère protectrice']","['Etorki', 'Savencia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés', 'Fromages de brebis']",,,['France'],"['Lait de brebis pasteurisé', 'sel', 'ferments', 'conservateurs E235', 'E1105 ', ""extrait de blanc d'œuf""]","['Œufs', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,33 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,1.52 g,en quantité élevée,?,,393,+9%,1644 kj(393 kcal),+9%,33,+7%,23,+10%,"0,5",-45%,"0,5",+84%,24,+20%,"1,52",-38%,"0,608",-38%,15,-14%,D,-14%,D,,"['E235 - Natamycine', 'E1105 - Lysozyme']",87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,"['FR 64.371.100 CE', 'Mauléon-Licharre (Pyrénées-Atlantiques, France)']",,,,,,
1742,Nectar de pomme à base de jus concentré Teneur en fruits : 50 % minimum Casino - 2l,3222471050316,Nectar de pomme à base de jus de pomme concentré teneur en fruits: 50% minimum,2 l,"['Brique', 'Carton']",['Casino'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de pomme']",,,['France'],['Jus de pomme à base de jus de pomme concentré 50% - eau - sucre - concentré de jus de citron - antioxydant : acide ascorbique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,187,+13%,44,+13%,187 kj(44 kcal),+15%,0,-100%,0,-100%,11,+17%,9,+2%,0,-100%,0,-100%,0,-100%,11,+22%,E,+22%,C,['Casino'],['E300 - Acide ascorbique'],58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
1743,Yaourt brassé nature - Casino - 4x 125g,3222471858660,"Yaourt brassé nature au lait entier, source de calcium",4 x 125 g,"['Carton', 'Plastique', 'Aluminium']",['Casino'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts brassés', 'Yaourts brassés nature']",['Source de calcium'],,['France'],"['Lait entier origine France 98% - protéines de lait origine France - minéraux du lait origine France - ferments lactiques ', 'contient lait']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,3.5 g,en quantité modérée,2.3 g,en quantité modérée,3.6 g,en faible quantité,0.1 g,en faible quantité,254,-19%,61,-24%,254 kj(61 kcal),-23%,"3,5",-25%,"2,3",-24%,"3,6",-24%,"3,6",-18%,"3,7",-8%,"0,1",-17%,"0,04",-17%,0,-100%,B,-100%,,['Casino'],,,,,,,,,"['FR 72.181.001 CE', 'Mans (Sarthe, France)', 'EMB 72181J', 'Mans (Sarthe, France)']",,['France'],['France'],,,
1744,Emmental bio râpé - Casino Bio - 100g,3222472264286,Fromage à pâte pressée cuite issu de l'agriculture biologique,100 g,"['Sachet', 'Plastique', 'Sous atmosphère protectrice']","['Casino Bio', 'Casino']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],"['Lait pasteurisé de vache* - sel - ferments lactiques - coagulant microbien', "" *issu de l'agriculture biologique"", ' Ce produit peut contenir des traces de fécules de pomme de terre']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,28 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,0.88 g,en quantité modérée,1526,-2%,367,-2%,1526 kj(367 kcal),-2%,28,-3%,19,-4%,"1,8",+99%,0,-100%,27,-1%,"0,88",+16%,"0,352",+16%,12,+1%,D,+1%,C,['Casino'],,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['EMB 68223A', 'Muhlbach-sur-Munster (Haut-Rhin, France)', 'FR 68.223.001 CE', 'Muhlbach-sur-Munster (Haut-Rhin, France)']",,['Union européenne'],,,,
1745,Mini Mozzarella - Casino - 125g,3222472834274,Billes de fromage à pate filée au lait pasteurisé de vache en saumure,125 g,['Barquette'],['Casino'],,['Aucun'],,['France'],"[""lait pasteurisé de vache - sel - correcteur d'acidité: acide citrique""]",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,,952,,229,,952 kj(229 kcal),,17,,12,,1,,1,,18,,"0,38",,"0,152",,,,,,,['Casino'],['E330 - Acide citrique'],,,,,,,,['IT 09-10 CE'],,,['Italie'],,,
1746,Mayonnaise allégée - Riche en Oméga 3 - Casino - 180g,3222472946403,"Mayonnaise allégée en matières grasses, à la moutarde de Dijon, riche en oméga 3",180 g,"['Carton', 'Tube']",['Casino'],"['Epicerie', 'Sauces', 'Mayonnaises', 'Mayonnaises allégées']",,,['France'],"[""Eau - huile de colza 25% - jaune d'oeuf 6% - sirop de glucose-fructose - amidon tranformé de maïs - moutarde de dijon 3% "", ""eau - graines de moutarde - vinaigre d'alcool - sel - acidifiant: acide citrique"", "" - vinaigre d'alcool - sel - amidon de maïs - acidifiants: glucono-delta-lactone"", 'acide lactique et acide tartrique - conservateur: sorbate de potassium - épaississants: gomme xanthane et gomme guar - arômes - colorants: extrait de paprika et lutéine - jus de citron concentré']","['Œufs', 'Moutarde']",['Non végétalien'],4,27 g,en quantité élevée,2.5 g,en quantité modérée,4.2 g,en faible quantité,1.8 g,en quantité élevée,1174,-8%,284,-6%,1174 kj(284 kcal),-7%,27,-7%,"2,5",-26%,"9,1",+13%,"4,2",+13%,"1,2",+23%,"1,8",-5%,"0,72",-5%,12,-12%,D,-12%,C,['Casino'],"['E330 - Acide citrique', 'E575 - Glucono-delta-lactone', 'E270 - Acide lactique', 'E334 - Acide L-tartrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E160c - Extrait de paprika', 'E161b - Lutéine']",80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,
1747,Crème Gourmande - Casino Délices - 250g,3222473292882,Crème sucrée stérilisée UHT sous pression,250 g,,"['Casino Délices', 'Casino']",,,,['France'],"[""Crème à 46% de matières grasses 93% - lait écrémé - sucre 3% - gaz propulseur: protoxyde d'azote - émulsifiant : mono et diglycérides d'acides gras - stabilisant : carraghénanes""]",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,,,,,,,,,1687,,409,,1687 kj(409 kcal),,42,,28,,"5,9",,"5,8",,"1,9",,"0,07",,"0,028",,,,,,,['Casino'],"[""E942 - Protoxyde d'azote"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,
1748,Mozzarella Bio - Casino Bio - 125g,3222473443598,Mozzarella - Fromage à pate filée au lait pasteurisé de vache issu de l'agriculture biologique en saumure,125 g,['sachet plastique'],"['Casino Bio', 'Casino']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella', 'Fromages pasteurisés']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],"['lait* pasteurisé de vache ', 'origine : ue', "" - sel - correcteur d'acidité: acide lactique - coagulant microbien"", ""* ingrédient issu de l'agriculture biologique""]",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,17 g,en quantité modérée,12 g,en quantité élevée,1 g,en faible quantité,0.4 g,en quantité modérée,935,-12%,225,-13%,935 kj(225 kcal),-13%,17,-18%,12,-14%,1,-3%,1,+33%,17,+1%,"0,4",-41%,"0,16",-41%,8,-22%,C,-22%,C,['Casino'],['E270 - Acide lactique'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
1749,Bâtonnets de filets de colin d'Alaska panés - Casino - 450g,3222475427398,"15 bâtonnets de filets de colin d'Alaska, panés, préfrits, surgelés.",450 g,"['Carton', 'Surgelé']",['Casino'],"['Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Produits panés', 'Poissons panés', 'Poissons panés de colin', 'Batonnets de poisson']",,,['France'],"[""Filets de colin d'alaska 65% - farine de blé - eau - huile de tournesol - sel - paprika - levure - curcuma"", ' traces de mollusques']","['Poisson', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,7.8 g,en quantité modérée,1.1 g,en faible quantité,2.1 g,en faible quantité,0.88 g,en quantité modérée,748,+7%,178,0%,748 kj(178 kcal),+3%,"7,8",+1%,"1,1",-2%,15,+2%,"2,1",+18%,12,+13%,"0,88",-21%,"0,352",-21%,1,-52%,B,-52%,E,['Casino'],,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,,,"[""Colin d'Alaska""]",,,,
1750,Velouté de légumes - Casino - 2x 30cl,3222476116161,"velouté de légumes, potage prêt à consommer",2 x 30 cl,,['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",,,['France'],"['Eau', '- lait écrémé reconstitué - purée de tomates reconstituée 9,4% - carottes 9,3% - pommes de terre réhydratées 9,2% - oignons réhydratés 6,1% - amidon transformé de maïs - potiron 1,6% - huile de colza - poireaux 0,8% - petits pois 0,8% - céleri-rave 0,8% - arôme naturel ', 'contient céleri', ' - beurre - sucre - sel - extrait de levure']","['Céleri', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1.7 g,en faible quantité,0.6 g,en faible quantité,2 g,en faible quantité,0.7 g,en quantité modérée,174,+9%,42,+8%,174 kj(42 kcal),+7%,"1,7",+10%,"0,6",-1%,"4,5",-5%,2,+8%,"1,4",+64%,"0,7",+9%,"0,28",+9%,2,+49%,B,+49%,B,['Casino'],['E14XX - Amidons modifiés'],25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,,
1751,Pain Azyme Sarrasin et Epeautre biologique Paul Heumann - 200g,3226980000107,Pain azyme à la farine de Sarrasin et d'Epeautre biologique,200 g,"['Plastique', 'Carton']",['PAUL HEUMANN'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains azymes']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],"['Farine de sarrasin biologique ', '50%', ""farine d'épeautre T65 biologique "", '50%', 'eau']",,[],1,3.6 g,en quantité modérée,0.6 g,en faible quantité,3.4 g,en faible quantité,0.025 g,en faible quantité,?,,369,+0%,1544 kj(369 kcal),-1%,"3,6",+103%,"0,6",+63%,"63,4",-15%,"3,4",+11%,"15,8",+48%,"0,025",-60%,"0,01",-60%,-6,,A,,,,,,,,,,,,,,['France'],,,,
1752,Mini president - 150g (5x30g),3228024160129,,150g (5x30g),,['President'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte molle à croûte naturelle']",,,['France'],"['Lait', 'sel', 'ferments,']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,29 g,en quantité élevée,21 g,en quantité élevée,0.27 g,en faible quantité,1.32 g,en quantité modérée,?,,334,+11%,1397 kj(334 kcal),+12%,29,+19%,21,+20%,1,-17%,"0,27",-56%,16,-14%,"1,32",-3%,"0,528",-3%,14,+2%,D,+2%,D,['Magasins U'],,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['FR 14.162.001 CE', 'Clécy (Calvados, France)']",,,,,,
1753,Dosette MDC Senseo Noir Ultime X32,3228470056786,,,,['Senseo'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Senseo']",,,['France'],[],,[],,,,,,,,,,?,,2,-50%,8 kj(2 kcal),-60%,0,-100%,0,-100%,"0,3",-71%,0,-100%,"0,2",-19%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,
1754,Café xl extra corsé - senseo - 20maxi dosettes,3228470057608,,20maxi dosettes,,['Senseo'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Senseo']",,,['France'],[],,[],,,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,['Magasins U'],,,,,,,,,,,,,,,
1755,"100% mie, nature, sans croûte - Harrys - 500g",3228850003607,Pain de mie nature sans croute,500g,"['Sachet', 'Plastique']",['Harrys'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie', 'Pains de mie sans croûte']",['Matières grasses'],http://www.harrys.fr/product/nature-2,"['Belgique', 'France', 'Suisse']","['Farine de blé 59%', 'eau', 'sucre', 'matières grasses végétales', 'sel', 'arômes', 'gluten de blé', 'levure', ""émulsifiants : mono et diglycérides d'acides gras"", 'stéaroyl de lactylate de sodium', 'farine de fèves', 'épaississant : gomme guar', 'vinaigre', 'antioxydant : acide ascorbique,arôme ', 'contient alcool']",['Gluten'],"[""Pourrait contenir de l'huile de palme""]",4,4.3 g,en quantité modérée,0.4 g,en faible quantité,7.7 g,en quantité modérée,1.13 g,en quantité modérée,?,,268,+6%,1121 kj(268 kcal),+5%,"4,3",+20%,"0,4",-16%,"48,5",+6%,"7,7",+13%,7,-11%,"1,13",+5%,"0,452",+5%,1,-26%,B,-26%,B,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E412 - Gomme de guar', 'E300 - Acide ascorbique']",56.3%,23.2%,13.4%,6.2%,0.9%,0.0%,93,,,,,,,
1756,American Sandwich complet (maxi format) - Harrys - 900g,3228850004048,pain de mie,900g,['Plastique'],['Harrys'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie', 'Pains complets', 'Pains de mie complet']",,,['France'],"['Farine de blé 55%', 'eau', 'son de blé 6,7%', 'huile de colza', 'sucre', 'sel', 'arôme', 'gluten de blé', 'farine de seigle maltée', 'levure', 'vinaigre', ""extrait d'acérola""]",['Gluten'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,4.7 g,en quantité modérée,0.4 g,en faible quantité,3.9 g,en faible quantité,1.2 g,en quantité modérée,1091,+1%,259,+0%,1091 kj(259 kcal),+1%,"4,7",+10%,"0,4",-36%,"43,1",+1%,"3,9",-22%,"8,6",-3%,"1,199",+5%,"0,48",+5%,-2,,A,,B,['U'],,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,"['France', 'Royan']",,,,
