,name,bar_code,generic_name,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,allergens,categories,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,packaging,manufacturing,traceability_code,ingredients_origins,link,palm_ingredients
1150,Vrac 1000g café - Jeannette - 1000g,3701005301990,Vrac 1000g café,1000 g,['Jeannette'],['France'],[],[],1914,457.5,1914 kj(457 kcal),26,16,50,25,"6,8","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,Vrac 1000g pomelos - Jeannette - 1000g,3701005301983,Vrac 1000g pomelos,1000 g,['Jeannette'],['France'],[],[],2042,488.1,2042 kj(488 kcal),29,20,48,22,"6,5","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Vrac 1000g orange - Jeannette - 1000g,3701005301976,Vrac 1000g orange,1000 g,['Jeannette'],['France'],[],[],2042,488.1,2042 kj(488 kcal),29,20,48,22,"6,5","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Vrac 1000g mandarine - Jeannette - 1000g,3701005301969,Vrac 1000g mandarine,1000 g,['Jeannette'],['France'],[],[],2042,488.1,2042 kj(488 kcal),29,20,48,22,"6,5","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,Vrac 1000g citron - Jeannette - 1000g,3701005301952,Vrac 1000g citron,1000 g,['Jeannette'],['France'],[],[],2042,488.1,2042 kj(488 kcal),29,20,48,22,"6,5","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,Vrac 500g amande - Jeannette - 500g,3701005302157,Vrac 500g amande,500 g,['Jeannette'],['France'],[],[],1902,454.6,1902 kj(454 kcal),25,17,51,25,"6,7","1,3","0,52","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Vrac 500g nature - Jeannette - 500g,3701005302140,Vrac 500g nature,500 g,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,vrac 1000g Bio Citron - Jeannette - 1000g,3701005302133,vrac 1000g Bio Citron,1000 g,['Jeannette'],['France'],[],[],1921,459.1,1921 kj(459 kcal),27,18,48,27,"6,5","1,2","0,48","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1158,Vrac 1000g bio nature - Jeannette - 1000g,3701005302126,Vrac 1000g bio nature,1000 g,['Jeannette'],['France'],[],[],1921,459.1,1921 kj(459 kcal),27,18,48,27,"6,5","1,2","0,48","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1159,Vrac 1000g financiers aux amande - Jeannette - 1000g,3701005302102,Vrac 1000g financiers aux amande,1000 g,['Jeannette'],['France'],[],[],1964,469.4,1964 kj(469 kcal),26,14,51,32,8,"0,54","0,216","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Vrac 1000g financiers au rhum - Jeannette - 1000g,3701005302119,Vrac 1000g financiers au rhum,1000 g,['Jeannette'],['France'],[],[],1933,462,1933 kj(462 kcal),28,18,47,26,"6,3","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Boite métal 12 madeleines nature - Jeannette - 300g,3701005302096,Boite métal 12 madeleines nature 300g,300 g,['Jeannette'],['France'],[],[],1907,455.8,1907 kj(455 kcal),27,17,48,25,"6,2","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,Vrac 1000g madeleines choco-nature - Jeannette - 1000g,3701005302089,Vrac 1000g madeleines choco-nature,1000 g,['Jeannette'],['France'],[],[],1959,468.2,1959 kj(468 kcal),28,18,48,23,7,"1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,vrac 1000g madeleines rose-Framboise - Jeannette - 1000g,3701005302072,vrac 1000g madeleines rose-Framboise,1000 g,['Jeannette'],['France'],[],[],1969,470.6,1969 kj(470 kcal),28,18,49,23,"6,5","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,vrac 1000g madeleines Rose - Jeannette - 1000g,3701005302065,vrac 1000g madeleines Rose,1000 g,['Jeannette'],['France'],[],[],1907,455.8,1907 kj(455 kcal),27,17,48,25,"6,2","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,vrac 1000g Madeleines Rhum-Amande - Jeannette - 1000g,3701005302058,vrac 1000g madeleines Rhum-amande,1000 g,['Jeannette'],['France'],[],[],1893,452.4,1893 kj(452 kcal),26,16,49,25,"6,2","1,3","0,52","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,vrac 500g Calvados - Jeannette - 500g,3701005302270,vrac 500g Calvados,500 g,['Jeannette'],['France'],[],[],1892,452.2,1892 kj(452 kcal),26,18,48,24,"6,3","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Vrac 500g vanille - Jeannette - 500g,3701005302263,Vrac 500g vanille,500 g,['Jeannette'],['France'],[],[],1907,455.8,1907 kj(455 kcal),27,17,48,25,"6,2","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,Vrac 500g pistache - Jeannette - 500g,3701005302256,Vrac 500g pistache,500 g,['Jeannette'],['France'],[],[],1933,462,1933 kj(462 kcal),28,18,47,26,"6,3","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,Vrac 500g framboise - Jeannette - 500g,3701005302249,Vrac 500g framboise,500 g,['Jeannette'],['France'],[],[],2004,479,2004 kj(479 kcal),29,18,49,23,"6,5","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,Vrac 500g pomme - Jeannette - 500g,3701005302232,Vrac 500g pomme,500 g,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Vrac 500g café - Jeannette - 500g,3701005302225,Vrac 500g café,500 g,['Jeannette'],['France'],[],[],1914,457.5,1914 kj(457 kcal),26,16,50,25,"6,8","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,Vrac 500g pomelos - Jeannette - 500g,3701005302218,Vrac 500g pomelos,500 g,['Jeannette'],['France'],[],[],2042,488.1,2042 kj(488 kcal),29,20,48,22,"6,5","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,Vrac 500g orange sanguine - Jeannette - 500g,3701005302201,Vrac 500g orange sanguine,500 g,['Jeannette'],['France'],[],[],2042,488.1,2042 kj(488 kcal),29,20,48,22,"6,5","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Vrac 500g mandarine - Jeannette - 500g,3701005302195,Vrac 500g mandarine,500 g,['Jeannette'],['France'],[],[],2042,488.1,2042 kj(488 kcal),29,20,48,22,"6,5","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,Vrac 500g citron - Jeannette - 500g,3701005302188,Vrac 500g citron,500 g,['Jeannette'],['France'],[],[],2042,488.1,2042 kj(488 kcal),29,20,48,22,"6,5","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,vrac 500g Fraise - Jeannette - 500g,3701005302171,vrac 500g Fraise,500 g,['Jeannette'],['France'],[],[],2004,479,2004 kj(479 kcal),29,18,49,23,"6,5","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Vrac 500g chocolat - Jeannette - 500g,3701005302164,Vrac 500g chocolat,500 g,['Jeannette'],['France'],[],[],1959,468.2,1959 kj(468 kcal),28,18,48,23,7,"1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Box 18 bourriches 170 ass 500 - Jeannette - 14kg,3701005302379,Box 18 bourriches 170 ass 500,14 kg,['Jeannette'],['France'],[],[],"1874,4",448,"1874,4 kj(448 kcal)",24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,Bourriche 170 ans assortiment 500 - Jeannette - 500g,3701005302362,Bouriche 170 ans assortiment 500,500 g,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Vrac 500g bio citron - Jeannette - 500g,3701005302355,Vrac 500g bio citron,500 g,['Jeannette'],['France'],[],[],1921,459.1,1921 kj(459 kcal),27,18,48,27,"6,5","1,2","0,48","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1181,Vrac 500g bio nature - Jeannette - 500g,3701005302348,Vrac 500g bio nature,500 g,['Jeannette'],['France'],[],[],1921,459.1,1921 kj(459 kcal),27,18,48,27,"6,5","1,2","0,48","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1182,Vrac 500g financiers rhum - Jeannette - 500g,3701005302331,Vrac 500g financiers rhum,500 g,['Jeannette'],['France'],[],[],1933,462,1933 kj(462 kcal),28,18,47,26,"6,3","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Vrac 500g financier aux amande - Jeannette - 500g,3701005302324,Vrac 500g financier aux amande,500 g,['Jeannette'],['France'],[],[],1964,469.4,1964 kj(469 kcal),26,14,51,32,8,"0,54","0,216","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Vrac 500g choco-nature - Jeannette - 500g,3701005302317,Vrac 500g choco-nature,500 g,['Jeannette'],['France'],[],[],1959,468.2,1959 kj(468 kcal),28,18,48,23,7,"1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,vrac 500g Rose-Framboise - Jeannette - 500g,3701005302300,vrac 500g Rose-Framboise,500 g,['Jeannette'],['France'],[],[],1969,470.6,1969 kj(470 kcal),28,18,49,23,"6,5","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,vrac 500g Rose - Jeannette - 500g,3701005302294,vrac 500g Rose,500 g,['Jeannette'],['France'],[],[],1907,455.8,1907 kj(455 kcal),27,17,48,25,"6,2","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Vrac 500g rhum-amande - Jeannette - 500g,3701005302287,Vrac 500g rhum-amande,500 g,['Jeannette'],['France'],[],[],1893,452.4,1893 kj(452 kcal),26,16,49,25,"6,2","1,3","0,52","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,CARTON DE 12 BOITES MAD FRAMBOISE 200g - Jeannette - 2.4kg,3701005301723,CARTON DE 12 BOITES MAD FRAMBOISE 200g,2.4 kg,['Jeannette'],['France'],[],[],2008,479.9,2008 kj(479 kcal),29,18,49,23,"6,5","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Bourriche ast gms noel - Jeannette - 500g,3701005302485,BOURRICHE AST GMS NOEL 500g,500 g,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,Palette 20 cts 6 boites metal rose nat 300 - Jeannette - 300g,3701005302461,Palette 20 cts 6 boites metal rose nat 300,300 g,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,Carton 6 boites metal rose nature - Jeannette - 300g,3701005302454,CARTON 6 BOITES METAL ROSE NATURE 300g,300 g,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,Palette 48 cartons 10 boites bio nature 250g - Jeannette - 120kg,3701005302447,Palette 48 cartons 10 boites bio nature 250g,120 kg,['Jeannette'],['France'],[],[],1921,459.1,1921 kj(459 kcal),27,18,48,27,"6,5","1,2","0,48","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1193,Carton 10 boites bio nature 250g - Jeannette - 2.5kg,3701005302430,Carton de 10 boites bio nature 250g,2.5 kg,['Jeannette'],['France'],[],[],1921,459.1,1921 kj(459 kcal),27,18,48,27,"6,5","1,2","0,48","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1194,Palette 48 cartons choco 100 - Jeannette - 115.2kg,3701005302423,Palette 48 cartons choco 100,115.2 kg,['Jeannette'],['France'],[],[],1959,468.2,1959 kj(468 kcal),28,18,48,23,7,"1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Carton 24 boites chocolat 100 - Jeannette - 2.4kg,3701005302416,Carton 24 boites chocolat 100,2.4 kg,['Jeannette'],['France'],[],[],1959,468.2,1959 kj(468 kcal),28,18,48,23,7,"1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,Palette 48 cartons amande 100 - Jeannette - 115.2kg,3701005302409,Palette 48 cartons amande 100,115.2 kg,['Jeannette'],['France'],[],[],1902,454.6,1902 kj(454 kcal),25,17,51,25,"6,7","1,3","0,52","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Carton 24 boites amande 100 - Jeannette - 2.4kg,3701005302393,Carton 24 boites amande 100,2.4 kg,['Jeannette'],['France'],[],[],1902,454.6,1902 kj(454 kcal),25,17,51,25,"6,7","1,3","0,52","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Palette de 4 box bourriches 170 ass 500 - Jeannette - 56kg,3701005302386,Palette de 4 box bourriches 170 ass 500,56 kg,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Boite de 8 madeleines cannelle - Jeannette - 200g,3701005302607,Boite de 8 madeleines cannelle 200g,200 g,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Boite de 4 madeleines cannelle - Jeannette - 100g,3701005302584,Boite de 4 madeleines cannelle 100G,100 g,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Boite de 4 madeleines calvados - Jeannette - 100g,3701005302577,Boite de 4 madeleines calvados 100g,100 g,['Jeannette'],['France'],[],[],1892,452.2,1892 kj(452 kcal),26,18,49,25,"6,2","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Palette 48 cartons vanille 300 - Jeannette - 115.2kg,3701005302560,Palette 48 cartons vanille 300g,115.2 kg,['Jeannette'],['France'],[],[],1907,455.8,1907 kj(455 kcal),27,17,48,25,"6,2","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,Palette 48 cartons noisette 200g - Jeannette - 115.2kg,3701005302553,Palette 48 cartons noisettes 200g,115.2 kg,['Jeannette'],['France'],[],[],1933,462,1933 kj(462 kcal),28,18,47,26,"6,4","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Carton 12 boites noisette 200g - Jeannette - 2.4kg,3701005302546,Carton 12 boites noisette 200g,2.4 kg,['Jeannette'],['France'],[],[],1933,462,1933 kj(462 kcal),28,18,47,26,"6,3","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,Assortiment Découverte - Jeannette - 300g,3701005302539,Assortiment Découverte 300g,300 g,['Jeannette'],['France'],[],[],1959,468.2,1959 kj(468 kcal),28,18,48,23,7,"1,3","0,52","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,CARTON 10 BOITES BIO CITRON 250g - SAS Jeannette 1850 - 2.5kg,3701005302522,BIO CITRON 250g,2.5 kg,['SAS Jeannette 1850'],['France'],[],[],460,109.9,460 kj(109 kcal),27,18,48,27,"6,5","1,2","0,48","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1207,CARTON 10 BOITES NATURE BIO 250g - SAS Jeannette 1850 - 2.5kg,3701005302515,Nature bio 250g,2.5 kg,['SAS Jeannette 1850'],['France'],[],[],460,109.9,460 kj(109 kcal),27,18,48,27,"6,5","1,2","0,48","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1208,CARTON 12 BOITES POMME 200g - SAS Jeannette 1850 - 2.4kg,3701005302508,BOITE POMME 200g,2.4 kg,['SAS Jeannette 1850'],['France'],[],[],448,107.1,448 kj(107 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,BOURRICHE 20 Madeleines BIO Assortiment - Jeannette - 500g,3701005302720,BOURRICHE 20 Madeleines BIO Assortiment 500g,500 g,['Jeannette'],['France'],[],[],1968,470.4,1968 kj(470 kcal),28,19,48,26,"7,2","0,63","0,252","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1210,BOURRICHE 20 Madeleines BIO NATURE - Jeannette - 500g,3701005302713,BOURRICHE 20 Madeleines BIO NATURE 500g,500 g,['Jeannette'],['France'],[],[],1968,470.4,1968 kj(470 kcal),28,19,48,26,"7,2","0,63","0,252","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1211,BOURRICHE Anniversaire 20 mad. assortiment - Jeannette - 500g,3701005302706,BOURRICHE Anniversaire 20 mad. assortiment 500g,500 g,['Jeannette'],['France'],[],[],"1874,4",448,"1874,4 kj(448 kcal)",26,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,BOURRICHE Anniversaire 20 mad. nature - Jeannette - 500g,3701005302690,BOURRICHE Anniversaire 20 mad nature 500g,500 g,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,BOURRICHE Anniversaire 20 mad. choco-nature - Jeannette - 500g,3701005302683,BOURRICHE Anniversaire 20 mad. choco-nature 500g,500 g,['Jeannette'],['France'],[],[],1959,468.2,1959 kj(468 kcal),28,18,48,23,7,"1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,BOURRICHE NOEL 20 mad. choco-nature - Jeannette - 500g,3701005302676,BOURRICHE NOEL 20 mad. choco-nature 500g,500 g,['Jeannette'],['France'],[],[],"1962,3",469,"1962,3 kj(469 kcal)",28,18,48,23,7,"1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,BOURRICHE NOEL 20 mad. Assortiment - Jeannette - 500g,3701005302669,BOURRICHE NOEL 20 mad. Assortiment 500g,500 g,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),26,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,BOURRICHE NOEL 20 mad. nature - Jeannette - 500g,3701005302652,BOURRICHE NOEL 20 mad. nature 500g,500 g,['Jeannette'],['France'],[],[],"1874,4",448,"1874,4 kj(448 kcal)",24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Boite de 12 madeleines nature + Cannelle - Jeannette - 300g,3701005302645,Boite de 12 madeleines nature + Cannelle 300G,300 g,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Boite de 12 madeleines nature + façon pain d'épices - Jeannette - 300g,3701005302638,Boite de 12 madeleines nature + façon pain d'épices 300g,300 g,['Jeannette'],['France'],[],[],"1874,4",448,"1874,4 kj(448 kcal)",24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Boite de 12 madeleines cannelle - Jeannette - 300g,3701005302621,Boite de 12 madeleines cannelle 300g,300 g,['Jeannette'],['France'],[],[],"1874,4",448,"1874,4 kj(448 kcal)",24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Carton de 6 bourriches anniversaire - Jeannette - 3kg,3701005302829,Carton de 6 bourriches assortiment,3 kg,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,PALETTE 216 BOURRICHES AST 500g - Jeannette - 88kg,3701005302478,Palette 176 bourriches ast 500,88 kg,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Palette 216 bourriches 170 ans - Jeannette - 500g,3701005302492,PALETTE 176 BOURRICHES 170 ANS 500g,500 g,['Jeannette'],['France'],[],[],1875,448.1,1875 kj(448 kcal),24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,Bourriche coeur chocolat noel - Jeannette - 500g,3701005302812,BOURRICHE COEUR CHOCOLAT NOEL 500g,500 g,['Jeannette'],['France'],[],[],"1874,4",448,"1874,4 kj(448 kcal)",24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,Bourriche coeur chocolat - Jeannette - 500g,3701005302805,BOURRICHE COEUR CHOCOLAT 500g,500 g,['Jeannette'],['France'],[],[],"1874,4",448,"1874,4 kj(448 kcal)",24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,Boite de 12 madeleines choco-orange - Jeannette - 300g,3701005302614,Boite de 8 madeleines chocolat-orange 200g,300 g,['Jeannette'],['France'],[],[],1959,468.2,1959 kj(468 kcal),28,18,48,23,7,"1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,Carton de 6 bourriches anniversaire - Jeannette - 3kg,3701005302799,Carton de 6 bourriches anniversaire,3 kg,['Jeannette'],['France'],[],[],"1874,4",448,"1874,4 kj(448 kcal)",24,16,52,26,"6,6","1,4","0,56","['Œufs', 'Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,Vrac 500g noisette - Jeannette - 500g,3701005302782,Vrac 500g noisette,500 g,['Jeannette'],['France'],[],[],1902,454.6,1902 kj(454 kcal),25,17,51,25,"6,7","1,3","0,52","['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
