,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,allergens,nova_score,traceability_code,generic_name,ingredients_origins,markets,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,additives,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,link,palm_ingredients,brand_owner,origin_detail,producer_info
1090,Sirop de yacon - Yency,3770019857052,['France'],[],[],?,?,,?,,?,,?,,,,['Yency'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Conditions Brew,032309,['France'],[],[],?,0,0 kj(0 kcal),"0,5","0,1","0,9","0,9","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Madeleine,5400501950883,['France'],[],[],?,415,1736 kj(415 kcal),"29,654","19,229","30,767","19,703","5,883","0,543","0,217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Specialite de creme legere 15 pourcent,3596710483983,['France'],[],[],?,170,711 kj(170 kcal),15,11,"6,1","3,4","2,6","0,1","0,04","['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Pain petit epeautre cereales 500gr moule entier - Boulangerie de l'hermitage - 500g,3760299411747,['France'],"['It Epeautre*', '37,46%', 'Eau ', '35,6%', 'Levain de Blé*', '15%', 'Mélange de graines*', '11,25%', 'Sel ', '0,68%']",[],1185,283.2,1185 kj(283 kcal),10,1,36,1,10,1,"0,4",['Bio'],"[""Boulangerie de l'hermitage"", 'Pain petit epeautre cereales 500 gr moule entier']",,500 g,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],,,Pain petit epeautre cereales 500gr moule entier,,,,,,,,,,,,,,,,
1095,Ficelle chèvre miel,,['France'],[],[],?,253,1059 kj(253 kcal),10,"5,7",29,"6,6",11,"0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Rochers coco,5400501109724,['France'],[],[],?,395,1653 kj(395 kcal),"21,049","17,943","42,856","37,619","5,838","0,161","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Polenta,3760211821845,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Pain epices,3760084072726,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,Profiteroles,3257986317500,['France'],[],[],?,259,1084 kj(259 kcal),14,"7,9",27,21,"5,3","0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,liberté - 450g,8379770076228,['France'],[],[],?,?,,?,,?,,?,,,,['liberté'],,450g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Saucisses viennoises,2340411020883,['France'],[],[],?,303,1268 kj(303 kcal),28,11,"0,8","0,8",12,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Cervelas d’Alsace,2340410014609,['France'],[],[],?,284,1188 kj(284 kcal),26,10,"0,6","0,6",12,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 67.389.005 CE', 'Reichstett (Bas-Rhin, France)']",,,,,,,,,,,,,,,,,
1103,Ginkgo Mix,8711812425333,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'NL-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Tan booster,3760320792487,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Chips saveur barbecue,3168930164685,['France'],[],[],?,501,2096 kj(501 kcal),28,"3,1",54,"2,8","6,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Véritable andouille de Guémené,2289947006209,['France'],[],[],?,253,1059 kj(253 kcal),21,11,"0,5","0,5",16,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Potage aux tomates,8714700994744,['France'],[],[],?,17,71 kj(17 kcal),16,4,66,4,"7,8",14,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,Kisel,4033443592449,['France'],[],[],?,100,418 kj(100 kcal),0,0,"90,5",73,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,Cornets à ka cacahuète,3291334330070,['France'],[],[],?,314,1314 kj(314 kcal),17,12,35,24,"4,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Farfalle,3596710490622,['France'],[],[],?,355,1485 kj(355 kcal),"1,9","0,3",70,"4,5",13,,,"['Nutriscore', 'Nutriscore E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Tokoyaki tei,4902443562007,['France'],[],[],?,319,1335 kj(319 kcal),"19,4","2,7","7,9","2,3","14,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Tomate ronde en frappe,0200635022112,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,12 œufs de poules élevées en plain air,3770000605075,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Salame nostrano,8005153007779,['France'],[],[],?,366,1531 kj(366 kcal),28,10,"0,5","0,5",25,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Soupe de poisson,3394610005744,['France'],[],[],?,51,213 kj(51 kcal),11,1,1,"0,7","7,9","0,9","0,36",,,E,,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",11 g,en quantité modérée,1 g,en faible quantité,0.7 g,en faible quantité,,+6%,+7%,+479%,+123%,-45%,+8%,+53%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,0.9 g,en quantité modérée,+2%,+2%,,-1,-215%,A,-215%,,,,,
1116,Glace pain d'epices,3270160849079,['France'],[],[],?,209,874 kj(209 kcal),"9,2","6,3",28,23,"3,7","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Rocher coco,6172200,['France'],[],[],?,467,1954 kj(467 kcal),25,23,54,47,"4,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,chateau lafont menaut - pessac leognan,3330257020184,['France'],[],[],?,?,,?,,?,,?,,,,['pessac leognan'],,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Petit Épeautre céréales PEC,3760299408747,['France'],[],[],?,283,1184 kj(283 kcal),"9,6","1,24","35,6","1,11","9,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Saumon à la ficelle,5412473712130,['France'],[],[],?,226,946 kj(226 kcal),16,"2,5",1,0,19,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Mousse Passion 10/12 P,40103624,['France'],[],[],?,262,1096 kj(262 kcal),"8,4","6,1",43,29,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Pizza margherita,8022551070402,['France'],[],[],?,248,1038 kj(248 kcal),"5,8","2,6","39,6","2,3","9,5","1,23","0,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Chair à saucisse,0206975040878,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,8001780303697,8001780303697,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Mix chanvre cacao,3770009325387,['France'],[],[],?,354,1481 kj(354 kcal),"7,7","0,7","49,1","28,9","26,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Saucisson de porc et canard,3252880005133,['France'],[],[],?,481,2013 kj(481 kcal),"41,9","15,7","1,5","0,9","24,5","5,15","2,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Croquette Thon / Saumon Chat 2KG Co,3222474717148,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,jelly straws,4711269687289,['France'],[],[],?,90,377 kj(90 kcal),0,0,"22,5",21,0,"0,215","0,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,Litchi boisson au jus exotique,0064579002025,['France'],[],[],?,102,427 kj(102 kcal),0,0,26,22,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,1/2 magret de canard séché au poivre,2229201033459,['France'],[],[],?,?,,?,,?,,?,,,,,E,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,,,,,,,,,
1131,Love Raw Cream Filled Wafer Bars White Chocolate,,['France'],[],"['Végétalien', 'Végétarien']",?,539,2255 kj(539 kcal),33,22,58,41,"4,5","0,16","0,064","['Végétarien', 'Végétalien']",['Love Raw'],,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",33 g,en quantité élevée,22 g,en quantité élevée,41 g,en quantité élevée,,+7%,+7%,+21%,+46%,+5%,-9%,-34%,,,,,,,,,,,,,,,,0.16 g,en faible quantité,-50%,-50%,,25,+2%,E,+2%,,,,,
1132,Bâtonnets de surimi,3222477725966,['France'],[],[],?,134,561 kj(134 kcal),7,3,11,3,6,2,"0,8","['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Opercule en plastique']",,,,"['FR 85.051.005 CE', 'Chantonnay (Vendée, France)', 'MSC-C-51334']",,,,,,,,,,,,,,,,,
1133,Pouding de mangue et coco,3770017317329,['France'],[],[],?,87,364 kj(87 kcal),"1,1",1,"10,3","10,1","1,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Mouchoir de cholet,3760077800015,['France'],[],[],?,262,1096 kj(262 kcal),"15,5",5,"25,5",24,"3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Château Gaillard de la gorce,3429671246697,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Salade algue wakame,3760275331274,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Gimauve crick,2609957041197,['France'],[],[],?,433,1812 kj(433 kcal),19,13,61,51,4,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Cornichon extra fins,1700230334133,['France'],[],[],?,21,88 kj(21 kcal),"0,2",0,3,2,"0,9",2,"0,8",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",0.2 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,,-22%,-18%,-32%,-100%,-13%,-23%,-11%,,,,,,,,,,,,,,,,2 g,en quantité élevée,+16%,+16%,,3,+38%,C,+38%,,,,,
1139,Bananes,2664522011029,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,Pied de porc cuit,0264617022248,['France'],[],[],?,168,703 kj(168 kcal),10,"3,3","0,2","0,2",19,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 01.405.004 CE', 'Servas (Ain, France)']",,,,,,,,,,,,,,,,,
1141,Donut fourrage caramel,0202567013121,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,8056774002735,8056774002735,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,pain mais graine tournesol,0260084012461,['France'],"['LOMMERGANTS LA CAMPANIERE UCTUES Pain MAIS ', 'GRAINES DE TOURNESOL CUISSON DU JOUR PAIN SPECIAL MAIS TOURNES INEREDIENT : FARINE DE BLE', 'eau', 'mais extrudie concasse 7,1% l farine de mais', 'sel ', ' billette de mais extrudie 4,9 %', 'farine de nais', 'sel graines de tournesol4,9%', 'farine de mais 4 gluten de BLE', 'Tevure', 'seRoule de ble dur', 'sel,fibre de ble', 'epices', 'farine de ble malte', 'tevure desactivee', 'agent de traitenent de la farine acide ascorbique Fabrig Prix à ayer A Consonner jusqu\' au 1,90 € Date d\'eubal l age 15-05-2021 Prix Unitaire 18-05-2021 Duantité 6,33 € /kg 300 In termarche 6000CLERMONT DNeukaju PO000 0 260084 012461""⁸']",[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],,,,,,,,,,,,,,,,,,,
1144,Jambon a l’ancienne,0255382029327,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,Poulet fermier eleve en plein air,3435660770791,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Snack coréen Patate,8804612667161,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,3245421686335,3245421686335,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,PATOS Hot spice flavour,8681506007353,['France'],[],[],?,485,2029 kj(485 kcal),24,"0,1",58,1,"6,9","1,65","0,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,BLEDINA BLEDINER BOLS Pâtes Coquilles Tomates Courgettes Lait x2 / Mouliné de Potiron Panais et Boulghour x2 4x200g Dès 12 Mois - 800g,3041091539601,['France'],"['BLEDINER BOLS Pâtes Coquilles Tomates Courgettes Lait 2x200g : Purée de tomates 26,0 % - Lait écrémé reconstitué à base de lait en poudre 21,4 % ', 'LAIT', ' - Courgettes 14,0 % - Pâtes cuites ', 'semoule de blé dur', ""blanc d'œuf"", ' 12,0 % ', 'ŒUF', 'GLUTEN', ' - Pommes de terre - Oignons - Carottes - Lait écrémé concentré ', 'LAIT', ' - Amidon transformé de maïs - Crème ', 'LAIT', ' - Huiles végétales ', 'colza', 'tournesol', ' - Gruyère fondu 1,60 % ', 'LAIT', ' - Épinards - Basilic - Sel - Ail - Arôme naturel - Muscade - Diphosphate ferrique', 'BLEDINER BOLS Mouliné de Potiron Panais et Boulghour 2x200g : Lait écrémé reconstitué à base de lait en poudre 33,8 % ', 'LAIT', ' - Potirons 25,0 % - Panais 10,0 % - Boulghour cuit 9,00% ', 'GLUTEN', ' - Carottes - Céleri ', 'CELERI', ' - Oignons - Crème ', 'LAIT', ' - Pommes de terre - Amidon transformé de maïs - Huiles végétales ', 'colza', 'tournesol', ' - Lait écrémé concentré ', 'LAIT', ' - Persil - Sel - Curcuma - Cumin - Diphosphate ferrique']",['Non végétalien'],300,72,300 kj(72 kcal),"2,5","0,7","9,3","3,4","2,2","0,28","0,112",,"['Bledina', 'Blediner']",,800 g,,,,,,,,,,,,,,,,,,,,,,,,,"['Céleri', 'Œufs', 'Gluten', 'Lait']",4,,Plat à base de légumes adapté à bébé.,,,,,,,['E14XX - Amidons modifiés'],,,,,,,,,
1150,Océan - Francaise,3770017876024,['France'],[],[],?,28,117 kj(28 kcal),?,,?,,?,,,,['Francaise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,Kruiden ketchup knoflook ketchup épicé ail,4027400968484,['France'],[],[],?,136,569 kj(136 kcal),"0,3","0,1","30,3","28,4","1,1","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Bulles de fruit pamplemousse touche de citron,3068320125831,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Kit pasta saveur truffe blanche & compté AOP - Le Comptoir de Mathilde,3700961309897,['France'],[],[],?,900,3766 kj(900 kcal),25,16,"5,2","1,6","5,2",0,0,,['Le Comptoir de Mathilde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,Poule&toque,3701004805703,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,Bonbon menthe,4036113817552,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Coquelicots,3700238382875,['France'],[],[],?,396,1657 kj(396 kcal),"0,5","0,1",97,65,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,Moules fraîches de Zélande,8712169100522,['France'],[],[],?,125,523 kj(125 kcal),3,1,7,0,17,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Suisse 6 personnes aux fruits confits,,['France'],[],[],?,262,1096 kj(262 kcal),"6,1",1,45,19,"5,6","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Biscuits charcuterie Coppa 90g,3701239902703,['France'],[],[],?,475,1987 kj(475 kcal),26,16,46,"1,6",10,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Terrine cailles aux cèpes,3760276021174,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Confit de canard du sud ouest,3664857006027,['France'],[],[],?,305,1276 kj(305 kcal),23,"7,7","0,5","0,5",24,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 32.079.030 CE', ""Castelnau-d'Auzan (Gers, France)""]",,,,,,,,,,,,,,,,,
1162,Instant noodle,8809275313011,['France'],[],[],?,341,1427 kj(341 kcal),"8,18","3,27","58,18","6,36","8,18","1,73","0,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Gouda vieux aop,2885798025651,['France'],[],[],?,424,1774 kj(424 kcal),35,35,"0,5","0,5",27,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,Mélange exotique,2600129020538,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,Mendiants,5400501109182,['France'],[],[],?,541,2264 kj(541 kcal),"33,729","10,965","47,565","38,376","9,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,Nectar d’ananas,3256228433992,['France'],[],[],?,41,172 kj(41 kcal),"0,5","0,1","9,2","9,2","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Cavacas,5605437441157,['France'],[],[],?,306,1280 kj(306 kcal),2,"0,72","47,82","47,82","4,83","1,45","0,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,Farine de sarrasin,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,Russe praline G.M,2096520272599,['France'],[],[],?,411,1720 kj(411 kcal),22,"9,9",46,46,"6,6","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,pesto con pomodori secchi,8005695004762,['France'],[],[],?,432,1807 kj(432 kcal),41,"7,1",9,"5,3","5,9",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Noix de cajou crème oignon,2600737035955,['France'],[],[],?,605,2531 kj(605 kcal),46,"8,6",26,"6,3",20,11,"4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,Cold brew,032311,['France'],[],[],?,4,17 kj(4 kcal),"0,5","0,1","0,9","0,9","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,La boule à Pizza - Croustipate - 300g,0112121695284,['France'],"['Farine de blé française ', '58%', 'eau', 'gluten de blé', 'sel', 'poudres à lever ', 'glucono-delta-lactone', 'carbonates de potassium', 'sucre', 'vinaigre en poudre', 'levure désactivée', 'agent de traitement de la farine acide ascorbique']",[],?,?,,"1,2",,45,"3,6","8,1","1,5","0,6",['Origine France'],['Croustipate'],B,300 g,['Pâtes à pizza'],1.2 g,en faible quantité,,,3.6 g,en faible quantité,,,,-79%,,-4%,+122%,+12%,36.8%,19.3%,11.5%,8.6%,5.0%,18.8%,92,"['Plastique', 'Carton']",['Hoerdt'],['Gluten'],4,['09PM417'],,['France'],,1.5 g,en quantité modérée,-3%,-3%,"['E575 - Glucono-delta-lactone', 'E300 - Acide ascorbique']",,,,,,,,,
1174,Trotolle,3770012837471,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,Salade,3083681137125,['France'],[],[],?,16,67 kj(16 kcal),"0,5","0,1",2,"1,3",1,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Manchonnade de canard,3770002092484,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Bulots cuits,3663515871250,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Huile à pizza,3251221012526,['France'],[],[],?,900,3766 kj(900 kcal),100,100,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,Lego ninjago,5051889614074,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Lentilles vertes,3250390006343,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,Sirop de menthe verte,3265261485080,['France'],[],[],?,310,1297 kj(310 kcal),0,0,"76,9","76,9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Myster Hop,3760228290658,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Mousse de foie de poulet,7290001567661,['France'],[],[],?,218,912 kj(218 kcal),18,6,1,"0,5","0,5","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Meringues poudrées,3760085328662,['France'],[],[],?,501,2096 kj(501 kcal),24,7,59,57,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Délice de chèvre aux olives noires,3473650123011,['France'],[],[],?,166,695 kj(166 kcal),13,"4,1","6,7","2,5","6,2",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Giotto caffe Momenti Mix,8000500364901,['France'],[],[],?,565,2364 kj(565 kcal),35,"18,7","53,5","39,4",7,"0,325","0,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Salted Caramel Fudge,5060301885749,['France'],[],[],?,418,1749 kj(418 kcal),"9,5","6,1","80,6","66,1","2,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,Filet de saumon,2815285060940,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'Point Vert']",,D,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Saumons', 'Filets de saumon']",,,,,,,,,,,,,,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,,,,,,,,,
1189,Petit Brie au lait cru,3267031660000,['France'],[],[],?,280,1172 kj(280 kcal),22,17,"0,5","0,5",20,"1,5","0,6","['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 61.402.001 CE', 'Saint-Hilaire-de-Briouze (Orne, France)']",,,,,,,,,,,,,,,,,
1190,Jus de pomme-kiwi bio,,['France'],[],[],?,50.200000762939,210 kj(50 kcal),0,0,"11,5","10,5","0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
