,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,allergens,nova_score,traceability_code,generic_name,ingredients_origins,markets,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,additives,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,link,palm_ingredients,brand_owner,origin_detail,producer_info
1850,Cerezas verdes extra,8410095005156,['France'],[],[],?,10,42 kj(10 kcal),"0,9","0,9",15,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,Minestrone estivo,8055118486897,['France'],[],[],?,55,230 kj(55 kcal),"1,1","0,1","8,6",5,"1,8","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,Miel,3110770021819,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,Découpe de dinde Bio,2220532053338,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,Filets poulet fermier Loué,0217247051492,['France'],[],[],?,138,577 kj(138 kcal),"5,9","1,7",0,0,20,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,brownie crisp protein bar,7350104401269,['France'],[],[],?,376,1573 kj(376 kcal),21,9,"26,6","6,4",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,Tournedos - Charal,0292451072297,['France'],[],[],?,858,3590 kj(858 kcal),14,"4,8",0,0,20,"0,16","0,064","['Nutriscore', 'Nutriscore C', 'Nutriscore E']",['Charal'],,,"['Viandes', 'Bœuf', 'Tournedos de boeuf']",14 g,en quantité modérée,4.8 g,en quantité modérée,0 g,en faible quantité,,+379%,+378%,+44%,+21%,-100%,-100%,-0%,,,,,,,,,,,,,,,,0.16 g,en faible quantité,-86%,-86%,,14,+167%,D,+167%,,,,,
1857,Jus de bissap,3770016512213,['France'],[],[],?,75,314 kj(75 kcal),"0,03",0,18,18,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,Canistrelli au citron,3348719186750,['France'],[],[],?,563,2356 kj(563 kcal),21,"3,8",70,30,"9,1","0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,Fruchtjoghurt,4046700005965,['France'],[],[],?,97,406 kj(97 kcal),"2,9","1,8","13,1","12,3","12,3","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,Haricots blancs à la tomate,3017800503317,['France'],[],[],?,79,331 kj(79 kcal),1,"0,1",10,1,"4,9","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,150 calories chocolat drizzle,12736500,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,Tea limone infuso,2004365006958,['France'],[],[],?,23,96 kj(23 kcal),0,0,"5,7","5,7","0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,Nougat,3339500112003,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,Gouda Holland IGP Cumin,0275597018695,['France'],[],[],?,376,1573 kj(376 kcal),31,21,0,0,24,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,Calissons de Provence,3486725011502,['France'],[],[],?,435,1820 kj(435 kcal),17,"1,3",62,54,"7,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
