,name,bar_code,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,link,markets,allergens,ingredients_origins,traceability_code,palm_ingredients,producer_info,brand_owner,origin_detail
1797,candy - Haribo,9002975330060,,,['Haribo'],,,['France'],[],,[],,,,,,,,,,?,345,1443 kj(345 kcal),"0,5","0,1",81,62,"0,01","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,Rillettes de proc Hénaff - 2x 130g,3537580705157,2 x 130 g,['Conserve'],['Hénaff'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']","['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Sans conservateurs', 'Produit en Bretagne', 'Sans nitrite de sodium']",['France'],"['Viande de porc ', '90 %', 'gras de porc', 'sel de mer', 'poivre', ' Sans colorant', 'sans conservateur']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",3,38 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,1678,406,1678 kj(406 kcal),38,15,"0,5","0,5",16,1,"0,4",19,E,D,+2%,+3%,+2%,+3%,+6%,-1%,+47%,+1%,-22%,-22%,-3%,-3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,"['Finistère', 'Bretagne', 'Pouldreuzic']",,,,,"['FR 29.225.001 CE', 'Pouldreuzic (Finistère, France)']",,,,
1799,Fleur de sel,3183280018259,,,,"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']",,['France'],[],,[],,,,0 g,en faible quantité,0 g,en faible quantité,,,?,0,0 kj(0 kcal),?,0,?,0,?,,,,,B,,-100%,-100%,,-100%,,-100%,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,
1800,Thé menthe infusé - Auchan,3596710471539,,,['Auchan'],,,['France'],[],,[],,,,,,,,,,?,20,84 kj(20 kcal),"0,5","0,1","4,8","4,8","0,5","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,
1801,CARAMBAR magicolor - 242g,3664346312707,242 g,,['Carambar'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,['France'],"['Sirop de glucose', 'sucre', 'LAIT écrémé concentré sucré', 'huile de coprah totalement hydrogénée', 'cacao maigre en poudre', 'acidifiant ', 'acide citrique', 'gélatine', 'colorants ', 'E150d', 'E163', 'E161b', 'arômes', 'sel', 'émulsifiant ', 'E471', ""correcteur d'acidité "", 'E500', ' PEUT CONTENIR FRUITS À COQUE']","['E330 - Acide citrique', 'E428 - Gélatine', ""E150d - Caramel au sulfite d'ammonium"", 'E163 - Anthocyanes', 'E161b - Lutéine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E500 - Carbonates de sodium']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,5.9 g,en quantité modérée,5.4 g,en quantité élevée,49 g,en quantité élevée,0.3 g,en quantité modérée,1650,390,1650 kj(390 kcal),"5,9","5,4",82,49,"1,6","0,3","0,12",20,E,E,+6%,+10%,+10%,+217%,+409%,-2%,-16%,-25%,+148%,+148%,+39%,+39%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,Confiseries aromatisées - Parfums assortis.,,,,['Lait'],,,,,,
1802,Zanahoria - Eroski,8480010275292,,,['Eroski'],"['Plats préparés', 'Légumes préparés', 'Carottes râpées']",,"['France', 'Espagne']",[],,[],,0 g,en faible quantité,0 g,en faible quantité,4.7 g,en faible quantité,0.1 g,en faible quantité,?,39,163 kj(39 kcal),0,0,"6,8","4,7","0,9","0,1","0,04",1,B,B,,-49%,-49%,-100%,-100%,+14%,-4%,+3%,-84%,-84%,+83%,+83%,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,,,,,,,,
1803,Dinde à l'indienne et son riz Basmati - Comme J'aime - 300g,3700977701357,300 g,['Etui en carton'],"[""Comme J'aime""]","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Plats à la volaille', 'Plats à la dinde']","['Fabriqué en France', 'Sans conservateurs', 'Nutriscore', 'Nutriscore A']",['France'],"['Riz précuit 32% ', 'Eau', 'Riz basmati étuvé', 'Huile de colza', 'Sel', 'Poudre de curcuma 0,02%', 'Viande de dinde précuite traitée en salaison 28,1% ', 'Viande de dinde ', 'origine France', 'Eau', 'Fécule de manioc', 'Amidon de riz', 'Sel', 'Eau', 'Tomate 8,9%', 'carottes 5,4%', 'Courgettes 5,4%', 'Oignon 3%', 'Sel', 'Fibres de lin', 'Curry en poudre', 'Jus de citron', 'Cumin']",,"['Non végétalien', 'Non végétarien']",3,4 g,en quantité modérée,0.8 g,en faible quantité,0.9 g,en faible quantité,0.84 g,en quantité modérée,492,117,492 kj(117 kcal),4,"0,8",13,"0,9","6,8","0,84","0,336",0,B,C,-21%,-28%,-28%,-49%,-66%,+42%,-24%,-37%,-11%,-11%,-100%,-100%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,,,,,,,,,
1804,Olivade en duo noire et verte - Le potager bio - 100g,3770010667087,100g,,['Le potager bio'],"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades']","['Bio', ""À l'huile de tournesol""]",['France'],"['Olives noires* ', 'dont sel', ' 41 %', 'olives vertes* ', 'dont sel', ' 41 %', 'huile de tournesol""', 'cápres* ', 'dont sel', 'al""', 'moutarde* ', 'vinaigre de didre""', 'graines de moutarde""', 'eau', 'sel', 'acidifiant: acide citrique', 'jus de citron concentré""', 'herbes de Provence“', ' ""Ingrédients issus de l\'agriculture biologique']",['E330 - Acide citrique'],[],3,,,,,,,,,?,?,,?,,?,,?,,,,,C,,,,,,,,,,,,,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,['Moutarde'],,,,,,
1805,Pop corn AMICA snack,8008714000141,,,,,,['France'],[],,[],,,,,,,,,,?,522,2184 kj(522 kcal),28,"2,4",54,"0,5","9,5","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,Fassbrause Mango-Maracuja - 330ml,4005249061245,330 ml,['Flasche'],,"['Boissons', 'Boissons gazeuses']",,"['France', 'Allemagne']","['Wasser', 'Zucker', '3 % Zitronensaft""', '1 % Mangosat 1% Maracujasaft*', 'Gerstenmalzextrakt', 'Kohlensäu Zitronenextrakt', 'natürliches Aroma', 'Vitamin C', 'Stabiksat Johannisbrotkernmehl', 'Farbstoff Carotin', 'Hopfen', ' ""aus Fruchtsaftkonzentraten']",['E160a - Carotènes mélangés'],"[""Pourrait contenir de l'huile de palme""]",4,0.5 g,en faible quantité,0.1 g,en faible quantité,5.1 g,en quantité modérée,0.01 g,en faible quantité,93,22,93 kj(22 kcal),"0,5","0,1","5,3","5,1","0,35","0,01","0,004",8,D,,-8%,-12%,-11%,+1129%,+995%,-13%,-14%,+546%,-41%,-41%,-3%,-3%,,,,,,,,,,,,['Gluten'],,,,,,
1807,Brauner Rohrohrzucker - Puda - 500g,28389224,500g,['Kunststoff'],['Puda'],,"['Commerce équitable', 'Fairtrade International']","['France', 'Allemagne']",[],,[],,,,,,,,,,?,400,1674 kj(400 kcal),0,0,"99,9","99,9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,Chinotto - Ursini - 250g e,10539088,250 g e,['Verre'],['Ursini'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates au basilic']",,['France'],"['Tomates pelées 96%', ""huile d'olive extra vierge 17%"", 'basilic 1%', 'sel', 'ail', 'sucre']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0 g,en faible quantité,0 g,en faible quantité,7.3 g,en quantité modérée,0 g,en faible quantité,164,30,164 kj(30 kcal),0,0,"7,5","7,3",0,0,0,-4,A,A,-31%,-54%,-38%,-100%,-100%,+23%,+47%,-100%,-100%,-100%,-1832%,-1832%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,,['Italie'],,,,,
1809,Caldo de pollo,8480017100467,,,,,,['France'],[],,[],,,,,,,,,,?,4,17 kj(4 kcal),"0,2","0,1","0,4","0,2","0,1","1,06","0,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,Melegati COLOMBA classic - 13x 80g,8002630060005,13 x 80 g,,,,,['France'],[],,[],,,,,,,,,,?,383,1602 kj(383 kcal),13,"8,2",60,40,"5,9","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,Jambon de Bayonne,3760117740912,,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']",['IGP'],['France'],[],,[],,20 g,en quantité modérée,8.9 g,en quantité élevée,0 g,en faible quantité,5.2 g,en quantité élevée,?,319,1335 kj(319 kcal),20,"8,9",0,0,34,"5,2","2,08",21,E,E,,+30%,+30%,+43%,+50%,-100%,-100%,+16%,+9%,+9%,+17%,+17%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,,,,,,,,,
1812,Socca Chips® Bio - 120g,3760250060274,120 g,['Paquet'],['Socca Chips®'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Biscuits apéritifs']","['Bio', 'Végétarien', 'Sans gluten', 'Végétalien', 'Sans conservateurs']",['France'],"['Farine de pois chiche* ', '55%', 'huile de tournesol*', ""huile d'olive*"", 'sel', ""poivre* \r* Ingrédients issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,40 g,en quantité élevée,4.7 g,en quantité modérée,2 g,en faible quantité,1.9 g,en quantité élevée,2329,561,2329 kj(561 kcal),40,"4,7",30,2,15,"1,9","0,76",13,D,B,+16%,+21%,+19%,+101%,-13%,-49%,-49%,+52%,-5%,-5%,-16%,-16%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,['Saint André de la Roche (06)'],https://www.soccachips.com,"['Grande Distribution', 'E-commerce']",['Aucun'],,,,,Luc Salsedo,
1813,Lindt Excellence Cassis Intense - 100g,7610400076357,100 g,"['Papier', 'Alu']",['Lindt'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolat noir à moins de 70% de cacao en tablette']",['en:Verified'],"['Belgique', 'France']","['Sucre', 'pâte de cacao', 'préparation de fruits 7% ', 'jus de cassis 37%', 'sucre', 'pomme', ""fibres d'ananas"", 'gélifiant [alginate de sodium]', 'stabilisant [calcium phosphate]', 'arôme', ""correcteur d'acidité [citrate de potassium]"", 'jus concentré colorant [sureau', 'aronia]', ""correcteur d'acidité [acide citrique]"", 'amandes 7%', 'beurre de cacao', 'beurre laitier concentré', 'émulsifiant ', 'lécithine de soja', 'arômes', ' Peut contenir du lait', ""des noisettes et d'autres fruits à coque"", ' Le chocolat noir contient cacao: 48% min']","['E401 - Alginate de sodium', 'E332 - Citrates de potassium', 'E330 - Acide citrique', 'E322i - Lécithine']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,32 g,en quantité élevée,18 g,en quantité élevée,47 g,en quantité élevée,0.125 g,en faible quantité,?,526,2201 kj(526 kcal),32,18,49,47,"6,6","0,125","0,05",26,E,E,,-5%,-5%,-19%,-22%,+27%,+48%,-14%,+168%,+168%,+23%,+23%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,['Suisse'],,,"['Fruits à coque', 'Soja']",,,,,,
1814,Salteada al ajillo calentar y - La Gula del Norte,8410155020600,,,"['La Gula del Norte', 'Ubago']",,,['France'],[],,[],,,,,,,,,,?,449,1879 kj(449 kcal),43,"5,5","6,8","0,5","7,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,Grimbergen - 6x25cl grimbergen pale ale - 5.50 degre alcool - 1500ml,3080216052540,1500 ml,"['Bouteille', 'Etui en carton']",['Grimbergen'],"['Boissons', 'Boissons alcoolisées', 'Bières']","['Déconseillé à certaines catégories de personnes', 'Déconseillé aux enfants et aux femmes enceintes', 'PEFC', 'Triman']",['France'],"['Eau', ""MALT D 'ORGE"", 'sirop de glucose', 'MALT DE BLÉ', 'caramel aromatique', 'sucre', ""EXTRAIT DE MALT D'ORGE"", 'houblons et extraits de houblon']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,200,48,200 kj(48 kcal),0,0,"3,9",0,"0,4","0,01","0,004",,,C,+3%,+9%,+8%,-100%,-100%,+0%,-100%,0%,-37%,-37%,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,bière,,,,['Gluten'],,,,,,
1816,Johannisbeer Spritzig - Lidl - 0.5l,42368908,0.5l,,['Lidl'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",,"['France', 'Allemagne']",[],,[],,0 g,en faible quantité,0 g,en faible quantité,6.8 g,en quantité élevée,0 g,en faible quantité,?,28,117 kj(28 kcal),0,0,"6,8","6,8",0,0,0,9,D,C,,-38%,-37%,-100%,-100%,-35%,-29%,-100%,-100%,-100%,+33%,+33%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,,,,,
1817,Le p'tit flan café,3760215810289,,,,,"['Bio', 'Bio européen', 'FR-BIO-07', 'FR-BIO-16']",['France'],[],,[],,,,,,,,,,?,140,586 kj(140 kcal),"2,9",0,"23,6","10,13","3,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,Burrata classica,8032644502307,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Burrata']",,['France'],[],,[],,22 g,en quantité élevée,15.8 g,en quantité élevée,2 g,en faible quantité,0.69 g,en quantité modérée,?,255,1067 kj(255 kcal),22,"15,8","2,1",2,"12,1","0,69","0,276",11,D,D,,+3%,+4%,+5%,+18%,+48%,+59%,0%,+25%,+25%,+15%,+15%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
1819,ROBI - 125g,3701249500043,125 g,,,,"['Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",['France'],[],,['Sans huile de palme'],,,,,,,,,,?,561,2347 kj(561 kcal),"35,6","3,3","54,3","0,3","6,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,Pizza saumon fumé courgettes grillées et aneth - Monoprix Bio,3350033635562,,,['Monoprix Bio'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizza au saumon']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],,[],,12 g,en quantité modérée,6.9 g,en quantité élevée,3.4 g,en faible quantité,1.5 g,en quantité modérée,?,262,1096 kj(262 kcal),12,"6,9",28,"3,4","9,7","1,5","0,6",15,D,B,,+9%,+10%,+19%,+46%,+15%,+19%,-5%,+22%,+22%,+42%,+42%,66.0%,11.0%,4.2%,7.2%,2.4%,9.2%,67,,,,['Monoprix'],,,,,,,
1821,Farine de sarrasin - Naturaline,3347430001083,,,['Naturaline'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de sarrasin']","['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],,[],,3.5 g,en quantité modérée,0.48 g,en faible quantité,1.3 g,en faible quantité,0.03 g,en faible quantité,?,369,1544 kj(369 kcal),"3,5","0,48","71,3","1,3","13,1","0,03","0,012",-1,A,B,,+6%,+5%,+27%,-10%,+6%,-4%,+13%,+91%,+91%,,,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,,,,,,,,,,,
1822,La joue de bœuf - 300g,3021690028942,300 g,,,,"['Sans colorants', 'Sans conservateurs']",['France'],[],,[],,,,,,,,,,?,56,234 kj(56 kcal),"1,6","0,6","4,6","2,2",5,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,Jogger Lakritz - Katjes,4037400434384,,,['Katjes'],,,['France'],[],,[],,,,,,,,,,?,333,1393 kj(333 kcal),"0,2","0,1",82,60,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,Quinoa Bio - Léa Nature,3456300011999,,,['Léa Nature'],,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore A', 'AB Agriculture Biologique']",['France'],[],,[],,,,,,,,,,?,361,1510 kj(361 kcal),3,"0,3","67,6","3,3","11,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,Magnum Original Washing Up Liquid - Dr.Oetker - 35ml,96081280,35ml,"['pet-bottle', '01 PET']",['Dr.Oetker'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Additifs alimentaires', 'Arômes', 'Vanille', 'Arômes pâtisserie', 'Extrait de vanille']","['Végétarien', 'Végétalien']","['France', 'Royaume-Uni']","['Invert sugar syrup', 'glucose syrup', 'water', 'vanilla extract']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,?,12,,"0,347",,"3,86",,"0,08",,,,,B,,,,,,,,,,,,,73.5%,0.0%,8.0%,13.6%,4.9%,0.0%,84,Natural vanilla extract,,https://www.oetker.co.uk/uk-en/our-products/home-baking/natural-extracts-flavours/madagascan-vanilla-extract,['Ocado'],,,,,,,
1826,compote pomme rubarbe - Cora - 4x 100g,3257986561071,4 x 100 g,,['Cora'],,"['Sans colorants', 'Sans conservateurs']",['France'],[],,[],,,,,,,,,,?,59,247 kj(59 kcal),4,1,14,14,4,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,Galletas - trias - 1059oz,8411724040302,1059 oz,,['Trias'],['Biscuits et gâteaux'],,"['France', 'Espagne']",[],,[],,20.5 g,en quantité élevée,6.6 g,en quantité élevée,44.9 g,en quantité élevée,0.4 g,en quantité modérée,?,482,2017 kj(482 kcal),"20,5","6,6","64,5","44,9","8,4","0,4","0,16",22,E,,,+12%,+12%,+7%,-23%,+13%,+54%,+42%,-29%,-29%,+19%,+19%,,,,,,,,,,,,,,,,,,
1828,Olives noires entières bio aux herbes de provence,3760137113345,,,,,['Bio'],['France'],[],,[],,,,,,,,,,?,328,1372 kj(328 kcal),"30,6","3,6","12,7","0,5","0,4","6,8","2,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Green tea matcha - Nestlé,42370598,,,['Nestlé'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Biscuits et gâteaux', 'Confiseries chocolatées', 'Biscuits', 'Gaufrettes']",['Nestle-cocoa-plan'],['France'],"['Wafer ricoperto di cioccolato bianco ', '68,2%', ' con té verde matcha in polvere\rZucchero', 'burro di cacao', 'latte scremato in polvere', 'farina di frumento', 'oli e grassi vegetali ', 'palma', 'karite', ' burro anidro', 'permeato di siero di latte in polvere', 'cacao magro in polvere', 'tè verde matcha in polvere', '1%,emulsionante lecitine', 'pasta di cacao', 'agente lievitante carbonati di sodio']",,[],,30.4 g,en quantité élevée,17.1 g,en quantité élevée,42.7 g,en quantité élevée,0.27 g,en faible quantité,?,536,2243 kj(536 kcal),"30,4","17,1","56,4","42,7","8,4","0,27","0,108",26,E,C,,+7%,+7%,+23%,+16%,-9%,+24%,+53%,-21%,-21%,+18%,+18%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,,,,,,,,,,
1830,From'Bio Brie,3060921504510,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],,[],,,,,,,,,,?,301,1259 kj(301 kcal),25,17,1,"0,5",18,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,Shampoing Fam.amande de casino - 500mL / 260f,3222475314902,500mL / 260f,,['Casino'],"['Non alimentaire', 'Open Beauty Facts']",,['France'],[],,[],,,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],,,,,,,
1832,Preparazione di albucocche - 250g,4099200198187,250 g,"['Product', 'produkt']",,,,"['Autriche', 'France', 'Italie']",[],,[],,,,,,,,,,?,173,724 kj(173 kcal),"0,5","0,1",41,40,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,Gyoza à la viande de bœuf - Vici - 400g,4770190120074,400 g,"['Sachet', 'Plastique', 'surgelé', 'Film en plastique']",['Vici'],"['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Pâtes farcies', 'Plats au bœuf', 'Pates farcies à la viande', 'Ravioli', 'Ravioli à la viande']","['Bio', 'Bio européen', 'Agriculture UE', 'Point Vert', 'LT-EKO-001', 'AB Agriculture Biologique']","['Belgique', 'France']","['Farce 60% : viande de bœuf bio 36%', 'graisse de bœuf bio 19%', 'eau', 'œuf bio', 'oignons bio', 'sel de mer', 'ail semoule bio', 'poivre noir bio', ' Pâte 40% : farine de blé bio', 'eau', 'huile de tournesol bio', 'sel de mer']",,"['Non végétalien', 'Non végétarien']",3,11.1 g,en quantité modérée,3.76 g,en quantité modérée,0.33 g,en faible quantité,1 g,en quantité modérée,945,226,945 kj(226 kcal),"11,1","3,76",21,"0,33","9,7",1,"0,4",3,C,D,+60%,+51%,+51%,+191%,+179%,+1%,-87%,+55%,+10%,+10%,+21%,+21%,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,,['Lituanie'],,['La Vie Claire'],['Œufs'],,['LT 68-05 EB'],,,,
1834,Veggy tut acid - Carrefour,5400101071148,,,['Carrefour'],,,['France'],"['Sucre', 'sirop de gluccse', 'amidon de mais', 'eau', 'acidifiants : acide lactique - acide malique-acide citrique - malate acide de sodium', 'gélifiant : pectine', 'jus de fruits concentrés ', 'pomme', 'raisin', 'poire', 'arômes naturels', 'ingrédients colorants: concentré de spiruline', 'concentré de carthame-concentré de jus de carotte noire - Concené de raisin', 'colorants : curcumine - extrait de paprika,']","['E270 - Acide lactique', 'E296 - Acide malique', 'E350ii - Malate acide de sodium', 'E440 - Pectines', 'E100 - Curcumine', 'E160c - Extrait de paprika']",[],4,,,,,,,,,?,344,1439 kj(344 kcal),"0,5","0,5",84,56,"0,5","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,
1835,"Rjaschenka, Milcherzeugnis Aus Joghurt Mit Karamel. .. - Monolith Süd - 500g",4030957171047,500 g,"['Pot en plastique', 'Plastic']","['Monolith Süd', 'Зорька Моя']","['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées']",['Fabriqué en Allemagne'],"['France', 'Allemagne']","['Yaourt doux', 'sirop de sucre caramel']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,3.5 g,en quantité modérée,2.3 g,en quantité modérée,4.2 g,en quantité modérée,0.13 g,en faible quantité,257,62,257 kj(62 kcal),"3,5","2,3","4,2","4,2","3,3","0,13","0,052",14,E,,-14%,-9%,-12%,+116%,+131%,-59%,-56%,+12%,+20%,+20%,-8%,-8%,,,,,,,,"Rjajenka, Ryazhenka",['Allemagne'],,,,,['DE BY-306 EG'],,,,
1836,"Huile De Tournesol Florin 1 L, 1 Bouteille",7610231052780,,['Bouteille'],,,,"['France', 'Suisse']",[],,[],,,,,,,,,,?,828,3464 kj(828 kcal),92,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,Risotto aux légumes - Carrefour,5400101070660,,,['Carrefour'],"['Plats préparés', 'Plats à base de riz', 'Risottos', 'Risottos aux légumes']","['Bio', 'Bio européen', 'BE-BIO-01', 'BE-BIO-02']","['Belgique', 'France']",[],,[],,5.4 g,en quantité modérée,2.4 g,en quantité modérée,1.3 g,en faible quantité,0.49 g,en quantité modérée,?,143,598 kj(143 kcal),"5,4","2,4",20,"1,3","3,7","0,49","0,196",3,C,B,,-42%,-40%,+72%,+82%,-54%,-18%,-35%,-44%,-44%,-30%,-30%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,,,,['Carrefour'],,,,,,,
1838,Thunfisch-Filets in Olivenöl mit Zitrone und schwarzem Pfeffer - Saupiquet - 104g (130g),4260057140173,104 g (130 g),['Dose'],"['Saupiquet', 'Rio mare']","['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve']",,"['France', 'Allemagne']","['Thunfisch ', 'Euthynus ', 'Katsuwonus', ' pelamis', 'Olivenöl', 'Zitronensaft 1%', 'schwarzer Pfeffer', 'Salz', 'natürliche Pfeffer - und Zitronenaroma']",,"['Non végétalien', 'Non végétarien']",4,25 g,en quantité élevée,4.2 g,en quantité modérée,0.2 g,en faible quantité,1.3 g,en quantité modérée,?,306,1280 kj(306 kcal),25,"4,2",1,"0,2",20,"1,3","0,52",12,D,D,,+55%,+58%,+125%,+136%,+57%,-44%,-11%,+25%,+25%,+305%,+305%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,"['D-47750', 'Krefeld', 'Deutschland']",,['Aldi'],['Poisson'],['de:FAO 87'],['ES 12.00489/PO CE'],,,,
1839,Mozzarella Mandara di latte di Bufala - 100g,8010749101144,100 g,['Plastica'],['Mandara'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,['France'],"['MOZZARELLA MANDARA DI LATTE DI BUFALA FORMAGGIO FRESCO A PASTA FILATA DI LATTE DI BUFALA Ingredienti: latte di bufala pastorizzato', 'sieroinnesto naturale ', 'derivato del latte', 'sale', 'caglio', ' ORIGINE DEL LATTE: ITALIA', ' Da consumare entro la data impressa sulla confezione', ' Conservare in frigorifero da 0 °C a +4 °C']",,[],,25 g,en quantité élevée,16 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,285,1192 kj(285 kcal),25,16,1,1,14,"0,8","0,32",11,D,D,,-13%,-13%,-6%,-10%,-17%,+35%,-31%,-38%,-38%,-20%,-20%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
