,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,palm_ingredients,traceability_code,ingredients_origins,brand_owner
1778,Son Bio d'Avoine - AS l'aliment sain - 800g,3398240205048,,,800 g,,"[""AS l'aliment sain""]",,,,['France'],[],,,[],,,,,,,,,,?,,355,,1485 kj(355 kcal),,"8,2",,"1,6",,"47,6",,"1,8",,"16,6",,"0,002",,"0,001",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,
1779,Préparation pour purée d'epinard,3770002635278,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,
1780,750G Boite Gelee Maggi - 750g,7613033347399,,,750 g,,['Maggi'],,,,['France'],[],,,[],,,,,,,,,,?,,248,,1038 kj(248 kcal),,"0,1",,"0,1",,"23,8",,"6,6",,38,,"29,6",,"11,84",,,,,,,,,,,,,,,,,,
1781,Chouquettes,2098412387039,C,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chouquettes']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,77.4%,13.4%,5.7%,3.0%,0.4%,0.0%,72,,,,,,
1782,Rôti veau façon orloff,2274160009694,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,197,,824 kj(197 kcal),,13,,5,,"1,1",,"0,5",,19,,"0,39",,"0,156",,,,,,,,,,,,,,,,,,
1783,Tableþe noir Alpidou,3561770100163,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,542,,2268 kj(542 kcal),,"35,6",,"21,7",,"49,7",,"43,6",,"5,8",,"0,17",,"0,068",,,,,,,,,,,,,,,,,,
1784,Grignottes de poulet bio,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,177,,741 kj(177 kcal),,"9,3",,"2,5",,2,,"1,5",,21,,"1,3",,"0,52",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,
1785,Dinkelbrout,5450005065682,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,281,,1176 kj(281 kcal),,"9,1",,"0,9",,"37,4",,"6,3",,"9,4",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,
1786,Cassoulet gourmand,3387620058657,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,156,,653 kj(156 kcal),,10,,"3,5",,"8,9",,"4,9",,"9,2",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,
1787,Creme glacee gout vanille,3308650717413,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,188,,787 kj(188 kcal),,"8,5",,"5,5",,"25,5",,"25,4",,"2,2",,"0,09",,"0,036",,,,,,,,,,,,,,,,,,
1788,Coquillettes nature,2030500025461,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
