,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,palm_ingredients,traceability_code,ingredients_origins,brand_owner
1013,Poulet jaune,0200362022966,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1014,Teh tarik,9556015120222,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,71,,297 kj(71 kcal),,"3,1",,1,,"2,2",,1,,"0,7",,"4,8",,"1,92",,,,,,,,,,,,,,,,,,
1015,Gouda hollande,2488620014238,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,372,,1556 kj(372 kcal),,"30,5",,"21,2",,0,,0,,"23,4",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,
1016,Mortadella Bologna IGP -,8005214007762,E,,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Charcuteries cuites', 'Produits carnés italiens', 'Mortadelle', 'Mortadelle de Bologne']",,,['France'],"['Viande de porc', 'gras de porc', ' tripes de porc', 'sel', 'pistaches ', '0,6%', ' di saccharose', 'épices', 'aromes', ' Antioxydant: ascorbate de sodium', ' Conservateur: nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Fruits à coque'],"['Non végétalien', 'Non végétarien']",4,26 g,en quantité élevée,8 g,en quantité élevée,0.5 g,en faible quantité,2.1 g,en quantité élevée,?,,298,+6%,1247 kj(298 kcal),+8%,26,+9%,8,-8%,"0,5",-47%,"0,5",-1%,"15,5",+6%,"2,1",-8%,"0,84",-8%,19,-5%,E,-5%,73.5%,18.1%,3.9%,1.2%,0.7%,2.6%,24,"['Sans gluten', 'IGP']",,,,,
1017,Rochers Noix de Coco - Les Renardises - 300g e,3415708841089,C,Pâtisserie à la noix de coco,300 g e,['Plastique'],['Les Renardises'],"['Biscuits et gâteaux', 'Pâtisseries', 'Rochers à la noix de coco']",,,['France'],"['Noix de coco 31 %', 'sucre', 'sirop de glucose', ""blanc d'œuf"", 'dextrose', 'farine de riz']",,['Œufs'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,26 g,en quantité élevée,23 g,en quantité élevée,50 g,en quantité élevée,0.07 g,en faible quantité,1955,+4%,?,,1955 kj(467 kcal),+4%,26,+11%,23,+12%,53,+2%,50,+15%,"3,8",-11%,"0,07",-53%,"0,028",-53%,25,+11%,E,+11%,73.2%,12.2%,5.9%,5.6%,3.1%,0.0%,74,"['Point Vert', 'Sans matière grasse hydrogénée', 'Sans conservateurs', 'en:palm-oil-free']",,,,,
1018,Chocolade mini desserts chocolat,20959708,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,376,,1573 kj(376 kcal),,23,,13,,39,,33,,"3,1",,"0,29",,"0,116",,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,
1019,Chocoladevla Pak 500 ml - Albert Heijn,8710400050674,,,500 mL,,['Albert Heijn'],,,['Albert Heijn'],['France'],[],,,[],,,,,,,,,,?,,96,,402 kj(96 kcal),,3,,2,,15,,11,,"2,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,
1020,White coffee,9555239000105,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,185,,774 kj(185 kcal),,"6,4",,1,,1,,"0,3",,"1,3",,1,,"0,4",,,,,,,,,,,,,,,,,,
1021,2451246020471,2451246020471,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1022,Escalopes de dinde,0289054025126,D,,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,
1023,Jambon,0239352036812,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Sans additifs'],,,,,
1024,Tipiak croutons ail,57953953,D,,,,['Tipiak'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",,,['France'],[],,,[],,31.3 g,en quantité élevée,3.2 g,en quantité modérée,4 g,en faible quantité,2.5 g,en quantité élevée,?,,533,+13%,2230 kj(533 kcal),+13%,"31,3",+53%,"3,2",+6%,"52,5",-11%,4,+8%,"7,8",-17%,"2,5",+28%,1,+28%,19,+30%,E,+30%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,,,
1025,Ananas morceaux,0291435015411,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,54,,226 kj(54 kcal),,"0,24",,"0,01",,"11,3",,"10,1",,"0,52",,0,,0,,,,,,,,,,,,,,,,,,
1026,Salade de pois chiche cumin (Orientale) - Crous Resto',3760270250396,,Salade composée de pois chiche et de crudités,,,"[""Crous Resto'""]",['Salades de pois chiche'],,,['France'],"['Pois chiche ', '61%', 'Pois chiches secs trempés', 'eau', 'sel', 'tomate ', '8%', 'concombre ', '7%', 'poivron rouge', 'poivron vert', 'salade mélangée ', 'Chicorée rouge', 'Frisée', 'Mache', 'coriandre', 'oignon rouge', 'huile d’olive extra vierge', 'cumin']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,3.6 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en faible quantité,0.35 g,en quantité modérée,?,,103,,431 kj(103 kcal),,"3,6",,"0,5",,11,,"1,1",,"4,7",,"0,35",,"0,14",,-4,,A,,,,,,,,,,,,,,
1027,Speculaascake - Aveve,5411866962367,,,,,['Aveve'],,,,['France'],[],,,[],,,,,,,,,,?,,397,,1661 kj(397 kcal),,"5,5",,"2,4",,"81,5",,"46,7",,"4,8",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,
1028,COMTE,0239995014376,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,['France'],[],,,[],,35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,?,,431,+9%,1803 kj(431 kcal),+9%,35,+7%,24,+11%,2,+333%,"0,5",+80%,27,+7%,"0,9",-8%,"0,36",-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,
1029,Anjola Mate,4260107222811,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,22,,92 kj(22 kcal),,"2,4",,2,,"5,2",,5,,1,,1,,"0,4",,,,,,,,,,,,,,,,,,
1030,Pesto ligure vegano,8008237050364,,,,,,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,549,,2297 kj(549 kcal),,55,,"8,7",,"8,6",,5,,"2,5",,"3,1",,"1,24",,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,
1031,Sorbet Mangue des Indes - La Boîte à Sorbets,3282210002143,,,,"['Carton', 'Plastique', 'Surgelé']",['La Boîte à Sorbets'],,,,['France'],[],,,[],,,,,,,,,,?,,79,,331 kj(79 kcal),,"0,5",,"0,4",,17,,16,,"1,6",,"0,005",,"0,002",,,,,,,,,,,,,,,,,,
1032,Tartelettes aux Noix du Périgord - 100g,3549170000405,,,100 g,,,,,,['France'],[],,,[],,,,,,,,,,?,,487,,2038 kj(487 kcal),,"23,6",,"9,1",,"59,6",,"37,4",,"8,1",,"0,1",,"0,04",,,,,,,,,,,,,['AOP'],,,,,
1033,Intégral cru - Speeduline - 70g,3760224621302,D,,70g,['70g'],['Speeduline'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats édulcorés', 'Chocolats noirs', 'Chocolat au beurre de cacao cru']",http://www.speeduline.fr,['Salon Marjolaine'],"['France', 'Suisse']",[],,,[],,45.1 g,en quantité élevée,27.2 g,en quantité élevée,26.2 g,en quantité élevée,0 g,en faible quantité,?,,593,+18%,2481 kj(593 kcal),+18%,"45,15",+19%,"27,21",+23%,"55,66",+37%,"26,25",+512%,"7,52",+3%,0,-100%,0,-100%,19,+31%,E,+31%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Peu ou pas de sucre', 'Peu de sucre', 'Bio', 'Bio européen', 'Allégé en sucre', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans sucre ajouté', 'AB Agriculture Biologique', 'Sans produit animal']",,,,,
1034,Protein meals vegetarian chili - MyProtein,5055936808584,,,,,['MyProtein'],,,,['France'],[],,,[],,,,,,,,,,?,,97,,406 kj(97 kcal),,"2,1",,"1,1",,"9,3",,"1,8",,9,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,
1035,Fromage de chèvre,3411240003015,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,309,,1293 kj(309 kcal),,"24,1",,"16,6",,"1,5",,"0,809",,"19,3",,0,,0,,,,,,,,,,,,,,,,,,
1036,Fesch Keschle,2434988033268,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,162,,678 kj(162 kcal),,7,,"0,8",,"7,6",,"0,6",,"16,3",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,
1037,Protein fuel 25,5041750100003,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,56,,234 kj(56 kcal),,"0,4",,"0,3",,5,,"4,7",,8,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,
1038,Vache a boire myrtilles sauvages - Michel et Augustin,13533431,,,,,['Michel et Augustin'],,,,['France'],[],,,[],,,,,,,,,,?,,85,,356 kj(85 kcal),,"3,1",,2,,11,,11,,3,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,
1039,TURMERIC CURCUMIN,5060315420615,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1040,Messegue Phytobio: 5 Plantes Bonheur,3563210014320,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1041,2000700067707,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,,,,
1042,Baguette aux graines de céréales - Auchan,2090000171532,,,,,['Auchan'],,,['Auchan'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1043,2 moyennes halottes,3760256050118,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1044,Curry Thali - La Route des Comptoirs,3760011134039,,,,,['La Route des Comptoirs'],"['Epicerie', 'Condiments']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,
1045,Sivri bamya konservesi,8690575064419,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,38,,159 kj(38 kcal),,"0,65",,0,,"4,67",,"1,12",,"2,35",,"0,93",,"0,372",,,,,,,,,,,,,,,,,,
1046,Nut bar mixed nuts & honey,5203937002238,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,517,,2163 kj(517 kcal),,"35,5",,"4,2",,30,,24,,20,,"0,025",,"0,01",,,,,,,,,,,,,,,,,,
1047,Confiture extra de fraise a la cassonade - Les Recettes de Juliette - 100g,3760058112281,D,,100 g,,['Les Recettes de Juliette'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,['France'],"['Fraises', 'sucre', 'cassonade 20%', 'gélifiant : pectine de fruit', 'jus de citron concentré', ' Préparée avec 53g de fruits pour 100g', 'La teneur totale en sucres est de 55g de sucre pour 100g']",['E440 - Pectines'],,[],4,0.5 g,en faible quantité,0.2 g,en faible quantité,52.1 g,en quantité élevée,0.07 g,en faible quantité,?,,220,+1%,920 kj(220 kcal),+1%,"0,5",+107%,"0,2",+343%,"54,9",+3%,"52,1",+3%,"0,5",+13%,"0,07",+208%,"0,028",+208%,11,+26%,D,+26%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Concours général agricole', ""Médaille d'or du Concours général agricole"", ""Médaille d'or du concours général agricole 2015""]",,,,,
1048,The vert nature du sorcier socrate,3760189740865,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,
1049,Pavé chorizo sec tranche,2137310002603,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1050,Abidjan,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,96,,402 kj(96 kcal),,"6,4",,"0,98",,"36,6",,"1,6",,"6,6",,"0,9",,"0,36",,,,,,,,,,,,,['Bio'],,,,,
1051,La pelta,2485220026890,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,276,,1155 kj(276 kcal),,22,,18,,"1,5",,1,,20,,"0,85",,"0,34",,,,,,,,,,,,,,,,"['FR 46.067.004 CE', 'Cazillac (Lot, France)']",,
1052,Notre creme a la vanille,3523230707824,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,139,,582 kj(139 kcal),,6,,"3,9",,18,,15,,"3,2",,"0,1",,"0,04",,,,,,,,,,,,,['Bio'],,,,,
1053,Ventre  de porc sechee,2105270001202,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1054,Magret de canard du Périgord - Delmond - 458kg,2403327044937,E,,458kg,,['Delmond'],"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,"['FR 24.439.004 CE', 'Saint-Laurent-sur-Manoire (Dordogne, France)']",,
1055,Pink lady -,0203944005050,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1056,Kefir coconut cultured drink - The collective great dairy,5056138200459,,,,['pet-bottle'],['The collective great dairy'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Kéfir']",,,['France'],[],,,[],,2.6 g,en quantité modérée,1.9 g,en quantité modérée,6.7 g,en quantité élevée,0.09 g,en faible quantité,?,,57,+4%,238 kj(57 kcal),+0%,"2,6",+14%,"1,9",+36%,"8,2",+59%,"6,7",+48%,3,-7%,"0,09",-17%,"0,036",-17%,14,+23%,E,+23%,,,,,,,,,,,,,
1057,Taboulé verde,2217175029714,B,,,,,"['Plats préparés', 'Taboulés']",,,['France'],[],,,[],,5.62 g,en quantité modérée,0.69 g,en faible quantité,2.11 g,en faible quantité,0.71 g,en quantité modérée,?,,130,-23%,544 kj(130 kcal),-23%,"5,62",-13%,"0,69",-3%,"15,87",-25%,"2,11",-35%,"2,88",-35%,"0,71",-25%,"0,284",-25%,3,+10%,C,+10%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,,,,
1058,Moutarde en grains,3760015257499,B,,,,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,['France'],[],,,[],,11 g,en quantité modérée,0.8 g,en faible quantité,2.1 g,en faible quantité,5.9 g,en quantité élevée,?,,619,+264%,2590 kj(619 kcal),+265%,11,+2%,"0,8",-2%,"3,6",-48%,"2,1",-46%,"7,2",+10%,"5,9",+25%,"2,36",+25%,17,+47%,D,+47%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,
1059,Brioche nature 400g - 400g,2030500478342,,,400 g,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1060,5 meat free sausages,5015544172354,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,201,,841 kj(201 kcal),,"9,2",,"5,3",,"14,2",,"2,3",,"14,2",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,
1061,Miel de Corse Maquis de printemps - Ritz - 250g,3760190521262,B,,250 g,,['Ritz'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de Corse']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['AOP'],,,,,
1062,Sucettes totoches,3760185941365,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1063,Filets de poulet - Auchan,2600495022969,D,,,,['Auchan'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['Auchan'],['France'],[],,,[],,1.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,?,,110,-16%,460 kj(110 kcal),-15%,"1,5",-48%,"0,5",-33%,"0,5",+4%,"0,5",+106%,24,+5%,"0,1",-87%,"0,04",-87%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,
1064,Limonade artisanal - Campagnette - 75cl,3770009189033,,,75 cl,['Verre'],['Campagnette'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades', 'Boissons avec sucre ajouté']",,,['France'],"['Composants : eau gazéifiée', 'sucre de canne non raffiné ', '6g/100 ml', '*', 'acide citrique', 'extrait de citron de Menton*', ' ""Ingrédients issus de l\'agriculture biologique']",['E330 - Acide citrique'],,[],3,,,,,,,,,136,+24%,?,,136 kj(33 kcal),+8%,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,['01304'],,
1065,Confiture de gingembre - The Britannia,0043647784018,,,,,['The Britannia'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de gingembre']",,,['France'],"['SUCRE', 'GINGEMBRE', 'GELIFIANT: PECTINE', ""RÉGULATEUR D'ACIDITE: ACIDE CITRIQUE""]","['E440 - Pectines', 'E330 - Acide citrique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1066,Baguette Bio,0209597006567,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,
1067,01611317,01611317,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1068,Sauce pimentée au sésame et à l'ail - Exotic Food,8853662040547,,,,,['Exotic Food'],"['Epicerie', 'Sauces', 'en:Sesame sauces', 'Sauce au sésame']",,,['France'],[],,,[],,6.8 g,en quantité modérée,3.1 g,en quantité modérée,20 g,en quantité élevée,4.7 g,en quantité élevée,?,,290,+22%,1213 kj(290 kcal),+23%,"6,8",-62%,"3,1",+44%,53,+435%,20,+210%,3,+12%,"4,7",+94%,"1,88",+94%,20,+72%,E,+72%,,,,,,,,,,,,,
1069,Gogo Squeez,3021761205920,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,68,,285 kj(68 kcal),,"0,5",,"0,2",,14,,13,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,['en:gluten-free'],,,,,
1070,L'Envol du Kilimandjaro - Rooïbos parfumé agrumes - Guichard Perrachon - 40g,3222470111650,B,"Rooïbos aromatisé aux agrumes (citron, bergamote, orange, pamplemousse et limette)",40 g,"['Carton', 'Sachets', 'Plastique']",['Guichard Perrachon'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Rooibos']",,,['France'],"[""Rooïbos 97% - huile essentielle de citron jaune 0,96% - huile essentielle de bergamote 0,72% - huile essentielle d'orange 0,6% - huile essentielle de pamplemousse 0,6% - huile essentielle de limette 0,12%""]",,,[],1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,
1071,Comte portion - Le Berger Comtois,2165740003921,D,,,,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,
1072,Quinoa Puffs,0867165000050,,,,,,['Snacks'],,,"['France', 'États-Unis']","['Quinoa puff ', 'quinoa flour', 'brown rice flour', 'white rice flour', 'pea protein concentrate', 'baking powder', 'high oleic sunflower oil', 'seasoning: sea salt', 'parsley', 'dried truffle', 'natural flavor']",,,[],4,9.3 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,1.63 g,en quantité élevée,?,,419,-7%,1753 kj(419 kcal),-7%,"9,3",-56%,0,-100%,"62,79",+12%,0,-100%,"16,28",+159%,"1,628",+209%,"0,651",+209%,8,-55%,C,-55%,,,,,,,,,,,,,I Heart Foods Corp.
1073,Bûche Pâtissière Roulée Pur Beurre Café,3260890001069,D,,,,,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Pâtisseries', 'Bûches de Noël', 'Bûches pâtissières']",,,['France'],[],,,[],,20.3 g,en quantité élevée,13.6 g,en quantité élevée,33.7 g,en quantité élevée,0.298 g,en faible quantité,?,,409,+13%,1711 kj(409 kcal),+13%,"20,3",+7%,"13,58",+22%,"51,7",+20%,"33,7",+10%,"3,3",-14%,"0,298",+38%,"0,119",+38%,23,+19%,E,+19%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,,,,,,
1074,Nougat amandes pistaches,2400821035607,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,453,,1895 kj(453 kcal),,"16,1",,"1,1",,"71,3",,"61,7",,"8,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,
1075,Andouille du Val d'Ajol,2641160065270,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,222,,929 kj(222 kcal),,"16,7",,"6,4",,"0,5",,"0,4",,"17,4",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,
1076,Terrine aux griottines,2054711700351,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,292,,1222 kj(292 kcal),,16,,"4,7",,"2,3",,"0,9",,19,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,
1077,Real whey 100% whey protein - Prozis,5600380896535,,,,,['Prozis'],,,,['France'],[],,,[],,,,,,,,,,?,,408,,1707 kj(408 kcal),,"7,3",,"1,8",,"6,5",,"3,6",,79,,"0,38",,"0,152",,,,,,,,,,,,,,,,,,
1078,Gimgembre confit,8410564036278,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,357,,1494 kj(357 kcal),,"0,5",,"0,1",,86,,59,,"1,3",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,
1079,Minceur,6191425900038,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,
1080,Mythos,3831051013179,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,123,,515 kj(123 kcal),,"9,5",,"7,2",,"4,3",,"4,3",,"5,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,
1081,Gewellte Bandnudeln - 3 Glocken - 500g,4002966004760,,,500g,,['3 Glocken'],,,,"['France', 'Allemagne', 'Suisse']",[],,,[],,,,,,,,,,?,,352,,1473 kj(352 kcal),,"1,5",,,,71,,3,,12,,,,,,,,,,,,,,,,,,,,,,
1082,Asperges vertes moyennes - Notre Jardin,3564700008652,C,,,"['Bocal', 'Verre']","['Notre Jardin', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Asperges', 'Asperges en conserve', 'Asperges vertes en conserve']",,['Leclerc'],['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,0.7 g,en faible quantité,0.7 g,en quantité modérée,?,,13,-38%,54 kj(13 kcal),-36%,"0,5",+64%,"0,1",+37%,"1,6",-11%,"0,7",-27%,"1,4",-34%,"0,7",-14%,"0,28",-14%,-2,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,
1083,Edam,2259798022567,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Edam']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Fabriqué en France'],,,,,
1084,escalopes de dinde - fermiers de  Loué - 2,04915538,D,,2,,['fermiers de  Loué'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,['France'],"['wom Classe A LDC 72300 Sable/Sarthe Origine France Tenirau frais entre 0°Cet+4°C Fermiers de Loue La cour du bois 72550 Coulans/Gée www', 'loue', 'fr']",,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['IGP'],,,,,
