,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,palm_ingredients,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,markets,packaging,ingredients_origins,traceability_code,generic_name,manufacturing,link,brand_owner,origin_detail,producer_info
69,Torsade au chocolat,3608734749409,,,['France'],[],,,,[],,,,,,,,,,?,,309,,1293 kj(309 kcal),,15,,"9,7",,"37,7",,"15,7",,"4,9",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,
70,Pâte de campagne à l'ancienne,3346650205325,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",['France'],[],,,,[],,24.8 g,en quantité élevée,9.35 g,en quantité élevée,1.3 g,en faible quantité,1.5 g,en quantité modérée,?,,300,-4%,1255 kj(300 kcal),-3%,"24,8",-8%,"9,35",-7%,3,+24%,"1,3",+41%,"16,4",+15%,"1,5",-10%,"0,6",-10%,18,-5%,D,-5%,D,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,
71,Crème Anglaise,3248340057163,,"['Epicerie', 'Produits laitiers', 'Sauces', 'Sauces dessert', 'Crèmes anglaises']",['France'],[],,,,[],,2.1 g,en faible quantité,1.3 g,en faible quantité,13.4 g,en quantité élevée,0.12 g,en faible quantité,?,,93,-10%,389 kj(93 kcal),-11%,"2,1",-31%,"1,3",-29%,15,-3%,"13,4",-4%,"3,4",+4%,"0,12",-6%,"0,048",-6%,2,-39%,B,-39%,B,63.7%,15.6%,9.2%,6.6%,3.9%,1.0%,86,,,,,,,,,,,,
72,2 pizza royales,3565270011141,,,['France'],[],,,,[],,,,,,,,,,?,,192,,803 kj(192 kcal),,6,,"2,6",,27,,"4,8",,"6,7",,"1,28",,"0,512",,,,,,,,,,,,,,,,,,,,,,,,,
73,Erdbeere& Heidelbeere in Apfel - Babylove,4058172095443,['Babylove'],,"['France', 'Allemagne']",[],,,,[],,,,,,,,,,?,,224,,937 kj(224 kcal),,"0,5",,"0,17",,10,,"9,2",,"0,4",,"0,003",,"0,001",,,,,,,,,,,,,,,,,,,,,,,,,
74,"Pfanner Active Balance +Omega3+Q10, Multivitamin...",9006900202996,['Pfanner'],,['France'],[],,,,[],,,,,,,,,,?,,14,,59 kj(14 kcal),,"0,5",,"0,1",,"3,1",,3,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
75,Cranberries - Pronatura,3760099538460,['Pronatura'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",['France'],"['cranberries* 60%', 'concentré de jus de pomme* 39 %', 'huile de tournesol*']",,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,62.5 g,en quantité élevée,0.06 g,en faible quantité,?,,325,-4%,1360 kj(325 kcal),-4%,"0,5",-29%,"0,1",-60%,"77,5",-3%,"62,5",-5%,"2,5",+793%,"0,06",+162%,"0,024",+162%,8,+11%,C,+11%,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
76,Le cake fruits confits,3277735225573,,,['France'],[],,,,[],,,,,,,,,,?,,409,,1711 kj(409 kcal),,17,,"6,3",,57,,34,,"5,5",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,
77,Fruits of the forest,5413408121034,,,['France'],[],,,,[],,,,,,,,,,?,,47,,197 kj(47 kcal),,"0,5",,"0,1",,6,,6,,"1,2",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
78,"Strawberry, raspberry & cranberry infusion",01734232,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Fruvita jogurt pitny - 400g,5903767002506,['Fruvita'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",['France'],"['Składniki: mleko', 'sok truskawkowy 3,1% ', 'z soku zagęszczonego', 'syrop glukozowo - - fruktozowy', 'skrobia modyfikowana kukurydziana', 'aromat', 'koncentrat z marchwi', 'barwniki: karminy', 'karoteny', ' żywe kultury bakterii joqurtowych oraz Lactobacillus acidophils i Bifidóbacterium lactis']",,,,[],,2 g,en faible quantité,1.1 g,en faible quantité,12.5 g,en quantité modérée,0.1 g,en faible quantité,?,,80.5,-12%,337 kj(80 kcal),-12%,2,-39%,"1,1",-46%,13,+18%,"12,5",+24%,"2,7",-28%,"0,1",-13%,"0,04",-13%,3,-2%,C,-2%,,,,,,,,,400g,,,['Plastik'],,,,,,,,
80,Acerola 1000 - La Vie Claire,3266191106533,['La Vie Claire'],,['France'],[],,,,[],,,,,,,,,,?,,11,,46 kj(11 kcal),,"0,01",,0,,"2,6",,"1,03",,"0,02",,"0,02",,"0,008",,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
81,Orange a jus,3276550172178,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Laitue,3700617235174,,['Laitues'],['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,,,,,,,
83,Jus multivitaminé,15957764,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,MILLE FEUILLE,0257238038705,,,['France'],[],,,,[],,,,,,,,,,?,,980,,4100 kj(980 kcal),,"8,5",,4,,35,,20,,"3,9",,"0,41",,"0,164",,,,,,,,,,,,,,,,,,,,,,,,,
85,Extra MINIS,4009900526678,,,['France'],[],,,,[],,,,,,,,,,?,,152,,636 kj(152 kcal),,0,,0,,"63,4",,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
86,Kiwi -,3700617289054,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Kiwis', 'Kiwis frais']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,75.1%,0.0%,0.0%,11.4%,10.2%,3.4%,96,,,,,,,,,,,,
87,Steaks hachés pur boeuf netto bio,3250392618384,,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",['France'],[],,,,[],,14 g,en quantité modérée,6.2 g,en quantité élevée,0.5 g,en faible quantité,0.18 g,en faible quantité,?,,207,+11%,866 kj(207 kcal),+10%,14,+13%,"6,2",+19%,"0,5",+144%,"0,5",+262%,"19,7",+3%,"0,18",-18%,"0,072",-18%,3,+9%,C,+9%,E,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,"['Bio', 'Bio européen']",,,,,,,,,,
88,Chocolat Ébène noir,3595181820532,,,['France'],[],,,,[],,,,,,,,,,?,,607,,2540 kj(607 kcal),,"43,5",,"27,5",,"44,8",,"28,8",,9,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
89,High protein milkshake,5707577122085,,,['France'],[],,,,[],,,,,,,,,,?,,52,,218 kj(52 kcal),,"1,2",,"0,8",,"4,1",,"3,9",,"6,1",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,
90,Potage instantané asperge - Comme j'aime - 20g,70507,"[""Comme j'aime""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes de légumes', 'Soupes déshydratées', 'Soupes de légumes déshydratées', 'Potages instantanés']",['France'],[],,,,[],,,,,,,,,,1374,+59%,329,+132%,1374 kj(329 kcal),+135%,"0,4",-76%,"0,3",-53%,"75,6",+218%,"3,8",-11%,3,+2%,"6,7",+152%,"2,68",+152%,,,,,B,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,20 g,['Fabriqué en France'],"[""Comme j'aime""]","['Sachet', 'Plastique']",,"['EMB 35275A', 'Saint-Gilles (Ille-et-Vilaine, France)']",,['France'],,,,
91,Atún Claro en aceite de girasol - Cabo de Peñas - 240g,8411555050051,['Cabo de Peñas'],,"['France', 'Espagne']",[],,,,[],,,,,,,,,,?,,218,,912 kj(218 kcal),,"13,9",,"1,9",,"0,2",,0,,23,,"1,3",,"0,52",,,,,,,,,,,,,,240g,,['Alcampo'],['Latad'],,,,,,,,
92,Delizioso,8002875029737,,,['France'],[],,,,[],,,,,,,,,,?,,884,,3699 kj(884 kcal),,"91,6",,"13,3",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
93,Cafe Moulu Mexico Chiapas,3700116011217,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Galettes saint Michel,3178530416367,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Filets de poulet roti - Le Gaulois,2431628035224,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],,,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
96,sirop fraise -,3760040452012,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de fraise']",['France'],"['jus de fraise 57%', 'sucre de canne']",,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,Sirop de fraise,,,,,
97,Rochers coco,3582730008619,,,['France'],[],,,,[],,,,,,,,,,?,,457,,1912 kj(457 kcal),,28,,20,,48,,41,,"0,6",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
98,Couscous complet,3329486411054,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Dinde de Noël au vin d'Alsace et aux Girolles,3368822008893,,,['France'],[],,,,[],,,,,,,,,,?,,76,,318 kj(76 kcal),,"3,3",,"2,4",,"4,5",,"1,4",,"7,1",,"0,94",,"0,376",,,,,,,,,,,,,,,,,,,,,,,,,
100,Crème de marrons - Les Confituriers de Haute-Provence - 250g,3324492501669,['Les Confituriers de Haute-Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",['France'],"['Châtaignes', 'sucre de canne', 'arôme naturel de vanille', 'gousses de vanilles']",,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1.52 g,en faible quantité,0.26 g,en faible quantité,58.7 g,en quantité élevée,0 g,en faible quantité,?,,322,+28%,1347 kj(322 kcal),+28%,"1,52",+103%,"0,26",+79%,"75,39",+25%,"58,72",+18%,"1,69",+54%,0,-100%,0,-100%,12,+4%,D,+4%,C,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,250 g,['Cuisiné en France'],,"['Pot', 'Verre']",,,Crème de marrons,"['Peyruis', 'France', 'Provence']",,,,
101,Huile de noisette - J. Leblanc,3760109431026,['J. Leblanc'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noisette']",['France'],[],,,,[],,100 g,en quantité élevée,7.4 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,884,+1%,3699 kj(884 kcal),+1%,100,+3%,"7,4",-14%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,10,-4%,C,-4%,D,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,,,,,,,,,,,
102,Vinaigre de vin rouge,3760159103409,,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins rouges']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,
103,Ceres,3502490193264,,,['France'],[],,,,[],,,,,,,,,,?,,1184,,4954 kj(1184 kcal),,"0,6",,"0,2",,63,,44,,"2,3",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,
104,Frites fraîches - Boni,5400141397383,['Boni'],,['France'],"['precuites 94 % pommes de terre', '6 % huile de tournesol', 'dextrose', ' dappelen', '% Zonnebloemolie', 'dextrose', ' emiddelde voedingswaarde-']",,,,[],4,,,,,,,,,?,,150,,628 kj(150 kcal),,"5,6",,"0,9",,21,,"0,5",,"2,8",,"0,08",,"0,032",,,,,,,,,,,,,,,,['Colruyt'],,,,,,,,,
105,Truffes parfumées,3700840130468,,,['France'],[],,,,[],,,,,,,,,,?,,525,,2197 kj(525 kcal),,39,,26,,39,,28,,6,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
106,Riso carnaroli al tartufo nero -,8033993040106,,,['France'],[],,,,[],,,,,,,,,,?,,359,,1502 kj(359 kcal),,"1,1",,"0,1",,79,,"0,5",,"6,7",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
107,Thon Blanc à l'huile d'olive,3760054380134,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive"", 'Thons blancs']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,E,93.6%,0.0%,1.2%,4.4%,0.6%,0.2%,21,,,,,,,,,,,,
108,After Eight Collection,7613036440752,['After eight'],,['France'],[],,,,[],,,,,,,,,,?,,534,,2234 kj(534 kcal),,33,,"20,1",,"52,4",,"50,4",,"5,5",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,
109,Pinot blanc,3306993400702,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"Flocons d’avoine - Auchan - 1,028",0260353006764,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,"1,028",,['Auchan'],,,,,,,,,
111,Les infus'oceanes-Jambes légères,3525801671466,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Saucisse fine 450g France,3515810902057,,,['France'],[],,,,[],,,,,,,,,,?,,297,,1243 kj(297 kcal),,26,,9,,"0,6",,"0,4",,15,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
113,Viande canard effilochee France,3515815007306,,,['France'],[],,,,[],,,,,,,,,,?,,434,,1816 kj(434 kcal),,"41,5",,"13,4",,"0,1",,"0,1",,15,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
114,Liquiflav,5060343740419,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"Croissants Pur Beurre, x6",3700462035059,,,['France'],[],,,,[],,,,,,,,,,?,,384,,1607 kj(384 kcal),,21,,14,,40,,"6,9",,"6,8",,"0,91",,"0,364",,,,,,,,,,,,,,,,,,,,,,,,,
116,Harrogate Sparkling Spring Water 750Ml - 750ml,5060042350070,['Harrogate'],"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux de sources', 'Eaux gazeuses']",['France'],[],,,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,,0 kj(0 kcal),-100%,0,-100%,0,,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,A,-100%,,,,,,,,,750 ml,,,['Verre'],,,,['Harrogate HG2 0QB'],http://harrogatespring.com,,,
117,5014491582971,5014491582971,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Aloe vera saveur Grenade Myrtille,8858947450585,,,['France'],[],,,,[],,,,,,,,,,?,,23,,96 kj(23 kcal),,0,,0,,"5,6",,5,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
119,Thé Breakfast,3250392584580,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Hug In a Mug Vanilla Cappucino,6009702441825,,,['France'],[],,,,[],,,,,,,,,,?,,17,,71 kj(17 kcal),,"11,8",,0,,71,,68,,"8,5",,"5,66",,"2,264",,,,,,,,,,,,,,,,,,,,,,,,,
121,Mars Minis Pouch,5000159364850,,,['France'],[],,,,[],,,,,,,,,,?,,443,,1854 kj(443 kcal),,16,,"7,6",,71,,62,,"3,9",,"0,43",,"0,172",,,,,,,,,,,,,,,,,,,,,,,,,
122,Henry Lambertz Lebkuchenkonfekt,4006894394504,,,['France'],[],,,,[],,,,,,,,,,?,,450,,1883 kj(450 kcal),,"19,5",,"9,4",,"60,3",,"50,1",,"6,8",,"0,34",,"0,136",,,,,,,,,,,,,,,,,,,,,,,,,
123,Rice cakes,9310140001500,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']","['Australie', 'France']",[],,,,[],,8.3 g,en quantité modérée,1.5 g,en quantité modérée,4.2 g,en faible quantité,8 g,en quantité élevée,?,,404,-6%,1690 kj(404 kcal),-7%,"8,3",-30%,"1,5",-77%,"70,5",-1%,"4,2",-67%,"8,9",+21%,8,+4296%,"3,2",+4296%,16,+90%,D,+90%,B,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,['Woolworths'],,,,,,,,,
124,Chocolat au lait des alpes suisses,7613033893384,,,['France'],[],,,,[],,,,,,,,,,?,,565,,2364 kj(565 kcal),,36,,21,,51,,51,,"8,8",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,
125,Foie gras - Larnaudie,3113010146778,['Larnaudie'],,['France'],[],,,,[],,,,,,,,,,?,,575,,2406 kj(575 kcal),,"60,1",,"25,1",,"2,1",,2,,"6,3",,"1,08",,"0,432",,,,,,,,,,,,,,,,,,,,,,,,,
126,Muesli Nuts & Seeds,6009518202122,,,['France'],[],,,,[],,,,,,,,,,?,,464,,1941 kj(464 kcal),,"25,1",,"7,5",,50,,"15,5",,"11,6",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,
127,Pain de mie complet sans sucres ajoutés - Jacquet,3029330070238,['Jacquet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",['France'],"['Farine complète de blé ', '63%', 'eau', 'huile de colza', 'farine de blé ', '1,9%', 'gluten de blé', 'arôme ', 'contient alcool', 'levure', 'sel', 'farine de maïs fermentée', 'germe de blé', ""extrait d'acérola"", ' Présence possible de : lait', 'œufs', 'graines de sésame']",,,"['Œufs', 'Gluten', 'Graines de sésame']",['Non végétalien'],4,3.4 g,en quantité modérée,0.3 g,en faible quantité,3.7 g,en faible quantité,1.1 g,en quantité modérée,?,,248,-7%,1038 kj(248 kcal),-7%,"3,4",-24%,"0,3",-54%,42,-8%,"3,7",-29%,"9,7",+15%,"1,1",-4%,"0,44",-4%,2,+38%,B,+38%,B,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,['Sans sucre ajouté'],,,,,,,,,,
128,Gimme d'acacia réglisse au miel,3518161003893,,,['France'],[],,,,[],,,,,,,,,,?,,286,,1197 kj(286 kcal),,0,,0,,"49,7",,"49,1",,"1,3",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,
129,Sobrasada,8437009917466,,"['Viandes', 'Charcuteries']","['France', 'Espagne']",[],,,,[],,61.9 g,en quantité élevée,21.6 g,en quantité élevée,0.69 g,en faible quantité,2.08 g,en quantité élevée,?,,615,+136%,2573 kj(615 kcal),+138%,"61,9",+221%,"21,6",+197%,"9,5",+546%,"0,69",-13%,"5,14",-73%,"2,08",-13%,"0,832",-13%,26,+62%,E,+62%,,,,,,,,,,,,,,,,,,,,
130,Around the world,8000500312070,,,['France'],[],,,,[],,,,,,,,,,?,,395,,1653 kj(395 kcal),,"0,5",,"0,5",,"95,1",,"91,4",,"0,1",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
131,Demi baguette aux graines de sésame,2090000172232,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,,,
132,Scamorza affumicata al naturale -,8008034000586,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Scamorza']",['France'],[],,,,[],,25 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,?,,317,+3%,1326 kj(317 kcal),+4%,25,+8%,17,+9%,"0,5",-44%,0,-100%,22,-5%,1,-20%,"0,4",-20%,12,-10%,D,-10%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,['IT 18-9 CE'],,,,,,
133,Oranges à jus,3700892423242,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,
134,Rucher des Alpilles,3344930000080,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Boulettes De Veau Nature,3346235899000,,,['France'],[],,,,[],,,,,,,,,,?,,193,,808 kj(193 kcal),,17,,"5,1",,"6,6",,"1,1",,14,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,
136,Rumsteack en tournedos,0290112039290,,,['France'],[],,,,[],,,,,,,,,,?,,216,,904 kj(216 kcal),,16,,"6,5",,"0,4",,"0,4",,18,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,
137,Tezi tea,3278730003067,,,['France'],[],,,,[],,,,,,,,,,?,,23,,96 kj(23 kcal),,"0,8",,"0,8",,"5,6",,"0,5",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
138,Lardo di colonnata,8054619621806,,"['Produits à la viande', 'Produits carnés italiens', 'it:Lardo di Colonnata']",['France'],[],,,,[],,90 g,en quantité élevée,34 g,en quantité élevée,0 g,en faible quantité,2.4 g,en quantité élevée,?,,816,+219%,3414 kj(816 kcal),+219%,90,+456%,34,+504%,0,-100%,0,-100%,"1,5",-94%,"2,4",-50%,"0,96",-50%,30,+67%,E,+67%,,,,,,,,,,,,,,,,,,,,
139,Jambon le torchonay - intermarché - 4tranches,0211719015685,['intermarché'],"['Viandes', 'Charcuteries']",['France'],"['INGREDIENTS', ' Jambon de porc sel dextrose', ' bouillon ', 'OS de porc', 'poireau', 'carotte aromes naturels', ' conservateurs ascorbaté de sodium nitrite de sodiun']",,,,[],,6.2 g,en quantité modérée,2.8 g,en quantité modérée,0.7 g,en faible quantité,1.91 g,en quantité élevée,?,,137,-48%,573 kj(137 kcal),-47%,"6,2",-68%,"2,8",-61%,"0,7",-52%,"0,7",-12%,"19,8",+6%,"1,91",-20%,"0,764",-20%,11,-31%,D,-31%,,,,,,,,,4 tranches,,,['4 tranches'],['Le porc français'],,,['Quimper'],,,,
140,Gratin savoyard,3282930008005,,,['France'],[],,,,[],,,,,,,,,,?,,121,,506 kj(121 kcal),,"6,5",,"3,9",,"9,9",,"1,6",,"5,5",,"0,72",,"0,288",,,,,,,,,,,,,,,,,,,,,,,,,
141,Jambon sans sel nitrité,2231304030907,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Bacon de volaille,3265980837849,,,['France'],[],,,,[],,,,,,,,,,?,,106,,444 kj(106 kcal),,"1,5",,"0,5",,"1,1",,"1,1",,22,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
143,Boule polka au froment,,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Flan pâtissier,0257217015093,,"['Biscuits et gâteaux', 'Pâtisseries', 'Flans pâtissiers']",['France'],[],,,,[],,8 g,en quantité modérée,4.9 g,en quantité modérée,19 g,en quantité élevée,0.22 g,en faible quantité,?,,205,-1%,858 kj(205 kcal),-3%,8,+4%,"4,9",+5%,30,+3%,19,+7%,"3,3",-10%,"0,22",-9%,"0,088",-9%,8,-17%,C,-17%,B,71.0%,14.6%,7.1%,3.5%,3.7%,0.0%,81,,,,,,,,,,,,
145,Pont-l'Évêque,3252950043140,,,['France'],[],,,,[],,,,,,,,,,?,,298,,1247 kj(298 kcal),,23,,15,,0,,0,,22,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,
146,Vin blanc d'alsace,3245390248961,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Epicerie / Boissons Et Vins / Bières Bio,3760009532113,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
