,name,bar_code,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,traceability_code,allergens,nova_score,eco_score,link,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,manufacturing,generic_name,palm_ingredients
45,Kiwi,3366217523631,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Riz et boeuf à la mexicaine - Thiriet,3292590885007,['Thiriet'],,['France'],[],[],,,,,,,,,?,,100,,418 kj(100 kcal),,"3,3",,"1,1",,10,,"1,7",,"5,9",,"0,64",,"0,256",,,,,,,,,,,,,,['Thiriet'],,,,,,,,,,,,
47,Houmous de pois chiche - L'Atelier V - 450g,3760253460705,"[""L'Atelier V""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['France'],[],"['Végétalien', 'Végétarien']",21 g,en quantité élevée,2.3 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,?,,260,-1%,1088 kj(260 kcal),-1%,21,+4%,"2,3",-7%,"9,4",-11%,"0,5",-63%,"6,1",-6%,"1,1",+6%,"0,44",+6%,6,+20%,C,+20%,450 g,,"['Bio', 'Végétarien', 'Végétalien']",,,,B,,,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,
48,Miel brut naturel,6044000007311,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,pain campagnard grandes tranches sans gluten,3123456005713,,,['France'],[],[],,,,,,,,,?,,229,,958 kj(229 kcal),,"5,4",,"0,7",,"37,7",,"2,4",,"3,5",,"0,93",,"0,372",,,,,,,,"['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,
50,Amandes crues décortiquées,3700194600358,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",['France'],[],[],50 g,en quantité élevée,4 g,en quantité modérée,1.5 g,en faible quantité,0 g,en faible quantité,?,,580,-7%,2427 kj(580 kcal),-7%,50,-3%,4,-0%,"6,5",-50%,"1,5",-62%,21,-6%,0,-100%,0,-100%,0,,B,,,,,,,,E,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,
51,Confiture abricot de france - Saveurs attitudes,3299430065742,['Saveurs attitudes'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",['France'],[],[],0.3 g,en faible quantité,0.1 g,en faible quantité,37.6 g,en quantité élevée,0.01 g,en faible quantité,?,,161,-26%,674 kj(161 kcal),-26%,"0,3",+33%,"< 0,1",+134%,38,-29%,"37,6",-26%,"0,9",+79%,"< 0,01",-55%,"0,004",-55%,8,-11%,C,-11%,,['Bocal en verre'],"['Bio', 'Fabriqué en France']",,,,A,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,
52,Compote à boire - Paquito,3250392849214,['Paquito'],,['France'],[],[],,,,,,,,,?,,237,,992 kj(237 kcal),,"0,6",,"0,2",,12,,11,,"0,5",,"0,01",,"0,004",,,,,,,,"['Sans sucre ajouté', 'Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,
53,Huile d'olives,3760081691326,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Pains Azymes - Baton Rouge,3592860040137,['Baton Rouge'],,['France'],[],[],,,,,,,,,?,,383,,1602 kj(383 kcal),,"1,6",,"0,4",,81,,"0,6",,"9,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Gouda Pikantje - 450g,8710912005261,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,450 g,['Stück'],,,,,D,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,
56,Chocolat milky way,5000159514668,,,['France'],[],[],,,,,,,,,?,,450,,1883 kj(450 kcal),,17,,"7,9",,"7,1",,"3,6",,"0,09",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Pâte à tartiner chocolat blanc - Auchan,3245678056004,['Auchan'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au chocolat']",['France'],[],['Sans huile de palme'],37 g,en quantité élevée,8.6 g,en quantité élevée,56 g,en quantité élevée,0.24 g,en faible quantité,?,,576,+6%,2410 kj(576 kcal),+6%,37,+9%,"8,6",+10%,56,+10%,56,+20%,"4,4",-33%,"0,24",+116%,"0,096",+116%,26,+26%,E,+26%,,,"['Agriculture durable', 'Nutriscore', 'Nutriscore E', 'en:palm-oil-free', 'en:UTZ Certified']",,,,,,['Auchan'],,,,,,,,,,,,
58,Jambon cuit au torchon - Bonjour Campagne - 80g,3483190091534,['Bonjour Campagne'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],"['Jambon de porc ', '90%', ' traité en salaison', 'sel', 'sirop de glucose', 'sucre de canne', 'ascorbate de sodium', 'nitrite de sodium', 'épices et plantes aromatiques', 'huile essentielle de poivre', ' •']","['Non végétalien', 'Non végétarien']",2.7 g,en faible quantité,0.9 g,en faible quantité,0.6 g,en faible quantité,2.2 g,en quantité élevée,?,,106,-20%,444 kj(106 kcal),-19%,"2,7",-44%,"0,9",-51%,"0,6",-10%,"0,6",+1%,20,-5%,"2,2",+18%,"0,88",+18%,5,-29%,C,-29%,80 g,"['Plastique', 'Barquette']","['Bio', 'Bio européen', 'Viande Française', 'Viande Porcine Française']","['EMB 85059', 'Châtaigneraie (Vendée, France)']",,4,D,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,
59,Déli'Germ Bio aux pois chiches germés - Carrefour Bio - 250g,3760201338070,['Carrefour Bio'],['Pâtes de légumes'],['France'],[],[],2.7 g,en faible quantité,0.2 g,en faible quantité,5.5 g,en quantité modérée,0.02 g,en faible quantité,?,,354,+16%,1481 kj(354 kcal),+16%,"2,7",-16%,"0,2",-62%,62,+48%,"5,5",+114%,"17,2",-1%,"0,02",-56%,"0,008",-56%,-5,,A,,250 g,,"['Bio', 'Nutriscore', 'Nutriscore A']",,,,,,['Carrefour'],,,,,,,,,,,,
