,name,bar_code,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,traceability_code,allergens,nova_score,eco_score,link,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,manufacturing,generic_name,palm_ingredients
1674,Comte,0207392076884,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.82 g,en quantité modérée,?,,418,-0%,1749 kj(418 kcal),-0%,35,+1%,23,+1%,0,-100%,0,-100%,27,+0%,"0,82",-2%,"0,328",-2%,13,0%,D,0%,,,,,,,D,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,
1675,Midi,8690997184023,,,['France'],[],[],,,,,,,,,?,,472,,1975 kj(472 kcal),,"6,5",,6,,87,,"67,4",,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,Le fromage fouetté de Madame Loïk,18591723,,,['France'],[],[],,,,,,,,,?,,252,,1054 kj(252 kcal),,24,,"17,3",,3,,3,,"5,9",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
1677,Confiserie,2600901054188,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,Cha Jang - 235g,0087703116153,,,['France'],[],[],,,,,,,,,?,,973,,4071 kj(973 kcal),,"6,4",,"2,1",,"36,6",,"8,5",,"7,2",,"0,626",,"0,25",,,,,,235 g,,,,,,,,,,,,,,,,,,,,
1679,Gratin de pommes de terre champignons et poireaux à la crème - 300g,3274470002803,,,['France'],[],[],,,,,,,,,?,,111,,464 kj(111 kcal),,"5,4",,"2,3",,"10,7",,"0,2",,"4,5",,"0,68",,"0,272",,,,,,300 g,['Film en plastique'],,,,,,,,,,,,,,,,,,,
1680,Terrine Aubergine,3229694074891,,,['France'],[],[],,,,,,,,,?,,197,,824 kj(197 kcal),,15,,"1,8",,"8,3",,"0,8",,"5,2",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Choux-choute,3770015835016,,,['France'],[],[],,,,,,,,,?,,230,,962 kj(230 kcal),,"21,3",,"3,6",,"7,5",,"0,5",,"2,9",,"1,1",,"0,44",,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
1682,Rillettes de cabillaud aux agrumes,3701257300321,,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons']",['France'],[],[],13.5 g,en quantité modérée,9 g,en quantité élevée,1.9 g,en faible quantité,1.7 g,en quantité élevée,?,,179.7,-18%,752 kj(179 kcal),-18%,"13,5",-20%,9,+58%,"2,1",-7%,"1,9",+91%,"11,6",-15%,"1,7",+56%,"0,68",+56%,17,+76%,D,+76%,,,,,,,D,,,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,
1683,Cornet de Glace,4032865000426,,,['France'],[],[],,,,,,,,,?,,367,,1536 kj(367 kcal),,"4,1",,"2,1",,"75,4",,"31,4",,"7,1",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,
1684,Olives Cerignola Noires,3595198762504,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,Sale Marino Di Sicilia,8030853083631,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,Chips de fruit du jacquier - 50g,3760246021081,,,['France'],[],[],,,,,,,,,?,,415,,1736 kj(415 kcal),,"12,1",,"12,1",,"70,1",,"70,1",,"4,5",,"0,1",,"0,04",,,,,,50 g,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,
1687,Le sablé bananas-cassis,3700796303213,,,['France'],[],[],,,,,,,,,?,,490.70001220703,,2053 kj(490 kcal),,"20,96",,"13,2",,"68,3",,"32,9",,"6,8",,"0,35",,"0,14",,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,
1688,Guimauves Lait Blanc Noir,2609713022637,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,Cervelas,0207783024142,,,['France'],[],[],,,,,,,,,?,,248,,1038 kj(248 kcal),,"20,8",,"7,6",,"1,6",,"1,5",,"13,4",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,
1690,"Straus Organic Yogurt Greek, Nonfat, Plain",0784830004109,,,['France'],[],[],,,,,,,,,?,,124,,519 kj(124 kcal),,0,,0,,17,,8,,14,,"0,237",,"0,095",,,,,,,,,,,,,,,,,,,,,,,,,,
1691,Tortilla pomme de terre et oignons,0637913114984,,,['France'],[],[],,,,,,,,,?,,158,,661 kj(158 kcal),,"9,2",,"1,6",,13,,1,,"5,3",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
1692,Escalope de dinde,2860239043036,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,['Bio'],"['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",,,D,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,
1693,Silhouet’ Chardonnay light sans alcool,3663852003192,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,38",,"0,36",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,Tisane des merveilles - 45g,3259920063801,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,45 g,,,,,,,,,,,,,,,,,,,,
1695,Jambon roti aux herbes chiffonade,2228507028671,,,['France'],[],[],,,,,,,,,?,,133,,556 kj(133 kcal),,5,,"1,8",,"0,1",,"0,1",,22,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,,
1696,Miettes de truite au piment d'Espelette,3760013862213,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,Pied de cochon à l ancienne,2212908043753,,,['France'],[],[],,,,,,,,,?,,180,,753 kj(180 kcal),,12,,"3,7",,"1,6",,"0,5",,17,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,
1698,Pack chorizo ibérique extra saucisson lomo,8437001478880,,,['France'],[],[],,,,,,,,,?,,306,,1280 kj(306 kcal),,22,,9,,2,,1,,22,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,
1699,Chocolat supérieur au lait aux éclats de caramel,3173281070301,,,['France'],[],[],,,,,,,,,?,,538,,2251 kj(538 kcal),,31,,19,,57,,57,,7,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
1700,7798062541915,7798062541915,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,Kala namak,4011437040626,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,Nectar de pêche,3701269300012,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de pêche']",['France'],[],[],0.14 g,en faible quantité,0.02 g,en faible quantité,13.3 g,en quantité élevée,,,?,,57,+12%,238 kj(57 kcal),+10%,"0,14",-7%,"0,02",-28%,"13,6",+11%,"13,3",+17%,"0,45",+18%,,,,,,,,,,,['Bio'],,,,D,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,
1703,7792052177481,7792052177481,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Caviar d’aubergine,3760292630541,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Caviars d'aubergine""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,5410013184119,5410013184119,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,Pollen de fleurs - 250g,3700473339085,,"['Produits de la ruche', 'Pollens']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,250 g,,,,,,,,,,,,,,,,,,,,
1707,0771672441803,0771672441803,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Dattes,0632096877749,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,Gaufres Surgelées (blé-entier Et Bleuets ) - Kellogg's,0064100238244,"[""Kellogg's""]",,['France'],[],[],,,,,,,,,?,,257.14285714286,,1076 kj(257 kcal),,"8,571",,"0,714",,"42,857",,"42,857",,"5,714",,"1,286",,"0,514",,,,,,,,,,,,,,,,,,,,,,,,,,
1710,Freeze' Framboyz,3663159071221,,,['France'],[],[],,,,,,,,,?,,5,,21 kj(5 kcal),,0,,0,,10,,8,,20,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,Cookie Bluff,0628341640138,,,['France'],[],[],,,,,,,,,?,,126,,527 kj(126 kcal),,6,,2,,17,,8,,1,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
1712,Confiture - 260g,3760123660921,,,['France'],[],[],,,,,,,,,?,,174,,728 kj(174 kcal),,"0,2",,0,,42,,40,,"0,4",,0,,0,,,,,,260 g,,,,,,,,,,,,,,,,,,,,
1713,Aiguilleté de canard,3113010152489,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,['Point Vert'],"['FR 32.079.030 CE', ""Castelnau-d'Auzan (Gers, France)""]",,,,,,,,,,,,,,,,,
1714,Muesli croustillant avoine amandes -,3421557502996,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",['France'],[],[],15 g,en quantité modérée,1.8 g,en quantité modérée,18 g,en quantité élevée,0.04 g,en faible quantité,?,,447,+7%,1870 kj(447 kcal),+7%,15,+15%,"1,8",-46%,66,+9%,18,+7%,9,-9%,"0,04",-77%,"0,016",-77%,-1,-120%,A,-120%,,,['Sans huile de palme'],,,,B,,,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,
1715,Tomme de chèvre,0202173029066,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme de chèvre']",['France'],[],[],25 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,328,-13%,1372 kj(328 kcal),-13%,25,-21%,16,-29%,"0,9",+17%,0,-100%,25,+14%,"1,5",-10%,"0,6",-10%,15,-15%,D,-15%,,,,,,,D,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,
1716,Pieds de porc cuit,2418702043627,,,['France'],[],[],,,,,,,,,?,,796,,3330 kj(796 kcal),,12,,"3,4",,0,,0,,72,,"0,3",,"0,12",,,,,,,,,"['FR 14.752.010 CE', 'Villers-Bocage (Calvados, France)']",,,,,,,,,,,,,,,,,
1717,Butter cookier,5601069501009,,,['France'],[],[],,,,,,,,,?,,54,,226 kj(54 kcal),,22,,3,,6,,4,,5,,9,,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,
1718,Ti punch,3559010043172,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,coing,3330720660022,,,['France'],[],[],,,,,,,,,?,,175,,732 kj(175 kcal),,"0,5",,"0,5",,"42,1",,"39,3",,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,Baguette cereales,3123456001753,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,B,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,
1721,Jus de pomme poires,3760047220072,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,"0,22",,0,,"10,18",,5,,"0,29",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,Florentins assortis,3760080000051,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,Brochettes de dinde marinée à l'oignon,2614125042517,,,['France'],[],[],,,,,,,,,?,,104,,435 kj(104 kcal),,"0,5",,"0,5",,"2,9",,"1,2",,22,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
1724,Géllule Bardane,3700216207022,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
1725,4059699047977,4059699047977,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,Mayo,5410832417931,,,['France'],[],[],,,,,,,,,?,,601,,2515 kj(601 kcal),,"65,1",,4,,"3,2",,"1,5",,"0,1",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
1727,Café Moulu Pérou 100% Arabica - Médium - BIODYSSEE - 250g,3770015013056,['BIODYSSEE'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,250g,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-16']",,,,E,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,
1728,Duo de haricots plats coupés - 2500g,5411361018248,,,['France'],[],[],,,,,,,,,?,,187,,782 kj(187 kcal),,"0,2",,"0,1",,"7,5",,"2,2",,"1,8",,,,,,,,,,2500 g,,,,,,,,,,,,,,,,,,,,
1729,Le potager de Jade,3760308503067,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,Madeleine coquille - Les Sens du Terroir,3437340069362,['Les Sens du Terroir'],"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",['France'],[],[],18 g,en quantité modérée,7.1 g,en quantité élevée,27 g,en quantité élevée,0.7 g,en quantité modérée,?,,401,-9%,1678 kj(401 kcal),-9%,18,-21%,"7,1",+2%,52,-2%,27,-2%,"5,4",-5%,"0,7",-14%,"0,28",-14%,20,+9%,E,+9%,,,,,,,B,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,
1731,abricots sec,2280087022173,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,D,,,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,
1732,Sukrin gold,7090017540180,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,Hauts de cuisse de poulet olive /romarin,2478150023350,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],22 g,en quantité élevée,6.2 g,en quantité élevée,1.2 g,en faible quantité,0.9 g,en quantité modérée,?,,263,+38%,1100 kj(263 kcal),+37%,22,+77%,"6,2",+85%,"2,4",+655%,"1,2",+674%,15,-18%,"0,9",+18%,"0,36",+18%,12,+240%,D,+240%,,,"['Sans colorants', 'Sans conservateurs']",,,,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,
1734,Salami con nueces - 100g,24092739,,,['France'],[],[],,,,,,,,,?,,545,,2280 kj(545 kcal),,48,,21,,"0,6",,"0,5",,27,,"4,9",,"1,96",,,,,,100 g,,,,,,,,,,,,,,,,,,,,
1735,Pignon de pin de chine,3700197600539,,,['France'],[],[],,,,,,,,,?,,720,,3012 kj(720 kcal),,68,,"4,9",,13,,"3,6",,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,Potée au choux braisé,3340950208246,,,['France'],[],[],,,,,,,,,?,,72,,301 kj(72 kcal),,"2,1",,"0,8",,"3,8",,"0,3",,8,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
1737,Zacusca de legume cu vinete,5941863002785,,,['France'],[],[],,,,,,,,,?,,113,,473 kj(113 kcal),,"7,9",,"0,8",,"9,6",,"1,9",,"0,9",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
1738,Croissant,2644767011152,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,Pavés Marinés 2 poivres,0210734025587,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,
1740,Yaos (le yaourt à la grecque - vanille),2023468028650,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque']",['France'],[],[],6.9 g,en quantité modérée,4.6 g,en quantité modérée,13.5 g,en quantité élevée,0.11 g,en faible quantité,?,,132,+13%,552 kj(132 kcal),+12%,"6,9",+1%,"4,6",+4%,"14,3",+63%,"13,5",+69%,"2,6",-41%,"0,11",-5%,"0,044",-5%,6,+47%,C,+47%,,,,,,,,,,,,,,,,,,,,,
1741,Chili con carne - Belle France - 410g,3258561240978,"['Belle France', 'Francap Distribution']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Chili con carne']",['France'],"['haricot rouge déshydraté 33 %', 'eau', 'viande de bœuf 15 % origine UE', 'triple concentré de tomate 5 %', 'poivron 5 %', 'maïs 3 %', 'oignon', 'sucre', 'sel', 'épices ', 'cumin', 'coriandre', 'piment fort', 'farine de_blé_', 'ail en poudre', ""arôme naturel de poivre avec d'autres arome naturels"", 'céleri en poudre', 'colorant: extrait de paprika']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3.3 g,en quantité modérée,1.5 g,en quantité modérée,1.6 g,en faible quantité,0.63 g,en quantité modérée,?,,114,-3%,477 kj(114 kcal),-5%,"3,3",-2%,"1,5",+34%,12,-2%,"1,6",-24%,"6,9",+2%,"0,63",-21%,"0,252",-21%,0,,B,,410 g,['Conserve'],['Pur bœuf'],"['FR 12.052.003 CE', 'Capdenac-Gare (Aveyron, France)']",['Gluten'],4,E,,,94.4%,3.1%,0.8%,0.9%,0.5%,0.3%,14,['E160c - Extrait de paprika'],,,,
1742,Filets de poulet rôtis,2846123015686,,['en:Filets de Poulet'],['France'],[],[],5.5 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,1.26 g,en quantité modérée,?,,141,+19%,590 kj(141 kcal),+20%,"5,5",+107%,"1,4",+97%,"0,6",-10%,"0,6",+96%,"22,3",-2%,"1,26",+95%,"0,504",+95%,2,,B,,,,,,,,,,,,,,,,,,,,,,
1743,Bleu de chevre,0285300025520,,,['France'],[],[],,,,,,,,,?,,359,,1502 kj(359 kcal),,29,,20,,"2,2",,"0,5",,22,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,
1744,400g,4100550528606,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,400 g,,,,,,,,,,,,,,,,,,,,
1745,Pain du pecheur 300G,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,Brioche pour beurre,0209400018695,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,Filets de poulets avec peau saumurés et rotis,0226280024738,,['en:Filets de Poulet'],['France'],[],[],7.1 g,en quantité modérée,1.9 g,en quantité modérée,0.7 g,en faible quantité,1.4 g,en quantité modérée,?,,168,+42%,703 kj(168 kcal),+43%,"7,1",+167%,"1,9",+167%,"0,8",+20%,"0,7",+129%,25,+10%,"1,4",+117%,"0,56",+117%,4,,C,,,,,"['EMB 72264', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,,,,,,,,,,,
1748,Mango pieces,4044019751641,,,['France'],[],[],,,,,,,,,?,,304,,1272 kj(304 kcal),,"2,2",,"0,5",,64,,62,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,Filet de dinde,0206570055109,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Sushi - Fresh Sallon,3701035403725,,,['France'],[],[],,,,,,,,,?,,152,,636 kj(152 kcal),,9,,5,,10,,9,,35,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,Nougat au miel & aux amandes - 80g,3770004481149,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,80 g,,,,,,,,,,,,,,,,,,,,
1752,Gros sel marin,3261840000170,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,Instant gourmand pomme kiwi - Auchan,52394843,"['Auchan', 'Auchan Production']",,['France'],[],[],,,,,,,,,?,,46,,192 kj(46 kcal),,"0,5",,"0,1",,11,,11,,"0,5",,,,,,,,,,,,,"['EMB 26174B', 'Margès (Drôme, France)']",,,,,['Auchan'],,,,,,,,,,,,
1754,Lomo de cebo iberique - 80g,8425545174467,,,['France'],[],[],,,,,,,,,?,,309,,1293 kj(309 kcal),,18,,"5,8",,"0,8",,"0,8",,36,,"2,9",,"1,16",,,,,,80 g,,,,,,,,,,,,,,,,,,,,
1755,Cookie,3770005024000,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,aiguillettes de poulet,0217283039881,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],5.9 g,en quantité modérée,1.7 g,en quantité modérée,0 g,en faible quantité,0.15 g,en faible quantité,?,,17,-87%,71 kj(17 kcal),-86%,"5,9",+219%,"1,7",+257%,0,-100%,0,-100%,20,-12%,"0,15",-66%,"0,06",-66%,-4,,A,,,,['Label Rouge'],"['FR 72.168.001 CE', 'Loué (Sarthe, France)']",,,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,
1757,Andouillette,2428135030637,,,['France'],[],[],,,,,,,,,?,,203,,849 kj(203 kcal),,14,,"5,4",,"0,1",,"0,1",,19,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,Donuts,,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,B,,,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,
1759,Jambon,2857707027681,,,['France'],[],[],,,,,,,,,?,,132,,552 kj(132 kcal),,"4,1",,"1,6",,"0,2",,"0,2",,"23,8",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
1760,Bevanda All' Aloe Con Lychee,4779040220797,,,['France'],[],[],,,,,,,,,?,,43,,180 kj(43 kcal),,0,,0,,"10,6",,"10,2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,Créme glacée plombiére,3760012140633,,,['France'],[],[],,,,,,,,,?,,181,,757 kj(181 kcal),,"8,5",,"6,4",,23,,20,,"3,5",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
1762,Pâté au lapin au muscadet 160gr,2463553022963,,,['France'],[],[],,,,,,,,,?,,328,,1372 kj(328 kcal),,29,,11,,"1,7",,"0,9",,14,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,
1763,Délice au thé noir,074223,,,['France'],[],[],,,,,,,,,?,,228,,954 kj(228 kcal),,0,,0,,57,,56,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,Vinaigrette (salade De Chou) - Kraft,0068100046106,['Kraft'],,['France'],[],[],,,,,,,,,?,,333.33333333333,,1395 kj(333 kcal),,"23,333",,"3,333",,20,,20,,"0,667",,"2,833",,"1,133",,,,,,,,,,,,,,,,,,,,,,,,,,
1765,Piment fort Tawabil,8435068853442,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Piments']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,C,,,87.9%,0.0%,0.0%,5.3%,5.5%,1.2%,70,,,,,
1766,Poitrine cuite supérieure 3 tranches VPF 259gr,2478872024406,,,['France'],[],[],,,,,,,,,?,,270,,1130 kj(270 kcal),,"21,4",,"8,5",,1,,"0,2",,"18,3",,"1,4",,"0,56",,,,,,,,,"['EMB 35152B', 'Liffré (Ille-et-Vilaine, France)', 'FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,
1767,Yaourt fermiers brassés aux framboises - 500g,3536272206781,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,500 g,,,,,,,,,,,,,,,,,,,,
1768,Poitrine cuite supérieure 3 tranches VPF 265gr,2478872024932,,,['France'],[],[],,,,,,,,,?,,270,,1130 kj(270 kcal),,"21,4",,"8,5",,1,,"0,2",,"18,3",,"1,4",,"0,56",,,,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,
