,name,bar_code,eco_score,categories,ingredients_origins,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,traceability_code,quantity,additives,labels,allergens,brand_owner,packaging,markets,generic_name,manufacturing,link,palm_ingredients
1139,Baby Kiwi - Fruits Rouges & Co. - 125g,3385630016469,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",['France'],['France'],[],[],?,,59,-68%,1,+39%,8,-78%,1,-36%,,,,,,,,247 kj(59 kcal),"0,1",8,"0,009","0,003",['Fruits Rouges & Co.'],-67%,-35%,-72%,-72%,-72%,-8,-1072%,A,-1072%,,1 g,en faible quantité,0.1 g,en faible quantité,8 g,en quantité modérée,0.0086 g,en faible quantité,,125 g,,,,,"['Barquette', 'Plastique']",,,,http://www.fruitsrougesandco.com/,
1140,Jambon,2408515031553,,,,['France'],[],[],?,,188,,11,,0,,22,,,,,,,,,787 kj(188 kcal),"4,6",0,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,Miel toutes fleurs breton - La cour d'Orgères,3760194184210,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels crémeux']",,['France'],[],[],?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,"[""La cour d'Orgères""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,Olives noires dénoyautées,6111245661186,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives dénoyautées', 'Olives noires dénoyautées']",,['France'],[],[],?,,160,-26%,11,-48%,"6,7",+173%,"0,7",-44%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,669 kj(160 kcal),"0,5","0,4","2,4","0,96",,-26%,-82%,+33%,-33%,-33%,11,-10%,D,-10%,,11 g,en quantité modérée,0.5 g,en faible quantité,0.4 g,en faible quantité,2.4 g,en quantité élevée,,,,,,,,,,,,
1143,Yaourt nature,3297560111346,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,Lentilles cuisinees,3802940798521,,,,['France'],[],[],?,,74,,"0,3",,10,,"6,1",,,,,,,,,310 kj(74 kcal),0,"0,5","0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,Caffe Latte & Cookie,4316268500470,,,,['France'],[],[],?,,85,,"2,7",,12,,3,,,,,,,,,356 kj(85 kcal),"1,6","10,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,"['DE BY-77723 EG', 'FSC-C108449']",,,,,,,,,,,
1146,Smoothie Ananas-banane-coco,4316268459952,,,,['France'],[],[],?,,83,,"2,6",,"13,1",,1,,,,,,,,,347 kj(83 kcal),"2,4","11,8","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Ventreche thon germon -,3760164640067,E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive"", 'Thons blancs']",,['France'],[],[],?,,255,+19%,"16,2",+22%,"0,5",+24%,"26,6",+13%,93.6%,0.0%,1.2%,4.4%,0.6%,0.2%,21,1067 kj(255 kcal),"5,5","0,5","0,8","0,32",,+18%,+112%,+117%,-13%,-13%,11,+154%,D,+154%,,16.2 g,en quantité modérée,5.5 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,,,,,,,,,,,,
1148,Caribe mix,3800139145293,,,,['France'],[],[],?,,417,,15,,65,,3,,,,,,,,,1745 kj(417 kcal),13,48,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,Provenance nature,3490090050509,,,,['France'],[],[],?,,189,,"0,3",,45,,"0,6",,,,,,,,,791 kj(189 kcal),0,45,0,0,['Provenance Nature'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,Le Dahu,3546940004526,,,,['France'],[],[],?,,242,,"2,5",,51,,1,,,,,,,,,1013 kj(242 kcal),"1,42","45,5","0,038","0,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,Mélange sportif,2200688007508,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs']",,['France'],[],[],?,,484,+10%,30,+44%,31,-38%,17,+85%,,,,,,,,2025 kj(484 kcal),"2,2",30,"0,04","0,016",,+10%,-57%,-24%,-67%,-67%,4,-48%,C,-48%,,30 g,en quantité élevée,2.2 g,en quantité modérée,30 g,en quantité élevée,0.04 g,en faible quantité,,,,,,,,,,,,
1152,Myrtilles - Fruits Rouges & Co. - 500g,3385630017114,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges']",['Pologne'],['France'],['Myrtilles'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",244,-13%,?,,"0,33",-20%,"10,6",-20%,"0,87",-7%,90.1%,0.0%,0.0%,7.2%,2.5%,0.1%,60,244 kj(58 kcal),0,"9,96","0,006","0,002",['Fruits Rouges & Co.'],-11%,-100%,-6%,-61%,-61%,-5,,A,,1,0.33 g,en faible quantité,0 g,en faible quantité,9.96 g,en quantité modérée,0.0058 g,en faible quantité,,500 g,,,,,"['Barquette', 'Plastique']",,,,http://www.fruitsrougesandco.com/,
1153,Petit pains grilles,30006324,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés', 'Petits pains grillés']",,['France'],[],[],?,,410,+1%,10,+19%,66,-2%,10,-5%,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,1715 kj(410 kcal),"0,9",5,1,"0,4",,+1%,-44%,-14%,-13%,-13%,5,-7%,C,-7%,,10 g,en quantité modérée,0.9 g,en faible quantité,5 g,en quantité modérée,1 g,en quantité modérée,,,,,,,,,,,,
1154,2 Cuisses et 2 demi-râbles de lapin + 2 sachets d'assaisonnement moutarde + 1 sachet cuisson - LOEUL ET PIRIOT - 0.862kg,2439832046050,D,"['Viandes', 'Viande de lapin']",['Viande de lapin : Origine France'],['France'],"['Epices ', 'dont MOUTARDE 25-30%', 'acidifiants : diacétate de sodium', 'citrate de potassium', 'acide citrique', 'sel', 'semoule de riz', 'arômes', 'saccharose', ""correcteur d'acidité : gluconate de sodium"", 'exhausteur de goût : chlorure de potassium']",[],515,-25%,?,,"4,6",-42%,"0,3",-57%,20,+2%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,515 kj(123 kcal),"1,5","0,1","0,13","0,052",['LOEUL ET PIRIOT'],-22%,-37%,-76%,-74%,-74%,-3,-592%,A,-592%,4,4.6 g,en quantité modérée,1.5 g,en quantité modérée,0.1 g,en faible quantité,0.13 g,en faible quantité,"['FR 79.329.004 CE', 'Thouars (Deux-Sèvres, France)']",0.862 kg,"['E262ii - Diacétate de sodium', 'E330 - Acide citrique', 'E576 - Gluconate de sodium', 'E508 - Chlorure de potassium', '', 'Risque modéré de sur-exposition']","['Viande-francaise', 'Lapin Français']",['Moutarde'],,['Barquette polystyrène rouge'],,Cuisses et râbles de lapin à la moutarde,['Thouars'],https://www.lapin-et-papilles.fr,
