,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,additives,palm_ingredients,allergens,nova_score,quantity,generic_name,packaging,traceability_code,markets,ingredients_origins,manufacturing,link,producer_info
1709,Cupcakes Goût vanille Nappage goût chocolat au lait - Netto - 240g,3250392275846,,"['Biscuits et gâteaux', 'Gâteaux', 'Cupcakes']",['France'],"['Glaçage goût chocolat au lait 23 % [sucre', 'matière grasse de palme et palmiste', 'lait écrémé en poudre', 'cacao maigre en poudre', 'lait entier en poudre', ' huile de tournesol', 'émulsifiants: lécithine de tournesol et tristéarate de sorbitane arôme naturel de vanille', ' sucre', 'farine de blé ', 'gluten', 'œufs', 'huile de colza', 'dragées colorées au chocolat 5 % [sucre', 'beurre de cacao', 'lactosérum en poudre ', 'lait', ' cacao maigre en poudre', 'poudre de lait entier', 'amidon de riz', 'émulsifiant: lécithine de tournesol', ""agents d'enrobage: gomme arabique - cire de carnauba - cire d'abeille colorants aux extraits de plantes: raisin - radis cassis citron carthame spiruline"", 'stabilisants ', 'glycérol gomme xanthane', 'amidon modifié de mais', 'amidon de mais', 'lactosérum en poudre ', 'lait', 'poudres à lever ', 'disodium phosphate', ' carbonates de sodium', ' amidon de blé ', 'gluten', 'conservateur ', 'sorbate de potassium', 'sel arôme naturel', 'gluten de blé', 'enzyme', 'protéines de lait']","['Huile de palme', 'Non végétalien']",25.9 g,en quantité élevée,11.1 g,en quantité élevée,37 g,en quantité élevée,0.62 g,en quantité modérée,?,,479,+19%,2004 kj(479 kcal),+19%,"25,9",+33%,"11,1",+45%,"55,7",+12%,37,+33%,"4,8",-12%,"0,62",+2%,"0,248",+2%,25,+40%,E,+40%,,,,,,,,['Netto'],,"['E322i - Lécithine', ""E414 - Gomme d'acacia"", 'E903 - Cire de carnauba', ""E901 - Cire d'abeille"", 'E422 - Glycérol', 'E14XX - Amidons modifiés', 'E339ii - Phosphate disodique', 'E500 - Carbonates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Huile de palme'],"['Œufs', 'Gluten', 'Lait']",4,240 g,,"['Barquette', 'Plastique']",,['Netto'],,,,
1710,Petits Pois et Carottes - Kerlys - 720ml poids net420grs,3250392292119,,['Légumes melanges'],['France'],[],[],0.6 g,en faible quantité,0.2 g,en faible quantité,3.7 g,en faible quantité,0.6 g,en quantité modérée,?,,59,,247 kj(59 kcal),,"0,6",,"0,2",,"7,6",,"3,7",,"3,4",,"0,6",,"0,24",,0,,B,,,,,,,,,['Kerlys'],,,,,,720ml poids net420grs,,['Conserve verre'],,['Netto'],['France'],['56550 local mendon'],,
1711,Chabrior coeur de mie - 500gr,3250392292225,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie', 'Pains complets', 'Pains de mie complet']",['France'],[],['Sans huile de palme'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,['Chabrior'],['en:palm-oil-free'],,,,,500 gr,,,,['Intermarché'],,,,
1712,Mousse de Canard au Sauternes -25 % de Sel - Monique Ranou - 180g,3250392299415,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de canard']",['France'],"['Canard 34 % ', 'dont foie maigre de canard', 'graisse de canard', 'gras de porc', 'foie de poulet', 'crème fraîche ', 'lait', 'lait', 'œufs', 'farine de blé', 'sel', 'Sauternes 1 % ', 'France', 'poudre de lait', 'Porto', ""poudre de blanc d'œuf"", 'arômes', 'colorant : lutéine', 'épice', 'stabilisants : carraghénanes', 'conservateurs : ascorbate de sodium', 'nitrite de sodium', ' Décor : saindoux', 'colorant : caroténoïdes']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",39.5 g,en quantité élevée,14.6 g,en quantité élevée,2 g,en faible quantité,1.1 g,en quantité modérée,?,,405,+1%,1695 kj(405 kcal),+1%,"39,5",+2%,"14,6",+4%,"2,7",-15%,2,+4%,"9,7",+5%,"1,1",-25%,"0,44",-25%,19,-7%,E,-7%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,['Monique Ranou'],"['Peu ou pas de sel', 'Peu de sel', 'Labels de distributeurs', 'Allégé en sel', 'Moins 25% de sel', 'Point Vert', 'Fabriqué en France', 'Nutriscore', 'Sélection Intermarché']","['E161b - Lutéine', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E160 - Caroténoïdes']",,"['Œufs', 'Gluten', 'Lait']",4,180 g,Mousse de Canard au Sauternes -25 % de Sel,"['Barquette', 'Plastique', 'Frais']",,['Intermarché'],"['Union européenne', 'Hors Union Européenne']","['France', 'Pontivy', 'Bretagne']",,
1713,Les Grenailles - Mon Marché Plaisir - 1kg,3250392308285,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Pommes de terre', 'Légumes frais', 'Pommes de terre catégorie 1', 'Pommes de terre Annabelle']",['France'],"['Pommes de terre de consommation à chair ferme', 'variété ""Annabelle""', 'calibre 18-35 mm']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,['Mon Marché Plaisir'],"['Catégorie I', 'Pommes de terre de France', 'Sans traitement antigerminatif']",,,,,1 kg,,"['Sachet', 'Plastique', 'Bois', 'Cagette']","['EMB 80285', 'Essertaux (Somme, France)']",['Intermarché'],['France'],['France'],,
1714,Salades de l’ocean - Netto,3250392331801,,,['France'],"['20%', 'poivrons rouges et verts I ', 'th', 'calottes 9t4%r Oignons huile de eau', 'petits pois vinaigre dialcools clives noires 2', '2% ', 'olives', 'sel fixateur de couleur : gluconate ferreuxl sucretsel', 'fiatu!El', 'amidon de épaississaot guat colorartt : extraitde paprika', '*poisson CONSEILS ET INFORMATIONS : À consommerde conserver dans on endroit sec et tempéréft', 'b au réfrjgûateurdam herm?fiquement fermé et à']",[],,,,,,,,,?,,123,,515 kj(123 kcal),,"6,2",,"0,9",,"8,2",,"3,7",,"7,4",,"1,56",,"0,624",,,,,,,,,,,,,['Netto'],,,,,,,,,,['Netto'],,,,
1715,Galettes bretonnes pur beurre - Chabrior - 125g,3250392332709,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",['France'],"['Farine de blé  60%', 'sucre', 'beurre concentré* 18', '4% ', 'soit 22% en beure reconstitué*', ' œufs  frais', 'poudre de lait écrémé', 'sel', ""poudres à lever : phosphates de calcium - carbonates de sodium - carbonates d'ammonium"", ' * dont lait ']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",16.7 g,en quantité modérée,11.6 g,en quantité élevée,24.1 g,en quantité élevée,0.74 g,en quantité modérée,1981,-5%,?,,1981 kj(473 kcal),-4%,"16,7",-28%,"11,6",-17%,"72,2",+15%,"24,1",-5%,"7,4",+19%,"0,74",+8%,"0,296",+8%,22,+0%,E,+0%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,['Chabrior'],,"['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Avoine', 'Arachides', 'Soja']",3,125 g,,,,['Intermarché'],,,,
1716,Paris Brest au pralin - La Fournée Campanière,3250392332938,C,"['Biscuits et gâteaux', 'Pâtisseries', 'Paris-Brest']",['France'],[],[],29.5 g,en quantité élevée,15.3 g,en quantité élevée,13.8 g,en quantité élevée,0.17 g,en faible quantité,?,,373,+7%,1561 kj(373 kcal),+7%,"29,5",+17%,"15,3",+17%,"19,1",-27%,"13,8",-13%,"6,9",+23%,"0,17",-51%,"0,068",-51%,17,-4%,D,-4%,74.4%,15.8%,4.4%,3.1%,2.3%,0.0%,60,['La Fournée Campanière'],,,,,,,,,,,,,,
1717,Sirop Fraise - Paquito - 1500ml,3250392333546,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de fraise']",['France'],"['Sucre', 'jus de fruits à base de concentrés 34% ', 'fraise 25%', 'citron et sureau', 'eau', 'acidifiant : acide citrique', 'arôme']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,1404,+11%,?,,1404 kj(336 kcal),+23%,0,-100%,0,-100%,82,+17%,82,+20%,0,-100%,0,-100%,0,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['Paquito'],,['E330 - Acide citrique'],,,4,1500 ml,,,,['Intermarché'],,,,
1718,Chipolatas,3250392334291,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],22 g,en quantité élevée,8.7 g,en quantité élevée,0.9 g,en faible quantité,1.75 g,en quantité élevée,?,,265,+11%,1109 kj(265 kcal),+11%,22,+16%,"8,7",+20%,"1,4",+20%,"0,9",+42%,15,-3%,"1,75",-3%,"0,7",-3%,18,+8%,D,+8%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,"['FR 35.136.002 CE', 'Janzé (Ille-et-Vilaine, France)']",,,,,
1719,"Jambon sec, Tranches fines - Monique Ranou - 100g (6tranches)",3250392335311,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",['France'],"['Jambon de porc ', 'origine : France', 'sel', 'dextrose', 'ail', 'conservateur : nitrate de potassium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",13.9 g,en quantité modérée,5.3 g,en quantité élevée,0.5 g,en faible quantité,5.87 g,en quantité élevée,997,-1%,?,,997 kj(238 kcal),-0%,"13,9",+3%,"5,3",+2%,"< 0,5",-23%,"< 0,5",+15%,"28,2",-2%,"5,87",+20%,"2,348",+20%,17,0%,D,0%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,"['Monique Ranou', 'Salaisons du Lignon']","['Viande Française', 'Viande Porcine Française', 'Point Vert', 'Qualité supérieure']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,4,100 g (6 tranches),Jambon sec supérieur,"['Barquette', 'Film', 'Plastique', 'Frais', 'Conditionné sous atmosphère protectrice']","['FR 43.211.009 CE', 'Saint-Maurice-de-Lignon (Haute-Loire, France)']",['Intermarché'],['France'],"['Haute-Loire', 'Auvergne-Rhône-Alpes', 'France']",,
1720,Paquito Nectar de pomme la brique de 2 l,3250392336554,,"['Boissons', 'Boissons avec sucre ajouté']",['France'],"['Jus de pomme à base dejus concentré ', '50%', 'eau', 'sucre']",[],0 g,en faible quantité,0 g,en faible quantité,10.6 g,en quantité élevée,0 g,en faible quantité,?,,45,-47%,188 kj(45 kcal),-49%,0,-100%,0,-100%,"10,8",-45%,"10,6",-42%,"0,5",-7%,0,-100%,0,-100%,15,+26%,E,+26%,,,,,,,,['Paquito'],,,,,3,,,,,['Intermarché'],,,,
1721,Mini piments verts - Bouton d'Or - 270g (140g égoutté),3250392353612,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Piments', 'Piments verts']",['France'],"['Piments 51,8 % ', 'contient des sulfites', 'eau', ""vinaigre d'alcool"", 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.8 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,1.52 g,en quantité élevée,127,-46%,?,,127 kj(30 kcal),-64%,"0,8",-80%,"< 0,1",-85%,"2,3",-68%,"< 0,5",-76%,"1,1",-64%,"1,52",-53%,"0,608",-53%,,,,,87.9%,0.0%,0.0%,5.3%,5.5%,1.2%,70,"[""Bouton d'Or""]","['Labels de distributeurs', 'Sélection Intermarché']",,,['Anhydride sulfureux et sulfites'],3,270 g (140 g égoutté),Piments verts au vinaigre,"['Bocal', 'Verre']","['EMB 72090D', 'Connerré (Sarthe, France)']",['Intermarché'],,,,
1722,Macedoine 5 legumes - Netto,3250392356620,,"['Plats préparés', 'Légumes préparés', 'Entrées', 'Entrées froides', 'Macédoines de légumes']",['France'],[],[],8.9 g,en quantité modérée,0.7 g,en faible quantité,1.4 g,en faible quantité,0.8 g,en quantité modérée,?,,117,+27%,490 kj(117 kcal),+26%,"8,9",+58%,"0,7",+42%,"4,9",-16%,"1,4",-14%,"2,3",-2%,"0,8",+3%,"0,32",+3%,3,+1264%,C,+1264%,,,,,,,,['Netto'],,,,,,,,,,,,,,
1723,Galette des rois - La Fournée Campanière - 400g,3250392366162,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],[],31.1 g,en quantité élevée,18.1 g,en quantité élevée,15 g,en quantité élevée,0.56 g,en quantité modérée,?,,471,+12%,1971 kj(471 kcal),+12%,"31,1",+18%,"18,1",+22%,"36,8",-5%,15,+16%,"7,7",+21%,"0,56",-20%,"0,224",-20%,20,+4%,E,+4%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,"['La Fournée Campanière', 'Sélection les Mousquetaires', 'Intermarché']","['Labels de distributeurs', 'Point Vert', 'Pur beurre', 'Sélection Intermarché']",,,,,400 g,,"['Carton', 'Boite', 'Blister', 'Plastique', 'Atmosphère protectrice']",,['Intermarché'],,,,
1724,Craquilles - Bouton d'Or,3250392383732,,,['France'],[],[],,,,,,,,,?,,488,,2042 kj(488 kcal),,"21,3",,"1,7",,"66,5",,"1,5",,"5,8",,"1,7",,"0,68",,,,,,,,,,,,,"[""Bouton d'Or""]",,,,,,,,,,,,,,
1725,Émincés de Thon Fumé Albacore - Capitaine Cook,3250392408046,D,"['Produits de la mer', 'Poissons', 'Thons', 'Thons tropicaux', 'Thons albacore']",['France'],[],[],0.9 g,en faible quantité,0.4 g,en faible quantité,0.4 g,en faible quantité,3 g,en quantité élevée,?,,120,-3%,502 kj(120 kcal),-3%,"0,9",-57%,"0,4",-26%,"0,5",+223%,"0,4",+292%,28,+12%,3,+209%,"1,2",+209%,11,+2685%,D,+2685%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,['Capitaine Cook'],,,,,,,,,,,,,,
1726,Steaks Hachés Façon Bouchère Pur Bœuf 15% MG - Jean Rozé - 250g,3250392422189,E,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",['France'],[],[],13 g,en quantité modérée,6.2 g,en quantité élevée,0.5 g,en faible quantité,0.19 g,en faible quantité,?,,192,+3%,803 kj(192 kcal),+2%,13,+5%,"6,2",+19%,6,+2827%,"0,5",+262%,19,-1%,"0,19",-13%,"0,076",-13%,3,+9%,C,+9%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,['Jean Rozé'],"['Viande Française', 'Viande-bovine-francaise']",,,,,250 g,,['Barquette'],"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",['Intermarché'],,,,
1727,Pastilles du Bassin de Vichy - A l'arôme naturel menthe - Netto - 230g,3250392424558,,,['France'],"['Sucre ', '98,7%', ' ', 'France', ""émulsifiant : sels de magnésium d'acides gras"", 'sels minéraux extraits des eaux du Bassin de Vichy ', '0', '30%', 'arôme naturel de menthe', 'sirop de glucose']","[""Pourrait contenir de l'huile de palme""]",,,,,,,,,1698,,?,,1698 kj(406 kcal),,0,,0,,99,,99,,0,,"0,08",,"0,032",,,,,,,,,,,,,['Netto'],,"[""E470b - Sels de magnésium d'acides gras""]",,['Gluten'],4,230 g,,,,['Netto'],,,,
1728,Dessert chocolat lait - Netto - 170g,3250392426729,E,"['Snacks', 'Produits laitiers', 'Desserts', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Desserts lactés', 'Chocolats au lait', 'Desserts au chocolat', 'Desserts lactés au chocolat']",['France'],"['Sucre', 'pâte de cacao', 'beurre de cacao', 'poudre de lait  entier ', '14', '4%', 'lactosérum en poudre ', 'dont lait ', 'émulsifiant : lécithines de tournesol', 'arôme vanille']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",33.8 g,en quantité élevée,21.5 g,en quantité élevée,45.9 g,en quantité élevée,0.2 g,en faible quantité,2303,+254%,?,,2303 kj(550 kcal),+259%,"33,8",+434%,"21,5",+438%,"53,8",+186%,"45,9",+177%,"6,7",+75%,"0,2",+30%,"0,08",+30%,26,+285%,E,+285%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['Netto'],,['E322i - Lécithine'],,"['Gluten', 'Lait', 'Fruits à coque']",4,170 g,,,,['Netto'],,,,
1729,Pain campagnard - La Fournée Campanière,3250392429683,,,['France'],"[' Farine de blé 50 % ', 'VE', 'ea u', 'farine de seigle 6,8 % ', 'France', ' levain de levure', 'gluten de blé', 'farine de blé malté', ' lion']",[],,,,,,,,,?,,287,,1201 kj(287 kcal),,"1,3",,"0,2",,59,,"1,4",,"8,8",,"1,63",,"0,652",,,,,,,,,,,,,['La Fournée Campanière'],['en:British Lion Quality'],,,['Gluten'],4,,,,,,,,,
1730,Lait de coco - Netto,3250392430559,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']",['France'],"['lait de coco 99,64%', ' émulsifiants carboxyméthyl-cellulose sodique-polysorbdte 60', 'épaississant gomme de guar']",[],16.6 g,en quantité élevée,15.7 g,en quantité élevée,2 g,en faible quantité,0.04 g,en faible quantité,?,,171,+8%,715 kj(171 kcal),+9%,"16,6",+6%,"15,7",+15%,"3,8",+37%,2,+19%,"1,7",+34%,"0,04",-45%,"0,016",-45%,6,-37%,C,-37%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,['Netto'],,['E412 - Gomme de guar'],,,4,,,"['Conserve', 'métal']",,['Netto'],,,,
1731,Steak de soja - Netto - 2x 100g,3250392430771,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Steaks végétaux']",['France'],"['Eau', 'protéines de soja ', '21,7%', 'oignons', 'huile de tournesol', 'herbes ', 'ciboulette', 'persil', 'estragon', ' ', '4,9%', 'concentré de tomate', 'arômes naturels', 'fibres de blé ', '1,1%', 'sucre', 'sel', 'émulsifiant : méthylcellulose', 'jus de citron à base de concentré']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",8.6 g,en quantité modérée,0.9 g,en faible quantité,2.8 g,en faible quantité,1.6 g,en quantité élevée,?,,166,-19%,695 kj(166 kcal),-18%,"8,6",-4%,"0,9",-38%,3,-82%,"2,8",+19%,"15,2",+45%,"1,6",+52%,"0,64",+52%,-1,-830%,A,-830%,,,,,,,,['Netto'],['Bio'],['E461 - Méthylcellulose'],,['Gluten'],4,2 x 100 g,PRÉPARATIONS PRÉFRITES ET PRÉCUITES À BASE DE PROTEINES DE SOJA ET DE FINES HERBES,['Barquette PET sous étui cartonné'],,['Netto'],,['Pays-Bas'],,
1732,Croûtons Saveur Ail - Netto - 180g,3250392445799,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",['France'],"['Farine de blé', 'huile de tournesol', ""arôme naturel d'ail 1,6%"", 'sel', 'levure']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",30.5 g,en quantité élevée,2.8 g,en quantité modérée,1.6 g,en faible quantité,2.06 g,en quantité élevée,?,,520,+10%,2176 kj(520 kcal),+10%,"30,5",+49%,"2,8",-7%,"51,1",-13%,"1,6",-57%,8,-15%,"2,06",+6%,"0,824",+6%,17,+16%,D,+16%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,['Netto'],['en:palm-oil-free'],,,['Gluten'],4,180 g,,['Plastique'],,['Netto'],,,,
1733,Munster,3250392449292,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Munster']",['France'],[],[],27 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,323,-10%,1351 kj(323 kcal),-10%,27,-8%,19,-4%,1,+43%,"0,5",+41%,19,-17%,"1,9",+47%,"0,76",+47%,17,+21%,D,+21%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,
1734,Fusilli - Netto - 500g,3250392450229,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Torsades']","[""Côte d'Ivoire"", 'France']","['Semoule de blé dur de qualité supérieure', "" Traces éventuelles d'oeufs""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.8 g,en faible quantité,0.3 g,en faible quantité,6.3 g,en quantité modérée,0.01 g,en faible quantité,?,,354,+1%,1481 kj(354 kcal),+0%,"1,8",-8%,"0,3",-28%,"72,5",+6%,"6,3",+126%,"10,8",-12%,"0,01",-62%,"0,004",-62%,0,,B,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['Netto'],,,,,1,500g,,,,"['Netto', 'Carrefour', 'Prosuma']",,['Barcelone'],,
1735,Haricots beurre extra-fins - Saint Eloi,3250392464950,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Haricots beurre en conserve']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,1.1 g,en faible quantité,0.66 g,en quantité modérée,?,,22,-19%,92 kj(22 kcal),-16%,"0,5",+86%,"0,1",+33%,"1,6",-44%,"1,1",+36%,"1,2",-20%,"0,66",+1%,"0,264",+1%,-3,,A,,36.3%,28.4%,13.5%,6.8%,9.5%,5.5%,83,['Saint Eloi'],,,,,,,,,,,,,,
1736,Dessert de fruits pomme rhubarbe - Paquito,3250392481018,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes rhubarbe']",['France'],"['purée de pommes 49,9%', 'purée de rhubarbe 42,3%', 'sucre', ""jus concentré d'acérola""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,13.2 g,en quantité élevée,0.01 g,en faible quantité,?,,63,-9%,264 kj(63 kcal),-7%,"0,5",+79%,"0,1",+145%,"14,3",-1%,"13,2",-4%,"0,5",+7%,"0,01",+20%,"0,004",+20%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,['Paquito'],,,,,3,,,,,['Intermarché'],,,,
1737,2 Bouchées à la reine champignons & dinde - Monique Ranou,3250392482145,,,['France'],[],[],,,,,,,,,1079,,259,,1079 kj(259 kcal),,"15,3",,"9,8",,23,,23,,"6,3",,"1,18",,"0,472",,,,,,,,,,,,,['Monique Ranou'],,,,,,,,,"['FR 42.127.001 CE', 'Mably (Loire, France)']",,,,,
1738,Queues de crevettes surgelées - Odyssée,3250392485719,D,"['Produits de la mer', 'Crustacés', 'Crevettes', 'Queues de crevettes']",['France'],"['Odyssée wEUES DE CREVETTES TROPICALES DECORTIQUEES CUITES JRGELEES GRÉOIENTS : Cfevettes bio* ', 'Penaeus lunnamei', 'élevées en Eque+eur', 'sel', ' gine : Equateur', ' ustacés', ' ORMATIONS :']",[],1.1 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,0.33 g,en quantité modérée,?,,100,+2%,418 kj(100 kcal),+2%,"1,1",-37%,"0,4",-5%,"0,5",-3%,"0,5",+136%,25,+32%,"0,33",-78%,"0,132",-78%,-3,-233%,A,-233%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Odyssée'],['Bio'],,,['Crustacés'],,,,,,,,,,
1739,2 Bouchées à la Reine - Netto - 300g (2 * 150g),3250392486167,C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Feuilleté salé', 'Réfrigérés', 'Plats préparés réfrigérés', 'Plats à la dinde', 'Bouchée à la reine']",['France'],"['Pâte feuilletée 36,7% ', 'farine de blé ', 'farine de fèves', 'farine de blé malté', 'beurre 9 % beurre Origine UE', 'colorant : caroténoides', 'eau', 'sel', ""dorure à l'œuf "", 'eau', ""jaune d'œuf en poudre"", ""jaune d'œuf"", 'lait entier', 'préparation à base de viande de dinde cuite traitée en salaison 12 % ', 'viande de dinde 7,9 % origine France', 'eau', 'lactose', 'protéine de pois', 'sel', 'conservateur : nitrite de sodium', 'stabilisants phosphates', 'triphosphates', 'gélifiant : carraghénanes', 'sirop de glucose', 'antioxydant : ascorbate de sodium', 'champignons 8,9 % Origine UE', 'eau', 'crème fraîche', 'mini quenelles de dinde 3,3 % ', 'œufs', 'semoule de blé dur', 'eau', ' viande de dinde 4 % Origine France', 'huile de colza', ""blancs d'œufs"", 'sel', 'arôme', 'farine de blé ', 'oignons', 'beurre 1,8 % ', 'Origine UE', 'porto rouge modifié ', 'porto', 'sel arôme nature de poivre', 'préparation à base de volaille ', 'fond de poulet ', 'os viande et graisse de poulet ', 'Origine : UE', 'eau', 'sel', 'maltodextrine', 'fécule de pomme de terre', 'extrait de levure', 'sirop de glucose', 'arôme naturel', 'ail', 'sel', 'gélifiant agar-agar', 'poivre']","['Non végétalien', 'Non végétarien']",15.3 g,en quantité modérée,9.8 g,en quantité élevée,2.3 g,en faible quantité,1.18 g,en quantité modérée,?,,259,-10%,1084 kj(259 kcal),-14%,"15,3",-24%,"9,8",-12%,23,-3%,"2,3",+69%,"6,3",-12%,"1,18",+7%,"0,472",+7%,17,+29%,D,+29%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,['Netto'],"['Viande-francaise', 'Pur beurre']","['E160 - Caroténoïdes', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E406 - Agar-agar']",,"['Œufs', 'Gluten', 'Lait']",4,300 g (2 * 150 g),2 Bouchées à la Reine,"['Frais', 'Plastique']",,['Netto'],"['France', 'Union européenne']","['France', 'Mably']",,
