,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,nova_score,markets,packaging,traceability_code,allergens,additives,palm_ingredients,ingredients_origins,brand_owner,generic_name,manufacturing,link,producer_info
1061,Marbre,3250391306633,,,['France'],[],[],,,,,,,,,?,,436,,1824 kj(436 kcal),,"22,7",,3,,"51,7",,"25,5",,"5,4",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Donuts nature sucre,0202699019350,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],31 g,en quantité élevée,13 g,en quantité élevée,19 g,en quantité élevée,0.88 g,en quantité modérée,?,,479,+17%,2004 kj(479 kcal),+17%,31,+36%,13,+23%,44,-2%,19,+13%,"5,1",-14%,"0,88",-7%,"0,352",-7%,22,+13%,E,+13%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,,,
1063,Comté,0291801034046,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,
1064,Paprika doux,3760197941629,,,['France'],[],[],,,,,,,,,?,,5,,21 kj(5 kcal),,8,,7,,4,,2,,6,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Nutty nibbles,5034083000911,,,['France'],[],[],,,,,,,,,?,,528,,2209 kj(528 kcal),,"30,8",,"7,8",,47,,"25,1",,"12,6",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Flouka,6111246760048,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Agar Agar Powder - Swallow Globe Brand - 7grammes,8997220180099,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Algues et dérivés', ""Produits à base d'algues"", 'Agar-agar']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,['Swallow Globe Brand'],7 grammes,,,,,,,,,,,,,
1068,Bio muesli nature,85975163,,,['France'],[],[],,,,,,,,,?,,368,,1540 kj(368 kcal),,"7,4",,"1,9",,"58,9",,"5,5",,"11,4",,"0,16",,"0,064",,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
1069,Pétillant de Pomme,3590590050600,,,['France'],[],[],,,,,,,,,?,,44,,184 kj(44 kcal),,0,,0,,11,,11,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,"Eistee, Mit Pfirsichgeschmack, Pet",4100060013739,,['en:Eistee'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,7.7 g,en quantité modérée,0.08 g,en faible quantité,?,,32,,134 kj(32 kcal),,0,,0,,"7,8",,"7,7",,0,,"0,08",,"0,032",,1,,B,,,,,,,,,,,,,,,,,,,,,,,,
1071,Chocolat noir,3483981444457,,,['France'],[],[],,,,,,,,,?,,580,,2427 kj(580 kcal),,42,,25,,36,,28,,"9,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Câpres Capotes au vinaigre,3025052000157,,,['France'],[],[],,,,,,,,,?,,34,,142 kj(34 kcal),,"0,6",,"0,21",,"5,9",,"0,2",,"1,3",,"4,65",,"1,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Creme de foie de porc a l'ancienne,2227318013456,,,['France'],[],[],,,,,,,,,?,,292,,1222 kj(292 kcal),,27,,12,,"2,7",,"2,5",,"9,3",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Lihapullapannu - Oolannin - 500g,6410380097202,,,"['Finlande', 'France']","['Potatis ', 'rypsolja', 'köttbullar 25 % ', 'gris - och nötkött ', '73 %', 'vatten', 'lök', 'ströbröd ', 'vetemjöl', 'salt', 'jäst', 'ägg', 'potatisflingor ', 'potatis', 'emulgeringsmedel ', 'E471', 'stabiliseringsmedel ', 'E450', 'antioxidationsmedel ', 'E304', 'citronsyra', 'potatisstärkelse', 'salt', 'kryddor ', 'bl', 'a', ' vitpeppar']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",,,,,,,,,750,,180,,750 kj(180 kcal),,"8,5",,2,,21,,"0,5",,5,,"0,4",,"0,16",,,,,,,,,,,,,['Sans lactose'],['Oolannin'],500g,4,,,,"['Œufs', 'Gluten']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E304 - Acide palmityle-6-L-ascorbique', 'E330 - Acide citrique']","[""E304 - Palmitate d'ascorbyle""]",,,,,,
1075,Farci poitevin artisanal,0212454029852,,,['France'],[],[],,,,,,,,,?,,127,,531 kj(127 kcal),,"9,3",,"3,48",,"5,8",,"3,7",,"3,95",,"1,62",,"0,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,Sirea - Cachou Réglisse / Eucalyptus - 15 g - Sa?,80662860,,,['France'],[],[],,,,,,,,,?,,313,,1310 kj(313 kcal),,0,,0,,65,,"3,2",,"8,2",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Digestive,8710736950778,,,['France'],[],[],,,,,,,,,?,,495,,2071 kj(495 kcal),,22,,11,,65,,20,,"6,6",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Le pain du coin,3289669054105,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,00822763,00822763,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Taschentücher,4000735170159,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,['Box'],,,,,,,,,,
1082,guacamole - Osland - 475g,3526600073475,C,"['Epicerie', 'Sauces', 'Guacamoles']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,,['Osland'],475g,,,,"['FR 14.712.042 CE', 'Troarn (Calvados, France)']",,,,,,,,,
1083,Comte,0294771030575,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,410,+3%,1715 kj(410 kcal),+4%,34,+4%,22,+1%,"0,5",+8%,"0,5",+80%,26,+3%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,
1084,White/Vanilla,0183736000015,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Stroopwafels,8710739497195,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées au caramel']",['France'],[],[],24.5 g,en quantité élevée,12.6 g,en quantité élevée,37.5 g,en quantité élevée,0.99 g,en quantité modérée,?,,492,+7%,2059 kj(492 kcal),+7%,"24,5",+21%,"12,6",+12%,"63,7",-1%,"37,5",+4%,"3,8",+2%,"0,99",+67%,"0,396",+67%,28,+16%,E,+16%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,,,,,,,,,,,,,,,
1086,2616513033916,2616513033916,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Onglet,2494593026703,,,['France'],[],[],,,,,,,,,?,,153,,640 kj(153 kcal),,"8,6",,"3,9",,0,,0,,19,,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Olives verte farcies aux amandes,3025051590116,,,['France'],[],[],,,,,,,,,?,,235,,983 kj(235 kcal),,"23,1",,"3,2",,"0,2",,"0,04",,"2,5",,"3,2",,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Modilac bio,2572758480697,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
1090,Moutarde de Dijon,3760019913100,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",['France'],[],[],11.3 g,en quantité modérée,0.8 g,en faible quantité,1.8 g,en faible quantité,6.1 g,en quantité élevée,?,,149,-6%,623 kj(149 kcal),-6%,"11,3",-2%,"0,8",+5%,"1,8",-51%,"1,8",-20%,"7,2",+0%,"6,1",+3%,"2,44",+3%,11,+2%,D,+2%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,,,
1091,Marquis de prayniac,3564401691023,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Prozis brown rice pasta,5011766666312,,,['France'],[],[],,,,,,,,,?,,191,,799 kj(191 kcal),,"1,3",,"0,3",,"38,5",,0,,"5,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Figue & Framboise CONFIT Condiment recette originale,3760153930407,,,['France'],[],[],,,,,,,,,?,,256,,1071 kj(256 kcal),,"0,86",,"0,17",,"55,75",,"54,26",,"2,17",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Infusion en gelée à la grenade - coco,18095050,,,['France'],[],[],,,,,,,,,?,,234,,979 kj(234 kcal),,0,,0,,"58,4",,"44,1",,"0,13",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Chipolatas Toulouse,2447564025458,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],14.9 g,en quantité modérée,5.7 g,en quantité élevée,0.6 g,en faible quantité,2.5 g,en quantité élevée,?,,203,-15%,849 kj(203 kcal),-15%,"14,9",-21%,"5,7",-21%,"0,8",-32%,"0,6",-5%,"16,4",+6%,"2,5",+39%,1,+39%,17,+2%,D,+2%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,,,
1096,Forme et fruit rouge,84325389,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Sushi frais,3760190932297,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Lentilles corail France,3760198280277,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles rouges', 'Lentilles corail sèches']",['France'],[],[],1.7 g,en faible quantité,0.3 g,en faible quantité,2.5 g,en faible quantité,0.02 g,en faible quantité,?,,340,+2%,1423 kj(340 kcal),+2%,"1,7",+21%,"0,3",+32%,51,+8%,"2,5",+91%,26,+6%,"0,02",-34%,"0,008",-34%,-1,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,,,,,,,,,,
1099,Poulet tomates Marmelade de courgettes - Fleury Michon - 600g (2x300g),3302743281027,,,['France'],"['Courgettes 40%', 'tomates 15%', 'poulet traité en salaison ', 'poulet 14%', 'amidon de tapioca', 'dextrose', 'sel', 'flocons de pommes de terre 8%', 'crème fraîche', 'eau', 'beurre', 'crème de riz', 'oignons 1,5%', ' poudre de lait écrémé', 'amidon de riz', 'huile de colza', 'sel', 'concentré de tomates', 'gélatine de bæuf', 'ail 0,19%', "" piment d'Espelette"", 'thym 0,02%', 'poivre', "" Maigré tout le soin que nous avons apporté à l'élaboration de ce plat"", ""vous pouvez trouver exceptionnellement queiques morceaux d'os"", ' Poulet origine Pologne', ' l 300 g']","['Non végétalien', 'Non végétarien']",,,,,,,,,456,,109,,456 kj(109 kcal),,5,,3,,8,,3,,6,,1,,"0,4",,,,,,,,,,,,,,['Fleury Michon'],600g (2x300 g),4,,,,['Lait'],['E428 - Gélatine'],,,,,,,
1100,Creme De Pamplemousse Rose 16% Giffard,3180290044100,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Creme de poulet,0059749886062,,,['France'],[],[],,,,,,,,,?,,80,,335 kj(80 kcal),,4,,"0,5",,0,,0,,2,,"8,7",,"3,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Le Canard Toqué! Magret -,2487833050576,,,['France'],[],[],,,,,,,,,?,,254,,1063 kj(254 kcal),,"24,2",,"9,4",,"3,5",,"1,6",,"14,2",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Energy balls,0609944008945,,,['France'],[],[],,,,,,,,,?,,403,,1686 kj(403 kcal),,18,,"2,8",,48,,43,,"8,3",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Palette à la moutarde à l'ancienne,2657322057274,,,['France'],[],[],,,,,,,,,?,,504,,2109 kj(504 kcal),,"7,2",,"2,4",,2,,"1,1",,12,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Huile de saumon sauvage -,0068958022567,B,"['Matières grasses', 'Matières grasses animales', 'Huiles de poissons', 'Huiles de saumon']",['France'],[],[],1 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,?,,10,-23%,42 kj(10 kcal),-87%,1,-98%,"0,5",-89%,"0,5",+890%,0,-100%,10,+525%,1,,"0,4",,11,,D,,43.8%,28.4%,11.3%,10.5%,6.0%,0.0%,92,,,,,,,,,,,,,,,,
1106,Bugnes briochees,0201020045594,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Saucisse de porcelet,2231778022705,,,['France'],[],[],,,,,,,,,?,,96,,402 kj(96 kcal),,"5,9",,"2,2",,"1,3",,"0,9",,16,,"1,6",,"0,64",,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,,,,
1108,Ventrèches de thon germon à l'huile d'olive vierge extra - Monoprix Gourmet - 47g,3350033357228,E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Filets de poissons', ""Thons à l'huile"", ""Thons à l'huile d'olive"", 'Thons blancs', 'Filets de thon']",['France'],"['Ventrèches ', 'filets', "" de thon germon - huile d'olive vierge extra 29%-sel"", ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']",[],24 g,en quantité élevée,5.5 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,1296,+55%,?,,1296 kj(310 kcal),+39%,24,+80%,"5,5",+157%,0,-100%,0,-100%,24,-2%,1,+1%,"0,4",+1%,12,+172%,D,+172%,93.6%,0.0%,1.2%,4.4%,0.6%,0.2%,21,,"['Monoprix Gourmet', 'Monoprix']",47 g,,['Monoprix'],,"['FR 29.046.500 CE', 'Douarnenez (Finistère, France)']",,,,,,,,,
1109,Drink mix,3800048220302,,,['France'],[],[],,,,,,,,,?,,2,,8 kj(2 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Lemon iced tea,8003410388548,,"['Boissons', 'Thés glacés']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,8 g,en quantité élevée,0 g,en faible quantité,?,,32,+45%,134 kj(32 kcal),+46%,0,-100%,0,-100%,8,+52%,8,+59%,0,-100%,0,-100%,0,-100%,11,+51%,E,+51%,,,,,,,,,,,,,,,,,,,,,,,
1111,Sacla Olio Extra Vergine D'oliva &peperoncino,8001060018549,,,['France'],[],[],,,,,,,,,?,,824,,3448 kj(824 kcal),,92,,13,,0,,0,,0,,0,,0,,,,,,,,,,,,,,['Sacla'],,,,,,,,,,,,,,
1112,Capres avec tige,8020847105210,,,['France'],[],[],,,,,,,,,?,,24,,100 kj(24 kcal),,"0,6",,"0,5",,"2,1",,"0,1",,2,,"4,7",,"1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Brillat-Savarin - Les Nouveaux Fromagers - 220g,3701082400906,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Fromages à pâte molle à croûte naturelle', 'Fromages à pâte molle à croûte lavée', 'Brillat-Savarin']",['France'],"['LAIT cru', 'CREME crue', 'sel', 'presure', ""fermets lactiques et d'affinage"", ' 28% de mg sur le poids total']",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['IGP'],['Les Nouveaux Fromagers'],220 g,3,,,"['FR 62.041.030 CE', 'Arras (Pas-de-Calais, France)']",['Lait'],,,,,,,,
1114,Comté 12 mois d'affinage,2282622030575,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,0.82 g,en quantité modérée,?,,418,+5%,1749 kj(418 kcal),+6%,35,+7%,22,+1%,0,-100%,0,-100%,27,+7%,"0,82",-16%,"0,328",-16%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,
1115,Pain complet BI'1,0208735008531,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,Mes rillettes de cochon,3760094103151,,,['France'],[],[],,,,,,,,,?,,363,,1519 kj(363 kcal),,30,,10,,"0,5",,"0,5",,23,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,LUXURY HOT CHOCOLATE,5022032125235,,,['France'],[],[],,,,,,,,,?,,397,,1661 kj(397 kcal),,8,,5,,66,,59,,9,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Salade de saucisse de viande,2433110021067,,,['France'],[],[],,,,,,,,,?,,304,,1272 kj(304 kcal),,29,,"9,3",,"1,1",,"0,9",,"9,7",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Beef floss,8992719132252,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Tranches de jambon crue,3700319920736,,,['France'],[],[],,,,,,,,,?,,226,,946 kj(226 kcal),,"9,9",,"4,1",,"0,3",,"0,3",,"34,1",,"5,2",,"2,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Coq au vin de Bordeaux,3267615005371,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],[],,,,,,,,,?,,86,+76%,360 kj(86 kcal),+81%,"1,4",-35%,"0,3",-59%,"4,3",-13%,"1,6",-27%,11,+515%,"0,96",+96%,"0,384",+96%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Huile de noix de coco,3452010003354,,,['France'],[],[],,,,,,,,,?,,900,,3766 kj(900 kcal),,100,,"91,5",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Shrimp Chips,8934746053094,,,['France'],[],[],,,,,,,,,?,,348,,1456 kj(348 kcal),,0,,0,,86,,"9,81",,1,,"2,42",,"0,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Bud Light,5014379005394,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Noix de macadamia grillee a sec,2600307031493,,,['France'],[],[],,,,,,,,,?,,755,,3159 kj(755 kcal),,76,,12,,"4,4",,"4,1",,"9,3",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Orange à jus - U,3256226088699,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['U'],,,,,,,,,,,,,,
1127,Galletas María - Carrefour,8431876242478,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'es:Galletas maría']","['France', 'Espagne']",[],[],17 g,en quantité modérée,1.7 g,en quantité modérée,21 g,en quantité élevée,0.75 g,en quantité modérée,?,,468,+7%,1958 kj(468 kcal),+8%,17,+43%,"1,7",-17%,72,-1%,21,+21%,"5,8",-21%,"0,75",+12%,"0,3",+12%,13,+17%,D,+17%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['Carrefour'],,,['Carrefour'],,,,,,,,,,,
1128,Normanville,2463207027092,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,3660005529271,3660005529271,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Graton lyonnais,0209344012339,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Parmigiano Reggiano,2382959025197,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",['France'],[],[],30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,402,+0%,1682 kj(402 kcal),+1%,30,+1%,20,+1%,0,-100%,0,,32,-1%,"1,6",0%,"0,64",0%,17,+2%,D,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,
1132,Filet mignon séché,8413107003034,,,['France'],[],[],,,,,,,,,?,,220,,920 kj(220 kcal),,"7,1",,"2,7",,"0,5",,"0,5",,38,,"4,9",,"1,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Farine bise t80 blé meunier d'Apt,3760060330154,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Charcuterie Ibérique - Coviran,8422823575787,,,['France'],[],[],,,,,,,,,?,,416,,1741 kj(416 kcal),,29,,23,,6,,"0,5",,"31,57",,"4,54",,"1,816",,,,,,,,,,,,,,['Coviran'],,,,,,,,,,,,,,
1135,Brochet au muscadet,3389090001249,,,['France'],[],[],,,,,,,,,?,,123,,515 kj(123 kcal),,5,,"2,8",,"3,4",,"0,6",,16,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Smothie,4061458080156,,,['France'],[],[],,,,,,,,,?,,51,,213 kj(51 kcal),,0,,0,,12,,12,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,2 crêpes chocolat noisettes,3337040000729,,,['France'],[],[],,,,,,,,,?,,237,,992 kj(237 kcal),,"7,1",,2,,37,,23,,"5,4",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Vieynamese style spicy lemon dressing,0078895147735,,,['France'],[],[],,,,,,,,,?,,168,,703 kj(168 kcal),,"0,5",,"0,1",,40,,32,,"0,7",,"3,8",,"1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,Country Crisp,7912373658357,,,['France'],[],[],,,,,,,,,?,,474,,1983 kj(474 kcal),,"20,8",,"3,9",,"57,7",,"17,4",,"10,9",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,Saumon fumage artisanal,3770003463603,,,['France'],[],[],,,,,,,,,?,,196,,820 kj(196 kcal),,11,,"1,5",,0,,0,,0,,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,Rillettes saumon rouge du Pacifique,3356993450900,E,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Saumons', 'Rillettes de saumon']",['France'],[],[],21 g,en quantité élevée,7.4 g,en quantité élevée,0.7 g,en faible quantité,1.4 g,en quantité modérée,?,,271,+23%,1134 kj(271 kcal),+23%,21,+22%,"7,4",+53%,"5,4",+143%,"0,7",-23%,15,+11%,"1,4",+23%,"0,56",+23%,16,+82%,D,+82%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,,,,,,,,['Pacifique'],,,,,
1142,Anis Phenix,3299791004732,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Cranberries séchées entières,2600327025397,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,71 g,en quantité élevée,0.01 g,en faible quantité,?,,341,+1%,1427 kj(341 kcal),+1%,"0,5",-29%,"0,1",-60%,82,+3%,71,+8%,"0,5",+79%,"0,01",-56%,"0,004",-56%,9,+25%,C,+25%,,,,,,,,,,,,,,,,,,,,,,,
1144,Molo molo,3443350054052,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,kinderduschbad tetesept,4008491123921,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
