,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,quantity,packaging,manufacturing,traceability_code,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,link,palm_ingredients,brand_owner
80,megabar - performance sports nutrition,5420128818441,['performance sports nutrition'],,['France'],"['FR - BARRE PROTÉINÉ ET ÉDULCORANT ', '80g', ' *Les protéines contribuent à la croissance et au maintien de la masse muscu!aire', ' G — de glucose', ' enrobage de chocolat noir [pâte de cacao', 'sucre', 'beurre de cacao', 'poudre de cacao', 'lécithine de SO A ', 'ému/ ant', ' ë<ômel', ' protéin%de LAIT [protéine de LAIT', 'lécithine de SOJA ', 'émulsifiant', ']', 'protéine de BLÉ', ""huile de 'tournesol"", 'pépites de SOJA [pro- isolées', ' fécule de tapioca', 'sel', ' glycérol ', 'humectant', 'confiseries ', '1,4 %', ' [sucre', 'sirop de glucose', 'LAIT écrémé en poudre', 'graisse hydrogénée', ' dextrose', 'lécithine de tournesol ', 'émulsifiant', 'saveur]', 'arôme', 'sucralose ', 'édulcorant', ' Contient du lait', ""du soja et du des traces d'œufs"", "" d'aradlides"", 'de noix', ' de sulfites', 'de graines de sésame et/ou de leurs produits', ' À conserver dans un endroit frais et CARAMELSMAAK', ' MET SUIKER EN ZOETSTOF ', '80 g', ' *Eiwittten dragen bij aan de toename en het beheud']","['E322i - Lécithine', 'E422 - Glycérol', 'E955 - Sucralose']","['Gluten', 'Lait', 'Soja']",['Non végétalien'],4,,,,,,,,,?,,407,,1703 kj(407 kcal),,12,,"4,5",,"34,8",,"29,1",,"40,7",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,
81,Booster,5420325240991,,,['France'],[],,,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,1,,"0,1",,1,,1,,1,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
82,Spelt Dream 1L Kalkkirikastettu Luomu Spelttijuoma,5425000191131,['Spelt Dream'],,['France'],[],,,[],,,,,,,,,,?,,45,,188 kj(45 kcal),,?,,"0,1",,?,,"6,8",,"0,2",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,
83,"Riisi-cashewjuoma + Kalsium, 1 L - Dream",5425000191599,['Dream'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons multivégétaux']",['France'],"['eau ', ' riz 3%', 'noix de cajou 2%', 'carbonate de calcium', 'épaississant : gomme gellane ', 'arôme naturel', 'sel', ' Peut contenir des traces d’autres fruits à coque ']",['E418 - Gomme gellane'],['Fruits à coque'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,1 g,en faible quantité,0.2 g,en faible quantité,1.7 g,en faible quantité,0.1 g,en faible quantité,?,,26,-52%,109 kj(26 kcal),-52%,1,-44%,"0,2",-44%,"3,5",-60%,"1,7",-61%,"0,5",-19%,"0,1",+7%,"0,04",+7%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,
84,Lait avoine chia - Oat Dream,5425000191704,['Oat Dream'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', ""Boissons à l'avoine""]",['France'],"['base dtavoine 98,3% ', 'eau', 'avoine entière 11,9%', 'huile de chia ', 'Salvia hispanica', ' 0,1%', 'huile de lin', 'huile de tournesol', 'carbonate de calcium', 'inuline', 'antioxydant : extraits de tocophérol', ' sel', 'vitamine D2', 'vitamine B12', ' remballage scellé se conserve sans réfrigération']",['E170i - Carbonate de calcium'],,[],4,1.3 g,en faible quantité,0.2 g,en faible quantité,4.6 g,en quantité modérée,0.1 g,en faible quantité,?,,47,-2%,197 kj(47 kcal),-2%,"1,3",+1%,"0,2",-3%,"7,8",-1%,"4,6",-11%,"0,7",-9%,"0,1",+6%,"0,04",+6%,1,+87%,B,+87%,B,,,,,,,9.3%,2.1%,32.4%,31.8%,19.1%,5.3%,88,['Sans sucre ajouté'],,,,
85,Coconut Dream 200G Mansikka Kookos-mantelivalmiste - 200g,5425000191735,['Dream'],,['France'],"['Spécialité à base de lait de coco fermenté et de j', ' ln rédients: eau', 'lait de coco 18% ', 'crème de coco', 'eau', 'fraisesl% ', 'dont 302 de concentré de purée de fraises', 'sucre', 'inuline', 'poudre dinandes dégraissées 2 %', 'amidon', 'stabilisants : pectine', 'carbonate dellcium• amidon modifié', ""concentré de jus d'arQnia"", 'concentré dejus decQn', 'sel arôme naturel', 'ferments lactiques']","['E440 - Pectines', 'E502 - Carbonates', 'E14XX - Amidons modifiés']",['Lait'],[],4,,,,,,,,,?,,87,,364 kj(87 kcal),,3,,"2,6",,"12,1",,"9,2",,"1,5",,"0,04",,"0,016",,,,,,,,200 g,,,,,,,,,,,,,,,,
86,Coconut fraise,5425000192169,,,['France'],[],,,[],,,,,,,,,,?,,87,,364 kj(87 kcal),,"3,2",,"2,7",,"11,6",,"8,7",,"1,5",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,
87,Coconut dream,5425000192176,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,323,,1351 kj(323 kcal),,"3,3",,"2,8",,"8,7",,"5,8",,"1,2",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,
88,Rice Dream Cuisine - 200ml,5425000197782,['Rice Dream'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Crèmes végétales', 'Crèmes végétales pour cuisiner', 'Crèmes végétales à base de riz pour cuisiner']","['Danemark', 'France']","['eau', 'produits dérivés du riz 10% ', 'sirop de riz', 'fécule de riz', 'farine de riz', 'huile de tournesol 7%', 'émulsifiant: lécithine de tournesol', 'épaississant: carraghénanes et gomme de caroube', 'sel marin', 'arômes naturels']","['E322i - Lécithine', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube']",,[],4,7.6 g,en quantité modérée,0.5 g,en faible quantité,2.6 g,en faible quantité,0.152 g,en faible quantité,450,,?,,450 kj(108 kcal),-22%,"7,6",-19%,"0,5",-53%,"9,3",-14%,"2,6",-7%,"0,1",-81%,"0,152",+35%,"0,061",+35%,1,-35%,B,-35%,,"Equivalent végétal de la crème à base de riz, pour cuire et rôtir.",200 ml,['Brique'],['Union européenne'],,['Irma.dk'],,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01', 'AB Agriculture Biologique']",['Agriculture UE / non UE'],http://www.ricedream.eu/fr/products/rice-dream-cuisine-bio,,
89,Rice Dream 3X200ML Riisijuoma Kalkkirikastettu Ja Vitaminoitu - 3x 200ml,5425000197973,['Rice Dream'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', 'Boissons au riz']","['Belgique', 'France']","['eau', 'riz', '11,6%', 'huile de tournesol', 'phosphate tricalcique', 'stabilisateur: gomme gellane', ' marin', 'vitamines D2 & B12']",['E418 - Gomme gellane'],,[],4,0.9 g,en faible quantité,0.1 g,en faible quantité,5.8 g,en quantité modérée,0.06 g,en faible quantité,?,,50,-14%,209 kj(50 kcal),-14%,"0,9",-26%,"0,1",-58%,"10,1",-9%,"5,8",+2%,"0,2",-41%,"0,06",-37%,"0,024",-37%,1,+23%,B,+23%,E,,3 x 200 ml,,,,['Delhaize'],82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,['Sans sucre ajouté'],,,,
