,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,allergens,quantity,eco_score,categories,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,additives,nova_score,generic_name,manufacturing,markets,palm_ingredients,ingredients_origins,traceability_code,link,origin_detail,producer_info
33,Hachés Kebab - France Kebab,3760051586782,,['France'],"['Viande de volaille 68% ', 'viande de dinde', 'viande de poulet', 'LAIT écrémé', 'chapelure ', 'farine de BLE', 'eau', 'levure et sel', 'viande de veau 5%', 'sel', 'oignon', 'dextrose', 'arômes ', 'OEUF', 'GLUTEN', 'extrait de levure', 'épices', 'sirop de glucose', 'ail en poudre', 'maltodex- trine', 'exhausteur de goût: E621', 'amidon modifié de pomme de terre', 'huile de colza', 'extrait de poivre', ' Viandes Origine : UE Contient : œuf', 'gluten', 'lait']","['Non végétalien', 'Non végétarien']",?,164,686 kj(164 kcal),8,"2,9","6,7","2,3",16,"2,5",1,['France Kebab'],"['Œufs', 'Gluten', 'Lait']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']",4,,,,,,,,,
34,Lamelles de kebab au poulet et coupées sur broche - France Kebab Family,3760051586829,,['France'],"['Viande de poulet 86%', 'eau', 'farine de riz', 'oignon', 'sel', 'sucre', 'epices et plantes aromtatiques', 'dextrose', 'poudre de yaourt ', 'LACTOSE', 'poudre de LAIT écrémé', 'ail en poudre', 'arômes', 'maltodextrine', 'amidon de maïs', 'extrait de Poivre']","['Non végétalien', 'Non végétarien']",?,212,887 kj(212 kcal),15,"4,2",3,"1,1",16,"1,2","0,48",['France Kebab Family'],['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
35,Noolam - 700g,3760051586843,['Halal'],['France'],"['Viande de poulet 86%', 'eau', 'farine de riz', 'oignon', 'sel', 'sucre', 'épices et plantes aromatiques', 'dextrose', 'poudre de yaourt ', 'LACTOSE', ' poudre de LAIT', 'maltodextrine', 'amidon de maïs', 'extrait de poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",882,212,882 kj(212 kcal),15,"4,2",3,"1,1",16,"1,2","0,48",['Noolam'],['Lait'],700g,C,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés']",4.2 g,en quantité modérée,1.1 g,en faible quantité,1.2 g,en quantité modérée,+10%,+14%,+13%,+64%,+90%,-67%,+2%,+3%,+11%,+11%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,15 g,en quantité modérée,11,+209%,D,+209%,['Frozen'],,4,,,,,['France'],"['FR 72.006.002 CE', 'Arçonnay (Sarthe, France)']",,,
36,Pain kebab -,3760051587116,,['France'],[],[],?,236,987 kj(236 kcal),"0,8","0,2","47,8","2,9","8,4","1,27","0,508",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",0.2 g,en faible quantité,2.9 g,en faible quantité,1.27 g,en quantité modérée,,-28%,-28%,-87%,-83%,-13%,-26%,-12%,-1%,-1%,,,,,,,,0.8 g,en faible quantité,2,-61%,B,-61%,,,,,,,,,,,,
37,Lamelles vegetales au soja façon Kebab,3760051587130,,['France'],[],[],?,249,1042 kj(249 kcal),15,"2,3","6,3","0,5",15,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Grattons de canard à l'échalote,3760051614140,,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Grattons', 'Grattons de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Tarama au saumon fumé - Mille Olives - 250g,3760051724306,['Fabriqué en France'],['France'],"['Huile de colza', 'œufs de CABILLAUD salés', 'SAUMON fumé ', '10 %', 'chapelure ', 'farine de BLÉ', 'levure', 'sel', 'jus de citron', 'SOJA', 'aneth fraîche', 'conservateur E202']","['Non végétalien', 'Non végétarien']",?,537,2247 kj(537 kcal),"5,5","4,7","4,1","2,3","5,7","6,3","2,52",['Mille Olives'],"['Poisson', 'Gluten', 'Soja']",250 g,B,"['Produits de la mer', 'Produits à tartiner', 'Produits à tartiner salés', 'Taramas', 'Taramas au saumon', 'Taramas au cabillaud']",4.7 g,en quantité modérée,2.3 g,en faible quantité,6.3 g,en quantité élevée,,+6%,+7%,-89%,-3%,+5%,+327%,-17%,+260%,+260%,66.5%,16.2%,6.9%,6.0%,3.5%,0.9%,82,5.5 g,en quantité modérée,19,+12%,E,+12%,"['Pot', 'Plastique']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",3,,['France'],,,,['FR 95.064.002 CE'],,,
40,Houmous - Mille Olives,3760051724603,['Fabriqué en France'],['France'],"['pois chiche', 'huile de tournesol', 'créme de SESAME', 'citron', ""huile d'olive 2%"", 'ail', 'sel', 'acidifiant: E330-E270', 'conservateur: E202']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,310,1297 kj(310 kcal),27,"4,3","6,9","0,2","6,2","0,95","0,38",['Mille Olives'],['Graines de sésame'],,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",4.3 g,en quantité modérée,0.2 g,en faible quantité,0.95 g,en quantité modérée,,+18%,+18%,+34%,+75%,-35%,-85%,-4%,-9%,-9%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,27 g,en quantité élevée,6,+20%,C,+20%,,"['E330 - Acide citrique', 'E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",3,,,,,,"['FR 94.065.002 CE', 'Rungis (Val-de-Marne, France)']",,,
41,Crème d'artichaut - Mille Olives,3760051725808,['Fabriqué en France'],['France'],"[""coeurs d'artichauts "", '57%', ' ', 'huile de colza', 'CHAPELURE ', 'farine de BLE', 'sel', 'levure', 'FRUITS A COQUE', 'ail', 'basilic', 'capres', ""vinaigre d'alcool"", 'poivre', 'jus de citron', 'sel', ',conservateur: E202']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,140,586 kj(140 kcal),"11,8","1,6","4,4","2,9","2,5","0,65","0,26",['Mille Olives'],"['Gluten', 'Fruits à coque']",,,"['Produits à tartiner', 'Produits à tartiner salés', ""Crèmes d'artichaut""]",1.6 g,en quantité modérée,2.9 g,en faible quantité,0.65 g,en quantité modérée,,-44%,-44%,-48%,-48%,-4%,+106%,+31%,-51%,-51%,,,,,,,,11.8 g,en quantité modérée,-1,-112%,A,-112%,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",3,,,,,,"['FR 94.065.002 CE', 'Rungis (Val-de-Marne, France)']",,,
42,Tapen'figues,3760051725907,,['France'],[],[],?,178,745 kj(178 kcal),"12,9",2,"14,3","0,2","1,1","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
