,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,palm_ingredients,producer_info,origin_detail
1861,Croq Jambon de Dinde - Volaé,3250390619550,,,,,['Volaé'],,,,,,,['France'],[],,[],,,,,,,,,,?,,209,,874 kj(209 kcal),,"7,4",,"3,3",,13,,"1,7",,"12,4",,"2,01",,"0,804",,,,,,,,,,,,,,,,,
1862,Pâté de campagne qualité supérieure pur porc - Netto - 80g,3250390626060,D,,80 g,,['Netto'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']","['Viande Française', 'Viande Porcine Française']",,,,['Netto'],['France'],"['Foie de porc', 'viande de porc', 'gras de porc', 'oignons', 'farine de blé ', ' oeuf  entier', 'sel', 'ail déshydraté', 'gélatine de porc', 'conservateur : nitrite de sodium']","['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,24.1 g,en quantité élevée,9.2 g,en quantité élevée,0.7 g,en faible quantité,1.79 g,en quantité élevée,1194,-4%,?,,1194 kj(285 kcal),-8%,"24,1",-11%,"9,2",-9%,"2,5",+4%,"0,7",-24%,"15,1",+6%,"1,79",+8%,"0,716",+8%,19,0%,E,0%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,"['E428 - Gélatine', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,
1863,Roquefort - Pâturages - 165g (150g + 15g gratuits),3250390642633,C,"Fromage industriel de France AOP, à pâte persillée, au lait cru de brebis",165 g (150 g + 15 g gratuits),"['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique']","['Pâturages', 'Sélection Intermarché', 'Les Mousquetaires']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages au lait cru', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Fromages industriels', 'Roqueforts', 'en:aoc-cheeses', 'en:labeled-cheeses', 'Produits AOC', 'Produits labellisés']","['Labels de distributeurs', 'AOP', 'Sélection Intermarché', ""Roquefort Garanti d'Origine et de Qualité - Brebis Rouge""]","['Etablissements Gabriel Coulet - Zone Artisanale de Lauras - 12250 Roquefort-sur-Soulzon', 'Aveyron', 'Midi-Pyrénées', 'France']","['FR 12.203.036 CE', 'Roquefort-sur-Soulzon (Aveyron, France)']",,['Intermarché'],['France'],"['Lait cru de brebis', 'sel', 'présure', 'ferments lactiques', 'Penicillium roqueforti']",['Lait'],"['Sans huile de palme', 'Non végétalien']",3,30 g,en quantité élevée,22.6 g,en quantité élevée,0.5 g,en faible quantité,3.8 g,en quantité élevée,?,,344,-4%,1439 kj(344 kcal),-3%,30,+3%,"22,6",+15%,"0,5",-2%,"0,5",+57%,"18,4",-20%,"3,8",+170%,"1,52",+170%,19,+31%,E,+31%,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,"['France', '12250 Roquefort-sur-Soulzon', 'Aveyron', 'Midi-Pyrénées']",,,
1864,Le Succès aux Noix - LES CRÉATIONS,3250390648000,,"Biscuit macaron, mousse aux noix et aux amandes 40,2 %, pâtisserie surgelée. - Le Succès aux Noix",,"['Carton', 'Plastique', 'surgelé']",['LES CRÉATIONS'],"['Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux et pâtisseries surgelés']",['Fabriqué en France'],"['France', 'Aubiet']",,,['Intermarché'],['France'],"['Sucre', 'eau', 'amande en poudre 14 %', 'beurre pâtissier', 'sucre glace', 'pâte de noix 6 % ', 'noix', 'sucre', ""blanc d'œuf liquide "", ""blanc d'œuf"", 'épaississants ', 'gomme guar', 'gomme xanthane', 'lait écrémé en poudre', ""jaune d'œuf liquide"", 'fécule de pomme de terre', 'amidon de riz', ""blanc d'œuf en poudre"", 'amande effilée 0,9 %', 'kirsh', 'arôme naturel de vanille', 'antioxydant: acide ascorbique', 'épaississant : gomme xanthane']","['Œufs', 'Lait', 'Fruits à coque']",['Non végétalien'],4,22.1 g,en quantité élevée,7.4 g,en quantité élevée,36.6 g,en quantité élevée,0.13 g,en faible quantité,?,,401,+20%,1678 kj(401 kcal),+19%,"22,06",+28%,"7,4",-19%,"40,8",+5%,"36,6",+44%,"7,5",+49%,"0,13",-52%,"0,052",-52%,20,+27%,E,+27%,,,,,,,,"['E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E300 - Acide ascorbique']",,,,
1865,Sélection Pâtissière Millefeuille - Intermarché,3250390651499,B,,,"['Frais', 'Plastique']",['Intermarché'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Réfrigérés', 'Millefeuilles']",,,,,['Intermarché'],['France'],"['Crème pâtissière ', 'eau', 'sucre', 'amidon poudre de LAIT entier', 'poudre de LAIT écrémé', 'lactose', 'poudre de LAIT', 'stabilisants: E263-E450-E339', 'amidon de riz', 'émulsifiants : E475', 'E471', 'sel', 'arômes ', 'dont lait', 'colorant: E160a', 'feuilletage ', 'farine de blé', 'beurre', 'eau', 'sel', 'Levure désactivée', 'glaçage ', 'sucre', 'sirop de glucose cacao', 'chocolat blanc ', 'sucre', 'beurre de cacao', 'poudre de lactosérum', 'lactose', 'matière grasse laitière anhydre', 'E322 ', 'SOJA', 'gélifiant : E440', 'colorant: E171', 'décor chocolat ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant: E322 arôme vanille']","['Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,8.3 g,en quantité modérée,5.8 g,en quantité élevée,20.6 g,en quantité élevée,0.4 g,en quantité modérée,?,,222,-29%,929 kj(222 kcal),-29%,"8,3",-45%,"5,8",-43%,"38,3",-4%,"20,6",+4%,"2,4",-37%,"0,4",-15%,"0,16",-15%,12,-29%,D,-29%,73.1%,14.7%,6.0%,3.0%,3.2%,0.0%,75,"['E263 - Acétate de calcium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', ""E475 - Esters polyglycériques d'acides gras"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160a - Carotènes mélangés', 'E322 - Lécithines', 'E440 - Pectines', 'E171 - Oxyde de titane']",,,,
1866,"Selectionne par votre magasin, Eclair au cafe, les 2 - Selection Patissiere",3250390651796,,,,,['Selection Patissiere'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au café']",,,,,,['France'],"['crème pâtissière ', 'eau', 'sucre', 'amidon modifié de pomme de terre', 'extrait de café Brabica ', 'café Rrabicaq sucres ', 'glucose', 'sucre', 'sirop de sucre', 'poudre de LRIT entier', 'poudre de LflIT écrémé', 'lactosé', 'poudre de crème de LBIT', 'stabilisants: amidon de riz', 'émulsifiants', 'E475-E471', 'sel', 'arôme$', 'colorant: E160a', 'glaçage café ', 'sucre', 'matières grasses végétales ', 'palme', 'colza', 'sirop de glucose', 'eau', 'humectant: E420ii', 'extrait de café', 'émulsifiants: E471""E473', 'sel* colorants: E150c-E17?l', 'conservateur: E202', 'acidifiant: E330 arôme', 'pâte à chou ', 'OEUFS', 'farine de BLF matière grasse végétale ', 'palme', 'colza', 'stabilisant: E420ii', 'sel', 'poudres à Levert amidon de BLE-E450i-E500ii', ' exprimés par rapport au poids net total Traces éventuelles de : Fruits à coque-$oja']","['Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,8.1 g,en quantité modérée,4.2 g,en quantité modérée,22.2 g,en quantité élevée,0.4 g,en quantité modérée,?,,227,-9%,950 kj(227 kcal),-9%,"8,1",-27%,"4,2",-27%,"34,8",+9%,"22,2",+12%,"3,4",-17%,"0,4",+4%,"0,16",+4%,11,-14%,D,-14%,,,,,,,,"['E14XX - Amidons modifiés', ""E475 - Esters polyglycériques d'acides gras"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160a - Carotènes mélangés', 'E420ii - Sirop de sorbitol', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",,,,
1867,Eclairs au café et chocolat les 2 pièces 200 Gr - Intermarché,3250390651819,,,,,['Intermarché'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au café']",,,,,['Intermarché'],['France'],"['Eclair café: crème pâtissière 68%** ', 'eau', 'sucre', 'amidon modifié de pomme de terre', 'extrait de café Arabica 2', '3%** ', 'café Arabica', 'sucres ', 'glucose', 'sucre', 'sirop de sucre', 'poudre de LAIT entier', 'poudre de LAIT écrémé', 'Lactose*', 'poudre de crème de LAIT', 'stabilisants: E263-E450-E339', 'amidon de riz', 'émulsifiants: E475-E471', 'sel', 'arômes*', 'colorant: E160a', 'glaçage café 16%** ', 'sucre', 'matières grasses végétales ', 'palme', 'colza', 'sirop de glucose', 'eau', 'humectant: E420ii', 'extrait de café', 'émulsifiants: E471-E473', 'sel', 'colorants: E 150c-E171', 'conservateur: E202', 'acidifiant: E334', 'arôme', 'pâte à chou ', 'OEUFS', 'farine de BLE', 'matière grasse végétale ', 'palme', 'colza', 'stabilisant: E 420ii', 'sel', 'poudres à Lever: amidon de BLE-E450i-E500i']","['Œufs', 'Gluten', 'Lait', 'Aucun']","['Huile de palme', 'Non végétalien']",4,8.1 g,en quantité modérée,4.3 g,en quantité modérée,20.6 g,en quantité élevée,0.4 g,en quantité modérée,?,,224,-10%,937 kj(224 kcal),-10%,"8,1",-27%,"4,3",-25%,"33,6",+5%,"20,6",+4%,"3,6",-12%,"0,4",+4%,"0,16",+4%,11,-14%,D,-14%,,,,,,,,"['E14XX - Amidons modifiés', 'E263 - Acétate de calcium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', ""E475 - Esters polyglycériques d'acides gras"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160a - Carotènes mélangés', 'E420ii - Sirop de sorbitol', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E171 - Oxyde de titane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E334 - Acide L-tartrique', 'E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium']",,,,
1868,"Sélectionné par votre magasin, Tartelettes au citron, les 2 pièces 160 gr - Intermarche",3250390651871,D,,,,['Intermarche'],"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes au citron']",,,,,['Intermarché'],['France'],"['Préparation au citron 58%** ', 'beurre* 14%**', 'eau', 'sucre inverti', '\rsirop de glucose ', 'blé', 'sucre', 'OEUFS', 'jus concentré de citron de Sicile 3%**', '\ramidon modifié de pomme de terre', 'arômes', 'dextrose ', 'maïs', 'blé', 'gélatine de \rboeuf', 'poudre de lactosérum*', 'colorant: E160a', 'pâte sablée ', 'farine de BLE', '\rbeurre* concentré 8%** ', 'colorant: extrait de carotte', 'sucre', 'eau', 'OEUFS', ' \rémulsifiants: E491-E435 ', 'caséinates', 'levures désactivées', 'dextrose de maïs', ',\rsel', 'plaquette chocolat ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant: \rE322 ', 'SOJA', 'arôme', 'colorants: E170-E171-E172', '\r*dont LAIT', ' \r**pourcentages exprimés par rapport au poids net total', ' \rTraces éventuelles de : Fruits à coque']","['Œufs', 'Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,23 g,en quantité élevée,15.5 g,en quantité élevée,24.3 g,en quantité élevée,0.2 g,en faible quantité,?,,415,+9%,1736 kj(415 kcal),+10%,23,+33%,"15,5",+50%,"48,3",-2%,"24,3",-20%,"3,3",-31%,"0,2",-26%,"0,08",-26%,20,0%,E,0%,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,"['E14XX - Amidons modifiés', 'E428 - Gélatine', 'E160a - Carotènes mélangés', 'E491 - Monostéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E435 - Monostéarate de polyoxyéthylène sorbitane', '', 'Risque modéré de sur-exposition', 'E322 - Lécithines', 'E170 - Carbonates de calcium', 'E171 - Oxyde de titane', 'E172 - Oxyde et hydroxyde de fer']",,,,
1869,Millefeuille x 2 - Intermarche - 270g,3250390651918,B,Millefeuille,270 g,"['Plastique', 'Frais']",['Intermarche'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Réfrigérés', 'Millefeuilles']","['Labels de distributeurs', 'Sélection Intermarché']",,,http://www.intermarché.com,['Intermarché'],['France'],"['Crème pâtissière ', 'Eau', 'Sucre', 'Amidon modifié de pomme de terre', 'Poudre de Lait entier', 'Poudre de Lait écrémé', 'Lactose', 'Poudre au beurre ', 'Matière grasse butyrique', 'Maltodextrine de blé', 'Protéine de Lait', 'Émulsifiant: E471', 'Antiagglomérant : E341', 'Antioxydant : E304-E471', 'Stabilisants : E263-E450-E339', 'Amidon de riz', 'Protéine de Lait', 'Émulsifiables : E475-E41', 'Sel', 'Arômes', 'Colorant E160a', 'Feuilletage ', 'Farine de blé', 'Beurre', 'Eau', 'Sel', 'Sucre', 'Levure désactivée', 'Glaçage ', 'Fondant ', 'Sucré', 'Sirop de glucose de blé', 'Eau', 'Matière grasse végétale ', 'Palme-Palmiste', 'Stabilisants : E422—E406-E440', 'Émulsifiants : E322 ', 'Soja', '-E471', 'Conservateur : E202', 'Décor chocolat ', 'Pâte de cacao', 'Sucre', 'Beurre de cacao', 'Émulsifiant : E322 ', 'Soja', 'Arôme vanille']","['Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,8.3 g,en quantité modérée,5.8 g,en quantité élevée,20.6 g,en quantité élevée,0.4 g,en quantité modérée,?,,222,-29%,929 kj(222 kcal),-29%,"8,3",-45%,"5,8",-43%,"38,3",-4%,"20,6",+4%,"2,4",-37%,"0,4",-15%,"0,16",-15%,12,-29%,D,-29%,73.1%,14.7%,6.0%,3.0%,3.2%,0.0%,75,"['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E304 - Acide palmityle-6-L-ascorbique', 'E263 - Acétate de calcium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', ""E475 - Esters polyglycériques d'acides gras"", 'E160a - Carotènes mélangés', 'E422 - Glycérol', 'E440 - Pectines', 'E322 - Lécithines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['France'],"[""E304 - Palmitate d'ascorbyle"", 'Huile de palme']",,
1870,Poêlée Campagnarde - Netto,3250390653295,,,,,['Netto'],"['Plats préparés', 'Poêlées', 'Poêlées campagnardes']",,,,,['Netto'],['France'],[],,[],,4.9 g,en quantité modérée,1.2 g,en faible quantité,1.1 g,en faible quantité,0.67 g,en quantité modérée,?,,139,+5%,582 kj(139 kcal),+10%,"4,9",-11%,"1,2",-5%,"17,4",+24%,"1,1",-17%,"4,9",+24%,"0,67",-4%,"0,268",-4%,1,-10%,B,-10%,,,,,,,,,,,,
1871,Pâté de tête - Recette persillée - Netto,3250390657552,D,,,,['Netto'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de tête']","['Viande-francaise', 'Viande-porcine-francaise']",,,,['Netto'],['France'],"['Morceaux de tête de porc ', '63%', 'eau', 'viande de porc', 'se gélatine porcine', 'dextrose', 'arômes', 'persil ', '0,3%', 'stabilisants : triphosphates diphosphates ', ' gélifiant : carraghénanes ', ' colorants : carmin', 'caramel ordinaire ', ' conservateurs : ascorbate de sodium', 'nitrite de sodium']",,"['Non végétalien', 'Non végétarien']",4,19.5 g,en quantité modérée,7 g,en quantité élevée,0.5 g,en faible quantité,2.33 g,en quantité élevée,965,+24%,233,+19%,965 kj(233 kcal),+23%,"19,5",+42%,7,+34%,"0,9",+19%,"0,5",+41%,"13,4",-12%,"2,33",+35%,"0,932",+35%,18,+53%,D,+53%,76.6%,14.8%,4.7%,2.2%,1.3%,0.4%,42,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E150a - Caramel E150a', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,
1872,Asperges blanches - Saint Eloi,3250390664666,C,,,"['Bocal', 'Verre']",['Saint Eloi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Asperges', 'Asperges en conserve', 'Asperges blanches en conserve']",,,,,['Intermarché'],['France'],"['Asperges blanches', 'eau', 'sel', 'acidifiant : acide citrique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,1.2 g,en faible quantité,0.69 g,en quantité modérée,?,,11,-39%,46 kj(11 kcal),-35%,"0,5",+119%,"0,1",+134%,"1,3",-30%,"1,2",-9%,"0,8",-41%,"0,69",-15%,"0,276",-15%,-2,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,['E330 - Acide citrique'],,,,
1873,Adelie Bac Pomme Calvados,3250390666493,,,,['surgelé'],['Adelie'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets']",,['France'],"['EMB 35360C', 'Vitré (Ille-et-Vilaine, France)']",,,['France'],[],,[],,6.6 g,en quantité modérée,5.9 g,en quantité élevée,29.4 g,en quantité élevée,0.1 g,en faible quantité,?,,199,-1%,833 kj(199 kcal),-2%,"6,6",-24%,"5,9",+5%,"33,7",+20%,"29,4",+25%,1,-59%,"0,1",-17%,"0,04",-17%,13,+14%,D,+14%,,,,,,,,,,,,
1874,Printiligne cerise - Paturages,3250390677611,,,,,['Paturages'],,,,,,['Intermarché'],['France'],"['Lait écrémé ', 'Origine ', ' France', ' cerise 12%', ' lait concentré écrémé ', 'Origine ', ' France', ' poudre de lait écrémé ', 'Origine ', ' France', ' polydextrose', ' amidon modifié', ' colorant : anthocyanes', ' épaississant : Omme guar', ' arômes', ' édulcorant : sucralose', ' erments lactiques', ' vitamine D ', 'lactose']",['Lait'],['Non végétalien'],4,,,,,,,,,?,,36,,151 kj(36 kcal),,"0,3",,"0,1",,"4,7",,"4,3",,"4,1",,"0,15",,"0,06",,,,,,,,,,,,,"['E1200 - Polydextrose', 'E14XX - Amidons modifiés', 'E163 - Anthocyanes', 'E955 - Sucralose']",,,,
1875,Mini saucissons secs - Netto,3250390679318,D,,,,['Netto'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']","['Viande Française', 'Viande Porcine Française']",,,,['Netto'],['France'],"['Viande de porc ', 'origine : France', 'sel', 'lactose dextrose', 'épices', 'conservateurs : nitrate de potassium', 'nitrite de sodium', ' Ferments', ' Enveloppe : collagène', 'cellulose']",,"['Non végétalien', 'Non végétarien']",4,43.6 g,en quantité élevée,4.2 g,en quantité modérée,0.7 g,en faible quantité,1.18 g,en quantité modérée,?,,521,+29%,2180 kj(521 kcal),+29%,"43,6",+38%,"4,2",-66%,"0,5",-78%,"0,7",-49%,"7,7",-72%,"1,175",-75%,"0,47",-75%,15,-38%,D,-38%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E460 - Cellulose']",,,,
1876,Nature (36 canapés) - Netto - 280g,3250390681335,A,Pain de mie,280 g,['Film plastique à jeter'],['Netto'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",['Info-Tri Point Vert'],"['58500 Clamecy', 'Nièvre', 'Bourgogne', 'France']","['EMB 58079A', 'Clamecy (Nièvre, France)', 'EMB 58079', 'Clamecy (Nièvre, France)']",,"['Banque alimentaire', 'Netto']",['France'],"['Farine de blé 66 %', 'eau', 'huile de colza', 'sucre', 'arôme', 'levure', 'sel', 'gluten de blé', 'émulsifiants : mono - et diglycérides d‘acides gras', 'esters monoacétyltartriques et diacétyltartriques des mono - et diglycérides d acides gras', 'conservateur : propionate de calcium', 'farine de fève', 'agent de traitement de la farine : acide ascorbique']",['Gluten'],"[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,5.5 g,en quantité modérée,0.6 g,en faible quantité,6.5 g,en quantité modérée,1.35 g,en quantité modérée,1245,+10%,?,,1245 kj(298 kcal),+11%,"5,5",+23%,"0,6",-7%,"52,6",+15%,"6,5",+25%,"7,3",-13%,"1,35",+18%,"0,54",+18%,5,+245%,C,+245%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E282 - Propionate de calcium', 'E300 - Acide ascorbique']",,,,
1877,"Jean Roze, Assortiment saucisses (herbes, nature, merguez)",3250390694670,,,,,['Jean Rozé'],,,,,,,['France'],[],,[],,,,,,,,,,?,,270,,1130 kj(270 kcal),,23,,"9,6",,"1,6",,"1,1",,14,,"1,58",,"0,632",,,,,,,,,,,,,,,,,
1878,Tableau d'honneur chocolat noir - Chabrior,3250390694779,D,,,,['Chabrior'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits au chocolat noir']",,,,,['Intermarché'],['France'],[],,[],,24 g,en quantité élevée,15 g,en quantité élevée,33 g,en quantité élevée,0.54 g,en quantité modérée,?,,506,+2%,2117 kj(506 kcal),+2%,24,-0%,15,+14%,64,+5%,33,+5%,7,+3%,"0,54",+8%,"0,216",+8%,25,+20%,E,+20%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,
1879,Adelie Glace Colosse Cafe *4,3250390695189,,,,"['surgelé', 'Carton']",['Adélie'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets']",['Fabriqué en France'],['France'],"['EMB 35360C', 'Vitré (Ille-et-Vilaine, France)']",,['Intermarché'],['France'],[],,[],,16.8 g,en quantité modérée,11.8 g,en quantité élevée,31.6 g,en quantité élevée,0.114 g,en faible quantité,?,,296,+47%,1238 kj(296 kcal),+45%,"16,8",+95%,"11,8",+111%,"33,4",+19%,"31,6",+34%,"2,9",+18%,"0,114",-6%,"0,046",-6%,20,+75%,E,+75%,,,,,,,,,,,,
1880,Carottes Rapées Sachet - Saint eloi,3250390701026,B,,,,['Saint eloi'],"['Plats préparés', 'Légumes préparés', 'Carottes râpées', 'Carottes râpées assaisonnées']",['Sans conservateurs'],,,,['Intermarché'],['France'],"['CAROTTES', 'PRÊTES À CONSOMMER INGRÉDIENT : Carottes', ' Traces éventuelles de : céleri', ' Sans conservateurs conformément à la réglementation', ' A conserver entre +10C et *AOC', ' consommer rapidement']",,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,4.9 g,en faible quantité,0.06 g,en faible quantité,?,,40,-50%,167 kj(40 kcal),-50%,"0,5",-90%,"0,1",-77%,"6,6",+9%,"4,9",-3%,1,+16%,"0,06",-91%,"0,024",-91%,-3,-776%,A,-776%,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,,
1881,Chicorée Café - Netto,3250390701651,E,,,,['Netto'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons instantanées', 'Chicorée soluble']",,,,,['Netto'],['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,5 g,en quantité modérée,,,?,,300,+42%,1255 kj(300 kcal),+33%,0,-100%,0,-100%,50,+22%,5,-66%,10,+80%,,,,,,,,,78.8%,9.8%,6.8%,3.1%,1.4%,0.0%,25,,,,,
1882,Sirop d Orgeat - Netto,3250390703563,,,,,['Netto'],"['Boissons', 'Boissons avec sucre ajouté']",['Sans conservateurs'],,"['EMB 45290', ""Saint-Martin-d'Abbat (Loiret, France)""]",,['Netto'],['France'],"['Sirop de glucose-fructose', 'sucre', 'eatJI arôme ', ""extrait d'amande"", ' CONSEILS ET INFORMATIONS : À à de la lumière', ""de la chaleur et de l'humidité""]",['Fruits à coque'],[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,71 g,en quantité élevée,0.01 g,en faible quantité,?,,284,+234%,1188 kj(284 kcal),+221%,"0,5",+33%,"0,1",-40%,71,+259%,71,+288%,"0,5",-7%,"0,01",-73%,"0,004",-73%,20,+68%,E,+68%,,,,,,,,,,,,
1883,Pâte feuilletée pur beurre  - Monique Ranou - 230gr,3250390703792,D,,230gr,,['Monique Ranou'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'Pâtes feuilletées']",,,,,['Intermarché'],['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.8%,9.6%,3.8%,2.8%,1.7%,6.3%,51,,,,,
1884,Confiserie Gelifiee Gout Fraise - Netto,3250390704454,,,,,['Netto'],,['Entrepreneurs + Engagés'],,,,['Netto'],['France'],"['e', ' Côme', 'amidon de gélatine de bœuf', 'pomme de terre', 'colorants : extrait de paprika - anthocyanes', 'amidon de blé', ' CONSEILS :']",,[],4,,,,,,,,,?,,356,,1490 kj(356 kcal),,5,,1,,87,,82,,2,,2,,"0,8",,,,,,,,,,,,,"['E160c - Extrait de paprika', 'E163 - Anthocyanes']",,,,
1885,Jambon Cru Fume De Westphalie 8 Tranches - Netto - 150g,3250390705833,,,150 g,,['Netto'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons crus fumés', 'en:raw-cured-ham']",,,,,['Netto'],['France'],[],,[],,15 g,en quantité modérée,6.2 g,en quantité élevée,1 g,en faible quantité,4.4 g,en quantité élevée,?,,233,-9%,975 kj(233 kcal),-9%,15,-7%,"6,2",-3%,1,+18%,1,+85%,21,-20%,"4,4",-5%,"1,76",-5%,18,-1%,D,-1%,,,,,,,,,,,,
