,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,additives,nova_score,allergens,packaging,manufacturing,traceability_code,markets,ingredients_origins,palm_ingredients,generic_name,link,origin_detail,producer_info,brand_owner
1357,Shiitake,9345544003089,,,,['France'],[],[],,,,,,,,,?,,580,,2427 kj(580 kcal),,"46,8",,"11,8",,"24,2",,"12,3",,"8,2",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358,Lite and fruity -,9345905006155,,,,"['Australie', 'France']","['CARBONATED NATURAL MINERAL WATER', 'RECONSTITUTED JUICE LEMON ', '4', '5%', 'LIME ', '0', '5%', ']', 'NATURAL FLAVOURS', 'PRESERVATIVE ', '211', 'SWEETENERS ', '952', '955', '950', 'NATURAL COLŐUR ', '163', 'FOOD ACID ', 'CITRIC', ' NUTRITION INFORMATION SERVING SIZE: 250mL PER SERVE 100mL 9kJ SERVINGS PER PACK: 4 AVERAGE QUANTITY ENERGY PROTEIN FAT-TOTAL - SATURATED CARBOHYDRATE - SUGARS DIETARY FIBRE SODIUM PER %DIT PER SERVE 0', '3% 0g 23KJ 0g 0g 0g 0', '9g 0', '3g 0g 36mg 0% 0g 0% 0g 0% 0', '3g 0', '3% 0', '3% 0', '1g 0g 0% 2% 14mg TPERCENTAGE DAILY INTAKES ARE BASED ON AN AVERAGE ADULT DIET OF 8,700KJ', ' YOUR DAILY INTAKES MAY BE HIGHER OR LOWER DEPENDING ON YOUR ENERGY NEEDS', ' MADE IN AUSTRALIA', ' 100% AUSTRALIAN OWNED', ' STORE IN A COOL', 'DRY PLACE OUT OF DIRECT SUNLIGHT', ' DO NOT FREEZE', ' BEST SERVED CHILLED', ' DO NOT USE IF TAMPER EVIDENT SEAL IS BROKEN OR MISSING', ' FOR BEST BEFORE DATE SEE NECK OF BOTTLE 43 MONS STREET', 'CONDELL PARK', 'NSW 2200', ' TRU BLU BEVERAGES PTY LTD', 'FREECALL: 1800 289 135 www', 'trublubeverages', 'com', 'au L03 AT COLLECTION הז רח ור']",[],,,,,,,,,?,,2,,8 kj(2 kcal),,0,,0,,"0,3",,"0,1",,0,,"0,014",,"0,006",,,,,,,,,,,,,,"['Fabriqué en Australie', 'Ne pas congeler', 'Sans sucre ajouté']",,,,,,,['Woolworths'],,,,,,,
1359,Classic Fruit and Nut Muesli Bar - Carman's - 45g,93482608,,"[""Carman's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Fruits à coques et dérivés', 'Barres', 'Barres de céréales', 'Barres de fruits à coques', 'en:Fruit-and-nut-muesli-bar', 'en:Fruit-bar']","['Australie', 'France']","[""Mélange de muesli Carman's 79 % "", 'avoine entière 52 %', 'fruit 14 % [Sultanines ', 'raisins secs', 'huile végétale', 'raisins secs et noix de coco 1,5 %]', 'huile de tournesol', 'graines 7 % [graines de tournesol', 'graines de sésame', 'pepitas', ' Noix 7% ', 'Amandes', 'Noix de Pécan', 'Sirop Doré', ""Farine d'Avoine"", 'Cannelle', 'Glucose', 'arôme naturel de vanille']",[],15.6 g,en quantité modérée,2.22 g,en quantité modérée,17.8 g,en quantité élevée,0.05 g,en faible quantité,?,,407,-18%,1700 kj(407 kcal),-18%,"15,6",-48%,"2,22",-61%,"55,6",+48%,"17,8",-28%,"8,89",-42%,"0,05",-81%,"0,02",-81%,,,,,,,,0,-100%,B,-100%,45 g,"['Fabriqué en Australie', 'Riche en fibres', 'Sans OGM']",,4,"['Fruits à coque', 'Graines de sésame']","['Sachet', 'Plastique']",['Australie'],,,"['en:Australie', 'en:Hors Australie']",,Barre de céréales aux fruits et fruits à coque,,,,
1360,Tic Tac Peppermint 24G,93513265,E,['Tic Tac'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']","['Australie', 'France']",[],[],0 g,en faible quantité,0 g,en faible quantité,91.4 g,en quantité élevée,0.04 g,en faible quantité,?,,391,+10%,1636 kj(391 kcal),+9%,0,-100%,0,-100%,"97,7",+17%,"91,4",+58%,0,-100%,"0,04",-67%,"0,016",-67%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,14,-3%,D,-3%,,,,,,,,,['Woolworths'],,,,,,,
1361,PK Chewing Gum Regular Singles - WRIGLEYS - 14g - 10pièces,93613057,,['WRIGLEYS'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']","['France', 'Polynésie française']","['Sucre', 'base de gomme', 'sirop de glucose de blé', 'épaississant ', 'E1404', 'arôme', 'émulsifiant ', 'E322', 'extrait de soja', 'édulcorant ', 'E951', 'E950', 'E961', 'humectant ', 'E422', ""agent d'enrobage "", 'E903', 'antioxydant ', 'E320', 'E321', ' ', ' Contient de la phénylalanine']",[],0 g,en faible quantité,0 g,en faible quantité,70.2 g,en quantité élevée,0.02 g,en faible quantité,?,,240,+50%,1004 kj(240 kcal),+50%,0,-100%,0,-100%,"70,2",+12%,"70,2",+120519%,0,-100%,"0,02",-7%,"0,008",-7%,,,,,,,,,,,,14 g - 10 pièces,,"['E1404 - Amidon oxydé', 'E322 - Lécithines', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E961 - Néotame', 'E422 - Glycérol', 'E903 - Cire de carnauba', 'E320 - Butylhydroxyanisol', 'E321 - Butylhydroxytoluène']",4,['Soja'],['Papier aluminium'],['Australie'],,"['Carrefour', 'Super U', 'Champion', 'Toa', 'LS Proxi']",,,CHEWING GUM,http://www.wrigleyextra.com.au,,,
1362,Wholegrain Crackers,9400553448884,,,,['France'],[],[],,,,,,,,,?,,416,,1741 kj(416 kcal),,"10,2",,"1,3",,"67,1",,1,,"12,8",,"0,34",,"0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,Chips Bluebird Ready salted,9400566004961,,,,['France'],[],[],,,,,,,,,?,,547,,2289 kj(547 kcal),,"34,9",,17,,1,,0,,1,,18,,"7,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,Bluebird Original Cut Salt & Vinegar 150G,9400566004978,,,,['France'],[],[],,,,,,,,,?,,530,,2218 kj(530 kcal),,"33,7",,"16,3",,"50,1",,"1,5",,"6,5",,"0,84",,"0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,Corned beef -,9403145300911,,,"['Conserves', 'Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Viandes en conserve', 'Corned-beef']",['France'],[],[],23 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,?,,292,+29%,1222 kj(292 kcal),+29%,23,+51%,10,+39%,0,-100%,0,-100%,21,-3%,1,-36%,"0,4",-36%,,,,,,,,16,+4%,D,+4%,,,,,,,,,,,,,,,,
1366,Huile de coco alimentaire,9403146719903,,,,['France'],[],[],,,,,,,,,?,,793,,3318 kj(793 kcal),,"89,9",,"77,92",,1,,1,,1,,"4,7",,"1,88",,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,
1367,Country soft -,9414342412055,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines', 'Margarines allégées']",['France'],"['Huile de colza ', '34%', 'huile végétale', 'eau', 'sel', 'émulsifiant ', 'E471,E322 ', 'contient du soja', 'conservateur ', 'E202', 'arôme', 'colorant ', 'E160b', 'Acide citrique ', 'E330']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",53 g,en quantité élevée,14 g,en quantité élevée,1 g,en faible quantité,0.6 g,en quantité modérée,?,,469,+0%,1962 kj(469 kcal),+1%,53,+3%,14,-5%,1,+95%,1,+280%,1,+298%,"0,6",+4%,"0,24",+4%,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,10,-9%,C,-9%,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160b - Rocou', 'E330 - Acide citrique']",4,['Soja'],,,,,,,,,,,
1368,Eta Spuds Ripple Cut Ready Salted 150G,9414882439789,,,,['France'],"['Pommes de terre', 'huiles végétales,', 'sel de mer', 'Peut conteni du gluten', 'du lait et du soja', 'Fabriqué damune usine où sont manipulés : des arachides', 'des noix', 'du sésame et des sulfites,']","[""Pourrait contenir de l'huile de palme""]",,,,,,,,,?,,525,,2197 kj(525 kcal),,34,,"15,3",,"50,3",,1,,"5,1",,"0,393",,"0,157",,,,,,,,,,,,,,,,,"['Lait', 'Fruits à coque', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']",,,,,,,,,,,
1369,Weet-Bix,9414942010750,,,,['France'],"['wholegrain wheat ', '97%', 'sugar', 'salt', 'barley malt extract', 'vitámins iniacin', 'thiamin', 'riboflavin', 'folate', 'mineral ', 'iron', 'contains cereals containing gluten']",[],,,,,,,,,?,,353,,1477 kj(353 kcal),,"1,4",,"0,3",,67,,"2,8",,12,,"0,027",,"0,011",,,,,,,,,,,,,,,,,['Gluten'],,,,,,,,,,,
1370,Tatua Long LIfe Mascarpone Cheese,9414997006449,,['Tatua'],,['France'],"['CREAM', 'THICKENER ', '1442', 'FOOD ACID ', '330', 'STABILIZER ', '407', ' Containa: Milk', ' 35% Milkfat', ' CRÈME', 'ÉPAISSISSANT ', '1442', 'ACIDE CITRIQUE ', '330', 'STABILISATEUR ', '407']",['Non végétalien'],,,,,,,,,?,,300,,1255 kj(300 kcal),,35,,23,,"4,8",,"2,5",,"1,7",,"0,052",,"0,021",,,,,,,,,,,,,,,['E330 - Acide citrique'],4,['Lait'],,,,,,,,,,,
1371,Lait écrémé en poudre - Anchor,9415007038887,,['Anchor'],"['Boissons', 'Produits laitiers', 'Produits déshydratés', 'Laits', 'Produits lyophilisés à reconstituer', 'Boissons lyophilisées', 'Laits écrémés', 'Laits en poudre']",['France'],[],[],,,,,,,,,?,,37,-88%,155 kj(37 kcal),-89%,"0,1",-99%,"0,1",-98%,"5,4",-86%,"5,4",-85%,"3,3",-86%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,Lité - Olive oil - Olivani - 500g,9415102100533,C,['Olivani'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines', 'Margarines allégées']",['France'],"[""Huiles d'Olives"", 'Eau', 'Sel', 'Emulsifiants', 'Couleur', 'Bétacarotène', 'Arôme', 'Acide citrique']","[""Pourrait contenir de l'huile de palme""]",55 g,en quantité élevée,14.5 g,en quantité élevée,1 g,en faible quantité,0.36 g,en quantité modérée,?,,486,+4%,2033 kj(486 kcal),+5%,55,+7%,"14,5",-1%,1,+95%,1,+280%,1,+298%,"0,36",-38%,"0,144",-38%,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,10,-9%,C,-9%,500 g,,['E330 - Acide citrique'],4,,,,,,,,Margarine à l'huile d'olive,,,,
1373,Lait chocolat ANCHOR,9415262821897,,['Anchor'],,['France'],"['Lait allégé en matières grasses', 'Sucre', 'Cacao ', '1%', 'Arômes', 'Stabilisant ', '407', ' CONTIENT du Lait']",[],,,,,,,,,?,,82,,343 kj(82 kcal),,21,,"1,3",,"11,2",,"10,8",,"3,5",,0,,0,,,,,,,,,,,,,,,,4,['Lait'],,,,,,,,,,,
1374,Lait entier en poudre - Meadow Fresh - 800g,9415522001823,,['Meadow Fresh'],"['Boissons', 'Produits laitiers', 'Produits déshydratés', 'Laits', 'Produits lyophilisés à reconstituer', 'Boissons lyophilisées', 'Laits entiers', 'Laits en poudre']",['France'],"['Lait entier pasteurisé en poudre', 'lécithine de soja', 'vitamine A acétate', 'vitamine D3', ' Contient du lait et du soja comme indiqué en caractère gras']",['Non végétalien'],,,,,,,,,?,,507,+58%,2121 kj(507 kcal),+53%,"28,4",+255%,"18,8",+309%,39,+3%,39,+9%,24,-0%,"0,28",-60%,"0,112",-60%,,,,,,,,,,,,800 g,,['E322i - Lécithine'],1,"['Lait', 'Soja']",['Sachet'],['Nouvelle-Zélande'],,,['Nouvelle-Zélande'],,Lait entier en poudre,,,,
1375,Coconut Cowash - As I Am,9417986934839,,['As I Am'],,"['Australie', 'France']",['extra cold filtered rice bran oil nutrition information per 100ml 3400kj/extra cold filtered rice bran oil'],[],,,,,,,,,?,,813,,3402 kj(813 kcal),,92,,21,,0,,0,,"0,01",,0,,0,,,,,,,,,,,,,,"['en:gluten-free', 'Sans cholestérol']",,,,['pet-bottle'],,,['Woolworths'],,,,,,,
1376,Hummmus,9418705003379,,,,['France'],[],[],,,,,,,,,?,,218,,912 kj(218 kcal),,"12,2",,1,,"20,9",,"3,8",,"7,1",,"0,52",,"0,208",,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,
1377,Blue Milk - Anchor - 2L,94152210,D,['Anchor'],"['Produits laitiers', 'Laits', 'Laits homogénéisés']","['France', 'Nouvelle-Zélande']",['Lait homogénéisé'],[],3.4 g,en quantité modérée,2.3 g,en quantité modérée,4.8 g,en faible quantité,0.4 g,en quantité modérée,?,,63,+31%,264 kj(63 kcal),+33%,"3,4",+99%,"2,3",+119%,"4,8",0%,"4,8",+0%,"3,3",+2%,"0,4",+260%,"0,16",+260%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,2,+2599%,B,+2599%,2 L,,,,,"['Bidon', 'Plastique']",,,,,,,,,,
1378,Cereals - Raspberry & Maple Nut Nograin-ola - Pure Delish,9420000251379,,['Pure Delish'],,['France'],"['almonds', 'sunflower seeds', 'walnuts', 'brazil nuts', 'pumpkin seeds', 'organic coconut ', '6%', 'nz honey ', 'incl', ' manuka', 'olive oil', 'pure maple syrup ', '4', '5%', 'chia seeds', 'freeze dried raspberries ', '2%', 'natural vanilla bean extract', ' contains tree nuts', ' contains 56% nuts', '28% seeds', '2% freeze-dried raspberries ', 'equivalent to 12% fresh raspberries']",[],,,,,,,,,?,,587,,2456 kj(587 kcal),,"50,3",,9,,"14,4",,"10,2",,"16,2",,0,,0,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,,,,,,,,
1379,Passion Fruit Live Gourmet Yoghurt - Collective Dairy - 500g,9421017551575,B,['Collective Dairy'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'en:Yaourts au fruit de la passion']","['France', 'Royaume-Uni']","['Yaourt ', 'lait entier', 'lait  écrémé en poudre', 'sucre', 'crème', 'miel', 'stabilisant : pectine', 'cultures vivantes ', 'y compris L', ' bifidobacterium', 'L', ' Casei', ' gras', 'compote au fruit de la passion ', 'fruit de la passion', ' ', '4% ', 'eau', 'sucre', 'épaississant ', 'amidon naturel', ""régulateur d'acidité "", 'acide citrique', ' arôme naturel', 'colorant naturel ', 'carotènes']","['Non végétalien', 'Végétarien']",5 g,en quantité modérée,3.1 g,en quantité modérée,18.1 g,en quantité élevée,0.229 g,en faible quantité,?,,140,+40%,586 kj(140 kcal),+41%,5,+60%,"3,1",+57%,"18,6",+39%,"18,1",+46%,"4,7",+29%,"0,229",+101%,"0,091",+101%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,7,+151%,C,+151%,500 g,"['Végétarien', 'Sans arômes artificiels', 'Sans gluten', 'Sans colorants artificiels', 'Sans conservateurs', 'en:Handcrafted']","['E440 - Pectines', 'E330 - Acide citrique']",4,,"['Frais', 'Plastique']","['United Kingdom', 'Royaume-Uni']",['UK UW020 EC'],,"['Royaume-Uni', 'en:British', 'en:West Country']",,Yaourt au fruit de la passion,,,,
1380,coconuts probiotic yoghurt - The Collective - 500g,9421017551834,,['The Collective'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']","['Îles Cook', 'France']","['IN BOLD', ' YOGHURT ', 'WHOLE MILK', 'SKIM MILK POWDER', 'SUGAR', 'CREAM', 'HONEY', 'STABILISER ', 'PECTIN', 'LIVE CULTURES ', 'INCL', ' L', ' acidophilus', 'Bifidobacterium', 'L', ' casei', 'COCONUT SAUCE ', 'COCONUT CREAM ', '2', '8%', 'PINEAPPLE', 'WATER', 'SUGAR', 'DESICCATED COCONUT ', '0', '2%', 'LEMON JUICE', 'RUM CONCENTRATE', 'STABILISERS ', 'LOCUST BEAN GUM', 'PECTIN', 'NATURAL FLAVOUR', 'ACIDITY REGULATOR ', 'CITRIC ACID']",['Non végétalien'],6.1 g,en quantité modérée,4.3 g,en quantité modérée,12.7 g,en quantité élevée,,,?,,128,+39%,536 kj(128 kcal),+40%,"6,1",+87%,"4,3",+110%,"12,9",+17%,"12,7",+26%,5,+33%,,,,,,,,,,,,,,,,500g,,"['E440 - Pectines', 'E410 - Gomme de caroube', 'E330 - Acide citrique']",4,['Lait'],,,,,,,,,,,
1381,The Collective Yoghurt Tub Raspberry - The Collective Great Dairy,9421017552879,,['The Collective Great Dairy'],,['France'],"['YAOURT FRAIS PROBIOTIOUE', 'SANS GLUTEN', 'SANS CONSERVATEUR', ' INGREDIENTS : LAIT ENTIER', 'LAIT ECREME', 'SUCRE', 'PECTINE', 'ACIDOPHILUS', 'BIFIDUS', 'EAU', 'LEVURE NATURELLE', 'PARFUM NATUREL', 'ACIDE CTRIQUE', 'CAROTÈNE NATURELLE', 'FRAMBOISE']",['Non végétalien'],,,,,,,,,?,,129,,540 kj(129 kcal),,"5,2",,"3,4",,"15,6",,"14,5",,"4,8",,"0,065",,"0,026",,,,,,,,,,,,,,"['Sans gluten', 'Sans conservateurs']",['E440 - Pectines'],4,['Lait'],,,,,,,,,,,
1382,Primo crackers - FANFARE - 190g,9421019290380,C,['FANFARE'],"['Snacks', 'Snacks salés', 'Snacks sucrés', 'Apéritif', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits apéritifs', 'Biscuits secs']",['France'],"['FARINE DE BLÉ', 'GRAISSE VÉGÉTALE', 'EXTRAIT DE MALT ', ""D'ORGE"", 'SEL', 'LEVURE', 'AGENTS LEVANT ', 'E500', 'E503', 'ÉMULSIFIANT ', 'E322:SOJA']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",2.6 g,en faible quantité,1.2 g,en faible quantité,0.1 g,en faible quantité,0.134 g,en faible quantité,?,,482,+7%,2017 kj(482 kcal),+7%,"2,6",-84%,"1,2",-80%,"11,9",-82%,"0,1",-100%,"8,8",+20%,"0,134",-72%,"0,054",-72%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,-1,-106%,A,-106%,190 g,,"['E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E322 - Lécithines']",4,['Gluten'],['Plastique'],['Sri Lanka'],,['Carrefour'],,,SUPER SNACK CRACKER,,,,
1383,Greek style yoghurt 2x Protein,9421027711556,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque']",['France'],[],[],2.2 g,en faible quantité,1.6 g,en quantité modérée,5.7 g,en quantité modérée,,,?,,80,-32%,335 kj(80 kcal),-32%,"2,2",-68%,"1,6",-64%,"5,7",-35%,"5,7",-29%,"9,3",+109%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,Gingerella - Karma Cola,9421902090035,,['Karma Cola'],,['France'],[],[],,,,,,,,,?,,35,,146 kj(35 kcal),,0,,0,,8,,"7,9",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385,Epicerie / Boissons Et Vins / Sodas Bio - Karma Cola,9421902090349,,['Karma Cola'],"['Boissons', 'Boissons avec sucre ajouté']",['France'],"['OU FUIOUROSOFTDRlt{K IIIGREDIENTS: water', 'Sugar', 'Organic malt extrad', 'fiavour', 'Organic lemon concentraiOa\\urd vanilla flavour']",[],0 g,en faible quantité,0 g,en faible quantité,10.2 g,en quantité élevée,0.3 g,en quantité modérée,?,,43,-49%,180 kj(43 kcal),-51%,0,-100%,0,-100%,"10,5",-47%,"10,2",-44%,0,-100%,"0,3",+702%,"0,12",+702%,,,,,,,,14,+18%,E,+18%,,['Bio'],,,,,,,,,,,,,,
1386,Pommes - Rockit,9421903788030,,['Rockit'],,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,"0,2",,0,,13,,12,,"0,4",,"0,001",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1387,Fromage à pâte persillée  - Saint Agur - 190g,9467182677887,D,['Saint Agur'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,190g,,,,,,,"['FR 43.025.001 CE', 'Beauzac (Haute-Loire, France)']",,,,,,,,
1388,Nectar mangue,9501100460103,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mangue']",['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,0.1 g,en faible quantité,?,,60,+15%,251 kj(60 kcal),+16%,"0,1",-43%,0,-100%,20,+61%,20,+72%,1,+270%,"0,1",+871%,"0,04",+871%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,19,+22%,E,+22%,,,,,,,,,,,,,,,,
1389,Jus de bissap,9501100460271,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1390,Jus Ananas Canelle,9506000046228,,,,['France'],[],[],,,,,,,,,?,,51,,213 kj(51 kcal),,"0,1",,"0,1",,"12,6",,"11,3",,"0,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,Tempura - Pacific West,9555018500758,,['Pacific West'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Surgelés', 'Aliments à base de plantes surgelés', ""Mélanges d'aliments à base de plantes surgelés"", 'Tempura de légumes congelée']",['France'],"['de ct Pacific', "" Ingrédients Colin d'Alaska cru Theragra 4 cha/cogramma-pêché dans l'Océan Pacifique Nord-Est/ Nord-Ouest "", '55%', 'farine de blé', 'eau', 'huile végétale de palme', 'épaississant ', 'amidon oxydé', 'sel', 'poudre à lever ', 'diphosphate disodique', 'bicarbonate de sodium', 'exhauster de goût ', 'glutamate monosodique', 'sucre', 'poudre de lait Allergènes: Pour les allergènes', 'y compris les céréales contenant du gluten', 'voir les ingrédients en gras Peut aussi contenir des traces de crustacés', 'mollusques', 'Œuf', 'soja', 'céleri', 'moutarde et sulfites', ' Malgré le soin particulier pour éliminer toutes les arêtes de ce produit', 'la présence exceptionnelle est possible', ' NE JAMAIS DATE DE SURGÉLATION:']",['Huile de palme'],7 g,en quantité modérée,4.4 g,en quantité modérée,1.6 g,en faible quantité,0.75 g,en quantité modérée,?,,176,+144%,736 kj(176 kcal),+145%,7,+194%,"4,4",+745%,"18,2",+140%,"1,6",-36%,10,+342%,"0,75",+164%,"0,3",+164%,,,,,,,,1,,B,,,,"['E1404 - Amidon oxydé', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,['Gluten'],,,,,,['Huile de palme'],,,,,
1392,Fish & Chips,9555018504176,,,,['France'],[],[],,,,,,,,,?,,139,,582 kj(139 kcal),,"5,4",,"2,5",,"15,3",,"3,4",,5,,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393,Instant Noodles - Mamer,9555022301020,,['Mamer'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",['France'],[],[],,,,,,,,,?,,440,+47%,1841 kj(440 kcal),+46%,"18,6",+60%,"9,3",+76%,"51,9",+28%,"10,2",+321%,10,+57%,"1,2",-54%,"0,48",-54%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394,Nouilles instantanees saveur  curry - Mamee,9555022301990,,['Mamee'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",['France'],[],[],,,,,,,,,?,,313,+5%,1310 kj(313 kcal),+4%,"10,9",-6%,"5,6",+6%,"45,8",+13%,"3,5",+45%,"7,9",+24%,"5,6",+115%,"2,24",+115%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1395,Chicken Curry Past - Dolee - 200g,9555571100013,,['Dolee'],"['Epicerie', 'Sauces', 'Pâtes de curry']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,,,,
1396,Men's Power - Bio Herbs Tongkat Ali Ginseng Coffee -,9555671700083,,,,['France'],[],[],,,,,,,,,?,,459,,1920 kj(459 kcal),,"14,5",,"2,18",,"77,9",,"50,4",,"4,1",,28,,"11,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397,Nestle Milo Powder -,9556001004635,,,,['France'],"['Malt Extract Contains Barley', 'Skimmed Mil awder ', ""Cow's Milk"", 'Maltodextrin', 'Sugar', 'Cocoa', 'Palm Oil', 'Minerais', 'Vaminntains permited flavouring ', 'Vanillin', 'All additives are of plant or satheticiorigin']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,413,,1730 kj(413 kcal),,10,,"0,333",,67,,"40,7",,"11,7",,"0,381",,"0,152",,,,,,,,,,,,,,,,,['Gluten'],,,,,,,,,,,
