,name,bar_code,eco_score,generic_name,quantity,brand,categories,labels,manufacturing,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_sugars_tr,markets,packaging,ingredients_origins,traceability_code,allergens,sugar_quantity,sugar_comment,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,link,palm_ingredients,brand_owner
1415,gésiers de canard confits émincés - sarl le lion d'or - 212g,14826201,,,212g,"[""sarl le lion d'or""]","['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de canard']",,['Cherrueix'],['France'],"['gésiers de canard', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,['relais fermier'],['Sous vide'],['France'],['35078001'],,,,,,,,,,3,,,
1416,Leguminous - Bonduelle - 250g,8004681081039,,,250g,['Bonduelle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']","['Sans gluten', 'Fabriqué en Italie', 'Nutriscore', 'Nutriscore A']",,['France'],"['Farine de pois chiches 80%', 'mais 20 % Peut contenir des traces de soja', ' Sans gluten']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3.2 g,en quantité modérée,0.4 g,en faible quantité,0.01 g,en faible quantité,?,,248,-25%,1038 kj(248 kcal),-25%,"3,2",+24%,"0,4",-43%,38,-39%,"13,3",+15%,"0,01",-95%,"0,004",-95%,,,,,,,,"1,8",,,,,['Soja'],1.8 g,en faible quantité,-35%,-7,,A,,,1,,,
1417,Choux a la creme,3456580910623,,,,,,,,['France'],[],[],,,,,,,?,,275,,1151 kj(275 kcal),,21,,14,,17,,"4,3",,"0,31",,"0,124",,,,,,,,,"8,1",,,,,,,,,,,,,,,,,
1418,Vita'Comp - Laboratoire PHYTO-terra - 90gélules,3760214051454,,,90 gélules,['Laboratoire PHYTO-terra'],['Compléments alimentaires'],"['Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419,Sirop barbe à papa,3760197503148,,,,,"['Sirops', 'Sirops goût barbe à papa']",,,['France'],[],[],0.05 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,?,,245,-5%,1025 kj(245 kcal),-7%,"0,05",-52%,0,-100%,61,-7%,"0,2",+103%,"0,01",-73%,"0,004",-73%,,,,,,,,58,,,,,,58 g,en quantité élevée,-6%,13,+6%,D,+6%,,,,,
1420,Migros,7617027815819,,,,['Migros'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,['Migros'],,,,,,,,,,,,,,,,
1421,3245390244000,3245390244000,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422,5027659702814,5027659702814,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,3517360010916,3517360010916,,,,,,['Bio'],,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,Meno - Purasana - 50ml,5400706614498,,,50ml,['Purasana'],['Compléments alimentaires'],['Bio'],,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,3466762080570,3466762080570,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1426,Château le monteil d’Arsac -  - 75cl,3292140823084,C,,75cl,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,['France'],,,,,,,,,,,,,,
1427,4250843940018,4250843940018,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,BBQ Chorizo criollo,8411030023273,,,,,,,,['France'],[],[],,,,,,,?,,338,,1414 kj(338 kcal),,30,,12,,2,,15,,"2,5",,1,,,,,,,,,"0,8",,,,,,,,,,,,,,,,,
1429,noix d'épaule cuite choix - tulip - 340g,04371359,,,340 g,['Tulip'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,['Boite'],,,,,,,,,,,,,,,
1430,Accras de morue,2492546456935,E,,,,"['Snacks', 'Snacks salés', 'Produits de la mer', 'Apéritif', 'Poissons', 'Préparations de poisson', 'Acras de morue']",,,['France'],[],[],12.1 g,en quantité modérée,1.24 g,en faible quantité,1.76 g,en quantité élevée,?,,222,+1%,929 kj(222 kcal),+2%,"12,1",+31%,"1,24",-5%,"15,7",-24%,"11,7",+11%,"1,76",-2%,"0,704",-2%,87.7%,2.6%,1.3%,5.3%,0.6%,2.4%,22,"2,18",,,,,,2.18 g,en faible quantité,-12%,5,-28%,C,-28%,,,,,
1431,Rôti de porc cuit supérieur - Carrefour Bio,2227849040143,E,,,['Carrefour Bio'],"['Viandes', 'Porc', 'Rôtis de porc']","['Bio', 'Agriculture UE/Non UE', 'Fabriqué en France']",,['France'],[],[],7.6 g,en quantité modérée,3 g,en quantité modérée,1.4 g,en quantité modérée,?,,169,+17%,707 kj(169 kcal),+19%,"7,6",+51%,3,+44%,"0,6",-27%,24,+7%,"1,4",-19%,"0,56",-19%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,"0,5",['Carrefour'],,,,,0.5 g,en faible quantité,-20%,5,-30%,C,-30%,,,,,
1432,Innocent,04981381,,,,['Innocent'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,00001311,00001311,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Salades de fruits']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,74.4%,7.2%,7.9%,6.7%,2.2%,1.6%,81,,,,,,,,,,,,,,,,,,
1434,Crêpes jambon fromage - Bofrost - 500g,69062063,,,500g,['Bofrost'],"['Plats préparés', 'Crêpes au jambon']",,,['France'],"['Garniture sauce béchamel 60% ', ' eau ', 'jam - bon cuit supérieur 24% ', 'jambon de porc', 'sel', 'sirop de glucose', 'dextrose', 'antioxydant ', 'ascorbate de sodium', 'conservateur ', 'nitrite de sodium', 'farine de blé', 'lait écrémé en poudre', 'huile de tournesol', 'emmental 4% ', 'lait', 'sel', 'ferments', 'coagulant', 'crème fraîche', 'comté 0,6% ', 'lait ', 'ferments', 'sel', 'présure', 'sel', 'poivre blanc', 'muscade', 'pâte 40% ', ' eau ', 'farine de blé', 'oeuf', 'lait écrémé en poudre', 'huile de tournesol', 'dextrose', 'sel', 'sucre', ' Viande de porc : Origine : France', ' ', 'Traces de céleri']","['Non végétalien', 'Non végétarien']",6.6 g,en quantité modérée,1.8 g,en quantité modérée,0.72 g,en quantité modérée,?,,162,-5%,678 kj(162 kcal),-4%,"6,6",-3%,"1,8",-26%,17,-6%,"8,2",+10%,"0,72",-25%,"0,288",-25%,,,,,,,,"3,6",,,,,"['Œufs', 'Gluten', 'Lait']",3.6 g,en faible quantité,+11%,1,-73%,B,-73%,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,
1435,Al kazzi,0606485302358,,,,,,,,['France'],[],[],,,,,,,?,,190,,795 kj(190 kcal),,14,,"2,5",,9,,"7,5",,"0,21",,"0,084",,,,,,,,,2,,,,,,,,,,,,,,,,,
1436,Fanta MALinna,5449000045744,,,,['Fanta'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,Weisswurst - Priva - 5,4000503884400,,,5,['Priva'],"['Viandes', 'Charcuteries', 'Saucisses']",,,['France'],[],[],27 g,en quantité élevée,11 g,en quantité élevée,1.8 g,en quantité élevée,?,,289,+13%,1209 kj(289 kcal),+13%,27,+30%,11,+39%,"0,5",-65%,11,-27%,"1,8",-8%,"0,72",-8%,,,,,,,,"0,5",,,,,,0.5 g,en faible quantité,-34%,20,+14%,E,+14%,,,,,
1438,Mayoly Sante Bien Etre Megamag One,3760001040791,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,Mm damel,8411500114630,E,,,['Damel'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,"['France', 'Espagne']",[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,,,,
1440,3368750002192,3368750002192,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,Samba Brasilianische ANANAS,4002221033955,,,,,,,,['France'],[],[],,,,,,,?,,10,,42 kj(10 kcal),,0,,0,,"0,6",,0,,0,,0,,,,,,,,,"0,2",,,,,,,,,,,,,,,,,
1442,"Schoko Waffeln, Vollmilch",22115461,,,,,,,,['France'],[],[],,,,,,,?,,571,,2389 kj(571 kcal),,"36,9",,"21,4",,53,,"5,7",,"0,18",,"0,072",,,,,,,,,"39,8",,,,,,,,,,,,,,,,,
1443,Lait demi-écremé,3597680001672,D,,,,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,,,,,,
1444,01035421,01035421,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,8002815404693,8002815404693,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446,Boudin au Colin,0274572044346,,,,,,"['Sans colorants', 'Sans conservateurs']",,['France'],[],[],,,,,,,?,,167,,699 kj(167 kcal),,9,,9,,17,,5,,"0,5",,"0,2",,,,,,,,,"0,5",,,,,,,,,,,,,,,,,
1447,Yaourt,3291330008959,,,,,,,,['France'],[],[],,,,,,,?,,97,,406 kj(97 kcal),,"1,8",,"1,1",,15,,"4,2",,"0,14",,"0,056",,,,,,,,,"14,9",,,,,,,,,,,,,,,,,
1448,8859202607065,8859202607065,,,,,,,,['France'],[],[],,,,,,,?,,40,,167 kj(40 kcal),,"0,04",,0,,"0,08",,25,,"0,02",,"0,008",,,,,,,,,0,,,,,,,,,,,,,,,,,
1449,Chewing Gum Miel Et Propolis - Dietaroma,3460340400675,,,,['Dietaroma'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,Jus d'ananas,3760036572397,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,pom'potes - materne - 4*90g,10194313,B,,4*90g,['Materne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes à boire']",['Sans gluten'],,['France'],"['pomme 84,8 % ', 'purée et purée concentrée', 'ananas 15,0 %', 'arome naturel', 'jus de citron concentre ', ""si nécessaire pour réguler l'acidite"", 'antioxydant: acide ascorbique', ' Sans gluten']",[],0.5 g,en faible quantité,0.5 g,en faible quantité,0.001 g,en faible quantité,?,,56,-10%,234 kj(56 kcal),-11%,"0,5",+37%,"0,5",+282%,"11,5",-15%,"0,5",+23%,"0,001",-89%,0,-89%,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,"10,5",,['gourdes par 4'],,,,10.5 g,en quantité modérée,-16%,-3,,A,,['E300 - Acide ascorbique'],4,,,
1452,Carrefour,3560070471126,,,,['Carrefour'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,
1453,Gelée d'aloe vera - La Vie Claire - 500ml,3266191001906,,,500 ml,['La Vie Claire'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,['La Vie Claire'],,,,,,,,,,,,,,,,
1454,22465191,22465191,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,Muesli cranberry chocolat blanc - marlette - 350g,90963681,,,350g,['Marlette'],['Petit-déjeuners'],"['Bio', 'Bio européen', 'Fabriqué en France', 'en:USDA Organic', 'AB Agriculture Biologique']",['France'],['France'],"['flocons de céréales ', 'avoine', 'épeautre', 'seigle', ' flakes de mais complet', 'canne berge 7%', 'chocolat blanc 6%', 'sucre de canne', 'beurre de cacao', 'lait entier en poudre', 'lécithine de soja', 'extrait de vanille', 'vanille broyée', 'graines de tournesol', 'graines de lin brun ', 'agriculture biologique']",['Non végétalien'],8.6 g,en quantité modérée,2.2 g,en quantité modérée,0.2 g,en faible quantité,?,,355,+12%,1485 kj(355 kcal),+12%,"8,6",+52%,"2,2",+46%,"52,7",-11%,"11,3",+191%,"0,2",+29%,"0,08",+29%,,,,,,,,"9,9",['vente privée'],['plastique + carton'],,,"['Gluten', 'Avoine', 'Soja']",9.9 g,en quantité modérée,-76%,3,-69%,C,-69%,['E322i - Lécithine'],3,,,
1456,Fibres - Wasa - 230g,7300400421522,,,230g,['Wasa'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains croustillants']",['Riche en fibres'],,['France'],"['Farine complète de seigle ', '57 g*', 'son de blé ', '27 g*', ""flocons d'avoine "", '13 g*', 'graines de sésame ', '7,9 g*', 'germe de blé', 'sel', '\r *en g pour 100 g de produit']","['Sans huile de palme', 'Végétalien', 'Végétarien']",7 g,en quantité modérée,1.5 g,en quantité modérée,1.1 g,en quantité modérée,1417,-7%,339,-10%,1417 kj(339 kcal),-10%,7,-8%,"1,5",+9%,42,-26%,"12,5",+10%,"1,1",-14%,"0,44",-14%,,,,,,,,2,,['Papier'],,,"['Gluten', 'Lait', 'Avoine', 'Graines de sésame']",2 g,en faible quantité,-28%,-1,-128%,A,-128%,,3,,,
1457,3141380052979,3141380052979,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,Carrefour Bio - 375g,13604165,,,375 g,['Carrefour Bio'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,
1459,Miel de sologne,3770002819029,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Pain tournecourge 400g -,,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,chicorée soluble - Leroux - 200g,08182197,E,,200 g,['Leroux'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons instantanées', 'Chicorée soluble']",,['France'],['France'],['Chicorée 100%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,?,,16,-92%,67 kj(16 kcal),-93%,0,-100%,0,-100%,"2,8",-93%,"0,2",-96%,"0,02",-95%,"0,008",-95%,78.8%,9.8%,6.8%,3.1%,1.4%,0.0%,25,"1,3",,['pot en verre'],,,,1.3 g,en faible quantité,-91%,,,,,,1,,,
1462,Vin blanc bio,3186127828417,C,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs']","['Bio', 'Bio européen']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,0,-100%,0,-100%,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,
1463,Confiture pêche/nectarine - Les Comtes de Provence - 340g,3324490003479,A,Confiture pêche nectarine,340g,['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pêches']",,"['Peyruis', 'France', 'Provence']",['France'],"['fruits 60,4% ', 'pêche 30,2%', 'nectarine', '30,2%', 'sucre de canne', 'jus concentré de citron', 'gélifiant : pectine de fruits']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,0.03 g,en faible quantité,?,,223,+4%,933 kj(223 kcal),+3%,0,-100%,0,-100%,55,+5%,"0,5",+13%,"0,03",+180%,"0,012",+180%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,55,,"['Verre', 'Pot']",,,,55 g,en quantité élevée,+9%,9,-2%,C,-2%,['E440 - Pectines'],4,,,
1464,Lou gascoun - 130g,64447254,D,,130g,['Lou gascoun'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de foie de porc']",,,['France'],[],[],38.9 g,en quantité élevée,15.5 g,en quantité élevée,1.52 g,en quantité élevée,?,,408,+31%,1707 kj(408 kcal),+31%,"38,9",+40%,"15,5",+48%,"1,4",-34%,"13,2",+17%,"1,52",+4%,"0,608",+4%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,"0,3",,,,,,0.3 g,en faible quantité,-57%,21,+14%,E,+14%,,,,,
1465,Semoule - 80g,3356067638159,,,80 g,,,['Fabriqué en France'],,['France'],[],[],,,,,,,?,,225,,941 kj(225 kcal),,"8,8",,"1,1",,30,,"5,4",,"0,92",,"0,368",,,,,,,,,"1,2",,,,,,,,,,,,,,,,,
1466,Croquants sésame et miel - La Vie Claire,3266191002095,,,,['La Vie Claire'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']","['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,['France'],[],[],33 g,en quantité élevée,4.8 g,en quantité modérée,0.1 g,en faible quantité,?,,533,+26%,2230 kj(533 kcal),+25%,33,+109%,"4,8",-19%,46,-24%,11,+47%,"0,1",-74%,"0,04",-74%,,,,,,,,40,,,,,,40 g,en quantité élevée,+47%,18,+36%,D,+36%,,,,,
1467,Sucre D'érable Granulé,0055526071089,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,Sauce SOJA - U - 150ml,325225269037,D,,150 ml,['U'],"['Epicerie', 'Sauces', 'Sauces salades']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,
1469,Nectar de pêche blanche - Le soleil du conflent,3481440006567,D,,,['Le soleil du conflent'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de pêche']",,,['France'],"['peches blanches 50%', 'eau', 'sucre de canne blond non raffine']",[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,1,,,
1470,Dinkel Guten Morgen,4005967513675,,,,,,"['Bio', 'Agriculture UE/Non UE', 'Fabriqué en Allemagne']",,"['France', 'Allemagne']",[],[],,,,,,,?,,350,,1464 kj(350 kcal),,3,,"0,6",,"65,9",,11,,"0,02",,"0,008",,,,,,,,,"22,6",,,,,,,,,,,,,,,,,
1471,Galette façon burger blé et pois -,3492500063154,,,,,,"['Nutriscore', 'en:palm-oil-free']",,['France'],"['Eau', 'protéines de blé texturées déshydratées 13% ', 'protéines de blé', 'farine de blé', 'huile de colza', 'protéines de pois déshydratées 10%', 'oignons 8%', 'colorant: betterave poudre ', 'acidifiant: E330', 'arôme naturel', 'épaississant: E461', 'fibres de blé ', 'fibres de blé et de psyllium', 'sel', 'oignon en poudre 0,5%', ""extrait de malt d'orge"", 'épice', ' Traces possibles de poissons', 'lait', 'oeuf', 'céleri', 'soja']",['Sans huile de palme'],,,,,,,?,,223,,933 kj(223 kcal),,"11,9",,"1,1",,"9,2",,"18,1",,"1,51",,"0,604",,,,,,,,,"1,5",,,,,['Gluten'],,,,,,,,"['E330 - Acide citrique', 'E461 - Méthylcellulose']",4,,,
1472,3304630000612,3304630000612,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,Truite bio fumée,2469438054050,E,,,,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,,,,,,,,,,,,,,
1474,3760060015235,3760060015235,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,Thé noir aromatisé pomme cerise violette - Comptoir français du Thé,3700472530377,B,,,['Comptoir français du Thé'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",['Fabriqué en France'],,['France'],[],[],,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,0,,,,,,,,-100%,0,-100%,B,-100%,,,,,
1476,Fleurs du Mal - Distillerie Girard - 70cl,3328640124274,B,,70 cl,['Distillerie Girard'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Produits artisanaux', 'Alcools artisanaux', 'Absinthe']",,,['France'],"['Alcool', 'eau', 'sucre', 'infusions de plantes', 'anéthol', 'colorants : E133', 'E102']",[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,"['E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E102 - Tartrazine']",4,,,
1477,Sauce liée pour rôti en granulés,28505594,,,,,,,,['France'],[],[],,,,,,,?,,38,,159 kj(38 kcal),,1,,"0,5",,"5,9",,1,,"1,6",,"0,64",,,,,,,,,"1,4",,,,,,,,,,,,,,,,,
1478,Nounours,3700146209721,,,,,,"['Bio', 'en:gluten-free', 'Sans lactose']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,suggar free,5060309490242,,,,,,,,['France'],[],[],,,,,,,?,,293,,1226 kj(293 kcal),,"9,2",,"7,2",,87,,"0,1",,"0,56",,"0,224",,,,,,,,,"0,4",,,,,,,,,,,,,,,,,
1480,Jambon traditionnel fumé au bois de hêtre - Saint Alby,2205876001689,,,,['Saint Alby'],,,,['France'],[],[],,,,,,,?,,147,,615 kj(147 kcal),,7,,"3,5",,1,,20,,"1,9",,"0,76",,,,,,,,,"0,5",,,,,,,,,,,,,,,,,
1481,Taralli Al peperoncino,8015592704900,,,,,,,,['France'],[],[],,,,,,,?,,452,,1891 kj(452 kcal),,17,,"2,9",,64,,"9,3",,"2,3",,"0,92",,,,,,,,,"1,4",,,,,,,,,,,,,,,,,
1482,Harrys - 280g,3228857000879,,,280 g,['Harrys'],,['Sans sucre ajouté'],,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,Filet de poulet,0213400034777,D,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,['France'],[],[],1.3 g,en faible quantité,0.4 g,en faible quantité,0.11 g,en faible quantité,?,,104,-21%,435 kj(104 kcal),-20%,"1,3",-55%,"0,4",-46%,0,-100%,23,+1%,"0,11",-85%,"0,044",-85%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,0,,,,,,0 g,en faible quantité,-100%,-4,,A,,,,,,
1484,2405090003210,2405090003210,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,4099200167800,4099200167800,,,,,,"['Bio', 'Bio européen', 'NL-BIO-01', 'Agriculture non UE']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,Mes pains à dorer - Bio fournil - 6,93904049,,,6,['Bio fournil'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Carrefour Bio,2666117040544,,,,['Carrefour Bio'],,"['Bio', 'Bio européen', 'FR-BIO-10']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,['Carrefour'],,,"['EMB 84054K', 'Isle-sur-la-Sorgue (Vaucluse, France)']",,,,,,,,,,,,,
1488,Compote de légumes,3288131130026,,,,,,['Sans sucre ajouté'],,['France'],[],[],,,,,,,?,,54,,226 kj(54 kcal),,"2,2",,"0,4",,"6,1",,"1,3",,"0,03",,"0,012",,,,,,,,,"3,7",,,,,,,,,,,,,,,,,
1489,Tenders de poulet - 800g,3353473360063,,,800 g,,,['Halal'],,['France'],[],[],,,,,,,?,,225,,941 kj(225 kcal),,"11,9",,"2,35",,"16,6",,13,,"1,65",,"0,66",,,,,,,,,"1,8",,,,,,,,,,,,,,,,,
