,name,bar_code,eco_score,generic_name,quantity,brand,categories,labels,manufacturing,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_sugars_tr,markets,packaging,ingredients_origins,traceability_code,allergens,sugar_quantity,sugar_comment,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,link,palm_ingredients,brand_owner
1100,Turrón caramelo con sal - Delaviuda,8410223703138,E,,,['Delaviuda'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,,['France'],[],[],39 g,en quantité élevée,25 g,en quantité élevée,0.3 g,en quantité modérée,?,,589,+13%,2464 kj(589 kcal),+13%,39,+25%,25,+373%,55,+22%,0,-100%,"0,3",+367%,"0,12",+367%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,52,,,,,,52 g,en quantité élevée,+35%,28,+70%,E,+70%,,,,,
1101,Palets chocolat noir et blanc - Le Chocolatier Sablais - 150g,3760059939153,,,150 g,['Le Chocolatier Sablais'],,,,['France'],[],[],,,,,,,?,,434,,1816 kj(434 kcal),,23,,15,,46,,"7,6",,"1,32",,"0,528",,,,,,,,,22,,,,,,,,,,,,,,,,,
1102,Thon entier à l huile de tournesol - Auchan - 80g,3596710396320,E,,80 g,['Auchan'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile de tournesol"", 'Thons entiers']",['Nutriscore'],,['France'],[],[],17 g,en quantité modérée,1.5 g,en quantité modérée,1 g,en quantité modérée,1054,+64%,253,+53%,1054 kj(253 kcal),+55%,17,+152%,"1,5",+51%,0,-100%,25,-1%,1,-6%,"0,4",-6%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,0,['Auchan'],,,,,0 g,en faible quantité,-100%,3,+129%,C,+129%,,,,,
1103,Allez ... Apéro ? Brocéliande - 160g,3700133914607,,"Effiloché de porc citron, thym",160g,['Brocéliande'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits à tartiner', 'Céréales et dérivés', 'Pâtes alimentaires']","['en:without-antibiotics', 'Viande Française', 'Sans antibiotique dès la naissance', 'Viande Porcine Française', 'Sans OGM', 'Porcs élevés sans antibiotique', 'Porcs élevés sans antibiotique dès la naissance']",['Valoine'],['France'],"[""Effilochés d'épaule de porc traitée en salaison "", '34%', ' [épaule de porc* ', '28%', 'eau', 'fond de légumes ', 'arômes naturels,\rmaltodextrine', 'extrait de carotte et extrait de poireau', 'sel', 'épice', 'sel],\rcrème ', 'lait', 'lait demi-écrémé', 'épaule de porc* ', '10%', 'jus concentré de citron ', '6,5%', 'couenne de porc* ', '3%', 'eau', 'cerfeuil', 'sel', 'zeste de citron jaune\r', '1,3%', 'thym ', '0,4%', 'sucre', 'huile de paprika', 'poivre', 'arôme naturel', ' Peut contenir céleri', 'gluten', 'moutarde', 'œuf', 'soja', "" \r* Viandes de porc françaises issues d'animaux élevés sans antibiotique dès la naissance""]","['Non végétalien', 'Non végétarien']",9.8 g,en quantité modérée,5 g,en quantité modérée,1.8 g,en quantité élevée,636,-54%,?,,636 kj(152 kcal),-54%,"9,8",+278%,5,+617%,"2,1",-97%,14,+21%,"1,8",+749%,"0,72",+749%,,,,,,,,"1,6",,['Barquette'],,"['FR 87.085.003 CE', 'Limoges (Haute-Vienne, France)', 'EMB 87085B', 'Limoges (Haute-Vienne, France)']",['Lait'],1.6 g,en faible quantité,-42%,12,,D,,,4,https://www.broceliande.fr,,
1104,Rewe Beste Wahl Milder Multivitaminsaft,4388844140158,,,,['REWE Beste Wahl'],,,,['France'],[],[],,,,,,,?,,45,,188 kj(45 kcal),,0,,0,,"10,2",,"0,5",,"0,01",,"0,004",,,,,,,,,"9,9",,,,,,,,,,,,,,,,,
1105,Sucre de coco -  - 500g,0705632865583,,,500g,,,"['Bio', 'Triman']",,['France'],"['sucre de sève de fleur de coco', ""issue de l'agriculture biologique"", "" Origine: Indonésie Mode d'emploi: ajouter quelques cuillères de sucre de coco aux cafés"", 'thés', 'smoothies', 'boissons chaude ou froides', ' Mélanger le sucre de coco dans les préparations culinaires en remplacement du sucre blanc']",[],,,,,,,?,,406,,1699 kj(406 kcal),,"0,31",,"0,25",,"97,8",,"1,47",,"0,72",,"0,288",,,,,,,,,"97,5",,,,,,,,,,,,,,,,,
1106,Mélange de légumes pret à cuisiner,2868075018836,,,,,,,,['France'],[],[],,,,,,,?,,23,,96 kj(23 kcal),,"0,29",,"0,04",,"3,34",,"1,12",,"0,017",,"0,007",,,,,,,,,"3,05",,,,,,,,,,,,,,,,,
1107,Um bongo Maçã,5601151973691,,,,,,,,['France'],[],[],,,,,,,?,,42,,176 kj(42 kcal),,0,,0,,10,,"0,5",,"0,01",,"0,004",,,,,,,,,"7,2",,,,,,,,,,,,,,,,,
1108,Organic Mamia,4088600063836,,,,,,,,['France'],[],[],,,,,,,?,,79,,331 kj(79 kcal),,"0,5",,"0,1",,17,,"0,8",,"0,01",,"0,004",,,,,,,,,16,,,,,,,,,,,,,,,,,
1109,Morbier aop,2488765023553,D,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,,['France'],[],[],30 g,en quantité élevée,21 g,en quantité élevée,1.58 g,en quantité élevée,?,,363,+3%,1519 kj(363 kcal),+3%,30,+4%,21,+8%,"1,3",+67%,22,-3%,"1,58",+10%,"0,632",+10%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"0,5",,,,,,0.5 g,en faible quantité,+20%,16,+7%,D,+7%,,,,,
1110,2kg,3000029046659,,,2 kg,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Couscous royal,3349149192809,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
